ParlaMint-NO_2003-01-28.ana.ud921e37	President-in-Office Jørgen Kosmo, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-01-28.ana.ud921e179	The representative Ryan has taken up the suggestions he referred to.
ParlaMint-NO_2003-01-28.ana.ud921e182	It has great significance how a manager and organisation of state ownership in relation to future value creation. In order to contribute to the best possible future value creation, state ownership should be as optimally aligned as possible. State ownership must be particularly sound in order for the State to bind capital. Otherwise, one should consider selling out. One should consider reducing the extent of state ownership and managing and organising state ownership in a good way. It is of great value to create space for more private ownership in Norway through other measures to stimulate ownership environment and to improve the framework of Norwegian ownership. In the Property Message setting, it was suggested that you create a selection that would look at how you could better organise your state ownership. Also, the government has set up a fast-working selection to get a wide-ranging review with a view to better organisation and administration of state ownership. This is an extensive and demanding work. The State Ownership Selection has been reduced and will be nominated by 1 March 2004. In its opinion, the Committee recommends that the Government submit a case to the Storting on better management of State ownership and a plan to strengthen private ownership so that it can be managed in the Spring 2004 Stortingen. In this context, it is important to be aware and to understand that the challenges facing business are many and comprehensive. It is about globalisation, internationalisation, cost reduction, relocation, wage growth, high dollar rates and high interest rates. This situation calls for a comprehensive review of many aspects, and this is something that the Government is going to put forward, through an action plan for a holistic innovation policy that will facilitate creativity, start-ups and industrial development. This means that we have to be thorough, but still work in a way that will help the business. So to the businesses it's going to be: Raufoss, Moxy and NOAH. The reason why the issue of ownership change for these now has been raised is that situations have arisen, among other things. update the hall of ownership or watering down the state ownership. Therefore, the Government has requested authorisation to take the necessary measures in relation to its ownership. I would like to give tribute to the Minister of Industry for taking the right initiative, and I am pleased that the Committee will conclude strongly on the recommendations and powers requested by the Government. I have good faith that these three ownership environments can be passed on in a positive way, with the new orientation set out in this Decision. The impression we got when we visited Raufoss last week was very positive. I hope that in the future, too, the state can be an important player and ensure that this environment is passed on at a reasonable and stable level.
ParlaMint-NO_2003-01-28.ana.ud921e197	I will briefly touch on three aspects relating to the matter that are being dealt with today, starting with the more general picture. Some of the comments made by the Committee today on ownership and the issue of strengthening private ownership need to be considered in the light of the debate on the ownership notification last June. In the context of the communication of ownership, a majority in the United Kingdom expressed frustration at the lack of national nutrition strategy and national ownership strategy. There was also some background to the majority asking for a plan to strengthen private ownership, and a plan for better governance of state ownership, so that the Storting had an opportunity to discuss it. Then we are in the situation that there are still individual issues where there are issues of ownership, while at the same time we see that what we wanted as a rapid-working sample should take the time until 1 March 2004 to present a position, and then a matter should be prepared by the Government. It is difficult to see that it can be reconciled with the definition of a fast-working sample. It's almost three quarters of a year since the Stortinget decided to come back with that kind of plan for discussion for the Stortinget, and it took almost six months before the department set up that state ownership committee. Then I think it is remarkable that the representative Kristiansen here today suggests that it may be the opposition and the majority of the Stortinget's fault if the sample to the seventh and last will have difficult working conditions, or will have scarce opportunities to conduct hearings rounds. He should have thought of that when the government spent such a long time actually getting the sample set up. I think it is important that the majority today repeat exactly those demands of the Government. It is important now that the Stortinge has the opportunity to discuss how to better manage our state ownership and how to strengthen private ownership in the years to come. I think it's going to be hugely important, not least when during the last harvest you see a lot of businesses struggling. It can also be seen that a number of possibilities, which could perhaps have been used to strengthen Norwegian business life in those areas where we are best, are not being used. I'm thinking, for example. that we have literally had ABB for the last harvest of the sale. The question is whether the State of Norway should also have seen it as an opportunity to purchase something that could have been important in relation to Norwegian business strategies. I think it is important to mention these elements, because they are important in relation to the proposal made by the majority here, and the comments made by the vote on those points. In the case of the Center Party, we will not be able to vote for the state to be authorized to fully liquidate its ownership of Raufoss. I see some of the elements that are related to the situation Raufoss is up in. I also see that there have been difficult balances, not least locally, but on the part of the Centre Party we are not ready to give authority to a full liquidation of ownership. We still believe that it should be possible for the state to be able to hold a holding of up to 34 p.m., regardless of which alliances Raufoss is involved in the future. Nevertheless, when there is a majority in favour of giving full authority to the liquidation of state ownership, it is important to provide for the creation of an innovation company in which the State also participates, a company that can provide new opportunities for industrial development in the region. We are so cautious about the Committee's requests at that point, but I would like to stress, like the Labour Party representative, that, on the part of the Centre Party, we regard it as extremely important and as a prerequisite for the state to participate in the creation of that type of innovation company and to contribute to further development in the region in the light of the new conditions. As regards the NOAH, there is agreement within the Committee on what is going on sale in relation to Brevik. But I have to say, as the Workers' Party and SV stand here, the Centre Party is also very critical of the fact that almost without justification in the proposition you are going to help sell out businesses on the Lang Island at Holmestrand without any more thorough preparations related to it. Furthermore, the Centre Party will support IV, which concerns guarantees for extended operational credit to Moxy Trucks.
ParlaMint-NO_2003-01-28.ana.ud921e216	The work on ownership issues now takes place on two levels. On one and more superior level, we are working on following up Storting's treatment of the ownership message, among others. in the case of better governance and organisation of state ownership. On the other hand, as owners, we need to take a continuous view of the individual issues involved, as in this joint proposition that we are dealing with here today in the Stortinget. Businesses live their own lives – I was about to say – regardless of both government and big business. They depend on an economy. They depend on global developments, the evolution of the market, the needs of customers, the opportunities for cooperation with others and the other innovation research and development that takes place. An active and interested owner must always be prepared to decide on some of these aspects, which also imply changes in the company. If we are to follow the overall objectives of ownership to ensure good industrial development for companies and develop the values of the country, this also requires a high degree of flexibility in addition to tight and good ownership. The Ministry of Economic Affairs and Trade must therefore, as its owner, monitor the development of the companies and present ongoing issues to the Storting where this is required after the current administrative arrangements. The three companies we are dealing with today have suffered some serious losses in different ways. They have to write off losses in the hundreds of millions of dollars class. So it's not just the yellow legs you've got engaged in. That struck me when the representative Arnstad talked about buying an ABB. These are problems that need to be solved. There are questions that need to be resolved, and questions of this kind cannot wait. That voting against is a right that you definitely have, but it's not entirely uninteresting to hear what you have to put in place. In these cases, I can really see nothing but to connect them intravenously to the treasury to get this to. Indeed, financial security is needed in order to operate this type of company. As far as Raufoss ASA is concerned, the majority has joined the proposal in the proposal. Unfortunately, we have to realize that there are significant values that have been introduced into Raufoss in recent years, through partial privatisation and listing in 1990, the sale of the aluminium business to Hydro in 1996-1997 and the sale of the shareholding in Nammo AS to the State in 2000. All of this is essentially lost. It's money that's gone. An agreement with Euralcom could continue to bet on new installations for the production of aluminium and wheel components on Raufoss and in Canada. But it's not yet negotiated. The so-called due diligence process, with a thorough technical and legal review of Raufoss ASA, has taken longer than it was supposed to. There is still uncertainty as to whether, and to what extent, there will be funds that can be returned to the shareholders, at least when this could happen. We're wise, today at least, not to assume that this is going to be a very large amount. Otherwise, it must be assumed that it will take a relatively long time. Raufoss" stock exchange value, which is an indication of the market assessment of the residual value in Raufoss per. today on the upper edge of 40 million. kr. In 1996, the quoted value of Raufoss was approx. $800 million. kr. So it's got a lot of taxpayers' money in the ocean since then. The proposal that the State should participate in a new innovation company in the Raufoss region with potential revenues from the sale or possible liquidation of Raufoss ASA, I think it's wise to postpone until you've seen what's going on. That said, it must not be such that the absence of residual value is essential for the engagement of industry in this area. You should essentially have the opposite starting point. Because the less it's left, the worse it indicates that it's gone. The State has an obligation to enter into the troublesome regions related to the closure of corner stone holdings. But in this case, it is to take care of the jobs that we do what we do. There is also – I would not mention – a significant environmental obligation of undefined size related to both emissions to and landfill in Mjösa after hundreds of years of old sins. These may be costly issues, which may far exceed what becomes the country’s share in any sale. This will take time to clarify. As I said in the proposition, I assume that the state as a shareholder of 51 pst. shall take its relative share of this, and that is the fact that the private shareholders also have a responsibility in that way. In the case of NOAH Holding AS, the majority have joined the sale of the Brevik plant and authorised the Government to reduce its ownership of the rest of the company, possibly selling all or part of the business on Lang Island at Holmestrand. The operation of the NOAH has now started in an ordinary operating phase and it appears appropriate to liquidate the State holding by involving long-term strategic industrial owners to participate in the development of a facility for the treatment of special waste. Obviously, prior to the implementation of such a process, the importance of the Langøya for the treatment of inorganic waste, contaminated land and contaminated sediments needs to be clarified. Where appropriate, consideration should also be given to ensuring the Lang Island as an open-air area once in the future when landfills have to be filled. The board of NOAH Holding AS has worked in agreement with all shareholders of the company for the purpose of selling the business. Significant funds have been invested in the development of the Brevik plant, and most of it will now have to be written off. The Brevik facility provides an environmentally sound and industrially sound solution for organic special waste in Norway. Through the sale to Norcem, the plant is continued. At the same time, the management has managed to find a solution for ownership in relation to the activities related to inorganic special waste and landfill in Lang Island, where the financial results have been good in recent years. The minority shareholders of the company want an industrial solution implemented through a sale. In order to achieve good solutions for the NOAH Lang Island, it is important to focus on operations so that long-term ownership can be established. None of today's shareholders seem willing to contribute more capital. The shareholders of the NOAH have earned the right time and in a way that is good for obtaining the best price, while safeguarding the interests of the buyer and the creditors of the company. The sales authorisation given to the Government today will help to ensure the necessary flexibility. As the Business Committee was informed in writing about earlier this month, it is now in principle agreed that the Spelka Group in Ålesund, as previously owned 51 pst. of the shares in Moxy Trucks, acquires the country's remaining shares in Moxy for the net sum of NOK 1. Game will convert loans into new equity in Moxy and seek to add fresh equity to the company. That's part of the agreement. the extension of the State guarantee for an operating loan of 30 million. kr, supported by the majority of the Committee, is a necessary condition for the implementation of this sales arrangements. Moxy Trucks hasn't had an easy development. Planned performance improvements have taken longer than foreseen. Moxy has a lot of debt and needs to increase funding for necessary production growth. The guarantee will provide Moxy with a better basis for strengthening the capital base and continuing its efforts to move towards profitable operations. We can see through this that of the 50 million. kr that the government took into new equity in April 2001, we are left with 25.5 million. NOK that we received in the first sale, and then the one kroner that we now have in store. With this decision, after very many years of state ownership, Moxy will now become a wholly private enterprise with a temporary State guarantee. It's definitely going to be interesting to follow on with Moxy. I think they have a good product and that it is a market for it. It's an enterprise that can go further with the right owners, and I see them as interested, and that they have the capital structure necessary to take the business further. In kilograms. Res. On 15 November 2002, the Political Affairs Committee was set up. The committee has been mandated to review and assess the organisation of state ownership in companies where the State is a whole or a joint venture and where the activities are mainly of a commercial nature. On the basis of the sample investigation, the government will then go to Stortinget with a separate case about different models for a professional exercise of state ownership – I almost kept to say – because the Storting will not have this kind of debate. I have noticed that Stortinget wants the work in connection with the Statsierschaftscommittee to have a drive that allows Stortinget to deal with the matter in the spring of 2004. Of course, I will do my utmost to get this done and will discuss with the sample leader how the work can be done on this basis. However, I cannot fail to point out that it is a very comprehensive investigation we have started here. These are very large values for the state, and these are definitely complex constitutional and administrative issues. We're not allowed to go easily over such questions. In addition, a public inquiry shall, as has been mentioned, be consulted. We can shorten some of the consultation deadlines, but it is quite clear that it would be clear that it would be preferable to base the investigation on the work to be done. I fully admit that the reduction of the sample could have been done a month before, or even a half, possibly. On the other hand, I can't see that it's going to be crucial for the time horizon under which you're going to work. The representative Arnstad was particularly concerned with the time horizon they had received in relation to the reduction of a public sample. In reviewing the record of previous times in this area, I found that there are very few NOUs that have been presented in such a short time as this will be done. However, my responsibility is to file a case for Stortinget, and then I see how much of the work that can be done, depending on whether it is done or not. But when we're going to evaluate the organisation of ownership that amounts to several hundred billion kroner, I think it would be a very bad idea if the basis were so thin that in some way you don't think it's enough to take a decision on something so serious. It is serious to move ownership out of direct constitutional governance during accumulation and government to other administrative bodies. I have also looked at the development of some of these companies that we have under ministry management, including the Swedish Social Security Fund and others, and the administration we have had of them. There's no clear answer to what's best, but I think it's definitely interesting to figure it out. For my part, I have in no way concluded in advance what will be commendable.
ParlaMint-NO_2003-01-28.ana.ud921e256	It's going to be line change.
ParlaMint-NO_2003-01-28.ana.ud921e260	I've been following the Raufoss environment for many years, since the time we used to call it ‘military enterprises’, and it was only a small production that took place there in relation to now. This environment has evolved, and it has become an area of mass knowledge and with a great deal of commitment. So, in the difficult situation at Raufoss, they have given an extensive hand by coming up with the idea of an innovation company – an industrial Norway that is struggling, and a domestic Norway that is struggling even more. The government has not recently been particularly proud of its commitment to the industry. Both the Minister of Finance and the Minister of Industry have said that the closures are not so dangerous because new businesses are coming. But these new ones need help, and I think the Council's reference to the proposal to participate in a new innovation company in the Raufoss environment was very woolly. From the Labour Party we did not choose to promote our own proposal, but we agreed on a majority proposal because we thought that the government parties here in the Stortinget were positive for such a creation. I do not trace such a positive attitude in the posts of the Council of State, and I would like to get his comment on whether the Government at all assesses and wants to be part of such an innovation company.
ParlaMint-NO_2003-01-28.ana.ud921e267	It's in this context, as in so many others: you hear what you want to hear. When it comes to setting up an innovation company in this area, I think the idea related to it is good. What I'm asking you is why you should connect it to a possible gain when you sell Raufoss. Now if it's going to be zero, does it follow that you don't? At my discretion you have to look at the specificities of this area, and it may be that you do not have time to wait until this sales process is completed, until you do something about it. The idea – I was saying all ideas – related to triggering innovation, innovation and development, is very good. This is a strong industrial cluster with which there is definitely reason to move on. I am fully aware of all the competence accumulated in this area from 1896, when production was started, and it must be carried on. If it's best to wait until you've figured out if there's 10 or 20 or no million left on the sale of Raufoss, what I'm really asking questions about. I think it is important to assess continuously whether other measures should be put in place and not to sit and wait for this. The representative of Fossli said that the government – and that was in particular the Minister of Finance and the Minister of Industry – had little to say about its industrial and industrial policy. Then the representative may think about the parts of the policy that we have pursued from the previous government, and there she may have a point.
ParlaMint-NO_2003-01-28.ana.ud921e278	The Economic and Social Committee has long been concerned about a comprehensive plan to strengthen private ownership in Norway, and we have also seen the need to professionalise the country’s own ownership. We know what's going on: some companies are now being laid down, confused or moved out of business. The last, great example of that is our shipping, where offshore businesses are now flagging out. It's all worrying, because it's an industry that has proved its excellence for many years. Nevertheless, this is about to happen. It's worrying, and we're all concerned about that. But of course, there is no contradiction between opening up some businesses where the state is engaged and also the main shareholder, when it makes sense to do so. We have an intention agreement at Raufoss between Raufoss and Euralcom, and you have a due diligence review. But there is no guarantee that Euralcom will really realize this. They now have access to the accounts, agreements and whatever it may be, and see if these figures are consistent with the information they have previously received. My question to the Council of State is: if it turns out that there is no match, and Euralcom, even though it may be unlikely, is withdrawing, do you have any plan B from the Government, so that you don't stand back completely defying if it becomes a reality?
ParlaMint-NO_2003-01-28.ana.ud921e285	Of course, it's quite right what Hedstrom says when he refers to the ownership message, related to getting a comprehensive plan for government ownership management, and underlines the need to strengthen private ownership. I want to say that in the long term, it is perhaps the last point that is absolutely important, and there will then be several occasions also in the follow-up to the Skauge Committee, not least in terms of how we deal with the tax on wealth, which is of great importance for the possibility of building up private capital that can go into businesses. So the representative Hedstrøm says that there are no guarantees related to the intention agreement that has been made, and what it could bring in the future. No, it's like that, as in the worn-out expression, that it's hard to predict, especially about the future. But I'm not choosing to think about what's the alternative to this. Now I want to put the implementing power into realizing what's lying there, with what I think is an industrially competent owner, and try to get it in place. What would have to be of planes B and C, I'll have to pick up at the time it gets up. I absolutely believe that this is going on. I see the board as having faith in what we're running on, and that's what I'm putting all the power in being able to realize, because of the state's values on the one hand – but there's not much left, so there's not much to do – and because of the industrial environment and the employees of these companies. I have, in fact, seen marginal economic interests in isolation at the hand of the state to care for. As long as you're talking about an exchange value of 40 million. kr, the state owns 50 pst., and there are significant environmental liabilities, there are other things that are “driven” to get this done, and that is what I concentrate on.
ParlaMint-NO_2003-01-28.ana.ud921e292	I have three questions for the Minister of Industry. Question 1: Is it such that the government will now give priority to cleaning up old environmental sins at Raufoss? Question 2: Is it to understand that the Minister of Industry will be an active driver of getting the innovation company at Raufoss, that he takes the Storting's request seriously and works actively to get such an innovation company in place? And question 3: The councils have in many ways acted like a seller of state property. The last hint was that at least for a few moments, he assesses, as far as I understand, to sell Statkraft. Is it so that the Council of State Gabrielsen has an ambition in its time as the Council of State to sell as much state property as possible, so that he can go off like the Council of State that was best in the class in that area? Now, I guess there's no problem, maybe, that the price always gets so high. Once we have heard that Moxy Trucks AS will be sold for a penny, the sales made by the Council of State will not lead to any major problems for the Norwegian Bank or the Ministry of Finance or who it would be.
ParlaMint-NO_2003-01-28.ana.ud921e299	There were three questions. First, the environmental issue related to Raufoss, and whether the Government will be a driver: the government is a driver, and it is enough to mention the name of the Minister of Environmental Protection to make it relatively far ahead in the consciousness of most people. With regard to the history of Raufoss, it is the company itself that has to do the cleanup based on their dialogue with environmental protection authorities, both locally, regionally and nationally. It is the environmental sinner who has to pay for this, and in this company, the state owns 50 pst. So in relation to this, with innovation companies, if the Council of State will be an active driver. Yes, let me turn to the tile and say it's interesting to see that there are more people who are starting to engage in this. We said for approx. Three months ago, in the context of the 2004 State Budget, we are going to present a comprehensive innovation plan, which applies not only to Raufoss and that area, but also to Lindesnes to Nordkapp, to trigger all the good ideas that we have in relation to continuing the skills of many clusters and businesses. So that's where the representative Ryan can be absolutely sure that the Council of States will be a driving force. So the question related to Statkraft. The representative Ryan suspected the Council of State for ‘in a few hours’ to sell out Statkraft. I have no current plans for sales, sales, mergers per. today, related to State power. We are working on one matter, which we announced to Stortinget last year, namely to convert State power from state enterprises to a limited liability company, in order for Statekraft to have the same commercial conditions in the market as other players and not be equipped with an extra turn bag full of greystone. It's my business per year. today – nothing else.
ParlaMint-NO_2003-01-28.ana.ud921e308	Several have not asked for the word for a line. In order to wind up this morning's meeting, the President will now propose that the remaining speakers who have been received have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-01-28.ana.ud921e313	I'll be allowed to say a little bit about Raufoss ASA. The business area of what remains of Raufoss ASA is currently brake pipe coupling products, aluminium wheel suspension for the automotive industry, as well as components and systems for the water and gas industries. The most important markets today are the European commercial vehicle and passenger car industry. Unfortunately, the result of the Raufoss group has been weak in recent times. There have been low profitability and significant accounting losses. As of 1996, the group had a total of 246 million. kr in accumulated post-tax losses. The company's financial situation and poor performance mean that there is a need to put in place a long-term financial solution for the company. The principal agreement with the Dutch Euralcom, measured at the current exchange rate, prices equity at between 90 and 100 million. kr. Compared to 1990 and 1996-97, as previously mentioned by the Council of State, the values are currently only one eighth. The parties agree on a valuation of the company for sales of 400 million. kr based on the total business value. The structure of the Board of Directors implies a new ownership structure with international angles and industrial and financial strength to continue the main part of the activities of the Raufoss group. In particular, the implementation of the company's capital-intensive investment in the chassis contract with General Motors is important. A new factory at Raufoss is in production, and a new plant in Canada is being produced in 2003. These developments present additional challenges for the formulation of Norwegian business policy, and it is very important to pursue an active policy of innovation and to facilitate creativity, ideas and start-ups. Here's the idea of an innovation company at Raufoss is exciting and forward-looking thinking. Raufoss has undergone major changes over the last few years, but despite all these changes, so far it has been successful, and it has largely been successful in the areas where there have been changes, and we also hope that it will be with the new company. At the same time, I hope that the Government will return to the Stortinget as soon as possible with the creation of an innovation company. Because it's this company like Raufoss and the Inland so badly needed in the future.
ParlaMint-NO_2003-01-28.ana.ud921e326	State halls can never be a goal in themselves. I can't help but understand that state ownership, as long as he is exercised consciously and professionally, will be one of the best for both Norway and Norwegian companies, and be involved in and secure Norwegian operations here in the country. However, when we go to the hall of Raufoss ASA, it's because of the rather clear positive signal from the environment, both in the companies and among them added, that one in relation to the situation that Raufoss is currently in, maybe overall, has come up with a good solution. So let's see what this intention agreement with Euralcom will lead to. What I want to focus on is the general problem facing both Raufoss ASA, the business environment at Raufoss and other competitive business. They participate in many ways in an international championship every single day – a championship that they actually depend on to win, at least in their fields. The government meets this largely with the following answers: It should be a tight budget, and there should be tax breaks. And one refers to what business wants. Yes, I have listened to it too, but at the same time I meet a business life, among other things. in Raufoss, which states that there is also a need for a more targeted action on nutrition policy. SND's been cut in his field. Many of the good programs they had have been greatly reduced and gone. In such a situation, a strong commitment to research and education and interaction between this and industry are at least very important. In connection with the sale, Raufoss ASA, Oppland County Municipality and SIVA have taken the initiative of an in-country innovation company, where they want to use any released funds to strengthen the innovation needed in the country. There is also a strong regional involvement behind this, and for SIVA such an establishment would be with and create an efficient and good structure for SIVA's innovation activity in the inland. Elles also has the Raufoss environment today exciting links to Norway's leading technology environment, among others. by Sintef having entered the owner’s page of the technology company of Raufoss ASA. Now the Minister of Industry was in this position and expressed a good will. But I sincerely hope that it will be more than a good will. Here you need an active state involvement. The Minister of Industry says that it is wise to postpone this, but I disagree. Whatever the sale here, it's necessary for the state to go in and get this innovation company in place. That's my call to the Minister of Industry.
ParlaMint-NO_2003-01-28.ana.ud921e337	It is now allocated in total over 300 million. kr in different ways to NOAH AS, and much has been lost, especially on the Brevik project. It is therefore gratifying that there is now a large majority to sell out the business in Brevik, which has been very little successful. It is only SV who will continue to let the state own such a waste, which undoubtedly has also put the jobs at risk at Langøya in Holmestrand, where the business is currently going well. It is claimed in the comments from SV that there is no automatic contrast between public ownership and good business development. It is possible, but a number of experiences of state ownership – of which we are actually dealing with three here today – show that such ideas can be quickly developed. It is alarming that there is no desire to facilitate a business structure in the NOAH that ensures the jobs of the profitable part of Lang Island. The losses in Brevik have been of such a size, and because of the agreements concluded in the future will also be of such a size that they would be very unfortunate for the further business out on Lang Island. Reasons that future returns will be within the range of 25 million. NOK 400 million for something you have invested. kri and losing a two-digit million amount each year are rather advanced economic considerations. I've seen it go against the state sale of the Brevik department for purely ideological reasons. I think that's okay, but it would be better if you instead of putting it into incomprehensible arguments and unsustainable economic reasoning, maybe you said more clearly about it. The government has also asked for authority to restructure the rest of the NOAH Holding and is given a majority to do so. This is very important for the further development of Holmestrand out on the Lang Island. In the situation the company has been in, there has been a great uncertainty about the Brevik project. By getting more private capital, which hopefully evaluates risks in other ways, I think we can prevent similar projects, and we can also secure jobs. During the whole winter, there have been considerable concerns for Norwegian industrial workplaces in this room from both the case rapporteur's party and from SV. In this situation and in this case, the ownership and responsibility of the same industrial workplaces has a very concrete opportunity to participate in the restructuring of existing industries which can ensure a significant number of jobs, where solutions are recommended by a responsible board of directors and financial advisors. I have to say that then it is surprising to note that the same critics of industrial policy do not want to participate in concrete solutions for the jobs they are employed in, but rather choose to risk both national funds and jobs.
ParlaMint-NO_2003-01-28.ana.ud921e350	It's actually a little bit historical, I think Raufoss ASA today is no longer going to be on the hands of the state. So 106 years of state ownership is over with what we're going to adopt today. What is now said by the Committee on an Innovation Centre, I choose to look at positively, even though I have heard the Minister of Industry – and as we say in Hadeland: it's a little late for him on that very question. But I think of it as a step closer to getting an innovation company at Raufoss in place. It can be reassuring, and in my opinion, the government cannot come back and say: this is not our case, because there was no money left on the sale of Raufoss ASA. The state has built up the industrial environment at Raufoss for over 100 years and has been a good owner. It's only in recent years that with the state that owns it, it's been a little scanty. I believe that the state has a responsibility for the development of Inland Norway. The Upland State and SIVA, together with the rapporteurs in the region, have taken the initiative to put an innovation company in place domestically. If funds are released from the sale of Raufoss ASA, I believe they should of course go to new capital in such an innovation company. There is a lot to suggest – after what I heard the Minister of Industry say – that there will be close to zero dollars left, but it must not prevent the Government from going in the next round with funds for such an innovation company. I actually believe that the government's ambition should be at least 100 million. kr. It would be unnecessary to tell the Minister of Industry about the challenges facing the whole of the country, with increasing unemployment and a great need – and I stress, a great need – for economic development. I actually expect a positive follow-up, and not least – I ask the Minister of Industry to notice: the whole district is waiting for answers.
ParlaMint-NO_2003-01-28.ana.ud921e360	Several have not asked for the floor on case No. 1st@item: inlistbox [[Food, see page 1682]]
ParlaMint-NO_2003-01-28.ana.ud921e376	At the request of the Committee on Transport, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: the Working Party 15 minutes, the Right 15 minutes, the Progress Party 10 minutes, the Socialist Left Party 10 minutes, the Christian People's Party 10 minutes, the Centre Party 5 minutes, the Left 5 minutes and the Coastal Party 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines of response following the insertion of main speakers from each party group and five lines of response following the insertion of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-01-28.ana.ud921e383	So now we are going to talk about toll financing for trade projects and measures in the Tønsberg area. I believe that the future will show that this is an important and necessary step for the area, both to make it more accessible and to improve the air for those who behave there. Right now there are many, as far as I can understand on a different basis, who are opposed to the Tønsberg package – some because they don't want such a bet to improve the area, some because they're against the whole or part of the package, some because they think that the state should pay, and some because they want other solutions. I am pleased that several shades have emerged locally, each time, both in terms of the scale, content and funding of this Tønsberg package. Very many people want something to happen, and it's the fastest. For us in the Labour Party, it is important to support local initiatives to address major challenges to society that have clear multiples behind them – not because we love projects that are fully or partially toll-funded, but because we realize that we are unable to follow up all good actions with government promises. We understand, and support, that people locally take the initiative to solve the problems they encounter in everyday life where they live and work. It's basically just to take off the hat for those who are trying to find solutions, and not thinking populist and short-sighted. So far, the bulk of the progress over this large-scale period has been multiplied by 100 million. NOK plus 150 million. In addition, even after this, the national transport plan has several national transport plans. The way up to the rises of the level with the Advance Party will, seems to be met by a rather massive and repressive bomb. There isn't going to be any multiples. This is not a realistic alternative, nor does it help people in the Tønsberg area. SV joins to reject the Tønsberg package in this round. This is not what is widely supported by the local government in the three cooperating municipalities at the meeting. In the short term, this will lead to a further deterioration of the urban situation, leading to the postponement of measures that could improve the situation. I know the Tønsberg area very well. It is a nice area where it is attractive to stay, work and vacation. In the municipalities of Tønsberg, Nøtterøy and Tjøme, there are 47 000 people, while a collective housing and labour market covers approx. Eighty thousand. In addition, everyone comes to the area on weekends and in the summer. Traffic is increasing, and the environmental problems in Tønsberg city are extensive. Therefore, the Labour Party supports the Government and Government Party in this matter. The case is handled as it should locally – all the municipalities and all the parties made it clear that they would hold the last municipal elections if they would be in favour of exceptional funding or not to resolve the major and increasing traffic problems in the area. People knew this when they voiced it. This must be as democratic as it can be. Now we have come to the moment of truth; after the decision today it is only to start. The Timber Mountain Package is divided into two phases and has a frame of $2.6 billion. In the first phase, the end of the Ringveg east-west Kjelle–Kilen, the pedestrian and cycle path Rv Kjøpmannskjær–World and immediate action to improve the appearance of the central hospital will be prioritised. In addition, Phase 2 projects are currently covered by the breakdown: new Nøtterøy link and new traffic solution for the Teie area, new East-West link through the Presterøjsen as well as measures for public transport. The planned funding is mainly based on tolls and 5 pst. State part. Of course, we'll get back on the road, including that. depend on local priorities. Of course, minorities will do good for their eyesight. The Majority – Government Party and Workers Party – supports the submission. We see it as absolutely necessary to carry out a strong upgrading of collective provision, road standards and to facilitate soft road users in the Tønsberg area. It is important to develop a holistic transport system in order to improve the emergence and removal of transit traffic in Tønsberg centre and other local centres. The same majority have noticed that no proposals have been made to strengthen phase 1 collective action and we believe that this must be given greater priority in phase 2. In an area of so dense population and many road users who travel relatively short, it would be quite topical to increase the part that travels collectively. However, a commitment to public transport is also dependent on emerging routes. The buses are in the same queues as the cars for so long. In addition, a number point to the need to look at parking policies in conjunction with policies to increase the collective dimension. This we understand is also local desire. Forest mountain packages will solve much of the local problems in the Tfänsberg area. It supports a multiple, including the Workers' Party, and I want to recommend the setting.
ParlaMint-NO_2003-01-28.ana.ud921e411	It's going to be line change.
ParlaMint-NO_2003-01-28.ana.ud921e414	The articles of the Workers' Party indicated that the lot will solve the environmental problems and address the increased traffic congestion in Tønsberg. Everybody will. At the same time, however, the party has a kick to the Progress Party that of course we do not have a realistic proposal. It's for the Labour Party's account what's realistic, and what's not realistic, but when we take in over 40 billion kroner from the drivers, I honestly think they should get a little bit more back than the 10-11 billion. So the question of the Workers' Party is, has the party ever thought about a roof for the number of bomb projects in this country, or is there no roof or any limit to this? One more question: could the Workers' Party, dare they at all, think of having referendums in the area before they set up a bomb project?
