ParlaMint-NO_2003-05-14.ana.ud917e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2003-05-14.ana.ud917e121	I'm essentially in agreement with that comment. To answer the question, first of all, I'm taking a distance from the way I put it here. It's not the school that sorts children; it's the parents who decide where to send their children. Skular does not have such a sort order. It's the one. The second is that my response to the turbulence in the municipalities was a response on the basis of old financing arrangements for the private schools. Now we have set up a new funding scheme for private schools, starting from the municipal costs of schooling. And then the competition between the public schools and the private schools will be different. In addition, the money comes to the private schools from the centre.
ParlaMint-NO_2003-05-14.ana.ud917e130	I thank the Council of State for the answer.
ParlaMint-NO_2003-05-14.ana.ud917e136	The President has some doubts about what this is like in relation to Storting's regulations. The issue of private schools is being dealt with in Stortinget, and it comes up for debate in the very near future. The Council of Trade Unions is not present, and if I perceive the Council of State correctly, she does not want to answer any further questions relating to the matter. To the extent that this is the case, the President will consider that it is not appropriate to give rise to supplementary questions. Let's move on to the next main question.
ParlaMint-NO_2003-05-14.ana.ud917e141	I would like to ask a question to Environment Minister Børge Brende, but first congratulate him on his position as head of the UN Commission on Sustainable Development. One of the most important tasks facing sustainable development is to save the rainforest. It's where most of the biodiversity is located. Each year, rainforests disappear corresponding to half of Norway’s area. Most of the rainforest is unsustainable, and it is often also illegal hogg. Consumer inspectors can tell today that rainforest extract from the military dictatorship in Burma is used in the production of Norwegian recreational boats. Half of the original teak forest in Burma is already gone, and teak exports are the largest source of income in the military dictatorship. State Council Børge Brende has previously promised a ban on the introduction of such rainforest trees in Norway, and my question is: When will the ban come, and what will the head of the UN Commission on Sustainable Development do to stop the rainforest destruction?
ParlaMint-NO_2003-05-14.ana.ud917e150	First, I thank you for the pleasant words of the representative Sørensen. It'll be a tough job to follow up on the Johannesburg Summit. We know from Rio that it was a successful meeting, but making words about action is heavy in the field of environmental development. As for the question of the import of teak from Burma, I have to say that I think it is very unfortunate, and I am serious about Norwegian companies actually choosing to import from the military dictatorship of Burma. The Prime Minister has several times called on Norwegian business not to do so. It is also possible to replace the teak used in these boats with, for example, treated Norwegian pine. Norway has been a boat construction for hundreds of years – I was going to say a thousand years – and we have also been able to use Norwegian wood. If you are going to use rainforest wood, you should have wood certified, i.e. which is guaranteed to be taken out in a sustainable way. In order to prevent illegal high rainforest imports, Norway has taken the initiative to enter into an agreement with the authorities of Indonesia, where they have accepted that we should be able to refuse the import of illegal high rainforests. I think it's a little harder to reach such an agreement with the military dictatorship in Burma, to say it like this. But I have now informed – in the form of a letter and also in the form of a meeting – that we are making contact with these boatbuilders, because then to underline the strong Norwegian commitment to illegal high rain forest. The rainforest is the most important thing we have in relation to Earth's lungs, and also the most important thing in relation to biodiversity. But I have never said that we should introduce a ban on imports of rainforest timber in Norway. What I have said is that we should introduce clear rules in relation to certification and that this must be consistent with WTO legislation.
ParlaMint-NO_2003-05-14.ana.ud917e161	Børge Brende wrote in Dagbladet on 3 July 2002: ‘The Government will be in favour of prohibiting the introduction of illegally harvested timber and will consider different instruments to prevent the introduction of wood that is not environmentally certified.’ Furthermore, he ends the chronicle of writing: ‘We should ensure that only sustainably produced timber is exported to Norway.’ When the Prime Minister, the Minister for the Environment and others from the Government also encourage the industry to stop these imports for five years, is it not time for the Government itself to act and put in place the ban we thought the Minister for the Environment warned last year?
ParlaMint-NO_2003-05-14.ana.ud917e176	It may be that in the meantime, the Minister for the Environment has had timber workers.
ParlaMint-NO_2003-05-14.ana.ud917e179	I have to say that I think you should look for a long time for a government that has taken so many concrete steps to prevent the import of illegal forest. What the representative points to in his question is that of course I have always stressed that a ban on illegal high rainforests must be imposed under the auspices of the WTO. Norway cannot introduce rules that will not be accepted by the WTO. That's point one. The second point is that we have also taken the initiative to reach bilateral agreements with different countries in order to achieve this kind of ban, which is in line with the WTO. We have also started cooperation with the EU that operates immediately. That is why the agreement we reached with Indonesia was quite groundbreaking, where we can say that we are not importing this timber from Indonesia, because it is illegal hogd. This is also in line with WTO legislation, because Indonesia has accepted it.
ParlaMint-NO_2003-05-14.ana.ud917e186	There will be follow-up questions – Karin Andersen.
ParlaMint-NO_2003-05-14.ana.ud917e189	That's when the instruments come on the table, we see if we can achieve results. I do not feel very comfortable with the fact that we do not have the means to secure such an important matter, as the Minister for the Environment says. It's the world's lungs we're talking about. I have two very specific questions for the Minister for the Environment. One is: will the Minister for the Environment take initiatives, in particular through his new position, to put in place a stronger ban and legislation through the WTO to ensure this important objective? And is it that the Minister for the Environment is sure that WTO legislation prevents Norway from taking stronger action against the use of threatened rainforests than we have today? Wouldn't it have been a good idea to go one more round and see if there might be any action we could do nationally before we say, no, the WTO prevents us from doing this? I'm pretty sure there's more here we can do nationally.
ParlaMint-NO_2003-05-14.ana.ud917e196	What is the main point of the rainforest is that it must be treated in a sustainable way. It's not all extractions of rainforest that are initially wrong. It is clear that we have also been hogd in forests in Norway for hundreds of years. So what we have to prevent is an unsustainable extract from the rainforest. Therefore, Norway will also promote, in the context of the WTO, and has promoted, that, in relation to illegal high rainforests, which have always been discussed, it should be allowed to say no to imports. We have also said that Norway wants to import only FSC certified wood from the rainforest, which is thus guaranteed to be extracted in a sustainable way. We cannot refuse poor people to chop trees, but it must happen in a sustainable way. In addition, on behalf of the state, we have sent letters to all state agencies that we should be very reluctant to purchase wood from rainforest. It must be FSC certified. We have also taken the initiative to establish bilateral agreements with a number of countries to prevent the import of illegal forest. We have reached this rather groundbreaking agreement with Indonesia.
ParlaMint-NO_2003-05-14.ana.ud917e203	Let's go to the next main question.
ParlaMint-NO_2003-05-14.ana.ud917e206	My question goes to the Minister of Culture. In his speech to the National Council, the Government said that the government would give priority to a grant to the Hålogaland theatre, a new operation of 172 million. kr. At the same time, we know that we haven't seen any signals about the opera bag. It's going to spend $3.5 billion on new construction and an uncertain billion on the surrounding area in addition to $200-300 million. kr in operating aid per year. years. What the government doesn't want to spend money on, we can read about it in yesterday's newspaper, where you say no to pensioners and no to families with children, among other things. The government council is also the leader of one of the government parties, so my question is: A clear no to children's families, to the elderly plus to Norwegian shipping and a clear yes to money for theater and opera – is that a correct interpretation of the government's political priorities?
ParlaMint-NO_2003-05-14.ana.ud917e216	It's probably not often a few questions about what a premature person is, in these spontaneous questions, but it should be. I'm very happy and proud that the government wants to build the Hålogaland theater. They've been waiting for this theater for almost 50 years, and they're very disappointed because we didn't find funds in the budget for this year, so they've been given the commitment authorisation for the sum they're going to get from the state. Payments will start next year, in 2004, and they will start building immediately. This is a cultural building that pensioners and children's families are going to enjoy. All of North Norway, yes, I believe the entire cultural nation of Norway, is going to enjoy it. I am pleased and proud that we have given priority. Otherwise, when what's going to be in the revised national budget tomorrow, I'm not going to say anything about it. I just want to say that it's not about deprioritising the areas that the representative named. Otherwise come talk tomorrow, and something more I won't say today.
ParlaMint-NO_2003-05-14.ana.ud917e225	The President is pleased to note that this time it has been possible to surprise a Council of State with a question in the spontaneous Question Time. That must mean that it works as intended.
ParlaMint-NO_2003-05-14.ana.ud917e228	I thank you for your answer. Last weekend there was a national meeting in the Christian People's Party, and behind the pulpit was the new slogan: family and care. I wonder if you had made a little mistake, that you had forgotten a few words, that you should have said no in front of the slogan. I would suggest that the Council of State might change the slogan to: no to family and care. The promise proposed for the pensioners, which the government has announced in the paper that you don't want to support, is about the same thing that the government will use on the opera. I feel that I am not getting a clear answer on the priorities that the Government is basing on. There are significant censuses, several hundred million each year, which will then be used in theatres and operas, and which will be prioritised. You don't give priority to the elderly, you don't want to give priority to the children's families, and you don't want to give priority to Norwegian seafarers.
ParlaMint-NO_2003-05-14.ana.ud917e240	Now I prefer that Ulf Knudsen does not focus on what slogans the Christian People's Party should use. He should have enough with his own. We're going to give priority to both pensioners and families of children. Family and care are a good slogan for the party. We will also facilitate its implementation in municipal policy. This number material will be here tomorrow. Elles wonders not so much about me, because interest in culture has not exactly been so prominent in the Progress Party. The cultural effort of both this government and other governments has not been well received from the Progress Party. We actually need culture to have a warmer society. We need culture to have good care. We need culture to have a living society. So it's actually more than just the narrow goals that the Progress Party sets up. We're going to give priority to families, pensioners and culture, and we can actually afford that.
ParlaMint-NO_2003-05-14.ana.ud917e249	Let's go to the next main question.
ParlaMint-NO_2003-05-14.ana.ud917e252	I want to put my question to the Council of State Burnde. I would like to join the congratulations, and congratulate the Minister for the Environment on his new and challenging tasks, which I think are great. But I want to challenge the state councils in one of our neighbourhoods, namely these great tasks and challenges that we have in the field of cultural memory protection, which I think will be handled somewhat in a vote. Sometimes the search light is directed at singles, as was seen in Doc1 on NRK1 on Monday, May 12, where Oslo as a city of culture was seen in the shame hook. But I thought it was time to focus on the national responsibility that lies here. What is initially a wealth of culture, whether it's private or public, appears to be a significant economic problem. The principle is here: is it right that the state on the one hand impose restrictions and requirements, while on the other hand he has little involvement? [[The President clubs.]] The paradox is that letting decay be built is not illegal, and then the effect of peace becomes bad.
ParlaMint-NO_2003-05-14.ana.ud917e261	The President must remember to justify and present the question in such a way that it is done within the speaking time.
ParlaMint-NO_2003-05-14.ana.ud917e264	Thanks again for the nice words initially. Cultural memory protection is an important area, which is prioritised by the Government. It's been talking for a lot of years about getting a cultural memory fund. There's been a lot of talk, but little action. Last year the government set up its own cultural memory fund, with the address of Røros, initially of 300 million. kr. We've got a board in place, and we're about to hire the Executive Director. The unique feature of the Cultural Memory Fund is that it should also be a support to all owners of the many beautiful buildings in Norway that are both protected and protected. Here we also say that private contributions are to be made, and that public spending is to be made on private funds. This is also in line with practices in other countries. With regard to support for cultural memory, the Riksantikvar also has significant support posts here. We have grants of just over 100 million. kr – some are distributed regionally and others are distributed directly from the Riksantikvarn. But I agree with the questioner that in this area too, more resources are needed. We believe that we have got a good start on the establishment in the cultural memory area. It is clear that it is the annual government budgets that determine how much money we can spend and contribute to the owners of protected and peaceful buildings, who obviously have to deal with the framework conditions imposed by the Riksantikvaren for these buildings.
ParlaMint-NO_2003-05-14.ana.ud917e273	I'm aware of that fund, and it's a beginning and an instrument. But for 2003, we'll have just under 7 million. kr – as far as I am concerned – and this is about 5000 barley. I think it's sad if Norway is thinking like the country that gave the bluff in its cultural treasures. I hope we can be even more offensive, so that we skip the characteristics of a national shame. I want to challenge the Council of State on some proposals for action. A fund of e.g. One billion dollars will result in a return of 100 million. kr, or one may grant exemption from VAT for the maintenance of protected and protected buildings. We can also – as we do in business – take some tax measures, for example. minimum operating and maintenance deductions. Can the Council of State give any view on some other measures that could produce good results?
ParlaMint-NO_2003-05-14.ana.ud917e282	The President would point out that giving the banner is at the edge of normal parliamentary language.
ParlaMint-NO_2003-05-14.ana.ud917e285	It's not just the outer edge of parliamentary language, it's actually wrong. Over the course of a year, we have created a cultural memory fund, which has been a requirement of the cultural memory area for very many years. Of course, this fund will increase, I can't say anything about when it will increase, it will decide the annual budgets. I think we're doing a really good job in the cultural memory area in Norway. Some time ago, the Riksantikvaren and I launched the large stave church program. We're going to spend 100 million dollars. kr in the next 10 years to secure these unique stave churches. We're also going to spend 100 million. kr annually through the Riksantikvaren in support. I don't disagree that we obviously need more money here as well. But, as the Storting is known, priorities must be set. I have had an impact on the establishment of the Cultural Memory Fund, which will yield returns that can be used for cultural memories in the years to come. In addition, we have also nominated several areas for the UNESCO list, and UNESCO was pleased with these nominations. I also understood that they were satisfied with the efforts we are making in this area.
ParlaMint-NO_2003-05-14.ana.ud917e293	There will be follow-up questions – Marit Arnstad.
ParlaMint-NO_2003-05-14.ana.ud917e296	On the day Brende proposes a significant strengthening of the bet in this area, he shall be given the support of the Centre Party for it. The reason why you choose to address this issue is that it is shameful to see the example of the Ekeberg restaurant on TV. It is shameful to see what a part of the church buildings in Norway are in. And it's a shame to see that, within agriculture, you no longer have the opportunity to maintain the building mass that forms an important part of the cultural landscape, and that many, including outside agriculture, are concerned about. It's a shame to see, and that's what's occupying the Center Party in this context. It is also a pity to see that the responsibility has been largely fragmented, and a discharge of responsibility has been granted. The starting point is a beginning, but it's too scarce. The question is, what kind of stepping up can we expect, and when can we expect a stepping up to what is needed in this area – a bet that must be far more than what we have seen so far?
ParlaMint-NO_2003-05-14.ana.ud917e305	First, I thank you for at least acknowledging that this is a beginning. For many years, the very main requirement was to establish a cultural memory fund – the principle. Last summer, it was a joy to have the Cultural Memory Fund set up, and it was a joy to see that it was 300 million. kr in the outlet. Now I understand that you want the fund bigger, and that you want a escalation plan. When it comes to the escalation plan, I'm a little bit unsure whether that's the solution. I often have the impression that such escalation plans are being adopted, and then it is the annual budgetary procedures that decide. But there is no doubt that we also need more resources in the cultural memory area. Nor should we forget that the owners here have a responsibility. There are some people who have owned the Ekeberg restaurant for many years and actually treated it voicelessly. So the question is also how much of this state will then cover the owners' maintenance of beautiful buildings. There's got to be a limit there. So through the Cultural Memory Fund, the state can hold half, so private funds can be put to the other half, in contexts where it is building of national character and importance.
ParlaMint-NO_2003-05-14.ana.ud917e310	Let's move on to the next main question.
ParlaMint-NO_2003-05-14.ana.ud917e313	I would also like to ask a question to the Minister for the Environment, Mr Børge Brande. Yesterday, the ‘Fire Point’ of the NRK sent a programme on the increasing transport of oil tankers to and from Russia along the Norwegian coast from Finnmark and southwards. There has been an explosive increase in the number of ships carrying oil cargoes along the Norwegian coast in the last few years. The working party believes that one of the things that is urgent to get started is to improve the tug capacity in North Norway. As late as March, when the Stortinget dealt with the marine environmental message presented by the Minister for the Environment, it was therefore unanimously agreed that the Government would return to the revised national budget, which will be presented tomorrow, with assessments and concrete measures to strengthen the towing boat capacity in the northern regions. This week, a press release from the Ministry of Fisheries said this would not come until the fall. And my question is, why can't the government come up with measures now, as the Storting has asked, and for which the government parties themselves have joined the Stortinget?
ParlaMint-NO_2003-05-14.ana.ud917e320	First, I must stress that I am also concerned about the increased transport along our coast. Not least, I am concerned because oil protection in Russia, although it has improved in recent years, is not adapted to the increased transport. We also have challenges here at home, and the government has taken some important steps. Of course, it is difficult for me to comment on a press release from the Ministry of Fisheries, especially as the Stortinget has decided that from 1 January 2003, oil protection has moved from the Ministry of the Environment to the Ministry of Fisheries. I ask for understanding and respect for it. More generally, I can say that what the Government has done – and that is a matter that has been lying for too many years – is to propose an extension of the territorial limit from 4 to 12 nautical miles. As long as you don't, many of these oil shipments can happen in the Norwegian quarries. Now the territorial boundary is expanding, and then you get these transports into safer waters. But we are facing many challenges. The representative, Mr Konglevoll, did not mention, as I have also from the Minister for Fisheries, and which I think must be very positive, is that we are now stating that we should establish a traffic centre for shipping in the north, and that will be addressed in the revised national budget. The Minister of Fisheries has also reached agreements here on alerts to Russia, and is now reviewing the needs of the Norwegian oil protection system in the future. With regard to the towing boat capacity, there is a question of assessment in the Ministry of Fisheries, and I cannot say anything more about it.
ParlaMint-NO_2003-05-14.ana.ud917e331	This is one of the biggest environmental threats facing the population in Norway. It is very positive that the government has now joined a traffic monitoring centre in Norway. It is the follow-up of a work that the Workers' Party started, and we have also earlier, as late as in the debate on the marine environment, pointed to Vardø's strategic location. But that's not enough. I note that the Minister for the Environment in a way supports the positive parts of the press release that came from the Minister for Fisheries, but he does not want to comment on the other. I am, of course, aware that this is really a matter that falls within the responsibility of the Minister for Fisheries. But if an accident should occur, the Minister of the Environment will have to take full responsibility for it. So the government asked to come back in connection with the revised national budget with concrete actions and assessments to strengthen the towing boat capacity in the northern regions. This is a matter of urgency. My follow-up question is then: Why can't this come now? Why must it wait until the harvest?
ParlaMint-NO_2003-05-14.ana.ud917e340	First of all, it is good that we get support for our proposal to have a traffic centre in Vardø, which is a good and important proposal, so that we can then gather the information on the shipping traffic that goes along the Finnmark coast. I also believe that the Government can get support for its proposal to extend the territorial border from 4 to 12 nautical miles, including from the Workers' Party. This case has been lying for too long. We had to cut through and get this case promoted. That, I think, in isolation, is the most important step towards getting better control of this traffic. Then I have noticed that the representative, Mr Konglevoll, believes that the Minister for Fisheries in the revised national budget should also provide a review of the towing boat capacity. I of course support his handling of this matter. We're doing our best in relation to having a good oil protection device.
ParlaMint-NO_2003-05-14.ana.ud917e349	The President may state that the decision on a new limit has been taken in the Grand Duchy. The President is in doubt – there are two who have asked additional questions, but here we are left with a border assessment of the responsibilities of state councils. The President therefore asks the two who have asked for additional questions to consider it critically. If their additional questions are actually addressed to the Minister for Fisheries and his area of responsibility, they may not need to consider asking additional questions.
ParlaMint-NO_2003-05-14.ana.ud917e354	Whether this is for the Minister for Fisheries or the Minister for Environmental Protection, the Minister for the Environment will have to assess. I would like to follow up with another area, which is also very important for the government to clean up, and that is when accidents occur or arise where there is a risk of accidents. It must then be clear who is responsible here at all times and who will intervene, if necessary. We all remember the breakdown of "John R" two and a half years ago. Here it was really just happy with the weather that prevented an environmental disaster. And it was revealed that it was very unclear who was responsible for what. I get very worried when I get a lot of requests that this is not yet in place two and a half years later. We also heard what the County of Finnmark said in the «Fire Point» yesterday about that matter. [[President clubs]] He's a nice and quiet guy. Here you have to have clear rules so that you do not lose valuable time – which can have significant environmental consequences. Will the Minister for the Environment be involved in this? [[President clubs]]
ParlaMint-NO_2003-05-14.ana.ud917e365	The President would point out that under the Rules of Procedure, the Council of State is free to answer or not to answer questions outside its competence. However, in addition, the individual wholesaler also has a separate responsibility to assess the address of the issue. That is why Stortinget is informed two days in advance of which state councils are going to put in the spontaneous Question Time.
ParlaMint-NO_2003-05-14.ana.ud917e369	The size decided that oil protection preparedness and the question of scrapped ships should be moved to the Coastal Directorate from 1 January 2003 in order to achieve better coordination. It was a cohesive big deal that did it. That is the constitutional responsibility of the Minister for Fisheries, and I also think he has answered well the questions asked by the representative Pedersen here.
ParlaMint-NO_2003-05-14.ana.ud917e374	Heidi Sørensen – for follow-up questions.
ParlaMint-NO_2003-05-14.ana.ud917e377	There is no doubt that we are pleased that the territorial zone has expanded from approx. 7 km to approx. 22 km. 22 km, however, is not very far off the coast. It is still the case that a super tanker is operating approx. 20 km outside the Norwegian coast is a major danger. In this respect, the Minister for the Environment has taken a commendable initiative. He has launched an investigation, according to a press release from the Ministry of the Environment, in which the aim is to make the Barents Sea a PSSA area, giving the status as a distinctly sensitive area. There are some such areas in the world today – Great Barrier Reef outside Australia is one – and it gives us the opportunity to apply much stronger restrictions for, among other things. maritime traffic. Can the Council of State explain how this work lies in the Government?
ParlaMint-NO_2003-05-14.ana.ud917e384	First, I would like to stress that the expansion of the territorial border, which I understand the Stortinget decided last week, is a very important step in getting better control of this shipping traffic. There may be some areas in the Barents Sea that are particularly vulnerable to shipping, and I am thinking not least of oil transport from Russia. If we want to give a single area that is particularly vulnerable, protection, and it's outside the territorial limit, the so-called PSSA status might be interesting. That is why I have asked the Maritime Directorate to review the possibilities and the need for this and come back with a matter for me after such a review.
ParlaMint-NO_2003-05-14.ana.ud917e389	Let's go to the next main question.
ParlaMint-NO_2003-05-14.ana.ud917e392	Unlike the previous questioners, I will ask the Minister for the Environment a question that has to do with his field of competence. The Minister for the Environment has had a high profile of State protection. State protection is, in most cases, essentially the seizure of private property without financial compensation. Just to mention a few examples: Trillomarka, Skibotn and Lyngsalpene, as well as extensive coniferous protection. There is a ban on the construction and dissociation of the hundred metres belt along the coast and similar cases. The common denominator for this is that there is overrun by private landowners. It's overrun by popular local democracy. Then I have the pleasure of reading a resolution from the Right National Meeting where it says: ‘Right will strengthen local self-determination in municipal planning and administration.’ Then the question is, what will the Council of State do to follow up the decision of the Right's own national meeting?
ParlaMint-NO_2003-05-14.ana.ud917e406	As the representative is also aware: a hundred years ago it was approx. 50 pst. by South Norway villmark. Today it's down to 5 pst. What the Government does in this area is to follow up the National Park Plan adopted by the Storting. Of course, if you have limitations relating to your property, it's not like you're not getting compensation. Paragraph 105 of the Basic Law states that it is the ordinary basic claims that apply accordingly. For example: Trillomarka, which was mentioned here, and which is relevant to a coniferous protection, is such that if you get an area protected, with restrictions on mowing in your forest, it is defined as a nature reserve. A nature reserve means that you will then have the forest fully replaced, as if the area were expropriated. But still you're actually the homeowner of the area. You own it and can rent it out in hunting and fishing. But it is important to realize that the reason why we impose certain restrictions on our national parks and on the protection of the forests is that we have an international obligation to take care of biodiversity. We also have a national obligation, because the Nordics are actually concerned with outdoors. You're busy in the mountain. And then when 1 pst. By our forest is protected, it is for us to take care of it also for the coming generations. However, as there are doubts about these compensation rules, not least on the part of the Progress Party, I think it would be natural that we should also review the compensation legislation applicable to the establishment of national parks and landscape protection areas. Therefore, I have asked a separate sample to check whether it is right to change this to the benefit of the landowners who might be covered by a protection. If you make changes, it will have retroactive effect on these landowners from the time I notify this.
ParlaMint-NO_2003-05-14.ana.ud917e415	I thank the Council of State for the answer. The Council of State did not mention that for approx. six months ago, the Party for Progress, together with the Centre Party, made a proposal to compensate those who are being seized of their property. It made the other parties here in the house vote down. So now you're going to have a sample to evaluate if you're going to substitute. I think at least it should have been automatic in that you get compensation when you get seized private property. The head of the Energy and Environment Committee, Brother Yngve Rahm of the Christian People's Party, said on Tuesday to the Daily Newspaper about the dirt holes in the Beach Zone Act, where exemptions are granted, that he believes that the practice must become even more stringent. He also said that we have to close the loopholes that exist, so that it will not be so easy to get an exemption to build on our own property or restore houses. Is the Government behind such a policy as the Christian People's Party is calling for?
ParlaMint-NO_2003-05-14.ana.ud917e427	First, I have to say that I am a little surprised and a little disappointed when the representative, Korsberg, says that in many areas of protection where national parks and landscaping are established, there is no compensation, but that the Progress Party and the Centre have had a proposal for compensation. In that case, what the representative of Korsberg really says is that the government does not relate to the Constitution § 105, and that former governments have not done so. Of course that's not right. The basic law § 105 and the general basic principles for compensation apply. It is clear that if you have any limitations on your property that result in significant financial constraints for you, you will be compensated. It'll be replaced. You can't make it any different. What I said was that there would be a review of whether even greater care should be taken to the rights of the landowner in relation to that kind of protection.
ParlaMint-NO_2003-05-14.ana.ud917e434	There will be follow-up questions – Øyvind Waksdal.
ParlaMint-NO_2003-05-14.ana.ud917e437	The pressures in the coastal zone vary, of course, in terms of settlement and population density. This results in wide variations in the exemption from the construction ban. For example, 92 pst. of the applications for exemption granted by Troms in 1991, while only 21 pst. was granted in Oslo and Akershus. The building ban in the coastal zone is the seizure of private property. I would therefore like to ask the Council of State whether it would not be more sensible to lift the entire building ban and rather trust that local democracy is able to manage building applications in the usual way, because it is local politicians who know how the shoe prints?
ParlaMint-NO_2003-05-14.ana.ud917e445	As early as 1965, the Storting decided that there should initially be a building ban in the hundred-meter belt. However, provision was made for a derogation for municipalities. Municipalities may also change this through a regulatory plan. We now have a continuous overview of developments in the coastal zone. It turns out that many of the new buildings that come into the beach zone are replacement buildings for former cabins or residential buildings, or there are smaller stalls and docks. It shows that the situation is under control. What I underlined was that the land disposal is initially the responsibility of the municipalities. But we also have state leaders in this law from 1965. Here you simply have to use your head in relation to where you are in the country and how this is managed.
ParlaMint-NO_2003-05-14.ana.ud917e454	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2003-05-14.ana.ud917e457	Now this question is also going to deal with more issues. I want to go back to the question of compensation for protection. Of course, it is true, as the Minister for the Environment says, that compensation is provided when an area is linked to, for example, the environment. national park. The proposal of the Progress Party and the Central Party was that of temporary protection, and that is a completely different issue. The situation is that, pending an assessment of whether or not to protect an area, temporary protection is often introduced, which imposes strong restrictions on the landowner. This means that the area cannot be used for acquisition purposes and that income is excluded. That's exactly what the Central Party wanted to focus on, and what the Minister for the Environment is now saying is to investigate. My question to the Minister for the Protection of the Environment is: Does the Minister for the Environment not see that, pending financial coverage in order to make permanent protection – it often takes a long time, it can take decades from temporary protection to permanent protection – there should also be compensation for loss of income?
ParlaMint-NO_2003-05-14.ana.ud917e468	I agree with Mr Enoxen that especially in the area of coniferous protection, there are areas that have been said to be interesting for coniferous protection, and then there are many, many years before any conclusion is reached. I intend to change this policy. I have also announced in the State of the State of the Environment Communication that Stortinget has received treatment that voluntary protection of biologically interesting areas should be based more on. The Norwegian Forestry Association has launched a very interesting initiative in which they actually make areas available on a voluntary basis, provided that there is a rapid replacement payment. With regard to the current legislation, it was also handled when the representative, Mr Enoxsen, was put in office. The centre party did nothing to change the replacement law for permanent protection. The last time it was changed, during the Willoch government in 1985, was to the benefit of the landowner. Now this government has launched an investigation, which the Central Party did not want when they themselves put into government, to see if we should further strengthen the claims of landowners affected by the creation of landscape and national parks.
ParlaMint-NO_2003-05-14.ana.ud917e475	Let's move on to the next main question.
