ParlaMint-NO_2003-01-09.ana.ud1137e91	The representative of Åslaug Haga will make a private proposal.
ParlaMint-NO_2003-01-09.ana.ud1137e227	Several have not asked for the word for a line.
ParlaMint-NO_2003-01-09.ana.ud1137e231	Recruitment is difficult. It appears that a field is not controllable. Isn't it strange that people's desire for a career doesn't seem to be in line with the decisions made here in the house? The proposals presented in the Communication require institutions to pay greater attention to the strategic development of their own research environments and to take far more account of research conditions in the disposal of their budgets. That should be common sense. But this obviously has not been the case. The assessment of the need for qualified research and teaching positions for the public sector and the business community refers in the notification to those with a doctoral degree, which represents approximately two thirds of the total number of posts in the sector. When recruitment in the public sector in particular appears to be a recurring problem in many areas, it may indicate several factors: the adoption of unclear decisions, the adoption of too many decisions, and the repeal of one decision, or, simply, the failure of the framework conditions. In other words, lack of predictability. The majority’s willingness to combine positions can also be a contributing factor. The progress party does not share this principle position, which we notice in the setting. The Progress Party sees no purpose in teaching all researchers at all levels of the higher education structure. Neither does it seem that the students are equally impressed with the ability of all the professors to convey their knowledge in an easily understood and interesting way. The party of progress is of the basic opinion that teaching for lower-level education must not be carried out by researchers in a combined model. At this level, education is most important. However, we are of the opinion that this is more and more necessary the higher the educational structure the individual student comes to. This principle, which we wanted to assess, was promoted in the Inner East. S. No 110 for 1999-2000 on research, but was downgraded. Although our proposal did not have the support of a majority, this is still our policy. Such an approach would provide significantly more flexibility, while at the same time assessing the quality of individual readers at a lower level without the individual's research efforts being decisive. The progress of the students and the acquired qualities of the students in the desired disciplines had become the most important factor. Research as a career and career goal would also become clear, and research would have a clear priority profile. This, in turn, could have facilitated the work of recruiting. When this principle cannot be given a majority, the Progress Party has taken this step inwards and is dealing with the system that the majority wants in its position. The Progress Party would like to thank the Committee for its cooperation in this regard. We have had no problem going with, among other things. The government parties to form a majority because what we think is the best possible solution model within the system we have today, which we are not particularly pleased with. With regard to the quotaing of women to higher education positions, our view of women's quotaing is fairly clear, and I'm not going to draw up a long debate on this right now. The measures specifically mentioned in relation to the child/care situation for the individual are equally addressed to men, and therefore are not a women’s political stance alone. With this I will be allowed to thank you for the word.
ParlaMint-NO_2003-01-09.ana.ud1137e254	The Committee's position demonstrates a high degree of political agreement on the recruitment of research. The rapporteur has explained the Committee's position. The Christian People's Party is part of the majority that endorses the Government's announcement. There is a broad consensus on increasing the number of scholarship holders. In the view of the Christian People's Party, government estimates represent a realistic analysis of needs and objectives. When the Storting discussed the research report for a few years ago, the majority went in to increase the number of scholarship holders. In retrospect, it has been a little difficult to find qualified applicants for all these new scholarships. I think this can also be the challenge with the escalation we're now adding up to. It is important that the institutions contribute to research-oriented master's programmes and demonstrate the possibilities of research for their students. It may help to obtain qualified applicants for awarded scholarships and for research in general. In addition, we need more post-doctoral scholarships to secure professionals for research and to create career paths in research. The Christian People's Party believes that the institutions have great self-interest in facilitating good research education. They also have a great responsibility. I trust that they will take that responsibility seriously. As far as the length of research training is concerned, there are several arguments in favour of a four-year education, and this is, as far as I understand, a recommendation from a panel of the Norwegian Research Council. However, the Christian People's Party wants closer dialogue with the sector and investigation of all the consequences before we can draw such a conclusion on extending the main model from three to four years. In the Christian People's Party, we believe it is a strength for education to combine education and research. Here the Christian People's Party distinguishes itself from the Advance Party. Combined positions are therefore desirable also for lower-level or lower-level education in higher education. In the Christian People's Party, we believe that there is still a need to maintain the system of earmarked scientific positions for women. We need scholarships for women to recruit for research. However, in addition to positions and scholarships, we also need to facilitate practical and social arrangements relating to the granting of maternity rights and also childcare facilities. All of this can help to improve the recruitment of women for research. Finally, the Christian People's Party also supports the assessment of a separate post category of senior lecturer in higher education in order to obtain meritorious work and thus also to increase the possibilities of recruiting for research in the higher education sector.
ParlaMint-NO_2003-01-09.ana.ud1137e271	It's going to be line change.
ParlaMint-NO_2003-01-09.ana.ud1137e274	I have a comment and some questions for the representative Arne Lyngstad. The Christian People's Party has also signed up from some of the comments made by the minority on the responsibility of institutions to facilitate a good research environment, to integrate doctoral students into the environment and to have good doctoral training, good guidance systems with a leading supervisor, and that the overall environment should be responsible for these doctoral students. The minority writes this to underline the responsibility and to ensure that they are able to carry out the work during the period allocated to them. Are there any fundamental reasons why the Christian People's Party will not participate in these formulations? Do they disagree with any of the possible statements? It is important that this occurs because this is an attempt to give some signals to the institutions. Then I have another question, about using wages as an instrument of recruitment. Does the Christian People's Party see that wages are a necessary tool? I refer to what has happened within the teachers' groups, where we were given a paycheck that would help secure recruitment. Does the Christian People's Party believe that there is a link between pay levels and recruitment, and is the Christian People's Party willing to join in using wages? And what may be the reason why the Christian People's Party does not agree with SV that the salary level of fellows should be at the level of comparable positions in the state? So another question about education: Arne Lyngstad basically agreed that the period should be of 3+1 years, with one year for teaching. I perceived him so that they had to assess it more closely. [[The President clubs.]] [[The President clubs again.]] How should teaching requirements be met if grant holders are not to be used for it in the years ahead, as we do not increase the number of permanent posts?
ParlaMint-NO_2003-01-09.ana.ud1137e287	The President will note that the questions have to be asked within the regulatory time for replies!
ParlaMint-NO_2003-01-09.ana.ud1137e290	With regard to the last question from the representative, I agree that fellows who are in doctoral education should definitely also have a teaching component in their education. But where we're a little bit different from the representative of Rikvam, we're talking about post-doctoral positions and scholarships. Because there we are of the feeling that they don't necessarily have to have teaching components. There will be a negotiation case between the individual grantee and the institution. A postdoctoral position may well be a purely scientific one where teaching is not necessarily the norm. As far as the doctoral student is concerned, I think it's natural that he also has a teaching component. This may be in relation to some of the courses given by the institutions, which are within the field in which the doctoral student is engaged. When the representative Rikham tries to make it so that there is a big fundamental distinction here by the majority not agreeing that an institution should include the grantee in its research environment, that is not the right thing. The majority say there's no fundamental difference. We say that the institutions have a significant interest in having a good research environment with a high quality and a good international network, and that the competence of the research community is reflected in the guidance provided by the institution to the doctoral students. There are no fundamental differences here, but in a lot of things, there's probably more to language, I think. Finally, in the case of wages, I think it belongs in wage negotiations, in which the Stortingen should be careful to settle.
ParlaMint-NO_2003-01-09.ana.ud1137e301	Several have not asked for the word for a line.
ParlaMint-NO_2003-01-09.ana.ud1137e304	The goal of higher education and research of a higher international class requires both wide recruitment and extra bet on the best. At the bottom, students must be able to concentrate on the study, so that they have an economy and housing situation that makes it possible to do their best. In addition, institutions must have framework conditions that make them attractive both for students and for teachers and researchers. High quality study also requires good local, adequate equipment and fewer students per year. learner than is the case today. This must be at the bottom. Then recruitment is a theme. So far in the debate, I would like to mention a little bit about the relationship between the research environment and society, which is absolutely crucial to ensuring the practical use of research results both in business development and management. Research and development will become increasingly important for industrial development and jobs in Norway, both in the private and public sectors. The scope and quality of our research and development will have much to say for competitive potential. Such a good contact between the research community and companies will also make the research more meaningful and interesting. We in the Centre Party thought it was a pleasure that the Committee agreed on many points on how the quality reform should be given a boost. It has been said that it will facilitate better follow-up of the individual student, and here the Centre is clear that the quality reform and the escalation plan will require an increase in the number of candidates, more than has been added by the Government. There is not much money to put in. A total of up to DKK 10 billion will have to be raised until 2005, according to the setting, of which at least DKK 4 billion will be expected to grow in public licenses. The principle of combining educational and research settings is good. There is a lot to get here, especially given that research results can be used more as a motivation factor for the students. The interaction between the educational staff and the student groups and the potential for enthusiasm for the subject and the subject area can be decisive for the number of researchers in the future. When it comes to the recruitment situation relative to wages, it is at least an important tool, no matter how you look at it. Recruiting women has its own chapter. That's good. The system of ear-marked scientific settings for women shall continue. I would then recommend that one look at the context when it comes to the scientific career and tasks of baby mothers, and that this be more remarkable than it has so far.
ParlaMint-NO_2003-01-09.ana.ud1137e319	The Committee's position shows that there is broad political consensus on recruitment policy in the university and higher education sectors. I would like to thank the Committee for its thorough work on the matter and for its insightful, precise and, in my opinion, interesting comments on the communication. I am also happy to note that the message has been well received in the professional environments. In my opinion, the message and setting mark a clear policy change. The research conditions shall be strengthened and the new recruitment dimension shall be dimensioned so as not to undermine the objective of better research conditions for all. This is also the way to put quality on the agenda in recruitment policy. There must be a quality-enhancing balance between human resources and research conditions. Norway continues to face major research challenges, but at the same time Norwegian research is now very positive. A good research budget has been adopted and there are happy signs that business will now invest more in research. We've been given new incentives to commercialise research. At the same time, a number of quality measures are being implemented, including, for example: the creation of 13 new and first centres of excellence. The Research Council is being reorganised and a new main board has been appointed. Quality reform also contributes to raising the quality of Norwegian research. The examination of this Communication also takes important steps to strengthen Norwegian research. A sharp increase in the number of new scholarships envisaged is adopted. One hundred doctoral students are to be trained annually. There is a marked change in the course of course which means that greater emphasis should be placed on better research conditions and the quality of research before the creation of new professional positions, if any. A much more strategic human resources policy is expected, including: make more flexible use of professional staff, including: through individual determination of units of teaching and research time. Measures are discussed to stimulate more people to take research training and to choose a career path in research, whether in the university and higher education sectors, in the institute sector or in industry. These are, of course, still challenges. One of them is precisely linked to the research training that has been evaluated, partly not so positive. Although the quality of the thesis is high, the flow rate and the degree of completion are too low. The evaluation report has now been consulted, and the Ministry is currently systematicising the consultation opinions and will start a dialogue with the sector before finalising any changes in the training of researchers, including their length. With regard to what the institutions themselves can do to make research education more visible and make a research career more attractive, I think the Committee has come up with many exciting ideas. Some also talk about fumigation in Norwegian research. It's a truth with modifications. The main problem is actually not anti-abuse, but old age at the time of addition, on average 42 years. Then it doesn't take that long to get off soon. So the challenge is again to do something about the flow and thus the average age of those who start a research course, and of the doctoral students. It is also a challenge to increase international mobility, so that we can attract more scientific staff from abroad and contribute to our going out and recruiting more women for top positions among scientific staff. I welcome the Committee's comments on this point. Finally, there is so much positive in Norwegian research right now, both quantitatively and qualitatively, that I think there is reason to say, hope and believe that we are seeing the results of the government's and the Storting's investment after examining the research report that the Bondevik I government presented a few years ago. If we stick to this strategy and have a long-term perspective, I think we can see even more positive results in the years to come. The settings we are considering today will also contribute to this.
ParlaMint-NO_2003-01-09.ana.ud1137e340	It's going to be line change.
ParlaMint-NO_2003-01-09.ana.ud1137e343	I think the message gives a good description of an area that concerns both the Department and the Workers' Party. It's about equality. Despite many measures, there are far fewer women than men in permanent scientific positions. The proportion decreases its higher in the job hierarchy you come to. Some — perhaps central — plugs are pointed to, such as the time when research funds are to be attracted or the issue of publication requirements. I think it's particularly interesting what's written in the message, that maybe an informal network of men deprioritises women, the so-called glass roof culture. The message also says that if this is the case, you are set to enter with positive special treatment. Then at least you have to look into whether that is the case. I guess that's what we in the minority have thought, that by going through the recruitment and recruitment process, you see whether this can be just some of the down-priority elements. I fully agree that it should be maintained as correct that scientific positions can be earmarked for women, even though it is known that there can be uncertainty about this in the spring related to the decision of the EFTA Court. But I don't think it's enough to leave responsibility for and follow-up to the institutions. The Ministry points out in a proposal that this could be a measure. It is said that it is necessary to examine whether an incentive scheme is possible. I expected the Department and the Council of State to say more ‘we will’ and ‘we will’. As I have seen the Council of State in other areas, there is more power to act, even though there has been disagreement, but there is a total consensus here that the proportion of women is going up. So we need a more comprehensive and comprehensive effort to ensure a fair share of women at all levels in some of our most important social institutions.
ParlaMint-NO_2003-01-09.ana.ud1137e353	I agree that what is being addressed here is a real underlying serious problem. There is no real reason why women should be so poorly represented at the top level because women, unlike in previous times, are now training as much as men. In fact, they do it better at some levels of education. So this is a serious underlying problem. There is a very weak representation of women at the top level, but it is actually even weaker in some other countries in Europe, and is considered to be a major European problem in the sector in general. I think that provides a good basis for the case we are going through, where we are now awaiting a judgment in the EFTA Court. We have in particular outlined some tools. We're going a long way in using instruments in Norway because we've been told in our law that we can actually run some kind of radical quota. We do not know all the reasons why it evolves as it does in terms of the female share at the top level in the sector, but I am fully open to discussing different types of action. I don't think we should run the institutions in detail. We have a good dialogue with the sector in terms of human resources policy and human resources strategy. I'm completely open to discussing that. But we are now at a stage where we have to await the EFTA Court and see what will be the conclusion there. The overall measures we can use will depend a little on the results there. But I think this is an important matter, and I'm completely open to discussing different kinds of actions. After all, I believe it is also important to entrust the institutions with the responsibility of human resources. I think the institutions themselves are very aware that something needs to be done here, and the designation measure has been requested by the sector itself.
ParlaMint-NO_2003-01-09.ana.ud1137e360	I hope that the Government will also have a good dialogue with the sector even though the resource situation. In this case too, there is reason to recall that the ambitions must be followed up in the resource allocation. When I have that approach, it is for the purpose of a committee comment that a majority consisting, among other things, of by the Party of Advancement and Government Parties, it appears that: ‘The Government of the Communication expects that the quality reform – through efficiency effects and better use of existing teaching resources – can be implemented without significant input of permanent professional staff. The majority do not dare to have a safe view of this issue at the current stage of the implementation phase, assuming that both the institutions themselves and the Government are closely monitoring developments in this area. It is also important to ensure that no new demands for closer follow-up of the students, longer semesters etc. leads to a further reduction in the time available for own research for scientific staff.’;» So we're back to the idea of running with the combined positions. But what makes me dwell on this is that a number of committees are responsible for the government to follow developments in the resource field carefully. We receive a message of concern from universities that the quality reform can almost end up on the runway. It is important that there be a close and good follow-up, and that the Government follow the comment and ensure that there are sufficient resources. If not, this is just talking and nothing else. There may even be a reduction in research efforts in some situations where scientific staff are used primarily to take care of the students in the first semester when they come as students, and that is certainly not the intention. So I ask the Council of State to make sure that there is a close and good dialogue here and to ensure that the necessary funds are put in place.
ParlaMint-NO_2003-01-09.ana.ud1137e377	It is quite right that it is not easy to have completely certain opinions about the need for permanent jobs in the sector, but I can assure the representative of Sortevik that we have a very close and ongoing dialogue with the sector about this. NIFU had an estimate of 2,000 more new research positions, but it was based on the policy at the time. The government has wanted to improve the research conditions. It is my strong impression that if researchers themselves are to highlight the problem of their research, there is a lack of coherent time and other research conditions that determine, and which is the biggest problem. We want to increase the number of scholarship holders and the number of support staff for researchers, and have then estimated that the result of this policy change will be approximately. 1 000 new posts. But the institutions themselves are responsible for the addition policy, and they can add more if the research conditions also improve and they meet that requirement. At the same time, the Communication and the Committee provide for much greater flexibility in the use of staff. I would nevertheless like to say that the budget is less cautious than the recruitment message, which was submitted long before the budget. There we only talked about temporary means of conversion, but the budget has secured 500 million. In the case of stable budgetary growth for educational purposes, and as I said, institutions themselves can then assess the addition. I have to conclude by saying that I have not received any signals that it is moving towards a bug landing for the quality reform. The reports I receive are associated with a lot of enthusiasm. It is clear that institutions are undergoing a very demanding transition, the transformation of times. We have said that you might be practical and at least mentally should reset the organisation to do something new. It's demanding, I'm not going to underestimate it, but I also think it's very enthusiastic to track out in the sector, and the dialogue is very close, as it has been in and on the whole process of the reform.
ParlaMint-NO_2003-01-09.ana.ud1137e384	I would also like to stress that I have also not received any signals that indicate that there will be a bulwark landing for the quality reform, on the contrary, I have also received strong signals that it is quite enthusiastic. It obviously depends on how we deal with it further, but right now it seems like it's a lot of enthusiasm. At least we must not draw a picture here from this speaker that this reform will not be implemented and that there is resistance around the institutions. I also agree with the Council of State that there is a great deal going on in Norwegian research. We've made it easy to do self-placing and self-paining in this country and tell each other how hopeless and how bad most things are. That's very good. We've got quite a number of centres for excellent research, and there were a lot of good qualities in the environment that didn't get in that way. All of this indicates that there is a lot of good in Norwegian research, and that image I think it is important that we sometimes draw up, so that we don't always use self-placing and self-tankering. But I have some questions for the Council of State. We are not going to add up to any particular increase in the number of permanent jobs. It is contained in the Communication, which should be more efficient and rationalised. The increase shall take place in scholarship and post-doctoral positions. It is also in the Committee's position and, furthermore, in the communication. Then you still add up to the doctoral period of three years. This means that those scholarship holders should not enter and undertake teaching tasks. We have adopted a quality reform that will require more education, closer follow-up of the students, and then my question will be: who will do this if we are not even going to be able to add up to a four-year doctoral programme where one of the years becomes a compulsory year of education? This is also consistent with the evaluation of the Evaluation Committee, which will be the best model. So my question to the Council of State is: shouldn't it already be a clear and clear answer now that we want this, this is the way to do it?
ParlaMint-NO_2003-01-09.ana.ud1137e395	I have to assess that. We have had an evaluation report at the hearing. We haven't even systematized the hearing opinions, we haven't consulted the sector, so we haven't taken a position on that. However, it is clear that there are potentially also some economic consequences that need to be assessed. Either there must be fewer scholarship holders within the same framework or it will result in relatively significant costs and therefore requires a thorough assessment. However, institutions can assess for themselves 3+1 years to meet the educational and guidance needs of quality reform. But this is not a question I have raised, it is a question I say we should consider in the light of the hearing opinions and the evaluation available. If that's allowed, I could imagine using the few seconds I have now, to say something about a point that several people have affected, and that I could think of saying something about, namely, the salary level of fellows. I think there might be reason to draw attention to the fact that this year's paycheck actually gave a boost to the scholarship holders by now being placed directly between salary steps 40 and 60 upon addition, and it is higher than the initial salary in alternative positions in the public sector. I would like to add that in the draft budget we have tabled and adopted, the Ministry has also taken on the basis of salary step 42 when allocating funds to new posts in 2003. So I see that what you've expressed concerns here is, in many ways, taken care of by reaching that level through this year's salary line and what's in the budget.
