ParlaMint-NO_2003-06-17.ana.ud1698e76	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-06-17.ana.ud1698e202	Several have not asked for the word for a line.
ParlaMint-NO_2003-06-17.ana.ud1698e205	Initially, I would like to point out that, on a general basis, the EOS Committee shows that there have been no particular problems in the control of the police security service in 2002 and that the sample has received the information requested. I think this is satisfactory. The Committee’s inspection activities have focused primarily on issues related to the registration of personal data by the PST. Against this background, it is satisfactory to note that in December 2002, the PST established a computer solution in the central work register, the NCR, which facilitates the evaluation of job registrations after five years. This is in accordance with the requirements of the Ministry of Justice registration file for PST. In addition, I would like to point out that there are rules for the funding of the service in cooperation with the National Archives. Through its inspection activities in the police districts, the local PST team, the committee has found examples of a lack of consistent practice of the five-year rule. I assume that after five years in the future, the requirement for review and evaluation of work records will be followed up by all the PST units, and the necessary measures will be taken in this respect. In this case, it is also natural to look at the establishment and use of so-called work registers in some police districts and the need for annual evaluation of prevention cases, see below. The EOS Committee's reference to these relationships. The international threat picture has led to an increased exchange of information between intelligence and security services in different countries. Effective counter-terrorism and legal certainty may, in some cases, lead to difficult balances. In this context, I point out that the PST has recently established a registration system that allows for a continuous overview of personal data provided to other countries’ services. This will facilitate a good control of the information exchange. Moreover, the relationship with cooperative services will be subject to a specific assessment in the preparation of new instructions for the service. On the basis of the so-called Viksveen case, the Advocate-General asked the Advocate-General of the State in the circular of 30 August 2002 to ensure that their decisions at the investigation stage are formalised with sufficient notoriety, so that there is no confusion about the control area of the EOS Committee. The circular implies a simplification of the control, since the sample may subsequently relate to what is documented when issues arise regarding the demarcation of the control area against the overall prosecution authority. The PST requested, prior to the ABCDE conference in June 2002, the PST units in all police districts to report information on all persons known to travel to Oslo to participate in demonstrations against the World Bank. The EOS Committee’s investigations in the case showed that notifications from districts were of modest scale and, following the sample’s assessment, neither information from districts nor from other sources made registration of persons is contrary to the applicable rules. I take note of this. So I have to say that this conference went very well. It went very well because there was such close cooperation between all parts of the police and the demonstrators that it was entirely possible to make the overwhelming number of peaceful demonstrators succeed. The small coincidences that someone would provoke something else were cut off. First, they were cut off by the demonstrators having a system that kept away, and then they were cut off by close, close cooperation between those who stood for the dominant demonstration wave, and the police, to whom it was invited and laid up. It should basically be noted that this was a success – one should record it as a success. There are situations in other countries where unfortunately there has not been. But it is quite clear that achieving that success is done precisely by the balance of the knife rod, which has been expressed by several members of the committee, and I perceive that those who were responsible for this in the police took note of it and followed it. I know a part of the work done. A lot of work was done to ensure that peaceful demonstrators were not hindered by provocation by those who wanted something else. Those who want to provoke can be found both in our own country and outside the borders of the country. They have their right of expression as long as they do not act with force and strife. They are isolated by massive, democratic mobilization and wise interaction with the police, regardless of the name of the police units. I think we should actually enjoy that in this context as well. There have been different press releases over the past six and a half years where questions have been raised as to whether Samer has been monitored on an ethnic basis in the past and whether it is happening today. The EOS Committee's studies have resulted in the 2002 sample questioning of two registrations of persons with a Sami background. The PST was asked to review these records. So far, the committee has received feedback about one of the registrations. In this case, the PST found that there was no basis for maintaining the registration, and it has therefore been deleted. I take note of this. I also point out that the sample did not find a basis for establishing that the relevant records were made on the basis of ethnicity or that they were registered on the basis of legal policy activities. The sample also generally shows that there is no indication today that Sami membership or co-political activity is itself a basis for registration or other forms of surveillance. In connection with a conference in Alta in February 2002 under the auspices of Barents Press International, it was complained to the EOS Committee that the PST had requested the publication of the list of participants at the conference. In the complaint, the Norwegian Journalist team stated that the PST had infringed the provision of the supervision directive § 4, second paragraph, which does not provide the basis for obtaining and recording information by virtue of which membership of a political or other legal organisation or activity was carried out. In this context, the EOS Committee has expressed some criticism of the behaviour of the PST. The service has taken note of the opinion of the Selection Board and has in this respect proposed to the Ministry of Justice that a provision clarifying the framework, etc., be included in the preparation of new instructions for PST. for the control of travelling foreigners by the PST. This is also a matter raised by the rapporteur. This will be followed up by the ministry. As regards the general question raised by the representative, Valle, the issues under parliamentary control of Norwegian police agencies, including the PST, in relation to the international framework. What is otherwise apparent from transnational cooperation with other countries, we are trying to ensure as much as we can through this cooperation. It is my impression that many of the same legal violations that are under discussion in this Chamber also concern other parts of Europe – one wants to be aware that there is no situation in relation to Schengen cooperation and the registrations that lead to the impact on those not to be affected. That's my general idea, and I'm working on it.
ParlaMint-NO_2003-06-17.ana.ud1698e229	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 3335]]
ParlaMint-NO_2003-06-17.ana.ud1698e245	The background to the fact that the Storting will today deal with and hopefully adopt an instruction that the Rikssaudition will first request a review of the Ministry of Transport's proceedings on the State loan provided in connection with the establishment of BaneTele as a limited liability company and, secondly, request a review of the organisation of the company and its links with the Railway Agency to assess whether the organisational model opened up unfortunate decision-making processes at the cross-border point between the company and its owner is that the Control and Constitutional Committee per. letter of 23 January this year by the former Managing Director of BaneTele, Trygve Tamburstuen, was requested to examine the role of the Ministry of Transport in the financing of BaneTele and the development of GSM-R as a railway project. In all modesty and honesty, it must be admitted, at least on its own behalf and perhaps on behalf of the rest of the Committee, that it was reasonably soon understood that the conduct of proceedings itself in this matter would be to be justified, since the relationship between BaneTele and the Railway Agency on the one hand and the relationship between the Department and BaneTele on the other imposes stricter requirements than is customary in terms of having the tongue straight in the mouth with regard to legal and economic issues. Tamburstien in its request to examine the ministry seeks to link the questions related to the establishment of BaneTele with the question of the development of GSM-R as a project. However, in the light of the Committee's work on the matter, we have not been able to find that the Storting has expressed any desire for such a link between the formation of the company and the development of GSM-R as a railway project. The latter project is even under examination in the Ministry, and therefore it is not natural for the Committee to carry out monitoring assessments of this project now. However, what is natural to consider is the extent to which the Ministry of Transport has acted improperly as regards the handling and handling of the State loan, on the basis of the decisions and assumptions of the Storting and the consideration of the general interests of the State. I would like to stress that the Committee has no indication of this beyond the letter from the Tamburst, but sees it as natural to look at this issue more closely. But even if the question is addressed, it is not given who is going to carry out such an investigation. I must honestly admit that at the beginning of the committee's work on this matter, I was very much in doubt as to whether a request for the Riksrevision to look at this was the right thing to do. Although it must be considered clear, as explained by the Grand Duchy in the context of the investigation by the Frøiland Committee, that the Grand Duchy can instruct the Riksrevision to undertake a single task, it is also such that a broad and traditional historical majority has in practice assumed that there should be no inflation in this, and that the threshold for us should be higher than that which we consider to be the most easily profited or used in party politics. However, there are two issues that have moved us in this specific case. First of all, it is the fact that the Storting on the examination of Document No. 3:2 for 2002-2003, Riksrevision’s control of the government’s management of the state’s interests in companies, banks, etc. [[Department's]] for 2001, gave clear signals that other tasks of a more social nature should be carried out and that the exemption from State activities imposes new requirements for the Storting to exercise effective control and not lose its control. Exclusion of State activities does not imply the existence of a vacuum of responsibility. The subsequent monitoring of these establishments by size is becoming increasingly important, all the time when the possibility of prior management becomes and should be reduced. The second relationship concerns the organisation model selected itself with the Railway Agency as owner of BaneTele. A more detailed assessment of this issue is very interesting from the Biggest side, insofar as we can draw general conclusions on the benefits and disadvantages of this way of organising societal tasks. These circumstances make it natural that the Riksrevision should be given the task of looking into the circumstances mentioned in the proposals for Decisions I and II. As underlined by the Stortinget also in connection with the treatment of the Frøiland Committee, it must be clarified that it is up to the National Audit Office on a professional basis to decide how this task is to be resolved. On the basis also of the fact that Trygve Tamburstien at the time of writing has been targeted for gross adultery and for violation of the penal code § 317, I should of course be very careful about what specific conditions in BaneTele and the Railway Agency should be examined by the National Audit Office. Of course, the indications of conditions that do not tolerate the light of the day that I, as rapporteur of the case, have received during the process, I will also limit myself to discussing in this Chamber and at the present time. To what extent the findings of Ecocrim could possibly also form the basis of the National Audit Office's investigation work and the detailed division of work between the Public Prosecutor's Office and the National Audit Office, I will not go into it either. Our primary wish through II in relation to the work of the National Audit Office consists in a general wording that states that any ‘mal decision-making processes in Bane Tele and in the crossing points between the company and’ the railway works are revealed, what they consisted of, what and who, if any, caused them, and what the result was. Based on the findings of the National Audit Office, the Stortinget will then be invited to discuss on a general basis the extent to which the chosen form of organisation has obvious weaknesses and opens up processes that cannot be said to belong in a democratic society, as part of normal control activities. I and the Committee see a clear need for proper dynamisation, but then on an objective and professional basis, and therefore ask the Stortinge to join the Committee's recommendation under I and II.
ParlaMint-NO_2003-06-17.ana.ud1698e280	Several have not asked for the floor on case No. 2nd@item: inlistbox At the request of the Foreign Affairs Committee, the President will present that case no. 3 and 4 are dealt with as a whole – and consider it adopted. [[Fotation, see page 3336]]
ParlaMint-NO_2003-06-17.ana.ud1698e310	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by main speakers from each political group and from members of the Government be set at 10 minutes and for the other speakers at 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies following the insertion of main speakers from each party group and five lines with replies after the insertion of members of the Government. – This is deemed to be adopted.
ParlaMint-NO_2003-06-17.ana.ud1698e317	I would like to thank the Foreign Minister for the presentation. Although it is the government that negotiates in the WTO, it is important that the Storting has this opportunity to discuss different aspects of the ongoing negotiations. There are negotiations affecting a number of areas that are important to Norway. I join the Foreign Minister when, in his statement, he says that a ‘obligatory multilateral trading system is the best means of combating arbitraryness, protectionism and the most powerful’. WTO legislation protects against discrimination and the dispute resolution mechanism ensures compliance. Not least, such legislation is of great importance to small countries, and in particular to a small country such as Norway, which is not a member of the EU. Of course, the WTO is not a perfect organisation either, but, like other international organisations, it is what the Member States do. And so the option is the strongest one right. The Doha Round has been called for the development round, where the interests of developing countries have been central. It is important that this is also reflected in the final result. I hardly think it is conceivable that there will be any final result without significant impact on the voice of developing countries. The most important thing for these countries is to improve market access for their products. Norway has decided to introduce duty-free and quota-free market access for all products except weapons from LDCs. But perhaps even more important: these countries need real market access for their products. For it is a problem that Norway almost does not trade goods from these countries. Therefore, more needs to be done for developing countries in the form of technical assistance in order to enable these countries to produce products that can be competitive in relation to the quality requirements on the market. There may also be grounds for considering other provisions which may prevent imports. We cannot infinitely turn to the chest and say that we have opened up full market access from the MUL countries if we have mechanisms that effectively impede this access. I would also like to point out that export subsidies on agricultural products result in dumped exports and are particularly harmful to the development of agriculture in poor countries. There should be real and great progress in the negotiations. UNDP has recently published a book called "Making Global Trade Work for People" by main author Kamal Malhotra. The book calls for developing countries to have the opportunity to protect their products at a stage of agricultural development, as many industrialised countries, not least Norway, have done. We are aware that this report has been highlighted as important in the ongoing negotiations. In the WTO, Norway has both offensive and defensive interests. It is now, as in the past, in the field of agriculture that there are the greatest challenges to reaching agreement. In Norway, as in a number of other countries, we have a strong desire to maintain a viable agriculture, with living areas and scattered settlements. However, it is a dilemma for us, as the Foreign Minister also pointed out in his statement, that this need contrasts with the demand for increased market access from the majority of WTO member countries. I have noticed the Minister of Foreign Affairs' observation that we need to be prepared for a result that could have significant consequences for Norwegian agriculture. I would like to stress that the proposal by the rapporteur, Mr Harbinson, was totally unacceptable from a Norwegian point of view. The Labour Party is committed to the importance of agriculture for food production, rural settlements and the preservation of a living cultural landscape throughout the country. We need to find partners in the WTO context that ensure this. In a global context, the EU is close to us in the view of the role of agriculture in society and is also a heavy player in the negotiations. Together with the debate on the Foreign Minister's presentation, we are discussing today a Document No. Eight proposals from representatives Bjørlo Lysbakken and Jacobsen to draw Norway’s requests and requirements for developing countries to liberalise trade in services. The majority of the population do not agree with this proposal. On the part of the Labour Party, we are committed to taking account of the developing countries, and we stress trade liberalisation that will contribute to economic growth and development in the poor countries. At the same time, we are concerned that there are no demands that undermine effective and good services in key sectors such as education, health, energy and water supply. We are therefore pleased that the majority of the Committee considers that national authorities should continue to decide whether services in such areas should be public or private. The WTO negotiations also cover a number of other areas. Market access for industrial products, including fish and fish products, is not least an area where Norway has clear offensive interests. It is worth noting that good results here also have a major impact on rural policy, housing and employment. As regards anti-dumping, it is clear that there is a need to do something about the legislation in order to avoid abuses in order to target imports that could compete with national products. In relation to the environment, I agree with the Government that we need to ensure equivalence between WTO legislation and multilateral environmental agreements. At the same time, it is important that environmental requirements are not set in such a way as to make it impossible for developing countries to live up to them. In the area of the TRIPS agreement and public health, there is clearly a need to reach an agreement so that the poorest countries can access low-priced medicines. Knowing that a total of 2.4 million people died last year just south of the Sahara in Africa for AIDS-related reasons, it is very important to reach an agreement on the diseases to be covered by the scheme and which countries should be able to benefit from it. I hope, despite the fact that many difficult questions remain, that the Ministerial meeting in Cancún, Mexico, for the autumn, can reach an agreement, and not least that the outcome of the meeting will be such that you can actually look back on this round of developments. It is also important that we can achieve a result that ensures a continued viability of agriculture throughout Norway. We wish the Government good luck in the final phase of the negotiations and we welcome the fact that the Government is consulting the bodies of the Stortinge on the WTO negotiations in the future.
ParlaMint-NO_2003-06-17.ana.ud1698e352	It's going to be line change.
ParlaMint-NO_2003-06-17.ana.ud1698e355	City and country, hand in hand’ has been one of the most important postwar political slogans in Norway. Around the world, we see that precisely because farmers in rural areas are in a bad state, they move into cities, with slumming, etc. I know that the representative Eyeågen, as former Minister of Agriculture, is well aware of this. That's why I want to ask her a question. A guy named Stephen Byers wrote in The Guardian on 19 May this year – he was also a negotiator to the United Kingdom in Seattle – that he was wrong that free trade doesn't give the poor what a believed free trade could give them. My question to the representative Eyeågen is whether she sees the enormous consequences free trade can have for farmers and small communities around the world.
ParlaMint-NO_2003-06-17.ana.ud1698e362	There is no doubt that the agricultural policy pursued in many rich countries, including Greece, is one of the most important. heavy export subsidies and consequently dumped exports are very harmful to many poor countries. There is a broad consensus on this in the Biggest and, not least, there is a broad consensus on the fact in developing countries. I have had the pleasure of attending a number of conferences where the own voices of developing countries have been heard. They are very impatient about the need to do something about the policy in the rich countries, so that poor countries can build their own agriculture. That's an important part of the negotiations. This may be challenging for Norway. But as I pointed out, I believe that the export subsidies in particular are very unfortunate.
ParlaMint-NO_2003-06-17.ana.ud1698e369	The representative Eyeågen points out, as the Minister for Foreign Affairs also stated, that there should be a conflict between maintaining a sound Norwegian agriculture and pursuing a solidarity policy with developing countries. The centre party believes that this is a wrong conclusion, that it is obvious that if poor countries are to escape poverty, a system of protection of agriculture and allow countries to produce food for their own people must just be in place. I am a little uncertain about the position of the Workers' Party in this matter. Therefore, I would simply like to ask the representative Eyeågen: does she see it as maintaining a Norwegian agriculture as we know it today, conflicts with pursuing a solidarity policy towards developing countries?
ParlaMint-NO_2003-06-17.ana.ud1698e376	As I suggested in my speech, there may also be a need for developing countries to implement protection at a stage in which they build up their agricultural sector. But what is the main problem today is that these countries are completely uncompetitive because rich countries have subsidies and export subsidies, so that their output is uncompetitive. In the case of Norwegian production, it is small and we are small on the international export market We do not contribute very much to the major market disruptions. But it is clear that developing countries point out that we have protection and support that they think is far too high and that they want to do something about. My concern is that we must work for solutions which, on the one hand, safeguard the interests of developing countries, but which also provide us with sufficient basis for ensuring Norwegian farmers satisfactory incomes and opportunities to maintain production throughout the country. I think both are possible.
ParlaMint-NO_2003-06-17.ana.ud1698e385	There is no doubt that the Labour Party and the SV look differently at the WTO, and we respect that. However, when I sat and listened to the contributions of the representative, I couldn't help but wonder if the Workers' Party has not at all cared about taking a stand on the international protest storm that has been against WTO policy in many countries around the world. The statements of the eye, as far as I could get along, did not have a single critical objection to the WTO's policy and the way the system works now, in other words, like the Secretary of State's statement. My simple question to which I could imagine being answered is: is there any point where the Labour Party is more critical of the WTO and the current WTO agenda than what the Government is?
ParlaMint-NO_2003-06-17.ana.ud1698e392	Now it is actually the government that is conducting these negotiations, and that also means that they have to decide on the specific issues that come up. But if I am to be allowed to express my personal opinion, I have been critical of the WTO because one has not been able to take enough account of the long-term interests of developing countries. I therefore hope that we can get such a result this time. I am very surprised that EN itself is not more concerned with developing countries, but has positions that suggest that they know better than the vast majority of developing countries that are involved in these negotiations.
ParlaMint-NO_2003-06-17.ana.ud1698e399	So the chord change is over.
