ParlaMint-NO_2003-02-06.ana.ud2316e58	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2003-02-06.ana.ud2316e199	It's focused on education and at school right now. It's a pleasure. It's important to focus on school. It is also important to focus on the importance of learning outcomes. It is also important to remind each other that we almost have a European resource use and teacher density record. But unfortunately, we have far more discouraging results to refer to in terms of learning outcomes for students, measured by the OECD in the much-discussed PISA study. It is also true that there is no legal link between resource use and results, both learned and politicians have a different view of it. Similarly, in the Progress Party we are also concerned that we need to get system changes in Norwegian school. We promoted at the session start last year a comprehensive Document No. Eight proposals, nine to ten different amendments to the system, which were examined in November and rejected by all other parties. Among the changes in the systems we want to implement is a change in funding. We want to remove the municipalities, we want to make it impossible for local municipal authorities to put the labs on money that is meant for school. We do this best, in our opinion, by getting direct government funding, a system in which the state pays school fees for the individual student to the school where the student chooses to be a student. And then I use the opportunity to record our proposal that is in the setting. At the same time, we are glad that there is a system change going on in school. So we have a notified system change that goes where the wage negotiations are going. It's a pity that we have a strike reaction to such an important system change. It's a pity that we get a strike reaction from a union that obviously suffers from change. The more happy it is that the parents, who are organized through the parental committee for primary school, are very clear that they are taking a break from the strike, and are taking a break from using students in a paycheck on the part of the teachers. What is interesting – and I would like to spend a few seconds on – is that some comments have been made on what has been proposed. Indeed, even from the point of view of change, there are quite clear objections to the proposal, at least as designed by the proposers. Also from the Federation of Education you have problems swallowing what comes directly from SV in the form of proposals, which is the background that we have this matter here today. It's interesting to notice. What is also interesting to note is that there will be a presentation to the Survey on the resource situation in initial training during the first half of 2003. It comes on the basis of the budgetary agreement between the government parties and the Progress Party – one of the many things the Progress Party was given in the field of education in the agreement with the government parties. But I would like to remind you that the same proposal that is now part of the budget agreement was actually made in the main room in connection with the debate on the throne. There was no connection from the government parties – perhaps not so surprising at the time – but there was no connection from the other opposition parties either. Neither the Workers' Party, the Centre Party nor the SV felt a particular need in October to get a notification of the resource situation in the school. It is possible that the centre party voted in favour – I see it is one eager representative – but at least it was quite clear rejection from the proposalers' party, SV. They would not have such a message. Now we get such a message, on the initiative of the Progress Party, and then hopefully we will get a broad light on a number of issues related to resource use and performance in Norwegian school. We think that's useful. And then there is also full opportunity for the different parties to once again promote their views on resources and outcomes in Norwegian school.
ParlaMint-NO_2003-02-06.ana.ud2316e218	Arne Sortevik has addressed the proposal to which he referred. It's going to be line change.
ParlaMint-NO_2003-02-06.ana.ud2316e224	I waved quickly with my hand, because it's a party that has really underlined the need for resources to primary school, and it's just the Center Party. The statement that we're asking the Government to come to Stortinget has two important things in it. The first is that it should be looked at in a way that is about adapted training for the individual student, which is actually the most important concept in L97 – adapted to the individual student’s needs. What resources are needed to enable one to say that each person is trained according to abilities and forces? That's the one. The second is that it should also be measured against the fact that schools should have the freedom to determine the local school structure, i.e. that one is not forced to leave schools on the basis of the resource situation. This, I believe, is important leadership that the Government must have as its starting point when it comes to the Storting with this statement.
ParlaMint-NO_2003-02-06.ana.ud2316e233	Two things: From the Progress Party we are sure that the best prescription to stop the schools from being laid down is to make sure that the money is just following the student. With regard to the statement, I believe that KS in its reply to the matter has described it very well: ‘KS believes that such a review could provide the basis for a broader debate on the relationship between resources and school performance than individual doc.8 proposals.’ – This is after they have referred to the agreement between the government parties and the Progress Party. So do we. But I agree with what has been expressed here, that we hope it will be a message. We assume that it will be a message. We assume that there will not be a column in a budget paper related to the revised budget. We assume what is contained in the text of the agreement that this is a statement in a separate communication, with a broad discussion that also provides the basis for good and proper consideration in the committee and good and proper treatment in the storeroom.
ParlaMint-NO_2003-02-06.ana.ud2316e245	Several have not asked for the word for a line.
ParlaMint-NO_2003-02-06.ana.ud2316e248	SV believes that a national minimum standard of resources for primary schools can contribute to providing a platform of security and predictability. It will represent a guarantee that migration can serve the objective of real quality raising and not just adaptation to an increasingly strenuous local economy. I don't want to spend so much time justifying the need by looking at the situation around the municipalities. I note that there is at least some common view of the school's economic situation and its consequences, and I refer not least to what the rapporteur said. I also learned in yesterday's Question Time that Kristin Clemet also went a long way towards the same as she – perhaps a little surprisingly transparent – admitted that the local economy represents a serious challenge for the school. I would therefore like to focus on what seems to be one of the main reasons why none of the parties would support SV's proposal: that our proposal would weaken local autonomy. In my view, there can be no doubt that a certain economic space is a necessary prerequisite for a real local autonomy. The biggest obstacle, as I see it, is not, above all, strong governmental leadership, but the coercion that lies in the lack of financial ability to steer in the direction you want. I have my political everyday life somewhere other than in this house – in a poor press community. As a local government, chairmanship and school board representative, I have this year after year learned that the school policy engine is not at all wanted for a better school, for wiser and happier children, but primarily for economic reasons. It's only been a few days since the majority of politicians in the municipality I come from, Nesodden, instructed the school to break the Education Act by moving students out of the neighborhoods of the schools and across to other schools. There was no new scheme motivated by a desire to raise the quality and offer children the best, but motivated by the economic pressure in the economic situation in which the municipalities are located. I experience this as a result of strong government governance, where the economy is the instrument. We also experience that it is hard to get people to engage and participate in local democracy. Freedom of innovation is of little value when it comes primarily to freedom to find solutions that cost less, which will make the wheels run around with fewer teachers, enabling the municipality to operate at less cost. This is the reality of a lot of municipalities. SV wants news. We have e.g. to ensure that it can be valuable to open up to another organisation of everyday school life through, for example: to move away from the traditional barriers to the size of the class. However, if a minimum basis of resources is not ensured, such an option becomes a coercion. I know that in my municipality – with the economic situation we have – this possibility will only benefit those who are striving to get the budgets to go together. Without a fuse like the one contained in our proposal, the Government's desire to abolish the classification requirement becomes a safe path to reduced quality. A minimum standard for primary school does not represent a detailed management system. It is a governance of key national objectives. It will provide room for better equipment, for more specialised teaching, for project work, for new forms of work — in short, an innovation that the school urgently needs, but for which today’s resource situation gives too little room. It will also counteract the growing difference in resource use between municipalities and municipalities that we see. SV is a strong supporter of local communities choosing differently, but it must result in an equivalent, albeit different, offer. The Workers' Party and the Centre's Party are concerned that a minimum standard will shift the problems to other sectors if the municipalities do not allocate funds of the same size. For SV it is an absolute requirement and it is also expressed in this Document No. The 8 proposal that the Storting compensates for the increased costs. Municipalities cannot carry any more reforms without containment. We have estimated the cost of SEK 1.5 to 2 billion, and believe it is entirely justified on the basis of the objective that I have learned that both SV and Right have in common, at least when you put Right's rhetoric into the election campaign, to create the world's best school. SV considers the introduction of a national minimum standard as one of the cornerstones of the effort for such a measure. So I just want to make a few brief comments on the Right Representative's view of this with regard to the relationship between resources and quality. We hear from the Right so often that there's no connection, that you're almost tempted to believe that you're looking at reducing resources as a means of improving quality. Of course, there is no mechanical link between resource increase and quality increase. But there can hardly be any doubt, as I see it, that the quality of the Norwegian school is related to the use of a lot of resources over a long time, and that today's economic situation is a real threat to this. I want to take advantage of the opportunity to present the SV's proposal in the setting.
ParlaMint-NO_2003-02-06.ana.ud2316e278	Christian Holm has taken up the suggestion he referred to. It's going to be line change.
ParlaMint-NO_2003-02-06.ana.ud2316e283	I've learned to think positively about most, including most statements. Therefore, I have as my starting point that SV would like to do the best for most people, even when it comes to school. On the one hand, SV wants local self-government, while on the other hand they impose on the municipalities the detailed proposal from Stortinget after the other, which regulates what municipalities should do. On the one hand, they want local freedom of action, while on the other, they adopt reforms in the Grand Duchy which deprive municipalities of freedom of action. I mention one example: when SV now wants municipalities to have a better economy in relation to the schools, SV is at the same time to adopt on the Stortinget a child care reform that deprives municipalities of freedom of action, and as a number of rapporteurs, including the Municipal Councils, strongly argues against and dissuades the Stortinget from adopting. On the one hand, SV wants the municipalities to receive more funding for the schools – NOK 1.5–2 billion, it is said here. On the other hand, a policy is being pursued to reverse the level of interest rates if the SV's policy had been pursued, in relation to what the majority of population have adopted. Does the Swedish authorities not realise that there should be consistency between what is done at Stortinget in individual cases and what they want to do at local level? Should there not be consistency between the desire for local freedom of action and the central direction SV in Stortinget?
ParlaMint-NO_2003-02-06.ana.ud2316e290	I explained in my post that the way I see it is an economic basis that ensures freedom of action, also a key prerequisite for local self-government. Sub-budgeting the municipalities creates a coercion that works against local self-government and puts local politicians in a situation where the choices you want to make are not made, but forced into a path that is set by the financial framework. We have underlined that this is a reform that needs to be compensated by adequate resources. Then it will be up to local self-government and the individual municipality to design the offer as you like. But there's a certain minimum national standard at the bottom, and I think it's necessary in the school sector.
ParlaMint-NO_2003-02-06.ana.ud2316e295	Several have not asked for the word for a line.
ParlaMint-NO_2003-02-06.ana.ud2316e298	There is no doubt that the school has been given a lot of attention in several contexts lately, as in the hall here today. But also outside this hall we'll notice the teachers' activity today that the school is on the field. The Christian People's Party understands the frustration many feel that a number of municipalities are now cutting down on the funding for schools. We are witnessing that municipalities cut in good deals, often contrary to the objectives of which there is broad political agreement. The key must therefore be to enable municipalities to give priority to the school. There must be consistency between the tasks assigned and transfers of resources. But the Christian People's Party does not want to support the SV's proposal to introduce a national minimum standard of resources for primary schools. We don't think that's the way to go. It is clear that there are huge differences between municipalities and municipalities in the use of money at school per year. student. This may be perceived as unfair, but it is important for the Christian People's Party that municipalities continue to be responsible for and free to organise primary schools according to their own priorities and available resources. The municipalities themselves know where the shoe prints – or the school. It is not correct to say that different levels of expenditure in municipalities are reflected in different quality of school and educational provision. The large cost variations depend on geography, school size, number of students in need of strengthening measures, etc. In addition, greater emphasis should also be placed on the role of teachers and the competence of teachers. This is also decisive for the pupils' learning curve. It is worth noting that the Municipal Councils have opposed the proposal for a minimum national standard, because they fear that the proposal will weaken local democracy and hinder the flexible, sensible and efficient use of public funds. A major challenge for the school in the future is to achieve the objectives of national curricula for the development of local school. The plans provide a wide scope for action and, therefore, developments in the future depend on local will and initiative. The Christian People's Party has confidence that communities want to meet this challenge. Today, the average teacher timetal is approximately. 70 pst. above the minimum level of the law. This shows that many bets in a good school. And I'm glad we can spend a lot of resources at school. The problem is not high resource consumption, it is optimal use of resources. And the result for me is more than measurable grades. It is important that municipalities give priority to school, but the debate on quality in school is more than a question of money. There is no clear link between resource use and the academic achievements of the students, as we have heard. The Christian People's Party wants school content to be much more the subject of political debate. I therefore expect the Quality Committee for Primary School to present its position in June. I hope that the committee's attitude can help widen the horizon of the school policy debate. In addition, the Ministry has also been asked, as we have heard earlier here today, to provide the Stortinget with an explanation of the resource situation in initial training. I am pleased that a large majority of the committee, with the exception of the Progress Party and the representative Simonsen, shows that there is a great deal of upsurge in public schools. It is a strength in our society that children with different backgrounds meet in the same school. This does not conflict with the fact that someone will choose a boarding school. We must have that right in a democratic country. But the Christian People's Party will continue to invest in public school. We need a good school, not just for students, but also for society. During the 1990s, we have expanded a 13-year training offer. The offer shall be equivalent for all throughout the country. At the same time, training shall be characterised by diversity and local conditions. We still believe in local self-government and that the will of local politicians is there to create a good school.
ParlaMint-NO_2003-02-06.ana.ud2316e319	It's going to be line change.
ParlaMint-NO_2003-02-06.ana.ud2316e322	It is nice to hear that the Christian People's Party has a great understanding of the finances of the municipalities. It's just that in the municipalities, understanding helps very little when you're going to get the budget involved. It surprises me that the Christian People's Party can repeatedly go to the pulpit and say that they have so much understanding of the poor community economy, for welfare offers that cannot be given. Then you'll get to mention it to Erna Solberg! It would have been OK if the Christian People's Party in government had gone out offensively and said, "We're going to take the municipalities' economy seriously, and we're going to press the Right to take a lift for the public sector." It is with great disappointment that I record that the Christian People's Party, which has been shoulder to shoulder for many years with the Workers' Party, SV and the Center Party in defense of the School of Unity, in defense of the Public School, now throws all the values overboard and says: We follow Right to the door, we want the private schools to get a lift – as was done during the last budgetary procedure. It is not possible to stand here and say that a good quality is not just dependent on money. When you say it repeatedly, you get the impression that if you just gave the school zero dollars, we got the best school. My question is, why has the Christian People's Party left its position on supporting the school of unity, on fighting for the public school, and now the Right follows right to the door of private schools?
ParlaMint-NO_2003-02-06.ana.ud2316e332	Thank you for the challenge of saying – and repeating what I said in my post – that the Christian People's Party wants a good public school. There's no doubt about it. And that's where we stand with the Right. That's why we rule with the Right; among other things. We stand together in school policy. We'll bet on a good public school. I paid attention to the fact that this does not conflict with the fact that we also offer fresh oils. What happened to the treatment of the last state budget, with an increase in the transfers to the colleges, was a justice requirement, as the private school law says that the primary schools should have 85 pst. the cover in relation to what is given to public schools. A new investigation was now followed up, which shows that the boarding schools have been under-budgeted until now. This does not mean that there is less money for public schools. We're strengthening public school by doing a lot of other things than just focusing on money. I did not say that there is no need for money. On the contrary, I said that it is not just a clear agreement with regard to these things all the time. But I said I'm glad we have a high level of resource use in the school in Norway. It was just supposed to be missing! And the fall in interest rates, which has come as a result of a tight government budget, has given 2 billion more dollars to the municipalities. So there's a connection here with a tight government budget to get interest rates down, while focusing on a good school. We're not throwing our values overboard. The working party can be sure that for us public school is something we'll bet on in the future as well.
ParlaMint-NO_2003-02-06.ana.ud2316e339	The representative Elsa Scarbøvik points to something very important that is widely agreed in Stortinget, namely the poor municipal economy and the difficult situation of municipalities. But it is not possible to improve the finances of municipalities by just being concerned about it. Now there is a real decline in the local economy. This year’s budget shows that municipalities have received even worse advice. I'll take an example from my daughter's school. She's going to Smestad School. We have now been informed that the school library will be closed in six months. That's the reality you're experiencing around the municipalities. If you are concerned about local economy, and if you want municipalities to have real self-management, you give money with the promises. In the budget, SV gave NOK 5 billion more in free money to the municipalities, as well as the transfers to special tasks that we have given to the municipalities. For example, the Government, together with the Progress Party, has now decided to transfer the school leisure system from earmarked funds to free funds to municipalities. At the same time, half of the grant has been awarded to SFO. You've reduced by 214 million. kr in the case of the school leisure scheme. My question to Elsa Scarbøvik is: does this give the municipalities a real freedom of action in how to handle the school leisure system and its offers?
ParlaMint-NO_2003-02-06.ana.ud2316e346	I understand that local economy becomes the topic of a debate where you talk about minimum standards. But from there you also take up the SFO case – I can't see it has something to do with the minimum standard. For me, the SFO is not something that has to do with school's public engagement. It is a voluntary arrangement for parents, for whom I believe they should pay. This must also be seen in the context of other tasks that the municipality has in relation to its inhabitants. For me, it doesn't mean that we see that the SFO is coming out worse in many places. It does not do SFO, as I know it, but you have to put it here in connection with the municipality's offer. When it's about being worried and just worried, I'm not. We also do something about it, by looking at how things can be done in other ways. We're trying to turn the case around, so we don't get into a black paint of Norwegian school. It's just ruining, and I'm more worried about that. I see that the schools are developing well around the different municipalities. I'm on a lot of municipal visits and I'm asking to see what the schools are doing, so I know this from the inside. There's so much positive going on, and we also have to keep going, not just let us duplicate all of the black paint that we can read about in the papers. So we're doing something to develop the school. There have never been as many development measures in Norwegian school as per. Today, and this is what we want more people to benefit from.
ParlaMint-NO_2003-02-06.ana.ud2316e353	The representative Scarbøvik says she understands the frustration. I guess it's not that hard to understand things, but the question is whether the representative Scarbøvik and the Christian People's Party are also taking responsibility for the situation that's going on around School-Norway, and which is particularly affecting the municipalities this year. My question to Elsa Scarbøvik is, what will she do with that understanding? Will she stand up and say that this we take responsibility for? I was at a meeting in Sund at Sotra with municipal minister Erna Solberg on Friday evening, where we had the theme: Are we heading towards the trip or community merger? There the resource situation in the municipalities was debated quite a lot, but she promised no improvement in 2004. She said that the municipal economy was also going to be very hard in 2004. So my question to Elsa Scarbøvik is, when is she going to go from understanding to responsibility and really do something about the situation around in School-Norway? She has actually joined in writing in the setting that you are concerned that the number of split hours is falling, and that the resource situation in the school is as it is. It's not just useful to have an understanding of frustration!
ParlaMint-NO_2003-02-06.ana.ud2316e362	I have more than understanding, and I also tried to elaborate in my post that we're doing something about it. The school evolves from within, and we look at things that can be done in a different way than before, using the resources that are. It's taking responsibility. That is why this is out for consultation, and several proposals have been put forward that will do something about this. Keeping a tight budget is taking responsibility. It is to take responsibility for the interest rate, as I am, among other things. referred to in my previous answer. We do something when we point out that the local economy is something we have to do with. I fully agree with that, and we have also said that in our party. It is also shown that the Council of State in the Questionnaire yesterday said that careful monitoring of the development of this situation with the local economy is taking place. Nor has there been more money in the municipalities than it is per person. Today, but there is something about the way they are used. Among other things, there is more to wages, e.g.: In school, we've wanted to raise our teachers' wages. Then resources are used differently from before. I'm not saying anything for a new budget, but I promise that we'll follow the situation, that we'll do something about it, and that we'll take responsibility, so that we can constantly develop a good school. It wants the Christian People's Party to be in it.
ParlaMint-NO_2003-02-06.ana.ud2316e369	The cord shift is over.
ParlaMint-NO_2003-02-06.ana.ud2316e372	Actually, this isn't a school debate, really it's a debate on the municipal maritime administration. Indeed, the local economy is a concern of all parties, and we have had a long debate on it. I now feel that we might get an honest debate about it, where the concern is somewhat equally shared. This is not something that has suddenly occurred this year. I have tried to make the school budget also with labor party governments, without realizing that it gave me the great space for action in order to reach the great heights on the school page. The biggest threat to the municipal maritime administration and the municipal economy is that there is a wealth of rights and minimum standards in this room, which means that there is no room for action at local level. This is where the health and social department of this house has been most competent. As a result, those who are involved in school in this house are getting more and more pressured. Then we have the choice of either trying to defeat the health and social part or throwing ourselves in the same carousel. I realized that SV chose the strategy that we had to throw the school at the same carousel. It seems like a shock that we have a municipal minister who actually doesn't lie about the situation, and who actually tells us what things really are. I think that if we had managed to get there that we could discuss local economy at that level, it would have been much more comfortable. It's not like everything knows in this country is located in this room, sail if I see that the Progress Party in today's debate came up with its true me with the fact that municipal politicians were going to put their labs on money for the school. I think we should rather think that the municipal voters actually choose the politicians who represent the values they stand for, and that there are a lot of local authorities who are involved in giving priority to schools, despite the fact that we don't have all sorts of minimum standards there that we have in the health and social sector. Otherwise, I also notice, after the last review of the municipalities, that there are clearly municipalities with the Left rapporteur who have prioritised the school highest. The short cut in this proposal is, first of all, that there will be no more money from having minimum standards. There's absolutely no more money in the system of it. The second is that you don't accept the inequalities between schools. I've traveled around schools and seen a lot of different things, including schools that have quite similar foundations in economic, demographic and pedagogical terms, but that get very different from the money. In fact, municipal and local maritime governance means that you have to have confidence that the people who are set to give priority should also give priority to it. In this connection, Lena Jensen set a good example, as she has placed her child at the west edge school Smestad. Here in Oslo, schools have a high degree of maritime governance and a high degree of parental influence in relation to how this should be prioritised. And that's what they've got because there's different views about the role of the school library. If you go up in the Grorud valley, to Trasop school, you have prioritised school library over many years, and you have an amazing school library and amazing resources attached to it. But it's a choice that the school has made. And it's up to parents and local environment to engage. If you see the school library as the most important thing, you have to give it priority. But I know that Smestad has also prioritised other things. And in terms of the type of local variation in your choice of pedagogics, and the focus you want on the tools in school, I have great faith that parents, teachers and students together will be able to find the best solutions, instead of having minimum standards on what to have, without it being related to the pedagogical holistic approach.
