ParlaMint-NO_2003-11-05.ana.ud2613e28	The called alternate of the Aust-Agder County, Liv Marit Moland, has taken the seat.
ParlaMint-NO_2003-11-05.ana.ud2613e299	I note that there is considerable disagreement between the Minister for Industry and the County rapporteur in Rogaland about how reality is. I look at the letter from Bergsaker as a cry for help from one of our leading industrial states. Bergzag points out that they need 30,000 new jobs over the next 15 years. I know that there are other states that are also struggling significantly in relation to the industry. Sogn and Fjordane, for example, are facing dramatic changes that some people have to deal with. My follow-up question is: Will the Council of State come to Stortinget with a scheme to meet these major challenges that Bergsaker and others point to?
ParlaMint-NO_2003-11-05.ana.ud2613e306	I said in a previous answer that I can't remember that for a period of the lifetime of the Kingdom, at least in modern times, there have been as dramatic improvements in the framework conditions for Norwegian business as what has happened in the last two years. And so I disagree with the idea of, for example, $14 million. kr more to SND in Rogaland is more favourable to developing new jobs and retaining those we have than they have about. $800 million. kr in tax reductions. It has given them muscles to resist the downturn, and it has simply meant that we now have fewer unemployed people in Rogaland than if we had chosen another action option. But that doesn't mean we're betting either on one or on the other, we're running both tracks. What we're doing now, in the new agency that we set up from New Year's, is focusing on what Bergsaker is concerned about: start-up, getting to business start-ups, innovation and innovation. New jobs need to be created. There is no doubt about this, unfortunately we have 8 000 fewer employees in the country today than we had in October 2001, and that is a challenge.
ParlaMint-NO_2003-11-05.ana.ud2613e311	There will be three follow-up questions – first Lodve Solholm.
ParlaMint-NO_2003-11-05.ana.ud2613e314	I want to ask you a question. We have just received a plan of holistic innovation from the Council of State. This plan is being slaughtered by the director of Ulstein's yard, Gunvor Ulstein. Steel Rasmussen, who is the director of Kleben Verft, reports out of the Right precisely because the government and government council Gabrielsen is pursuing a business policy that does not take care of the maritime cluster, which is the world champion, in order to use the sports language, and could continue to be so, if the government had put up a different policy than it is put up to today. It is obvious that the Government, by the Minister of Finance and the Minister of Industry, does not take this seriously. They arrogantly dismiss all criticism and talk about business neutrality. Does the government and government council not take Gabrielsen seriously these signals coming from some of the perhaps most successful business leaders at least on our edges of the country?
ParlaMint-NO_2003-11-05.ana.ud2613e319	I hear that it is of little use to suggest to the representative that what he calls the arrogant preaching of business neutrality, I have never done. I'm never going to do that. It will never be part of this government's policy that we should implement business neutrality. It's just one example that I can think about on the go, that can go under that vignette. That is the moment we said that the electricity charge should be removed from all industry. It actually becomes neutral when we're not going to have it for anyone. In addition, we have done what we have done in the area of taxation. With regard to the shipbuilding industry in particular, we are in the situation that in 2003 it becomes «all hour high» globally, but only 5 pst. of the tonnage built in the world will be built in Europe. It is an expression that high-cost countries have problems, and we are perhaps among those countries in Europe that have the highest costs. In addition, we have a significant overcapacity, and it recognises the yard industry. And that shipyard winners are frustrated in such a situation, I have a great understanding of that.
ParlaMint-NO_2003-11-05.ana.ud2613e326	Olav Akselsen – for follow-up questions.
ParlaMint-NO_2003-11-05.ana.ud2613e330	I started my previous question by commending the Minister of Industry that he now seemed to take the situation seriously. After this questioning I believe that I will withdraw that rose again, because unfortunately the problems that Bergsaker has raised are real. It surprises me how little the Minister of Industry takes these signals from his party trap in Rogaland, and not least from the business community in the district. In my view, he strongly underestimates his own party traps when he does not take these signals more seriously. And my advice is that when he doesn't want to listen to the opposition, at least listen to his own people who are near where the problems occur. What is a major issue in Norway now is that someone addresses the problems that Bergsaker describes. An active minister is requested. We don't have that minister today. In my view, we have a minister who does too little to put these things on the agenda. My question is, when the Minister of Industry is so satisfied, how can it be that business is so dissatisfied with the same policy?
ParlaMint-NO_2003-11-05.ana.ud2613e337	I am aware that we in this Chamber are pursuing politics – and that is how it should be. But I still think that a lack of audacity should be allowed. If you look at the input from business organisations that are supposed to represent the enterprises for which they are made, we have followed the recommendations in the case of what has been most important for Norwegian business in this two-year period. It will then be seen that, by reading through the recordings made to the Financial Committee, if mentioned at all, what is going on is the increase in appropriations for this area, relatively far below the list. It's been the very basic things business has been busy about, and we've taken that into account. We have largely succeeded in these things, and now we are beginning to see the effects, with an increasing degree of optimism. Although unemployment has stuck to an too high level, there is still absolute light at the other end of the tunnel. And I don't think it's a meeting train.
ParlaMint-NO_2003-11-05.ana.ud2613e344	The President will stress that euphoria is of the things that are completely allowed in this hall. It's never going to be charged from the President's office, if the Council of State feared it.
ParlaMint-NO_2003-11-05.ana.ud2613e347	This council of states is doing well.
ParlaMint-NO_2003-11-05.ana.ud2613e352	Øystein Djupedal – to the last follow-up question.
ParlaMint-NO_2003-11-05.ana.ud2613e355	What I think is discouraging in these dialogues with the Minister of Industry is that he does not take into account the seriousness and frustration of his own party traps. Because this isn't about every penny or every million dollars to SND, it's about a fundamental pessimism that unfortunately has spread in a lot of environments, and that this government is strengthening. Pessimism is because you don't use the tools that the state actually has, to get the wheels going and to get the optimism back on track. And pessimism is self-enhancing. That means that this signal that Bergsaker sends out is the same signal that many of us hear when we move around in Norway, from business leaders, from their own party traps, from the party traps of others – it really doesn't matter – everyone kind of doesn't look very optimistic in the future. Then it is expected that political leadership and the government are actually trying to do something seriously to create optimism. What may well be the main problem is a Minister of Industry who is defensive, who does not accept that the world looks a little different from where in Norway it might be, than from government offices. Perhaps the biggest problem we have with industrial policy in Norway today is a passive minister.
ParlaMint-NO_2003-11-05.ana.ud2613e360	It is clear that it is not easy in one minute to have a dialogue around the challenges we face in the industry as a whole, and not least in the yard industry in particular, which is absolutely serious. It is a European challenge, which is also addressed by the Norwegian side. Now I might have used a wrong word when I was talking about autility. It's not often I recommend with all my heart to concentrate on a editorial in Dagbladet. However, this should be done with regard to the editorial article that was published on Monday. I think at least we should be able to gather about enjoying the sparkle that has now come into very many industries. This applies both to the position and to the opposition. It is quite clear that the policy that we have pursued and pursued, with very hard implementation, has worked. Because it is that in most industries, with some exceptions, there are positive signs. But then there's someone we have to deal with in particular, and the yard industry is definitely one of these. I think, unfortunately, that the main challenge is related to capacity, and someone will have to sweep out. It's a confession I got in the meeting I had with the yard industry – with which I have regular meetings.
ParlaMint-NO_2003-11-05.ana.ud2613e367	Let's go to the next main question.
ParlaMint-NO_2003-11-05.ana.ud2613e370	I have a question for the Minister of Health. Later in the ordinary questionnaire, the Center Party asks seven questions about hospitals and specialist health services, but I want to get into the hospital reform right now. It is probably the largest administrative reform in Norwegian history, and the aim was among others. efficiency, productivity and clearer responsibilities to provide good health services to the whole population. The first goal is working on it, but for the last goal, it seems to go the opposite way. Economic assessments and considerations are ahead of health care responsibilities. The people are worried. Neither local nor local and regional politicians have any influence on decision-making processes. It confuses the traditional process that you had before with the balance that was in a common understanding between politicians, professional medical personnel and administrators. The medical profession had to take social policy into account, and the politicians had to take medicine into account. What will the Minister of Health do to restore this balance and trust between the hospital, local democracy and citizens?
ParlaMint-NO_2003-11-05.ana.ud2613e379	Let me first say that I basically agree with the representative of Luttvold on the importance of trust between hospital services, health services and the population, and between professionals and politicians. I believe that, in fact, this hospital reform has already achieved very important results after just under two years, but unfortunately it is rare to hear the Central Party be willing to admit it. In fact, it is an improvement for the population that the availability of healthcare has improved. We've seen a dramatic decline in waiting times and waiting lists. We have seen that the treatment offer has increased. Never have so many people been treated for as much as in today's hospital system. There are, in fact, improvements in the provision of health care. In addition, in the first whole financial year following the reform, health businesses have also contributed to a better use of resources, according to Sintef Unimed figures. That means that even at that point there has actually been a development in line with the intentions. So I'm going to be the first one to admit that we have challenges in communication between the health service and the locals and the locals. I have mentioned this with health companies, and I get feedback – most recently from a rapporteur I met yesterday – that that communication has become much better. I have pressed for transparency in all processes, and I have imposed open meetings on the companies, no later than 1 January. That transparency makes it almost impossible to think a thought, at least not to put it on paper, but to put it online. And that means there's a debate at an early stage about suggestions or ideas and investigations that never come to a decision. But there has actually been a broad wish in this room that you should have that kind of openness. Then we also have to bear in mind that we have processes that create a certain debate and unrest, to put it mildly.
ParlaMint-NO_2003-11-05.ana.ud2613e390	I first want to comment on this with transparency in health companies – it should be lacking! There has been no agreement in this room about that openness. We have put forward proposals on this and have been voted down, but fortunately it will come from 1 January 2004. But those who are afraid of losing their health supply and the closeness and security they feel of having a health offer close by, do you think they agree that these are the basic values of the welfare state in relation to equality, justice and solidarity? It is one of the fundamental principles of health reform and should be it in progress. It should also be a public responsibility to provide good health care to the whole population, and respect for what has been achieved in the Norwegian health system. Furthermore, as a key principle of health reform, political governance and influence should be provided to ensure the welfare policy objectives of good health services. Does the Minister of Health think that these basic principles and what is the basis for the value of health reform are being fulfilled by day, when we see how division, sections and centralization are being carried out?
ParlaMint-NO_2003-11-05.ana.ud2613e398	If we could agree on a description of reality, and then communicate it to the population in a factual and tiring way, I think that the turmoil that we see and that I understand very well would have been a lot less. Because it's not like we're cutting down local hospitals, that we're cutting down food supplies. There are some changes happening. I've been working my whole life to develop and modernise the public sector, and I've been very enthusiastic about implementing the biggest public sector reform ever. I'm doing it because I think preserving, preserving everything that it is, not changing and developing, it's deadly in the public sector in general, and it's literally deadly in health too. Health services are based on a fast-moving medical development. And if we don't have the ability to convert and develop, we don't guarantee a safe offer to the population.
ParlaMint-NO_2003-11-05.ana.ud2613e405	There will be four follow-up questions – first Bjarne Håkon Hanssen.
ParlaMint-NO_2003-11-05.ana.ud2613e408	I think there is little disagreement between the undersigned and the Council of State on the need for conversion. The question is how fast this is going to take place and how dramatic the transition must be. So far, at least, an overall opposition is skeptical about the government's draft budget, because the transition seems to be too dramatic and going too fast. Around health businesses, we now see that relatively dramatic structural changes are being driven and assessed in order to adapt to the economic environment signalled by the Government for next year, and there is little doubt that if these structural changes were to be implemented, it would affect patients. That's why it'll be a target for the opposition, I think, to improve the health budget in relation to next year's government budget. No dramatic structural change should take place until the budget is adopted in this Chamber. My question to the Council of State is: does the Council of State agree that no dramatic changes are being made until the budget is adopted?
ParlaMint-NO_2003-11-05.ana.ud2613e417	I will answer directly and specifically the questions put by Bjarne Håkon Hanssen. It would be irresponsible for those responsible in the regional health establishments and health care establishments not to draw up the basis for their budgets and their operating arrangements for 2004, even if the final budgetary decisions of the Stortingen have not been taken. On the other hand, I believe that the final budgetary decisions taken by enterprises – and in particular by the representative Bjarne Håkon Hanssen, in my opinion, call dramatic changes – should not be taken until after the Storting has established the framework for hospitals and what other framework conditions they will have for 2004. I have notified this to the directors of the regional health companies.
ParlaMint-NO_2003-11-05.ana.ud2613e424	Live Signe Navarsete – for follow-up questions.
