ParlaMint-NO_2003-03-25.ana.ud1136e47	The representative of Afghan Rafiq, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-03-25.ana.ud1136e136	I would like to start by thanking the spokesman for the matter – not the Halleraker representative – for a constructive and good cooperation and a constructive willingness to improve the environment in the context of the marine environmental communication. SV represents the superstructure of the marine environmental message, which requires one to have an ecosystem-based management and one to follow the precautionary principle. That's good. The Committee points out that there is an increased pressure on fish stocks and that there is a need to reduce fishing capacity. Some things do the government, but often get the impression that one, for example. in the case of the king crab, it is more busy to be resilient than to be resilient to the cod stock. My question to Halleraker is: what will he do to the problem raised by the Committee in terms of reducing fishing capacity? What do my Right there are important contributions? On comiteraise to Tromsø and North-West Russia we got a very good insight into some of the areas where Norway and Russia cooperate. A lot of this is positive, not least when it comes to the royal crab, but also when it comes to oil protection. There is, of course, much more that can be done, and there is a strong need to increase this cooperation in several areas, which the Committee also points to. SV has a proposal to ask the Government to create a Northern Region Centre, just to enable the necessary environmental monitoring as needed in the Northern Region. The government has not yet joined this idea. My challenge to Halleraker is: is this something you want to come back to?
ParlaMint-NO_2003-03-25.ana.ud1136e149	To take the last one first, I must say that I most share the comment of the representative of Langeland on what we experienced during our committee trip to North-West Russia. It was frightening states that we witnessed, and I also have to say that it put our own environmental challenges in perspective. So that we have to continue working with Russia, I think it is absolutely necessary if we are to succeed in reducing the risk of pollution that can also affect our own areas. A monitoring centre can be a positive idea, and I expect that these are issues that are being worked on in the government. As far as the royal crab is concerned, I would like to refer to the discussion that is taking place on this issue in the nutrition committee. For my part, I want to add that there are those who have pointed out that this is a resource, and I am, until the opposite is proven, set to listen to. There can be no problem if we have too much of a resource. We should be able to regulate the stock. But, as I said, I would like to refer to the discussion that is taking place in the Economic and Social Committee.
ParlaMint-NO_2003-03-25.ana.ud1136e156	Several have not asked for the word for a line.
ParlaMint-NO_2003-03-25.ana.ud1136e159	The sea is a huge resource for Norway. We have long traditions for fishing. Fisheries have been crucial for the settlement of the first humans into the Norwegian coastal areas. The fishing industry is still the backbone of the coastal community, and we have developed it further with farming and fishing. The sea has been a major transport route and has laid the basis for shipping and shipbuilding. The aim of the working party is to obtain more from road-to-sea freight because it is more environmentally friendly. At the same time, increased shipping also poses an environmental risk, which I will return to later in my post. The sea has also given us huge oil and gas resources, which have both contributed to income and jobs and have contributed to Norway's special position in the European economy as well. But while the sea has given us an enormous wealth, the man-made activities are also involved in putting pressure on it – perhaps not so much individually, but it is today a pressure on the sea and coastal areas that makes it necessary to have a holistic perspective. That's why I want to pay tribute to the Government for providing this message, and there's a broad majority in the UK that stands behind the overarching objective of a more comprehensive and coordinated management of the sea and coastal areas. There is also broad agreement on the objective of governance to be ecosystem-based and cross-sectoral. Two tools will be the main instruments: management plans for the large seas, initially the Barents Sea, and the follow-up to the new EU Water Framework Directive. This command allows you to associate the main concepts of this message with your current administration. In addition to that, there are three areas that I would like to say today in particular about: 1. the need for increased investment in marine research2. the need for strong coastal surveillance and preparedness3. the need for strong efforts to clean up contaminated sediments; To start with, ecosystem-based management needs to be knowledge-based. The Labour Party agrees with the Government that today we have enough knowledge to start work on the creation of management plans, but at the same time we will stress the need for increased investment in research, monitoring and monitoring of the marine environment. In the 1999 Research Communication, which was discussed by the Stortinget, marine research was identified as one of four national research fields. Despite this, marine research has not been given the necessary promise in the research appropriations. One exception was the government's draft budget for 2002, where the research effort was proposed to be increased by 60 pst. in one year. But unfortunately, much of the effort was removed by the Bondevik II government and the bulk of the population. It has been estimated that the value creation within the marine sector can increase from about 40 billion dollars to 240 billion dollars over the next 30 years. However, it is not a development that comes about by sea or through the development of the market alone. If we're going to achieve this goal, it requires a targeted public investment, among other things. through research. We therefore ask in this setting, together with the SV and the Central Party, that the Government in the State budget submit a comprehensive plan for the investment in marine research. We believe that the Government should provide a stepping-up plan for MAREANO, the Marine Land Database for Norwegian coastal and marine areas, and come back with an assessment of the so-called AMOEBE project. See if the government party does not support this in the settings, I still hope it can be followed up. It is necessary that we strengthen our knowledge of the marine resources. However, a project supported by the Government is the Barents Sea project on screen. The use of satellite images allows the observation of ship traffic, fishing boats and oil spills; the movement of the edge of the ice may be followed, if appropriate, by glaciers as a loosener; the observation of algal blooms, etc. Systematic use of satellite images can both give us useful day-to-day information and can provide valuable long time series of environmental knowledge. The main idea behind the Barents Sea on screen is to gather the information we can get from satellite images and the other knowledge we have about the Barents Sea and the coastal areas in one screenshot. In this way, we can get a web-based environmental information centre where all users from management, industry, operational services, the media and the public are given classified access to what should be the common knowledge of society. In Tromsø, there is a broad professional community at the Polar Institute, at the Polar Environment Centre, at the fisheries and marine research community and at the space research/satellite monitoring environment. Thus, the «Barent Sea on screen» is about both strengthening long-term environmental monitoring and being an important complement to coastal surveillance. So I'm going to go to the next area I'd like to say a little bit about: the need for increased efforts in terms of coastal surveillance and preparedness. Also here I am pleased that it has become a setting with a broad consensus. I am pleased that a unanimous committee sees the need to strengthen the towing boat capacity in North Norway, and asks the Government to come back with concrete measures already in the revised national budget. As I said, I am pleased that a unanimous committee is in favour of the systematic use of satellite images and is asking the Government to return to the Barents Sea on screen in the state budget. I am pleased that a unanimous committee asks the Government to carry out a review of the private and state response resources, including shipping resources, and that stakeholders are involved in this work. In addition to this, we repeat what was said in the context of the handling of the vulnerability message, that a crisis management command should be established on Retan and a traffic centre in North Norway. However, as far as the latter is concerned, I find it strange that the government parties and the SV cannot repeat the remark that Vardø is an alternative. It creates an uncertainty in Finnmark that we could have been ahead of us. Nevertheless, in total, these measures will provide a strong preparedness. But when that is said, it is a matter I would like to highlight in particular. There is a need for coordination and clear responsibilities in the event of an accident. When the committee was in Tromsø, we heard the rapporteur in Karlsøy, Hanny Ditlefsen, tell about his experiences with 'John R'. The clear conclusion reached after ‘John R’ is that there is a need for a strong clean-up of responsibilities. Fortunately, much has happened, the last through the collection in the Coastal Works. But there is still uncertainty along the coast as to who is responsible at all times in the event of an accident. As late as yesterday, I got e.g. copy of a letter to the Government by Prime Minister Kjell Magne Bondevik of Troms County, highlighting just two aspects: first, the tug capacity, and second, the need for clear and unambiguous command structures. And as the letter says: «The command structures are now partly unclear and at least not unambiguous.» This is a message from Coast Norway that we must take seriously, and it is the Government that must ensure that there are clear responsibilities. It can do so in the proposition to establish the crisis management command on Retan, and it can do so in the case of the establishment of a traffic centre in North Norway. Therefore, the issue of the central traffic centre should also be clarified as quickly as possible, and the Labour Party believes, as said, that the Government should be able to present a proposal during the spring session. The last thing I want to mention in particular is the need to clean up contaminated sediments. Cleaning up contaminated sediments is clearing up past environmental sins. When environmental pollutants are spread from contaminated sediments to new areas, the Workers' Party considers this to be unacceptable pollution. We support the Government's strategy of implementing measures in areas where there is a high risk of the spread of pollutants, ensuring the development of multi-annual action plans, and increasing knowledge through, inter alia. pilot projects. But in one area, the government is unfortunately pretty wool, and it's about funding. This is a question that the message says needs to be examined in more detail. We believe that in the Workers' Party and SV is too defensive. We believe that there must be a phasing-out plan and have made a proposal that we hope the government party will vote for today. As I said, there is a lot of agreement in this matter. I hope that there can also be an agreement on a plan to clean up contaminated sediments. With that, I will deal with the proposal that the Workers' Party is included in this setting.
ParlaMint-NO_2003-03-25.ana.ud1136e225	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e229	SV has pointed out in the setting that from the Norwegian side it is appropriate to assess whether the northern regions need a dedicated environmental monitoring centre. Such a centre could contribute to increased Norwegian-Russian cooperation in the management of marine resources. The representative Halleraker replied instead that this was a positive idea that he expects it will be further worked on. It may be that SV's good ideas need time to sink in before they are accepted and followed. My question to the representative, Mr Konglevoll, is whether she agrees with the representative, Mr Halleraker, on this. Does she agree that this is a good idea and will the Workers' Party vote in favour of the SV's proposal? It is also positive that the Workers' Party and the SV in the setting agree on increased efforts to clean up PCB, and a desire to intensify efforts in the area of clean-up. Then I have to signal that SV expects the Workers' Party to follow this up when it comes to the use of money, when it comes to the budgets, when the priority is to be done, in relation to the amount of resources that you will spend in this clean-up. Can the Labour Party give a signal that one will also give priority to this in the next year's budget?
ParlaMint-NO_2003-03-25.ana.ud1136e238	In the case of an environmental monitoring centre, I spoke quite a lot in my post about the “Barents Sea on screen”, which is a heart-child – I have to admit that. One of the main ideas of that project is to exploit a lot of the expertise and knowledge that we already have. And as I said in my post, there's a polar environment center that's accumulated a lot of expertise within existing agencies. The Coastal Plant is now also co-located. We believe that if the Government takes up the challenge that lies in the setting of a unanimous committee to establish the 'Barents Sea on screen', we can just get a boost in this environmental knowledge. Let me also add that, unfortunately, the Government has proposed several times to cut the allocation to the Polar Environment Centre in budgetary terms, and the Workers' Party has proposed to correct the cuts, so this is a matter of which we are concerned. As far as cleaning up contaminated sediments is concerned, we support, as I said, the main strategy of the Government in this work. But it is quite obvious that there is a need for increased appropriations in the years that come if you want to clean up. We hope and believe that the Government will also come back with increased proposals in this area.
ParlaMint-NO_2003-03-25.ana.ud1136e247	Several have not asked for the word for a line.
ParlaMint-NO_2003-03-25.ana.ud1136e250	Now that we have a debate on clean and rich seas, it is not likely that we have recently dealt with two major issues of conflict in this Chamber, namely the landfill of national salmon fjords and St.meld. No 38 for 2001-2002, on oil and gas activities. It certainly bears this debate out. Nevertheless, in the Advancement Party we find it a little sad to read a part of what is in the notes. I'll be allowed to quote something: ‘The majority of the Committee, all with the exception of the members of the Progress Party, further notes that a better method and knowledge should be developed in order to allow a thorough balance to be drawn between the different interests associated with the Barents Sea. Furthermore, this can best be achieved by basing the management plan on sectoral impact assessments in order to obtain the overall picture.’ Now it is the case that Norwegian petroleum activity has been taking place for 30 years, with a technology and an environmental standard that is completely at the top of the world. And just as far as the Barents Sea is concerned, there are 174 research and investigation reports. You've spent over half a billion dollars on this. However, the majority of population will have more research into this than was agreed upon during the treatment of St.meld. No 38 on oil and gas activities. That is what we in the Progress Party think is sad, and we do not think that is necessary. One theme that is important in this Communication is shipping, safety and coastal preparedness. We are positive for the expansion of territorial waters from 4 to 12 nautical miles. There is an opportunity to get the vessels further out along the coast and thus to have an increased preparedness and better time to intervene before a ship with problems ends up in the rocks. We think it is important that there is good cooperation between Norway and Russia — and there is probably also the opportunity to extend cooperation to make it even better. I also think there is every reason to commend the County of Finnmark, who has taken the initiative of an agreement with the tanker companies on the warning of oil transport from Russia along the Finnish coast. We think that is very positive. Furthermore, it will be important in the context of increased activity along the coast and in the context of snow-white development to strengthen existing oil protection equipment and to establish new oil protection pools where necessary. Equally important is that you have a good transport capability between these depots. That was the weakness of the John R accident, which was too poor for logistics, and it took too long for the necessary equipment to be in place. I am pleased that there has been more coordination and that more concerted action has been taken in this area through the Coastal Agency. We are also very pleased that there has been an agreement in Stortinget to strengthen the towing boat capacity. We've seen it as very important that you have enough power to assist ships that have problems, especially at these times when, on the part of Stortinget, you reduce defence and those who are in an early stage of intervention. The main measure to strengthen preparedness is the establishment of a traffic centre. It is important to avoid a new ‘John R’ accident. Unfortunately, the establishment of a traffic centre has now become a location debate, and there has also been a budget debate. We think that should have been completely unnecessary. We've gone in to add this traffic center to Retan. There's a lot of what you need to do to get this central in place. It is only necessary to have a border crossing between the Coast Guard and the Defence. And there you have the opportunity to get started quickly to get what's most important, that's a full surveillance. But it probably won't include the population, and I think that's pretty sad. Because when you have an accident with a vessel, it's about doing that the response time must be minimal from the time you discover the problem and until you can intervene – that you have a short room for action. Finally, I would like to include in the vote the proposal of the Advance Party.
ParlaMint-NO_2003-03-25.ana.ud1136e274	The representative of Øyvind Korsberg has taken up the proposal to which he referred. It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e279	The oil and energy committee had the pleasure of visiting North-West Russia during the examination of the notification. It was an experience that we should never forget. Andrevakta is one of the major facilities for the handling and storage of spent nuclear fuel from the northern fleet of the Russian Navy. In the air line, the plant is approximately 50 km from Norway. Different types of radioactive material equal to 5000 Hiroshima bombs are stored there. Norway has committed itself to cleaning up through a cooperation agreement. This area has been abandoned for a number of years, and it bears a clear mark on it. The governor of Murmansk is grateful for the help and says that without foreign aid it would take 100 years to clean up the nuclear stock. As far as environmental challenges are concerned, the Norwegian debates may be small in relation to the challenges we saw in Russia. Despite this, the Progress Party is not just part of a 19 million cut. kr, who came from the government, but they were in agreement to cut 30 million. extra in relation to the cooperation agreement with Russia. Does the representative of Korsberg think that it is sensible policy to cut these appropriations, or is it such that there is a celebration of the dangers that are most important to the Progress Party?
ParlaMint-NO_2003-03-25.ana.ud1136e288	I fully agree with the representative of Klungland that what we saw in Andreyevabukta and, to the extent, the comitology made a strong impression, and we are at least fully convinced that what is being done by the Norwegian side in terms of environmental protection policy is symbolism policy. I could have liked to send the Environment Minister on the journey we were – he didn't have to get back as quickly as we did, because I think it was a lot to get caught up in. What we also received information about when we were in Andreyevakta was that this was a Russian responsibility. There is also a limit on how much assistance is to be provided by the Norwegian side. It was also said that there was no desire for Norway to take over this project in a way, but that we should be involved as a contributor in respect of the fact that this is on the Russian side, and that is to the extent of a Russian problem. But I think it's important to be involved in that area in the future, and that's where you provide environmental protection, so that you really get something left for the funds you shoot in. If we have cut the budget in this area in cooperation with the Government on the budgetary agreement, at least there was no problem for the project in Russia and Andreyeva Bay. But we still want to be a driver for this project to go further in cooperation with Russia, where Russia has the primary responsibility.
ParlaMint-NO_2003-03-25.ana.ud1136e297	The President will hope that the appeal to the Minister for the Environment did not presuppose that he would manually clean up the nuclear waste. In that case, it would be difficult to meet in Stortinget at regular intervals. Several have not asked for the word for a line.
ParlaMint-NO_2003-03-25.ana.ud1136e302	I don't think I would advise the Minister for the Environment to move in some of the areas where one has this waste that is now being discussed. This is a very important message. Not least SV considered it important that a base or superstructure should be knowledge-based and an ecosystem-based management of marine resources. It's an important superstructure in which SV is combined. And then, like the challenges, can you follow up? So far, one set of examples is that one doesn't. We had this in the error message, where a weakened position of the government and weakened the position of what the Rieber-Mohn committee thought was a knowledge-based administration. One has it when it comes to the activity of the Barents Sea area, where one has now seen the Snow White expansion. Is this knowledge-based ecosystem based? Such questions should be addressed in the context of the continuation of policy work in the key marine environment area. One should also always think about – and I've found that I have to say more – that if one wants a more offensive marine environment policy, it's just to get to SV, then there's a lot of them. We are ready with a series of proposals that will give you a more offensive marine environment policy. Let me say a couple of positive things about the committee's number in its treatment. As I said, I was content with the case manager's work just to try to find solutions that improve the message. Among other things, this applies to satellite surveillance. In mid-March, one of them had taken satellite photographs of a boat that went along the Norwegian coast and dropped oil. But one couldn't rely on the knowledge that one had, and Norway didn't pay the services that allowed us to grab that boat and make sure that he was drawn for the environmental crime he was running with. SV wanted this to be cleaned up already in the revised budget, so there was money for it. However, a majority, including SV, finally entered in order to achieve this in the ordinary budget for 2004. But then SV also expects this to happen, so that we stay on the offensive in relation to taking environmental criminals. It is also good to see that there is a great deal of goodwill about increasing research efforts – not least in cooperation with Russia. But the problem becomes, as one was in the change of line: what happens when one is going to follow up this concretely in the budget? Is it so that an increased effort on research, or is it such that an actual compromise with a party that cuts in such research? There are questions you have to ask yourself based on the signals that a co-consultant committee is now giving. Then, of course, SV is pleased that part of the oil protection equipment is being taken by a co-consultant committee so that one should look at the tug capacity. With the ‘Prestige’ in memory and the disaster that one had there, if one sees such a disaster in the Barents Sea, one now has to get on the path of oil protection, and then this with tug capacity is one important moment in several. Several speakers have been on the committee tour in the Tromsø-Murmansk area, which is very interesting and very enlightening to us as committee members when it comes to what is actually going on and what one wants to do. Clearly, if one looks at research efforts on both sides of the border, i.e. in Norway and Russia, there is a significant need for synergies if one coordinates more closely and cooperates more. One doesn't cooperate, but one doesn't cooperate enough. A co-operator, among others When it comes to the royal crab, but in a number of areas, it's very clear that there's a great potential here if Norway is willing to spend a little more money on it. Therefore, SV suggests creating a Northern Region Centre that goes beyond what the Workers' Party has to do with the Polar Environment Centre. We want a center that has a stronger focus on the entire northern region, not just on the Arctic and Antarctica, which the Polar Institute focuses most on. In the end, I miss one of the PCB clean-up issues on the offensive, as the Workers' Party and SV demand. I hope that there is one of the areas to which the Minister for the Environment comes back in his contribution. Did I pick up the suggestions from SV, President? If not, I'll do it now.
ParlaMint-NO_2003-03-25.ana.ud1136e325	Then, in any case, the representative Hallgeir H. Langeland has addressed the proposals to which he referred. The President noted that the representative had certain problems in controlling the difference between base and superstructure – and would assume that it must mean that ideological consciousness is no longer what it was.
ParlaMint-NO_2003-03-25.ana.ud1136e330	Today, the Storting deals with an environmental issue that will have direct consequences for future relatives. Today, decisions and leaders can ensure that generations after us can enjoy having access to non-polluted products, and that the fine yam weight that must be in the food chain in the sea can be kept up. Clean and rich marine environments provide us with support for the production of marine farms and the management of marine resources. It is, therefore, very gratifying to see that the cooperative government's vision of securing a clean and rich sea so that future generations will be able to absorb the wealth provided by the sea is supported by a broad majority in the Storting. There are several ways to develop tools and processes that can provide the basis for a long-term and holistic policy for the security of the marine and coastal environment. This means that we should have a policy where the sum of all impacts on the marine environment is assessed in a coherent way and is based on knowledge of the structure, mode and state of the ecosystem. In order to achieve these objectives, future management needs to be ecosystem-based and cross-sectoral. This is challenging, and it will require government, regional and local governance, industry and various organisations – such as business organisations, environmental protection organisations and other voluntary organisations – to be actors and partners in this important work. Norway has a long tradition of exploiting the wealth provided by the sea. Over the years, marine fish have been an important source of nutrition, and marine resources have been a source of coastal value for hundreds of years. But new fishing methods, a more open world with more transport on the cold and more harmful emissions than the marine environment can tolerate, have led to a risk of disrupting the necessary marine balance needed to maintain marine food resources. The North Sea, the Norwegian Sea and the Barents Sea are between the world's most productive seas, and we have great challenges in terms of the efficient management of our marine resources. We must wage a determined battle to reduce the harmful effects of introduced species and of oil pollution from operational and acute emissions from petroleum industry, ship traffic and land-based sources of pollution. Destructive environmental pollutants in the Norwegian seas have to a large extent also produced air and sea currents after emissions in other parts of the world. This requires international cooperation and monitoring. In order to close down the use of pollutants, it is important to find solutions at international level, as I call it. We need, among other things: an international effort to phase out the stream of radioactive waste from Sellafield. As you know, there are plans to transport large quantities of crude oil by tankers from north-west Russia along the Norwegian coast, and this cargo will represent an environmental threat in the event of acute spills from supertankers above 200000 tonnes. In order to meet this challenge, the Government has taken the initiative of a sound management plan for the Barents Sea, where the concerns of the environment, fisheries, petroleum activity and maritime transport are to be assessed. Such a plan will later be able to lay the foundations for the respective management plans for the Norwegian Sea and the North Sea. It is gratifying that the Stortinge supports this. The Energy and Environment Committee was two weeks ago on a trip to Kola, which several have already mentioned. We visit among others. The Second Bay and got information about the huge amounts of radioactive waste stored there. This waste has been shipped there by boat – it was previously not a way to this area – and is at the bottom of the beach. It is far from proper certainty, and radiation values from the plant are so high that it is health-threatening to stay in the vicinity of Deponia over time. We were told that the stored radioactive waste corresponds to approx. 900 times more than the emissions from the Chernobyl nuclear power plant – that was the one parameter – or, as mentioned earlier, approx. 5000 times the radiation effect and hazard of the Hiroshima bomb. Andreyva Bay is not far from the border with our own country. Although in the coastline it is longer, it lies in the air distance approx. 50 km from the border with Norway, towards Finnmark. It is therefore so important to be able to carry on both Norwegian and international efforts to clean up this ticking, life-tugging bomb that the radioactive waste represents. In addition, the impure leachate from the landfill, which is well down against the rocks, can destroy food chains and food resources in the Barents Sea in the short and long term. And no one knows the time perspective of when the radioactive substances can be degraded. We need to focus more on pollution in the north. I am pleased that we are today confirming that the majority of the Stortinget team is saying that there must be extra caution when it comes to emissions from land, from shipping and from petroleum. We don't have to face the situation that we're destroying resources for maybe forever, just to get oil and gas resources out for 100 years to come. Increased transport of petroleum products along the coast is expected. Not least this applies to the transport of oil from Russia and in connection with the Snow White field. The government suggests various measures to meet this target. Among other things, the extension of territorial waters from 4 to 12 nautical miles is a measure that the Christian People's Party believes is very important. This change will allow Norwegian authorities to point out sailing leases at a greater distance from the coastline. This could prevent the extent of damage caused by any loss or acute spillage of contamination. The establishment of a prior warning for the transport of dangerous goods and the strengthening of maritime traffic control and surveillance will be important to safeguard our common marine environment. I would like to mention with a string the clocks with «John R» and «Green Ålesund», and now last fall the accident with «Prestige» on the Spanish coast then the hauststorms herja as worst. It tells how decisive it is to get good monitoring, clarification of responsibilities, preparedness and adequate resources to rescue operations when necessary along our coast. Some of our fjords are heavily polluted, and there are several restrictions on the use of fish and shellfish from some fjords and beach areas along the coast. For a long time, environmental pollution has been released along the coast and in the fjords, and these are partly stored in sediment. It is important that we address this issue and get an overview of the scope of the issue. It is important to know what to do with these sediments. It might be more harmful to touch them, trying to remove them, than to cover them up. Such cleaning will in any case cost money. Therefore, it is important that we gain experience with different methods to clean up these sediments. The cooperation management has provided a holistic strategy for removing pollution from sediments. In this work, it is important that a step-by-step approach is made, that is to say, that there is scope for a concerted effort to reduce pollution. The principle that forureins are to be paid is underpinned. But at times it may be difficult to find out who actually has the impurities, or they're too far away. Therefore, it must be a governmental responsibility to follow up in those courts. The objective of the decision in connection with this message is to lay the foundations for a clean and rich sea through practical action. In addition to natural changes, major man-made and man-initiated changes occur. So here's the big challenge. We need to establish framework conditions that enable business interests to be balanced in relation to fisheries, aquaculture, maritime transport, in relation to emissions, from land and air to maritime and petroleum activities. For the sake of creation and future generations, we must base the precautionary principle and systematically reduce the pollution that is already in the sea and that goes beyond sustainable development.
ParlaMint-NO_2003-03-25.ana.ud1136e361	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e364	In the section, SV is associated with the Workers' Party on a proposal for the Government to present during 2003 an escalation plan that realistically eliminates PCB and heavy metal sediments from Norwegian ports within a ten-year period. We've been working for a long time for such a clean-up and getting an increased focus on this ticking environmental bomb here at home. Now it is not the case that only SV is dissatisfied with the efforts in this area. The National Audit Office has also looked into the work of authorities on contaminated land and contaminated seabeds caused by past activities. In the configuration of the Control and Constitutional Committee, the Government is asked to report regularly on the status of the clean-up operation, and ‘responsible, involve and coordinate more actively the sectoral authorities concerned and keep the Stortinget informed about this in the regular status reports’. My question to the representative Liones is therefore: What do the government parties intend to do to follow up this attitude of the Supervisory and Constitutional Committee? And is such a stepping-up plan something government parties will also chew on and bring along as a good idea? If only the government parties will, it is a majority on the Stortinget for a good environmental policy. It has illustrated the gas message.
