ParlaMint-NO_2003-02-27.ana.ud1013e47	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2003-02-27.ana.ud1013e166	I record a great deal of attention about the concept of ‘teachers’ in this debate. What I thought was that this debate was going to get a greater focus on the offshore situation, and I've said earlier in my main post that if that's possible, we're more than willing to discuss the device with regard to the allocated 550 million. kr. But I think we're probably living in a world other than the Center Party, at least in budgetary terms, because the Center Party is the only party that operates here without any kind of financial framework – they've never had it in budgetary terms. They throw themselves at any additional proposal, are in favour of increased use of oil revenues and phase in one billion after another as the debates run around. I see that gallant now also jumps on the proposal for the introduction of 20 pst. reimbursement scheme and phase-in of the full net pay scheme. There are no serious parts here in this room that so gallantly drive and triple with billions of dollars without a comma to indicate containment. It should have learned Enoch, who has been sitting in the government quarter earlier and depending on following the adopted budget, if he had benefited from being there over time. But it doesn't mean to discuss these issues as long as you operate completely without an economic limit. The representative of Enoxsen should be aware that we have a historically high amount allocated in this area today, much higher than when Enoxsen himself put in the government position and had a certain responsibility to prioritize this sector. But I see it's so much easier to play Monopoly once you've come into the situation that Enoxen himself has been in, including in this debate.
ParlaMint-NO_2003-02-27.ana.ud1013e175	The cord shift is over.
ParlaMint-NO_2003-02-27.ana.ud1013e179	In recent years, the policy-driven framework for Norwegian fleets has been changing steadily. It must be right to say that the situation has been totally uninvitable. We in the Workers' Party take our share of responsibility for it. The maritime industry is one of Norway’s most important industries — the whole maritime clustering of the workforce almost 80,000 people. Reiarlag is a decisive part of this cluster. This industry is one of the most international in Norway, and Norway is the third largest maritime nation in the world. It is now time to give this industry a stable and sustainable environment. It's a responsibility for all the parties in Stortinget, and we in the Labour Party will take our part. Not only have there been many improvements in the framework conditions for this industry, but there have also been very many proposals for improvements. In the previous period, several proposals were put forward and, at the latest, in the context of the revised budget in June 2001, it was decided to instruct the Government to make proposals for such improvements. The current government party – and especially the Right Party, but also the Christian People's Party – was actively involved in this work. Also in the election campaign the promises were made in this field, among others. promise party leader Jan Petersen in a letter to the Maritime Association of 29 June 2001 to introduce the corresponding framework conditions for Norwegian seafarers that the seafarers have in our neighbouring country. When the ballots were listed late in the evening of 10 September 2001, there was a clear majority of the elected roll-out representatives who had opted for better framework conditions for the shipping industry. This choice also led to a change of government, and everything was now at the ready for Stortinget's decisions from June and the promises of the election campaign to be put to work. Expectations were high, optimism in fleet layers the same. It was also a big surprise when the only proposal that the new government included in its budget was the proposal to exacerbate the framework conditions that had emerged from the previous government. As part of the budgetary process that year, the Committee, all with the exception of SV, asked the Government to make a proposal for a system to secure Norwegian seafarers' competitiveness as soon as possible. A similar proposal was also adopted in the revised national budget last spring. These decisions have been ignored by the Government. The size has not been given such a holistic review. We have therefore not been given the opportunity to discuss this matter properly. We have not received any breakdowns showing the situation in Norway compared to the situation in other countries. We know that the EU has had an offensive in this area, but the Government has not given the Stortinget the opportunity to debate how to meet the offensive. For example, how much does it cost? the different models chosen by the different EU countries? Is the competition in Norway as distorted as the industry claims? Or is it so that the nutrition e.g. only include worse conditions in Norway? Had the government done so as a multiple, including the government party itself, have asked for several times, the Storting would have had a far better basis for taking this discussion. We in the Labour Party have had an ambition, simply to contribute to stable and sustainable framework conditions. That is why last year we invited a wide-ranging compromise on shipping policy. For another important industry for Norway, the petroleum industry, we have done it. This industry has been and is so important to the country that one has managed to become a few of the most important policy guidelines. In fact, it has been a political objective in itself to create a stable and sustainable framework for this industry. Since the early beginning of the oil age over 30 years ago, there have been three major oil policy settlements on the Storting. Across different ideology and approaches, a clear multiplicity has succeeded in becoming a few of the main lines of oil policy, most recently two years ago. The development of Norway as an oil nation has been an unparalleled success. The broad opening up of policy and stability that has led to this has been a decisive factor in bringing it about. Another area where cooperation has been successful is tax policy. Also, there was a failure in different positions to get to a compromise. The cooperation we have had on oil policy should be a model also for our shipping policy. The Labour Party's invitation to such a settlement last spring was to my big surprise met with a cold shoulder. The reason was given when the government's draft budget was presented last fall. The improvements promised had been replaced with improvements. I would like to make it clear that in the Labour Party in this case we have not had any fixed positions or preferred models. The only thing we've wanted is for us to sit down, discuss and become a few things about what should be the framework conditions for this sector. I think it's sad that the government party has not used the possibility that the invitation from us gave. When we put forward the proposal that is being discussed today, it was to give the government a new chance. And I remind you once again that in this room there is a wide majority that has been selected from the party that went to the choice on better framework conditions for this industry. When the government party in these days has been subjected to a strong pressure, it is because they themselves have contributed and created expectations. When spokesmen from these parties in the West say it's embarrassing and difficult to represent these parties locally, it's the government party's own responsibility. It's those who have made the promises, and it's those who have broken these promises. I had hoped for peace in this matter. If a positive decision is not taken later today, this matter will follow us in all budgetary processes ahead. A settlement might have contributed to the government's work. This working space clearly did not want the Government, and I am sure we will meet again in the context of the debate on the revised national budget. Last year, Sweden, Finland and a number of other EU countries decided to introduce different types of net pay schemes. These schemes indirectly exacerbate the competition conditions of the Norwegian fleets. These are still losing competitiveness due to schemes put in place by our neighbouring countries. It is claimed that the arrangements put in place by our neighbouring countries have made their labour force 40 pst. cheaper than Norwegian labour force. When one is going to compete for the same assignment, we all realize that it's going to be particularly difficult to win that competition. Perhaps without comparison is the industry we are talking about today, the industry that best consumes the title of district industry. In fact, there are seafarers in all the municipalities of the country, but most of the cages in what we may call district municipalities. It is also true that many of the reiarlags we have in Norway, which still have Norwegian seafarers on board, are established and operated in so-called district municipalities, and they play a decisive role in the local environment. If these fleets do not allow them to continue in Norway, it will mean a large loss of jobs, a large number of those in the district work force. Today, all competitive business is in a very difficult situation. And we actually lose as many as 75 jobs every day, a lot of them are also in District Norway. If we are not able to reverse this trend, we are at risk of changing the whole map of Norway in a very short time. We have today a possibility to at least slow down some of the flagging. My claim is that it will be no to our proposal today, it is the same as saying yes to the flagging out of even more Norwegian jobs. In the absence of own arguments, some of the representatives of the government party have fallen for the temptation to suspect others' involvement in this matter. I would like to repeat: the starting point of the Labour Party has been that we want to work together to create a stable and sustainable framework for this industry. I think it's a shame that the parties that promised the most are those with which it would be difficult to work together.
ParlaMint-NO_2003-02-27.ana.ud1013e215	It's going to be line change.
ParlaMint-NO_2003-02-27.ana.ud1013e218	The representative Aksensen has gone very high on the track in this case, and relatively heavy shooting is being used here. But I'm not so sure if this is a matter of working order. It's just as much about willingness to give priority – perhaps even more about willingness to give priority than work. I again remind the representative Aksensen that this year we have a historically high amount, decided to phase into this year's budget, for net pay and reimbursement, thanks to the budget agreement with the Progress Party. Then it doesn't, in my opinion, just keep talking neatly about the industry, and talk neatly about the importance this industry has for District Norway, but it's also about the willingness to prioritize. When the Axis goes so high and uses words such as credibility and a breach of promises, the question is: Why did the Workers' Party not choose to give priority to this industry more than the government parties did when they had the chance to do in the 2003 budget? The representative Aksenssen put as the Council of State in the previous government, and whose concepts of credibility and prioritisation should have any retrospective effect and significance, why was the last time the government proposed to phase out the reimbursement scheme for the precisely offshore fleet? I think that when we use the debate time around the concept of credibility, there are some people who have a certain need to go a little bit lower on the field.
ParlaMint-NO_2003-02-27.ana.ud1013e225	We can take a discussion about history. And as I said in my main post, I'd like to admit that the Labour Party has been helping to create the uncertainty and instability that have been. The most important thing for us now is to be involved and contribute to the opposite. But then you can't actually measure the different parts the same way, because there are parties that have had a completely different and much higher profile and that have come with much clearer promises. We almost have to demand that the parties that promise the most are the ones that work the most to put these promises into practice. I have been involved in several election campaigns and have been disfellowshiped, not least from representatives from the Right, but also from the Christian People's Party, because we in the Labour Party have done far too little in this matter. I am also sure that we have lost many votes in connection with the election because we have not managed to get more than we did. But we didn't go into the election campaign and promised gold and green forests for this industry. It was completely different that did. So I'm actually going to say that when we talk about a broken promise in this context, it's those who have promised, who must now be measured, not those who didn't promise anything. So when it comes to trust, it's the trustworthiness of the parties where the party leader writes letters and promises things to the groups that are most affected by these conditions, which one actually has to ask questions about. So it's said that it's a historically high amount. That's right. It is not the government party that has the honor. It's also claimed one wanted to dispose of these money in another way. It's okay, but one never came to the Stortinge with a suggestion about it. If one wanted to sit down and discuss whether we use the money in this area in the best possible way, we could be in the Labour Party and take that discussion.
ParlaMint-NO_2003-02-27.ana.ud1013e234	The chairman of the Committee was in his main statement that we should work for a stable framework. We see the history of this matter. Since 1996, the framework conditions have changed at least 24 times for our seafarers and for our shipping – 24 times! So I'm very happy that the chairman of the committee underlines the importance of stable framework conditions. I also want to pay some tribute to the Progress Party, of which I am a part, who has been stable in this matter all along and has been the spearhead that the Norwegian sailor and shipping industry need. We were very pleased when the Workers' Party presented proposals on net pay arrangements for the offshore industries, although it is far too small. Why aren't the bending loads included? Why aren't other categories involved? After all, we are also a bit in the living room when you want to postpone until we get this message that has been notified by the Government, to assess the conditions for other categories. We think it would have been much more offensive for the Workers' Party to add the chest to now and say that now we are going to harmonise with the rest of Europe, we want a shipping trip in the future, now the shipowners and the employees of the shipping companies are no longer going to be in doubt. So my question to the chairman of the committee is: what is the reason why this category has been separated and will wait to continue the uncertainty that has long been present for all other shipping in Norway?
ParlaMint-NO_2003-02-27.ana.ud1013e239	I might agree that the Progress Party in this case can beat itself more on the chest than anyone else, but it can actually do the Progress Party in all things. The problem for us other politicians is that we should sum up all the promises, and then we should try to translate them into reality. In any case, I am pleased that the Progress Party's policy to date has not been translated into reality. Then I think it would have been difficult for both seafarers and others. And I also agree that it would be much more offensive if all of the parties here now said, "Well, we're setting up the best arrangements for all of the industries right away." What's been our goal is, as I've repeated several times, to get a broad deal. We don't have any locked models. What has been decisive for us is that this agreement must be wide, and then the governing parties must be on it, otherwise one will not have the stability that one needs in this area. When the government has now said that it will come with a message, just too late, we think that the message must provide the basis that the Storting needs to compare the different parts of this industry in Norway with the framework conditions that we have in our neighbouring countries, etc. Then it's true that we've now extracted a small part of the fleet layers to give them better framework conditions. That was to the extent that we did in connection with the Stoltenberg Government's budget in 2001. We tried to take that part of the industry that we found the most urgent. Then there were clearly distorting rules on Danish and Swedish ferries, and we saw that we had to match it, we had to stop the very clear signals of relocation, so it was the ferry fleet that had to get those arrangements. Today, we feel that there are other fleets that are now in a hurry, namely those associated with the offshore fleet, that is, where the danger of relocation is greatest. But I totally agree that what should be the goal in the long term is that before the shipping industry, everyone should have the same conditions as in our neighbouring country.
ParlaMint-NO_2003-02-27.ana.ud1013e250	In many ways it's a little strange to observe this debate, where really the most important thing from most parties is to say that other parties have been running with a breach of promises, that other parties have promised things they can't hold. I think that's pretty much the same thing, except for SV, which has actually never promised any relief for the shipping industry. No budget for some time has we thought that the shipping industry was so special that there was a basis for very special arrangements for it. In many ways it is a paradox that one of the oldest and most viable Norwegian industries, namely the maritime industry, has been able to create the impression that this industry needs to have state support in particular in order to be competitive and viable. It is an example of an extremely skilled lobbying campaign over very many years that one has managed to establish it – we say – generally accepted truth that this industry needs a crutch from the state. Now we also accept in SV – and that is what is new in today’s setting – that parts of this industry may need, at least for a period of time, some help. The Swedish authorities have not previously promised that. The Chairman of the Committee, Akssen, called for a compromise in this matter, and that is what SV has put in it. What lies within this compromise from the SV side is one of the most important things, namely that we now demand that shipping should give something back to Norwegian society. Many of the support schemes that the shipping industry has actually received over the years, we have experienced as one-sided support from the state to an industry that we have little been able to see documented effects of going back to Norwegian society. The compromise SV launches today, and I also hope that more, and perhaps even a majority in the Chamber, will support, has this in itself: we provide net pay arrangements for the offshore fleet, including, of course, this ferry company, which already has a net pay scheme. But then we put back some explicit demands, namely on apprentices, on innovation, on employment in Norway. This is the compromise that I hope and believe the Storting can be reassembled at the end of this day, for this is a very good and thoughtful proposal that I hope more than SV can support when we come to voting.
ParlaMint-NO_2003-02-27.ana.ud1013e259	There might have been no specific question here. But first I want to say that it is quite right that SV has been consistent in this matter, they have never promised anything more than what they have held – they have not promised anything either. It was probably a former prime minister who said that the only thing he promised was not to promise anything, and he would keep it. And so, SV is right. But this industry was not primarily asking for support from the state. What is the situation is, unfortunately, that our neighbouring countries have put in place mechanisms to indirectly lose our own fleets in competition. And what the Labour Party and SV are quite a few things about is that we have to work internationally to fight against that kind of tax dumping. That's why I'm glad that a co-consultant's committee actually ends up with that requirement. The adjustment must also try to do so. It is true that, in advance of the Stoltenberg Government's proposal to provide a net pay regime for ferries, the Minister of Finance was in contact with the finance ministers both in Sweden and in Denmark in the hope of getting them to drop these schemes. Had no other country had these arrangements, we didn't have to have them either in Norway. So I actually thought that in the process that has been at the forefront of this, SV should have praise. They have actually tried to participate constructively in order to get a setup, and unlike the government party, which has clear promises, and which has no part in it, SV, who has not promised anything, wants to get a solution. After reading the revised proposal that has now been put into place, I would at least recommend that the Labour Party vote for it. Of course, it has always been an intention that when fleet laws get better arrangements than other parts of the business, they themselves should be involved and contribute so that it returns to the Norwegian community.
ParlaMint-NO_2003-02-27.ana.ud1013e272	The cord shift is over.
