ParlaMint-NO_2003-06-10.ana.ud1780e122	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-06-10.ana.ud1780e338	The working party has with Document No. 8:96 took a very important initiative. It is necessary to highlight the various problems of childbirth, not least at a time when we see that there is an increasing number of people experiencing this, both children, parents and relatives. It is important to address seriously the issues that are both of a private and family nature, as well as those of a criminal nature. The central party supports what the committee says in relation to citizenship, i.e. that the individual should initially have one citizenship, but at the same time we believe that when the practice here is different in some countries, a new citizenship law in Norway should not be used to prevent some young people from getting Norwegian citizenship. And then we're some people in that it's important to both work to prevent child abduction and to intensify our efforts in that area. We are also very many in the Committee who say that there is a need to give help to the child and to the parent who experiences the relief it is when abduction takes place. This means that it is particularly important for countries that have not entered into or do not comply with international obligations to put the search light on and intensify their efforts. What complicates this is that one meets another family culture and other legal traditions. In Norway, we need to do what we can to get more people to join the Hague Convention. We ask the question: What happens after this setting? It's good in itself to get to know what we've got now through the various suggestions that are being made here. In addition, in relation to some themes, a working group for closer evaluation has been identified. But is it such that parents, relatives and family networks that are now in a desperate situation can expect a strengthening of efforts and help from Norwegian authorities? I notice that the telephone consultancy service is among the suggestions that should be considered more closely. Maybe having a simple brochure, an A4 sheet, that tells you how to proceed, is what's best in a given situation. I have met some people who have experienced childbirth. There have been great despair and questions about what can one do, where can one turn around. There is no doubt that there is a lack of knowledge both on the part of public authorities and on the part of the lawyer about this. It is important that this document itself helps to intensify the assistance already available. Of course, the centre party supports the recommendation from the committee, but we would also like to support points 1 and 2 of the minority proposal from the Labour Party and the Progress Party.
ParlaMint-NO_2003-06-10.ana.ud1780e355	I agree with the Committee that parents and children affected by international child Abduction are subjected to an assault. The emotional stress is also great. Therefore, I have no problem agreeing that Norway must pursue an active policy to prevent such abductions and make it easier to bring the child back if an illegal abduction has taken place. However, I believe that we are already doing so. However, I am open to good proposals which can further strengthen efforts in this area, and are therefore in favour of the intentions behind the proposal under consideration today by the Stortinge. When mother and father are related to different countries, there may occasionally be disagreement as to where the child is to live. The disagreement sometimes leads to one of the parents taking children illegally to another country. Abductions are often the result of complex life conflicts. As I stated in my letter to the Legal Affairs Committee attached to the vote, about 80 pst. of the abductions of the mother of the child. Abduction may in some cases be a means of protecting the child from abuse or other serious care failures. In other cases, the abductor's reasons for moving are not so ideal. So these things are very complex. ==References== Today, 60 countries have acceded to the Hague Convention on International Child Abduction. This Convention, alongside international police cooperation, is the most important tool we have today to resolve such matters. In Norway, we have experienced a happy decline in cases under the Hague Convention in recent years, from 48 in 1999 to 21 in 2002. Of these 21 cases, four cases involved abductions to Norway and 17 out of Norway. As I also express in my letter to the committee, most matters are resolved quickly, often in a few weeks. Child Abductions to countries not members of the Hague Convention may be much more difficult to resolve. The challenge, therefore, is to get several countries to join the Convention. I therefore have no problem joining the Committee when it wants the Government to further increase its efforts to get more countries to join this international legislation. Those who have had their children abducted will often need legal assistance both in Norway and abroad. In my time, the Ministry of Justice, as Minister of Justice, has conducted a liberal practice in granting free legal aid in these cases. Recently, at the hearing, we sent proposals for changes and improvements to the law on free legal aid. One of the proposals was to make free legal aid in child abduction cases so-called priority, i.e. as a general rule, free legal aid shall be provided if the applicant fulfils the income conditions laid down in the law. In addition to that, we have a very liberal dispensation practice from income conditions in such cases. The Government aims to promote a proposal for changes to the Law on Legal Assistance for the autumn where this will be one of the proposals. I have noticed otherwise that the Committee will have an assessment of whether voluntary organisations can be strengthened to provide assistance in child Abduction cases. I have also noticed that the Committee will increase coordination and set up a working group on rapid and effective response. On behalf of the Government, I have also noticed that the Committee believes there is a need to look at the possibility of stopping public financial benefits to someone who abducts a child abroad. This will concern benefits provided in accordance with rules administered by ministries other than the Ministry of Justice. I agree that there may be a need for a review of the penal code § 216. However, Section 223 of the Criminal Code on Illegal Detention should also be reviewed against child abduction. I will do this in connection with the work of a new penal code.
ParlaMint-NO_2003-06-10.ana.ud1780e375	It's going to be line change.
ParlaMint-NO_2003-06-10.ana.ud1780e378	I am pleased with the openness of the Minister of Justice and so far as his receipt of the proposal, and believe that we can get a bit on the way. I have to be allowed to replicate in relation to the government party that has now expressed on the issue of the arrest, in particular the Judicial Spokesman of the Christian People's Party, who claims that prosecution should only be carried out in criminal matters, and that everything else is contrary to the EMC. Is this the Minister of Justice's opinion, and in that case he will do something about the prison associated with, for example, Foreign law, which has nothing to do with criminal proceedings? Is this also in conflict with the EMK, and in that case will you do something about it? On the contrary, I think it is important that we get more pressure into these matters, and that, for child abductors, we can also use the right to seize to get in touch with him, not necessarily in connection with a specific criminal case. My question is: I share the Minister of Justice, among others. The Christian People's Party's perception of this?
ParlaMint-NO_2003-06-10.ana.ud1780e387	It is likely that different arguments may be put forward in connection with the possibility of extending the scope of intervention. My main arguments are set out in writing to the Committee. I'd like to quote what it says: «In the case of the proposals to extend access to custody against the abductor and to review the penal code § 216, I mention that the experience is that the remaining parent rarely wants to report the abductor. The background is enough that a notification will further foment the conflict between parents – which does not benefit the child. This is reflected in the Hague Convention, which provides for a civil-law settlement of cases. In any case, such a measure would not encourage the kidnapper to return with the child.» My main point is that we have to find solutions that make it beneficial for the child, and I have actually understood that was the intention of the proposers. At this point, I believe that the intention is not promoted by the proposal that exists, even though I have nothing against the main intentions, which I commented on in my main post.
ParlaMint-NO_2003-06-10.ana.ud1780e397	In connection with point 10 of the proposal in Document No. The 8-proposal for a review of Section 216 of the Penal Code has just been discussed by the Minister of Justice. To that I would like to comment on some of the things that the committee says. They say, among other things: it will be noted that: ‘The Penal Code Commission appears to propose that the penalties for such cases should be lowered... This, in the Committee's view, is not in accordance with the seriousness of such cases. Child Abduction,... requires a strict level of punishment so that a person primarily achieves the necessary general prevention’. Then my question, having heard the Minister of Justice recently, will be explained that a review of Section 216: Is the Minister of Justice now prepared to take over the clear and coherent signal from the Justice Committee and come back here with an increase in the level of penalties in child abduction cases?
ParlaMint-NO_2003-06-10.ana.ud1780e407	As is well known in the case of the Criminal Felony Commission, I have previously stated that the work plan is such that the main principles of it are to be found in the Grand Duchy during 2004. Of course, I would like to include all the signals given by the Storting on the road, including the signals given by the Committee in connection with point 10. It is, of course, an important premise in the work both on the general premises and on individual paragraphs. When I didn't take it up specifically in my post, it was because I have too habit of course to take with me the arguments and the positions of the Storting, and they're clearly expressed at this point.
ParlaMint-NO_2003-06-10.ana.ud1780e414	Since SV has been reasonably satisfied with the answers given to this matter by the Minister of Justice, and since SV actually in all the proposals support the government parties, I would like to ask a slightly different question – with the risk of advanceing the treatment of the incorporation of the Children's Convention. This is true of those mothers, whom the Council of State has also been busy with, who have taken their children out of the country and in practice abducted them to escape, for example. is in breach because the Norwegian judicial system has not been able to handle sexual offences and other criminal offences properly. My question is therefore: what does the Minister of Justice intend to do with precisely these cases, such as: SV has had a meeting with Redd Barna about, and which I know many are deeply concerned about? I wonder, among other things, whether the Minister of Justice will be willing to look at the possibility of allowing children to be heard to a far greater extent than is the case today.
ParlaMint-NO_2003-06-10.ana.ud1780e421	It is true that there are aspects of children's relationships that are not my area of law, but it is true that we will come back to the question later on in the discussion of the Children's Convention. So I'd rather come back to it then. I think I have the position that you should be very listening to the possibility that children are not taken with enough. That's my general starting point. However, it is made clear in the individual matters for which I am responsible, and in the individual matters which my fellow Members are also promoting in the Government. The problem raised by the representative of Thorkildsen is complex and difficult, but there is no need, of course, not to try to get closer to it to see how to find solutions. Even I feel that the Storting in the treatment of the theme today, with the tone that, among other things, has been estimated by previous speakers, has agreed to address existing and emotionally intense issues in such a way as to be willing to test solutions, even if it may be difficult. That's a basic attitude, too, I share.
ParlaMint-NO_2003-06-10.ana.ud1780e430	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-10.ana.ud1780e435	Later today, Odelstinget shall, as a matter of likelihood, incorporate the Children’s Convention into Norwegian law. The right of the child to be heard is at the centre of his or her right, to ensure that he or she communicates with his or her parents, and that decisions taken by the child are best for the child. Child abduction violates all of this. The intention of the proposers of the proposal is to bring more pressure to bear on child-removal issues. We don't think the government is showing enough activity in these matters. As a co-rapporteur, however, I welcome the support that has been given to the proposal on essential points. It shows that there is a need for the Government to strengthen its efforts. It is necessary to extend the provision of legal aid in order to provide legal assistance to more people and to cover costs incurred abroad. In a few such cases, the remaining parents have engaged private investigators to track down the child if possible. In that case, specific questions arise when applying for public funding for such services. It should not be worn by the fighting parent. However, it is incomprehensible to me that the government parties and the Socialist Left will not contribute to the confiscation or freezing of the assets of child abductors in Norway, and that there is no attempt to extend the scope for action. This could have put pressure on matters, even where criminal offences can be detected. This is not contrary to the European Convention on Human Rights, such as the Government parties to believe in later. The violation of human rights lies primarily in the fact that the child has been refused contact with mother or father. We have many examples in the legislation of drastic action, both in terms of wealth and in relation to seizure, among other things. in foreign affairs, and where there is no subsequent accusation of infringing human rights. It is also incomprehensible that the same batches will not grant immediate grounds for divorce, not automatically, but which one party may choose to use in such cases. What's the reason why you don't want to admit this when you're a kid, how much trust until those degrees are broken? I think it is almost unethical to force one of these parties to continue marriage when such a fundamental relationship of trust is broken. Nevertheless, the decisions we take today are, fortunately, largely unanimous and must contribute to increased efforts.
ParlaMint-NO_2003-06-10.ana.ud1780e450	The number of families with children in Norway with a multinational background is increasing. This alone increases the risk that one of the parents may wish to take their children to their country of origin in the event of a life crime. Society must ensure that adequate measures and instruments are in place to prevent child abortion and not least to facilitate the return of the child to the caregiver. From 1997 to 2001, 126 children were abducted, while 61 children were abducted to Norway. The fact that one of the parents actually kidnaps their children is a totally unacceptable attitude and must be treated as a criminal act, regardless of whether it is mother or father that abducts the child. A child has a natural right to have two parents and not to be separated from one. Today, we are discussing the integration of the UN Convention on the Rights of the Child in Norway. A child up to the age of seven shall be free to express If one kidnaps the child to an unknown place, the child's natural right will be cut off. Its longer a child has been abducted, the more likely it is that the ties to the remaining parent will be emotionally weakened, but also positively affected by the kidnapper. The impotence and despair that the rest of the parents had to feel is indescribable. An extract from the VG on 9 September 2002, where mother abducted two children from a father who had been granted custody and parental responsibility for the children after a judgment in the Supreme Court, reveals the hopelessness of this parent. He said, "I feel totally powerless. This is a Kafka process. Poland acts in a way that renders the International Convention on Child Abduction worthless. The case was first trained in the Polish judicial system, and then they said that they did not find the children. And Norway rewards an ongoing crime by requiring me to pay contributions.’ The question is: can the world feel more unfair when long and expensive legal cases that end up in harmony with the judicial system become worthless when society's follow-up to a judicial judgment is completely absent? The aim of a child-removal case is to bring the child back to the care provider or the parent. The Workers' Party proposes to extend the right of access to children's abductors on return to Norway. This may be in conflict with the EMK. Therefore, the prosecution authority should bring criminal proceedings against the kidnapper as soon as possible, such as: will enable the kidnapper to be apprehended. It will not necessarily be easier to bring back a child who is abroad if, for example, the kidnapper. are automatically apprehended and sent to custody during visits to Norway. However, the chances of having abducted children back will be greater as more sanctions are applied by the Norwegian authorities to the child abductor. This will also increase the possibility for the police in several countries to give priority to an international alert in a child-removal case. The Labour Party also proposes to increase the possibilities of seizing the assets of child-rearers in Norway. Paragraph 217 of the Criminal Procedures Act will be sufficient if there is a need to secure all or part of the property mass of the sieves in Norway. Therefore, there is no need to increase the possibility of seizing the wealth of a kidnapper in Norway. When criminal proceedings are brought, self-assessments should be made as to whether Paragraphs 217 and 220 of the Criminal Procedures Act should be followed, i.e. securing of wealth. It is obvious that financial benefits for child abductors are stopped.
ParlaMint-NO_2003-06-10.ana.ud1780e470	Several have not asked for the floor on case No. Add User-ID Succeeded [[See page 3162]]
ParlaMint-NO_2003-06-10.ana.ud1780e486	At the request of the Judicial Committee, the President will propose that speaking time be limited to 5 minutes for each group. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2003-06-10.ana.ud1780e493	This is a big message that has passed the committee without any comments. Thus, there should be no reason to keep long posts. I'm not going to do that either. However, when I take the floor, it is to point out that this is the first year in which the Committee on Legal Affairs has had no opinion on individual cases relating to the replacement of cheapness or justice, which is the neo-Norwegian word used in the communication, a word which is otherwise much more comprehensive as to what this is all about. Before that, the applicants were able to appeal to the Judicial Committee after a refusal in the Ministry of Justice. In the event of rejection there, appeals could be made to the Judicial Committee. So now access to appeals to the Justice Committee is removed. This does not mean, however, that it is not subject to popular treatment, because the Justice Compensation Board consists of two magistrates who assess these cases. I would also like to stress that the position of the Judicial Committee on these types of matters will now be in the form that, in consultation with the Ministry, where appropriate on its own initiative, the Judicial Committee will continue to have the possibility to influence the scheme, namely by providing guidelines on the award of cheap and fair remuneration and on the criteria on which it is to be awarded. With these words, I recommend that the message be annexed to the Minutes.
