ParlaMint-NO_2003-06-19-2.ana.ud1033e28	No one has asked for the floor. [[See page 3539]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e330	I have not heard of so many organisations that have expressed themselves in praise of the bulk of the population either. The central thing is that all the social organisations have concluded an agreement stating that the supplements agreed for a representative part of the competitive sector are to be normative for the other settlements. That's what we've been following. When the State, the Government, concludes an agreement with the social partners, we comply with that agreement. Otherwise, I think it might be natural to ask the question back to the Labour Party, which, as far as I understand, in the context of the treatment of the revised national budget tomorrow has intended to return to the fight against unemployment as the major issue for Norway today. So do we. And we believe that a implemented income policy scheme that ensures that Norway can be competitive, and that also ensures that pensioners can receive income not only for the next year, but also in the future, is more important than 0.1 G or 0.2 G in the current year.
ParlaMint-NO_2003-06-19-2.ana.ud1033e337	The Council of State says in its statement that since the Stortinget does not now adopt the scheme that the Government has put forward, it is important to consider whether there is any point in moving forward in this way in the area of social security. I would then just like to remind the Council of State that the social security settlement is to be adopted in Stortinget. It's the Stortinge that decides. Thus, Stortinget also has the opportunity to say what Stortinget will do in that case. That's what the majority has done now. My question to the Council of State is on the signals sent from this Chamber in connection with the examination of the social security policy, where it was clearly said that when it came to the estimate of wage growth, a person would use what was in the revised budget of the Government itself, and said 4.5 pst. Nevertheless, on the same day, the Council of State is tabling a proposal for 4 pst. to the organisations. Is there anything in the comments from the majority of the population that the council did not understand, which made him unaware that it was going to be 4,5 pst. ?
ParlaMint-NO_2003-06-19-2.ana.ud1033e344	Since a majority in the Grand Duchy now assumes that it should be 4,4 pst. And not 4.5 pst., well, that gives itself the answer. It was made quite clear that what was meant was expected wage developments, adjusted for special circumstances. In addition, I would like to remind you that one of the representatives of one of the parties involved in the majority comments, namely Bjarne Håkon Hanssen, in his statement clearly opened up the possibility that the Government could justify its position with a different salary estimate than that contained in the revised national budget. We have carefully explained in the proposition how we believe that our offer is in line with the guidelines and comments and the big debate.
ParlaMint-NO_2003-06-19-2.ana.ud1033e351	The council said in its speech that it is impossible to carry out discussions without having the bulk of the population in their backs. But that's not right. Governments now have a clear majority on their necks, and their necks are known as part of their backs. Otherwise, I would like to point out that the Council of State said in its statement that an offer had been made to the organisations that were clear within the guidelines. But what's obvious here is that a large number of people perceive that it's not clear within the guidelines. Otherwise, the offer of social security settlements that the Government has made had not been accepted today. Then I would like to ask the Council of State: is it such that in its interpretations the Council of State bases the interpretation of the majority of the population, or does the Council of State consider that he can base his own interpretations, across the majority of the population?
ParlaMint-NO_2003-06-19-2.ana.ud1033e360	Of course, there should be interpretations with which the majority of population can live, which have to be based. But it is the government in negotiations that will try to interpret these guidelines. And the guidelines – just to remind us – are not as clear as the large number of people now want it to be, among other things. because income policy cooperation can easily conflict with other aspects of the guidelines. When it comes to the question of why the majority of population is now overtaking the government, it is possible that it may have to do with our guidelines. But I think perhaps the representative, Bjarne Håkon Hanssen, was in for something much more correct when he said that it was related to the Workers' Party getting so much criticism last year that they had supported the social security settlement. So I think we're going to look for the explanation there, rather than the government not having followed the guidelines of the Stortinget.
ParlaMint-NO_2003-06-19-2.ana.ud1033e367	The Council of State told Norman to respect the negotiating institute and the outcome of the debate. I agree. I also made that point on behalf of the Centre Party in the debate we had on the guidelines. But the outcome of the discussion is not real for Stortinget when it becomes a breach, and with as great anomalies as it is about this year. Nor is the basis for discussion very real when it is first presented by the Government as an expected wage increase, according to the revised national budget, of 4,5 p.m. and which in the negotiations is changed by the same government to 4 p.m. It is not particularly predictable and solid as a basis for discussion, nor is it a result for the Storting to take a stand. The Council of State also said we should have a settlement in line with other wage settlements. That's right. However, this safety regulation on 1 January is not in line with the adopted guidance adopted by the majority. Where, for example, the Council of State is located. the provision of a back-up clause in the adopted guidelines?
ParlaMint-NO_2003-06-19-2.ana.ud1033e375	As explained in the proposition, our proposal for 4 pst. in reality 4.13 p.m. We also believe that we have documented that the relevant, corrected wage development, corrected for specific conditions, comes down to 4.2 pst. and then the hedge provision comes in addition. We then clearly believe that this is in line with the conditions. So the question about the organisations and their demands and the discussion institute in the lengthening of the question. I would like to remind you, and it says a little about Stortinget as the Board of Appeal in relation to the discussions, that the organisations in the protocol have not even accepted the reregulation that the majority of the Stortinget is now saying is completely in line with the guidelines. We came into consideration with a reasonable way of dealing with the discussions because the Stortinget was understood there that there was actually not to be real discussions, but that it was to be a decision that was either made in advance in the Stortinget, or was to be taken after the Stortinget as the Board of Appeal.
ParlaMint-NO_2003-06-19-2.ana.ud1033e382	The Council of State repeatedly repeats that the problem of this year's discussions was the Stortinget. A government council that defines Stortinget as a problem will soon have a problem itself. The Council of State is concerned with the nature of the negotiating position to be held by the Government and the Council of State in next year's discussions. Based on all that I have heard from the Council of State today, I will primarily use this line to give advice. I think the Council of State in advance of the social security settlement next year is making fun of going more in itself than looking for problems here in Stortinget.
ParlaMint-NO_2003-06-19-2.ana.ud1033e389	Let me make it clear that I don't in any way see Storting as a problem. The size is an institution that I have the greatest respect for. This is not where the problem lies in relation to social security. On the other hand, some parts of the Storting may represent a problem. What I have tried to suggest is that the Workers' Party's attitude to social security has been a major problem in relation to this matter, because the Workers' Party has clearly needed to try to correct something they perceived as a problem in connection with the social security settlement last year, namely the tradition of accountability. The reality of this year’s settlement is that the Workers’ Party has opted for a populist solution instead of the responsible line that has made it possible to pursue a income policy and a set of negotiations over the years in this country that has held Norway on a somewhat rough course. I find it sad that the Workers' Party has given up its line of responsibility, but I am quite sure that the Government and the Stortinget will still be able to keep Norway on a rough course.
ParlaMint-NO_2003-06-19-2.ana.ud1033e398	The cord shift is over. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-19-2.ana.ud1033e403	I'm not going to talk about the heads or the percentages. I record that the opposition and the government parties have a somewhat different starting point for their percentages and amounts – I just register that. It was Bent Höie's post and his argument and reason for using the figures he's doing, which made me take the floor. It is quite daunting by the Right Spokesman when he goes very far in suggesting that a fairly good settlement for social security and pensioners jeopardizes income policy cooperation, as well as making minimum pensioners and people living on poor social security benefits the main responsibility for increasing unemployment. This isn't just completely unreasonable and rude, but it's very politically revealing. When the right starts to use the word ‘solidarity’, a listener shall carefully. Then this term would like to have some special content. It strikes today again. The solidarity of the Right Society shall obviously go hand in hand with a group that has difficulty — the unemployed and those threatened by unemployment — and another group that does not have more than they need, those who live on social security benefits and pensions. According to the Right, this must be in order to save approx. $0.5 billion on the state budget. That in the same state budget, for example, Putting NOK 1.5 billion right in the pocket of the richest through zero tax on dividends in addition to other taxes on high pay, doesn't seem to worry Right for a moment. It is then necessary to ask the Right whether the wage increase contained in this tax exemption does not have an impact on income policy cooperation and unemployment. Or is the need for increased purchasing power of this group, wealthy shareholders and others, so urgent that it is necessary to ignore other negative effects? Bent Höie’s contributions illustrate in an excellent way the sea of difference between Right and SV’s social policies. Where the Right wants the greatest possible justice between groups that are already in need, the SV want reconciliation between those who have more than enough and those who are struggling financially.
ParlaMint-NO_2003-06-19-2.ana.ud1033e416	In this case, I will not even try to explain to Sigbjørn Molvik the relationship between having tax freedom on dividends and having available capital to create jobs in that country, or to repeat once again that the tax reliefs that this government has provided have been tax havens for just doing something about unemployment and facilitating the business situation in that country. If this government's policy had not been pursued in the last few years, there would have been, in fact, an absence that I believe none of us would have known of today. Many have said that I said that the minimum pensioners had to show solidarity with the unemployed. What I said was that the pensioners' organizations and the opposition to the Storting through this settlement have not shown solidarity with the unemployed. I repeat the question to the opposition parties: Where in their proposal for settlement is the result of the guidance on taking account of income policy cooperation? Where in the proposals of these parties is there at all a slight hint of recognition that there is a need to keep revenue developments in check this year for the sake of the unemployed? So to the representative Hildeng's posts. She says you break an important barrier. I agree with the representative Hildeng that this year's settlement will break an important barrier by the Stortinget overseeing the Government in relation to the social security settlement. But then you try to create the impression that it's the government's responsibility and the government's fault by referring to the problems that arose in the social security settlement in 2002. I would like to remind you that there were no problems in interpreting the 2002 settlement guidelines that were the subject of debate. What was the subject of debate was the interpretation of the decision of the Labour Party, the Progress Party, the SVs and the Central Party in the 2002 budget, where the representative Bjarne Håkon Hanssen on this pulpit acknowledged that they had done a bad political craft because the decision for which these parties stood was not in practice possible to interpret. The settlement guidelines were clear and did not create any problems. In fact, it is the majority of the population who, if any, before the year’s settlement have provided such clear indications for the year’s settlement that in this case they are now unable to determine whether the settlement is in line with the guidelines, but must be more accountable for the comments and opinions they themselves had before the year’s settlement. That's the problem.
ParlaMint-NO_2003-06-19-2.ana.ud1033e427	That the pensioners are not solidarity enough, is the most sympathetic and heartwarming statement I have ever heard from this pulpit. It is possible to say that the majority of the Storting, the majority in this room, including the Right, has for 28 years subdued the basic amount of the population, and actually owes significant funds to the pensioners. Bad political craftsmanship primarily from the Minister of Labour and Administration, but also from the Prime Minister and the Minister of Finance, has made a lot of noise and confusion around social security settlements this time. Two clear majority decisions in the State budget, which were based on guidelines for the regulation of G and the follow-up for 2001 and 2002, which were to be dealt with in good time in the Grand Duchy in March, were totally ignored by the Minister of Labour and Administration, who first made a proposal on follow-up and guidelines in the context of the revision. However, the Social Committee and the Stortinget have the power to deal with St.prp. No 32 for 2002–03 in record time, and the suspension was addressed at Stortinget on 28 May this year — the day on which negotiations with the pensioners’ organisations were due to begin. The majority of the majority of the population accepted their decisions from the 2003 budgetary procedure, and it was stated from several parties in the debate that the expected wage growth for all would be 4.5 p.m. – which has been reviewed – and should be the starting point for the regulation of G during the settlement process. On the same day that the Storting made these decisions, the Minister of Administration, in negotiations with the organisations, performs to make an offer initially to regulate G of 3.9 pst., which was later increased to 4 pst. I characterize this as a provocation. It became known as a breach of the negotiations. I do not find good enough characteristics to assess this kind of political craftsmanship, but it must have been the Government's opinion all the time that pensioners should not get a wage development at least in line with wage developments as the Stortinget has decided twice. This is more than conciliatory, and a negation of the pensioners by this government, and in particular by this Council of State. The Council of State is also free enough to claim in the social security bill that pensioners receive a very good settlement, and justifies this in the social security message with the shortening of the state theft of pensioners' couples and joint-partners for whom the Progress Party was successfully implemented in the budgetary negotiations with this government. The curtailment of this state theft has nothing to do with the year's social security settlement or aftermath. However, when the Council of State makes use of this in its argument that pensioners have almost become wage leaders, this is an improper representation by the Council of State that underlines and confirms that the Right has never been particularly concerned with the poor in this country, nor by the pensioners.
ParlaMint-NO_2003-06-19-2.ana.ud1033e442	I note that the representative Alvheim believes that a group – which, on average, with the Government's proposals, will have an income development this year of 5.2 pst. – does not receive an income development at least in line with total employees, which is estimated to have an income development calculated in the same way as 4,5 pst. It's an interesting form of mathematics.
ParlaMint-NO_2003-06-19-2.ana.ud1033e447	I record that the Council of State did not address the security regulation – the post-regulation clause, as the representative Bent Höie called it – at the turn of the year. I again want to encourage the Council of State to refer to where it is in the adopted guidelines. I think to point out that the regulation clause is really just pushing this in front of me to have an excuse for underregulation now. When it comes to pensioners and we're solid enough with the unemployed, I keep in mind that the way to make it is unfine. As the representative Alvheim said, it is not least the pensioners who have been solidarity in our society lately in terms of wage development and ability to pay. In the case of bad craftsmanship, I have to say that it has been carried out primarily by the central people of the Government here – the Prime Minister by creating a ambiguity about post-payments in the case of under-regulations from 2000 to 2001, the Minister of Finance by not clarifying what was in the revised national budget and also the Minister of Administration, not least, by being responsible for the year’s social security negotiations. I think it's bad craftsmanship from all of these three, especially in the central areas, but in sum it shows that the government at this settlement has not intended to give pensioners a settlement in line with other wage developments. To Höie, I would like to say the following: it's probably a little untraditional to make a bet from the Parliament's pulpit, but I think that the wage trend in the period in question is going to be at least 4.4 pst. And that what the majority is going for here today is a quite realistic estimate of what we should put into retirement so that it should be at least in line with wage developments.
ParlaMint-NO_2003-06-19-2.ana.ud1033e458	The President will say that because lotterilova has just been infused, it may not be a matter of concern to us.
ParlaMint-NO_2003-06-19-2.ana.ud1033e461	State Council Norman has quoted several times in his articles here today from the post I had in connection with the Stortinget's handling of the guidelines. That post was from my side an attempt to give the Government and the Council of State an outstretched hand. It was from my side an attempt to contribute to real discussions. It was an attempt to help the Council of State have the power to discuss. With the experience I have gained today, I can assure the Council of State that this is the last time I have made such an article. When it's put out and used in the way the Council of State has now done, I'm going to learn from it. That's what I'm taking with me as the starting point for next year's settlement. There's going to be discussions, that's said by several, and what's been the core of the battle, is a lot of what's called correcting for special circumstances. It is argued, inter alia: from Bent Höie, that one of the special conditions for which correction is to be made is that last year the public employees had a very good pay settlement. It takes them into account in the year's wage development, and there is a particular aspect for which it needs to be corrected. Then I have to ask, where do you find a team that defines the large number of people who have good pay settlements as a particular relationship for which it is to be corrected? On the contrary, the Committee notes that: ‘Special conditions’ here means the development of earnings for individual groups resulting not only from a purely pay supplement but also from changed tasks or working hours.’ For example, teacher-made increased pay for increased work. But if you start to draw that if a group got a very good paycheck, we have to correct for it before the pensioners can get expected wage developments – if the government interprets the very precise remarks from the Storting in that way, I would say to the council that then we are soon in a situation where we have to take a new case about the guidelines, because then it is obvious that you won't understand. But here in the hall is the power that comes.
ParlaMint-NO_2003-06-19-2.ana.ud1033e479	As the social security rapporteur, I initially tried to put in a tone as factual as possible, in the hope that there would be a low temperature, and that the matter would be dealt with quickly. I also expected that it would be appropriate from the viewpoint of the government parties. I have rarely been so wrong, and rarely has anything I have tried been so totally unsuccessful. I have to say that after hearing the government parties today, I am very surprised, because it seems that you are not taking inward the reality that exists in this house now, where a quite clear, solid political majority has laid clear leadership that the government has to deal with, and then you manage to make it clear that this is not clear enough. I heard Bent Höie pointing out that the bulk of the litter has not been clear enough. How clearly do you want the mass mass to be? Is it that you have to write it down word by word? Is it so that we have to put the amounts on the paper and write the decimals and zeros behind it? Is it so obvious that the government parties want it? This reminds us of a kind of political masochism, in which one has a burning desire to be skinned by as many parties as possible, so that one remains as alone as possible. So the government council says it's not the Stortinget and the Stortinget as an organ you have something against, but the Workers' Party, because the Workers' Party has become so populist. Then it includes the other parties – SV, the Progress Party, the Center Party and the Coastal Party. Everyone, except for a minority government, has become populist. But in sum, it is precisely the lack of respect for the Storting that arises. I have to say that you can argue in relation to the regulation of the basic amount of the population benefit, given that there will also be pensioners with relatively good income who get it regulated. You could have had a dialogue with the government parties to find reasonable solutions. But what both the government councils and government parties have added here is a climate that makes it possible when we come to the next social security settlement, the majority of the population will be even more careful not to have any kind of loophole, not because the majority of the population initially have a burning desire for it, but because the government parties are putting a race where they are asking for it. And to me, it's a mystery that you want to pursue politics that way.
ParlaMint-NO_2003-06-19-2.ana.ud1033e490	No, I probably don't know as much math as the Council of State, but I know something more politics. If the council had been as capable as politicians as he is as a mathematician, we wouldn't have had this confrontation with the Storting as this is put up to. It's sensational, I'll say! Under normal political conditions in the Grand Duchy, this could really become problematic for the Council of State. All he has said here today is in fact an expression of disregard for the majority of the Storting. It's not possible to behave that way! He still claims that theft of pensioners and cohabiting pensioners has something to do with wage developments this year. It certainly doesn't. It's a theft on which the state now pays something back. If really the Council of State has not understood that, I am more than stated by his political senses.
ParlaMint-NO_2003-06-19-2.ana.ud1033e497	Initially, I did not intend to participate in this debate. But when I sat in my office and heard the council say that he is “complaining” the decision of the Storting, I must say I was squatting in the chair. A certain order I think, after all, it must be. After having experienced Ansgar Gabrielsen in free dressage here yesterday and Victor D. Norman here today, I would recommend to the Council of State to ask for a course in parliamentary language. His statement is very close to a cabinet question. Cabinet questions are the Prime Minister's questions in this Chamber. I honestly think that there is reason to ask the Council of State to subdue its language. We still get to write it in the lack of parliamentary experience account, but after two and a half years it would have been possible to learn a lot after all.
ParlaMint-NO_2003-06-19-2.ana.ud1033e504	I must be allowed to say that this has been a strange debate. I think the vast majority of opposition parties have given the government councils and government parties the opportunity to get down to their legs if possible. You didn't catch that. You have every time someone from the opposition has been on this pulpit, chosen to attack the Storting and attack the opposition parties. It is strange that the Council of State does not yet accept that it is in fact the Stortningen which is to adopt the social security scheme. That's why the proposition lies here, because the decision has to be taken in this room. The fact that the bulk of the population has a different position from the government parties to the size of the regulation of the basic amount is only acceptable to the government council. Instead of attacking a party by party for irresponsibility, one should perhaps rather, in advance of the discussions that were, do a better pre-work, like, for example. – and it is quite obvious – read the Stortinge position when applying the social security policy. Had you followed what's there, the government councils and government parties would have come out a little better than they are today. It can almost seem that some people in this case view pensions as a social benefit. They're not. Pensions are actually an earned right. You pay for a plan from which you are to get back. I think that we also have to look at this new expression that has come up in the guidelines, ‘corrected for special circumstances’, because it is obvious that the government is trying to use that expression now at any opportunity it can give a lower basic amount of social security contributions. I think we have to do a new round on the social security policy. There is at least one person in this room who obviously has not read thoroughly enough what it says, namely the Council of State.
ParlaMint-NO_2003-06-19-2.ana.ud1033e515	In danger of being perceived as provocative, I must say that we are in that case two who have problems reading. I have not heard anything from the representative Nesvik about what is in the guidelines on anchoring in the income policy structure. There are still questions asked by the representative, Höie, who has not been answered. So to Odd Roger Enoksen. I can only say quite clearly: I did not mean to use a parliamentary expression with very strong significance. So let me replace my use of the word 'complaint' with saying that I am very sorry that the Storting has not followed up the Government's proposal. So just one final remark. It is very possible that you will need a new round of guidelines and, as I suggested in my post, about the very nature of the discussion with the organisations in the area of social security. Let me remind you, in parentheses, that it's not a retirement stoppage we're discussing today, it's a social security settlement. It does not concern only pensioners, it affects all insured persons in Norway, and their interests should perhaps also have been mentioned a few times in the debate. I think, in the context of these guidelines, that we must also clarify what we mean by comparisons. Do you have to compare the same thing to the same thing, or do you have to compare the same thing to different things? To compare the income development of pensioners corrected for post-regulation, corrected for any additions to married and cohabiting persons, on the one hand, with the income development of employees in total not adjusted for similar conditions? I can't believe that the Workers' Party, and I don't think SV, believes that you should compare with different ones. We have to avoid getting into a situation where we (a) compare similar to different and (b) have a set of guidelines where one part of the guidelines makes the other part of the guidelines.
ParlaMint-NO_2003-06-19-2.ana.ud1033e526	Ola D. Glötvold has the word twice and gets the word for a short comment.
ParlaMint-NO_2003-06-19-2.ana.ud1033e529	I note that the Council of State has still not taken note of the fact that no doubt is now to be raised as to which part of the regulation of the basic amount is due to post-regulation and which part of the regulation is based on wage growth. So there's a lot of strange arguments here to make this a very good deal of solution: you're withdrawing a change in the coordination rule, and you're also withdrawing the total settlement. That's 4.4 pst. which is the regulation based on expected wage growth. Then the Council of State also says that he is sorry that the Storting has not followed up the Government's proposal, and then we have to discuss "lead" or "complaint". But he's still turning the rules on his head, because it's the government that's going to follow the decision of the Storting and adopted proposals, and not that we're subject to what proposals the Government makes to the Storing. It's the Storting that decides, and then it's the Government that's going to do it. At least I thought that was clear. The trust between the pensioners and the politicians is mostly refined, but trust between the government council Norman and the Stortinget has also been greatly weakened here today.
ParlaMint-NO_2003-06-19-2.ana.ud1033e536	I understand that the Norman State Council has previously said that he is «complaining» the decision of the Storting. Now he took away that expression, which, if used by the Storting, is the same as distrust, if it's in the form of decisions. Then he says that he's sorry for the decision of the Storting. I have a little bit of trouble seeing really the difference between those two words. It is still the case that the Council of State then expresses in a way that he does not accept the Storting as a superior body to the Government. That is something I regret, for the time being only verbally from the pulpit, but the temptation to do so in decisions is beginning to become quite big – quite big. It should be noted by the Council of State. I have also become aware then, and it is clear that it is also clarifying for the country's pensioners, that the main spokesman of the sitting government is tired of the fact that pensioners get a slightly higher increase in their pensions than what was proposed. So he's sorry that the pensioners get a better pension. I remember a Prime Minister who said something similar a few years ago, and I think that was among the things that the Prime Minister was later regretting. This may be the problem of the Council of State, but it may also be the same when these statements become known. And so the Council of State confirms the statements of the Minister of Finance when it comes to the settlement of the pensioners, that they should be moderate and moderate. It got a lot of attention. The Prime Minister later tried to create a different picture, but we have to deal with the responsible State Council when the social security settlement is being dealt with, and that must be a confirmation of the Minister of Finance's statements on the settlement itself. But I will finally give good advice to the Council of State, and that is that he is going to the pulpit of the Stortinge now and regret some of his statements in this debate.
ParlaMint-NO_2003-06-19-2.ana.ud1033e543	It's not often I'll say I agree with Carl I. Hagen, but I'll do it now. There is not only reason why the Council of State should do so, but there is also reason why the Council of State should go up and explain once and for all that he understands that it is the Stortinget that determines this matter. And if the council doesn't manage to make friends in Stortinget, he just has to figure out that the Storting decides. What has become quite clear during the debate is that the Council of State, with its calculation policy, is trying to do this only as a purely calculation example. If that's what it's about, it's clear in the proposition what the calculation should look like, so there shouldn't be any doubt about it. But it's actually another calculation that I think the government should notice, and that's a simple percentage: if you calculate percent of a small number, it becomes a small number, and if you count percent of a large number, it becomes a large number. Maybe that should say a little bit about who it was that you should get away from a few extra dollars. I remember that when this government joined, it took them, I think, exactly ten seconds to distribute about. $1.5 billion for the richest in this country. There wasn't a single concern about whether there was someone who needed this, or whether it was good for the country, or any kind of proof of anything. That's the one. The second is that the Council of State says that this settlement is not only about the pensioners, but also about the insured. Yes, it does, and that's probably one of the reasons why some of us have to fight with beaks and claws at the end to get these heads in place, because we have a government that's out to take small dollars from the insured on every occasion that comes along. That is the policy in this, and that policy is important. But I just hope now that all the country's social-security and pensioners have noticed that we have a government that doesn't treat them with a strike in line with what they've got, despite the fact that the sum of which it's to be counted as percentages, is far lower for most of them than for people else in society, and far, far lower than the salaries of the population representatives and state councils. It should also pay for a certain humility from both this hall and not least from the Government.
ParlaMint-NO_2003-06-19-2.ana.ud1033e550	First of all, let me just make it clear: it has not been from this pulpit with one single word that the Government will not bow to the decision of the Stortinge. That is not what this debate has been about. Of course, we will follow the majority decision taken in Stortinget today. Nor has anyone said a word that you do not benefit from the pensioners and the other insured people every penny that the Storting had to decide today to grant. That's not what the discussion is about. What I expressed regret was that the Storting had not chosen to respect the Government's proposal in the social security negotiations. I was sorry about that, not because I don't have full respect for the Storting, but because the Storting has stated that you want the retirement stoppage to happen through discussions with the pensioners' organizations. And if those discussions are to be real, those discussions will mean that the organizations actually get the influence they're going to have, the government as a contracting party must be pretty sure that you have the Stortinge's support in your back. That you also have the Storting on your neck, I take note. That's what I said I was sorry for. It was in that context that I used an expression I might not have used. But it's not a question of whether we're going to comply with the Storting decision. Of course we will. And it's not at all a question of whether we love the retired people all the good things, because it does the government parties to at least the same extent as everyone else here in this room.
ParlaMint-NO_2003-06-19-2.ana.ud1033e560	It's not often you hear that from the Great Council. But it's a little strange when the government measures itself, that it's the people who have brought this case to port. It's the Biggest and Biggest majority who do it so that the pensioners can get what they need. It's not the government. And where does it belong for those who have the least to show solidarity with those who have the most? It doesn't belong anywhere, and I have to wonder a little bit when it comes to negotiating pensions for pensioners. There are no negotiations on wage increases. Negotiated between the employee and the employer. Once it's passed, it should be a matter of course that the pensioners should get the same thing. But now Stortinget has the same. It's a unanimous attitude, basically, where a majority says we should have the settlement that we get. How is it that those who have the least have to show solidarity with those who have the most? I can't with my wildest imagination understand that that's right. It's like we were going to adopt a new tax settlement. That's always the little man it's going to go out on. It's not the big ones. That is what has now been said from this pulpit.
ParlaMint-NO_2003-06-19-2.ana.ud1033e570	Bjarne Håkon Hanssen has had two posts and gets 1 minute to a short comment.
ParlaMint-NO_2003-06-19-2.ana.ud1033e573	We still have a problem here, I believe, because the Council of State now comes up and says that he is sorry that the Storting does not follow up the government's arrangements. But it's turning the issue completely upside down, for the problem here, what has created this situation, is that the government has not followed up the Storting's assumptions for social security settlement. Instead of coming to the Chamber then and being sorry that the Storting will not take a decision that is not in line with his own assumptions, the Council of State must understand and realize that the task is not to express that he is sorry for the decisions of the Assembly. In such a situation, a Council of State must take note of the decision it then takes. And that's the only way.
ParlaMint-NO_2003-06-19-2.ana.ud1033e581	It has not been long since the Stortinge took a decision on social security guidelines. There was a relatively heated debate between the majority of the population and the Council of State Victor D. Norman, where we asked – and we thought maybe we had understood the Council of State there – that he committed himself to following the new guidelines on social security during the negotiations. We also clarified the figures in the majority understanding of the guidelines. So it did not follow up with the Council of State, and when he now says that the Storting should have undermined the influence of the organisations, he is completely wrong. He himself did not give the organisations the influence they should have in relation to the guidelines, and that's why it was broken. So the government council now says that he and the government parties are undermining the pensioners at least as much as the others in this hall. It's actually a mistake. The government parties have proposed a lower basic amount than both the Labour Party and SV and the Advance Party, and we will of course vote in a subsidiary way for the vote – that is, the majority. So it's not like you're under the pensioners the same amount. It's a direct mistake, which of course we'll have to point out quite strongly to the pensioners and others. I understand that the Council of State believes that he has no reason to complain about his statements, or to be sorry for his own statements, when he maintains, as he did in Odelstinget in connection with changes in competition law, that he is sorry for the decisions of the majority of the population. In general practice, if a government council regrets a decision that the Stortinget will later adopt, which he thus deeply disagrees with, it will not be unnatural for such a government council to take the consequences of its own position and its own views expressed in the Storing Hall, if, despite strong warnings from the Council of State, the Storing chooses to take the decision. If there are no consequences, an interesting debate on changes in the parliamentary governance situation will be held in the future. So then the Council of State can actually try something that many people see as a cabinet question, but when he loses voting, he does not take the consequences that it was actually perceived that it was what he asked.
ParlaMint-NO_2003-06-19-2.ana.ud1033e592	No more people have asked for the floor on case No. 4th@item: inlistbox [[Footing, see page 3540]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e608	No one has asked for the floor. [[Footing, see page 3544]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e625	No one has asked for the floor. [[Footing, see page 3544]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e642	No one has asked for the floor. [[Footing, see page 3544]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e659	No one has asked for the floor. At the request of the Economic and Social Committee, the President shall propose that cases be brought before the Court of Justice of the European Communities. 9 and 10 are processed together. [[Footing, see page 3544]] - It'll be taken as a confirmation.
ParlaMint-NO_2003-06-19-2.ana.ud1033e688	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: Working Party and Right 15 minutes, Progress Party, Socialist Left Party and Christian People's Party 10 minutes, Center Party, Left and Coast Party 5 minutes. In addition, the President will propose that the opportunity be given for the replacement of a reply of up to five lines with replies from members of the Government within the allocated speaking time. In addition, it is suggested that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It'll be taken as a confirmation.
