ParlaMint-NO_2003-10-01.ana.ud1736e29	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2003-10-01.ana.ud1736e323	I suggest Signe Eye.
ParlaMint-NO_2003-10-01.ana.ud1736e331	Signe Eye is proposed. Other proposals have not been made.
ParlaMint-NO_2003-10-01.ana.ud1736e341	The President is asking for a proposal to the Secretary of State.
ParlaMint-NO_2003-10-01.ana.ud1736e347	I suggest Sonja Irene Sjøli.
ParlaMint-NO_2003-10-01.ana.ud1736e355	Sonja Irene Sjøli has been proposed as Secretary of State. Other proposals have not been made.
ParlaMint-NO_2003-10-01.ana.ud1736e364	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals for the first Vice-President.
ParlaMint-NO_2003-10-01.ana.ud1736e370	I suggest Eirin Fallet.
ParlaMint-NO_2003-10-01.ana.ud1736e378	Eirin Faldet is proposed as the first Vice-President. Other proposals are not available.
ParlaMint-NO_2003-10-01.ana.ud1736e387	The majority has then come to the election of the other vice-president. The President is asking for proposals.
ParlaMint-NO_2003-10-01.ana.ud1736e393	I suggest Kari Lise Holmberg.
ParlaMint-NO_2003-10-01.ana.ud1736e401	Kari Lise Holmberg is proposed as other vice-president. Other proposals are not available.
ParlaMint-NO_2003-10-01.ana.ud1736e411	Finally, the Secretary-General shall be elected. The President is asking for proposals.
ParlaMint-NO_2003-10-01.ana.ud1736e417	I allow myself to propose Per Erik Monsen.
ParlaMint-NO_2003-10-01.ana.ud1736e425	Per Erik Monsen is proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2003-10-01.ana.ud1736e434	The President proposes that the alternate representatives Mette Korsrud, Morten Ørsal Johansen, Aud Viken, Leif Christian Johansen and Inger Møll be elected to Lagtinget for the time they meet for representatives Julie Christiansen, Thore A. Nistad, Reidar Sandal, Ivar Østberg and Elsa Skarbøvik respectively. – It shall be deemed to have been adopted. The President proposes that the Storting should now suspend its negotiations so that the Laging and Odelstinget can meet and elect presidents and secretaries. – It shall be deemed to have been adopted. The stork continues its negotiations after the Lagninget and Odelstinget have formed.
ParlaMint-NO_2003-10-01.ana.ud1736e478	The President declares Norway's 148. Storting legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the Government, so that he may obtain the King's decree on the time of the opening of the Storting. – It shall be deemed to have been adopted. The time will be published at a later date. The President asks for authorisation after the announcement of the opening of the Grand Duchy, after the surrender of the throne and of the state of the kingdom, to make the customary wish for the King and the country of origin – and considers this authorisation to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting – and considers this mandate to be granted. As a deputation, the representatives of Trine Skei Grande, head, Ine Marie Eriksen, Heidi Sørensen, Hans Gijisar Kjæstad, Britt Hildeng, Bent Höie and Bjørg Tørresdal are appointed. The President further requests the authorization of the Storting Presidency to carry out, in accordance with general practice, various activities of the Presidency and makes the following proposals: ‘The Presidency is authorised to record and edit the debates in the Stortinget and its departments in accordance with the instructions given and to make at any time the necessary provisions for the publication of the Storingstidende, Settings, Documents and Promise.’ – The proposal of the Presidency shall be deemed to have been adopted unanimously. On the occasion of the solemn opening of the Stortinge, Oslo Biskop has invited Stortinget’s representatives to worship in Oslo Domkirke today, Wednesday 1 October, at 9 p.m. 5:00. Acting Bishop Olav Dag Hauge will perform. Before the meeting is closed, the President will draw attention to the fact that the time for the debate on the throne is set at 6 a.m. on Monday 6 October. 10 a.m. and for the presentation of the budget on Wednesday 10 October at 10 a.m. Ten o'clock.
