ParlaMint-NO_2003-10-15.ana.ud1651e28	The representative, André Kukkestad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-10-15.ana.ud1651e259	In the big news that I presented to the Biggest in our country about the state of the environment, and that the Biggest is about to deal with, we've outlined a tougher national chemical policy, and we've also shown what the Government is doing internationally in order to bring dangerous chemicals to life. It is true, as the representative Sørensen states, that there are more than 50,000 chemicals on the market, and many of them we do not know the long-term health effects of. Therefore, the precautionary principle should be followed. This is why the European Commission has also recently presented a proposal for a much tougher EU chemicals policy, the REACH system. There is now a tough discussion in the EU about this, because we must not forget that chemicals are also important in relation to our modern society – many companies are concerned about a bureaucratic system. But the main lines of this tougher chemical policy now also support the Government.
ParlaMint-NO_2003-10-15.ana.ud1651e266	There will be follow-up questions – Karin Andersen.
ParlaMint-NO_2003-10-15.ana.ud1651e269	We in SV are happy that the government will look at this specific matter that has come up. There is also no doubt that there is a need to strengthen regulatory control in these areas. I sometimes wonder how many weights in chemistry and biology you need to dry to go to the store, and to dry to give something to your children or to your grandchildren. Our political responsibility and our political commitment must be to set these standards and ensure the control that must be there, because the individual consumer has no chance of reading to all the specifications of a product. That's the one. The second is: the minister was asked by the representative Sørensen whether he agreed in principle that there must be a reverse burden of proof. It didn't answer, so I'm going to challenge the state council again: isn't it reasonable, with the very amount of chemical substances and the problems associated with this, that there is the reverse burden of proof?
ParlaMint-NO_2003-10-15.ana.ud1651e278	I don't disagree that there are many chemicals out there that we don't know the long-term health consequences of. At the same time, we have a responsibility as politicians to establish that we in Norway have very good control, we have a good apparatus in this area. If you were to read the newspapers every day about what you can't eat and what you can't use, etc., you could be really worried. It is not possible to follow all the instructions that come and that are based on media lookups. We have a system in Norway with professional authorities that have a strong responsibility in relation to notifying of products and substances to be banned. I put in the big message e.g. to prohibit two chemicals, such as brominated flame retardants, which may have some of the same effects as the pollutant PCBs. When it comes to the question of a consistently reversed burden of proof, it hasn't been raised against me before. What I've been busy about is having a strict chemical policy. We get to get back to that question.
ParlaMint-NO_2003-10-15.ana.ud1651e287	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2003-10-15.ana.ud1651e290	I feel that the study that was conducted by Green Everyday shows two things. One is that it may not be as simple as the Council of State says, that we have professional authorities that prohibit what is dangerous – for hormone inhibitors exist, and they are found in care products for young children. The second study shows that there are good alternatives. It is completely possible to produce the kind of products without these hormone inhibitors that this is about. In working with dangerous chemicals, I think it would have been an advantage if you could have separated these so-called hormones that affect the hormone balance, and that also accumulate, especially to children. Isn't it a possible way to go here that we ban substances that are so-called hormone inhibitors, that we definitely ban it in all products targeted at children, because it could affect their health in a long-term perspective?
ParlaMint-NO_2003-10-15.ana.ud1651e297	When a newspaper headline says that an environmental organisation such as Green Everyday claims that a very used cosmetic product for children contains substances that are environmentally harmful, I should contact the professional authorities. In this area, the Minister of Health is primarily responsible, but I have also examined the matter. We will then receive a report from our trade union directorates. I think we have to wait for it. We also owe it to those who produce this. We can't call wolf, wolf without first figuring out what the situation is. In the case of hazardous chemicals, we have tightened the national chemicals policy in the Stortinget biggest report. Among other things, we have now decided to ban two substances that are so far permitted, such as: used to reduce the fire risk in relation to textiles and so on. In the case of hormone inhibitors in general, we have them under surveillance. We also have a very strict policy towards them. It is well mentioned in this big message.
ParlaMint-NO_2003-10-15.ana.ud1651e304	Let's move on to the next main question.
ParlaMint-NO_2003-10-15.ana.ud1651e308	My question goes to the Minister of Justice. Everyone in this room is concerned about maximising the use of police resources. However, the centre party does not understand that major units and centralisation must be the answer. In many parts of the country, a merger was now being investigated. For example, a halve is proposed in Rome. This triggers reactions, not because you're not open to change, but because all experience suggests that centralization is offering people poorer offers, in this case that the police don't get as visible and don't have as good a local overview as people actually want. So it's quite possible to think of cooperation across the lumbar districts, without aggregation. Development of peak and competence development may take place across the board. My question is quite simply: what is the position of the Minister of Justice on the merger of the Länsmannskontoret?
ParlaMint-NO_2003-10-15.ana.ud1651e317	I'm starting from what happened to the policing of the police reform a few years ago. Here the representative Haga and I stood together to believe that there were too few police districts. We lost that. But what was clearly in the position at the time in Stortinget was that when you had to go into phase 2 of the reform, that is, what is going on in the offices around the districts, you shouldn't reduce the number of posts you had to keep them. And when it comes to the question of what kind of districts you're going to have, I'm open to a process, given that it's professionally thoughtful and locally wise. But I'm probably mainly concerned with finding administrative coordination, so that someone does a job that not everyone has to do. And we know – throughout Norway – that you can do it. In Sogn and Fjordane, for example, there has been vigilance cooperation for many years, long before the police reform. In the most unsafe strokes you get it done. You don't always get it in more risky ways. It's culture that's being put here. I have also made it quite clear in the budget proposal that no matter how this is now being reorganised, so that you get the advantage of someone taking administrative responsibility, you get a good understanding and trust in the terms of the "member's office" and the "lensman's man". Understanding psychology, which is part of the basic trust in politics, is crucial. That's what I wrote in the budget proposal, and I'm on it. This process is now taking place in the police, in close contact between police organisations and in contact with the communities concerned, and will eventually come to the ministry and be assessed on the basis of the principles presented in the budget proposal. But let me give you one example, from something that happens locally. Karlsøy Municipal Council asks for an association between Karlsøy County Council and Tromsø Police Station, and we expect the elected council to be present to assess this. But I'm not going to decide on the details. I would like to see it as a whole, based on the thinking I have now outlined to the representative.
ParlaMint-NO_2003-10-15.ana.ud1651e324	I guess it's hardly a matter of public opinion, but it's the representatives.
ParlaMint-NO_2003-10-15.ana.ud1651e327	The fear of the Center Party is that we are in front of a two-stage rocket. First, the number of offices is reduced, and then the number of posts is reduced, also as a result of the scarcity of resources. The losers are the periphery, whether we're talking about central strokes, or we're talking about District Norway. The merger process takes place in our opinion to an excessive degree of silence. In practice, officers and police officers are assigned a mouth basket. That means that we do not get that professionalism into the debate that would have been desirable either. My follow-up question to the Council of State will then be: what will the Council of State do to contribute to greater transparency in an area that means a great deal to people in everyday life?
ParlaMint-NO_2003-10-15.ana.ud1651e336	The openness of the principles is outlined in the budget proposal. There are also local debates. Last night I was visiting the Gudbrandsdal police district, where you operate on two models: Can you create other farms, or should you do something else with the farms you have? It is important to have an open process, open discussion, and an approach that is not concluded, because you simply have to find out what is wise, and how the whole starting point is – to say the public – that it should not be that the parish priest becomes the last civil servant or woman present in a community. At least I'm supposed to help the police get there. There is also another aspect mentioned in the budget: I am in favour of civil justice on the ground plane remaining with the namsman. This means that the posts associated with the police, which are related to the community, need to be strengthened to understand that Norway is a country that is different. If there are large snow squatters in winter and poor breakage, you won't come out even if you can drive a long way by car, in summer time. I have it as a starting point and realize that the country is so complex.
ParlaMint-NO_2003-10-15.ana.ud1651e343	There will be follow-up questions – Magnhild Melting Group Kleppa.
ParlaMint-NO_2003-10-15.ana.ud1651e346	I'm surprised that the Council of State minimizes the commitment and debates that are now taking place in the country. I have here a list of signatures from Liabygga on Sunnmøre, I have a newspaper clipping from Suldalspost about a dictionary that will fight against a merger of the Tanners' Offices in Saudi and Suldal, and there are many other examples. The reason is what is now going on in the follow-up to the police reform, phase 2. It's about security in everyday life, in town and in the countryside. It is about strengthening the prevention work, about strengthening the clarification of criminal acts, not about weakening it. Who is it that will finally conclude? Is it the responsible councillor, or is he now letting these processes go their own way and wash his hands?
ParlaMint-NO_2003-10-15.ana.ud1651e355	First of all, I'm not minimizing this. There has been a very open debate on this before the previous local elections of the autumn. Many have participated in it, including the representatives of the Ministry of Justice, precisely because we listen and understand that police matters are more than mechanics. I used in my previous reply to the representative Åslaug Haga example that Norway is different. I mean it, I understand it, and it is so that it is the security that is absolutely crucial. That's what's fundamental. And I deliberately used the terms ‘lensman’ and ‘lensman’s office’, which are incorporated in Norway, because Norway looks different. One place in Norway you can put on a tight-clothed police prune, to put it like this. Somewhere else in Norway, you can have a back-up service. The country is different, and I'm prepared to capture it, and it's not the police profession that's crucial, it's a political discretion. It comes to the Ministry of Justice, it comes to me, and it doesn't end up in the Police Directorate.
ParlaMint-NO_2003-10-15.ana.ud1651e362	Knut Storberget – for follow-up questions.
ParlaMint-NO_2003-10-15.ana.ud1651e365	One of the prerequisites and one of the main premises of the police reform was that the police should get closer to the citizens, that they should lift their heads a little, away from the trial period and the percentage of clarification, and that the proximity to both the lieutenant and the police officer was crucial in relation to people's sense of security. That is why it was with pleasure that we were able to record that the State Secretary of the Ministry of Justice in the election campaign went out and peaced the Länsmann offices and at least said that they should not be laid down without the municipal consent or the consent of those who live in the district. Is that a guarantee that the Minister of Justice is standing by? And the Minister of Justice will also take action in relation to the officers' offices and police stations that are now closing the doors at noon. 16 and refers both victims of violence and other vulnerable citizens to places further away, through ringing bell activity? Will the Minister of Justice do something to reopen the police stations that today actually offer much worse service than what has been done in the last 20-30 years?
ParlaMint-NO_2003-10-15.ana.ud1651e374	The police reform, with the wisdom underlying my handling of this matter, was presented by the government of Stoltenberg and dealt with in Stortinget. It says you shouldn't leave places of employment, and it's very clear that you need to be close to people. The representative of Dørum, who was not then Minister of Justice, was very careful to promise great results of the reform. I have done my utmost to follow up on what the majority of the population at the time, that is, to move people in the police, from moving on paper to having contact with people – what we call active police service, that is. either to be out there or to follow up a case inside. And if that process hadn't happened, we'd have lost people in the police. A fifth holiday week alone would take 200 years, so this process has been redispatched approximately. 1,260 posts, I think, and 414 are made available to people through active police. There is, of course, the same number of people present in the police force, as well as an increase in budgets from 1998 until now, with a significant framework. So I'm concerned that we are now going to evaluate the reform, and evaluate also means learning from the reform.
ParlaMint-NO_2003-10-15.ana.ud1651e382	We are going to the next main question, which is from Knut Storberget, who is already standing there.
ParlaMint-NO_2003-10-15.ana.ud1651e385	Now I should have actually picked up my memory note, but I think I remember it anyway. We are faced with a situation in relation to the criminal justice breach that is very serious. One out of five winning crimes in this country is solved. We are facing a situation where 4,600 criminal cases are pending for treatment in Norwegian courts. And finally, we know that the housing queue in Norway has grown by nearly 70 pst. Since Dørum became Minister of Justice in 2001, and now there are 2,800 people in that line. This means that we are facing a criminal justice system that is largely ineffective. My question to the Minister of Justice is, What is the reason why the government's fight against crime fails?
ParlaMint-NO_2003-10-15.ana.ud1651e394	That's a very rhetorical question, but I'm going to stick to a more sober tone in the answer. It's like politics also inherits something from others, but I'm not going to let that inheritance become a significant point. It is true that the reconciliation queue has increased. Therefore, the offer has also increased in the case of settlements. From 2002, including next year's budget and including previous redundancies, which I understand the representative Storberget has previously proposed, it has increased by a total of 396 places. It corresponds to Trondheim Prison and the prisons Ullersmo and Ilseng, and it's just because it's unworthy that we don't increase the settlement capacity. In the 2003 budget, the courts were strengthened. They have a tighter budget this year. That's quite right, but we've also stressed using the confessional discount that the Stortinget has put up, but that's too little used in what was called interrogation in the old days, but that's now the questionable part of the District Court. Especially in Oslo, where there has been a considerable effort to get rid of cows in courts, I see that this by resolving a case through interrogation lies lower than elsewhere in the country. This is why it has set up broad administrative cooperation between prosecution authorities, police, courts and criminal justice to see how to streamline cases and ensure that cases are better addressed. We will also look at how civil proceedings can be better developed in the context of the reform of the dispute, and there is one matter in the Committee on Legal Affairs that goes on the appeals in such a context. In fact, in criminal law cases in the courts, they have fallen into the courts from 2002 to the first six months of 2003. So the sum of these measures is there. In the case of the police, it is quite right that there is a low percentage of the clearance of the winning crimes, because they amount to approx. half of all crimes. Many of them have no knowledge of perpetrators or tracks, but the police are taught through police reform, among other things. by collecting information on the location of events, and in this context, in Oslo Centre, the effectiveness of the fight against handkerchief, which is important because of the cooperation with the sectors where this is often taking place, including: restaurants.
ParlaMint-NO_2003-10-15.ana.ud1651e409	What worries me about this debate, and the crisis we really have in the whole chain of criminal law, is that the United Kingdom, the Ministry of Justice and the actors in criminal policy, have just pointed to criminal law as an important area for solving the challenges we face in terms of combating crime. Then, in many ways, you do not follow up on providing sufficient funds or tools to get away with the tool that has been pointed out in many ways. And it's no wonder that people lose confidence in such a system, where a 17-year-old may have to wait a year and a half to get the case settled, and then he'll wait two years to get the zone. Then he has become an adult man, who perhaps, fortunately, has managed well – or perhaps it has gone badly. Does the Minister of Justice now see the need for entirely different measures than those announced in 2001, 2002 and 2003, all the time when all these queues are actually increasing, that we are now actually dependent on broader measures, and much more aggressive measures, in relation to this?
ParlaMint-NO_2003-10-15.ana.ud1651e418	The representative of Storberget and I have previously been in debate where we have agreed to think about other measures – let me put it this way: it is a point to be hard on crime, but intelligent in the responses to the criminals. This is why we are concerned with measures based on the simple recognition that a 10-year-old is easier than a 15-year-old and a 15-year-old is easier than a 19-year-old. That's why we've had a system of youth contracts that has given positive results and that we're going to go on. We are introducing increased use of conflict councils, which I know produce results, and we are seeing a happy development in the use of community sanctions. It's not a goal to let people in. The goal is to stop people who are losing their foot party. In the past, the size has been commendable and well discussed by the Government on how to work together, among other things. to ensure that children and young people do not enter this system. The representative of Storberget is also aware through the budget that we are investigating a drug court scheme so that drug addicts who would otherwise have a conditional judgment are not allowed to come into contact with the prison system. We have to think alternately. So: Reconciliation cows can be shortened by not getting there, and this can be done by increasing the capacity.
ParlaMint-NO_2003-10-15.ana.ud1651e425	There will be three follow-up questions – first Anne Helen Rui.
ParlaMint-NO_2003-10-15.ana.ud1651e428	As an example of the fact that the criminal chain is closely linked, I can tell you that in the police district of East Finland, they were very good at revealing an international major fraud involving new Mercedes cars on the border between Norway and Russia. But when they were to have the people they arrested, they had to keep them in custody in Oslo, in Trondheim, in Bodø, in Tromsø, and in Vadsø. It cost this police district over 1 million. kr. – the whole thing has cost them over 2 million. kr. Then my question is, when we see such a statement that we now have queues for prisons – what are we really going to do? Because this is going to be a problem in every police district. We've also been in police districts that don't dare start, because they saw that they had seven criminals they had to take, but actually didn't have enough cells to take care of all seven. What do we do, Councillor?
ParlaMint-NO_2003-10-15.ana.ud1651e437	Firstly, I am well acquainted with the police district in East Finland's excellent efforts to pick up stolen Mercedess on the way through Eastern Europe, transported by cynical, organized criminals, and I agree with the rose given by the representative of it. It is such that it was not only Harald Haarfachre who gathered Norway to one kingdom, Fengsels-Norway is also one kingdom. That means we use the capacity where it is, and it's possible to move people from Hedmark and Hamar to Vadsø because you need a cell to a person who is violent, you can move prisoners elsewhere. What we do in next year's budget are several things, but one of the steps we take is to suggest that those who have a verdict of less than 90 days, and those who have a verdict of more than 90 days, should be released five and ten days in advance, given that they meet the conditions of parole. Then we get access to cell capacity. We also stage the mobile prison, the element prison, which the representative can study in Tromsø, which has a very good quality internally. It can be set up in an excellent way, and we put it within existing ring walls different places in the country, duly presented in the budget proposal. The country is to be seen as a whole, including the settlements.
