ParlaMint-NO_2003-06-20.ana.ud1707e82	Magnhild Melting Group Kleppa will make a private proposal.
ParlaMint-NO_2003-06-20.ana.ud1707e324	It is quite right that the Progress Party has not prioritised setting aside funds for labour market measures in the revised budget, that is quite correct. It's because we've chosen to give priority to the effort on the opposite side, that's to increase the ability to create jobs. It helps so little for people's self-respect to have to go on unemployment leave for a permanent period when the prospects of getting a new job fall dramatically. Our main challenge must be to enable the Norwegian economy to grow, creating new optimism about new jobs in Norwegian business. The vast majority of people who are unemployed have one wish, and it's getting a job to go to. And then it's alarming that the majority in this room does not choose to facilitate the creation of the jobs to make people independent of mild gifts from the state. It should also have been significantly more concerned than they have been, and it is a pity that the Progress Party does not get a majority for its proposals.
ParlaMint-NO_2003-06-20.ana.ud1707e329	The cord shift is over.
ParlaMint-NO_2003-06-20.ana.ud1707e333	The Labour Party believes that the increasing unemployment and the reduction of the competitive sector is the main challenge we are now facing. At the end of May, a total of 87 200 full-time jobseekers were registered. Compared to May last year, registered unemployment has increased by a total of 29 pst. Although the krone price has weakened in the spring, the Statistical Central Bureau expects in its very latest analyses that export companies will continue to have a strained competitive situation. Nor does the Agency ignore the fact that the profitability is now so impaired in many individual companies that they can be put down or flagged out. In other words, freedom will continue to rise. Norway needs a competitive sector of a certain size in order to balance the external economy in the long term. Industrial work places that are being laid down or moved out of the country now will not come back. It is therefore important to prevent the reduction of competitive activities that we see today. Here is the main point: if we are to contribute to the Norwegian industry through the State budget, changes in the budget must be implemented within a responsible framework. This has been emphasised by the Workers' Party in the examination of the revised budget. Unfortunately, we have seen for a long time that the government is leaning back and hoping that the market alone will sort things out. The government does not have an active industrial policy, nor does it have an active labour market policy. The Labour Party believes that active and targeted policies against increasing unemployment are necessary. That is why, in the context of the revision of the budget, we have proposed measures which together cost about DKK 1.2 billion, measures to combat unemployment, strengthen competitive business and create a basis for new jobs. The measures taken by the Party against unemployment are based on three elements. Firstly, the state must actively contribute to the creation of new jobs. The working party spends almost 400 million. on general research and development instruments. We propose, among other things: increased appropriations for research and development contracts and increased appropriations for SND, including: as support for start-ups and new projects, such as industrial design and culture-based business development. Secondly, the Labour Party will help to further develop industries that Norway obviously needs to invest in in the future, but which are now struggling and having problems. It's about offshore, it's about our supplier industry, it's about fishing, it's about the maritime industries, and it's about travel. The working party will consume approximately 450 million. on instruments to these industries in the context of the revision. Nowhere has unemployment increased as much as in the oil and gas supply industry. Increased domestic use of gas could create new opportunities. In order to achieve this, the Workers' Party is in favour of establishing a new State investment company for gas infrastructure. Unfortunately, the majority do not support it. Furthermore, the Workers' Party has proposed granting a State guarantee so that several ferries can be built. It will deliver assignments to shipyards that are today unsolicited. There are great opportunities for increased value creation in the marine sector, including: through growth in the farming industry, in further processing and in new industries based on the use of by-products. We therefore propose support for the SND programme on innovation, conversion and capacity-adjustment in the fishing industry and increased appropriations for the further development of shellfish, durum wheat, bitumen and cod. In order to meet the increasing unemployment in the construction industry, the Workers' Party proposes to increase the lending framework in the House Bank by NOK 2 billion and to accelerate the work of several higher education buildings. We are pleased that our proposals for higher education buildings have a majority. It is also positive that our proposal for more racial protection is adopted. About half of the Workers' Party's action package is adopted today. It means a little more active enterprise policy, even though it is far from enough. The starting point is the government budget adopted by the Government Parties and the Advance Party before Christmas, unfortunately a budget in which the risk of increasing unemployment was overlooked, also by the Chair of the Financial Committee. We have a Minister of Industry who has stood out during the winter with his empty toolbox. Today he gets at least some tools in the box. But then it is asked if he has the necessary professional letters when the job is to be done! The third element of the Workers' Party action package is an active labour market policy. The Workers' Party proposes the creation of 3,000 new job vacancies to increase the competence of employees and thus the possibility of a job. Unfortunately, I have to say that today in Stortinget we are not receiving support for our proposal on several action areas. It is also a great disappointment that the Government and the Advance Party maintain the extensive cuts in the day - to - day arrangements adopted in the harvest. Holiday plugin was removed, waiting days increased and benefit reduced. The working party proposes to fix this again. Unfortunately, however, the majority maintains its unsocial policy towards those who are unemployed. The fight against unemployment is the main element of the Workers' Party's draft revised budget. In addition, we believe that the pensioners must get what they have been promised. When the revised budget was presented, the Minister of Finance made it clear that the pensioners were not to be delayed from last year. Then Bondevik came home and claimed it was a misunderstanding. But the money was not in place in the government budget. New proposals had to be made to cover the necessary adjustment in pensions. A strange misunderstanding! The working party has been quite crystal clear that the pensioners would get what they were promised, and therefore in the revised budget we have also spent money to cover the growth of the basic amount. The government chose to reverse several issues adopted by the majority of the population. Retirement-stopping, net pay arrangements for offshore seafarers, were concerned with housing support for families with high electricity costs. Prime Minister and Minister of Finance have repeatedly been in the media, calling this irresponsible decision. The government, through the review of the revised budget, has lost all its rematches. Now the pensioners get what they were promised, the housing allowance is adopted and the net pay scheme for the offshore fleet is the same. And this is adopted within the framework of responsibility. The accusations of the Prime Minister and the Minister of Finance against the Storting were groundless. It shows the budgetary position. The budget that we are revising in the Grand Duchy today has been adopted by the votes of the Progress Party. It is, therefore, the Progress Party – believe it or not, after listening to the committee leader for 15 minutes – that has provided a majority for an economic approach that has given rise to a sharp increase in unemployment, cut daily allowances and too few action places. The Progress Party has voted in favour of a municipal economy that leads to the closure of schools and the cutback in the care of the elderly. Now the Progress Party should be responsible for revising the budget for which they voted. But in a familiar way, they run from responsibility and from the consequences of their own policies. Instead, they attack the Workers' Party in order not to do enough. This cannot be taken seriously. The representative, Siv Jensen, has confirmed exactly this for 15 minutes in the pulpit. At the same time, the Chairman of the Committee has fully confirmed the major fundamental problem of the Government. Having its parliamentary basis in the Progress Party and being exposed to such fundamental unforeseeableness as the representative Siv Jensen has presented today may perhaps take the night sleep from more people in the government quarter, I believe, than the Minister of Finance. It is once again absolutely necessary, especially after hearing the statement by the representative Siv Jensen, to remind everyone that the Progress Party has voted in favour of this year's budget. There are other major issues that have also received attention in the public debate over the past few weeks and days. I'm thinking in particular about what's going on in the health sector. During the last few days, the Minister for Health has held several business meetings, requiring conditions that must be in place for regional health businesses to implement the relevant structural change decisions we know. This applies, inter alia, to: requirements for ambulance services, a proper clarification of the relationship with the municipalities and the municipal health service and requirements for the professionally sound implementation of emergency preparedness in the maternity wards. The hospital reform liability system is not really good for individual decisions to be moved into the staging room. A short time ago, Stortinget dealt with a Document No. 8 proposals on the same subject, and in response to this, the Minister of Health made it clear that he would come to the Stortingen in connection with the budget proposals with a plan and notification part on the activities of enterprises based on the Health Business Act. At the end of my speech, I would like to ask representatives of the Government in this debate to confirm that, in the context of the 2004 draft budget, such a part of the plan and notification will be submitted, where the Stortinget will be briefed on the implementation and planning of major structural changes in health businesses. I hope that some of the members of the Government can respond to this during today's debate. With this I address the proposals that the Labour Party is promoting alone or together with others in the vote, as well as distributed proposals.
ParlaMint-NO_2003-06-20.ana.ud1707e388	The representative Hill-Marta Solberg has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e393	The main challenge now is to reverse the development of increasing unemployment and to stimulate increased value creation in order to create new jobs. A tight budget is a contribution. So far, the Labour Party and the Government agree. The government also has faith in stable and good framework conditions, not in fiscal austerity in the middle of the year. We also thought the Labour Party meant that, not least in the light of Hill-Marta Solberg's opinions in a debate in Political Quarter 20 February this year with Siv Jensen: «But dear friend, who has said that the Workers' Party will increase taxes? ... When we're going to review our budget, we have to consider where to cut down, if that's something we're going to increase. ...and it is not that budget regulation for us means increased taxes.’ Why this reverse operation now? Does Hill-Marta Solberg think that there will be more jobs by increasing taxes on business by around SEK 1⁄2 billion a year, which the Labour Party has now proposed in revised national budgets?
ParlaMint-NO_2003-06-20.ana.ud1707e403	The Labour Party as a whole has provided for all our proposals in our alternative revised budget. We have redispatched about NOK 2 billion on the state budget, with the following two main aims, first of all to create room for a package of measures to combat unemployment and, secondly, to ensure that what the pensioners had actually been promised. And it's redispatched the Workers' Party. Our redisposals mean that we've done real cuts and cuts of about $1⁄2 billion, and then we have income increases of about $ 1⁄2 billion. With respect to reporting, it is not possible for me to understand that the measures taken by the Workers' Party on the income side of the budget create problems for Norwegian business at all. That the stock discounts are increasing, I actually don't think for a moment how many jobs we're going to have in the future. These are tax incentives that affect those who have enough – and so on – from the outset, and do not, in our view, have any significance for the package of measures that we propose.
ParlaMint-NO_2003-06-20.ana.ud1707e408	The representative, Hill-Marta Solberg, referred to the fact that the Workers' Party has found infection for many of its proposals. That she didn't mention was what kind of containment proposal she had. So the Workers' Party has proposed an increase in the share of health, with a total of 164.3 million. This is, of course, a proposal that will go against them with the worst of advice. This is also a proposal that harmonizes badly with what the Labour Party has said earlier. Can the representative Hill-Marta Solberg explain why it is necessary and sensible to increase these properties, and does the representative Solberg not realize that this is an unsolidarian proposal, which will go hardest on the poorest in society?
ParlaMint-NO_2003-06-20.ana.ud1707e413	I have to say that already after such a short time of today's debate it is easy to see that the strategy of the Progress Party in this Chamber today is that attack is the best defence. It is rather daring when the 2003 Progress Party takes up the increase in excess of equity. Yes, the Workers' Party is in favour of a negotiated ceiling stoppage with the doctors. That means 75 million. kr in increased accumulators. But it is little compared to what the Progress Party has achieved by increasing excesses in medicine on blue prescription and by removing the burial aid when the budget was treated before Christmas. Then I think it is rather daring of the same party to make a big point that the Workers' Party is voting for the roof stoppage with the doctors, which involves a small proportion in relation to the strong self-promotion applications the Progress Party has obtained a majority in this hall before Christmas.
ParlaMint-NO_2003-06-20.ana.ud1707e418	One of the most surprising in this setting is that the Workers' Party is not involved in getting a majority for more money to the municipalities. The Workers' Party, through its rhetoric, has for a long time created the impression that the Workers' Party is the party that will provide more money to the municipalities – in all debates and also in all possible newspaper posts. For example, Hill-Marta Solberg has said to the evening post that ‘Ap already announces strengthening of the municipal economy, and more money for school and care for the elderly, in the revised national budget’. The Labour Party's voters and trust-elected and municipal government representatives experience the paradox that, for once, the Progress Party has actually been with and allocated a little more money to the municipalities, as SV has done all year long, and that the Workers' Party actually had the opportunity to grant 1 billion fresh dollars to the municipal sector – not for next year, and not what the Workers' Party actually had in its original budget, because it is irrelevant, it is downgraded and history. Here it was about 1 billion fresh kroner, which could have gone to the municipalities tomorrow. Where is the Workers' Party? They're not there. And then my question is, why in the name of heaven isn't Hill-Marta Solberg and the Workers' Party there when they've promised it in buckets and buckets for months?
ParlaMint-NO_2003-06-20.ana.ud1707e429	This line illustrates a little bit of the differences between Djupedal's and my party. The working party has actually known quite a long time ago that when something is more important than other things, we have to give priority. We're not in the situation as SV, that we can be anywhere at any time. We have chosen to give priority to the fight against unemployment in the revised national budget, and then we came in the situation that the government took the fight against retirement. That means that we've been involved in financing, getting coverage, so that the pensioners get what they're promised. It's a hard priority we've done: we've been working on combating unemployment and giving priority to the pensioners. Øystein Djupedal doesn't think it's interesting, but it's a fact that for this year's budget, the Labour Party proposed NOK 3 billion more than the Government provided. We've also suggested it in the municipal proposition. It is in the municipal and state budget that the local economy has the opportunity to be remedied, and the Workers' Party will also do so in the budget process of the autumn.
ParlaMint-NO_2003-06-20.ana.ud1707e434	The cord shift is over.
