ParlaMint-NO_2003-06-04.ana.ud1647e57	The representative, Jan Simonsen, will make two private proposals.
ParlaMint-NO_2003-06-04.ana.ud1647e155	Last week, the Stortinget, which has also been addressed by the Prime Minister, dealt with the guidelines on social security. In the setting, it's called: ‘The discussions will focus on the expected wage growth for all groups in the coming years, as reflected in the Government’s proposal for the Revised National Budget 2003’.» [[total employees]] As you know, the government salary estimate in the revised national budget in 2003 is 4,5 pst. My question to the Prime Minister is therefore: how is it even possible to misunderstand what Stortinget has said about this matter?
ParlaMint-NO_2003-06-04.ana.ud1647e167	We have, of course, carefully read both the setting and the decisions taken by Stortinget about this. If I don't remember completely wrong, the bulk of the population has also said that one should be able to correct for specific conditions. This doesn't necessarily make this 4.5 pst. We will review this in the proposition submitted to Stortinget. I think it might be wise for someone and everyone to wait for that review of the proposition. However, if the organisations are offered in the new year, should prove to be below what is applicable to other groups, they are guaranteed to be re-regulated, guaranteed, if necessary, in two rounds – initially in line with the state structure in order to align with the LO/NHO area and in other ways in line with the average for other groups in terms of income development. Proposition comes to Stortinget. Then Bjarne Håkon Hanssen and others will have a good opportunity to discuss it there. I think it's wise to go into the number material before you become too bombastic.
ParlaMint-NO_2003-06-04.ana.ud1647e175	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e178	I am pleased that the Prime Minister – and also the other parties – now admits and accepts that the regulation of the basic amount in 2001 and 2002 was too low, and that there is now talk of post-regulation. The Progress Party proposed a higher basic amount for both settlements, as it was then evident that there was too low regulation. What is remarkable, however, is that both the Prime Minister and Jens Stoltenberg and Kristin Halvorsen, who also admit that the regulation has been too low, only back-regulate, but do not make any post-payments. When you admit that the pensioners in 2002 and up to 2003 have received too little money in relation to what they should have had, why in the whole world you do not pay back that amount of approx. $800 million. Do you really want to delete this item? The progress party proposed to pay for the post-regulation as it was discussed last Wednesday. What is the reason why the Prime Minister accepts that you do not pay back what you owe the pensioners?
ParlaMint-NO_2003-06-04.ana.ud1647e185	I also recommend Carl I. Hagen that someone come back to this when the government promotes its proposition for the Storting. We will then be able to discuss the impact dates of the various back-regulations. I would also like to remind the House that we are in a year of cooperation with income policy. It is important to anchor everything that is happening in terms of income development — whether it is for this group, for different groups of workers or for different self-employed people, such as young people. The farmers — in a framework that fits in with income policy cooperation, in order to bring cost developments under control. The government has also stressed what we have presented. It was also the basis for the offer offered to the social security and pensioners' organisations. But I repeat here: we have guaranteed, through regulation provisions, that pensioners and the social-securityed will have income developments at least in line with the rest of society.
ParlaMint-NO_2003-06-04.ana.ud1647e194	Kristin Halvorsen – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e197	We had certain hopes when this case was being dealt with in the Stortinget, that the Stortinget and the Government would be able to agree on a zero point as a starting point for the negotiations on pensions, and that they would then be able to get into a track that would make real negotiations between the organizations and the Government anew – away from the track where pension stoppages end up in the Stortinget and underregulated. But I have to say, I am very impressed with what has obviously been the government's starting point for the settlement of the pensioners, when I hear the government council Norman say in the daily revision that the government has made an offer that is in line with the expected wage developments for the front-line industries. In the opinion of the Committee — and during the discussion in Stortinget — there is no doubt that the majority of the population used for the settlement in 2003 is the overall development of employees, i.e. 4.5 pst. [[The President clubs.]] Is it the case that the Prime Minister wants the Stortinget to take the retirement stopover in the future?
ParlaMint-NO_2003-06-04.ana.ud1647e204	Kristin Halvorsen – I have to ask you to respect the speaking time. When the President gives the floor to someone else, you have to stop talking.
ParlaMint-NO_2003-06-04.ana.ud1647e207	I'll be out in that way. We've agreed on a zero point. The government has fully fulfilled the Storting’s assumption of a back-regulation due to past under-regulation of G, by 0,6 pst. in 2001 and by 0.5 pst. in 2002. The underregulation has occurred under changing governments with changing batch color. The zero point is created. So the Storting has adopted guidelines for future regulation of the basic amount. They will also follow the Government. One shall be a little careful to determine bombastically what will be the development of income for other groups. We don't know that at this point in 2003. In addition, Stortinget has also said that one should correct for specific circumstances, such as: the extraordinary promise made to teachers. There may also be other specific circumstances. That is why we do not know exactly what the 2003 revenue development is, and therefore we have introduced a guarantee provision to ensure that pensioners are at least aligned with other groups. That's what the Prime Minister promises.
ParlaMint-NO_2003-06-04.ana.ud1647e216	Ola D. Lukewarm – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e219	I want to go back to the question of afterpayment. In the context of the 2003 state budget treatment, an overall increase said that underregulation should be adjusted and the back-up should be covered before negotiations on pensions were opened in 2003. It hasn't happened. Last week, Wednesday, we discussed the policy on pension settlement. Then the State Council Norman could not answer if this money had been deposited or not, at least not where the money was written and how much it had been paid for after payment. Like Carl I. Hagen, I am also interested in: is this money coming, and is it to be paid after? The centre party has also submitted proposals for this to be covered and paid after, 857 million. kr we have suggestions on. It's not just the Progress Party that's in this. It seems that both the Progress Party and the media have overlooked this. We want this to be paid after, and I want a clear answer from the Prime Minister now: is this to be paid before the addition of 4,5 pst., or is it just to be added as a symbolism?
ParlaMint-NO_2003-06-04.ana.ud1647e228	Now all of this comes into the proposition on Friday. Every tenth, as far as I remember, costs $143 million. kr. The deregulation does not cost 800 million. So it's going to cost 0.6 plus 0.5, which is 11 times 143 million. kr. Well, well over 1 billion costs the back-up. It has been deposited by the Government, and it is paid out. In addition, the regulation of the basic amount for 2003. What income development is for other groups, we can't do with 100 pst today. Safety is established, we don't know until New Year's. Therefore, we have put in a security provision that, if the regulation of the basic amount does not satisfy the income development of others, the social security and pensioners should at least be in line with others.
ParlaMint-NO_2003-06-04.ana.ud1647e233	Let's move on to the next main question.
ParlaMint-NO_2003-06-04.ana.ud1647e237	First, I have to say it was gratifying, what the Prime Minister now said, where he promised that there will be a post-payment of NOK 1.1 billion in the proposition presented on Friday. It was very good news for the country's pensioners. My question is more about the government's priorities now in the context of the revised budget. The Prime Minister has repeatedly stressed the need for tightness, the need to be careful with money use and the need for a very, very careful priority. Then I react to the fact that the additional fee is set at NOK 1 billion – 1 000 million. kr – for immigration policy purposes without making any attempt to tighten up the legislation of that sector, in order to limit asylum immigration. We are about the European champion of asylum immigration in relation to the population. Other countries can no longer afford to spend so much money in this area. Why is it that the Norwegian government says that this is perhaps the highest priority area to spend money on, instead of spending it for the necessary purposes here at home?
ParlaMint-NO_2003-06-04.ana.ud1647e244	First, since Carl I. Hagen returned to the retirement detention facility, I think what the opposition's spokesman has said today about pensions, it might be wise to await the proposition and see the exact calculations. It was clear that someone here thought that the back-up would cost 800 million. kr. In reality, it costs about twice as much. I did not say 1.1 billion, as Mr Hagen said. I said 143 million. I don't know. I don't know, I don't know, I don't know. It's known to be significantly more than 1.1 billion. It's these things the government has to deal with. It would therefore be wise for someone now to receive the proposition and enter the figures, the date of effect, etc. What I have said is that the regulation is proposed by the Government, as we suggested to the organizations. Then we're at a zero point, and then we're going to move on in regulating the base amount. There we have introduced safeguard clauses that make the development of income, if it is lower than for other groups, gradually at least come into line with others. So for immigration. I do not know if the representative Hagen here tried to link payments to pensioners and appropriations to immigrants. In this case, I think it's a very unfortunate connection. I hope that's not what was meant. A government obligation to enter into the budget the actual expenditure that goes with the asylum influx we actually have to deal with. However, it is not right that the Government has not done anything to reduce the problem of manifestly unfounded asylum applications. On the contrary, the Government has been actively engaged in information work, including: through TV films that have now been broadcast in several of the countries concerned, and we are now recording a clear decline in applications and inflows from people who have no good reason to apply for a stay in Norway. So this is now starting to work.
ParlaMint-NO_2003-06-04.ana.ud1647e255	First, I want to draw attention to that amount, $857 million. kr, which we proposed to be paid back to the pensioners, has come from the Ministry of Finance and not from ourselves, just so the Prime Minister is aware of it. But I am also pleased that he promised in his previous reply after payment – not regulation, but after payment. When it comes to immigration, he says that the government has an obligation to make proposals to cover the actual expenditure that goes with it. In that case, there would have been an estimate, for the government does not do so in terms of hospital, hospital or other purposes. There is no automatic additional appropriations to cover what goes with it, based on the need. Will the Prime Minister take the consequences of what he has now said? Will he agree with the same principle of spending the money that goes with the policies that have been pursued, including in these other areas? [[President clubs]]
ParlaMint-NO_2003-06-04.ana.ud1647e264	It's very hard to keep 1 minute, even if the clock goes.
ParlaMint-NO_2003-06-04.ana.ud1647e267	Yes, it's very difficult, President.
ParlaMint-NO_2003-06-04.ana.ud1647e272	But then we'll be trained – Prime Minister Bondevik!
ParlaMint-NO_2003-06-04.ana.ud1647e275	That's what we're doing now, President.
ParlaMint-NO_2003-06-04.ana.ud1647e280	Obviously, there are still some visible results of this training. And besides, it's the Storting that's set the one-minute rule, that's none of the government's business. As for what I have said, I clearly believe that I have been talking about post-regulation. The dates of application of the after-regulation will, of course, be explained in the proposition. In the case of appropriations for asylum seekers and immigration, which are now linked to hospital appropriations, it is in fact, as I know, handled quite equally. In the revised national budget, we need to brief the European Parliament on changes in the allocation needs of asylum seekers and immigration and integration policies. We have done so, and we have made proposals. That's the same thing we do when it comes to hospitals. Both last year and this year, the government proposed increasing hospital appropriations because it turns out that the activity and needs are greater.
ParlaMint-NO_2003-06-04.ana.ud1647e289	There will be follow-up questions – Per Sandberg.
ParlaMint-NO_2003-06-04.ana.ud1647e292	The Prime Minister would like to refer to the government's actions, which clearly do not work, because the fact is that asylum immigration to Norway is increasing dramatically, and so does family reunification. But if it is that the Government has measures that it has faith in, I would like to challenge the Prime Minister for three other measures that the Government is at the forefront of: The government does not want transitional arrangements in relation to the EU’s 10 new countries from 1 June next year.The government wants to extend the immigration of unskilled workers outside the EEA area.In addition, the government wants to open up asylum to people who are being persecuted on the basis of gender. Does the Prime Minister think that these three measures, which relate to a priority area of the Government, will increase or decrease asylum or immigration in general to Norway in the future?
ParlaMint-NO_2003-06-04.ana.ud1647e309	It is wrong that the government's actions are not working. In several countries, we have been informed about the facts through a TV film, and the number of asylum seekers from these countries has fallen sharply. The measures work; the situation is getting under better control. But I have to say that I am somewhat surprised – even though there are some things about the policy of the Advancement Party in this area that may not eventually surprise – when the representative Sandberg, among other things. mentions gender-based persecution, that it should be so very wrong to open people up to Norway on that basis. Then I really have to ask myself: is it so that the Progress Party does not believe that we should give protection to people who are persecuted? For these are people who are persecuted on the basis of gender. Is it really the case that they should not be protected? I didn't even think the Progress Party stood for that.
ParlaMint-NO_2003-06-04.ana.ud1647e317	Ola D. Lukewarm – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e320	First, I want to solve this with this 857 million. kr. This concerns back-regulation due to under-regulated settlements in 2001 and the period 2001-2002. That is what the Stortinget decided last December, that this delay was to be covered before the negotiations took place, in the spring of 2003. And then it's not just a question of underregulation, then it's a question of covering this up and following the decision that the Storting has made. I would like to ask the Prime Minister again: is it so that this is covered up and paid after and not just withdrawn as a regulatory matter in the settlement of the year? This is at least the decision of the Storting and it should be complied with.
ParlaMint-NO_2003-06-04.ana.ud1647e327	All of this is coming – and it will be explained in the proposition – on Friday. And that's right, the 2001 back-regulation costs about 850 million. kr. But the government also proposes post-regulation for 2002, because that year is now behind us, we know that. There we propose a reregulation of 0.5 pst. And that's approx. 700 million. kr. In total, it is approx. SEK 1.5 billion. That's what the government needs to find cover for, which it also does when it comes to regulation. The timing of payment of this is going to be back in the proposition, but of course this money has been added.
ParlaMint-NO_2003-06-04.ana.ud1647e332	Let's go to the next main question.
ParlaMint-NO_2003-06-04.ana.ud1647e335	I'll have to ask the Prime Minister a question. Lower employers’ contributions to jobs in districts have been the most important regional policy instrument we have had, and without it, thousands of jobs in the districts are not life-created. In 1999, when Bondevik was the last prime minister, Norway was convicted, and this scheme is now illegal in Norway because we are a member of the EEA. Three governments now have four years to put in place a new system that can save jobs in the districts. The government has now sent its proposal for a new arrangement to ESA, and they have obviously done a very bad job, because that answer is dramatic. There is considerable uncertainty about all the mechanisms proposed by the Government now, including the transitional arrangements – whether there will be a derogation from agriculture and fisheries, whether there will be transport aid for rural enterprises. The government has not even tried to approve transport aid for the whole area of the country that can get it. Can the government now guarantee that they get the least in place they have applied for?
ParlaMint-NO_2003-06-04.ana.ud1647e342	When the question is whether we can guarantee that we can at least get what we have applied for, it might be a slightly distorted problem, because an applicant cannot guarantee what the answer is. I hope that's understandable. But what I can guarantee is that the government will do what it can in terms of maintaining the strongest possible instruments in this area. And it's wrong when the media try to create the impression that the government has been passive on these issues. Firstly, we have fought to maintain the general system of differentiated employer fees, which I fully agree with, has been a successful and important district policy instrument. It has not been possible. On the other hand, we have reason to believe, and at least we want to take it into account, that we have to deal with the action zone in the north. For other areas, we have to choose other instruments. The government has explained what a person will work to counteract the negative effect of the loss of a differentiated employer’s fee. This applies in all the district zones currently subject to a lower rate than the maximum rate. But of course, we can't guarantee what the final answer is from ESA on these questions.
ParlaMint-NO_2003-06-04.ana.ud1647e347	I'm recording what the Prime Minister says. In 1993, Bondevik assured the Norwegian people that we would retain this arrangement under the EEA. Now I see that the government does not have any particular faith in its own possibilities in these negotiations either. And I have to ask, what does the government mean when it says it's going to do what it can? I'm now sitting, for example. with a press release sent by ESA yesterday, where they say that it is possible to apply for e.g. aid for transport for larger parts of Norway than what the Government has actually done. Will the Government now review its positions and seek to use the possibilities provided by the legislation, in spite of everything, to put in place schemes that are vital to the jobs in the districts? Does the government now have any other solutions that it has tried, or that it has not tried, and that it can come up with in the last round? It looks like what the government has now done will not be approved.
ParlaMint-NO_2003-06-04.ana.ud1647e354	The representative Karin Andersen can be absolutely certain that we will do what we can to maintain the most possible and most effective district policy instruments as compensation for the loss of a differentiated employer’s fee. The government initially wanted to include the entire district policy scope for, for example: the aid for transport, which has been specifically discussed in relation to the central eastern region. But during the process against ESA, we were given clear signals that they would not accept such a large scope of transport aid. It was shown that e.g. Hedmark and Uppland were too close to the central eastern region and thus could not detect such extra transport costs. However, if the new ESA signals come through press releases, it is clear that we will seize every opportunity to maintain the strongest possible instruments. There is no need to create a political dispute between the parties in Norway about this. We – I was saying – are fighting with bodies in the EU and EFTA, and we have to do that together.
ParlaMint-NO_2003-06-04.ana.ud1647e359	There will be follow-up questions – Øystein Djupedal.
ParlaMint-NO_2003-06-04.ana.ud1647e362	Unfortunately, as of 1 January next year, we are likely to face a situation in which many parts of Norwegian business have completely changed framework conditions, having received a higher employer's fee and new schemes that are more bureaucratic, more difficult to access and much less accurate than those we have today. For Finnmark and Nord-Troms, this will be a dramatic situation. So we can face a situation where you go from zero in the employer's fee to 14,1, possibly with some compensatory measures for some enterprises. But the point is that this will be about so many jobs that, for Finnmarks and Nord-Troms, if you don't get a system similar to that of today, you can actually say that the areas are being closed down. This is the dramatic situation we're actually facing. The cost to business in isolation is over DKK 8 billion if you want to have a full employer's fee, but it is clear that the cost to society, the structure of society, the settlement, is much higher than just these DKK 8 billion. What unfortunately is the situation is this. What I'm sure is that the government does of course what it can, but how is it possible to find measures to compensate for this, without just getting a lot of bureaucracy?
ParlaMint-NO_2003-06-04.ana.ud1647e367	In fact, the government has explained to the Storting what compensatory measures we intend to put in place. Now, I think perhaps the example of Finnmark from the representative, Djupedal, was little chosen, because, as is well known, the government assumes that we maintain the zero rate for the employer’s fee in the action zone, which includes Finnmark and Nord-Troms. This I thought the representative of Djupedal was fully aware of, and one should not then try to create a completely different picture and a fear of a situation in which the government does not intend to go into. It is also important that, in the case of the transport aid scheme, which has been particularly debated in relation to the central east region, Hedmark and Oppland, it is only part of a compensation for the loss of a differentiated employer’s fee. We have also presented the Stortinge to other measures we intend to put in place, and we will now consider further efforts for conversion and innovation in the regions affected by the conversion. This comes as a proposal for the Stortinget.
ParlaMint-NO_2003-06-04.ana.ud1647e375	Sylvia Brustad – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e378	There is no doubt that this matter is of great importance both in relation to the whole of the district policy and in relation to jobs, where we know that there are significant challenges in these days. I hear now that the Prime Minister says that the Government has fought what it can in this case. I have to say that I put a little question mark on it, in relation to both fighting for the scheme and for compensation. Karin Andersen has pointed out here that compensation schemes are not available, for example. in relation to Hedmark and Oppland. I think it's strange that the government four natives, also in this case, I would say, as little attention as it does. We know that it will be dramatic, among other things. for these two counties, if one, for example: are not compensated for by transport aid and a person loses the differentiated employer’s fee. Can we now expect the Government, in particular because there are slightly different signals from what the Prime Minister here is now saying, to go through this carefully and see if it is possible to give compensatory measures as monks? So far we haven't seen it from the government.
ParlaMint-NO_2003-06-04.ana.ud1647e385	The answer to that is yes, and it is given at least twice earlier in this spontaneous question hour. Firstly, the Government has been active, and in order to use the expression of the representative Sylvia Brustad: we have fought – both to maintain the differentiated employer fee, which would have been clearly the best and easiest, and for other measures, when this is no longer possible. The Minister of Finance has personally been in two meetings with the European Commissioner for Competition on this, and we have, of course, addressed it at a number of other levels – the Prime Minister has also personally addressed it in meetings. We've also given a lot of attention to the interior. We are aware of the problems that, among other things, Hedmark and Uppland may face in the event of the loss of a differentiated employer fee, and we would therefore have seen it as desirable, for example. had been possible with transport aid. We have received quite clear signals from ESA that it will not be possible. But if there's any new signal, I can assure you that we'll seize any chance.
ParlaMint-NO_2003-06-04.ana.ud1647e392	Per Sandberg – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e395	There is a cross-political consensus that the differentiated employer fee has been the most effective regional policy measure we have had. Now we have to wait for what ESA says, there's a lot of uncertainty about it. But until then, I would like to challenge the Prime Minister and the Government on the following: Will it be difficult to find a new system that is equally accurate? Does this mean, then, that the Government is thinking differently in its industrial policy in relation to the districts? This may result in the Government, inter alia: through the transport plan with other eyes on road construction, on infrastructure in general? Will this mean that the Government will look with other eyes at being able to use gas, expand gas power, other power build-ups? Will this Government take unemployment seriously in relation to the introduction of measures — with public sector construction projects — create incentives in the private sector by creating construction activities, both in the case of roads and construction and in order to meet what might have additional consequences if the differentiated employer fee disappeared?
ParlaMint-NO_2003-06-04.ana.ud1647e400	The government takes the increasing unemployment seriously, even regardless of any loss of a differentiated employer's fee. That's the whole background of our budgetary policy, where the main problem is a high cost level, through high interest rates and strong cost rates. Now the interest rate is falling, now the dollar is falling, this is the main contribution we can make, and it is important that the budget framework can be maintained, so that this positive development can now continue as a key instrument in the fight against unemployment. In the fight against unemployment, we have also significantly reduced taxes and charges for businesses. The situation would have been much worse if these fees and taxes had not fallen away. This is why we are increasing the framework conditions for research and development – in enterprises. In the case of gas power, all of the Government know its position in relation to it. Three gas power plants have been granted a concession; in this case, additional gas power stations must be equipped with CO2 management. We cannot follow the direction of the Progress Party on budgetary policy. Then we'll stop the interest rate drop and destroy thousands of jobs.
ParlaMint-NO_2003-06-04.ana.ud1647e409	Let's go to the next main question.
ParlaMint-NO_2003-06-04.ana.ud1647e412	I want to ask a main question to the Prime Minister and follow up where the Prime Minister himself left off in his last answer. There is no doubt that the growing unemployment rate is the biggest problem we are facing in our society at the moment. Unemployment is increasing in all industries, and it is increasing throughout the country. The worst hit is the Norwegian industry. More and more are being permitted, and more and more are now at risk of cancellation. Today, representatives of the Norwegian shipyard industry stand up and ask the Prime Minister for assistance. Industry needs measures in addition to those with a lower crown price and a lower interest rate. I fully agree with the Prime Minister that success is essential, but industry is asking for relief for measures beyond that. My question is therefore: will the Prime Minister and the Government, when examining the revised budget, support concrete measures to ensure jobs in the shipbuilding industry, such as the construction of ferries, gas ferries and other entirely concrete measures?
ParlaMint-NO_2003-06-04.ana.ud1647e421	The revised national budget has now been presented to the Stortinget. The discussions are now taking place here, and the government parties are open to cooperation with others. The Labour Party is now discussing a budget to actively combat unemployment, but within a responsible framework, which is also important in the fight against unemployment. There I have understood that the Workers' Party has a common understanding with the Government. On the part of the Workers' Party, a number of proposals have been presented to us so far in the process that they will increase expenditure, and in the case of proposals that will reduce expenditure accordingly, so that the framework can be maintained in order to continue with a fall in interest rates and rates. But within those frameworks, of course, government parties are open to discuss with the Workers' Party measures that can further help us in the fight against unemployment. The government has also made suggestions. We have created 3 500 job vacancies, of which 1 000 are available for so-called job clubs and job search activities, which can provide 6 000 job vacancies to get back to work on their own. I mentioned instead what we have done for research, for tax relief, for the companies – here, for the rest, the Workers' Party has gone another way. They will impose higher costs on enterprises than the Government has proposed, which would be dangerous to the development of unemployment. We have also achieved income policy cooperation that has brought income development under control, perhaps one of the most important measures in the fight against unemployment. However, in addition to this, we are open to discuss with the Workers' Party further action if it can take place within a sound framework and with an invasion that the government parties can also stand behind.
ParlaMint-NO_2003-06-04.ana.ud1647e430	It must be noted that despite all the things that the Prime Minister has now listed that the Government has done, it is an inevitable fact that we are facing an increasing unemployment – it will continue to increase out this year, and also into next year. This means that it is necessary to consider measures in addition to what the Government has outlined in the revised national budget. I note that the Prime Minister is reluctant to respond to concrete projects aimed at industry, which have been hit hardest, and I can assure the Prime Minister that when the Workers' Party is going to propose such projects, they will also be financed within responsible budgetary frameworks.
ParlaMint-NO_2003-06-04.ana.ud1647e437	Yes, the government takes as seriously as the Workers' Party the increasing unemployment. We want to fight it, because we want it, for example. not to get into such a high level of leave as it was during the Workers' Party in the early 1990s. We have never had so much leave in Norway in modern times as during the Workers' Party. We will avoid that, and therefore we are pursuing a policy to actively seek to avoid getting into that situation. As I said, we are open to further measures, including those aimed at industry, if this can be done within sound budgetary frameworks. I understand that the Workers' Party agrees, and then we have to present concrete proposals from the Workers' Party before I can take a stand on expenditure increases across the Stortingen Chair.
ParlaMint-NO_2003-06-04.ana.ud1647e445	There will be follow-up questions – Tore Nordtun.
ParlaMint-NO_2003-06-04.ana.ud1647e448	The availability is now approx. It's 100,000. There is an increase of one year of over 30 p.m., and there is an increase in all occupations and most in industry. The forecasts also show that we can count on approx. 160,000 unemployed in a year. The Minister of Finance and the Minister of Labour have expressed that the Norwegian industry is black-painting its own situation and that the employment situation is greatly exaggerated, while the Minister of Industry has previously blamed the good wages and salaries. Does the Prime Minister feel that it is worrying when solid enterprises in different areas of Norway are shutting down and flagging out production, and that the whole community is left without work?
ParlaMint-NO_2003-06-04.ana.ud1647e457	The answer is yes. It's worrying. Since the representative Nortun now mentioned the actual unemployment rate, I should be considerate of him and his party and not mention the actual unemployment rate under the Workers' Party in 1993. It was unfortunately much higher. But we're going to do what we can to avoid getting up to the top-recorded unemployment level of the Workers' Party. That is why, as I said, we are open to measures that can further strengthen the fight against unemployment. One shall not stem from the problem that wage developments in Norway have created for business costs. One should not travel on many companies to hear that it has actually been part of the problem. That is why income policy cooperation was so important to the Government. It has also been a positive contribution from the National Organisation. We have now brought wage developments under better control. Everyone should be happy about that.
ParlaMint-NO_2003-06-04.ana.ud1647e464	Siv Jensen – for follow-up questions.
ParlaMint-NO_2003-06-04.ana.ud1647e467	It is wrong when the Prime Minister claims that the Government has an active policy to combat unemployment. The government is doing nothing to combat unemployment. What the government is constantly repeating is that it is necessary to have a sound framework and a tight budget, so that you can get interest and the dollar down further. That's what we're hearing. Yesterday, however, the governor gave a whole new signal in relation to interest rate policy in the future. It is now, at least in many contexts, that a significant fall in interest rates means that the economy is in a bad state. How does this harmonize with this so-called government's recipe for a successful economic policy, when a strong fall in interest rates in that case is a signal that the economy is going significantly worse than what has been foreseen? Is it not true that it would be better to relax something on these so-called tight budgets, stimulate the economy, especially in areas where we have free capacity, get workers out in the street to build roads, make optimism and create activity, rather than sit still in the museum, as the Government does?
