ParlaMint-NO_2003-11-27-2.ana.ud2061e30	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-11-27-2.ana.ud2061e178	I don't think the representative who now had the floor should be so afraid. It's not a coercion, this one right here. The progressing party was a little surprised that I talked so much about the breakup of my first post. But it should not amaze the Progress Party, because the Labour Party always has and will always talk about and for the weakest in society. In fact, unlike the Progress Party, not everyone can rely on being his own successful smith. Then someone else has to support that group. Therefore, my commitment to children who experience a broken life. The working party doesn't think it's a point to use speaking time to talk about those who work well, and that's all right. I think the Council of State has provided the family message that we've been dealing with, to actually improve the daily lives of more people. I think that has certainly been the intention of the Council of State. There is also a broad majority for most of the proposals. It surprises me that the Advancement Party, which in every context emphasizes man's free choice, is able to choose its way of living together, whether a chosen marriage or cohabitation, now it seems so strange that we are cohabiting marriage and cohabitation. This is to the seventh and last adult world. I think it should be with adults. The working party is most concerned with the rights of children to safety and love. Children do not choose their parents and of course do not ask for a marriage certificate. We can all agree with the Council of State that it is best for the children to know their biological father, but we who have lived for a while, we know that life is not always as simple as what we wish for. And we know that many children are born with unknown biological father. That is why the Central Party and the Labour Party have promoted the proposal that I referred to in my first post. So it's for the sake of the kids, it's the children's right that's the most important thing for us. Once again, I ask the Council of State to consider this proposal.
ParlaMint-NO_2003-11-27-2.ana.ud2061e193	A small clarification of the point of view of the Progress Party in this respect with the course activity: when you hear some posts, e.g. from the committee leader, one can get the impression that the Progress Party believes that the course of life is not working. This isn't right. What we're saying is that we don't believe in these policy-determined one-day public courses, which are to be given right after birth. It's these we're skeptical of, and it's in this area that I think it's naive to think that these will work. It's like there's a lot of churches, associations, etc. who is engaged in a comprehensive life course business, and I am absolutely sure that many of these courses are great and work perfectly well. But I think what's in common with them is that they're a little bit more extensive than a one-day nursing course. The chairperson of the Committee was also involved in this in her last post, where she says there are many offers already. This is a perfectly correct observation. Then I would actually have thought that a party that the right would say you don't have to do it so that the state should interfere with this, if there are many offers already. If something seems excellent, and there's an offer in the market, then why does the state have to interfere and tell us how this has to be done?
ParlaMint-NO_2003-11-27-2.ana.ud2061e202	I have to answer the representative Karin Andersen for the crisis centers, and repeat some of the story. In fact, the Stortinget – and perhaps, in particular, SV – did not contribute to predictability of the crisis centres, because in December 2002 Stortinget decided and confirmed that this Council of State would return with the inclusion of crisis centres in the municipal funding system of 2004. This Council of State followed up in relation to the municipal bill, where this proposal came from. At the same time, the government announced that it would consider a bill, a possible legalisation of this offer. Then it was decided in June in the municipal committee that this action should not be taken. If you had done that, or if I had been able to continue working on it, you would at least have had one case in the Stortinget per. the current date on which you could discuss whether you agreed or not. Instead, the majority confirmed, with SV’s votes, that today’s funding system should continue in 2004. Today, a new distribution key is proposed, still earmarked. We are facing a major challenge with regard to crisis centres. I had a meeting with a number of crisis centres two days ago, and it's perfectly clear that some people have major economic problems. But it is also true that many crisis centres do not have problems with the economy, they receive their grants and have their long-term agreements with the municipalities. It's not certain that a percentage between the state and the municipal level, whether it's 50-50 or 80-20, in itself will help those centers that actually need an increase. Because not everyone needs it either. So this should be pointed in a better way. Then I want to say that we do not stop – I do not stop – the work, because we need predictability. The Women's Violence Committee will take its place on December 4th this year. What we're looking at in particular is which management model to choose for the crisis centres. I think the time has come to look at the whole issue of violence in all the bodies we have where it is working on violence, against women, against children, and also look at the attacker and the treatment services we have. So this has to be followed up. And we're going to follow it up. But as I said, the Storting has not exactly contributed to predictability, when, in one year, three different proposals have been made. And what is a government council going to do? We're trying to follow up as best we can. But we're going to keep working. So to this with normal association, which the representative Heikki Holmås was concerned about. In that case, there has to be a change in the law. I'll follow this up in the usual way.
ParlaMint-NO_2003-11-27-2.ana.ud2061e217	A Council of State that wants to ensure the activities of crisis centres and considers that the financial instrument as it stands today is not good enough can present a credible proposal to the Stortinget, which is such that it is certain that the State assumes greater co-responsibility and secures funding. SV did not agree with that proposal to include this in the framework grant for municipalities, and the reason for this is that the state will then be completely free of co-financing responsibility. Then it's the municipalities that have the whole responsibility alone, and we now know how the local economy is all around. They're sitting there looking for something they can put down. And when the government had not made it a prior law, but said that it was to be done afterwards, it is clear that the municipal committee could not take a chance on this in any way. The risk would then be that before the government had managed to get a bill through in Stortinget, several crisis centres had gone bankrupt and had been closed down. Long-term agreements with a municipality are just as long-term as the budgets are. If there is no money, even the emperor has lost his right. This is the case in the local economy, and it is also the responsibility of this government. So why SV has not supported Amathea, which is an advisory office with a life-vision paragraph. No, SV does not support it. SV believes that it is not the responsibility of the State to support such life-seeing offices. We want to support advisory offices that have a neutral view of life, because we believe that this is right. We believe that it is a mistake for the state to go in and support those who stand for a special way of life in this matter. It might be different, but we also know that there is a different view of the rights in the abortion law, who you ask for advice. We want to give support to those who are clear that this is a right that you have, and who are not trying, to say that, to put on people more problems than they already have. Several of the advisory institutions could have given such advice and are not receiving support. We believe that this kind of advice should be strengthened in many areas, but we are therefore quite clear that we do not want this through Amathea or other advisory bodies linked to special life views.
ParlaMint-NO_2003-11-27-2.ana.ud2061e228	I couldn't let some of these completely unheard-of claims get stuck in the air. Representative Andersen of SV talks about the total absence of the child in my post, the memory of moralism, and the only thing that was accepted was the vision of the Progress Party. First of all, I have to say that the representative Andersen in his last post is tending towards moralism to the greatest extent, by excluding advisory organisations that have a view of life. If it's not moralism to refuse them to provide advice, I don't know. I would advise the representative Andersen to read my post, if she did not at all hear what I said. Six times in the post, I talked about the best things for the child and the child's rights. Six times! Then it becomes quite obvious that the representative wants us to have completely left the children out. It is precisely for the sake of the children we have repeatedly, year after year, made proposals for automatic sharing of parental responsibility. We haven't been able to join any party once. Now we are on the right track with this joint proposal with the Workers' Party, the Centre Party and SV that we should come back with a separate case of automatic shared parental responsibility. But we have not lost focus on the children, rather on the contrary. That's who we're focusing on. Then I also have to say something to the representative Fallet, who thinks it's so strange that the Progress Party won't be equalizing cohabitants and couples, when we claim that we put the children in focus. Now, what form of life each couple chooses, and their legal rights towards each other, have no meaning for the children. With regard to the legislative proposals under consideration, inter alia: to the tax law and the inheritance law, it is the spouse, possibly the cohabiter, who will benefit from them, and the fact that a cohabiter remains permanently resident does not have any consequences for the child as such. So it's not like we've forgotten the children, rather the opposite. That's why we're also trying to protect the child by claiming that marriage should still be chosen because it requires. Why do you have to be likened to cohabiters, when cohabitants have chosen to live a less committed life? Why should they have the same rights as anyone who makes a marriage?
ParlaMint-NO_2003-11-27-2.ana.ud2061e241	The representative, Andersen, is so concerned that the marriage should not be emphasized, that she calls me Pedersen, who was my name before I got married. I think we can at least recognize marriage so much that we can say that my name is Eriksen! It is important for me to stress that marriage is the most stable framework around the growth of children. We know that whether the parents are cohabitants or couples, experiencing a breakup is a heavy affair for children. Therefore, we dare to point out that something can occasionally be better than other things, especially in terms of stability and a frame around child's growth. In relation to this with a life course, I find it sad that some people have so little faith in this. The new scheme also includes voluntary organisations, communities, municipalities, health sisters, midwives, who will be allowed to participate in and develop how these courses should be. When it comes to breast feeding, I think it is quite serious that you say that a woman and/or a couple just after they have had a child is unable to receive knowledge, is unable to receive what would actually be what they are getting on such a course. One of the family protection offices in this town has told me that now the health sisters say that there is no longer weight and kilograms and such things you are concerned about at these meetings, but how we can get to live a good life. I have faith in this interest in getting a good life, and I have faith that even after they have a child, people are able to accept knowledge – breast feeding or not.
ParlaMint-NO_2003-11-27-2.ana.ud2061e252	Sonja Irene Sjøli has spoken twice and is given the floor for a brief comment.
ParlaMint-NO_2003-11-27-2.ana.ud2061e255	Yes, unlike the representative Knudsen, I know a lot about breast-feeding, I've been there a couple of times myself. It's not like we're going to get lazy -- like a try to make it here -- we're actually getting quite concentrated, concentrated on the most important thing, that's to take care of the newborn child. Nursing women are fully capable of coping with most, including accepting knowledge. It is reassuring to hear that the representative Nesvik does not need a life course. But it's actually a part of the real world that needs help and support in this period. As I said, it's not a coercion, it's an offer. I believe that a life course, together with several other offers, can help prevent. I've also answered that earlier. I think the health centre is a competence centre for family and children, and I think it's natural for the courses to be put there. There are many offers already. I think the life courses come as a supplement, where there are other disciplines than health sisters and midwives coming in, namely family counselors, etc.
ParlaMint-NO_2003-11-27-2.ana.ud2061e264	With regard to the debate on crisis centres, I think it is an important debate, and I think it was sad that we did not have the opportunity to get predictable funding in place from 2004. I was prepared to make a proposal before the Women's Violence Committee gave its position, before the Municipal Committee decided to maintain today's funding in 2004. I'm stressing this a little bit, because I'm being blamed by the May Hansen representative for not following up the Storting decision. Funding today will be the same as in 2004. The funding is localised, the host municipality has to approve the budgets, the state receives it from the host municipality and gives it similar to that received locally by the crisis centres. With regard to the challenges facing crisis centres today in terms of standard and quality, I am not so sure that they are so easy to solve even if you have a different percentage distribution, namely 80-20. It is perhaps just an increase in the budget framework of those centres that really need it, which can ensure this kind of standard increase. This may require different approaches. My goal is to be able to get back to Stortinget as quickly as possible in 2004 with a comprehensive proposal related to the crisis centres, where we look both at a funding model and not least at a management model. This is important, and I hope that it will be possible to do this in a good way, without much more suggestions on how to do this. Perhaps we will have an overall debate as soon as possible in 2004. I also want to say a little about a life course. I think the Progress Party has a lot to do with these life courses. We have a life course today, that's right. We have different types. Some go over two days, some go in the evening, and some do it in slightly different ways. There are many organisations that are behind these courses, and there are also some public agencies that are doing it. There's a lot of demand for these courses. The courses are very good. I've been talking to people who run courses, and to parents who have gone there, and they say they're very useful. We're spending between 4 million today. and 5 million. kr on these rates of living by the State. It's a peculiarity attached to it. The demand is actually up to 16 million. We need a much more life course. When we ask the young people today -- we've done a survey that's referred to in the family message -- they say yes, we need help, maybe such a course will be useful to us.
ParlaMint-NO_2003-11-27-2.ana.ud2061e275	May Hansen has had the word twice and gets the word for a brief remark.
ParlaMint-NO_2003-11-27-2.ana.ud2061e279	I know that I get a little warm when the Council of State says that it is SV's fault that we do not now have a predictable financing of the crisis centres. In fact, I believe that the crisis centres would not have been so much on the agenda for the last two years, if it had not been for all that SV has proposed, the questions SV has asked, and all the comments we have written in budgets. I also get a little worried when the Council of State says that some crisis centres have good financial conditions. Crisis centres are closed this year, they are bad buildings, they are not organized for children, and they are not organized for the disabled. There are poor pay terms for the employees, there are no decent pay terms, someone is about not paid to work there. Predictable funding has not been included in the framework grant without a legal obligation.
ParlaMint-NO_2003-11-27-2.ana.ud2061e286	Karin Andersen has spoken twice and is given the floor to a brief comment.
ParlaMint-NO_2003-11-27-2.ana.ud2061e289	First, I apologize to the representative Eriksen for using the wrong name. So to the Advancement Party and the Children's Court: Yes, I feel that the Advancement Party says that the rights of children depend on the parents choosing the form of life that the Advancement Party likes. The point is not that children do not have the right to inherit their parents without this, but the point is that both parents should be financially secure, in order of business, if they are cohabitants and separate. It's the children this is about, and it's in the ratio it's children, that it's now regulated this way. I understand that people don't want to get married when they want to be cohabiters. I think we should respect that. It's grown-up people who can decide how to sail. But in the case of children, this is about securing these rights, and where the Progress Party fails. To put it this way, it's a political form of life. This must be a bit of a surprise at the Advance Party. So for advice for pregnant women: life-sight societies can make this seam. The return question must be: Does the Progress Party believe that Muslim advisory offices can do this?
ParlaMint-NO_2003-11-27-2.ana.ud2061e300	Eirin Fallet has had the word twice and gets the word for a brief comment.
ParlaMint-NO_2003-11-27-2.ana.ud2061e303	Just a brief clarification: Karin Andersen has just come to this with the children's right to inherit their parents. It cannot be left that children in cohabitation are less protected and have less rights than children in marriage. And then I have to say that now I've heard so much about breast feeding, that you would think we were in the Meteorological Institute. It's not like women get suckled when they have kids. It's actually a diagnosis.
ParlaMint-NO_2003-11-27-2.ana.ud2061e310	SV shall be in favour of putting crisis centres on the agenda many times in this room. I think I've been wise, and that's necessary. I think it's one of the most important measures we have in terms of women and children who have been subjected to violence. However, it is equally full that some crisis centres have new buildings, some crisis centres have long-term agreements with the communities, some crisis centres have wage conditions similar to those in the municipality in which they live, some crisis centres are organized for the disabled, some crisis centres have employed professionals, others operate more by voluntary action. It's very interesting to work with the crisis centres, talk to them, because they have a slightly different approach and would also like to be slightly different, among other things. with regard to the recruitment of professionals or to voluntary work. But many crisis centers are struggling, and many of them are struggling a lot. For some people predictability is bad, because the municipal administration of the municipality in which they live, or municipalities that have previously supported them, will stop the payment almost every year. However, it turns out that in the last few years overall, crisis centres have been growing quite well — this year, for example, 15pst. increase from last year. That doesn't mean that we don't have any crisis centers that have actually gotten it a little bit worse, and that work for that reason. I don't have an overview today, but we're going to agree when we're going to debate the crisis centres' new funding mechanism and a management model for the whole area of violence. My point is therefore: we need to have an overall debate as quickly as possible, in terms of both crisis centres and other measures related to violent women and children. I hope we'll get that soon.
ParlaMint-NO_2003-11-27-2.ana.ud2061e319	Karin S. Woldseth has had the word twice and gets the word for a brief remark.
ParlaMint-NO_2003-11-27-2.ana.ud2061e322	Right to inheritance for cohabitants, increased social assistance, tax law, insurance contract law, occupational injury insurance law, change in criminal law, exemption from witness duty and indebtedness prosecution – none of these changes have anything to do with children’s best and children’s rights. No one! This is only an adaptation of cohabitants to married couples and to improve the rights of cohabitants. Something else that I must have been allowed to say: If the representative of the Socialist Left Party had taken the trouble to read the comments of the Committee, she would have seen that the members of the Committee from the Progress Party and the Socialist Left would ask the Government to ‘investigate and come back with proposals for amendment of the Children's Act so that parents who are married, cohabitants or parents who have not lived together are equal in child distribution matters’. If Andersen's representative then believes that we are not in favour of the child's right, regardless of the form of life, I do not understand what she means.
ParlaMint-NO_2003-11-27-2.ana.ud2061e331	Now I think we're approaching the end, so I just want a short summary. Today we get through that we get an offer of free cohabitation courses for everyone, we get increased availability of the existing life courses, we get strengthened family protection services, we get joint parental responsibility for cohabitants, we get mandatory mediation for cohabitants, we strengthen the mediation system itself, we strengthen parental guidance, we strengthen fathers' right to birth money, we follow up children growing up in families where violence occurs, we start research projects to find the reason why violence occurs in the family, we focus on the man who is overtaking, there are some changes in the relationship with the cohabitants, and we also have to look at a better adjustment of the cash support for the use of part-time kindergarten. In my view, we have now discussed a family policy with visions into the future. I'm happy to see the results of this. But we're going to follow closely if the visions we had are actually reached. If not, they must be adjusted.
ParlaMint-NO_2003-11-27-2.ana.ud2061e345	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 753]]
ParlaMint-NO_2003-11-27-2.ana.ud2061e361	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that speaking time be limited to 5 minutes for each group. Furthermore, the President will propose that there be no repetition of the individual statements. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
