ParlaMint-IS_2021-12-27-17.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2021-12-27-17.u12	Thank you. A senator for the questions. It was in the opinion of the committee, in my recent history, that we believe it right to examine the inconsistencies of automobiles to automobiles, motor vehicles, and electrical vehicles. It is clear to the government's objective that Iceland will be a non-carbon object in 2040 and that most of us will be free of fossil fuels. That is a lofty goal, and we are going to reach it. Then, how we will do so - something must be done very well. We need to take a close look at the best approach in this regard. In other words, there is a view that these inconsistencies should not be used to link a vehicle car, which includes partially building gasoline and diesel trucks. In contrast, they can be restricted to a narrow cut so that the CO2 value for which they return is lower. This is a specific problem, especially since we have an enormous number of rental cars in Iceland, and it has been very difficult to rent clean electric cars. I'm worried that if that's the way our rentals are going to be, as long as our infrastructure has not improved, then it'll be a problem to distribute tourists around the country and the far capital area, which we would like to see, of course.
ParlaMint-IS_2021-12-27-17.u13	Madam President. Thanks for the answer. I thought the answer was excellent, but it conflicts with everything in the Committee and the Ministry's proposal. So I hope so. The head of the Economic and Business Committee is taking good care of a change proposal, which will be expected to appear between 2 and 3. ... andmake this a better way than the rest of the day. But it makes me want to go over to a matter that is about to win. It is suggested that part of the solution falls now after a few days, immediately at a year's easing point, an additional part of which was installed to reform and maintain vacation homes and human work as a result of household assistance and regular housing care. In this I think I was also something of a community, i.e. Companies owned, falling on June 30, 2022. And then the general portion of this drops from 100% to 60%, on August 31, 2022. Is there an explanation behind this complicated foot here that is trying to build into this, to have three different dates? And now, as we look at the introduction of regulations that make it possible for people, especially in the country, to have major operations that turn toward their own cars and cars still to a greater degree and so forth, they came along the streets and had some views and problems with the Committee as regards extending the proposals of reimbursement due to car repairs, paint, and rights work? These are the problems I think have created entirely at the desks of the group here at home and abroad in the recent years.
ParlaMint-IS_2021-12-27-17.u14	Thank you. 8th yrs Witchest. The file %1 has The campaign was all work 60%, and the remuneration part was increased to 100% as part of the Covid operation and to address the economic shock caused by it. The Ministry suggested that this effort be dropped to 60% in all respects during the New Year's Eve. The committee suggests some kind of softening of this operation, including that the article can adapt to it - there are tasks being carried out; there are projects with rural society; there are tasks in many areas in the community and elsewhere - so that these projects can be completed. As a result, by the end of the New Year's Day, reimbursement from automobiles fell all the way down to the end of the year, which has been the lowest part of their reimbursement. And then, at the end of the month, 100% will be held out at the end of the June, by which, by the month, the reimbursement will be dropped by vacation homes and rural communities. Since then, all will be back on September 1 to 60%. This led to a decision made by the Commission in order to soften the impact on the industry.
ParlaMint-IS_2021-12-27-17.u15	A respectable president. I bring here an opinion from a smaller part of the Economic and Business Committee on a bill to legalize various laws due to budgets for the year 2022. It is a pleasure to be as different from the ranks of the Republic, the Party of the People, the Piranians, and the Conspiracy have been able to unite here on a matter of principle, both in criticism of the government's financial agreements and in a vision of how to set the priorities for the government's financial and tax matters in terms of total interest. Public financial laws set the lines on how to organise budgets, and it is assumed that financial plans are proposed until spring, discussion of fiscal planning and policy measures will be carried out in this way during the first half of the year. Thus, there would be time for a thorough and well - thought - out job on the budget itself. In other words, the idea was to disseminate the pressures of government management over a year and thus contribute to the careful legalization and responsible management of public funds. As we know, in the fall, the government groups decided to make total elections. V.E.G. During a television interview, the minister of finance reasoned that he did not want to give up power. He wanted to keep them as long as possible. It is quite clear, however, that this arrangement has worked against the objective of public financial law that the treatment of the World Health Organization continues to spread over the year, and now we are sinking on it. If elections had been held that spring, the budget bill would have lasted over the last summer, carefully preparing a bill and related matters could lie ahead at the beginning of the fall. Instead, on November 30, after weeks of a campaign violation study and after a historical delay in government development, the budget was submitted. Thus, rather than allowing the government's financial bill to be handled carefully, the General has had to discuss the matter under an enormous amount of time pressure. This brief treatment period means that the period of reporting has been shorter than normal. It reduces the potential of public, institutions, organizations, companies, and stakeholders to promote comments and also means that all changes are made in hand gels. The chances of failure are multiplying. All of this is a sign of indifference and disrespect for the role and responsibility of the General Assembly as the legislature and financial authority. We in the smaller part are at least I agree that this is not the way things should be done. I hope that all classes can unite in making elections next spring rather than fall. Then let's move on to the subject of the bill. During our smaller section, we decided to study the most important changes being made in the budget. Our view is presented in three very detailed chapters. Then we add some points at the end to which we felt that we could not pass on briefly. Let's start with the new reference for an update to taxation level and step point. This is one of the new indicators of the bill, a change which implies that the step-and-relevant limit of the income tax system will develop in rhythm with a conversation of inflation, as measured by the index of consumer prices and production growth. This is based on ideas from a team of experts reporting income tax revisions and reform systems from 2009, the declared objective of the changes is to establish an actual tax scale over the past few years. This real tax crisis includes the spontaneous increase in tax loads and more in income - raise groups than in the increase in revenues due to failure of paces and tax limits in labour development. It is a joy to see a financial and economic minister face this rise in tax gain that has taken place on his watch. The joy of the highest is even greater. Minister wants to react to her. Here on the bill is a process of protection against the long-term recovery of the economy over long-term yielding of revenue and balance balance effects of the income tax system. This is a fine price, but we in the memory of the section agree that in the bill, the proposal of the experts group I mentioned earlier is disfellowshipped when it comes to the choice of production standards without any compelling evidence to be made. There is no major analysis, or logically, why these criteria are selected rather than others and why this particular period is considered to be different from any other period, whether it was longer or shorter. We are also disturbed by the fact that in the report of the budgetary worm, there is a pessimism of Icelandic employment to increase production and improved production skills. This comes as a surprise, in view of the importance of running faster and growing out of the virus situation, that we need to rely on this. We need to keep in mind that evolution is not something that is permanent; it depends on it. on political decisions on government investment levels, on technological development, and on whether there are conditions for active competition and valuables. A choice of the resulter's standards must not be random, and it must be a transparency of the views of the manufacturer's choice. It is also important that the increase in production is not underestimated because it will cause payoffs when we have those standards. In particular, the stepwise shift of the income tax system and the stepholder in the upper part of the tax system is less in Iceland than in many neighboring countries, so the tax system has far more impact on income - bearing groups in this country than in many other countries. We in the smaller part agree that further analysis of costs and defects should be made to limit the level of inflation conversation and production, and to compare the benefits and defects of aiming for e.g. for pay numbers, such as the labor movement has been calling for a long time. Then I'd like to talk about social security and that's where I'm off duty. On terms of budgetary law, social security will increase by 4.6% for next year's pensioner and 5.6% for disability pensioners. This is not consistent with the observed tax rates, mean increases in the general labour market, which means that the budget is a prescription for continued blundering between pay and pension. It is, of course, just a political decision, let it be in mind, it is not some nature of nature to leave those who depend on a pension. In view of the fact that a number of pensioners live in poverty, that decision is especially reprehensible. According to the National Institute of Insurance, some 14,000 pension workers in Iceland need to substantiate their lives at less than 300,000 dollars. a month before taxation. 80% of micro-organism is difficult to make ends meet based on a recent report Protecting the labour market laboratory. Then there's an inequities among senior citizens more in Iceland than among the public. This is the opposite of what we see in most other North countries, e.g. correspondent in Norway, Denmark, and Finland The most intimate way to combat these low - income problems of older people and disability is to raise unskilled pensions, but we also feel that there will be less money reduction, these income - related declines in the social security system, especially to make sure that they do not disappear as early, as low in the revenues as they do in real life. That's the perfect key. This financial agreement suggests the only change in the social security ratings of older people to double the job income market. It's raising 100,000 bucks. every month for 200,000 K. per month. Interestingly, this is also the only stringent proposal in the social security matters, especially in the social security of older people, as we see in the Government Treaty. So it's a top priority operation, top priority, the government on Social Security. Thus, in our memory, it was important to learn how the improvement in this procedure is distributed, both between income and gender. The committee requested a memo on this and the Department of Social Affairs and Security compiled this information. The result? It's not necessarily surprising, but it's still a bit striking to see it so black in white. The operation will be of value to 1,300 individuals approximately or about 3% of the elderly listed in TR. Of these, most are in the top income tenants, especially the top two companies. 67% are men, 33% are women. The special support of this group as the sum of pay and pension continues, and the vacation market for money from older people is replaced by a priority that we have in the United States, Pirates, the Gang of the People, and We together are not particularly interested in this committee. It's not too good for a socialist to make this a top priority. We need to look at all these changes in relation to the overall social security system and remember that with this change, with an increase in this holiday goal, the post-year situation will be that the early income market will be eight times higher than that of the common currency market that takes on pensions. It's going to be only $25,000. during and after a month the impairment begins to bite. In the smaller parts, we want to remind you that pension income is nothing more than a postponed income from people who have paid from a pension fund. According to the Department of Social Affairs, it is quite clear that each small step taken for the increase in the general average average average income would be much equal, depending on the income level and after the sex, but this increase under the top priority of the management sector. We also agree with criticism, which is shown in the review of the Lands Association of Pension Funds on the bill. It points out that with this varied management of income, depositors are disparaged. We find it reprehensible that in the report on the budget of the agreement, there is no evidence of the great discrepancies that is being made between these groups or that the slightest attempt is made to make any assessment of the impact of this error. The political decision to raise only the cost of employment but to leave the common cost of vacationing especially on people who have worked hard for a lifetime and who simply have to retire because of their health, cannot work indefinitely. These groups will have to endure severe impairments and greater limitation taxes than people who still have the ability to work. It is ironic to us that in the financial dues, only an increase in the permafrost market in older people is expected, not in micropigs. Consider what is stated in the government covenant. It specifically shows that it will be considered to improve the potential for self-employing disability, education, and employment. A question-study conducted for the Micro-Lational Association found that the decline in the social security system is one of the main barriers to the increased employment activities of this group. We also know that since 2009 the commercial market for micropigs has taken place. That would be well over 200,000 bucks. I think it would be high for $250,000. If it had been paid at that time, then it would have been worth 2 60,000. Hence, we must ask ourselves, " What exactly is it that the greater part of the government wants to hold on to this free income goal in 109,600 bucks? ' in a month, keep it high to half as low as the job income market for older people. There has been no reasonable argument. The only thing we hear is always the same song about an overall rejection that should take place sometime in the future but that has little to say. These promises of an overall review are used as an excuse for refusing human reform right here and now. It's always the same story; deny people the possibility to get the rocks outside the social security system. Is it, e.g. in harmony with independence? Is this in harmony with the three ideologies of this government, punishing people for winning? We were discussing everyone working earlier. They concluded that the bigger the picture had to be viewed, that it was not to be viewed simply by the missing income. Why don't you think about something about the most efficient people, people who can't work, people with limited skills, how would that be? Let's be clear that government policy means that poorer part-time jobs in the labour market will continue to be subjected to more than 70% of the fiscal taxation due to combined revenues in the social security and taxation, 70% taxation, 70% of the tax from each additional budget they earn. To compare: What's our perimeter tax in this room? 46.25%, right? That's our perimeter tax from the high-payers. In the lesser part, we severely criticize it. We feel that this conduct is unacceptable to a group that is counting on the social security system. We feel that it is a minimum requirement to keep the company's small income markets in line with the early job market and raise to 200,000 dollars. Right after New Year's Eve. How much? That's going to take between 1◯2 billion. In comparison, an extension of the next year's 7.2 billion won. This is the context of the parts we're talking about here. We have at least a few minutes. Create a modification proposal for this. We challenge all members of Congress to vote with the change, regardless of any group of members, let's just agree on this. I'm also going to cover only the income fund in general. There have long been very serious weaknesses in the survival of the State, and they were exposed before the pandemic. During the training period before the epidemic, the rise of the State Fund and the government grew. The share of land production was at the same time that the share of income was reduced. This is the problem, and this trend has to go back. We need to strengthen the government's income side so that this cry of failure between income and pay and thus ensure the long - term stability of public funds is guaranteed, in order to ensure national stability. The economy is now in place, so the economy is on its way out. Inflation is a long way ahead of us, and holding it back can be a challenge for the months to come. We'll see that Iceland's Secret Bank calls for, under the review of a bill for the budget, to show the greatest financial value. This makes money policy easier for them and reduces the need for sharp growth. This is in the context of which we in the smaller part feel compelled to point out that any decision on tax intensity must be based on well - thought - out and grammatical views and must be taken into account in the economic and economic situation. Then we're based on evidence of these articles, not just what we think. As the financial and economic tax office points out, in a report to the Economic and Business Committee, an extension of a 100% reimbursement tax from the construction industry does not meet this test at a time when inflation is far above the Seder's price targets, a interest level is increasing, and the sector is only doing well. It must then be considered that the valuable tax system is the largest single collection of state funds, and it must be insisted that individual sectors are not particularly wanted unless they are strong arguments. We can see that every time they're granted such an exception there's a request for more leaves; why not this group, too, why not this business, why not this one? It's far better to just build on a strong general system of values taxation, not to hole it up forever inside, my God Almighty. As soon as there is a need to hold back unmarked and expanding expenses, it is important that the maintenance phase, which is also the approved bat. to call, also to show on the income side, that it is not affected by basic services, public investments, as the government and the public have a very important role in the large social challenges we face, whether demographic changes, the aging of the nation, or the climate, the technology. In the memory of the section, we encourage increased revenues and careful attention to taxation of capitals, possessions, and highest incomes, as well as reasonable and reasonable transfers of resource resources. Similarly, we feel it is very important to strengthen farm society and to remember that society's attitude is now worse than it was when a financial plan was submitted. Here it may be noted that in the Government Treaty, if I recall correctly, there is specifically mention that the host's fee is to be made to a rural society, but it is now postponing a period of overnight spending in almost the entire terms of terms, so it will be expected during the last year of the terms of the income stocks that are being added to the rural population. When changing environmental and resource taxes laws, it is important that measures are evaluated based on both the impacts on greenhouse gas emissions and the effects on different income groups. In this bill, elevations in carbon and other related costs are simple 2.5% rise in accordance with the requirements of the budget for the year 2022. In view of a much higher rate of inflation, this actually includes a reduction in carbon costs and may reduce its impact between years. This is amazed at all government declarations that there will be increased ambitions for climate during these terms. In fact, increasing carbon bills is a very effective way to combat emissions. Various measures can be taken to protect harvesters from its influence. This is a carbon bill as a basis for innovation's sponsorship in contaminated industry opportunities that would be more appropriate to look to. In the memory of this section, we believe the long-term plans for what the government and the government are planning for the Green Resources and Green Involves. Remember, the group leading the government and leading the Environment and Resource Ministry during the last term had in their policy sheet of elections to raise the carbon account in stages. On the other hand, there is no vision of a green income source in the bill that we are dealing with, nor in a government covenant, nor in the budget. Information on the real successes of the actions and policies of the present government in the future is unclear, and this makes all discussion of the individual actions of the government very difficult. We never really know what the whole thing is when we're looking at each change. We recommend that the plan be settled so that the next discussion on budgets and related issues will be discussed at a higher level. Finally, we want to promote the following points: First, the National Association of Iceland has declared that the government's support of housing security and the relocation systems of the relegated workers will be critical in the efforts of the labor movement to bring in 2020 and 2020. A close - cut way of setting up a successful workforce would be to put extra money into the child - saving system and increase the supply of cost - making housing with higher government stocks for the general housing system. Neither is mentioned by the government's budget bill and budget agreement, and it is not yet up to the fact that government promises made when the biographer contract was signed, the increased rights of tenants, and the actions against pay thefts, will be fulfilled. It's not a good roadside in a heart-to-heart conversation, it's just gonna have to say it. Another point we want to mention is that in a report by experts, a review of income taxes and reform systems from 2018, there is a widespread failure to show respect for the agreed remuneration rules. It may be estimated that the real part of the industry is misdesigned as capital gains in Iceland and in current regulations there is a substantial amount of information for the tax authorities when it comes to determining the partners in their own business of pay. In the smaller sections, we feel that there has been no response to these indications, such as legal adjustments in which capital income is defined on the basis of sectoral property and prepared for yield, as are done in many North countries. The economic situation of ASI points out in a recent report, taxanes, and inequities: a more righteous and efficient tax system, that by measures that limit the potential for earning transport, the income may be increased by a total of 33/48 billion dollars. each year, and that tax burden would only be placed on the highest rate of 10% taxpayers. In the memory of this section, we also object to higher costs than the amount we see in the bill itself. It is our belief that the state should discontinue parishes sooner or later for religious and biological organizations and that such collections are in accordance with very poor modern ideas about the role of the State. It is far more true that religious organizations themselves are involved in this collection. Now it seems to me that I have considered ourselves more materially. I want to thank the members of the committee, both the members of the greater part and the smaller part, for their good cooperation in the Committee, a good time together. What I've been doing here is the fundamental principles we've come together in the lesser part. They are based on the values we adhere to. We do not expect our emphasis to be part of these budgets, there are other categories that govern the country. However, we ask the members of the council to unite in the obvious justice of the fact that the microorganic holiday market is following the early people's leisure market at the end of the year. It's the least we can do.
ParlaMint-IS_2021-12-27-17.u16	A respectable president. The Honorable World of Congress, both here and at home. My name is Tómas, called Tommi, and I'm an older citizen. I would like to use this opportunity to thank the last speaker for making a poor talk. I'll think of the saying, "The drop will break the stone." Sæland hareland and Guðmundur Ingi Kristinsson have been fighting for the interests of those less fortunate, and I rejoice that more people will join us in that. I just want to see in this brief counter-regument talk that we older citizens number 45,000, of which 14,000 are one third of the senior citizens who have to survive with less than 300,000 dollars. per month. They're the ones who would have enjoyed it if their pension rights had been increased. [[The president calls.]] I'll continue later.
ParlaMint-IS_2021-12-27-17.u17	A respectable president. Thank you. A senator for this suggestion. As I went over the years, it is just so that each small rise in the general income market would be much equal, and precisely to the people who are most in need of additional support, while the rise in income-free income markets would be distributed primarily to them in the highest income and to the men. It's, like I crossed over here, a certain inequities among older people. We need to put far more weight on these busiest groups than the government is going in the other direction. That's a worry.
ParlaMint-IS_2021-12-27-17.u18	A respectable president. I used to hate to read it earlier in my short talk that last time I got into this talk chair, on Wednesday, I made the mistake that I was wearing jeans. It was kind to me that it wasn't the General Code, and I apologized for it here and now, and I hereby announce that I have changed my clothes. [[Laughter at the Hall of Congress.]]
ParlaMint-IS_2021-12-27-17.u19	A respectable president. I may come up here to commend the smaller sections of the committee, since the cooperation with him and with other members of the committee has been exemplary. Of course, I'm just a rookie at the council, and maybe I'll learn to be a big fan of something. However, it is positive to see that with new people in government opposition, it seems to be turning aside from the amazing idea that the solution from the antiviral situation is increasing the number of government officials, rather being encouraged to have conditions for active competition and value creation. Of course, in view of the loss of parts, you can find a familiar tone that encourages increased taxation, encouraging increased appeals for people and businesses. Well, I guess it'll be a little late with a new kind of manpower. On the other hand, when concern over an increase in tax burden is expressed, I felt that I could detect only admiration. paritaprevir Jóhann Páll Jóhannsson has an upset and suggestion from the highest level. Secretary of finance when he encourages him to impress these matters. Finally, I may mention the issues of climate, including commendation, but there is, of course, greater pressure. That's not a surprise. [[The president calls.]] However, it is safe to take under the encouragement of a minority of the Committee to increase transparency and maintenance of climates and to guide real success measures in making decisions on the objectives of this category. [[The president calls.]] That is an excellent reminder.
ParlaMint-IS_2021-12-27-17.u20	A respectable president. I want to thank you. paritaprevir Diljá Mist Einarsdóttir for this introductory act. As for the growth of public work as a solution, or perhaps as part of a procedure, to get us out of the crisis, I may commend the administrative part during the last term for creating a high level of 1,000 public jobs, I understand, through a grant of employment with a general issue that had a slight back door to it. It's just that societies and the government were carrying the heat and weight there. It was a vast number of public jobs that were created here so that we could just agree that it is the best of things and that the public has a very important role, and to that end, even so. to strengthen the state's income base and do so by ways other than those that include increasing tax burden on remuneration, which, as accepted in the budget of the budget, has been a way of doing something that has taken place during the reign of the State. Secretary of finance. [[The president calls.]]
ParlaMint-IS_2021-12-27-17.u21	A respectable president. I'm not going to take my compliments back, but we may not be on the same page entirely in this regard. But because I didn't come back earlier, I'd like to mention only the points of my share regarding government support to housing security and the contributions made by rural society in that subject. Then I wanted to encourage you, for it would be closer to the largest rural society in the country, as a pack of whales. paritaprevir Jóhann Páll's control, as well as the city of Reykjavík, had a long - term lack of property and goods, thus making a contribution. It is a source of encouragement rather than an ongoing complaint from the local community, with the highest possible response but the least possible foundation service. It might be there. occasion for what? A senator's concern for the welfare of his people.
ParlaMint-IS_2021-12-27-17.u22	A respectable president. I don't think there's much I'm as proud of, or I'm happier with my party as I am with the huge structure of a social facility that has taken place in Reykjavík in recent years under the direction of Dagur Eggertsson. The ones that are either missing are increased stock productions into the system. There's been nothing specific about the distribution there. Yet, it is a gnat that interest groups do not tire out. We can only see in the numbers how social housing has so advanced in the capital area, especially in Reykjavík. We need to keep on doing so. I believe that the government would be used more fully to promote the same structure in all parts of the country, not just with share loans and so on, but with a strong general urban system, which includes the restoration of the workers'farms.
ParlaMint-IS_2021-12-27-17.u23	Madam President. Thank you. A senator for his career. All I want to do is come to the parish fees. Because of what? A senator specifically mentioned them, so I would like to point out that a contract was made between state and church 1987 that the state is taking in the collection of these pay, and that is now the state must fulfill its agreements. In addition, it is now the Constitution that the State's authority should support and protect the State Church so that it is perfectly normal for the State to produce a stream of this collection. It is also very important to bear in mind the great psychological, humanitarian, and welfare work that the Church represents throughout the country. In particular, in the country's urban areas, costs are of significant importance. But I wanted to ask you what. One point in his speech about the carbon account was presented to a senator: Is he to feel that the price should be raised even further? How much does he foresee the price to be raised?
ParlaMint-IS_2021-12-27-17.u24	A respectable president. It's just happening, and I think more and more people are being united about it - OECD, the International Cash Fund, economists around the world -- that when we live in a market economy based on guards as signaling the price of things and we give the cost of so reasonably free, the carbon cost is one of the most efficient possible measures to reduce greenhouse gas emissions. But it's very important - and I don't have a magic number here, but according to the indications that have come from both the World Bank and OECD, the fee would have to be considerably higher in Iceland if it should have the influence it could have to do enough to reduce emissions considerably. [[The president calls.]] [[The president calls.]] However, in my memory and opinion, it is especially necessary to protect less income groups, e.g. by letting the fee slip into some fund. [[The president calls.]]
ParlaMint-IS_2021-12-27-17.u25	The President wishes to remind us of the time limit. When answering time is less than 1 minute, it is good to aim for 1 minute.
ParlaMint-IS_2021-12-27-17.u26	Madam President. Thank you. Senator. I now believe that we should seek to reduce this price. I've always said it's gone up too much. This time, it's only a raise, which is so much that I would have wanted to see that it would be more important. But have a why. A senator studied a report made last year by the Institute of Economics at the University of Iceland on the effects of this currency, especially in the country? It shows that the cost of paying is particularly on less income - rich people as well as on the land. It's a very interesting report that's received far too little attention in my opinion. I'd like to hear a response. As far as it is concerned, how he looks at the report, whether he has studied it, or if it is reasonable that we would try to reduce this fee in stages? In addition, I have concluded that the results of this charge are not sufficiently valid when it comes to the battle against climate.
ParlaMint-IS_2021-12-27-17.u27	A respectable president. Indeed, studies show that the price must be reasonably high to produce results, to reduce emissions, so it may not be surprising that the current cost has not been paid much. I haven't read this report since then. A senator refers to, but I agree. In terms of the fact that green taxes must not be brought down, especially from income - bearing groups and from people in the scattered regions. There is a need to take special action, e.g. use the income in some way to make it pay off, what's that, the carbon tax and the dividend. These are ideas that even. has been discussed in OECD's report, taxing carbon use, but then directing the money, such as some kind of burgers, to income groups, even with such a income-related billing system, to something similar.
ParlaMint-IS_2021-12-27-17.u28	Madam President. Thank you. A senator for the past history of the committee's memory. I agree with those here who have spoken from the Economic and Business Committee that the work and cooperation of the Committee and the discussion have been good, although the nature of the matter may be conflicting views on a number of matters. This does not change the good work of the committee. Hv. A senator, in his late teens and early years, points to a number of things that he feels he can do better. Then I'd like to remind you that in the government Constitution, there is a bill for the work document and bill for changing the law on bankruptcy, i.e. The identification number. I know that's not exactly what the Senator is pointing at here, but I'd like to remind you that these matters are here. But I'd like to ask you why. A senator, because I thought it may be understood in his speech: Does he want to agree or like a system when it comes to senile and disability pensioners? [[The president calls.]] I'd like to discuss this matter further in a second answer, but we'll start with this.
ParlaMint-IS_2021-12-27-17.u29	A respectable president. No, I don't think that the system around people with impaired skills and the system around older people is necessarily the same. What we have stressed in our committee party, however, is that handling pension incomes, which say delayed employment, does not work as well as making employment in a way that differs as in financial dues. In addition, it is a matter of justice that microflocation revenues will finally increase, but it has been in place since 2009. I believe that the early population is about to rise substantially but remains in micropair, especially when there is detailed information on how the river spreads by this increase.
ParlaMint-IS_2021-12-27-17.u30	Madam President. Thank you. A senator for the answer, and I am glad to hear that the senator does not believe that there is to be the same system for these groups, since they differ. This was shown in the case of a man. A senator, or possibly opposed in the past during the discussion, that the government went in the wrong direction for a pensioner. I must protest that, of course, in 2016, if I recall correctly, the changes in the pension system that resulted in the improvement of all the pensioners who were combined. As a result, the special extensions of the pensioner's pension were completely eliminated. Then, during the last term, the change was made to ensure that those who have no rights in the sensibilities system pay, the people who were actually involved in the development of the rural communities preceded there. I think it's important to be present in the discussion. Of course, it is good and blessed to want to continue and make further adjustments. But I feel that it is important to know what changes have been made and to say that they have been made to improve the quality of the worst, but it certainly has to continue. [[The president calls.]] So I believe the changes proposed to this bandorm are appropriate at this stage of the case.
ParlaMint-IS_2021-12-27-17.u31	A respectable president. I think it's interesting to hear what you're talking about. A senator speaks of changes made in 2016 and actually speaks a little as though they were made by the government of Katrín Jakobsdóttir's daughter. I didn't know that the fusion between the left green and the Independence Party... [[No, no. Change story.]] But now we are discussing the actions of this government, and its priorities in social security are being expressed in a government contract. This is the only thing in the government contract about changing the social security system. The operation for people who have no rights in pension funds is a good price. It's an important procedure, but it doesn't change what I've talked about about the injustice involved in handling employment and postponing jobs in such a different way. The priorities displayed in this financial alliance and in the Treaty of this government are simply unfair to me, especially where it focuses on the highest income of the population and mostly on men rather than women.
