ParlaMint-RS_2020-11-12-0.u663	It's good, Mr. President, that I've been reported to be in the system. Thank you.
ParlaMint-RS_2020-11-12-0.u674	Thank you. Minister Sinisha Mali has a word.
ParlaMint-RS_2020-11-12-0.u675	Thank you very much. Dear MPs, ladies and gentlemen, a few things I'd like to look back on in my presentation, and about the amendment that lies before you today. First, there is no kind or kind of discrimination against any minority, according to any citizen of the Republic of Serbia, according to any part of our country. So our country is developing and moving forward. We invest in both road and rail infrastructure and reconstruct both hospitals and schools and health homes and I cannot accept or accept that there is any kind of discrimination or that anyone or anyone is threatened or diminished something that needs to get. What I'm going to remind you on the other hand of all of you, so in March, the pandemic of the Coronal Virus started in February this year. The whole state acted responsibly. We asked everyone in the budget rebalancing not now but in April to cut unnecessary costs, to reduce investments that may not be needed to see how we are going to bring out the entire programme to help our economies and our businesses and citizens of Serbia, and we expected that from all and also from the National Minorities Council. So we all share the same fate and we all live in the same country and we all know what we've been through in the past few months. But if you and the specific answer to your question, we're not against it, I'm not against helping and we're going to help. I'm in touch with Mrs. Comic, Minister Comic, so we expect the Minority Council to give us how much money they need by the end of the year to function. The reason it's not rebalancing is because to this day, that answer is not mine. When I get an answer, and you can freely influence through your contacts how much money they have, they will get as much money as they need to function by the end of the year, and of course the budget for 2021 is a special story. So there's no need to be negative. No one takes anything away from anyone. That's the sort of thing that happened, and on the other hand, let me tell you, let them do their part of the job, let me get some information that I could go out here with, which I could go out with you and say, yes, I'm behind it. So, from this budget where we managed to organize everything in the right way, where all the projects we wanted to put in place were managed, where we provided money for construction and Kovid hospitals and further investment in infrastructure and help our healthcare professionals and the purchase of medicines and medical equipment. So we're going to help that advice...
ParlaMint-RS_2020-11-12-0.u676	Minister, I'm sorry. I didn't warn you in time that there was a two-minute limit in this case.
ParlaMint-RS_2020-11-12-0.u677	I'm sorry. Here, I'm done. Thank you very much. (Enis Imamovic: Replica. )
ParlaMint-RS_2020-11-12-0.u678	You have to sign in.
ParlaMint-RS_2020-11-12-0.u679	I answered on the basis of a replica. The minister has just said, so we have all plans and all activities foreseen according to the budget. I said in my discussion that we didn't ask for any increase in funds, nor did we ask for any extraordinary funds, we asked that those funds provided for in the budget and that the National Council planned to return to them in the realisation of their activities. That's what we predicted with this amendment. So it's not some big asset, it's the means to function in the next two months. And when you say -- whether someone acted responsible or not, I want to remind you that Bosniak National Council, I know because I was in contact with them, at the time of the biggest crisis that hit Novi Pazar, Tutin, Sandzak, Prijelje, Pryboj, all the Sanjak municipalities, just donated to hospitals and if it wasn't in his area, donated basic resources to hospitals for work. So they acted responsibly, responsibly in their own resources, and as I said, here in this amendment we didn't ask for any additional funds, nothing beyond that, but we were looking for what they enjoyed and the other indirect budget users. So none of them were down 20%. These are the authorities of minority self-government, and if you reduce 20% of the resources to the authorities of minority self-government at such delicate moments, with such serious tasks, which means that they will not have any means of functioning until the end of the year, they will have to depend on your goodwill or on the goodwill of the competent minister. So, what you're suggesting is that we settle the deal, it's regulated by rebalance, it's regulated by law, by rules, not by agreement and goodwill. Don't let us skip institutions, work in accordance with the law and work in accordance with the current situation. Thank you.
ParlaMint-RS_2020-11-12-0.u680	The word has a minister, Sinisha Mali.
ParlaMint-RS_2020-11-12-0.u681	Let's just finish this controversy. So when the coronary pandemic of the virus started, I think we all reacted in solidarity, and the whole state donated and gave and kept and cared for each and every one of us. So there's no difference between, I don't know why you're sharing "we are, and you're not" etc. All of us Serbian citizens, that's number one. Number two, I know what you're looking for. I am also telling you to quote what you said: “What other users enjoy, since they are not diminished. ” I tell you now, everyone is reduced. All were reduced because it was the government's responsible policy of the Republic of Serbia. Once again, let me finish and confirm, because I really understand what you're talking about and I want to help you. No negotiations, no talks. What is written in that paper that is related to the needs of the national council will be provided. Unfortunately, that paper didn't arrive at the time of the rebalancing, it didn't reach today. There's no evil intentions, there's nothing. So that paper doesn't exist. When we get it from that institution, we're going to react and there's no reason for any concern, no one has been denied their rights despite the biggest economic crisis in the world, despite the huge problems we've had with the coronary pandemic of the virus. The state of Serbia fulfils its obligations in a dinar and fulfils it on a day-to-day basis. Thank you.
ParlaMint-RS_2020-11-12-0.u682	Thank you. The word is Gjorge Milicevic.
ParlaMint-RS_2020-11-12-0.u683	Thank you, Mr. President. Let me just tell you that I have a little bit more time right now. I have 15 minutes as head of the parliamentary group and I have time for a parliamentary group.
ParlaMint-RS_2020-11-12-0.u684	Okay, I'll keep that in mind. I won't interrupt you for that time.
ParlaMint-RS_2020-11-12-0.u685	So, first of all, I would like to say, given that after the previous session of the National Assembly of the Republic of Serbia and the amendments submitted by the opposition colleagues, the debate, first and foremost here in parliament and then in the media, is that someone wants to challenge the right of the opposition to submit the amendment, which, of course, is not true. I want to say that it is the legitimate right of every MP, whether it comes from the ranks of the position or the opposition, that he can submit an amendment to the legislative proposal and that we are always for a democratic debate and a democratic conflict of opinion, but that this democratic debate and democratic conflict of opinion is reduced to the power of arguments, not politics, demagogy and force of force, because then it makes sense. Of course, Parliament and the Assembly are the voice of the people and the place where we, legitimately elected representatives of citizens, are discussing alternatives to how to reach the most qualitative legal solutions that will be in the best interest of citizens. Why am I saying this? For one simple reason, because we are talking about amendments and additions to the Budget Law, and it is this reality, they are precisely realising the problem and the government's real answer to the key issues raised at this time as major challenges before Serbia and the Government of the Republic of Serbia. When it comes to a specific amendment, Minister, correct me if I'm wrong, but this amendment has been rejected because it is technically incorrect. Right? So, formally-lawfully this amendment is incorrect and I cannot believe that it can happen to someone who has a longer parliamentary standing and who knows the procedure and the Rules of Procedure on Work and the way the amendment can be proposed, to sign an amendment that is technically incorrect. Now, if he doesn't know that, actually, if he does, and I suppose he does, I don't want to believe that he had any other intentions, yes, let's say he starts a question, to get some space in the media, in front of the media auditorium, which is still not controversial to raise some issues that they think are important, questions that my colleague is talking about, I don't think they're irrelevant, but there's a time when we're going to talk about it. So, the minister said, that's the 2021 budget, but to talk about it, first of all, Ministers, as you said, as far as I understand it, we need to get an answer to the key question, which is that national minority advice delivers an answer to the question of how much money is needed to function. In doing so, President of the National Assembly of the Republic of Serbia, you are, I must make a move, you have introduced into parliament something that is a very good practice and is a major qualitative shift and a step forward leading to the democratic and efficiency of Parliament's work, which is a session of the College, which is regular, which is held every Tuesday, whether parliament is in session or not. The College is a body attended by both Parliament President and Vice-President of Parliament, Secretary-General, Presidents and Vice-Presidents of Parliamentary Groups and Colleges, we agree on the dynamics of work, we agree on how parliament will function, we look at the suggestions and suggestions we receive from parliamentary groups, from the heads of parliament groups, and we always go towards finding a certain consensus and compromise solution. Why am I saying this? At the last session of the College, we defined the dynamics of Parliament's work. Mr. Martinovic, you were at the College session, we defined the dynamics of Parliament's work. The parliamentary group that submitted this amendment, I do not know for what reasons, whether it did not want or could not, but most correctly towards us who are participating in the work, did not take part in the session of the College, submitted an amendment that is technically incorrect. Why am I saying this? So we've established dynamics. If we hadn't changed that dynamic in our walk, we would be sitting here today in parliament because of an amendment that is formally incorrect, technically incorrect, the government has given reason that we would only come because of this one amendment, and I want to remind you that one day in Parliament, the Republic of Serbia costs two million dinars. So, because of one day, they would spend two million dinars, and that's when we look at every dinar, the government of the Republic of Serbia, above all, and the president of Serbia, the state leadership, every dinar, to point to what's most important right now, and that's the fight against the crown of the virus. Fortunately, you've walked, Mr. President, changed the dynamics, so today, after the debate in particular, we'll have a session that's scheduled for something later. I do not think that the proposals have properly seen the intensity and have not properly seen the priorities that are intended to be achieved by amending and supplementing the 2020 Budget Law. Priority number one is certainly a battle against the crown virus and this is today a national state issue. You said, Minister, in response and in the discussion that it stands out for the new Kovid hospitals, for the restoration of the old Kovid infirmarys, for new hospitals in Belgrade and in Kruševec, you said it stands out for sanitary material and equipment, greater payments for the Health Insurance Fund. You said that as a form of respect for healthcare workers, who today are Serbian heroes, they will receive 120,000 dinars of one-time aid of 10,000 dinars and that on January 1, 2021, they will be the priority when we discuss wage increases and that is certainly Serbia's priority today. So, to preserve the health of Serbian citizens, when I say Serbian citizens, of course, I also think of national minorities because they live in the Republic of Serbia. Where are representatives of national minorities being treated? In the same hospitals as the citizens of Serbia. Look at how much we pay, each of us, health insurance, and how much it costs to treat the world, how much it costs for the best medications, for doctors, for respirators, food, everything else, it costs the state budget, but our goal is to make sure that the equipment is the best quality, and that the clinical centres are even better. And that is the priority task of amending and supplementing the 2020 Budget Law. There's no room for any division. I do not diminish or minimize the importance and importance of the topics that colleagues are talking about, but at this point there is no room for such a kind of division, nor has anyone been discriminated against. If we're talking about health care, I think there's a doctor here who works in clinical centres. There's a colleague, Vlad Tasic. I don't know who else works at the clinic. I, for example, have one question – did the Clinical Centre of Belgrade sign an agreement, for example. with a hospital in Novi Pazar and do doctors and healthcare professionals from the Clinical Centre of Belgrade go to Novi Pazar? Do they treat only Serbs or other representatives of national minorities there? Well, of course they treat all the citizens. Does that cost the citizens, does that cost Serbia? Of course it must be paid from the Republic of Serbia's budget. This is just to point out priority number one and question number one when it comes to amending and supplementing the Budget Law and that through this issue absolutely no one is discriminated against in Serbia. Priority number two, directed towards the most sensitive categories at the moment. There, above all, I think -- to preserve the level of employment in Serbia, to ensure the existence and living standards of citizens and the economy of Serbia, the private sector as the future, and there are also representatives of national minorities in the private sector and in the economy. Don't tell me that only Serbs are representatives of these sectors and that they run private sectors, in fact, that they have private businesses in Serbia. Capital investments, of course, have shown in a realistic way how much it is necessary to allocate it for capital investments, because without capital and public investments, without infrastructure projects, there is no economic development. And if we have economic development, growth and development, it will not only affect Serbs, but all those living in the Republic of Serbia. They're going to repeat something we talked about during the debate in principle. The whole world is facing the biggest health challenge right now. I really don't notice in any country in the world that any political option, which comes from the ranks of the opposition, is competing with its government or the president of the state. There is no time, no place, no space, and there is no chance of any political monologues, because everyone realizes that we have one common goal and that we have only one common task and that is why it is important, again I say, not to diminish the importance and importance of the topic that colleagues have talked about and I believe that when they deliver the programmes, we will discuss it through the 2021 budget, but let us put the policyisation of the topic that we are talking about today where it belongs, in quarantine. There will be time and space to conduct political dialogues and that every political option, each parliamentary group shows what it is worth. Thank you.
ParlaMint-RS_2020-11-12-0.u686	Let me just ask, on what grounds? (Enis Imamovic: Replica. Like a replica on behalf of a group, I presume? (Enis Imamovic: at the exhibition. ) Since you are not an authorised representative, Selma is the authorised representative, so you cannot contact while Selma is in the O.R. After Selma Shaip Camberi, then you. Don't let us play here now, take out the cards. Therefore, if anyone wants to report for the replica you have Selma, you have Shaip Kamberi. Here you go.
ParlaMint-RS_2020-11-12-0.u687	I don't know if it's been a practice in this House so far for only one amendment to be rebalanced and there's no solidarity with it. I asked a question that I didn't get an answer from the finance minister about the return of the co-ordination body, nor did I politicize, nor did I say it would go to this community or that community. If I need legal advice, I believe this assembly has legal teams that I can ask for. There's no need for someone to give lectures here at the session. I am waiting for a concrete answer - is there any possibility that 50 million for capital projects can be returned to the co-ordination body of the Government of the Republic of Serbia for the municipalities of Presevo, Bujanovac and Medvedja? I'm saying this for a reason because we were solid at the time of the pandemic. Bujanovac municipality has donated more than 10 million of its funds or donations to the House of Health in Bujanovac, but has suspended capital projects. If we heard the story the day before yesterday that financial Serbia is better than many countries, not only in the environment, but also in Europe, then I see no reason to go right where the funding is being abolished. Thank you.
ParlaMint-RS_2020-11-12-0.u688	Thank you. I'd just like to ask you not to abuse what I want to give you all my word. You're the one who picked up the line. The replica refers to the previous speaker, which is Djordje Milicevic. You didn't even mention him, not just him, but nothing he said, but you talked about your subject. It's all right. You have as much time as you want, report in accordance with the Rules of Procedure and act as prescribed by the Rules of Procedure. If Mr. Imamovic shows up by the Rules of Procedure, I'll have to delete the list, so re-apply. Here you go.
ParlaMint-RS_2020-11-12-0.u689	Thank you, Mr. President. I'm advertising a breach of the Rules of Procedure in Article 104. "If, in his presentation at the session of the National Assembly, the MP who is not a member of the same parliamentary group is offended by his statement, stating his name, last name, function, or misread his presentation, the MP shall have the right to reply." So we here in response to my exposure and reaction to our amendment could hear various insults. That it was politics, the charge of demagogy, and that we were to blame for having filed one, turned out to be the only amendment and because the Assembly had to work one whole day for that amendment. I'm sorry, gentlemen, it's not my fault that only one amendment has been submitted to this bill, the Budget Law, one of the most important laws in one country. This may have something to do with the state of democracy in the country, not with members of minority parliamentary clubs. We've heard here that we're being challenged by the right to submit an amendment. Please, some have dared to write an amendment to the budget under which they predict that the budget is financed by their current affairs, their fundamental constitutional and legal rights, the identity rights guaranteed by the Constitution. Please, we dared to submit the amendment and we are charged with it. During this address, you could hear a lot of things and talk about health care. If we're talking about health care, colleagues, if we're talking about health care, look at the state of hospitals in Novi Pazar, Tutin, Prepolje, etc., etc. And why doctors from Belgrade have to come to Novi Pazar, so we have a doctor, too, we have an expert. We didn't ask for doctors from Belgrade, we asked for conditions for our doctors in Pazar to do so on their own.
ParlaMint-RS_2020-11-12-0.u690	So I don't break the Rules of Procedure, you're out of time. Since you've advertised a member of the Rules of Procedure about the replica, I've just explained it to you and I'll explain it to you again. In accordance with Article 39. The Rules of Procedure of the Group of MPs may authorise one member to represent a parliamentary group for a certain item of the agenda and which assumes the authority of the president of the parliamentary group. So, you could have reported for the replica as a National MP, and on behalf of the MP group, you couldn't. So, if you're satisfied with this explanation, please, and if you don't state whether you want to make it clear to the Assembly in the voting day. Enis Imamovic: Yes. Thank you. On what basis are you answering, Mr. Samir? Are you looking for a replica? (Samir Tandir: Djordje Milicevic mentioned Bosniaks. ) Mr. Milicevic is raising the Rules of Procedure, so I assume it's according to the Rules of Procedure. The word then has Milicevic, but I have to delete the list, so Mr. Milicevic can re-apply. Here you go.
ParlaMint-RS_2020-11-12-0.u691	Thank you, Mr. President. Article 27. - The president of the National Assembly takes care of the application of this Rules of Procedure and I want to point out, you explained why you did not give the right to reply, I fully support it. I'm not asking the People's Assembly in voting day to make a statement about the alleged violation of the Rules of Procedure, but I have to point to the following. The breach of the Rules of Procedure, it is not disputed, each of us may request a breach of the Rules of Procedure, but the moment the breach of the Rules of Procedure was committed. It certainly can't be after you expose your colleague Camberi, because if you do so after you expose your colleague Camberi, then it turns out, Mr. President, that you hurt the Rules of Procedure because you gave a word to the MP Shaip Camberi, which is the procedural thing. The second topic is that a colleague took advantage of the breach of the Rules of Procedure, so he replicated through the breach of the Rules of Procedure. Of course he had no basis for replication and of course all that was said through the breach of the Rules of Procedure was not true. I didn't say that anyone in this assembly disputed the right and didn't allow anyone to submit the amendment. On the contrary, I said that it is legitimate for every MP to submit an amendment. I didn't say -- we have to sit for one amendment, no, but you didn't come to an agreement, at the College, when we talked about Parliament dynamics, so we walked, because of your lack of experience, had to change that dynamic, and made a parallel, which would mean we didn't do it. I didn't mention you, and you're not even my basis for replication. I was speaking in general about the amendment and I was talking about the priorities of the Government of the Republic of Serbia, and my colleague was talking about discrimination, my colleague was talking about dealing with representatives of national communities...
ParlaMint-RS_2020-11-12-0.u692	George, since the time is up...
ParlaMint-RS_2020-11-12-0.u693	That's not my word, but I realize that there's a need...
ParlaMint-RS_2020-11-12-0.u694	Which member of the Rules of Procedure do you advertise?
