Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-3	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q237522	Wallström, Margot	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-81	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-83	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4948092	Finstorp, Lotta	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-86	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-88	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-91	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-97	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-104	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-108	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-112	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4980571	Stockhaus, Maria	F	-	
ParlaMint-SE-en_2017-09-29-prot-201718--13	i-14405a77741c0591-115	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 13	2017-09-29	Unicameralism	2017/18	-	-	2017/18--13	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
