ParlaMint-IS_2018-03-22-43.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2018-03-22-43.u12	To prevent misunderstandings, the president states that this is a meeting at the General Assembly, not the Independence Party meeting.
ParlaMint-IS_2018-03-22-43.u13	A respectable president. A great deal has been discussed in the case of Haukur the son of Hilmarsson, who has disappeared, but last spoke to him in the province of Afrin, Syria. The case should be the highest. Minister well aware, he has had it for the treatment of his Ministry for the past few weeks. In my first request to the Minister, I would like to concentrate on the treatment at the highest level. Minister and Ministry on the Haukur case. On the one hand, I'd like to ask about the highest level of communication and information. Minister and Ministry to Haukur's family. On the other hand, I'd like to ask how the highest. A minister has applied himself to the international affairs of Haukur's case. The closest members of Haukur's son Hilmarsson's camp have no clear right to be well informed of the work done within the Ministry as well as in other authorities to find Haukur. This right has been repeatedly confirmed by the European Court of Human Rights, based on Article 2, 3, and chapter 8. European Convention of Human Rights. So I want to ask the highest. Minister: How is it that Haukur's family needed to contact the Ministry on their own two days after word of the alleged death of Haukur? Why is that so? A minister himself did not contact Haukur's family until a few days thereafter? Second, a minister received indications from the U.S. Marshal's International Department of Police to use traditional diplomatic means to locate Haukur on March 8 There, the International Department referred to such methods as these to have proved to be the best of action for other nations. So I ask, "When did it start? " Minister, direct contact with his colleagues in Turkey? How is it that for more days, this comment came out of the U.S. Marshal's Department?
ParlaMint-IS_2018-03-22-43.u14	A respectable president. All routes have been sought to reach the end of the son of Haukur Hilmarsson. We have stressed the importance of working closely with the pain - stricken neighbors of Haukur. On the first report received on March 6, we consulted with the U.S. Marshal's International Department and Iceland's deputies in the area. Formal assistance from Haukur's family arrived on March 7, and the matter was placed in full priority, with a unique issue being discussed. At that time, people in the region and several countries who have experience in similar matters were consulted. As soon as it was reported that Turks might have been held by Haukur, Tyrki was contacted through the embassies of Turkey, in Oslo, the highest representatives of the Turkish government of Iceland, and had the Icelandic and Turkish government, including the military authorities, been in constant contact on different means from that day on. To set matters straight by the government, the matter has been adopted by the foreign minister, secretary of defense, and the family minister of Turkey. There has been confirmation that Turks did not hold Haukur and that he will be sought among the dead and wounded in the area. However, other data are not available. Civil service employees are the most skilled employees of foreign services to handle matters like Haukur's case because of their connections and experience. In addition, about 30 people have been approached by Haukur, which corresponds to more than 10% of the total foreign staff. Haukur's case has been carefully covered. We're all on the same team and we're trying to find Haukur. Our friends have been contacted to learn how similar civil services are handled. The last time, a prime minister wanted to assist the German government at his meeting with a German chancellor. All have warned that the situation is extremely complex, difficult to obtain, and even harder to provide help. Governments with representatives in the area have also agreed to assist in the search but have not yet received conclusive confirmation of the survival of Haukur. In these countries, including the North countries, their citizens are traveling for their own responsibility in areas where governments warn against visiting, and they cannot expect assistance if anything happens. [[The president calls.]] We are not guided by standards. We will continue to do everything we can to find Haukur. Yet, our power and ability are limited. I'll take a closer look at that as a dog. A senator asked about my answer in later years.
ParlaMint-IS_2018-03-22-43.u15	Mr. President. Yes, thank you very much. Minister for the answer, hoping to get further explanations of activities at the highest level. Minister himself to discuss with Haukur's family, in his second answer. But that's a short answer, and I have another question to the highest. Minister. It reverses the attack by the Transitian Citizens of Northern Syria, subject to the inconspicuous name of the olive branch operation, or its operation, or the operation of the Ozone Operations Olive Branch, and is carried out without the approval of the United Nations Security Council. They state the silent approval of most NATO nations but now the German chancellor has condemned the attacks. So I want to ask the highest. Minister: Does he view an illegal invasion and attack by Tyma into Syria and at Qurda as the establishment of the United Nations? If a minister agrees with me that this is so, do not Ministers count a cause to condemn this invasion and take the best possible action against the local warfare activities of Turks, the field of NATO as well as the rest of internationally?
ParlaMint-IS_2018-03-22-43.u16	A respectable president. I'm going to keep on trying to come to the answers to the questions that arise. A senator came with us. When it comes to telephone calls with the Minister, timing is key and it is important to have tried other options before, including to the very essence of such conversations. Thus, the Ministers were well informed, and it was evident that information had been sought on the basis of previous contact. We were immediately informed that the application would take time. Although this is not the custom of neighboring nations, I would have felt that the importance of the matter was addressed directly to Turkey's foreign minister and secretary of defense. In the case of Turkey's actions in Aphrin, the government criticized the military action of Turk against Syria, Syria, just days after it began on January 20, 2018. This was done directly to the ambassador of Turkey against Iceland, followed by a foreign - language committee.
ParlaMint-IS_2018-03-22-43.u17	Mr. President. The nature of our land is a resource in itself, and it involves something of great value to the nation and the whole world. Thus, our obligations to nature and responsibility are great. The left movement's policy of green bid is hidden, including in that there will be national parks in the middle of the highlands and in the high areas of the West. The policy of the government on these topics is presented on page 23 of the government covenant and stated only in these matters about the establishment of a national park in the central highlands. Mr. President. I do not question the importance of dropback security on the West, but it does indicate that other pathways are capable of ensuring the inhabitants of the West from a safe supply of electricity, but that the massive damage to nature by activating the Whale on the Coast. So I ask the highest. Prime Minister: Is it safe to believe that a government led by it lets nature enjoy the doubt and that the uninhabited areas of the Western highlands are protected from the influence of the production of Whales in the Beach?
ParlaMint-IS_2018-03-22-43.u18	Mr. President. Thank you. A senator for this inquiry on the challenge of Whirlwind and natural beauty in the highlands of the West. A senator agrees completely. I must recall, though, that Investigation was organized into a new frame plan, with the second step of a frame plan, which was handled here at the General Assembly, if I recall the proper meeting of 2012-03/2013. Then the General agreed. A candidate knows the work process, so activation options are put down in protection, waiting, and use, and the process is always an advantage. Then, like a dog, it will take over. A senator knows that if a decision to use is made to attack the environmental impact assessment, it is the local government to take a stand on the implementation of the Agency when it is evaluated. I've said it here, and I haven't changed my mind that I've expressed concern that once the Allegorium passes the category of activation options, it's actually a significant work in assessing environmental impact, but the Council will not be able to make that decision again. The career we've agreed on here is this. In view of what happened. A senator here mentioned, what if an assessment of environmental impacts even produces negative results in many joints, is normal for rural management, as is currently legal, to be undertaken only, or should some other process take over? However, there is a much larger question than this specific activation option. It really matters how we make decisions in general about protection and use. Personally, I think it would be normal for us to take this into consideration because we've had this conversation before, not just about Whaleting, we've also had this conversation about activation in the lower part of the Red Sea, where we have quite some doubt as to how the wild salmon population will affect the wild salmon population, which is not really under the opinion of the project management framework. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2018-03-22-43.u19	Mr. President. Thank you very much. However, the minister's reply I allow to say that I had hoped for a more meaningful support for this important subject. I'm gonna allow me to quote the Organization for the requested procedure, with the permission of a president: The EEA has concluded that the main environmental impact of Indural Implementation lies in the vast decline of wild areas and the change in shape of the projections and landscapes, where natural environments are made in large areas. Later, says: ▪ According to the National Institute for change, the impact of Investigation on appearances, landscapes, and landscapes is highly negative - I reiterate, severely negative - ◯ despite counter-important measures. I also allow myself to quote in Snorri Baldursson, former chairman of the Land Protection Agency and author of the German newspaper of Iceland. He says, with President's permission: ▪ Is there anything that works for the Westerners by linking from Hvalá to Geiradal for the Nautilus at Isafjörður? And it points to the development of an automatic backup station in Bolungarvík, etc. and says that much of the past is quoted when a small amount of electricity security is discussed on the north side of the West. [[The president calls.]] I reiterate my admonition to the prime minister that on her watch this important natural disaster will be protected. [[The president calls.]]
ParlaMint-IS_2018-03-22-43.u20	Mr. President. Thank you. A senator for the pep talk. What I came to see in my previous answer is that we've agreed on a certain legal environment and a certain career. We must realize that when we are dealing with these issues, we need to respect the laws and frameworks established by the Council itself. It calls for discussion, I think, here at the General Assembly, if we want to change the frame and procedure we've set. I can have my opinion on it, as everyone knows, when it was suggested that it go to a novelty party, just so I'll rip it up here. At the same time, I respect the fact that the greater portion here at the Council has come to a definite conclusion in this matter. Then I laugh less. Of course, a senator's priorities in this government are to ensure that there is safety and to make better use of the electricity we have in this country but that we are not using it the way it should today by trusting in the lines. It doesn't necessarily need new continuum transfunctioners. I think we're gonna do what. A senator would agree. [[The president calls.]] They need to see how we can better use the energy inside the system. That's the priority of this government.
ParlaMint-IS_2018-03-22-43.u21	Mr. President. Like other members of the council here today, I would like to make conclusions about the Independence Party's discovery, although there is no way to disseminate from the meetings of the local senator, as it were. The secretary of finance made a subject earlier in this question period. The findings of the Independence Party's National Conference of the Last weekend state: The suicide party rejects further expeditors of the European Union's dominion over the European Union's energy market. In a press movement following this resolution and the declarations of the Independence Party to the Norwegian media, it could be understood that this conclusion meant that the Independence Party, and indeed, according to the claims of the senator of the overwhelming majority of the council, did not support the implementation of a European Commission on the common energy market, despite the fact that this Regulation was adopted in the European Economic Area and the current Supreme Court. Secretary of state, and expected to arrive at the present and present supreme. Professional minister, both Ministers of the Independence Party. In fact, the recording went a little quiet, but it came into the contract in May of last year. In view of this and the fact that I am aware that the Norwegians were spending considerable time in leading this recording to protect Norway's interests in this case, and in these words, I would like to ask the highest court of the Norwegian Council. Financial Minister: What measures, if any, made ministers to protect Iceland's special interests before the above regulations were taken up in the contract? And in view of these statements: Does the Independence Party support the decision made on the recording of the aforementioned members of the EEA Convention by the then and present members of the Party? [[The president calls.]]
ParlaMint-IS_2018-03-22-43.u22	A respectable president. Here are some very important issues. First, when it comes to such a matter at the General Assembly, the last word is the matter. It is the priority man makes in the European partnership, that he does not have a administrative warrant to commit Iceland to his contract table in Brussels, without the presence of the General Assembly. That's the main thing about the warnings. Second, it is a very large subject, which on the surface, possibly, is not directly involved in the Icelandic electricity market because the company of the common agency is not activated until the Icelandic market is connected to the European market. Nevertheless, let us still wonder. I think it's a very good thing to discuss just internal markets in broad context. So let us consider what we have to do on Europe's inner market to deal with electricity problems that are monotonous in Iceland, Brussels. What do we have to do with talking to other EU countries electronic energy cases off the island of Iceland? Is it a direct concern of the inner market when there is no connection? Or do we rely on making the final arrangements for the problems of an Icelandic electrical exchange to be resolved on our terms, as the Council chooses? This seems to me to be questions worthy of much discussion here at the council. Then there is a big issue in the future which rules of action should be taken if you associate the Icelandic electronic market that is not currently planned with the European and what rules should apply there. [[The president calls.]] In that case, I think it is natural for humans to cooperate in some form of cooperation.
ParlaMint-IS_2018-03-22-43.u23	Mr. President. I prefer to interpret a minister's answer or inconsistencies, as if the members' ministers had done nothing to take special care of Icelandic interests. It's a good thing to remember in this context that this is an important case, that's right, that's about our commitments under the EEA Convention. It's been several years since we took up a European electricity market in this country. It's one smell of that. When referring to a two - sided solution, it may be helpful to keep in mind, too, that this is the exact same two - key solution that was taken up on the financial market and the highest. Secretary of finance confirmed on behalf of the then government. This directive and its uptake into the EEA Convention were precisely held out for financial analysis because the decision included the exact same effective method for the electricity market; where the interests were slightly lower in the electronic market than the financial market was held. But that's why I might ask, in light, well, we can say an ever-growing review of the Independence Party and how the legs are repeatedly drawn for the implementation of the EEA Convention: Will the Independence Party support the continued value of the EEA Convention here? [[The president calls.]] Does the Independence Party support a government in which it places high priority on the careful implementation of the EEA Convention?
ParlaMint-IS_2018-03-22-43.u24	A respectable president. Just to make this last question clear: Of course we support the EEA deal, our involvement in it, and its better implementation. In this regard, we have been premeditated here at the council and have published specific reports on this subject and, in fact, foreign ministers with special emphasis on the implementation of the EEA Convention. What I find so hard to understand is interest. A senator and some of the members of the council are expected to submit to the invitation of the Common European institutions. What on earth is human beings bent on getting under the European Common Electrical Institute of Energy in our isolated country by our own electrical systems? [[Up front.]] Why on earth are people interested in ensuing the invitations of these institutions?
ParlaMint-IS_2018-03-22-43.u25	We're already under it.
ParlaMint-IS_2018-03-22-43.u26	Well, because we're already under it? That's a reason. President? Is it true that since the European Union has already been able to establish Iceland into some European institution, there is reason to go further? I think it's so fundamental that we define what's an internal market that we want to take special care of under the EEA Treaty and what are issues that are not directly linked to the internal market. [[The president calls.]] [[The president calls.]] Here we have a crystal clear example: Iceland's electricity is not internalized. [[The president calls.]] Then there are aspects of the legislation that we have already introduced that are probably continuing to adapt to the agreement. [[The president calls.]] [[Foresee, and you haven't.]]
ParlaMint-IS_2018-03-22-43.u27	Mr. President. I'm grateful that the word has become so reasonable, as I believe that the president has no choice at all. I'd like to ask you something about a written inquiry I sent to the secretary of finance on December 16, 2017, and I've never heard of it. It's important now that we're dealing with financial policy because it's about property and income in 2016 and how it develops. There is evidence to suggest that there is an increase in property differences, and this confirms various parties. When I call for financial answers, they are told that they were going to wait until July because they were going to take along too in 2017. I didn't ask for 2017. I'll do it this summer. I want to get right now - because it won't take many days - answers to how these money exchanges and property divisions were 2016.
ParlaMint-IS_2018-03-22-43.u28	V.E.G. President. All I'd like to do is ask a president to use himself on behalf of members of Congress. Today's morning newspaper continues to write about the inquiry of members of Congress. We've recently discovered that the management board has complained a little and howling about having to do inquiries from members of the council. Today's morning newspaper quotes some minister who I don't know whether he is the present or the former, who believed that the inquirys of members of Congress were often some kind of play. These queries are an important part of the Parliament's surveillance of the European Commission and support it. It is very important that the council, especially the president, send a clear message now, in view of the media discussion, from the Commission that the Council is going to back up its members to use the tools they have to provide for the Commission.
ParlaMint-IS_2018-03-22-43.u29	Mr. President. Hv. Einarsson Logi Einaro points out that he has been waiting for an answer from the highest level. Economic and financial secretary on the property and income of the people of the country. He's been waiting since December. I've been waiting a month for answers to questions about the processing of information on Iceland's property in nationalities, how to process the Panama Documents. Both questions are very important and relevant to the public, members of Congress, and the media. Then I want to agree with what. paritaprevir Gunnar Bragi Sveinsson writes on an article in the Morning newspaper that speaks of the use of inquiries by senators to keep their appearances visible. Clearly, this aspect of our work is being minimized. V.E.G. The president has in two meetings of the council groups said that members of Congress are asking too much questions. So I ask, Mr. President, is there being defended by the Commission for such delicate and difficult questions as the possession of Iceland and how do you process the Panama papers and the property of Iceland? [[The president calls.]]
ParlaMint-IS_2018-03-22-43.u30	President is forced to state that this is not a proper hearing for President to meet with members of Congress. The President has provided only detailed information on the position of inquiries, and no comment of the kind has been made that he considers them too many. On the contrary, he has reminded us that this is an important and well - protected session of members of Congress, and it is not necessarily a major concern because it is selected in a constitution.
ParlaMint-IS_2018-03-22-43.u31	Mr. President. I want to accept that challenge. paritaprevir The Council's President Logi Einarsson insists that he insists on the Supreme Court. Secretary of finance responding to the requested request. Here is a very important inquiry and answers to it give us a very clear message about the kind of community we live in and the way we are going. There is evidence to suggest that Iceland's property balance is increasing and that it was already abundant. In response to a similar request at the time, it was clear that 5% of the population have almost as much pure property as the other 95%. If we only grow this swarm, we will see that only 20% of the nation owns nearly 90% of its clean property. So 80% of the people have the rest, 10%. There's a hurry to get that information. We also see in the news how there is an inequity in increasing numbers as there are reports of 26 Icelandic bankers paying about a billion a year, one fourth of what this government is about to spend on interest. [[The president calls.]]
ParlaMint-IS_2018-03-22-43.u32	Mr. President. Yeah, I have to come up here and join up with another guy. Councilmen here have spoken of the importance of the Supreme Court. Ministers respond to queries on time and do their best to fulfill the surveillance obligation we are having at this council. It has also been said, and I have observed it repeatedly, perhaps because it is my committee, I have repeated it in the Ministry of Justice, that it does not respond at the scheduled time for memoirs, information; will deliver them even late and finally and not, without any explanation, and indeed, in a compromise with the doctrine. I want it to be directed to the highest, too. President that we are going to look for ways to have more powerful tools to bring up this information and respond when the Ministry is not repeated on its legal duties and constitution, as the president rightly mentioned. [[The president calls.]] Should we not consider on the scene of the council how we can better identify the need for the Ministry to answer those who draw back and give no answers?
ParlaMint-IS_2018-03-22-43.u33	V.E.G. President. It seems that the government system in Iceland has raised its backs because it is too much for its members to use their constitutiond right to direct inquiry to the Commission. The person here has about 20 queries left unsettled by various forms of advice. Now I understand from the Mogga this morning that it's all for demonstrations. I can claim to the U.S.R. that the need to show signs of signing is very different from where it is not here at the General by......and direct inquiries to advice on matters relating to our administrations. [[Take it up to where?]] [[Up front.]] I am pleased that the minister of finance rejoices over this, for I have him as an ally in opening up the administration, which I have requested in the repeated inquirys to him and to others. Seeing how cheerfully he is about this brings my optimism. But to tell you the truth, I'm too fed up with this kind of bullshit.
ParlaMint-IS_2018-03-22-43.u34	A respectable president. Early in 2013, I began to complain that members of Congress ask too much questions. There has been an increasing trend for the Generals to use their means of managing and monitoring the Executive Director, which may well be the case. I would like to understand the problems of others, especially political opposers, so as to understand more fully how to compromise. I can understand the problem that there's too much to do. As a senator, I understand how often you are not expected to have time for the work. But then you complain that you don't have enough time, and you complain that you don't have enough staff. But you don't complain that the Allied council has its own surveillance role too well so that the government can handle it. That's a ridiculous statement. He was a terrible 2013, and it's a terrible thing today.
ParlaMint-IS_2018-03-22-43.u35	A respectable president. We're coming here with the computers, the Pirats. But when this discussion comes up, I start my program showing a number of respondents and unsatisfactory queries. The answer has now been made to 81 for this council, and 141 remain unsatisfactory. However, the unrequired queries have a mean duration of response of 16 days during the average duration of the active day of 24 days, which is only better than, e.g. In the 146th legislature, where the average answer time was 39 days and 145, with a mean response time of 38... it's been a long time since, I could drive it through afterwards, no problem. [[What about 123?]] But this is probably longer than expected in the Senate. I've mentioned earlier that we need to see if there is enough money to do so. Or are we demanding too much from the money we put into it? Should we, then, extend the time, or should we give more money so that questions can be answered at the right time?
ParlaMint-IS_2018-03-22-43.u36	Mr. President. I just want to talk about a lot of inquiries and the debates that have been going on with them, that they cost so much, it's so time-consuming, and they take so much of the time of employees in the plots. This has especially been the case. A senator who is overindulging in his duty to conduct this council. I have a feeling that this is the time to fire at the council members who have been most diligent in giving the Commission support and I don't like receiving repeated messages from the councils that they don't hold back from answering our questions and that somehow we might be less able to provide the Commission with us if we don't drag them or do not respond to them in any way. I have a feeling that we should be pulled out of our teeth and belittle those members of Congress who have informed us of very serious things during this council and are acting as if they are costing the public a considerable amount of money in this country while they are informing us of what we are all valuable to the public in this country.
ParlaMint-IS_2018-03-22-43.u37	Mr. President. I just sent in this mail to the council members to get us a DCC, State Reconnaissance, to do administrative work on how well the administrations, the executives, the executives, the executives, are engaged in information related to us, the council. The government itself has something to consider how it is now used in order to put the pressure on members of the council to do less of their duty to the government. These answers are natural only by getting information on what it takes to perform a surveillance role for the council, how it is handled, and whether the results are met by law. This request requires only nine members. I sent the mail a few minutes ago. It's already nine or almost done. Other senators who approve of us getting all of this on the table, from this professional, independent body of the council, and wanting to be present at the request sent me mail, please. [[The president calls.]]
ParlaMint-IS_2018-03-22-43.u38	V.E.G. President. This morning's article on our application of the Senate quotes a master essay that I eagerly look forward to reading, especially the registration. As to this essay, it says by permission of the president: ▪ In the media, according to their dealings with members of the council, it was said that inquiries were simply drowning them in a number of cases. From there, he says that he has the views that a difficult job is going to be made to answer queries that in some cases seem less than to serve a great purpose at first sight. Are we now going to set up a panel of assessments in the councils on what questions we members of the Parliament are about to ask, or what? Now it takes the highest. President to be with members of Congress. I can't afford to sit around like that. He's anonymous, he's damp, he's pointless, he's wrong. I'm supposed to be with the members of Congress in this matter. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2018-03-22-43.u39	A respectable president. It was mentioned earlier that the morning paper would appear, and we all know the political connection to the Morning newspaper, that the senators use inquiries to make themselves visible. Well, i.e. queries are designed to do things that are visible. This is why this tool is available, in order to supply information. It's the whole point, to bring up a discussion, to call attention to things, whether it's the senator who asks--Well, a lot of people hold me. It's underlying in this lawsuit that there's too much now to ask. It is based on the misunderstanding, on the delusion, that delegates in general were asking enough questions before. It is assumed that in those good old days, i.e. i. e. i. e. e. e. e. a game, a brilliant, perfunctory phenomenon that served its purpose would have worked. But our management isn't open enough. There's not enough data available. It is not easily answered, not easy enough to get information from the State. And this use of this device reflects that fact. [[The president calls.]] Then we should not respond by detracting; we should respond by increasing the authority of the State in order to fulfill their obligation to answer what the senators might ask.
