ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u1	Good morning, everyone. Since our president is a little late, I'm going to open our meeting.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u12	Mr President, Mr Ravyts, the countries mentioned in the complaint are not only the 27 Member States of the European Union, but also Switzerland, Russia, Turkey, Ukraine, Norway and the United Kingdom. The decision on admissibility was taken on 30 November. At this stage of the procedure, the Court has not yet taken a decision on the substance of the case. Belgium has just received a notification of the complaint to the European Court of Human Rights. At the moment we are in the first stage, in which the parties can explore the possibilities of a friendly settlement. Such consultations shall take place between the different States concerned in order to see whether a solution can be found between the Parties before 15 January 2021. A coordinated response between the States concerned to the questions of the Court will also be given to the parties. Six weeks later, if there is no agreement, the Court will begin the second stage in which the parties will exchange their observations. With regard to your question on the method of climate change, I cannot comment on my profound respect for the separation of powers and for the means offered by the rule of law to its inhabitants and organisation. It is a right that is available and to which we must act accordingly.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u13	Madam Secretary, I understand that you are not showing a personal view of the last element here. Perhaps you will do so on the social media, because that is a bit common in this country for politicians, including top politicians and ministers. I look forward to that, but I think I already know the answer. There will be a coordinated action. You have again explained the procedure before the European Court of Human Rights. We will, of course, be following this with great interest, as this could create an important precedent.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u14	Mr President, Madam Minister, on 28 September 2020, Belgium, through the then Prime Minister, Sophie Wilmès, approved the commitment proposed to the political leaders participating in the UN Biodiversity Summit, "Leaders' Pledge for Nature". This commitment aims to reverse the loss of biodiversity, to combat climate crises, health crises and the strengthening of social inequalities, the consequences of the human impact on the environment. The same commitment implies the implementation of measures whose effects can be observed by 2030. The text of the commitment refers to a series of measures, including the development of an ambitious and transformative global framework on biodiversity to be adopted at the 15th Conference of the Parties to the Convention on Biological Diversity (CBD COP 15) in 2021, the establishment of sustainable production and consumption patterns, the reduction of land and air pollution, the sustainable management of the oceans, the development of a fair and green response to the current health and economic crisis, the adoption of investments dedicated to the conservation of biodiversity and the elimination or reinvestment of harmful subsidies. Minister, the "Leaders' Pledge for Nature" is an ambitious commitment that requires the investment of several skills and skill levels and, as such, requires time to implement effective measures. In your policy note, Madam Minister, you stress that you want to "commit yourself to developing and defending measures and policies at all levels to implement the commitment that the Prime Minister made on behalf of Belgium in the September 2020 'Leaders' Pledge for Nature'". Can you now inform us about Belgium's ambitions with regard to the measures mentioned in the text of the undertaking? Can you also inform us about the initiatives envisaged, which have to be presented at CBD COP 15?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u15	Mr President, Mr Senesael, the message of the scientists is clear. Climate change and the decline in biodiversity will both have devastating effects on our health, prosperity and well-being, as well as on sustainable development in general. These two components are mutually reinforcing. It is therefore essential and imperative to take action to address these threats in an effective and coherent manner if the vision of the 2030 Agenda for Sustainable Development is to be mainstreamed for present and future generations. We need to thoroughly review the way we consume and produce. We need to think differently and be creative. Belgium is ready to assume its responsibilities and to revise its ambitions upwards in order to develop a global framework for quality biodiversity for the post-2020 period. This is a key instrument for achieving sustainable development goals. Belgium is committed to supporting the actions of this commitment for nature. Since Belgium is fully committed to the cause of dialogue and cooperation, it will always aim to find concerted solutions to global challenges. The global emergency concerns us all. Many of the initiatives I mention in my 2021 Policy Statement and Policy Note are in line with Belgium's commitment under the "Leaders' Pledge for Nature" on which you are asking me. I take the opportunity of your question to mention some of them: a post-covid-19 response, integrating biodiversity and the environment into a sustainable vision, a recovery plan putting in place the necessary transformative changes mentioned in the pleedge, but also in international reports such as the reports of the Inter-governmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES), or the reports of the European Environment Agency, etc. All the governments in Belgium are developing together a first draft for the recovery plan. The revision of the national biodiversity strategy, in line with the EU Biodiversity 2030 strategy, and the EU's "Farm to Fork" strategy will enable us to implement ambitious measures to protect and restore biodiversity by strengthening the regional effects already in place and in the future. The BeBiodiversity Federal Strategy aims to raise awareness among citizens, consumers and businesses about the impact of their daily actions on biodiversity. This makes it possible to mobilise the different levels of society in transformative change and in the integration of biodiversity into our daily lives. The website of this strategy is accessible. You will find the address in the written reply you will receive. (https://bebiodiversity.be) Subsequently, Belgium will support an ambitious global biodiversity framework, notably by playing a key role in the preparation of ambitious European positions for COP 15 in May 2021. Belgium is also developing voluntary commitments for the implementation of the Convention on Biological Diversity. This idea of voluntary commitments comes from a COP 14 decision that invites parties to consider the development of voluntary commitments. These commitments will focus on two key topics for Belgium: developing the blue-green network in and around cities to enhance biodiversity, and making Belgian production and consumption more biodiversity-friendly. These axes were chosen in consultation with the Regions and the Federal Government, because of the high degree of urbanization in Belgium and the fragmentation of its ecological network, as well as the impact Belgium has on its territory and abroad on biodiversity. Each axis has five cross-cutting, concrete and quantified objectives. The idea is that these ten objectives form a Belgian framework for structuring the activities of all public and private actors and increasing their strike strength. It is a bottom-up exercise aimed at highlighting and strengthening the existing efforts of all actors in Belgium. Thus, the objectives are set through the voluntary commitments of each individual in the framework of a public-private partnership. It covers different aspects of EU strategies and actions in the policies of the government agreement, but it also reflects the priorities at federal and regional level, and there are many Belgian initiatives that support these political priorities. These voluntary commitments will make it possible to commit society as a whole to contribute to achieving the biodiversity targets by 2030. They will be presented at COP 15 of the Convention on Biological Diversity next year. The long-term goal is to implement the environmental transition and food systems in a coherent and sustainable manner and to initiate transformative change in our society.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u16	Minister, thank you for your response. I have two remarks. On the one hand, I share your determination to revisit the rising ambitions, as you have stressed, and the concerted solutions to global challenges. On the other hand, I stress and congratulate the ambitious initiatives that you have just mentioned, ranging from the post-covid response with a recovery plan to the strategy to make citizens aware of the impact of their behaviour on biodiversity through a national strategic vision of biodiversity or commitments on the blue network axis as you have just mentioned. It's a subject I'm particularly interested in. So it is with pleasure that I drink and listen to your answers. I will pay particular attention to the evolution of your concerted action with the federated entities so that this COP 2021 can have the seal and imprint of Belgium.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u17	Minister, according to the WHO, air pollution can be blamed for many health problems – heart and respiratory problems, asthma, allergies, etc. – as well as the premature death of 5 to 9 million people a year around the world, of which 400,000 are in Europe. A Harvard study revealed a few months ago that a high air pollution rate could be related to a significantly higher mortality rate in people with covid-19. It should be noted that this study could be corroborated by an analysis by the Italian Society of Environmental Medicine, which draws the same conclusions, based here on the comparative observation of epidemic curves and pollution of provinces with significant pollution to fine particles – especially those in the Po Valley – and others, rather spared, such as the provinces of southern Italy. More recently, the study Regional and global contributions of air pollution to risk of death from VOCID-19 published in Cardiovascular Research pointed out – based on epidemiological data from American, Chinese and Italian studies – that long-term exposure to air pollution had contributed to the disappearance of about 19% of people who died as a result of covid-19 in Europe. In particular, the study estimates that air pollution can be attributed to the loss of approximately 21% of those who died of covid-19. Madam Minister, asked about this last April, your predecessor said that "the epidemiological evaluation of the collected data is so far insufficiently documented (...), that a period of retreat is necessary, but that a correlation between air pollution and the level of mortality due to covid-19 in Belgium seems possible". Can this correlation now be attested in our country and, more specifically, in certain geographical areas? If so, are you considering specific measures in the immediate future or, in any case, in the future?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u18	Mr Senesael, the literature refers to work that has shown that fine particles carry coronavirus. Early indications of increased sensitivity of vulnerable people in the presence of particulate matter and worsening of symptoms have been reported in several publications. On 12 July, WHO reported on the need to take into account these likely correlations between air quality, particle concentration and serious symptoms of coronavirus infection. On 27 October, the study you mentioned and the communication from researchers at the Max Planck Institute, based in Germany, quantified this correlation. To avoid any misconception, I repeat the statement of the European Cardiology Society, which explains that these figures correspond to "the fraction of deaths due to covid-19 that could be avoided if the population were exposed to lower levels of air pollution, without fossil fuel or other anthropogenic emissions." The causal relationship between infection and the presence of particles is therefore still not demonstrated, even if it is not excluded. On the other hand, a worsening of other health problems that could lead to fatal consequences as a result of viral infection is established. Given the global scientific mobilization, understanding of the disease and the co-factors that influence it advances in an unprecedented way in epidemiological history. On the other hand, given the different methodologies for the international accounting of covid-19 deaths, covid-19 deaths may be underestimated in other countries in relation to our methodology. Precautions and oratory precautions of scientific conclusions are required. They guarantee the accuracy and accuracy of the statements, even if this sometimes makes decisions and communication on the measures taken very complex. As part of my expertise, I will ask my administration to reassess the environmental performance of heating appliances and fuels in order to limit or even reduce the contribution of particulate matter produced by this sector. In this regard, my administration is conducting a series of studies on the evolution of heating techniques by 2050 with a critical look at air quality and climate transition. Other studies are also being prepared to review the quality of solid fuels, such as pellets placed on the market. My policies will contribute to the efforts of the regions responsible for air quality policies in Belgium and within the framework of the NEC Directive for 2030. For measures specific to coronavirus, I refer you to the decisions of the various organs involved. For indoor air and ventilation, I refer you to the opinion of the Superior Council of Health on ventilation in relation to the infectivity of SARS-CoV-2, of May 2020, as well as to the observations of CELINE on the effect of the first confinement.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u19	Minister, thank you very much for your full and nuanced answer. I thank you in particular for the request you will make – or have already made – to your administration, and for the follow-up it will bring to you. The information will provide a better understanding of the relationship between air pollution and covid-19-related mortality.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u20	Minister, the findings of the climate report of the Royal Meteorological Institute of Belgium (RMI), published on 15 October 2020, reveal that compared to the previous report of 2015, all trends in global warming are on the rise – I think we were not surprised – and that periods of high heat are increasing in our country. Over the period 2015-2019, at least one heat wave per year was encountered, a first since 1892. The one that touched our country in July 2019 had temperatures never recorded in Belgium, exceeding 40°C. The average temperature for 2019 was estimated to be more than 2.5°C higher than that calculated for the period 1850-1900. The MRI researchers point out that, in keeping with the current trend, the increase in temperatures is expected to continue, heat waves are becoming more frequent and intensifying. In particular, they estimate that an increase of 5°C extending that of 2°C observed over the last 30 years can be envisaged by 2100. Finally, the authors of the report stress that "the financing of a structural framework for climate research and services, which formally establishes partnerships with different Regions and Communities, at both the political and research levels, is required at Belgian level", in order to meet the "increasing need for coherent climate information and services for Belgium", a need that "is felt in a social, research or political context, and in particular with regard to the expected climate change and its consequences". Minister, can we have your feedback on the elements mentioned in the MRI climate report? Are initiatives related to the petitions raised by the authors of the report being considered at the federal level? Thank you in advance for your answers.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u21	Mr Senesael, as far as your first question is concerned, I shall be brief. The MRI report shows once again in a well-argued way that we have no choice. We must reduce greenhouse gases today if we do not want to mortgage our quality of life in the future. I will take only one example mentioned in the report. In Brussels, in a highly urbanised environment, the least favourable scenario predicts that the number of heat waves will triple, that their intensity will double and that their duration will increase by half. This must of course be avoided. As far as your second question is concerned, and as I already mentioned to Mr Ravyts in a previous sitting, I understand the request made by the MRI and I would like to support and relaunch this initiative with my colleague Thomas Dermine, who is responsible for scientific policy. If the National Climate Commission (CNC) does not intend to include this point in the future national adaptation plan, I will personally defend this project. The question of how the centre will be presented still needs to be considered, but its alignment with the round tables on the objectivation of climate objectives and their evaluation obviously makes sense.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u22	Madam Minister, thank you. I am very pleased with your answer. First of all, because I am pleased that you are cooperating, in good agreement, with Secretary of State Thomas Dermine, who has scientific policy in his responsibilities. Then it's a problem that you're going to take with you, and I'm sure you're going to do a good job in this area, which I'm going to follow and support.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u23	I also welcome your satisfaction.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u24	Minister, a study by a Harvard team published in July 2019 by Science Advance has demonstrated, in the most comprehensive way to date, the causal link between daily exposure to pollution from PM2.5 fine particulate matter – particles of less than 2.5 micrometres aerodynamic diameter – and the early death of exposed older Americans. This study is quite technical. I will not repeat here the elements that were in the development of my question. I refer to the written question submitted and turn to the questions directly. Minister, the Interregional Environment Cell estimated average PM2.5 concentrations for 2016 in Brussels, Flanders and Wallonia. These figures raise questions. Do we have any information on the figures of recent years? Is there a causal relationship between daily exposure to pollution from fine particles and the early death of people over 65 years of age in Belgium? In your policy note, you point out that, given your expertise, your contribution to the essential actions of federated entities will focus on two priority pollutants, including very fine particles. Can we now obtain information about your contribution to the actions of the federated entities?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u25	Mr President, the many effects of very fine particles are well known. These include carcinogenicity, which is observed particularly in workers who are frequently exposed to diesel fumes. Sensitive populations are clearly identified. Elderly people are, of course, part of this because of the deterioration of age-related respiratory and cardiovascular functions and the loss of effectiveness of biological compensation mechanisms. From an epidemiological point of view, however, data from the last winter episode of 2017 available on the Belgium Mortality Monitoring site indicates higher mortality among those over 65 years of age. However, this excess mortality during the peak of cold and winter influenza is too moderate to establish a causal relationship for fine particles among other factors. This problem is recurrent and prevents the causal relationship between particle exposure and influenza infection. The factor that sows the confusion is the temperature that on the ground falls to its minimum during inversion episodes. Under these conditions, the peak of cold – which facilitates influenza infection – and the reversal of temperatures trap pollutants – including particles – that then accumulate near the ground. While the simultaneity of pollutant peaks and influenza epidemic peaks clearly shows a synergistic effect on mortality, it is not possible to determine on this basis which of the two factors – influenza or particles – worsens the other. Moreover, it is very likely that the two phenomena will amplify each other. This exacerbation is also observed for summer smog, when ozone concentrations and high heats combine their efforts, especially in the last summer when peaks of ozone reached new record values – the alert threshold having been exceeded in at least one measuring station. This had not been observed since 2006. This return of ozone peaks cannot be explained by an increase in pollutant emissions – which, on the contrary, have fallen – but it can be explained by an increase in climate change. The efforts on fixed installations, imposed by the Regions, such as those on products, paints and glues or petrol vehicles have therefore been swept away in less than fifteen years by rising temperatures and increasing the intensity and duration of extreme events. As I indicated to you on the occasion of a previous reply, as part of my expertise, I ask my administration to reassess the environmental performance of heating appliances and fuels in order to limit or even reduce the particle contribution of this sector. My administration is conducting several studies on the evolution of heating techniques up to 2050, always taking a critical look at air quality and climate transition. In addition, further studies are being prepared to review the quality of solid fuels, such as pellets placed on the market. We will therefore have the opportunity, Mr Senesael, to come back to this when the conclusions of this work are known.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u26	Minister, thank you for your answer. You have already dealt with my reply, since we will meet again on the occasion of the conclusions of these studies.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u27	Madam Minister, the report of the High Council for the French Climate published on October 6 reveals that, while the figures for emissions produced on French territory have decreased by about 16% since 1990, those for emissions produced abroad to meet French domestic demand have increased. These figures now exceed those of direct emissions and represent 53% of the country's carbon footprint. On a carbon footprint of 11.5 tonnes of CO2 per capita, the share of imported emissions is 6.4 tonnes of CO2. This significant increase is mainly due to the increase in consumption of goods and services produced mainly abroad, in the countries of the European Union and particularly in Asia. The Federal Bureau of the Plan pointed out in September 2017 that the data on greenhouse gas emissions from the production of goods and services consumed by Belgian residents far exceeded the data on emissions from Belgian production. The first were assessed, in 2007, at 145 megatonnes of CO2 equivalent, the second at approximately 110 megatonnes. This difference was estimated at 30 megatonnes. Where domestic production emissions decreased from 121 megatonnes of CO2 equivalent to 110 between 1995 and 2007, total emissions increased from 138 to 145 megatonnes over the same period. Minister, can we have your feedback on the figures and your point of view on the issue of imported emissions? I know that I have already asked this question in the discussion on your general policy note, but in my opinion your answers were not up to your ambitions. The Federal Bureau of the Plan stated in 2017 that "the detailed data required at Belgian and international level (...) are only available for the period 1995-2007". Can we now estimate precisely the proportion of imported emissions from Belgium's carbon footprint?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u28	Mr Senesael, I had indeed asked you to re-ask questions when you were not satisfied with the answer – which I can quite understand. You're right. Both our consumption patterns and our production patterns are, in the context of globalization we know, essential levers for achieving the climate objectives established under the Paris Agreement. The precise measurement of the carbon footprint at national level is, methodologically speaking, a particularly complex exercise, since it is, in theory, a question of assessing the carbon content of trade in all the goods and services we carry out with the rest of the world, which amount to more than three quarters of our country's GDP. In addition to the difficulty of operationalizing this "consumption" approach, our European and international obligations are formulated on the basis of a territorial accounting of national emissions. Thus the greenhouse gas emission inventories that form the basis of our international and European commitments are based on the location of emissions. We're talking about a territorial approach. That being said, as you suggest in your question, the carbon footprint indicator is particularly interesting, since it allows us to assess the evolution of our carbon imports. As such, I look forward to the results of the update exercise planned by the Federal Office of the Plan in the course of next year. In any case, the carbon footprint of our imports will have to decrease. Indeed, whether these imports come directly from our main trading partners or even indirectly from more distant partners such as Asian countries, these economies now clearly also aim at decarbonization. Our direct neighbours are like us in the European climate neutrality framework by 2050. China recently marked its desire to become climate neutral before 2060. Many other countries in the world have shown the same ambition and the election of Joe Biden as President of the United States will strengthen this momentum. Next, our carbon footprint must decrease, through a gradual transition, to a circular economy. This is an essential element on which we must and can act directly. Sharing economy, functional economy, recycling, etc. are concepts that we need to implement in practice and that will affect both our consumption patterns and our production patterns in all sectors. Finally, these new forms of organization of our production and consumption are also likely to increase our resilience to different shocks, whatever their nature. The development of short circuits is the best example. It is therefore in this direction that we must evolve. In this respect, the recovery plan we are setting up at national level is a great opportunity to launch these transformations at all levels in Belgium.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u29	I am twice very satisfied with your answer, at least this time, minister, for specific reasons. I'll mention two of them. First of all, I think your approach and the ambitious tenacity that I invite you to continue to demonstrate to the Federal Planning Office is to have figures for 2021. I think we need to build on something we can verify and measure. Then you put forward a territorial approach. Emission locations are a parameter that needs to be taken into account and that needs to be well known. Indeed, both in the circular economy and in the short circuits you quote, it is obviously necessary to be able to carry out concrete actions. The assessment of our carbon footprint in terms of our imports may give rise to behaviour that will have to be adapted to the situations that will be analysed. I think we can make it easier for citizens to adopt behaviours when they know why these behaviours need to be adopted. I would therefore like to reiterate my thanks.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u30	Madam Secretary, as you have seen, the city of Antwerp has announced its climate plan in recent days. Antwerp is one of the many cities and municipalities of our country, but it is not an insignificant city: it is the second largest city in the country, with an important impact by the industry and the port. In that sense, it is very important to look at the climate plan of that city. One of the things I have heard, though remarkable, was the appeal to the federal government to also work on a tax shift within the energy costs. We all know that there is a very high tax burden on electricity today, which is much less the case for gas, fuel oil and other energy sources. Hence the call, because it would greatly help with the Antwerp climate plan. Madam Secretary, is there any intention to change this unequal pressure? Do you consider the social effects of an energy tax shift? Do you see these changes within your proposal on the carbon price, or are those two separate files for you? Or are you aiming for one major reform in this respect?
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u31	Mr Verduyckt, it is an old great that we are mainly taxing electricity in our country and in the Länder and less polluting fossil fuels. However, electricity is becoming ever greener and we need them in many climate solutions such as heat pumps or electric transport. So it is one of the issues that needs to be addressed if we are to work towards a greening of taxation that already evolves the implicit CO2 tax on different energy sources towards the same level. For the sake of clarity, this may also mean that the levy will be reduced for some energy carriers, such as electricity. This has often been called for by many stakeholders and has been addressed on several occasions in the climate and energy policy recommendations. As mentioned earlier, the Minister of Finance will take the initiative for tax reform and will work with me for greening. As I pointed out in my policy letter and note, we take into account European developments, because both a revision of the Energy Taxation Directive and a review of the climate policy architecture with a possible expansion of the EUTS is ahead. It is crucial that we move towards a coherent and thorough reform that accelerates the energy transition. It goes without saying that we are aware of the social consequences, but also of the purchasing power of our families and the competitiveness of our companies.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u32	Madam Secretary, thank you for your reply. For me, a climate plan has two important objectives: either revenue for the State or control of consumer behaviour. This is the main issue in this dossier. This is, of course, never easy, as we have seen in the reactions to your plans regarding the carbon price or the file on the Brussels city toll. We see the reactions of the people and politicians to this and we see how difficult it is sometimes. We absolutely need the courage to take steps in this area, even if it will not be easy. You can certainly count on us. I hope that you will involve Parliament in your plans, which will have to be quite extensive. We are certainly ready to help.
ParlaMint-BE_2020-12-08-definitief-55-commissie-ic311x.u33	Mr President, Minister, the EU Emissions Trading System (ETS) was also discussed during the debate on nuclear power plants. Any additional CO2 emissions should not be a problem in themselves as they fall within the ETS system. However, there are some reservations and I would like to ask you the following questions. How do you view the current functioning of the ETS system? After all, it seems that emissions from new CEEC plants will be fully compensated under the ETS system, but we must also dare to say that Europe may need to reduce the ETS ceiling a little faster. Are negotiations on this subject planned? Do you have a view on this and say that our country should help to promote this more rapidly falling ETS ceiling at European level?
