ParlaMint-BE_2020-06-16-55-commissie-ic208x.u1	Written copies of the Minister's presentation are available.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u12	Mr Van der Donckt, I can confirm that the 906 million commitments and 903 million liquidations relate to the first billion. We have taken these appropriations from the first tranche. For the time being, the first tranche is not yet exhausted, as a few hundred million are available. However, I have told you that a second instalment is planned to deal with almost $992 million for decisions that have been taken and serious requests made by the services. For technical reasons, it is important that I be ready and that an envelope be provided to meet these credit requests. When I add up the two amounts, I reach 1,896 billion euros. But in the second part of my presentation, I told you that the figures are not yet firm and definitive. The best example is the question of the cost of the Rail Pass, for example. It is of course an amount which was calculated by the SCNB on the basis of the price of a ticket granted to a number of Belgians, who would claim it, to which the costs of mailing should be added. At the same time, I am replying to Mr Gilkinet: this calculation by SNCB has not yet been validated. I simply took the SNCB figure and included it in the provision. If the government decides to grant a lower amount, we will adjust or not. But I must ensure that there are sufficient appropriations, because obviously an amount will have to be paid to SNCB for this service. This is a complex task of anticipation. I do not hide from you that many decisions have been made within the space of fifteen days, and we must be able to quantify these decisions and assess their implications. On the other hand, some decisions were not taken when we had, despite all these figures, forecasted them. As far as consultancy costs are concerned, the amount of EUR 3.788 million I mentioned includes approximately EUR 2 million in consultancy costs. The details of these consultancy costs are also shown at the bottom of the table (Deloitte, Solvint, Purchasing, Cronos, Purson and Imars are all consulting companies). You should ask Mr. De Backer, because he used these consultants to help the medical equipment pool. These consultants were therefore alongside his procurement team, composed of staff from different departments. The assistance of these consultants has often proved useful in the purchase of certain products from Asia or the United States, for example. That is why the amount of EUR 2 million referred to above has been used! On the other hand, I have no idea why the amounts of EUR 2 million and EUR 3.7 million are different, but my colleague may be able to provide you with an answer.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u13	We tried to target maximum spending and put in "Miscellaneous" other small expenses that may be other transportation costs. We wanted to be very precise in what was masks and outfits. In the "Miscellaneous", we put some transportation costs and everything that was consulting. It's always the disadvantage when you put "Miscellaneous", you don't always have to do an arithmetic by saying that there are other special things.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u14	[[...]]
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u15	Two million consultancies and 1.8 million other expenses, mainly transportation. Mr Van der Donckt, all the costs of testing, especially tracing, do not fall to the federal government but to the regions. For example the support of the tracing platforms are paid by the Regions and you will not see these fees appear here. On the other hand, what appears here is the purchase of the tests, the testing equipment. The testing was done in hospitals and these costs are not charged here. This is only about the equipment. Let me remind you that I'm doing a job of gathering information. Ministers are responsible for their expenses. This allows me to answer a question from Mr Gilkinet on the application of public procurement. Ministers are competent to award contracts and engage the State with third parties. They are called primary authorising officers. The Royal Decree of 3 April 2017 provides, however, that for certain important expenses, it is for the Council of Ministers to decide on the method of awarding contracts. I confirm to you that there have been ministerial decisions for certain contracts and that all other expenditure is regulated by decisions of the Council of Ministers a posteriori because it was necessary to pass the contracts quickly. The same Royal Decree provides that the Minister may delegate contracts within his administrations, which are called secondary authorising officers, where execution and monitoring is usually done through contract documents. It was the ministers who made use of the contract within the budget limits and the thresholds set. Mr Leysen, I am sorry that I do not reply in order, but in this way I can tell you that we have continued to apply the rules of budgetary prudence in current affairs. In other words, it is a huge job because we have the urgency, on the one hand, and on the other hand, the prudent business rule that continues with Circular 2018. We have therefore continued to apply these rules of budgetary prudence. I would remind you that the threshold of the Council of Ministers is EUR 70 000 excluding VAT for contracts awarded under negotiated procedure and EUR 130 000 for other procedures. So we were able to conduct these two things together. I take up the list: consultancy, contact tracing, Rail Pass, mask purchases. For the masks, like you, I can only take note of the quantity – that is true – pharaonic, as you said Mr Gilkinet. So I take note. The two universities to which a study has been assigned – this is a vaccine study – are the University of Ghent and the ULB. Finally, to conclude with Mr Laaouej, I do not have the opportunity today to confirm or invalidate your remarks. Personally, I hope that the European Commission will be able to consider that the expenditure related to VOCID will be immunised – to resume your term. I can agree with you, but I have no official indication from the Commission to date that this will be the case. I hope we will argue in this direction at European level, but I do not have the opportunity to confirm this wish to you today. Madam President, I think I have answered all the questions that have been addressed to me.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u16	There are no other questions. Mr. Minister, I think your clarity and transparency have gone a long way. We will continue with the continuation of the oral questions.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u17	Mrs Houtmeyers, so far several initiatives have been taken to improve payment behaviour. A first initiative includes the further digitisation and automation of the invoicing process with the introduction of the Vendor Invoice Management module, which allows electronic invoicing. This initiative enables the FPS to make greater use of the possibility of processing invoices automatically, which aims to process and pay them within the prescribed time limit, as provided for in the European Directive. A second initiative aims to encourage the FPS to book the acceptance of the ordered supplies and services before the invoice is due. The VIM project introduced the GMO or Valued Goods Revenue. The GMO transfers the invoice to the goods receipt at the moment of receipt, making the importance of properly exported goods and/or services receipt crucial in the billing process. A third initiative concerns documentation and communication. As part of the implementation of the VIM project, a communication campaign was organised for the FPS, with a clear explanation of the applicable regulations and how to comply with them by using the existing tools within a FPS. As timely payment of invoices is a major priority for the government, I recall a decision of the Council of Ministers of 20 March 2020 on measures to support SMEs and businesses in the context of the corona crisis. This decision provides that the federal authorities will make every effort to pay the invoices in the framework of their public works, supply and service contracts as soon as possible. In this context, I am pleased to announce that this measure is paying off: the average payment period for the FPS using the VIM module has fallen from 21 calendar days to 16 calendar days in May. The FPS Social Security and Foreign Affairs are distinguished by an average payment period of three and eight days respectively in the same month.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u18	Minister, I am very pleased that several initiatives have been taken and, above all, that the average payment period has fallen from 21 to 16 days. I can only encourage you to continue in this way, because the government, of course, has an exemplary role to play: it must show confidence and create new confidence in the economy, now more than ever. Accounts and invoices must be paid in good time and the public authorities must take their example. We must therefore certainly continue along this road. Is it also intended to deliver the report to the Committee on Economic Affairs? I know that further work is being carried out on this issue and that, if necessary, a legislative proposal on the payment behaviour of the public authorities would be tabled. It would therefore be useful for the report to be further explained in the Committee on Economic and Monetary Affairs.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u19	If the committee asks for my opinion, I can, of course, come to the committee.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u20	Okay, I'll discuss it with the responsible committee chairman tomorrow.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u21	As Mr Loones is debating at another meeting, I propose that Mr Bertels ask his attached question.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u22	Minister, my question is about the Stability Programme. By the end of April, Belgium had to submit its new Stability Programme, in line with the European Semester system, the annual cycle for better coordination of national fiscal policies, for Economic and Monetary Union. Belgium submitted that stability programme on 30 April. I assume this was done in accordance with the new guidelines of the European Commission. Meanwhile, on 20 May, the European Commission drew up the draft country-specific recommendations on the National Reform Programme 2020, as well as an opinion on the Stability Programme. That draft country-specific recommendations is likely to be adopted by the European Council, which will meet later this week. My first question is now obsolete. After all, I noticed that you submitted the Stability Programme on 30 April. That's good. My second question is in line with Mr Loones' question. How did you take into account the guidelines for the preparation of the new Stability Programme? I am thinking, among other things, of the escape clause relating to stability and the economic growth path, which, because of the COVID-19 crisis, we are entitled to deviate from the medium-term budgetary objectives. It is not only Belgium that can do that, but Europe as a whole. I also have an addition to my previous written question, given the time that has elapsed since then. How do you intend to respond to the country-specific policy recommendations presented by the European Commission on 20 May as regards your area of competence, especially on budgetary matters?
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u23	Madam President, Mr Bertels, initially three oral questions were tabled on the Stability Programme. In addition to yours, there was a question from Mr Ravyts, but it was finally withdrawn. As these questions largely overlap, I will give a joint answer. This answer is divided into six points. Firstly, as regards the presentation of the Stability Programme, I gave a brief explanation of the Stability Programme last week during my presentation to this committee. I shall now go into more detail. The programme was submitted in good time, on 30 April, and was submitted in advance to the Consultation Committee, as provided for in the Cooperation Agreement of 13 December 2013. On 28 April 2020, the Council of Ministers took note of the Stability Programme. The Consultation Committee also did so on 19 April. The Stability Programme is available on the FOD BOSA website as well as on the website of the European Commission. If desired, it may also be made available to committee members. The second point concerns the application of the new guidelines for drawing up the Stability Programme. The European Commission published new guidelines on the preparation of stability programmes in response to the COOVID-19 crisis on 6 April 2020. These shall contain at least the following three components. A first part is a chapter on budgetary policy in response to the COOVID-19 outbreak. The Belgian policy strategy is bipartisan. The priority objective is to protect public health. To this end, several sanitary measures have been introduced. These health measures are accompanied by significant socio-economic impacts. For this reason, other measures were taken in addition to the sanitary measures. These have to cope with the socio-economic effects of the corona crisis. These two shutters were explained in the Stability Programme. There is also the chapter on the economic outlook. In its guidelines, the European Commission indicated that it was difficult to estimate stable medium-term prospects. Therefore, it was sufficient to provide forecasts only for 2020. Quality information could be provided before 2021. Belgium normally uses the MLT prospects of the Federal Planning Office at the beginning of March. However, these have not yet taken into account the impact of the coronavirus. Therefore, in cooperation with the National Bank, the FPB developed a new scenario in early April, covering 2020-2021. This scenario was incorporated into the Stability Programme. The National Bank and the Federal Planning Bureau then considered that the total GDP of the Belgian economy could shrink by 8% by 2020. For 2021, an upsurge of 8,6% is assumed, insofar as the corona crisis does not cause lasting damage to the production potential of the economy. Then there is the chapter on public finances and the budgetary impact of the measures taken to combat coronacisis. Here, too, the focus was on 2020. According to the joint scenario of the NBB and the FPB, the debt deficit for 2020 could amount to around 5,5% of GDP. In this case, the debt ratio would be 115 % of GDP. Finally, all measures taken by the federal government, social security and the Communities and the Regions were listed until 22 April. I note that although some of these measures could be regarded as one-off, they were not classified as one-off. In fact, the European Commission has activated the general escape clause provided for in Articles 5, 6, 9 and 10 of the Arms Prevention Regulation and Articles 3 and 5 of Regulation No. 1467, under which these measures would be dealt with. The budgetary impact of these measures was estimated at EUR 10.2 billion or 2.3 % of GDP in the preparation of the Stability Programme. Point 3 concerns the economic outlook. As explained in the previous point, the Commission indicated in its guidelines that it was difficult to estimate stable medium-term prospects. Therefore, it was sufficient to provide only a forecast for 2020. Quality information could be provided before 2021. Belgium is normally using the medium-term outlook of the FPB at the beginning of March. However, this did not yet take into account the impact of the coronavirus. Therefore, in cooperation with the National Bank, they developed a new scenario in early April, covering 2020 and 2021. This scenario was incorporated into the Stability Programme. The National Bank and the Federal Planning Bureau then considered that the real GDP of the Belgian economy could shrink by 8% by 2020. For 2021, an upsurge of 8,6% was assumed, insofar as the corona crisis does not cause lasting damage to the production potential of the economy. Point 4 concerns the impact of the exceptional circumstances on the existing national budgetary procedure. The new European Commission guidelines state that the extent to which Member States resort to the European budgetary flexibility clause or similar arrangements provided for in national budgetary rules should be mentioned. Similar arrangements exist in some countries where exceptional circumstances affect existing national budgetary procedures. In Germany, for example, there is an exception for unusual emergencies, enshrined in the legislation. In application of this, following the COVID-19 outbreak, the federal government was authorised to exceed the otherwise binding funding limit of 0.35% of GDP by 2020. As far as Belgium is concerned, no similar arrangements are provided for. The fifth point concerns the use of budgetary flexibility clauses. Belgium has listed all measures taken by the federal government with regard to the COVID-19 outbreak, including those relating to social security and the Regions and Communities, in a separate chapter of the Stability Programme. The budgetary impact of these measures was also reflected. Although some of these measures could be classified as one-off, they were not classified as one-off. The European Commission has activated a general escape clause under which these measures would be dealt with. The budgetary impact of all these measures was estimated in the Stability Programme at EUR 10 billion or 2.3 % of GDP. In the Commission's recommendations of 20 May 2020, the Council recommended the following with regard to the Belgian Stability Programme on budgetary flexibility. It is recommended that Belgium take the following actions in 2020 and 2021: in accordance with the general escape clause, take all necessary measures to effectively address the pandemic, stimulate the economy and support the subsequent recovery. If economic conditions allow it to pursue a fiscal policy aimed at achieving prudent medium-term budgetary positions and ensuring debt sustainability and thereby increasing investment. Sixthly, the estimate of the main budgetary indicators. The budgetary indicators, as estimated in a joint scenario of the NBB and the FPB, were reported to the European Commission. The debt-to-GDP deficit could amount to 7.5% of GDP by the year 2020. In this case, the debt ratio would be 115 % of GDP. Debt would evolve from 98 % of GDP in 2019 to 115 % in 2020. It was a rather long and repetitive answer, please excuse me.
ParlaMint-BE_2020-06-16-55-commissie-ic208x.u24	Minister, you are quoting the indicators of the slowdown in growth and debt building in April of the National Bank and of the Federal Planning Office. I'm afraid I hope we don't have to adjust it a little bit, in the downward sense. That needs to be looked at in the new budget. Let us hope that it is not true and that the economy will recover safely, correctly and as soon as possible. Thank you, Minister, for explaining the processes concerning the temporary deviation and adjustment of the budgetary objective. I think a temporary deviation is correct. There is also a need to keep some expenditure out of it in the future. You said that yourself earlier. In the short term, it is indeed important that we combat the pandemic, support the liquidity of SMEs, the self-employed and so on, and support the purchasing power of those who are severely affected, the economy and recovery. The government and the super core are already working on a number of measures. I would like to comment on the European Commission's policy recommendations, including the recovery fund. In the recommendations, the European Commission states that the countries must respond by next year, but that they can also respond and that investments can be announced by October. I would ask you, Minister, together with the entire government and the state governments, to make use of this and to put forward 'proactive' investment projects as early as October or November at the latest. The European Commission expressed this question explicitly on a presentation. For example, we can use these European Union investment resources as soon as possible to move towards a fair, green and digital economy, to support a green and digital transition within the framework of the New Social Deal, as we call it, and a Green Deal, which includes the explicit recommendation of the European Commission to maintain and strengthen the resilience of our health system, and also, in consultation with the sub-areas, to strengthen the digital skills of young people. The digital skills of young people linger and can be improved. There is progress to be made. You and your colleagues will have to work on this by the end of October.
