ParlaMint-BE_2020-07-14-55-commissie-ic239x.u1	Question No 1, by Mr De Pasquale (H-l 55006987C and 55007384C by Mr Donné were postponed.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u24	Mr. Chair, Minister, I was asking you on May 26th to find out whether members of the integrated police could also benefit from the reimbursement of travel expenses with a private vehicle between home and workplace during the period VOCID-19. This question followed the adoption by your colleague, David Clarinval, of the Royal Order of April 22, 2020, which introduced specific measures for federal public service personnel in the context of the health crisis related to coronavirus. You acknowledged, in your response, that this royal order raised some expectations among police personnel, especially those who face the same problems as public service personnel, such as being commissioned on duty. Finally, you indicated that a legal analysis should be carried out to determine the extent to which the Royal Decree of 22 April is applicable to police personnel. In order to dispel any misunderstandings within the police services, it is important that they get a clear answer to my question. What is the result of the legal analysis? Can integrated police members also get reimbursement for their travel expenses with a private vehicle between home and workplace during the VOCID-19 period?
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u25	Mr President, ladies and gentlemen, following the reply I gave you in the Committee on the Interior on 26 May, I did indeed contact the legal services of the Federal Internal Public Service in order to determine whether the Royal Decree of 22 April 2020 is applicable to police personnel. My services informed me that they would provide me with an analysis on July 17. I am therefore not yet in a position to communicate the results to you. However, I can inform you that the Council of Mayors gave a negative opinion on this matter on 20 June. Although we are on a parliamentary holiday soon, I will not hesitate to inform you.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u26	Minister, thank you for your answer. Of course, I would like to be informed. I'm counting on you, but I know you'll provide me with the information.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u27	Ladies and gentlemen, the dismantling of the BR3 reactor is at an advanced stage, and the decommissioning work in the reactor annex is almost complete. His release is being prepared. In the reactor building, the radiological characterization of the biological concrete shield around the reactor pool has recently been completed, and the techniques for its dismantling have been selected. Previously, the parts of the primary cooling system and the coating of the reactor pool had already been removed. The Federal Nuclear Control Agency (AFCN) does not have a specific interim or interim report providing an overview of all the lessons learned and experiences gained in connection with the dismantling of the BR3 reactor. Such an overview should be included in the final dismantling report, which will be drawn up at the end of the report. During the decommissioning, the Nuclear Energy Study Centre (SCK-CEN) regularly shared progress and experiences with the nuclear sector through various publications and presentations at the national and international levels. The experiments carried out by SCK-CEN include project management, specific dismantling techniques and waste management. They have already been used in the dismantling of other nuclear installations in Belgium. In addition to the use of appropriate dismantling techniques, the experience of the SCK-CEN also highlights the importance of the disposal and treatment of the various radioactive waste streams. It is the responsibility of the operator of the nuclear power plants to draw up a decommissioning plan for ONDRAF as well as an application for decommissioning authorisation for AFCN, and to incorporate into it lessons learned from other projects such as the dismantling of the BR3 reactor, but also from other plants abroad.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u28	Minister, thank you for your answer. I think it will indeed be interesting to be able to take stock of the lessons learned from the process of dismantling the BR3 reactor in order to apply them to the Doel and Tihange reactors. In my view, it is also important for AFCN and ONDRAF – which is not within your jurisdiction – to be able to impose dismantling methods and techniques independently of applications for authorisation from the nuclear operator.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u29	Question No 55007670C by Mrs Vanessa Matz is transformed into a written question.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u30	Mr President, ladies and gentlemen, I shall begin with the issue of seismic standards for nuclear safety. This point is indeed reflected in the latest amendments to the Royal Decree laying down safety requirements for nuclear installations last February. It is included in Article 21/1, point 3, as you know. Doel 1 and 2 were initially non-seismic. A first improvement of the design took place during its first ten-year revision, making it resistant to an earthquake of 0.058 grams, acceleration unit 1 g or equal to the acceleration of gravity on the Earth's surface. The Federal Nuclear Control Agency (AFCN) had already asked Electrabel to further increase the resistance to Doel 1 and 2 earthquakes in order to meet, at least partially, the requirements. A complementary action plan was drawn up following a simplified seismic study of the seismic measure assessment type for Doel 1 and 2. The material adaptations related to this action plan have been included in the Long Term Operation LTO Action Plan of Doel 1 and 2 which was completed this year. The construction of Doel 3 and 4 is dimensioned for an earthquake of 0.1 g i.e. 0.98 m/s2/m2, currently recommended minimum value for sites considered to be low seismic. Tihange 1 originally planned to deal with 0.1 g was finally upgraded to deal with the same earthquakes as the more recent Tihange 2 and 3 units, namely 0.017 g. The values mentioned are the values for the safe shutdown earthquake, i.e. associated with the earthquakes to be carried out in the design base and corresponding to the new requirements of the Royal Decree laying down safety requirements for nuclear installations. A deterministic study of facility maintenance was conducted at the design stage or during the first 10-year review for Doel 1 and Doel 2.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u31	Minister, thank you for your detailed and particularly technical response. We have already heard from AFCN and its Director General last week in the nuclear safety sub-committee. They told us that neither Doel 1 nor Doel 2 met the new seismic standards imposed by WENRA. This is where I think your political power can make sense.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u32	It's related to gravity calculation.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u33	That's right. Finally, we realize that Doel 1 and Doel 2 do not meet these latest standards. That is where I wonder what political action you are going to take to ask the nuclear operator to comply with these seismic standards.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u34	It's a very technical question. Mr President, I am not getting rid of it, but I propose to send a letter to the operator in order to obtain more information which will certainly be very technical. I will shortly provide you with the answer in writing.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u35	Minister, that's very kind of you. Thank you very much.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u36	The DE building, which is a storage building for spent fuel assemblies at the Tihange site, consists of 8 swimming pools with a capacity of 465 fuel assemblies each today. This building is filled around 80 per cent. The DE building will eventually be dismantled but the actual date of dismantling is not yet known. In the coming decades, the DE building will be required, in order to remove spent fuel from the units, an important first step in the dismantling process, and in order to be able to carry out certain operations such as unloading or repairing storage containers necessary for the proper functioning of the new SF2 installation. The spent fuel must first be stored in the pools of the DE building for a sufficient period of time before it can be transferred to storage containers that could be stored in the SF2 facility. No packaging is stored in the DE building. At each periodic security review of the SF2 facility, the operator will also determine the remaining life of the ED building. Prior to the reception of the SF2 building and as part of the periodic security review of this facility, the operator will conduct an in-depth study that will demonstrate the feasibility of an alternative to the functions performed by the ED building and that are essential to the operation of the SF2 facility and will determine the time frame within which this alternative could be implemented. The DE building is actually bunkerized and is designed to deal with external accidents such as aircraft accidents. Information concerning the type of aeroplane used in the design is classified as confidential and cannot be disclosed. The exact thickness of this bunker is confidential and cannot be communicated. I refer to the Royal Decree of 17 October 2011. However, I would like to point out to you that similar questions and details concerning the resistance of other nuclear installations to the fall of aircraft could not be answered in the past for the same reasons of confidentiality. As I mentioned in my answer to your 2019 question, there are no leaks listed in the pools in the DE building.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u37	Thank you, Minister, for your answer. I simply note that the details of the resistance to aircraft falls are indeed public with regard to the new building to be built, the SFX2. It is true that, unfortunately, they are classified as confidential for ED, when we are well aware of the safety limits of this spent nuclear fuel storage building.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u38	In your last answer, you indicated an inventory of 215 pencils, which had lost their watertightness. Has this figure changed? My question includes a number of more specific questions in order to better understand the problem of these "runaway" pencils.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u39	Mr Cogolati, there are 215 non-waterproof pencils for all Belgian reactors. The balance sheet dates from 2018. There has been no leaking problem for more than ten years in Doel and Tihange. There is no unsealed pencil in the pools of the DE building in Tihange. The decision not to transfer assembly containing non-ED-tight pencils is a practical regulation within the Tihange nuclear power plant. For the sake of clarity, it is important to note that the storage of these non-watertight pencils in reactor deactivation pools is carried out under safe conditions and that there is no risk of leakage or discharge into the environment. For the other questions, I refer to my many answers in particular, the answers to your questions nos. 55001675C and 55002109C.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u40	Mr Minister, I remember those questions.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u41	I remember my answers.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u42	That's perfect! So for more than ten years, there has been no further flight. But it has also been more than ten years since these 215 unsealed pencils were repaired? Therefore, I do not understand very well when they are because, obviously, they will have to be watertight if, one day, we want to be able to store them safely and responsibly. When can we expect the repair of these non-waterproof pencils? You say it yourself: the problem is not new since there have been leaks for more than ten years.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u43	The question of sealing is essentially technical. I refer to my answer in the second line. I will inquire and provide you with an answer that I hope is not too technical for a very technical question, namely, the non-sealing of pencils.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u44	That's what I'm waiting for, because I realize that there are a number of leaks in Tihange (but also Doel) mainly in Tihange 1's deactivation pool. I know this problem has been going on for a long time. There is no new leak and that reassures me. However, action must be taken to address this long-standing problem.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u45	Mr.President, Mr.Cogolati, the siren network was shut down at the end of 2018. The central control has been removed and it is no longer possible to use sirens to alert the population or even to perform tests. Several sirens have already been physically removed by the staff of the National Crisis Centre. With regard to the other sirens or pylons still in place, a public procurement procedure is under way. A period of 18 months has been foreseen for the execution of the contract, so that the entire siren network should normally be physically withdrawn at the beginning of 2022. A resumption of sirens or re-use of the towers by interested parties was examined but was ultimately inconclusive from a legal point of view. As a result, this lead was not followed. The siren network has been replaced by a multi-channel alert technology platform, BE-Alert, you know. Authorities can test the BE-Alert system every first Thursday of the month. In addition, a simulation environment is also available to familiarize the user with the application without a message being actually sent. A national test will be organised on 1 October 2020 and all municipalities will be invited to participate by sending a test message that day. At the same time, they can encourage their inhabitants to register to receive such a message in case of a real alert. BE-Alert can be specifically activated by each mayor and governor autonomously. Through this local and direct alert approach, BE-Alert responds to the necessary activation speed and local knowledge of the field for optimal alerting of the population concerned. Finally, with regard to your other questions, I refer to my answers to Questions Nos 55005283C and 55006654C and to Written Question No 411.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u46	Minister, thank you. There had been a time to keep the sirens only for the nuclear alert in the vicinity of Doel and Tihange. So it's no longer relevant.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u47	No. The same applies to many relief and support services, civil protection and firefighters. People are alerted but they are no longer alerted by sirens. They normally rang on the first Thursday of the month.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u48	Indeed, I used to receive the alert every first Thursday of the month at 1:00 p.m. So this is no longer the case. Personally and for living in the vicinity of a Class 1 nuclear facility, I am concerned that people will not receive BE-Alert text messages when their phones are switched off, for example in the middle of the night. Now a SEVESO siren, we hear it and she can alert us. Although this system has shown its limitations in recent years and has proven to be too costly for your department, it seems to me that these sirens have a certain safety function and I am merely noting that this safety and alert function cannot be effectively replaced by SMS messages.
ParlaMint-BE_2020-07-14-55-commissie-ic239x.u49	Mr. Chair, Minister, the MEGA program helps raise awareness among schooled youth of several dangers they may face. These actions carried out by our police services certainly encourage young people not to give in to the temptation to consume products that are dangerous to their health. It is also used to explain and reduce the risk of violence among young people, particularly within and outside schools. In view of the violence against police officers and the growing lack of respect for those holding public authority, this programme can also prove useful in raising awareness, emerging from prejudice and engaging in a positive and structural relationship between our law enforcement agencies and these future adults. Minister, is this program intended exclusively for sixth-grade students or can it be done with students from other school years? How many hours of awareness does it involve and how many police officers does it require? What is, on average, the budget allocated to this programme within the police areas? Do they receive support from the federal government for this purpose? How many local police areas have carried out this awareness and prevention module over the past three years? Are there any plans to explain the violence against our police officers? It is a good program, which combines citizenship, police service and respect for public authority. As part of the measures to support our police officers in the face of the growing lack of respect for and violence against their work, do you consider it necessary to strengthen and extend this programme?
