ParlaMint-BE_2020-01-22-55-commissie-ic094x.u1	Debates of the European Parliament Mr Francken's 55001521C was converted into a written question.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u34	Thank you for your answer, Minister, but I am afraid you are proposing the reality far too rosy. We were also active with F-16s in Afghanistan at the time. We have been involved in this because we were expected to do so and asked for it, while it was obvious in Parliament that critical questions were asked about it at the time. The political objectives were not clear. Military and political were difficult to reconcile. We did not know who our allies and enemies were there and what the long-term political objectives were. If we look at the current reality in Afghanistan, my point will only be proved. We have always said with our group that it is a good thing that we are engaged in international operations. We have a certain responsibility, but it must be put on the table as a lever to enforce a clear political objective from the allies. We should not simply engage in a military operation because we are asked to do so. Our country is politically mature and must therefore force clear, good political strategies from our allies, otherwise we simply do not participate. I believe that is a good attitude in our foreign affairs and our defence.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u35	Unfortunately, this format does not allow discussion.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u36	I'm going to ask my question quickly, since we have a timer – it's serious. Indeed, Minister, my question is just as serious. A few months ago, I was told of new cases of discrimination against students from the German-speaking Community – that is, German-speaking students – in the Defence. In this unfortunate case, which has been told to me, it is a disrespectful statement made towards students at the Royal Military School. The consequences were quite serious, since those who were studying or attending school eventually decided to give up. At a time when we want and need to improve attractiveness, I think we should also review certain behaviours, and at least remember that in our country too we speak three languages officially. Even if we don't ask for specific treatment, I think having a little consideration wouldn't hurt anyone. First, Minister, are you aware of this situation? Do you know if, for similar cases with other language groups, a point of confidence is established by the Defence in order to be able at some point to discuss this calmly? Finally, what could be envisaged, not to improve the situation, but to prevent it from happening too often in the future?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u37	Mr President, Mrs Jadin, it is clear that, within the ERM, as everywhere in the Defence, there is no place for discriminatory statements. Every student within the ERM is briefed in this direction as soon as he or she enters the School. In addition, a Diversity Steering Team was established within the École Royale Militaire, whose mandate includes identifying concrete actions to raise awareness among members of the School. If such events had ever taken place, there were several systems and contact points in place to trace the facts through promotion managers, trusted persons, and the guidance unit. These systems or contact points have already proven their effectiveness in the past and are therefore sufficient to respond adequately and confidentially to any kind of inappropriate or unacceptable behaviour. More generally, there are different services within the Defence that are empowered to receive and deal with such complaints, if any. In the area of discrimination, the Directorate-General for Health and Well-Being is the first authority to deal with discrimination through trusted persons. The Complaints Management Service of the General Inspectorate may also be required to receive such complaints and, depending on the content of the file, is therefore in close contact with the Directorate-General for Health and Well-Being. Without being aware of any direct complaints of discrimination against German-speaking students, I am well aware that a student of the Royal Military School of German-speaking origin recently left Defence on his own initiative, following academic failure. The Committee of Deliberation examined the situation of this student officer. In addition to the short-term failure, the Commission noted the difficulties of expression in the more literary branches, but gave it the opportunity to start the academic year again. Despite several interviews with the points of contact mentioned above, explaining to him the reasons for his final failure and motivating him to remain in the Defence, he chose to leave the Defence.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u38	Minister, I see that you are very well informed of the case that I did not specifically mention in my question. Thank you, in any case, for having recalled all the devices available to prevent this from happening again in the future. Thank you.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u39	Minister, as the London Summit has just concluded, NATO is preparing for a major exercise, Defender 2020, in April and May 2020. This exercise is presented as the largest NATO exercise on European soil since the end of the Cold War. 37,000 soldiers from 18 countries are announced: 8,000 European soldiers, 9,000 American soldiers based in Europe and 20,000 men from the United States. This major exercise will include airborne operations in Georgia, Lithuania and Latvia, a river crossing in Poland and combined manoeuvres in Germany. Mr Minister, I would like to know the direct and indirect Belgian contribution to Defender 2020 since this exercise will test military mobility – which is the subject of strong cooperation between the European Union and NATO – within the European continent in the event of aggression by one of the NATO states. I would also like you to recall the logistical challenges facing our army around the port of Antwerp and the innovative solutions that will be tested on this occasion. Finally, behind any NATO exercise and the military lessons to be learned, there is a political dimension that must not be overlooked. I would like you to detail the ambitions and the message to be conveyed by NATO.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u40	Ms. Jadin, Defence is not actively involved in Exercise Defender 2020, but the Defence Staff is actively involved in operational planning, in close collaboration with other CFOs, including Mobility and Customs, by coordinating the deployment of various services that will assist Americans in landing and moving to their final destinations. The biggest challenge is to get all the columns out of the port of Antwerp without too much impacting traffic. For this purpose, the movements will be carried out mainly at night and will be supervised by the police movement control group and the military police. The other main challenges perceived by Defence are a lack of resources and personnel to execute full support for unloading, but the gaps are filled through contracts with the Americans. The support for mobility and logistics provided by Defence to Defender 2020 clearly contributes to a positive image of a Belgium on which the Alliance can count.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u41	Minister, while the Belgian State Security is fighting against the activities of Rwandan intelligence services in Belgium, in 2016 the Belgian Military Intelligence Service reportedly signed an agreement with Rwanda's secret services with the consent of the then Minister of Defence. While aware that this is a very confidential matter, the situation around this agreement remains rather nebulous, so that the P Committee has just taken up this issue with arms-to-body. Minister, can you take stock with us of this rather obscure situation?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u42	Ms Jadin, the SGRS is carrying out its tasks in accordance with the Organization Act of 30 November 1998 of the intelligence and security services. The SGRS does not publicly communicate on files which could endanger the security of the country, that of Belgian nationals abroad, its staff or its missions. The Standing Committee on the Control of Intelligence and Security Services, the R Committee, is informed of the activities of the SGRS.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u43	Minister, the answer is no! Thank you.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u44	Mr Minister, some 44 Pandur-type armoured vehicles, more than 20 years old by the way, which are used as a command vehicle, medical vehicle or reconnaissance unit, have become unusable by an update of EUR 30 million, a not bad amount. With the update, the Swiss producer who did the update has made sure that the armoured cars have become unsafe. The military who tested the updated armoured vehicle came to the conclusion that there can no longer be a safe braking and steering system which does not seem uncomfortable to me to feel safe in such vehicles, among other things because the interior space of the vehicles has become too small due to the additional installations and options. The solution proposed to recruit only military personnel less than 1.70 metres as drivers or shooters seems to me to be as ridiculous as it is laughable. I have the following questions, Minister. How the hell is it possible that the preparation of this file did not take into account the size of the military and the amount of space that the update would take? Who bears the operational responsibility for this farce and, if you consider that the Swiss producer bears all or part of the responsibility, is there any possibility of compensation? What costs are directly and indirectly linked to correcting this failed Midlife Update? When will the armoured vehicles underneath the update be re-usable?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u45	Minister, Mr Creyelman has already outlined the issue of the Midlife Upgrade, but unfortunately there is more going on with the Pandurs. I would still like to outline that context. The Pandurs were originally not intended as a reconnaissance vehicle, but as a troop transport vehicle. In 2008 they were converted into a reconnaissance vehicle, but the Pandurs are not well suited for that. They are less armored than other reconnaissance vehicles, such as the Dutch Fennek, and are visual and thermally easier to see. The first commander of ISTAR expressed all his doubts about the operational employability of the vehicle in 2011. Apart from the Midlife Upgrade and the current problems there has been a problem with the Pandurs for many years. They were never deployed in a foreign operation as a reconnaissance vehicle, to which they were converted at the time. However, for budgetary reasons, it was decided to further develop the Pandurs and make adjustments to make the vehicle operational with the meanwhile known consequences. The decision not to replace the Pandur but to upgrade it was also recalled in the strategic vision of 2016. An amount of EUR 31 million was also reserved for this purpose. How has the decision been made not to buy new suitable reconnaissance vehicles, but to further develop the Pandurs, despite many signs that the vehicle is not suitable for exploration? What was the reason for this choice? Was ever considered buying new vehicles instead of rebuilding them? Can the Pandur's Midlife Upgrade still be saved? Is it an option to stop the programme and invest in new vehicles? To what extent have errors occurred in the companies that have completed the upgrade? Are you prepared to ask the Treasury Inspectorate to examine how the decision to upgrade was taken and how the contracts were subsequently awarded?
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u46	The decision to transform the Pandur from troop transport vehicle to reconnaissance vehicle was taken in 2004. De Pandur had at that time an armor at least equal to that of the German-Dutch Fennek. In the preparation for the strategic vision of 29 June 2016, all possible options were examined. There were no new reconnaissance vehicles on the market, only existing types such as the Fennek that were no longer adapted to the increased threat of mines and IEDs in Iraq, Afghanistan and Mali. The traditional strategic partners of Belgium in ISTAR, namely Germany, the Netherlands and Luxembourg, had either an update programme running for their existing vehicles, the Netherlands and Germany for the Fennek since 2013, or an update programme in preparation, Luxembourg for the PRV. Moreover, the upgrade of the Fennek is similar to that of the Pandur and concerns, inter alia, an adjustment of mining and ballistic protection, brakes and the engine. The development of the new common reconnaissance vehicle is planned for around 2025 and aims to produce a mature vehicle by 2030-2035. The Pandur is undergoing modernisation, the adaptation of mining and ballistic protection being the first step. The complete modernisation consists of four additional modifications. The contract for the installation of a mining floor to protect personnel in the vehicle from mines and IEDs reduces the interior height of the vehicle by about 10 centimeters. Seven vehicles have currently undergone the adaptation of mining and ballistic protection. Problems were identified in the delivery of the protective kits and in the technical re-assembly of the vehicle. The vehicles will be dismantled and restored in the following months in the context of a call for security. This opportunity is also used to improve the comfort of the crew on a number of points. So far, Defence has paid EUR 1.7 million for the first seven vehicles. The contracts for the four other updates were awarded at the end of 2018 and will be implemented after the adaptation of mining and ballistic protection. The adjustments will further improve safety and operationality. The first vehicles that will have completed the Midlife Upgrade will be available by the end of 2021. At the time of the conclusion of the various contracts, the Ministry of Defence has always complied with the applicable law and regulations and consulted all planned internal and external audit bodies, including the Treasury Inspection, the Parliamentary Committee on Army Purchases and Sales and the Council of Ministers. The various purchase files were submitted each time to the Treasury Inspectorate and contained the qualitative, quantitative and opportunity motivation for the upgrade, on which the Treasury Inspectorate issued an opinion, as provided for in Chapter 5 of the Royal Decree of 16 November 1994 on administrative and budgetary control.
ParlaMint-BE_2020-01-22-55-commissie-ic094x.u47	Minister, ladies and gentlemen, I would like to add that we have agreed to hold a hearing on military equipment, with a specific focus on Pandur and Piranha. This hearing will take place on 19 February in the afternoon.
