ParlaMint-BE_2020-05-27-55-commissie-ic190x.u1	Minister, have you planned an introductory presentation? Would you like to speak?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u12	Do you still want to add something to the left?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u13	Mr President, no, I have had an answer to my question. I have nothing else to add and thank you.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u14	Mr President, I apologize for my delay. I have not heard the questions put by my fellow Members, which is why I have not asked my questions. If I do not have to, I do not like to repeat myself, because that is already happening more than enough in this House. I have therefore been waiting for the answers to ask a few further questions. Minister, you have given a number of figures concerning the number of sentences suspended and the number of returners, whether voluntarily or not. My question, which remains, is what is in line with Mr De Wit's: what is gradual? How many inmates will still be eligible for the suspension of sentence now that that time limit is extended? Will there be a lot more, or is there a return movement going on? Do you have any idea how many percent of the total prison population will be allowed to leave prison after the extension of this measure? I have another question, Minister. When this KB came up the first time, my group informed you that we felt that too little account was taken of the victims, who were not informed that the perpetrators were being released. Was there any action taken in favour of those victims?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u15	Mr President, let me start by saying that if I set a deadline for such a measure, I will soon be asked whether I have respected that deadline. It's much worse not to respect one deadline than to get a thousand, in my experience. If I may suggest a tentative deadline, I would say that we will try to end the interruptions by the beginning of the great holiday. We will allow people to come in gradually, and that is, as far as I am concerned, by the start of the great holiday. I would also like to say straight away that it was only those who were already eligible for penitentiary leave before the start of the measures. I thought Mrs. Pas asked for that. Therefore, no new persons were eligible for the penalty interruption. Mr Van Den Berge reminded me just now that he thinks there are 3 or 4 people who will still be able to enjoy the end of the sentence measure. He added, for the sake of caution, that it concerns 3 to 4 people per week, until 17 June. In general, therefore, there are not many. I believe that I have answered all the questions. What worries me most is the re-establishment of services in prisons which are largely within the Community. We must gradually create an environment in which this recovery can be done comfortably. Mr Aouasti, the fusion of the two qualities that you mentioned is, therefore, voluntarism – and here I recognize you as someone quite similar – and I will, in this spirit, make the contact that you insist I am taking with the company tribunal in Brussels. Thank you.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u16	My question deals specifically with non-profit organisations in the arts, entertainment and recreation sectors. They also have to endure it very hard at the moment. It is reported that one in three non-profit organisations in this sector could go bankrupt, even today healthy non-profit organisations. Since the reform of corporate law, non-profit organisations have been regarded as companies and can therefore rely on insolvency law to avoid bankruptcy or, if this is no longer possible, to apply for bankruptcy. As a result, they are also covered by Royal Decree No. 15. Therefore, the temporary moratorium foreseen for all companies applies to non-profit organisations, provided that continuity is threatened by COVID-19 and that they were not on strike on 18 March 2020. They shall be protected against detention and execution and a declaration of bankruptcy. This will now be extended until 17 June. That is a very good thing, but I am looking a little further. I understand that many non-profit organisations are often unaware that they can be covered by this moratorium. Mr. Secretary, are you getting any such signals? What more can be done to inform and reassure people in this sector who are very concerned about the coming summer in which certain events will not be able to continue? The KB now runs until June 17th. Of course, it is very difficult to see in the future whether or not the KB will be extended, but it is at least temporary. A lot of these non-profit organisations do an event once a year in the summer, such as a Gallo-Roman event, an annual arts festival, an annual concert and so on. They depend on the income they will not have now as a result of this corona period. They should be able to bridge the period until their next event, within six months or at worst within one year. Is the government considering additional measures that can still be taken to protect the arts and entertainment sector even after 17 June while waiting for them to be able to organise something and have income?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u17	Minister, companies are going through a very complex period because of the coronavirus crisis. Some have been forced to close, while others are indirectly affected by a slowing economy. The latest surveys are alarming and reveal that 50 per cent of the independents have solvency problems, that 300,000 independents have applied for bridge law, and that the number of additional bankruptcies would be 10 or 15 per cent. This risk for the Horeca sector is even 25%. In addition, 22% of companies expect targeted redundancies. Royal Decree No. 15 established a temporary moratorium during which any company heavily affected by the epidemic is protected by a legal measure of suspension of bankruptcy, seizure and enforcement. The measures shall apply to any natural person who is self-employed, any legal person and any other organization without legal personality threatened by the pandemic. The purpose of this unprecedented measure, in order to safeguard business continuity, is to send a clear message of support. Furthermore, by creating a legal stay, applications to the company's court are avoided in order to obtain a stay of proceedings and consequently an overload of work for the courts. For these reasons, we are in favour of extending this moratorium in time until 17 June, especially since the date is similar to the law providing for protection against seizures for individuals. Minister, I would like to know the monthly number of bankruptcy openings before the VOCID-19 crisis. What is the numerical impact on the employment of so-called monthly bankruptcies? Does this suspension, to which we are extremely favourable, not have the side effect of masking the extent of the damage? What are the long-term solutions? As far as judicial reorganization procedures are concerned, how many companies have recently used them? Are the services, registries and courts responsible for judicial reorganizations not overwhelmed? Were additional resources allocated to them? In conclusion, are major information campaigns planned to explain their rights to firms in difficulty?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u18	Mr. Minister, the extension of Royal Decree No. 15 extended its period of validity until 17 June 2020. Our group agreed to this in the extensive nuclear cabinet, especially as a limited extension seemed appropriate pending the second bazooka of support measures for your colleague, Minister De Croo. Apparently, these measures would be further explained in committee this week, but we are still waiting for further concrete texts on this matter. Mr Donné already asked questions in this committee about the Royal Decree No. 15 and noted that the government's N-VA expects a policy that takes into account the impact of the phasing-out of the corona measures on different sectors relative to each other. One sector is not the other and one will of course come at cruising speed faster than the other. This KB does not provide comprehensive unique solutions to all liquidity and insolvency problems. Last time, Mr Donné advocated a diversified approach which also looked at a number of possibilities, such as the easing of judicial reorganisation or the possible re-establishment of the post-bankruptcy figure. As far as the judicial reorganisation is concerned, the requirement of a reporter can be replaced by a mandatory report from the company's own accountant, so that the court can quickly learn about the business situation and assess the period of suspension or protection optimally and quickly. It may also be possible to extend further the current six-month suspension periods, or twice six months, with additional time limits. Technical assistance before the courts could be provided by the possibility of appointing a company auditor. Mr Minister, can you tell us first of all whether you are investigating the slopes I have just outlined? If not, would you like to look at it? Are any other measures under corporate or insolvency law prepared for your cabinet to maximise survival during and after the exit phase for companies that are not structurally unhealthy? Does this also take account of sectoral differences? This is, of course, becoming urgent. We cannot extend this Royal Decree forever out of respect for the rights of creditors. Too long an extension can have disastrous consequences for the economy. Can you, therefore, clarify as soon as possible what is on the table of your cabinet regarding measures to ensure the liquidity and solvency of our companies as much as possible?
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u19	Minister, I have a small question that is inspired by the prorogation. The moratorium was obviously an excellent measure taken by the government, but the Council of State, in its opinion expressed at the time, had indicated that the moratorium should ideally be extended to spouses or ex-spouses, co-residents, ex-co-residents of a debtor to the extent that such persons are or would be co-committed to the debtor's debts, but also extended to the personal security interests of enterprises. The Government did not consider it useful to follow this suggestion of the Council of State. As I recall, the government had essentially put forward the short duration of the order as a reason. From the moment it is extended and perhaps not the last extension, I was wondering whether this suggestion of the Council of State should be reconsidered.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u20	If there are no more colleagues who want to intervene, I am happy to give the Minister the floor.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u21	Mrs Slegers, RB No. 15 has arisen with some difficulty. A moratorium on bankruptcy is never an obvious issue. This is even exceptional for non-profit organisations, because in the past they were not companies that could have made use of such a moratorium. It is only because of the new company law that non-profit organisations can also use this moratorium, at least insofar as they have been impacted by the COOVID-19 pandemic. The government has tried to highlight as much as possible the existence of this moratorium in the written and audiovisual press. In the consultancy sector in the broad sense, including banks, accountants and tax consultants, with which non-profit organisations and auditors regularly come into contact, this KB is well known. This is also known in the representative organisations of the sector, such as Verso, but also in many other associations for associations. The government may take such action again, but of course it only makes sense in the perspective of a broader recovery policy. This royal decree is essentially merely a measure of intensive care. It's not a recovery measure. It is an urgent measure that seeks to avoid the worst evil and to postpone and prevent sudden, unjustified bankruptcies if possible. However, at some point there will have to be a recovery and there will have to be a recovery. In your question, you referred to the cultural sector quite specifically. Of course, it went wider than that. However, I am not responsible for this matter. There have been several Inter-Ministerial Conferences on Culture in recent weeks. The federal government will, not only, try to see in social and fiscal terms what can happen for artists and artists. However, I do not have the authority to do this. Mr Boukili, with regard to your question on the monthly number of bankruptcies, I can tell you that in the first four months of this year we recorded 930, 865, 869 and 298 applications for bankruptcy respectively. The figures show that Royal Decree No. 15 produced effects. As for the job losses, I can tell you that they amounted to 1,718 in January, 1,953 in February, 1,723 in March and only 705 in April. It appears that the royal decree represents a real balloon of oxygen – as I said, they are "intensive care" for the companies affected by the pandemic – since it grants them a legal stay, but it is an exceptional measure in response to a situation that is just as much so. Belgian insolvency law is already very comprehensive and includes many effective mechanisms – both in terms of prevention and liquidation – that will fully fulfil their role. Moreover, for the number of recently introduced judicial reorganizations, very short response periods do not allow for the collection and delivery of this information. I have no doubt that the work of judicial supervision will provide an adequate response to this exceptional crisis. As I explained to Mrs Slegers, the measure in question has been widely relayed in the print and audio press, for example in order to inform companies that employers' federations organise free online seminars. These days, they're called webinars. Do you know that term? We'd almost retire when we heard it! The same applies to the non-profit sector. Information is also available on several sites for companies. Now I come to the questions of Mrs Houtmeyers and Monsieur Pivin. Mrs Houtmeyers, the federal government will try to propose a number of remedial measures to all parties and representatives of the people within a reasonable time. The aim of these measures is to ensure that this year's situation is restored to the best possible extent, as mentioned in French soutien. We will take transversal measures, in fiscal, social and financial terms, but we will also take sectoral measures, in particular, and among other things, in those sectors which are not yet in work. The real recovery is for later. In my view, this is a matter for a fully-fledged government. We are very much in the process of recovery. In this context, we shall see whether there is still room for the extension of Royal Decree No. 15. It is in this context that support measures that go beyond the emergency and the "intensive care" that we are going to study whether this Royal Decree No. 15 should be extended. Mr Pivin, this gives me the opportunity to answer your question immediately in terms of bail, free bail, joint and several suretyship, etc. We had indeed given up a detailed answer to these questions in the context of Royal Decree No 15, despite the question of the Council of State, because we thought that the measure should be temporary and temporal. I still believe that. I had problems getting this measure accepted and extended, but if there was a unanimous request to extend it, I would certainly do so – with pleasure. It goes without saying that at that time, we would take care to deal in detail with those issues which we felt were subsidiary at an early stage of emergency and which might have led us too far in the legal discussions on emergency measures. Indeed, the best is the enemy of the good, as you know and at such times, we must be able to move as far as possible. So thank you for your questions, but perhaps you still have answers for me.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u22	Thank you, Minister. Of course, we can't solve this with the Justice Department alone. It will have to be a collaboration with different policy areas such as Economy and Finance. It is also very important that the Länder should play their part in this. The ministers responsible there must also come up with some prospects for this sector. Now that we were talking here about KB No. 15, I am very glad that the non-profit organisations are already covered by this directive until 17 June. I hope, deep down, perhaps with other colleagues, that there will still be an extension. You have indicated that perhaps we should not hope too much for this, because this has already been difficult to achieve. You also mentioned the IMCs. I know that you are not competent to do so, but I would ask you to take the concerns of the arts and recreation sector into account when participating in an IMC with your colleagues.
ParlaMint-BE_2020-05-27-55-commissie-ic190x.u23	If there are no more replies, we thank the Minister.
