ParlaMint-BE_2020-09-22-55-commissie-ic263x.u1	Debates of the European Parliament 55008004C by Mrs Thémont was postponed.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u12	Madam Minister, thank you. I understand your answer. Fortunately, it is common sense that we should be able to listen to the views of the citizens who expressed themselves, during this period of crisis in addition, on this extremely sensitive issue. It will be a matter of choosing the worst of technical solutions. If I may, I would like to go back, as a reply, to the sensitive and difficult subject of nuclear supplies. I heard you on the cost estimate. I compare the cost of nuclear power plants that have already been dismantled. The cost expertise and experience of those who did so are available. Looking at what happened in Germany, Switzerland and Britain, we can see that the costs are three to nine times higher than the estimated costs in Belgium in a theoretical way. I therefore believe that it is really necessary not to limit itself to marginal control of the estimates made by Synatom, but to be able to benefit from an independent technical counter-expertise organised by the Belgian State, to ensure that the provisions will be sufficient to cover all the costs of dismantling when the time comes. The time is really coming, as we are already talking about the shutdown of several reactors by 2023. I think it's very important. Of course, I make the distinction with the updating of the current provisions. But with an interest rate as low as it is today, I do not think we will be able to count on much larger provisions than those currently estimated. Finally, I come to the control of the Belgian State. I'll meet you. This is in fact the opinion of the CPN. It is now crucial to move from speech to action. Finally, this cry and alarm bell fired by the CNP have resonated for several years anyway. It is important that policies take their responsibilities and finally, once and for all, secure these extremely important funds. We are talking about billions of euros. Thank you.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u13	Mr President, Minister, I would like to refer to the special financing law and the climate response mechanism contained in it, which provided for a multi-annual route for each region. This section sets out the targets for reducing greenhouse gas emissions. Each region was given such a route. The routes for the period 2015-2030 were established through the Finance Act, but may be modified by a KB consulted in the Ministerial Council on the basis of agreement from the regions and on the basis of a proposal from the National Climate Commission. No alternative projects have yet been submitted. In principle, therefore, the routes laid down in the Finance Act five years ago apply. The case is actually a bit blocked. The bonus-malus system has not yet entered into force. Only the regional emission figures for 2015 for the building sector and the average price for an emission allowance have already been officially validated by the National Climate Commission. Because Flanders is doing better than the agreed targets in the building sector, the Flemish Climate Fund should have received around 25 million euros. That's a cumulative estimate from the Court of Auditors. Because the mechanism is blocked, this is not happening. However, the cooperation agreement between the federal state and the regions on the distribution of those climate and energy objectives was already approved in May 2018. Do you confirm that the climate response mechanism with the bonus-malus system, as laid down in the Special Financing Act, is de facto not implemented? Is it true that this has to do with differences of interpretation on the reduction pathways? Is it true that there is still a discussion within the National Climate Commission on the definition and scope of the multi-annual routes?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u14	Mr President, Mr Ravyts, the implementation of the climate response mechanism, in accordance with the special law and the ordinary law laying down its implementing rules, requires a number of steps to be followed. An essential step for each transaction is the payment of a bonus to the regions, the reduction of the malus or the donations to the regions, the approval of the difference between the annual greenhouse gas emissions from the buildings sector in each region and the objective set by the multi-annual routes set out in the law. These differences should be established by royal decree on a proposal from the National Climate Commission (NKC). To date, the NKC only took note of the 2015 emission data for the building sector extracted from the regional greenhouse gas inventory at a meeting on 6 December 2017. However, it did not approve the differences in relation to the routes, since the members of the NKC wanted to discuss in advance a possible revision of the routes 2015-2020 and 2021-2024, and the modalities of application of the law, in the light of the legal opinions of the federal administrations and the administrations of the regions that were the subject of a summary note from the Federal Planning Bureau. The members of the NKC decided that this discussion between the four parties would be conducted by means of an inter-kabinet consultation. The NKC last discussed this issue at the meeting of 21 February 2018, after which it was decided that the Presidency, which was held by the Flemish Region in 2018, would take the initiative for a new consultation with a view to taking a decision on the modalities of the implementation of the mechanism. The issue has since remained untreated and the NKC has not taken any initiative on this matter. In the absence of approval of the differences between the routes by the NKC, the climate-response mechanism is de facto not applied. It should also be noted that the time limits laid down in the Law for the modification of routes 2015-2020 and 2021-2024 have now been exceeded and that the standard routes laid down in the Special Law are therefore applicable. Finally, the special law explicitly states that the response mechanism should be subject to a legislative review in the course of 2020. The modalities of this legislative evaluation still need to be determined.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u15	Madam Secretary, your comprehensive answer is staggeringly enlightening, I would say. It actually indicates that the climate response mechanism is not being implemented at all, and that is a problem. You are talking about a legislative evaluation that should also be made. I think that the next government, when the special financing law in the coalition agreement, I hope, will be dealt with, will still have a good deal to do with this.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u16	Minister, I'm glad you're back in good health. At the beginning of August, the inhabitants of the towns surrounding the industrial zoning of Feluy and Seneffe – where I live – were particularly bothered by sulfur odours. It took eight hours for the communes of Écaussines and Seneffe as well as the firefighters to finally realize that these smells came from the Afton plant, which was classified as Seveso. No alerts had been issued by the company. In addition, firefighters were overwhelmed by calls from citizens worried about these extremely strong smells. Madam Minister, I regret that, under the previous legislature, it was decided to remove Seveso sirens in industrial zonings. In this case, people could still have been advised to close their windows. However, the company decided, on its own initiative, that the gases were not dangerous and therefore did not warn anyone. The SMS system put in place by BE-Alert did not work since the company considered it to be an internal event. Madam Minister, would it not be wise and respectful for our fellow citizens to reconsider the decision to abolish the warning sirens? That would be worth thinking about. Then, and this is probably the most important point for the Minister of the Environment that you are, are you considering making it mandatory – and not just voluntary – to set up joint committees between factories and residents? Indeed, when the aldermen complain about the behaviour of certain industrialists, the answer is systematically: "Since it is like this, we leave; our presence is not obligatory." That is why, Madam Minister, I urge you to make these consultation committees mandatory.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u17	Mr. Chairman, Mr. Vicar, I am also pleased to find you and all the people who attend this meeting in good health. I fully agree with you; but the problem is that I am limited by skills, as you can imagine. Indeed, environmental permits, which are the instruments that allow public authorities to impose stricter conditions on a company, are, as you may know, a matter for the Regions. In this case, this commune, which you live in, and which I know well, since it is Hainaut, falls within the competence of Minister Tellier, who is your political party. I would therefore urge you to raise awareness of the matter. I will do it myself when I meet her, since we are obviously in charge of environmental matters, she and I. The Seveso Industrial Accidents Directive has been – you may not know – partially transposed into federal jurisdiction, though. This is the responsibility of the Minister of the Interior, because it is security. Seveso competencies must therefore be the heart of questions to ask my colleague Minister De Crem. As far as environmental permits are concerned, you know that it is the regional minister who is competent. I urge you to redirect your questions to each other. I will question them when I see them on these issues, to which I am very sensitive, since I myself have had scabinal responsibilities in my city, and we have some Seveso companies in Tournai.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u18	Minister, I will ask the regional ministers the questions. But I spoke to you because I think that the consultation committees are a federal tax. I ask you that these consultation committees be compulsory and not optional.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u19	I'm going to look, see what's really going on, and I'll answer you later on. I'm not convinced, but it's possible, anyway, I'll get the message out.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u20	Thank you.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u21	Minister, among the many consequences of the VOCID-19 pandemic, increasing energy insecurity is certainly one of the most unjust, as it affects an already very fragile public. Since the beginning of the health crisis, many actors have been warning about this. At the beginning of August, the Belgian Federation of Electric and Gas Companies (FEBEG) in turn expressed concern at the sharp increase in demand for lower down payment bills and payment plans. The former, for example, more than doubled compared to February. By the way, it would seem that this poses a significant financial risk to the sector. Last April, the King Baudouin Foundation published the sixth edition of its barometer on energy insecurity. This barometer shows that in 2018, the problem of energy insecurity affected 20.8 per cent of households, a figure that has remained stable since 2009. We were at the beginning of the confinement and, already, the Foundation was warning about the long-term effects of the crisis, saying that the number of households having difficulty paying their bills could increase once the critical period passed. The findings of the FEBEG validate the premonition of the King Baudouin Foundation. The latter had also accompanied his study by a series of recommendations, some of which were directed to the federal government. These included the end of the freeze on the indexation of the Gas and Electricity Fund – a subject that this commission successfully seized during the last session – or the creation of a single entry portal common to the comparators of the four Belgian regulators. Minister, do your services have figures to object to the problem of energy insecurity as it currently stands? How do you respond to the growing concerns of social actors on the ground?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u22	Mr. Speaker, Mr. Member of Parliament, as you know, the federal government has taken many steps in favour of the most disadvantaged. Most of these measures have been monitored by your committee, since they were adopted during the health crisis. One of these measures is the payment of a flat-rate temporary premium of EUR 50 per month per beneficiary of integration income or social assistance equivalent to integration income for the period from July to December 2020. The Council of Ministers also approved, in July, a grant of EUR 110 million for supplementary social assistance for the target audiences of CPAS in the context of the VOCID-19 crisis. This is an additional aid to the first amount of EUR 15 million released last May. The EUR 125 million is earmarked for 115 million to grant various aid to people who can no longer meet their expenses due to the crisis in VOCID-19, with the remaining EUR 10 million to cover the operating and personnel costs of CPAS. The SPP Social integration in charge of the repayment of this measure paid a deposit equal to 75 % of the total amount due. In addition to the aid, the indexed amounts of the Gas and Electricity Fund for the years 2019 and 2020 represent an additional amount of EUR 12,520,447. These rapid and concrete responses from the federal government directly helped people in precarious situations. Here is the answer we have prepared. I can't tell you any more.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u23	Madam Minister, we will certainly have to go further on this subject, because this problem is likely to get worse with this health crisis; there is unanimous agreement on this. A few figures by way of reply: more than 14% of households pay too much energy for them. More than 4% of households spend an abnormally low share of their disposable income on energy and are therefore potentially in a situation of restriction in relation to their basic needs. This is called hidden energy insecurity. Five per cent of households are concerned that they may not be able to heat themselves properly. Isolated persons and single-parent families are the most vulnerable types of household to this type of precariousness, with 32 per cent of single-parent families and 35 per cent of single-parent families in energy poverty, compared with just under 10 per cent of couples with children. Of course, in this type of household, women are overrepresented, as 80% of single-parent families are "conducted" by women. Older people are also often forgotten, they are part of it. The average age of 65 and over is lower than that of single men in the same age group. This problem potentially affects a large part of the population that will need to be addressed. I hope that the next government will do so and that Parliament will pay attention to this serious problem.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u24	Minister, as you know, the Amazon is once again the prey of the flames. The satellites of the Brazilian National Institute for Space Research (INPE) recorded 29,307 fires between 1 and 31 August. It was in this context that a coalition of NGOs and research institutes published on 1 September a study on the role of banking in tropical deforestation. The authors analysed the services provided to more than 300 companies whose activities are detrimental to the forests of South-East Asia, West and Central Africa, and Brazil. Globally, $154 billion in loans was granted and $37 billion invested in these companies. It is in Brazil that the observation is the most obvious. Cattle farming, responsible for 80% of deforestation in the Amazon, is the main beneficiary. However, the European banks are not left behind. Rabbobank, Santander and BNP Paribas are thus pointed out by this NGO collective. Since the signing of the Paris Agreement, which makes the preservation of our green lungs a high priority, the situation has even worsened, since the amount of appropriations for these three areas has increased by 40% between 2016 and 2020. In Belgium, the data collected indicate that KBC has allocated $2 million for soybean plantations in Brazil and Degroof Petercam $1 million for pulp production. But it is mainly in South-East Asia, and in the palm oil sector that Belgian finance stands out with a total investment of 119 million dollars, of which 83 for Nokia Bell Pensioenfonds alone, and credit grants for 49 million, of which 39 came from KBC. Minister, have you read this report? What analysis do you make of it? Will you contact the Belgian institutions mentioned in this report or have you had contact with them? How can they be made aware of the absolute need to turn their backs on these financial habits? Have you discussed this with your European counterparts? What initiatives can Belgium take at this level? How can this issue be integrated into the Green Deal for Europe?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u25	Mr Ben Achour, in answer to your first question, Belgium does not have a formal mechanism for tracing products imported from Brazil. A research project called Trase (Transparent Supply Chain for Sustainable Economies) aims to map as precisely as possible the source of certain high-risk deforestation products. This project has data for Belgium and we have asked UCL, Trase's partner, to help us analyse them. For Brazilian soybeans, the data cover the period 2003-2017 with an annual temporary resolution. They report imports of soybeans from Brazil to Belgium and the Netherlands amounting to more than 92 million tonnes, in total, over this period, of which at least 66% came from threatened biomes from the Amazon and Cerrado, also taking into account a proportion of about 17% of unknown origin. During this period, soybean imports were associated with a risk of deforestation for approximately 149,000 hectares, the majority of which, or about 75 per cent, were located in the Cerrado biome. On your second and third questions, since September 2019, an informal network of experts from the FPS Foreign Affairs, the FPS Economy, the FPS Public Health and the Federal Institute for Sustainable Development have identified a series of opportunities that would allow concrete progress on the sustainability of food import chains and in particular on the fight against imported deforestation. A draft note brings together a set of recommendations covering both regulatory and non-regulatory measures, namely the criteria for public procurement, as well as on strengthening traceability data, taxation, diplomatic dialogue, development cooperation, public-private partnerships and others. The Interdepartmental Commission on Sustainable Development, meeting in plenary on 26 March 2020, decided to include the finalization of this note in its Working Group on Social Responsibility before its transmission to the government this autumn. Moreover, the European Union has recently announced strong ambitions to combat imported deforestation. On 23 July 2019, the Commission published a communication entitled "Strengthening the European Union's action to protect and restore the world's forests". A network of federal and regional experts has been established within the framework of the International Environmental Policy Coordination Committee to follow up on this communication. On 16 December 2019, the Council adopted conclusions in response to this communication. These conclusions call on the Commission to carry out a feasibility analysis of a series of measures, including due diligence and public procurement measures. On 20 May the Commission adopted its biodiversity strategy. She announced that in 2021 a new initiative on sustainable corporate governance would be presented. This initiative, which will take the form of a legislative proposal, will address issues of human rights, environmental due diligence and due diligence in economic value chains in a proportionate and size-specific manner. Belgium will, of course, support this initiative and ensure that the fight against deforestation is properly integrated. In response to your fourth and final question, I can answer that the roadmap has been submitted for public consultation. It is now closed. For the moment, a new public consultation is open until 10 December 2020 to assess the relevance of potential measures that could be taken on the demand side of products imported into the Union to ensure that they have not contributed to deforestation. Finally, for more information on the current procedure, my collaborator will send you the link that will allow you to access this information.
