ParlaMint-BE_2020-01-14-55-commissie-ic086x.u1	Minister, ladies and gentlemen, best wishes! Beste wensen!
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u12	That's good news for a Régie building! I am therefore satisfied that there is at least one unhealthy building in the Régie for which a solution is found. I follow with my next question on a second building. The Chair: With the best wishes of the Régie and the Minister for the year 2020.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u13	Mr. Minister has a lot of courage with the Régie des Bâtiments.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u14	Minister, the main building of the former gendarmerie in Tournai has been unoccupied for 15 years. Only an annex building, I should say accessory in view of its small size, is currently used for the storage of the Justice FPS archives. This room is in an advanced state of unsanitaryness. On 30 April last, in a reply addressed to the mayor of Tournai, you reassured the Tournaisians that a relocation of the archives was analysed as part of the master plan prepared for Tournai, and that in the event that a relocation was not possible, the site would be split in a cadastral and technical way, and that at the same time, the Régie des Bâtiments was taking measures to combat the unflattering appearance of the site, removing the weeds. I'm sorry to tell you that five months later, nothing moved. Minister, I would therefore like to know the status of this matter. What's your status in relocating the archives? Do you intend to sell this building? If so, how long will it take to put it on sale? If not, what assignment are you considering? In the meantime, do you really intend to maintain this site?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u15	Minister, do you have any good news for Mrs. Dedonder?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u16	Mr President, she is generalizing the bad news she seems to be learning. So I'm trying to surprise her. Mrs.Dedonder, on the site there are still archives of the judicial services, some of which are destined for the general archives of the Kingdom. It is planned to relocate the Justice archives after their sorting, at the beginning of 2021, when the entire former gendarmerie will be free of occupation. The phased sale of the site is more complex than initially thought, in terms of site security, access, network connections and cadastration. That is why he was finally chosen for a sale of the whole. The whole complex will be destined for public sale at this time. It is the duty of the owner, namely the State, represented by its real estate manager, the Régie des Bâtiments, to maintain the property until its future acquisition.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u17	Minister, it is therefore a question of 2021 for the whole. I hope that by that time, I will not be told that we will have to wait. So I cross my fingers. As far as maintenance is concerned, you had already said that the site should be maintained. I visited the site several times and found that he was in a lamentable state. I therefore ask you to urge the various departments to take action. In particular, it is not pleasant for the residents to live near a site in such a state of unsanitaryness. So I'm making an appointment with you at the beginning of 2021. But nothing prevents you from coming to Tournai before. It is with pleasure that I will make you visit the site in question. Furthermore, you know that there are other issues that we still have.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u18	Minister, in April 2018, a report from Deloitte was discussed in the Chamber, ordered by your predecessor, showing that the federal government paid half a billion euros for 590 rentals, of which 43% was empty for at least half. However, the Regie contested these figures and stated in April 2018 that the rented buildings represented 2.7 million square meters of 7.1 million square meters managed by it. It also stressed that less than 2% of the rented buildings were not used. A few months ago, it became known that the Regie in West Flanders rents 5 empty office buildings from a private owner for a high rent. For the office buildings in Diksmuide and Knokke the government still has to pay rent until 2027. The Regie negotiated a few months ago to terminate the leases early. In addition, 161 vacant government buildings under the management of the Regie are effectively managed by vacant management Interim Property Management. Almost 9 years ago, the Regie concluded an agreement with that real estate manager for the free management of empty buildings through a framework agreement involving residence. However, the Government of the Buildings does not intervene in the relationship between the real estate manager and the loaners. Since it is official temporary occupation, which by definition excludes permanent habitation, according to the Regie these are in any case not real rental contracts. However, due to the long duration of some occupation contracts and the effective habitation, questions can be asked about this. In the media, therefore, the possibility of residence fraud emerged. Mr Minister, can you still confirm the April 2018 figures used by the Government of the Buildings today? Do you confirm that the 43 % at least partially empty position of the rented heritage is incorrect? How many leases for vacant government buildings is the Regie currently negotiating with the owners in the context of early termination? Where are these vacant government buildings located? What total rent are we talking about right now? How will the framework agreement with Interim Real Estate Management be evaluated today? What is your view on the long-term occupation contracts of borrowers and the possibility of residence fraud in buildings owned by the government?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u19	Mr Minister, at the beginning of November 2019 it was announced that the government has taken over the private company Interim Real Estate Management to allow 161 vacant government buildings to be managed free of charge. In order to avoid rejuvenation, the company allows habitation in those buildings. It collects rent for that. However, not all the buildings concerned are owned by the federal government. The Government of the Buildings rents at least five empty office buildings with a large user area and with at least three floors each. For those five West Flemish buildings, the federal government should pay one and a half million euros rent in 2019. What is the basis of this cooperation, Minister? What does that contract with Interim Real Estate Management support? Why didn't the federal government try to claim part of the rental income? Where are the 161 vacant government buildings of the Government of the Buildings located? How much does maintenance cost every year? What's the estimated value of those vacant properties? What prevents the Government of the Buildings from doing something else, such as renting, re-using or selling if necessary?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u20	Mr Ravyts, Mr Roggeman, there will be some parts of my answer in French because Mr Vanden Burre had also asked a question. The Government of the Buildings currently manages 970 complexes which together have a floor area of 6.8 million square meters. Temporary vacancy is therefore inevitable. It is both a buffer area that is necessary to cope with moving movements, and an empty position resulting from strategic decisions to sell redundant buildings. Empty means risks of all kinds of damage such as vandalism, squatting or due to calamities due to lack of supervision of the property. This leads to depreciation, which the Regie as a good family father of the state spatrimonium must absolutely avoid. For this reason, in 2011 the Regie chose to put a public contract on the market in which a collaboration with an external service provider, a so-called stand-off manager, was established. At present 158 properties, spread over 93 sites, are under vacant protection at Interim Property Management, of which 151 are owned and 9 are rented. This company allows these properties to be used temporarily, leaving them maintained and heated. This also improves the quality of life of the environment. The temporary use can be residential, a use as an office or as a studio. The system allows young people who do not want to settle in a permanent place for a long time, artists, start-ups,... to stay in sometimes very special buildings for a low fee. Temporary users have a maintenance obligation and pay the energy consumption. That means the Regie itself has no maintenance costs. So this is not a classic rental that results in income, but a win-win model. Since there is almost always a waiting situation or a transition situation of uncertain duration, the contracts must be short and flexible in order to respond quickly to, for example, a date of sale or to clear the building for a new federal destination. Interim Real Estate Management therefore does not allow temporary users to establish their main residence there, as at the start of temporary use it is never certain that they will stay there for most of the year. As a consequence, the Interim Real Estate Management Agreements therefore contain a clause prohibiting the establishment of an address for service. There is fraud of residence where the actual place of residence does not correspond to the address on which that person is officially registered in the population register and where the deliberate benefit is derived from cheating with the address of residence, e.g. in order to obtain a social benefit. That is not the case here. I understand that confusion is sometimes possible, and that is why this will be further included in the next evaluation. After all, the instrument 'empty protection' is being evaluated very positively and needs to be evaluated. In addition, each party knows the terms of the agreement it signs. I would like to be careful to spread with the public the list of state property that was decided to dispose of in the long term, for the sake of equality. Announced buyers must receive the same information at the same time. Speculation could harm the Regie. In the context of Parliament's constitutional control powers, I am prepared to make available to Parliament the list of buildings the decision to sell has already been taken. For the same reason, the sales value of the premises will not be communicated until the start of the sales procedure. The amounts have yet to be approved by the Treasury Inspectorate. With regard to the issue of unoccupied buildings, as a result of a downsizing and restructuring, the FPS Finances has deserted a series of buildings. In West Flanders, these are five buildings rented from SA Fedimmo located in Nieuport, Torahout, Dixmude, Knokke and Bruges. The current annual rent of these contracts – which expire at different times between 2021 and 2027 – amounts to a total of 1.6 million euros. Since this phenomenon occurs throughout Flanders, an early termination of 10 leases has been negotiated with SA Fedimmo. The proposal is being prepared for approval by the Council of Ministers. Details can then be communicated. Finally, I would like to clarify that the Regie currently has 282 buildings in rent. The total area rented is 2,582,489 m2. Of these, 83.191 m2 are currently empty. An empty position of about 83.000 at nearly 2.6 million m2, which is not so bad. The empty position of the rented area thus fluctuates around 3,2 %. On such a patrimony, 3.2 % is not that great.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u21	Thank you for your detailed reply, Minister. With the percentage of 3.2 %, you confirm that some people like to exaggerate or put things in the wrong perspective. I note that, in any case, attention will also be paid to the issue of the right of residence clause in the case of a subsequent evaluation of the instrument. I would also like to thank you for your willingness to give Members a number of opportunities for inspection, provided that certain strict conditions are met.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u22	Thank you for your detailed reply, Minister. I agree that emptiness is inevitable if we manage a total heritage of 970 buildings. It is logical that one always uses a buffer and that it is reflected in the empty position figures. However, its volume is much less logical. One in six buildings is empty or not used. This cannot, of course, be due solely to the strategic buffer reserve. There's a lot more going on. Today we have to establish that the Government of the Buildings, our federal real estate manager, must go for the management of real estate with another, private real estate manager. So there is a structural problem. It does not seem illogical to me that a government or a public institution should go into business with private partners if it does not have certain expertise, but if it goes into business with partners who carry out the same activities as its own core task, that is a sign on the wall. Something's really going wrong. There are structural problems. I believe that, even if it is a minister in a government of current affairs, you should also pay the necessary attention to this matter.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u23	Minister, the Lebbeke Post Office is for almost a fourth property of the Buildings Regie. The building is no longer in conformity with today's standards of accessibility. Under your predecessor, Mr Jambon, all the slopes of sale of the building were considered according to three scenarios: either bpost would take over the federal part of the post building, or the Regie would sell its share to the most offering, or both partners would sell their share and one would look for a new location. My question is very simple. What is the Government of the Buildings planning to do with the Lebbeek Post Office?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u24	Mr Roggeman, both co-owners, the Belgian State and bpost, want to reject the building. In addition to any safety or conservation work, no works are planned anymore. In 2018, Bpost and the Government of the Buildings discussed the possibility of selling the federal property to bpost, but no compromise was found on the terms of sale and therefore it was decided to market the property as a whole and distribute the proceeds on the basis of a distribution key. This method gives both owners the most chances of a correct distribution of sales revenue. The Regie awaits the timing of the sale, which will be determined by bpost, further. The Regie has no other buildings in Lebbeke and can therefore not assist bpost in its possible search for another location.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u25	Thank you, Minister, for your reply.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u26	Mr President, I would like to refer to your answer to my written question No. 83 on the property of the Government of the Buildings. In that reply, you refused to publish lists to Parliament. These lists list the buildings owned or rented by the Government of the Buildings. A report by the Court of Auditors from 2014 showed that the Government of the Buildings would not know its own buildings. The director's databases turned out to be incomplete. According to the Court of Auditors, the Regie would only gain a thorough patrimony knowledge with a few years' delay. Four years later, in 2018, an external review showed that the management of the portfolio of monitoring was still running squarely. At that time, the Buildings Regie managed 7.5 million square metres of buildings, but only 16 percent of these buildings could tell what happened to them. According to the screening, this was one of the causes of large-scale emptying. The accounting and administrative programme with which the Regie works is still outdated, as recent surveys show. It dates back to 1983 and is barely maintained. There is no system for allocating staff to yards or an IT platform to monitor maintenance work. According to recent surveys, malpractice leads to tens of millions of euros in additional costs. My questions to you are as follows, Minister. First of all, does the Government of the Buildings know its own property? Secondly, if so, does she have a list of them? Thirdly, if so, do you maintain your refusal to make this list available to Parliament? Fourthly, if so, how do you reconcile that position with the constitutional control function of this Parliament? Finally, can we invite the Regie here for a hearing to read out that list of its 970 buildings with the corresponding addresses? However, it seems to me more efficient for our work if we simply have that list. I believe that this would be a better use of both your time and my time and that of your cabinet staff.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u27	Mr Roggeman, I can assure you that the Government of the Buildings knows what real estate it manages. All state property and rental buildings are located in a database, the data of which are kept permanently up-to-date. The data shall include both technical, financial and legal information. Reports can be distilled from this database. This is a function that is often used to answer parliamentary questions and is also used in the context of real estate management. I wish to jump with caution to spread the list of state property to the public, to avoid that the Regie would be harmed by speculation on strategically interesting buildings or land. In addition, this list also includes buildings where security and other services are housed. In the context of Parliament's constitutional control powers, I am prepared to make this list available to Parliament. I can still tell you that there is a public contract in progress to have the property managed by the Regie valued at market value, so that this value can be included in the accounts later this year, according to the law of 22 May 2003 on the organisation of the budget and on the accounting of the federal state. Furthermore, a software program is being rolled out, which allows for more information about the buildings to be managed, allowing space management to be carried out and the rental and rental contracts to become more profitable.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u28	For the sake of clarity, Minister, did you say that you would make the list available to Parliament?
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u29	I thought I said that again.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u30	Minister, my question will be illustrated. I won't make it a habit, but, as they say, a good picture speaks better than a long speech. So I'll use PowerPoint. I have already made your colleague, Mr Clarinval, aware of the state of certain sculptures in the park of the Royal Museum of Central Africa in Tervuren, on the assumption that he is in charge of scientific establishments including the said museum, while being well aware that you are in charge of the Régie des Bâtiments. In 2012, the E-monumen.net site listed a dozen works of art from the park of the Royal Museum of Central Africa being in a state worthy of serious restoration. In February 2019, I asked, with photos in support, the administrator of the Régie des Bâtiments, Mr.Vrijdaghs, and the director of the Royal Museum of Central Africa in Tervuren about the state of degradation of the base of the work of Elisa Bloch, called Virginius and his daughter, located in the park of the said museum. It is a bronze sculpture dating back to 1886. I will not give too much details about the work in question. The photo you can see is about a year and a half ago. This work has deteriorated dramatically since then. As I said, at the time, I had drawn attention to the deterioration of the base and the risk that the work would collapse. At the time, Mr.Vrijdaghs replied by mail that the Vlaanderen Regio Oost service of the Régie had launched, at the beginning of 2019, an analysis of the file relating to the base of this sculpture. Due to the protection of this monument and the landscaping interest of this site, the Directorate General of Operational Services informed us that the file should also be submitted for approval to the Flemish service Onroerend Erfgoed. If you compare the picture you have before you with the one that was previously projected, you will find that in a little more than a year, the base of the work is actually much more degraded. Fortunately, we no longer know the winters, nor the freezing periods of old, but this does not prevent time from doing its work. Today, the state of the base of this sculpture is much more worrying. Other works are also concerned. If we turn to the following image, you can see that the base of the work called Marguerite at the church that dates from 1849 is also in very poor condition. This work is located in this beautiful park located around the magnificent Royal Museum of Central Africa. As you can see on this slideshow, it is most often the bases that are in poor condition. Some works also require a small refreshment. In the following picture, we notice that the work itself is really deteriorated, while for many of them it is the base that is in question. Minister, can you inform me about the restoration of the base of the work Virgilius as well as other works that would also deserve one? I admit that on November 27, 2019, I received a reply from Mr.Gryseels which leaves me a little puzzled because I think it will last a long time before something happens. Mr Gryseels replied to a letter by resuming the notification of what was probably a report in Dutch. I quote: "A solution has been discussed with Real Estate. There is only one oral agreement. The file has yet to be presented. The publication can be done after approval of Onroerend Erfgoed, probably October 2020. The file was filed with Onroerend Erfgoed. No response has yet been received. A publication is foreseen at the end of November. Implementation will take place in 2020 on the basis of weather conditions." If we have to wait for a notice of service until October 2020, it means that depending on the weather and climate, one more winter would pass without a repair of this work. I was amazed at the slowness of things. Minister Clarinval replied that there was the "Topstukken" decree in Flanders. Should we really wait for this authorization of services for a federal work in a federal domain, which is owned by the state? It is ultimately about the repair of the base, and not even the work itself. Is the Royal Institute of Artistic Heritage not competent to do so? Minister, I am concerned about the state of this work, and about others.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u31	Mr Delizée, as an existential attitude and arrangement, I obviously share your impatience. But since the question you asked me focused on Virginius, the answer I have only concerns this work.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u32	No problem!
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u33	This is a protected monument. It was necessary to obtain the agreement of the Flemish agency Onroerend Erfgoed. The latter agreed on 5 December 2019 to proceed with the restoration of the bronze statue and the reconstruction of an identical concrete base. This base is currently constructed of coated brick, which after examination is still strong enough to withstand this winter. However, pending the renovation of this floor, control has been put in place to ensure that, if unexpected problems arise, protective measures are taken immediately. The restoration budget is provided for in the 2020 investment programme. As far as weather conditions permit, work will be carried out in spring 2020.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u34	Minister, you are telling me that the work will be done in the spring of 2020. It's very soon. Indeed, I am less worried about this work. In the answer given to me, we were talking about October 2020. This may mean one more winter and the intensification of degradation. If you tell me that the work will be done in 2020, I think we can be reassured. It is a common heritage of all Belgians, of all citizens. I am pleased to know that the repairs will take place on time. Of course, perhaps the Régie can also look at other bases. There's less urgency. But it is an exceptional museum, in a park that is as much so; it is therefore necessary that the works be renovated as best as possible. Thank you.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u35	Mr Ben Accour is not present. His question No. 55002181C expires. Debates of the European Parliament Mr Vanden Burre's question was converted into a written question at his request.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u36	Minister, the FPC Ghent is perhaps one of the flagship points of your policy. There is also a forensic psychiatric center in Antwerp. So both buildings are, to put it mildly, quite recent. But the staff of the forensic psychiatric center in Ghent, where more than 260 insanity-relievable patients are staying, is currently operating with a modified working schedule, because the room doors cannot be reliably closed. I will break down an open door when I say that it creates additional workload and a feeling of insecurity. The management now offers a temporary solution by recruiting two agents from a private security firm, but the media say that a repair is not possible in the very short term. There was consultation with the unions. They are a bit impatient and demand a final answer to the problem by next week, 21 January, if I am in favour. If not, they are threatening strike actions, which would be a bit strange in such an FPC. It's not the first time there's been trouble. You yourself indicated in the press that you were able to resolve the problems of the connecting doors between the various parts of the building very quickly last year. Apparently, it is now a bit more technically problematic to find a very quick solution. I'd like to get an update. After all, it is appalling that such problems appear fairly quickly in this new building. The Government of the Buildings has tried to minimize them, by saying that it is only a very limited number of doors. Anyway, the facts reached the press and people, not least the staff, have questions about that.
ParlaMint-BE_2020-01-14-55-commissie-ic086x.u37	Minister, although the FPC Ghent, which cost about 80 million, has only been in use since 2014, we can see that there are a lot of problems. That's not the first time. In August there were also problems with the doors. Recently, patients have been shown to be able to manipulate the automatic locks of their doors and walk out of their rooms, when they should actually be in jail. This, of course, brings dangerous situations for both patients and staff. In addition, staff have to adjust the employment rate in order to ensure safety despite the unreliable locks, thus increasing the workload. The common trade union front therefore immediately demands a definitive solution from the Government of the Buildings, which manages the building, and threatens to take action if that solution does not come soon. Minister, what scale is the problem with the locks in the FPC in Ghent? Do all the cell doors need to be modified? What was the cost of those automatic locks? Can the costs be recovered from the contractor concerned? Is the FPC in Antwerp equipped with the same locks from the same supplier? What's the situation there? Will trade union demands be met for a quick and definitive solution for the poorly working doors?
