ParlaMint-BE_2020-06-09-55-commissie-ic199x.u1	I would like to welcome both ministers and colleagues.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u12	I come to my question about the financial stability of hospitals. We will inevitably have to review the method of evaluating budgets in the light of the crisis. The 2022 hospital budget should not be calculated on the basis of this year's figures. This would make no sense, as the figures were totally impacted by the VOCID-19. How is the change in the calculation of hospital budgets envisaged? You have announced an additional €500 million advance for hospitals, will it be distributed on the same basis as the first advance? Psychiatric hospitals will be affected this time, how high? Do you now believe that these two advances will be sufficient to cover the losses and additional costs associated with the crisis? The financial impact of the crisis on hospitals and on the remuneration of doctors involved in crisis management is being assessed – as you said – in INAMI by working groups. On the basis of this work, a regularisation mechanism is foreseen on the basis of acceptable real financial impacts. What's the status of the work? Can you make the point? When will hospitals have specific indications in this context? Above all, can you assure us today that the financial impact of the health crisis will be amortised for each hospital individually on the basis of the objectified data included in the 2020 annual accounts? My next question concerns the use of UVC lamps that are now used in the disinfection of air, water or surfaces. They are used in hospitals but also in other areas. It is our responsibility that a ministerial decree is in preparation. It would appear that UVC disinfection can be used in a strategy complementary to other disinfection techniques, provided that its use is marked and surrounded by validated safety processes. Do you confirm that the order is in preparation? Is it envisaged to limit their use to the hospital environment, given that this disinfection technique could be used in other places in a suitable way, such as theatres, gyms, cinemas, supermarkets, stations or metros? If so, on what elements do you base your position? What studies have been carried out in this framework and what are the results? Why consider a distinction between hospital and other settings? What is the legal framework today for regulating the use of these products that can be dangerous if they are misused? Has the sector concerned been consulted in this context? Finally, my next question to Mr. De Backer, it's about saliva tests. A simple saliva test could reveal whether or not a person is carrying coronavirus. Two researchers from Yale University detected the presence of the virus in saliva not only asymptomatic subjects, but in whom the usual screening test had not detected the disease. This would allow all symptomatic cases and their entourage to be systematically tested in record time during this period of debunking. It is also learned that it can be done by the patient himself and gives visible results to the naked eye in 30 minutes. Minister, we need to make the system more agile, because contacts are difficult to avoid in many areas where it is essential to test easily and simply – sport, prison, etc. – but also among the healthcare staff. A study commissioned by the Task Force is currently being conducted by several universities. When will the results be known? How is this mission going? Will the Defence indeed lend a helping hand to the sorting centres?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u13	This issue of importance is unfortunately part of the collateral damage of the health crisis. Madam and Mr Ministers, I would also have liked to hear from you about the latest opinion of the Expert Group on Deconfinement (GEES), which expressed its concern about our country's unpreparedness in the face of a possible rebound in the epidemic. Do you think we're ready? If so, on what objective elements do you rely on? Finally, I had also tabled a question to the Minister of Defence concerning the famous tissue masks intended for the population, which are arriving for distribution in pharmacies. I wanted to draw your attention to a press release that was sent yesterday by Creamoda and Febelsafe (Belgian Textile Maintenance Federation). These two actors are unhappy – and rightly so – because their press release tells us that the masks provided by the state cannot be washed at more than 30° and by hand – in direct contradiction to the recommendations and technical requirements of the government. Indeed, it recommends the washing of fabric masks at a minimum 60°. This remark was relayed by maakjemondmasker.be. These masks, which we have waited for weeks and months, will soon arrive in pharmacy. However, they do not meet the technical requirements. I would therefore like to hear from you, Madam and Mr. Ministers, on this subject.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u14	Madam Secretary, researchers from the Department of Laboratory Medicine of AZ Delta in Roeselare claim that there would be a correlation between low vitamin D levels and severe COVID-19. They studied 186 patients with severe COVID-19 and compared them with a large prepandemic control population with comparable age distribution and vitamin D values, measured in the same season. They came to the conclusion that the more serious the vitamin D deficiency was, the higher the risk of advanced stages of pulmonary impairment. In a previous question last week, I called for natural products and vitamin supplements to be included in the list of potentially active substances against COOVID-19. Of course, this must be accompanied by sound research and quality control. One of the possibilities for easy access to data is to offer doctors who use such products the possibility of losing their findings and results anonymously somewhere. I have a few questions about that. Do you intend to set up such a point so that doctors can share their results without risking losing their jobs? Are you aware of this study on the correlation between vitamin D and severe COVID-19? Does the government support clinical studies on natural products and/or vitamin supplements? Why is that? Why is that? Will you and your Flemish colleague launch a awareness campaign to focus on the importance of a strong immune system in the fight against COVID-19 and other diseases? My next question concerns Prince Joachim. After all, we heard from the press that he had been illegally to an adorable lockdown party of the nobility in Cordoba, Spain. That's where he would've gotten infected with the corona virus. Now we have been told by you and your TV virologist that at least one week of incubation is to be reckoned with before people know if they are infected with the virus or have symptoms. Any word on where the prince got the virus? Is the prince being sanctioned for violating the corona measures? What sanction is attached to that? In the meantime, have there been any contagions in the royal family? At that time, it was forbidden for ordinary mortals to go abroad, unless that was really necessary. In that case, they had to fill out a form allowing them to cross the border. This form had to be completed and delivered to the FPS Employment, Labour and Social Consultation. What statute does Prince Joachim fall under? The form refers to Belgian workers who have to make a necessary transfer abroad. According to my information, the prince lives and works in South Africa. If he has completed such a document, will it be made public? If he has not filled in a document, or filled it out wrongly, or filled in a wrong document, what are the penalties? Will further research be carried out on this illegal practice?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u15	Madam Minister, for the introduction of my question I refer to the written impact of my question.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u16	Minister, Minister, we are beginning to find a semblance of normality. However, experts point out that the coronavirus is far from extinct. It is imperative to continue to act as a barrier and to ensure that gatherings remain rare and respect these preventive measures. Here are some of my questions. I refer the others to the written text and hope to receive the written answers as you have already done. Can you give us an update on the situation of clinical trials underway in our country? That deserves some clarification. Given the contradictions in the media, it is important to be able to fully inform. With regard to hydrochloroquine, WHO and the European Union have suspended its use, particularly in the Discovery programme. Since then, it appears that WHO and Discovery would eventually resume trials on patients. Can you clarify the current recommendations of Sciensano at this level? Do you have any new information, particularly from the University of Leuven, which is studying the effect of the molecule and what about the other current treatment routes? Secondly, with regard to business testing, what are the current authorizations and what is the status of the authorizations and guidelines for physicians in this regard? Since the submission of my question, employers' federations have reacted publicly to the blur that still seems to be being experienced on the ground. Tracing cells would transmit divergent messages while results are provided only five days after the test. It is obviously very difficult to manage within companies. I was able to read that the representatives of the companies, in particular the Walloon Union, have written to you and your regional colleagues on this subject. Can you tell us what may have been sent to them as necessary and additional information? What are the contamination figures recorded by trace contacts in the regions? What is the finding made so far by the co-ordination testing and tracing? Are adjustments needed? Thirdly, with regard to the gradual resumption of consultations in private practice and in hospital, could you tell me what monitoring is in place and provide us with an overview of the situation for hospitals and private offices? One can actually hear intriguing testimonies, such as those of dentists who can only receive a few patients in a day given the disinfection measures to be carried out between each appointment. In terms of reception capacity and waiting level for consultations or care, how is this managed? Is an evaluation of safety and protection measures in the context of de-confinition addressed structurally to extra-mural professionals? Fourthly, regarding the fifteen million masks that will be distributed in pharmacies, what procedure is in place and communicated to pharmacists with a view to making this distribution? Is it practically possible to respect it for pharmacists? Fifthly, regarding pandemic resurgence scenarios, which is a risk after this summer, according to some, what measures are already decided upon and ready? I interviewed the Minister of the Interior more than ten days ago. He stated that a complete mandatory reconfinition would no longer take place. I asked him for clarification of the provisions of the potential reconfinition plans, and he asked me to ask you. This is all the more so since, in the light of new information about a rebound in the epidemic, a series of GEES recommendations would still not have been implemented. Experts were reported to have raised concerns about the preparedness and prevention of a new epidemic peak. These measures would not yet be put in place. It is obviously not possible to see our healthcare staff again placed in the front line without the proper conditions. Can you tell us precisely about this preparation? Regarding the situation of the hospital deficit, you have announced a new billion euros for our hospital centres. However, some professionals estimate the urgent needs of our hospitals at more than €5 billion, given the proportion of their funding linked to medical activities. These medical procedures were completely stopped when they were not urgent, while hospitals had to bear significant additional costs associated with the care of patients with VOCID-19. Can you tell us the nature of the amounts released, that is to say, those two billion to date? What is planned in the next few months?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u17	Mr President, I shall devote myself to the question to Mr. Backer on the use of serological tests. We know that testing strategy is a key success factor. Serological tests used to detect the presence of antibodies against the virus are important. However, although the serology method has a good specificity and a sensitivity response of 70-90%, serology interpretation remains complex. It is indeed necessary to wait 14 days after the first symptoms of VOCID-19 have occurred to ensure that a serology is sufficiently reliable. Moreover, it is still unclear what type of antibodies actually confer immunity for how long or for what reason. Minister, what strategy do we follow with regard to the type of test? Will we now introduce serological tests on a large scale, even if it takes longer for these tests to produce a reliable result? What about the reimbursement of those serological tests? For my questions to Minister De Block, I refer to the text submitted.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u18	The CD&V Group did not put any questions. Mrs Farih took part in the meeting earlier. It can always ask for the floor if it so wishes.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u19	Mr President, Madam Minister, my question No. 55006879C is about the Belgian money invested in CEPI. My question No. 55006869C concerns the second advance of EUR 1 billion given to hospitals. Several colleagues have already asked questions about this. Of course, he is also interested in knowing how much money is involved and how that extra money is distributed among hospitals. I think everyone's waiting for that information. For these two questions, I refer to the text tabled.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u20	Mr De Backer, we now have the GEES reports, which were finally released. Those reports show that the opinion of the GEES is not always followed in relation to the testing strategy. If there is no agreement between the various bodies, who will make the effective decisions? In addition, Mr Emmanuel André announced a few days ago that he would resign as responsible for tracing and testing. What comment do you have on that? The extension of the testing strategy is still the subject of much discussion. It is still not possible to test, even though the doctor thinks that a test may be needed in asymptomatic patients, for example. The test criteria in force would be extended again. Yesterday I read a press release by Domus Medica, the Flemish family doctor's association, entitled "New testing strategy: chaos and waste of money." The family doctor's association believes that with two tests and one serological test there is actually too much testing. They are in favour of performing one PCR test in all index patients and all high-risk contacts. So they don't necessarily want to run the three tests on each person. They believe that you have extended the testing in that way to increase the statistics. On the other hand, we heard the following this morning. On the other hand, this morning, on the air of La Première, we heard an interview with a representative of the nursing homes who, on the other hand, denounces the fact that, for every newcomer, whether they are returning staff after a leave or students who come to work regularly in nursing homes, there is no testing strategy. Rest homes do not know how to test this new staff or return staff after a coordinated absence. As a result, nursing homes are beginning to buy tests and follow their own testing strategy with the risk of creating chaos a little and, who knows, also with the risk of a rebound of the epidemic within nursing homes.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u21	Madam Secretary, I had tabled two questions, both for you. One question concerns the duration of the quarantine, namely question No. 55006767C. My second question concerns the vaccine against seasonal flu. That's question No. 55006768C. First of all, anyone diagnosed as infected is initially quarantined at home. Until now, a minimum period of two weeks of quarantine had to apply. Now it is being considered to shorten that deadline. It is, of course, important that this is clarified in the light of the further roll-out of the exit strategy and in order to avoid a new peak. Madam Minister, is there any scientific evidence to suggest that the duration of the 14-day quarantine could be effectively shortened? How long will the quarantine take from now on? When would that be clearer? The second part of my speech deals with the vaccine for the common flu, which was also the subject of questions last week. In its opinion on the vaccinations against the seasonal flu, the High Health Council reviewed this in the light of the COVID-19 pandemic. In addition, the Council adheres to its earlier recommendations, focusing on persons at risk of complications, i.e. specifically pregnant women, chronically ill and persons over 65 years of age. But he also considers it useful to vaccinate all individuals between 50 and 65 years of age this year. According to him, this could reduce the number of hospital beds occupied, which would be important, as the seasonal flu could coincide with a second peak of COVID-19. In particular, the Council calls on staff in the health sector to be vaccinated, not only in the interests of their own health, but also in order to ensure that it remains as available as possible in the event of a second peak. Madam Minister, is the Community being consulted on a common policy on flu vaccination, given the danger that the peak of seasonal flu may coincide with a possible second COOVID-19 peak? Traditionally, general practitioners make great efforts to vaccinate elderly people at home and at risk against the flu. In view of the situation, will they receive additional guidance, especially as regards their patients aged between 50 and 65 years?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u22	Madam Minister, Minister, I refer to my questions. 55006743C, 55006883C, 55006865C and 55005960C.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u23	Finally, I have a question about a topic hot from the needle. In its report, GEES recommends that a control tower should be established with a view to a system of fine-meshed monitoring of the evolution of the virus, in order to be able to intervene in the event of small outbreaks in order to prevent a larger outbreak. How's that going?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u24	Madam Minister, I have a question about a particular target group for the exit strategy, namely the chronically ill. They too must get back to work. Are they allowed to go back to work? What are they at risk for? What are the risks for the partners and children of those chronically ill? They do not yet have a clear answer to many of their questions. Is there already an exit plan or strategy on information exchange between all the relevant bodies as an advisory physician, general practitioner, working environment, prevention doctor, schools? Will there also be directives on the exit strategy for chronically ill people, who absolutely need to take account of their specific situation?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u25	Mr President, I will be brief. Minister, I have different questions. First of all, on hospitals, a subject on which I come back regularly. A further EUR 1 billion advance was paid to hospitals. Why is it again an advance, and therefore recoverable, while this system aggravates the uncertainty and management difficulties of hospitals affected by the crisis of the VOCID-19 (funding collapsed and additional costs). When will clear guarantees be provided to them? What is the precise timing of the ongoing working groups? Will the budget be well allocated to cover all the needs and to enable the financial balance of hospitals? One in two patients have delayed the necessary care and continue to do so because of the VOCID-19. Colleagues have already cited the study of KUL and UCL. The consequences can be serious. This is the case in strokes, infarctions, but also cancer screenings. I propose a communication campaign and work in partnership with general practitioners, home nurses, pharmacists and hospitals to maximize the number of patients returning to hospital. Mr De Backer, I have a few questions about testing and tracing. First, the fact that the test is still not possible for asymptomatic patients. According to various statements from both Erika Vlieghe, Marc Van Ranst and Emmanuel André, testing/tracing is not effective. We are therefore not strong enough to prepare for a rebound and avoid it. What about it? What is the number of patients actually contacted in this context? How many patients are actually isolated? Will the directives evolve? Finally, I must deplore the fact that the federal authorities have issued N95 masks to dentists, while milling poses a major risk to aerosols and thus to the contamination of VOCID-19. Why do dentists not have access to KN95 masks or FFP2 masks?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u26	Mr President, I will have two questions about mortality in nursing homes. The figures have finally been published on this subject, but they are apparently approximations given the way they are notified in Flanders. I would have liked to have precise figures on the total deaths of residents in nursing homes, which was catastrophic. How long have these figures been known? Why have they only been published in recent days? And, above all, why such a disaster? Do you confirm, Madam Minister, that residents in nursing homes have been refused by hospitals? Do you also confirm that recommendations have been made to some nursing homes so that they do not transfer their sick residents to the hospital?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u27	Do you not consider that the recommendations for wearing the mask in the secondary level should be clarified, knowing that the resumption of courses is scheduled for June 8th? Many teachers regret that there is a lack of consistency in that adolescents over the age of 12 must now wear the mask in public transport, but not in school.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u28	What proportion of hospitals are equipped with this technology and why?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u29	Therefore, can the Minister inform me: a. if she has read this opinion? b. if it shares the position, in my view, very legitimate and fair, of the CSS and what are the accompanying measures in this respect?" I have to go back to the reconfinition plan more precisely, because this is the third time, Madam Minister, that I ask you this question and I hope to get an answer, given the concern expressed by the GEES over the past few days. Indeed, these experts believe that we would not be prepared for the possibility of a rebound in the epidemic and regret that several recommendations could not be implemented. They highlight in particular the slowness of the testing process, the lack of mobilized teams and budget, the absence of an action plan defining the levels of responsibility, but also and above all the exhaustion of the health care staff. For this latter reason, they recommend the organization of a consultation with the same staff. Minister, what answer do you give them? How soon will you be able to answer them? I would also like to ask you about a study endorsed by Imperial College in London, according to which Belgium has the highest infection rate among the eleven European countries examined. In this respect, Belgium is said to be the worst student in the class, with 8% of the population contracting coronavirus, while the rate in Germany is 0.85%. We already knew that the death rate was unfortunately at the top of the world ranking, but it was because we had the intellectual honesty to account for deaths in nursing homes, even though they are not always formally attributed to the coronavirus. How can you explain the height of this rate? I also wanted to address two questions to Mr. Backer. The first concerns masks provided by the federal government. The famous 18 million fabric masks have finally arrived. They will be available from June 15th in pharmacies. Of course, we are happy about that. Except that the problem is that these masks are already criticized for their quality, but also as regards their washing instructions and the fact that they should not be ironed when we see clearly, on the official site of information on the coronavirus, that the masks must be washed at 60°C and that they must, failing that, be ironed. So there is really a problem with the instructions to the population. How do you respond to that? Are these masks still reliable? Have they been tested? Why should they be washed differently from other fabric masks? Minister, what about the famous filters that were to be delivered to the citizens, according to the announcements at the beginning of May, and which were intended for artisanal masks, the masks that the citizens had to buy themselves. I'll finish with the tracing. You're not without knowing that...
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u30	Very briefly, Mrs Rohonyi, please!
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u31	... Google and Apple have launched the deployment of an exposure notification feature to VOCID-19, which obviously raises questions, because we still do not have a legal basis for the implementation of a mobile application. Minister, how is this new feature, introduced by Google and Apple, privacy-friendly? I have a lot of apprehensions about this and I had to relay the concerns of the citizens.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u32	I think everyone had the opportunity to ask his questions. I will give the floor to the ministers. I thought I'd give everyone half an hour, I hope that's all right. Mrs. De Block said she didn't. Maybe Mr. Can De Backer take a little less time?
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u33	I'm sorry, but there are a lot of questions on important issues. I can't explain all this in half an hour. I'm so sorry.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u34	I'm gonna try to free up some more time for Mrs. De Block.
ParlaMint-BE_2020-06-09-55-commissie-ic199x.u35	All right, we'll see.
