Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	GilissenErik	Gilissen, Erik	M	1968	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VerhelstKathleen	Verhelst, Kathleen	F	1969	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VerhelstKathleen	Verhelst, Kathleen	F	1969	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2020-09-23-55-commissie-ic267x	ParlaMint-BE_2020-09-23-55-commissie-ic267x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-09-2020	2020-09-23	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
