Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u33	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	JirofléeKarin	Jiroflée, Karin	F	1962	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u34	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	ReuterFlorence	Reuter, Florence	F	1969	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u35	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u36	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u37	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u38	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u39	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u40	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u41	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanCampYoleen	Van Camp, Yoleen	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u42	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	TaquinCaroline	Taquin, Caroline	F	1977	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u43	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u44	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	TaquinCaroline	Taquin, Caroline	F	1977	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u45	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u46	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u47	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u48	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u49	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u50	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u51	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u52	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u53	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u54	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	SneppeDominiek	Sneppe, Dominiek	F	1973	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u55	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u56	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u57	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	WarmoesThierry	Warmoes, Thierry	M	1964	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u58	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u59	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u60	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	TaquinCaroline	Taquin, Caroline	F	1977	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u61	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	BertelsJan	Bertels, Jan	M	1968	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u62	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	HennuyLaurence	Hennuy, Laurence	F	1970	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u63	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u64	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	VandenbrouckeFrank	Vandenbroucke, Frank	M	1955	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u65	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	TaquinCaroline	Taquin, Caroline	F	1977	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u66	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	BertelsJan	Bertels, Jan	M	1968	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u67	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	HennuyLaurence	Hennuy, Laurence	F	1970	
ParlaMint-BE-en_2020-10-20-55-commissie-ic283x	ParlaMint-BE_2020-10-20-55-commissie-ic283x.u68	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 20-10-2020	2020-10-20	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
