ParlaMint-BE_2020-05-15-55-commissie-ic178x.u1	Question No 55002656C by Mrs Vanessa Matz is postponed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u23	Madam President, Madam Minister, my question also dates back, but I think it is still relevant. The Michel government has abolished the integration allowance for young people over 25 years of age, as well as for those without a diploma under 21 years of age. Previously, the risk of poverty was mainly for pensioners. From now on, it also affects young households which, even when working, struggle to tie up the two ends. For the 16-24 age group, the risk of poverty is 22.1 per cent. More than one in five young people are at risk of poverty. Today, more than 27,000 young people between 18 and 25 years of age benefit from social integration income. This figure is seven times higher than it was fifteen years ago, reflecting the growing precariousness, particularly among students, but also among young people in general. Minister, have you planned an action plan to get young people out of poverty? Has there been any consultation with the federated entities in this context?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u24	Madam President, ladies and gentlemen, a policy to combat child poverty must take into account family poverty and address the structural causes of poverty. In the fight against poverty, the federal government places strong emphasis on combating income poverty, for example by increasing the overall employment rate and net incomes, as well as non-monetary poverty, for example by improving access to quality services. It is therefore essential to increase the work intensity of these families, in particular single-parent families, by investing, for example, in accessible and flexible childcare services and mobility. I would like to mention some initiatives and actions aimed at reducing child poverty. 1. At an expert seminar organised by my administration, future social developments with a possible impact on European and national policy to combat poverty were discussed. The reduction of child poverty had emerged as a priority. In the discussion of the next federal action plan to combat poverty, one of the priorities will be the reduction of poverty among children and families. The actions will be carried out as stipulated in a recommendation from the European Commission, in particular investing in children to break the vicious circle of inequality through an integrated strategy based on three pillars: - access to adequate financial resources; - access to quality services; - to guarantee the right of children to participation. 2. The reduction of child poverty was also one of the topics discussed at the opening day of the Belgian Platform against Poverty and Social Exclusion EU 2020. The purpose of the day was to prepare an opinion for the national reform programme. 3. Local platforms for family poverty dialogue focus on how networks can effectively help to lift families out of poverty. Twenty CPAS are participating in this project. In concrete terms, a local consultation platform pursues the following objectives: early detection of problematic situations and the provision of concrete and integrated support for children and their families. 4. Through intensive support, the MIRIAM project aims to strengthen the autonomy of isolated mothers, break their social isolation and reduce their poverty situation. MIRIAM pays particular attention to their socio-occupational integration. Given the multidimensional nature of the problem of poverty and the need for an integrated approach to address it, there is a need to maintain coordination, coordination and collaboration between skills and levels of power. That is also why the Interministerial Conference is also an essential body.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u25	Minister, thank you for your answers. I am reassured that the fight against child poverty is on the agenda. As you said, coordination is really needed between the federated entities. It is true that, in the past, the federal government had committed itself to developing with them a realistic plan to eradicate child poverty. However, I am surprised that the rate of unemployment does not decrease significantly. The situation is somewhat paradoxical. I observe that the figures reported by Statbel confirm my words. It shows that for people aged 0-15, the poverty rate is likely to rise from 16 to almost 20 per cent in just 10 years. In any case, certain measures come into force. I will not fail to come back to question you, Madam Minister.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u26	Minister, thank you for these answers. I am pleased to hear you say that you intend to increase the employment rate and net incomes. I would say: employment, but then sustainable employment. No CDD jobs or other flexible contracts. And increase net income. I imagine, therefore, that we can count on your support to raise the minimum wage, to increase allowances above the poverty line, for equal pay for men and women – because that is also the net income. As far as artists are concerned – I'm talking about it here because it's current – many young artists are in a precarious situation. I therefore imagine that we will also have your support on Tuesday when we consider this proposal in the Committee on Social Affairs. What is also worrying is the increase in the demand for social inclusion income in CPAS. Many young people must turn to this solution. CPAS do not have the means to respond to all requests. There, too, other solutions will have to be considered so that no one is left at the side of the road. I'm counting on you.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u27	Madam Minister, in the context of the opinion on the reduction of successive daily contracts, the social partners agreed to reduce the use of successive daily contracts by at least 20% over the period 2018-2019 compared to their use in 2016. If the result was not achieved, they undertook to agree more stringent measures. In concrete terms, this meant that the use of consecutive day-to-day contracts with the same user had to decrease from 27.4 % in 2016 to 21.92 % in 2019. In January, the final figures for 2018 and 2019 became known. Thus, with a share of 23.55 % of consecutive daily contracts, 1.63 % is above the agreed target. In absolute terms, we see that 6.44 million daily contracts were still concluded in that year, of which 2.78 million were concluded with the same user. As you know, I have for a long time submitted a legislative proposal which was delivered to the NAR for advice in the context of the priority discussions in the Committee on Social Affairs. This includes a more binding provision to address the improper use of day-to-day contracts. After months of waiting, that advice is still not available. That is why I am addressing you, Madam Secretary. How do you evaluate the non-realisation of the appointment in the mentioned NAR advice? Do you agree with me that it is now finally up to the government to limit this use that puts thousands of workers in income uncertainty?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u28	Thank you, Mrs Kitir, for your question. The legislation on temporary agency work is a matter based on a delicate balance between, on the one hand, the need for flexibility on the employers' side and, on the other hand, the demand for contract stability and job security on the workers' side. Even more so than in other areas of labour law, the conflicting interests of employers and workers in this area must be reconciled. In 2012, the social partners and the NAR managed to conclude a so-called package deal on modernising the regulation of temporary agency work. Under the agreement, some of the trade unions' demands were met, including the abolition of the 48-hour scheme, which is a system of limiting successive day-to-day contracts. In exchange for meeting some requirements on the employers' side, there was the addition of a new motive inflow and the extension of the possibilities to sign contracts electronically. The agreement was subsequently transposed by the legislator into the Law of 26 June 2013 and by the social partners through national collective agreement No. 108 confirmed on 16 July 2013. Articles 33 to 40 of the collective agreement lay down the conditions for the use of successive daily contracts. As part of a biennial evaluation, the social partners in their opinion No. 2091 the commitment to take more binding measures itself if, on the basis of RSZ figures, it appeared that the number of consecutive daily contracts would not have decreased by 20% in the period 2018-2019. In the implementation of the agreement at sectoral level, the individual companies which make excessive use of successive day-to-day contracts are also highlighted as being responsible. Mrs Kitir, I believe that we must respect the agreement between the social partners. The relevant RSZ figures for 2019 have been published. You quoted them, too. They are currently being discussed in the NAR.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u29	The social partners should be given time to assess the figures, but they should also agree on more stringent measures as they do in Opinion No. 2091 have been agreed. It is the tradition in this country to respect social dialogue and the government will do so. I really hope that they will come to proper agreements on a more binding framework.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u30	Madam Secretary, thank you for your reply. I agree that we need to strike a good balance for the employer and the employee. I am not against interim work in itself, but I am against its abuse. Everyone will agree that it is not up to people to work with successive day contracts for years. We're not supposed to use the system that way. Pano's reportage on DHL has shown once again what a difficult situation these people are in. The figures were already known in January and it is now already May. I am therefore curious to see what binding measures are going to be taken, because these figures show that the use of successive daily contracts has not decreased at all. I am willing to wait, but I will not let go of this dossier, because I have been working on this since 2007. You are right to say that some measures have already been taken to improve the situation, but there is still a great deal of work to be done on successive day contracts. So it certainly won't be the last time I'm questioning you about this.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u31	Questions Nos 55002986C and 55002987C by Ms Nawal Farih are transformed into written questions. Since Mrs Farih was absent, her question no. 55002988C also became moot.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u32	Madam President, Madam Minister, the recent restructuring at GSK has highlighted the fact that 40% of staff are managers, which corresponds to about 3,700 positions out of 9,300 employees. In this context, the FGTB drew attention to the shortcomings resulting from the status of framework in the chemical sector. For example, managers are excluded from collective provisions negotiated in the sector or company: they cannot benefit from the collective agreement on the year-end premium, the wage increase negotiated every two years or wage indices (unless they have individually negotiated them). In addition, the number of executives is not involved in the calculation of the number of mandates within the trade union delegation. In the event of collective redundancies, the negotiations take place in trade union delegations and the executives therefore have no representation, which must then defend themselves individually. Minister, would the status of a framework mean lower protection for workers who work in the chemical industry? Should not the generous granting of executive status in various companies better regulate the transition from employee to executive rather than allow this issue to be resolved within companies? In view of the context in which collective redundancies are increasingly recurring in Belgium, do you not think that it would be time to update the legislation relating to the status of framework in the chemical sector dating back to 1971? Should we not also harmonize the status of a framework that differs by sector of activity?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u33	Madam President, Mrs Thémont, first of all, allow me to ask you to excuse me because my answer will include passages in Dutch, since I also answer Mrs Farih's question on the same subject. First of all, I would like to point out that the dispute at Janssen Pharmaceutica, which was brought before the labour court by the trade unions, was not about the application or circumvention of a collective agreement, but about the functions that are referred to as executives in social elections, in other words, which electoral college employees can vote for. It is only in legislation on social elections that the concept of "framework" is found in labour law. The definition is found in section 14 of the Act of 20 September 1948 on the organization of the economy. This definition gives some scope for interpretation. As a result, this has led to a lot of jurisprudence. The Law of 4 December 2007 on Social Elections provides for an appeal to the Labour Court if a trade union organisation does not agree with the list of executives communicated by the employer. At Janssen Pharmaceutica, the syndicates have taken advantage of this opportunity. However, in its judgment of 7 February 2020, Turnhout's labour court largely confirmed the list of executives as drawn up by the employer. As regards collective agreements, certain groups may be excluded from the scope. In this context, a number of sectors talk about non-declared servants. That is also the case for the chemical sector. These employees do not fall within the scope of sectoral function classifications and salary scales or salary categories. The nature and extent of these categories of functions which are or are not covered by a collective labour agreement depends on social consultation at sectoral and/or enterprise level. The sectoral collective agreement on the status of the chemical trade union delegation limits the competence of the syndicated delegation to the so-called certified servants. The syndicated delegation therefore has no negotiating power for the non-declared servants, who are known as executives in day-to-day business practice. This means that the company's CLCs do not apply to executives. The trade union organisations in this sector wish to extend the competence of the trade union delegation to executives, but the employers' federation in this sector has so far not responded to this request. The syndicated organisations may also refer to labour law banks and......................................................................................................................................................................................................................................................... But the case law in this area is not clear.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u34	Minister, thank you for your answers. There is a lot of jurisprudence and there are problems with the status of a framework in the chemistry sector. In addition to what I mentioned to you, these workers do not have a fixed schedule, so it is not possible for them to claim paid overtime. Efforts should be made to regulate this status in this specific sector in order to avoid misuse of the concept of "framework" and to try to review the classification of functions, which dates back 50 years.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u35	Madam Chair, Ms. Thémont, Bradford's factor is a mathematical formula that measures the absenteeism rate of workers and their disruption to the operation of the company. The underlying theory is that short, frequent and unplanned absences are more disruptive than longer absences. The formula focuses on the frequency of absences rather than the number of days. Bradford's factor is regularly used in the human resources community to assess employee absenteeism. However, to invoke it to justify the dismissal of a worker remains controversial. In a recent judgment of October 8, 2019, the Walloon Brabant Labour Court found that there is prohibited discrimination when a dismissal is based solely on Bradford's factor. First, the court rejected the assumption that it would be the frequency of absences, especially those of short duration, that would cause the most disruption. According to the court, this is not proven in the least. In addition, the court finds that the expected absences are not taken into account, so Bradford's factor focuses on absences due to illness. This means that there is dismissal because of a protected criterion within the meaning of the Act of 10 May 2007 to combat certain forms of discrimination, namely the current or future state of health of a person. In light of this finding, the Tribunal finds that the employer does not establish that the measure is objectively justified by a legitimate purpose and that the means to achieve that purpose are appropriate and necessary. Therefore, the Labour Court decides that Bradford's factor is not legally valid and that this abstract formula does not provide a sufficient basis to justify an individual dismissal. He rightly demonstrates, in his judgment, that the factor is biased, since he attaches disproportionate importance to the frequency of absences.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u36	Thank you for your answer, Minister. She reassures me. This calculation on Bradford's index remains, as you said, very controversial. For my part, it is a tool of discrimination. In my question, I was starting from the specific case of a person. STIB's absenteeism plan has resulted in several casualties. The issue opens up a broader debate on discrimination related to the health status of workers.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u37	Questions Nos 55003141C and 55003167C by Mrs Nahima Lanjri are transformed into written questions.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u38	Minister, a series of platforms (such as Uber or Deliveroo), known as a collaborative economy, promise easy and flexible remuneration. Today, this economic model raises a lot of questions. Indeed, hiding behind a role of intermediary, these platforms impose a real subordination on workers who are often forced to work as independent workers. However, two years ago, the Administrative Commission for the Settlement of the Labour Relations (CRT) considered that the working arrangements proposed by Deliveroo were "incompatible with a qualification of self-employment". Since then, the platforms have been playing with all the procedures to avoid taking on their responsibilities. At the end of December 2019, the Brussels Labour Auditorate accused Deliveroo of not declaring its couriers as employees and therefore of having avoided paying wages and social contributions. In March 2020, the French Court of Cassation ruled: Uber's drivers are not self-employed, but wage-earners. In addition to this false entrepreneurship, the platforms give us a sad reality with the sometimes disastrous consequences: workers are rarely warned that they have to bear the costs of their activity alone and that they have to contribute themselves for their pensions, holidays and social protection. Madam Minister, in Belgium, your government has put in place a kind of third status for platforms, to the detriment of workers who were deprived of any protection. We are pleased that, since the date of submission of this question, the Constitutional Court has annulled the Casual Labour Act, which we considered inadequate and totally discriminatory. Nevertheless, this law remains valid until the end of the year, now these workers in a difficult situation for several more months. Will you take an initiative to clarify the situation and allow workers in the platform economy to obtain the status of salaried worker? Do you intend to put in place measures to combat false self-employed persons?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u39	Ms. Thémont, the nature of labour relations within the platform economy is a problem faced by jurisdictions in many countries. Depending on the specific situation of the workers concerned, the foreign courts consider that they are either employees or self-employed. In Belgium, labour relations criteria must be applied. On this basis, the French-speaking Chamber of the Administrative Commission for the Regulation of the Labour Relations decided in 2018 that two couriers from Deliveroo should be considered as employees. However, since at the time the inspections were already investigating the nature of employment within the company, the decision was appealed to the Brussels Labour Court. He then decided to take up the case and assess the very nature of the employment relationship, but his opinion is still pending. Several European-wide studies show that the platform economy is heterogeneous and that there are large disparities between Member States, the types of work performed and the profile of platform workers. The share of people who earn their main professional income by working on platforms is currently estimated at 1.4% of the total working population in the European Union. It has been observed that this work is becoming increasingly diverse and that the development of a suitable methodology and measures is essential. In its guidance note, Eurofound stresses that a unilateral approach to this phenomenon - based solely on labour law - is impossible and that a multidisciplinary approach is needed. As platform work is evolving, Eurofound warns against intervention through comprehensive legislation and instead advises to develop a tailor-made approach, depending on the type of platform work.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u40	Madam Minister, thank you for these elements, but I do not think you have answered my question. I wanted to know if you were going to make any arrangements to maintain this law until the end of the year. As mentioned, this system of work is still allowed until the end of this year, which poses enormous problems, particularly in the light of the current crisis. On the one hand, the law increases the precariousness of workers working in the platform economy because it does not oblige employers to pay compensation if the worker has seen his activities stopped by the crisis or if he falls ill. On the other hand, it exposes workers to several health hazards because it does not require employers to provide any protective equipment to workers. This crisis really requires us to put an end to this regime. As you have also said, the Labour Court will, on October 28, 2021, issue the pleadings in the case concerning the status of the Deliveroo couriers. We look forward to them. Minister, I would have liked to have your reaction to the points I have just made regarding the end of this regime.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u41	I'll be very brief. My answer was, of course, much longer. I only have two minutes, it's just as difficult for me. There is indeed the ruling of the Constitutional Court. The law runs until the end of this year, so it is still in force until the end of this year. It will be up to the next government and Parliament to follow up on this, if desired. However, the law is still running until the end of this year, as was clear from the ruling on this matter. For the follow-up, it is up to Parliament or the next government.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u42	Mr van der Donkt, the social elections are carried out according to a very strict procedure laid down by the law of 4 December 2007 on social elections. After each social election, the procedure and legislation will be thoroughly evaluated by my administration. This evaluation, including suggestions for improvement, is submitted each time to the social partners in the National Labour Council, which may, on this basis, include proposals for legislative amendments in its opinion. The most recent amendments to that law in view of the social elections in 2020 took account of Opinion No. 2103 of 23 October 2018 of the NAR. The division between workers and servants is a historical labour law. That division is indeed being phased out in accordance with the judgment of the Constitutional Court in 125/2011 of 7 July 2011. The question therefore arose as to how this trend should be translated into the regulation of the social elections. As it represents a fundamental approximation of legislation, when moving away from the classification of workers into different categories of employees, the unification of the statutes was presented as an evaluation point to the social partners in the NAR in view of the 2020 social elections. However, it had to be established that the social partners, in the context of their Opinion No. 2103 could not reach a consensus on the harmonisation of the statutes with a view to the 2020 social elections. During the discussions in the NAR, certain parties considered that it was appropriate to achieve unification in the context of the social elections procedure only following harmonisation at interprofessional and sectoral level, on which the Group of Ten is holding discussions. This is why it was considered that harmonisation of the statutes in the social elections rules for 2020 would be premature.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u43	Madam Minister, I did not receive an answer to my last question. In your opinion, what initiatives or measures would be desirable in order to bring about a regulation on this matter at least by 2024, or do you expect us to be confronted again with separate electoral colleges for workers and servants by 2024?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u44	Mr van der Donkt, this harmonisation must be achieved. It's about temporary unemployment and vacation days. When harmonisation is complete, the necessary measures can be taken in the light of the elections 2024.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u45	Mrs Thémont, the problem of homelessness is a complex one which is repeated in various statistics drawn up by various bodies. However, we do not have any reliable and accessible centralized statistics that would adequately answer your question. That is why my administration supports the implementation of the recommendations made by the researchers responsible for MEHOBEL research funded by the Federal Science Policy. Among other things, the Social Integration PPS and the Home SPF are working together to make it easier for homeless people to be counted up-to-date as reference addresses. The Anti-Poverty, Precariousness and Social Exclusion Unit is also leading a working group aimed at collecting data and optimizing the monitoring strategy. The federal authority subsidizes measures to accommodate homeless people in the country's five major cities (Anvers, Ghent, Brussels, Liège and Charleroi); 500,000 euros are granted per city. In the Brussels-Capital Region, the SPP Social Integration provides, in particular, a reception, accommodation and accompaniment centre. Given the specific situation in the Federal capital, a budget of €1,323,000 is released. In the context of the crisis of the coronavirus, I also released a budget of 652,050 euros in order to extend by two months, until 31 May, the winter reception in the rue de Trier. This should allow homeless people to continue to benefit from accommodation. In the centre of Rue de Trier, 250 homeless people are accommodated. Fifteen isolated rooms have been created to isolate homeless people who may be infected with coronavirus. The cities of Ghent, Antwerp, Liège and Charleroi also received a subsidy totalling 200,000 euros. The cooperation agreement on homelessness and the absence of a home on 12 May 2014 provides a description of the competences and measures undertaken by the different levels of power. For more information on support schemes for homeless people in rural areas, it seems to me that you are speaking to the regional authorities.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u46	Minister, thank you for your answers. My question was more focused on rural homelessness. You're telling me I have to go to the Regions. We must be careful: there is more and more poverty and people can quickly find themselves on the street. You have unlocked resources, but it will take even more after the crisis we are experiencing.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u47	With regard to the first question, service titles have been a regional employment measure since the sixth reform of the State. This issue is therefore no longer within federal jurisdiction. As regards your question concerning health and safety at work, the company authorised in respect of service certificates is, as an employer, responsible for the well-being of its workers, also when this work is carried out with third parties (Article 9 of the Royal Decree of 12 December 2001). In this context, the employer must provide for health surveillance, which means that domestic helpers are in principle called by the labour physician of the external service for the prevention and protection at work of their employer-service title company for medical examinations. The triangular relationship between the company of securities and services – home help – customer therefore does not pose any difficulty for the monitoring of the health of these workers. The difficulty in this area concerns the workplace, which is located in a private home. Consequently, access by the employer or his prevention advisor is difficult. The completion of the risk analysis requires the consent of the client in order to access the home. However, the client is expected to behave as a good family member towards the worker, including by providing the appropriate equipment. It must also ensure that it does not endanger its health and safety by avoiding the need for dangerous work or the free movement of dangerous domestic animals during working hours. It is advisable to include such agreements in the contract between the service securities company and its customer. Our Employment FPS offers tools to help companies analyze the occupational risks of their workers in order to determine prevention actions. Finally, it should also be noted that there is a sectoral training fund title-services, which offers training and tools for domestic workers, in particular on how to use cleaning products safely and work ergonomically. In this 'corona' period, we have published a guide which gives answers on safety in the workplace.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u48	Thank you, Madam Minister. You are a little ahead of my reply because the guide is probably a practice that meets these difficulties. Subsequently, once the current difficulties have been overcome, a training guide on the use of products could also help this sector.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u49	Minister, until the late 2000s, the impact of robotics and digital technologies was essentially limited to certain sectors and occupations. Since then, we have been witnessing a massive diffusion of these technologies in all productive activities and, more generally, in society. This is particularly important in Belgium, where 169 industrial robots per 10,000 employees are recorded, while the world average is 69 robots per 10,000 employees. Minister, we cannot deny that robotics and digitization allow for better productivity and performance, which are beneficial to our country's economic growth. However, technology does not only bring benefits; it radically undermines the functioning and organisation of certain sectors and sectors, leading to the risk of job losses. This risk was confirmed in 2013, when a Belgian transposition of a study by Oxford University concluded that 39% of jobs are at risk. Moreover, it is crucial to stress that the wealth produced by technological change is not shared equally among all Belgians. In the long run, this trend seems to benefit mainly the highly skilled workforce: from 2000 to 2013, the share of medium-skilled occupations fell by 3.3% in Belgium, while the share of high-skilled jobs rose by 3.9%. Thus, as Paul Jorion says, we are moving towards a society where the owners of capital, the owners of robotic and digital technologies and the highly qualified employees "share the benefits of new innovative companies. At the same time, the rest of the population is struggling to get a poorly paid job, since its added value is now negligible." Minister, the growing share of digitization in our economy requires us to rethink the model of work. It is imperative to intervene quickly to regulate this development and to legislate. This leads to a risk of job loss and increases social inequalities. Have you ever analysed this problem? What avenues do you propose to address these problems?
