ParlaMint-BE_2020-04-29-55-commissie-ic164x.u1	Mr Rigot, as you have tabled six questions, I give you three minutes to summarize them.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u12	Madam Secretary, I too have a few more questions. I agree with the many interesting remarks made by my fellow Members, but I would like to touch on Fedasil's request for an order for design furniture intended for the asylum seekers' centre in Kapellen. These furniture are BDLove type of designer Ross Lovegrove. These design furniture are very expensive in itself, but Fedasil puts a little bit on top of it by ordering those furniture in a special color blue with a fabric that, I quote, 'a satin-like shine', which according to the catalogue has to be paid extra. Madam Secretary, I hope you will be able to remove this ambiguity. The description in the tender is very specific. In fact, it seems that the preferred supplier has included this offer. Is that how it happened? Do you think that's a proper procedure? Do you think an asylum seekers' center needs expensive design furniture? Perhaps you will be angry again later because I have spread this news, but if you were to answer these questions very quickly and clarify them, I would not have to post anything on that in the social media.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u13	However, I would like to point out that this last question is not much COOVID-19-related. I do not know whether the Minister has prepared an answer. I'll give the Minister plenty of time to answer.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u14	Mr President, no problem. It is kind of you to be with me, but I know that Mr Van Langenhove likes to take care of the icing on the cake in committee by asking a question that has nothing to do with COVID-19. I'll make him wait a little longer for his answer, but I'll give it to him.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u15	Madam Secretary, Mrs Dedonder is asking for the floor.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u16	Mr President, I should like to point out that my colleague Malik Ben Achour has yet to ask his question.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u17	I give him the floor.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u18	Mr President, Madam Minister, the crisis we are going through has had many consequences for the international movement of individuals. I have had the opportunity, on several occasions, to question the Minister for Foreign Affairs about the problems faced by our compatriots, in Morocco and Burundi in particular, which are in the process of being solved. It would appear that there have also been problems with access to the territory. For example, it comes to my mind that non-Belgian spouses of Belgians residing abroad, wishing to return to Belgium with their husband or wife and their Belgian children, would have had difficulties in doing so. In this case, it was at the departure of the Democratic Republic of the Congo that these people were initially refused entry into European territory because they were not Belgian. Usually, however, they were granted type C Schengen visas for multiple entries. This type of document is issued directly by diplomatic and consular posts. If the entry requirements are met, as appears to be the case here, the Aliens Office must not be consulted, except where the applicant is in a so-called special situation. This is at least what can be read on the Inland FPS website. Minister, have you been informed of these cases? How can these refusals be explained? Were these individuals considered to be in a particular situation due to the VOCID-19 pandemic? Was the authorization of the Aliens Office therefore requested? If so, why did you first reject the applications?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u19	Mr De Vriendt asked for the floor, I assume, for the order of business?
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u20	Mr President, I think you are allowing a great deal. That's another time. This is an actua debate on COVID-19. You ask which group still wants to intervene. Mr Van Langenhove does so with a question that has nothing to do with COOVID-19. I notice that his question is on the agenda, but unfortunately for him all the way back. We are not going to abuse this system to insert any question here and then threaten to post messages on social media if you do not get the answer directly. That is accepted here. This is not the way we can work properly. I'd like to ask you not to answer that question. If that question were answered, everyone would be encouraged to do the same as Mr Van Langenhove next time.
ParlaMint-BE_2020-04-29-55-commissie-ic164x.u21	Mr De Vriendt, I agree with you. This is an actua debate on the coronavirus. I also reported that to the Minister immediately. It is not obliged to answer this question in the topical and urgent debate. I think this is done and clear. I give the floor to the Minister.
