ParlaMint-BE_2020-02-11-55-commissie-ic107x.u1	Questions Nos. 55001831C by Ms. Yoleen Van Camp and 55001842C by Mr. Patrick Prévot are postponed.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u12	Madam Minister, I hear you say the words 'permanent' and'structural' about the monitoring committee. I assume that this is a structural and permanent consultation that continues over legislative hours. If you could confirm that again, that would be very kind. I am somewhat reassured by your words, but we are mainly concerned about the noticeable expansions to groups other than the traditional groups in society, which we all know. Indeed, HIV-related discrimination is a concern that we are concerned about. We will follow the dossier further and thank you for the state of play you have given us.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u13	Madam Secretary, thank you for your reply. It is indeed a good thing that results have been achieved and that progress has been made on this issue, especially with regard to the PrEP approach. We see a sharp increase in accessibility. In your answer on psychological guidance, you note that good results have already been achieved. I would continue to follow them very closely, because it is a problem which is said to be still there. With regard to the conflicted centres and the possible discrimination against healthcare providers, I am convinced that everything is in order in those convening centres. An HIV patient should also be able to go to the general practitioner for a cough and be received by that general practitioner in the same way as another patient. There is still work to be done in this area. Finally, HIV has become a chronic disease, while in the 1980s it meant someone's death sentence. Today, people with HIV live on a fairly normal basis. They are well cared for. I'm worried about those depressions, though. "Chronic" means for a long time. If these depressions are not treated correctly, we can expect another problem. I invite you to work out and evaluate this aspect.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u14	Mr President, Mrs Jiroflée, I would like to answer your supplementary question. Structural also means simply in terms of the way in which we work, with the positive Council, which will indeed continue to exist. Linking back to all those involved in the field will also continue. That's all documented. For example, we have also made funding for sex workers structural. In the past, this funding was committed from year to year and every two years thereafter. That always posed a problem. We have made a great deal of efforts in this area. As far as the reference centres are concerned, we are sticking to them because they have the necessary expertise and psychological guidance. Mrs. Depooster, I've also known HIV-positive people in my practice. I have to tell you that they're all still alive, even though I've stopped for a long time. However, some people who came to me first asked if I was actually willing to treat an HIV-positive patient. Then each time it had to be searched for a dentist or a physicist who was willing to treat them. Those people know from stories of their circle of acquaintances that they are sometimes refused as patients. That's something that really can't be done at all. Of course, they are very careful to ask if they can become patients somewhere. So one must give them some self-confidence and find out which treatment providers are open to it. However, this discrimination is still experienced in the field. Not everyone is lucky enough to get to someone immediately where they are welcome. That is, of course, unacceptable. The fact that they are chronic patients also weighs heavily because the medication for the common age disorders that everyone is dealing with often interferes with their other medications. Even if they have to undergo an intervention, that is a lot of hassle, especially because one has to take account of their reduced immunity. These people are really chronically ill, even though it is not always visible. Due to their long life expectancy, this problem often interferes with other diseases and ailments. That's something new we didn't see before. When I was in college, the life expectancy of HIV-positive patients was very low. So this problem was less dealt with. Now one must be alert to their particular vulnerability.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u15	Mrs Gijbels, the limitations on activities by beauty specialists are motivated by concerns about quality and safety, both for the citizen and for the beauty specialists themselves. People's confidence in beauty salons presupposes that everyone knows and respects their limits. Beauty specialists must respect both the legal provisions and the due diligence criterion for any liability. Certain techniques seem easy to apply, but are sometimes dangerous because of risk factors in the patient. Indeed, more medical knowledge and therefore possibly a doctor is needed to identify, assess and deal with certain complications in good time. In other countries it has been demonstrated which dramas can lead to certain aesthetic interventions and applications of techniques. Our country therefore has restrictive legislation, mainly based on security considerations. I will give you several articles that show where we take the protection of physical integrity into account in our legislation. Non-doctors must also always take account of these extremely important articles, in addition to their possible civil liability. There is also a law regulating the qualifications required to carry out interventions of non-healing aesthetic medicine and aesthetic surgery and to regulate advertising and information relating to such interventions. Let me give you the example of laser treatments. Epilation techniques are excluded from the application of that law, but invasive techniques, such as laser type 3 or 4, will not be carried out by beauty specialists. We also have recommendations from the High Health Council, which states that laser and IPL devices to remove tattoos, reach the dye in the depths of the dermis and can cause serious damage, such as burns, permanent pigment disorders, scars and eye damage. The Supreme Council of Doctors-Specialists and GPs referred to earlier opinions of the Royal Academy of Medicine, in which IPL and laser treatments are considered medical interventions. The evolution of beauty techniques and equipment is moving very fast, creating new risks, while certain interventions can now be considered safer. For example, as regards peeling, a distinction must be made between superficial and deep peeling. Treatments with IPL, i.e. intense pulsed light, or with led are also characterized by a different intensity and are thus accompanied by a completely different type of risk profile. This should be followed up by experts who can act in an advisory capacity, where certain regulatory adaptations or facilitations are identified or possible. In October 2019 the Hoge Raad of doctors-specialists and general practitioners decided to set up an expert group to follow up on the subject. It may be considered whether or not that initiative may be complementary or an alternative to the Council for Medical Aesthetics, which is to be established, as announced in Article 23 of the Aesthetic Medicine Act. We must therefore ensure that our legislation is compatible with the new techniques used in beauty treatments by beauty specialists, where the name is sometimes somewhat misleading.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u16	Is there any way to get an overview?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u17	I have given my answer in two minutes to answer more questions, but I will provide you with the data. We'll forward that. The answer is more extensive, but I have resumed it a little to allow more colleagues to ask questions.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u18	If colleagues then also make an effort to stay within the two-minute speaking time, things are progressing well.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u19	Mr Patrick Prévot is retained in his commune of Soignies and asks for the postponement of his questions on our agenda.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u20	Mr.President, Madam Minister, in 2016, you refused to recognize psychomotorism as a paramedical profession. Today I am again called upon by the Belgian Professional Union of Francophone Psychomotricians (UPBPF), which underlines the importance of their mission. It points to being denied as a professional organisation. The profession exists formally in various sectors, including neuropaediatry, which sends patients back to psychomotorists. They therefore do not understand that the realities of the French-speaking terrain are not taken into consideration. Minister, why did you refuse to recognize this profession? In fact, it is very complementary to other interventions on the ground and brings real added value to the multidisciplinary vision. This profession also exists as such in France and Luxembourg, our close neighbours, with whom we share the profile of a paramedical profession. Moreover, it appears that such care, if implemented early, is less expensive than long-term therapies and would contribute to the realization of savings in curative care (health care, specialized schools, institutions, etc.).). Minister, what do you think? In your opinion, could this recognition be reassessed in the future?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u21	Mr President, Mr Rigot, I have always taken into account the repeated opinions of the Federal Council of Paramedical Professions. This has given me two opinions and I have always taken the position not to recognize psychomotricians as a new profession of health care, since these opinions were really negative. The first opinion concerning the inclusion of psychomotorism in the list of paramedical professions was negative and had been forwarded to my predecessor, Mrs Onkelinx. This is Opinion No 3 of 2013. Subsequently, a request for further opinion was sent to the Council and, on 22 September 2016, the second opinion was also ratified by the Federal Council for Paramedical Professions. This is Opinion No 1 of 2016. This was again a negative opinion on the recognition of psychomotorism as a new profession of care. The Board notes that psychomotorism is an integral part of the professional skills of logopedes, occupational therapists, orthoptists and physiotherapists. Psychomotority interventions that are currently being performed as part of therapies are part of the health care exercise. In Belgium, in the absence of legal recognition as health professionals under the Act of 10 May 2015 relating to the exercise of health professions, it is prohibited to carry out acts falling within the scope of the art of healing. However, this does not prevent psychomotricians from exercising their profession in Belgium, as long as they do not exercise the art of healing or acts reserved for a health care profession. The non-therapeutic practice of psychomotorism to improve the psycho-educational development of healthy people, thus not subject to medical prescription, is not regulated by the Federal Public Health Authority and can be exercised by a psychomotrician without being a health professional. Yes, in some countries, such as France, the choice has been made to bring together all psychomotor skills to make them a full-fledged discipline and to entrust it to a professional who can act both for therapeutic and development or well-being objectives, almost always on medical prescription. In other countries, such as Belgium, it has been decided to integrate these techniques into the training and benefits allowed to certain health professionals - as regards the therapeutic component subject to medical prescription - and to leave the choice of regulating the non-therapeutic component to an authority other than that of Health and, therefore, not to subject it to medical prescription. Examining the potential needs of new care professions and creating them if necessary is a federal jurisdiction. I am of the opinion that there is no need to create a new health profession in this area. Currently, the application of psychomotor skills to improve a patient's health is subject to medical prescription and is legally reserved for physiotherapists and possibly occupational therapists, orthoptists or logopedes. There is no demonstrated interest in public health to recognize and add an umpteenth health professional to apply these techniques to patients.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u22	Madam Minister, I must say that I am baffled by your answer when you mention the fact that there is no interest! There is at least one that is evidenced by a number of services that direct children especially to psychomotorists: the interest of the patient. You state that this does not prevent practice. That's for sure! But this prevents access to some, if only at the financial level. This can also lead to the impossibility of benefiting from the benefits. It's a risk of loss of service too. It must not be denied, Madam Minister, that psychomotorism plays an essential role in understanding and working on psychological and emotional suffering. Psychomotority, in my view, is more important than ever in services such as childhood, disability and mental health. To recognize it, even if for you it does not fundamentally change things, in our view it is motivating and perhaps also simply thanking.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u23	Joined Questions No 55001968C by Mrs Kattrin Jadin, No 55001973C by Mr Patrick Prévot and No 55001988C by Mr Eric Thiébaut are postponed, since none of them are present.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u24	Mr President, if none of the three members concerned are present on this question, it becomes moot.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u25	Mr. Prévot had requested that his own be postponed. The Regulations state that a member has the right to defer his or her question once.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u26	Yes, I know! But if the subject is of such importance that three questions are asked, then it is necessary to be here. They're always the same...
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u27	I will not comment on that.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u28	That is not the case with Mrs. Fonck, since she is still present.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u29	Quite often, let's say.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u30	Quite often, yes!
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u31	Thank you for the good newsletter, Minister, that's what it is! Sometimes I have to split up to go to another commission. You will see, Madam Minister, that this is going to happen again quickly.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u32	Mrs Fonck, in answer to your question, I can inform you of the following. As you can see, the coordinated law of May 10, 2015, referred to above, allows for the prescription of physiotherapy sessions in electronic form or by telefax, which is therefore regular in the light of public health requirements. However, the regulations on compulsory health care insurance provide that the prescription of such care must be attached to the certificate of care provided when the latter is passed on to the insurer. This is a condition of reimbursement under compulsory health care insurance. Invoicing for this category of health care providers is still in paper form, and the prescription accompanying the invoice must also take this form. The print on paper of an email has a simple copy value – not original – and therefore cannot be used in this context. Reimbursement requirements are therefore more stringent than those relating to public health. As you know, the electronic prescription of medicines has been mandatory, in the strict sense of the term, since 1 January last. This component of the 2013-2018 e-Health Action Plan has been largely accomplished. An Action Plan 2019-2021 adds a goal, namely the extension of the system to non-medical requirements. In this case, this is also the case for physiotherapists and logopeds. The work required to achieve this objective is currently being carried out in the presence of all relevant actors. A sector-by-sector deployment schedule should be proposed later this year, which will align the reimbursement requirements with those for public health.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u33	Madam Minister, thank you for your answer. Indeed, if we want to move forward on e-health, we need to align and facilitate administrative procedures for physiotherapists but also, as you said, for logopeds. I therefore look forward to this evaluation work, bearing in mind that I am already advocating for taking into account the small concerns arising from electronic prescriptions for medicinal products, which still exist today. I hope that the transitional provision by INAMI will make it possible to settle matters. I hope, in any case, that before the end of 2020 an adjustment can be made in order to reduce administrative procedures, which would be favourable to physiotherapists, mutuals and patients, provided, of course, that this does not lead to situations of fraud. But it is true that beacons can be set up to avoid this kind of drift.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u34	Madam Minister, the draft law on the granting of a lump sum to persons suffering from congenital malformations resulting from the taking of medicines containing thalidomide by the mother during pregnancy was adopted in the Chamber on 25 April 2019 and submitted to the King for ratification. Thus, the law was published in the Belgian Official Journal of 16 May 2019. How are the victims informed of this law? Do you know how many victims there are in our country? How many victims have already applied? How many relatives of deceased victims have already applied? How many applications were declared positive? How many were declared negative and what was the reason for that?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u35	Mrs Sneppe, the information has been distributed mainly by the various victim associations, with which we had close contacts. Most sickness funds have also published information on the reimbursement procedure, both through their papers and through their electronic means of communication. Given its specific role in the processing of applications, the Auxiliary Cash for Sickness and Invalidity Insurance on its website has provided a separate space for the treatment of this theme. This institution also mainly sent a personal letter by electronic means to persons who had previously made themselves known via different channels. It was about 40 people. There has been no official census of the number of deaths, but on the basis of the available information, their number was estimated at 35 to 40 persons. 98 files have been filed. More information was requested for five files. Eleven parents or survivors of deceased victims submitted an application because they also claimed compensation. Thirty-two victims' files and three survivors' files have already been declared positive. There have been 69 refusals, 61 refusals for people who wrongly thought they were victims and 8 refusals from next of kin. The reason for the refusal is that the applicants presented a clinical picture that does not correspond to that of a victim of thalidomide as shown in the literature.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u36	Madam Minister, do you expect further requests to be made or do you think that this dossier has already been closed?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u37	It's hard to say. We know that there were also victims who did not apply because they were not members of the associations concerned or simply did not want to do so. It's about older people. The exposure to thalidomide took place around 1958, early 1960s. Some say they don't need it anymore. If there are any more casualties, the Auxiliary Cash Office will handle their file.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u38	Madam Secretary, Bilzen in Limburg discovered at the end of October a drug lab intended to produce the dangerous drug crystal meth. This would be the third time that such a lab has been found in Belgium. Mid-March of this year a lab was discovered in Hasselt and early June in Wuustwezel. The chemical drug is extremely harmful to health and highly addictive. Also, such a drug lab is a very high security risk for the neighborhood in which it is located because of the explosion risk. Madam Secretary, are the drug labs on the rise for crystal meth? Is active work being done on tracking such drug labs? At the moment, the counter is on three labs. Have any more drug labs been discovered? Have any fatalities been caused by the intake of crystal meth? What is your plan of action to combat this very dangerous drug? Will the government launch a awareness campaign?
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u39	Mrs Samyn, for your questions on the number of drug labs and their detection, I would refer you to the Ministers of the Interior and Justice. The general mortality register does not allow a distinction to be made between the substances underlying the reported deaths. By alternative reporting methods such as the Early Warning System on Drugs, there are so far no reported deaths related to the use of methamphetamine or crystal meth in Belgium. Based on the results of the most recent national health survey, but also on the analysis of the wastewater, the use of methamphetamine is still a rare phenomenon in Belgium. As you know, in the waste water, we find mainly cocaine derivatives. Also for the treatment applications in Belgium through the Treatment Demand Indicator, the figures remain very low. In 2018, methamphetamine was reported for 0.53 % of treatment episodes. In only 0.13 % of cases, crystal meth was identified as the main problematic substance. In 2015, that was 0.05%. Prevention and awareness campaigns are, of course, still appropriate and are the competence of the Communities and the Regions. We are also trying with the former Health Institute to warn at parties, after the exams, at music festivals and to be aware of the latest drugs that are being distributed there. I believe this will remain an eternal battle.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u40	Madam Secretary, thank you for your comprehensive reply. Sensitisation is indeed very important. Crystal meth is not only highly addictive but it causes, like many drugs, serious health problems including memory loss, aggressiveness and psychotic behavior. There is also a high risk of severe heart and brain damage. In any case, I hope that every effort will be made to combat the potential advance of this drug.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u41	Question No 55002022C by Mrs Florence Reuter becomes moot.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u42	Mrs Fonck, in the framework of the consultation model on the day-care posts of general practitioners, several bodies are active, in particular the inter-administrative "guard" cell and the support platform for the day-care posts of general practitioners. The Inter-Administrative Unit is a partnership with the Public Health FPS, the INAMI, the Strategic Unit, the "guard" coordinators and the 1733. This inter-administrative unit defines the strategic guidelines and ensures that they are fully developed. The mission of the support platform for the guard posts of the general practitioners is to accompany the implementation of the concept notes on the guards and the 1733 presented in the framework of the task force of 2 February 2018. As far as the main stakeholders are concerned, the support platform for guard stations is made up of three representatives of the medical doctor generalist's bench, three representatives of the National Emergency Medical Relief Council and three representatives of mutualities. The two administrations concerned (SPF and INAMI) also participate in the platform as well as the "guard" coordinators and the coordinators 1733. The strategic unit also takes part and general practitioners are therefore regularly heard in the context of the reform of childcare services. We have taken note of the remarks made by some general practitioners and we take them into account in the operationalization of the reform. It is important that the patient occupy a central position in this file. The purpose of the permanence system for general practitioners is to ensure that patients can consult a general practitioner whenever necessary at any time. The Quality Act establishes that general practitioners must organize these permanences by means of an agreement for the functional cooperation of approved general practitioners. In this way, we want to ensure that no patient is excluded. We are working on a uniform and clear system of general medical care posts and on cooperation agreements between general practitioners' duty stations. Thus, patients always know where to go and no longer have to look for which general practitioner is on duty and where to practice. This unique organizational model has important advantages for the general practitioners themselves. They'll have to do fewer night guards. It's better for work-life balance. They can count, during the guard, on a driver per network. The administration is grouped. In addition to a single organizational model, we also have harmonized and transparent funding. Until recently, child care funding was very complex, but with the new clear funding rules, each child care position receives the necessary financial security. The Royal Decree will enter into force at the same time as the Law on the Quality of Practice of Health Care, i.e. 1 July 2021.
ParlaMint-BE_2020-02-11-55-commissie-ic107x.u43	Minister, at the beginning, you told me a lot of things. What interests me is to know the status of the discussions with regard to the draft royal decree. As you know, general practitioners have responded in a cross-cutting manner. Article 23 of the law passed at the time provided, in effect, for the freedom of functional cooperation with the aim of organizing medical permanence. In fact, your draft royal decree obliges us to be part of the system of cooperation of the guard stations, even though there are now well-functioning devices, which have been set up by the circles and where the patient is truly at the heart of the process. Your device, your draft royal decree also obliges to found an additional asbl for cooperation, even if there was already an asbl for the guard post. In fact, the costs are doubled, rather than focusing this budget on the patient. You say there's a better balance with privacy. At the same time, while circles functioned very well in daycare positions, distances will be much greater. What you may win on one side, you lose on the other. Beyond the elements of substance I have just mentioned, please keep the door open to consult the general practitioners on this draft royal decree. I think it can evolve to allow more freedom on the organisation while maintaining the course and objectives of public health organisation for patients. Let me insist, for the general practitioners as a whole.
