Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DedonderLudivine	Dedonder, Ludivine	F	1977	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	DedonderLudivine	Dedonder, Ludivine	F	1977	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2020-06-10-55-commissie-ic204x	ParlaMint-BE_2020-06-10-55-commissie-ic204x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-06-2020	2020-06-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
