tbmm-2018-07-13sit01spe0001par0001	I am opening the 5th Union of the Grand National Assembly of Turkey and taking 30 minutes off.
tbmm-2018-07-13sit03spe0010par0113	I'm picking it up. Friend, there's no need to claim wrong; it's done, it's done. Come, now, in the new era, let's lean on more truth, let's lean on more logic, let's lean on more law; let's embrace the separation of law and forces for a more fair, freer Turkey, where its people are prosperous, and in the party hierarchy, let's not accept every opinion that comes from above in the discipline of the party. Parliament doesn't have that right; neither do the MPs of our party, nor do you. It's for all parties. And as we begin, I say that if we're going to be afraid of something here for five years, let's fear God. I salute the General Assembly, sir.
tbmm-2018-07-13sit03spe0015par0117	Thank you. The second speaker of the proposal is Yavuz Aşelioğlu, İstanbul MP on behalf of the PARTI Group. Here you go. [[A round of applause from the good parties]] Your time is three minutes.
tbmm-2018-07-13sit03spe0016par0122	Mr. President, about July 15th, it's over. I have to add a few things to the sentence. It's his second year. I'm here today to give you a speech in an endless parentheses. My party was held in a July 15th parentheses after July 15th and survived the election process. So I've come from the order of a party in which I expressed my will in a sari way long before July 15th, in which I came to this court on July 15th, in which politics, politics, the desire to consolidate itself, the lack of dignity, the fact that I had expressed my will behind the assassination of our state. The process, until July 15th, welcomes us to remember much more of our sensitivities every July 15th, and to remind our nation of much more. In this case, we have to account for a misdemeanor as much as the humiliation we faced on July 15th, in fact, every July 15th, with the intent to account for the greater danger we face. That's another thing that we have to worry about as much as the 15th of July is that an infiltration of hundreds of thousands can't be recognized by the state by the state, by the government, by invading state institutions that have been infesting the most strategic institutions in the state over the years. So I'm thinking that a leak that will paralyze all the mechanisms of our state, the fact that we have a state mechanism undetectable by any agency in the state, is as great a mind-blowing assassination as the one we suffered on July 15th. So in order not to face similar things tomorrow, I believe that the state will give us the opportunity to understand, to intervene, to develop in a political clarity around the political will, not only on this July 15th, to calculate what we missed, what we couldn't do, and what we couldn't do, to do so, to not be able to face anything like this after this, I believe we should do the Republican People's Party's proposal not only on this July 15th, but also on July 15th. [[Microphone turned off by automatic device]] I am, Mr. President. We're a little senior to our government before we get to those ranks.
tbmm-2018-07-13sit03spe0017par0128	Mr. President, let him collect our friend.
tbmm-2018-07-13sit03spe0016par0129	I'll get right on it, Mayor. We were the first political branch to be hit by this perception of stateship, which means that the nationalist nationalist community dismissed the staff in the bureaucracy first, because we were disseminated from the moment the government was first tried to take over.
tbmm-2018-07-13sit03spe0017par0131	Turn on the microphone, Mr. President, why are you making our friend speak quietly?
tbmm-2018-07-13sit03spe0016par0132	I'll finish right away, Mr. President. I'm sorry, I'm finishing with a sentence, Mr. President.
tbmm-2018-07-13sit03spe0017par0134	If you turn on the microphone, Mr. President...
tbmm-2018-07-13sit03spe0018par0135	Turn on the mic, guys. First days, no need to worry.
tbmm-2018-07-13sit03spe0019par0137	So, I'm going to make this clear, and I'm going to finish my words, and I beg your pardon. I believe that our government, who oversees our government's administration first, has been deaf to the warnings that we paid the price we paid on July 15th for those who were in charge of the government's warnings. Therefore, I think the political deafness of our government, in terms of our government's administration, has aggravated the cost of July 15th. I believe we have to do our consultations on purpose on July 15th to make these mechanisms healthy. My respects to your committee.
tbmm-2018-07-13sit03spe0020par0141	Thank you. On behalf of Peoples' Democratic Party Group, Hişyar Özsoy, Diyarbakır MP. Here you go, Mr. Ozoy. [[Applause from HDP rows]] Your time is three minutes.
tbmm-2018-07-13sit03spe0021par0146	Thank you, Mr. President. First of all, I wish you all the best in your new mission. Again, on this occasion, I would like to congratulate all of our friends who have been here before, re-elected, new to the House. In the beginning, I'd like to ask... in the coming period, we'll certainly have strong arguments, tensions, that's what we've learned in the House in three years, so we're getting very nervous here. But when we talk to our friends here, our request, every friend here, 600 friends, is to remember that each of them represents the will of the people; in the end, there will be disrespect to the will of the people. Again, on this occasion, I especially want to congratulate my two friends. Dersim Dağ is now a member of parliament in Divanda, Diyarbakır, where we are elected together, and Rumesa Kadak is also here, I think, very young and two of our female friends. Hopefully, we'll have a different Parliament than the previous Parliament, because we haven't been able to perform a very successful performance in the past Parliament -- my personal opinion -- with its opposition, we haven't been able to do much with its power, I think. I hope, in your presidency, Mr. President, that we can bring forward a more efficient style of conflict, of debate, of dialogue, rather than of conflict. We support the group proposal offered by CHP. We believe there must be a reckoning of coups, not just July 15th. I'm 43 years old, my childhood, my youth, in 80 strokes. Here we have the older deputies, who have lived in the shadow of 70, in the shadow of 60 coups, and will now live in the shadow of July 15th. To be honest, we don't think we've all been properly confronted with these blows that have hurt our souls, including July 15th. When you don't face the blows in a transparent, clear, proper way, you'll also open the way for the next blow. In that sense, the July 15th was, of course, an attack on this Parliament in the first place, and we strongly condemned it, and we stood against it, but instead of strengthening Parliament in this country after July 15th, it built itself as a single, centrist political system, which polarized dialogue between different social communities. We once think that this political system will not solve Turkey's multi-problems, structural problems; we will experience them together and see. Of course, for a healthier political structure, for a healthier social debate, with absolute certainty, to investigate these coups in this House, not just on July 15th, but for the conviction of this coup d'état...
tbmm-2018-07-13sit03spe0022par0154	Pick it up, please, Mr. Orator.
tbmm-2018-07-13sit03spe0021par0155	I'll finish right away, Mr. President.
tbmm-2018-07-13sit03spe0022par0156	Here you go.
tbmm-2018-07-13sit03spe0021par0157	...to condemn this coup d'état. Dear friends, the coup isn't just coming down with army tanks. By coup, we mean any illegitimate intervention in the democratic will of the people. It's a matter of understanding, it may not just be in the head of a soldier. So, in respect of the will of the people, we invite the entire House to take responsibility to ensure that the will of the people is granted, and to initiate a comprehensive process of confrontation with these coups. I salute you all.
tbmm-2018-07-13sit03spe0023par0161	Yes, thank you. On behalf of the AK PARTY Group, Cahit Özkan, Denizli MP. Here you go.
tbmm-2018-07-13sit03spe0024par0165	Dear President of our Veteran Assembly, Congressmans, I salute you all with respect. I hope that in our new legislature, our country will follow the ideal laws for our nation, and will be in force for a long time, and we will make laws that will satisfy our nation's scales of justice, of conscience, that will follow the law we call the League. Praise be to God, we live here today as the polls reflect as high as possible on the distribution of seats in Parliament, which is the state of national will. Hopefully, we'll make good laws, compromise, make good, good consequences for our nation, for our country, together. Sure, there's people here. Under this sacred roof, we share the fate of our nation, while others strive to share it with the enemies of Turkey with the focus of betrayal. And we, as their defender, as representatives of our nation's will, praise be to God, have all of our country's economic, social, political resources, we've all fought and fought together to share with our nation and only our nation. Here is the spirit of the 15th of July, which we today call the August 7th agreement: the spirit is Kocatepe, the Chanakkale, the spirit mentioned in Yellowkamis and the Instrumental Anthem. Hopefully, we'll keep this spirit. For him, the best way to keep this spirit... we're all lawmakers, 600 MPs, each of us in the provinces where we're represented, we're going to meet with thousands, tens of thousands, and when we hit 600 lawmakers with 10,000, there'll be millions, and hopefully with the literature from there, our nation's heroic epics will be seen all over the world. But on the other hand, not just in the House, but on July 16th, as Mr. Altay put it, we'll be back here again, and hopefully we'll relive the spirit of the 15th of July. So I sincerely congratulate the Republican People's Party on its sincerity and excitement at the spirit point of July 15th. Hopefully -- time is on our side -- and on July 16th, we'll make this spirit the best way to live. But I also want to point out that I sincerely believe that we are all sensitive to our nation: Of course, there have been only four prosecutors and judges in this country who were taken especially after December 17th-25th, and you have tied the judge to the court. It's on the conscience of our nation... [[Microphone turned off by automatic device]] Mr. President, I'm completing it, sir.
tbmm-2018-07-13sit03spe0025par0173	Pack it up, please. Here you go.
tbmm-2018-07-13sit03spe0024par0174	Just because four prosecutors and judges were taken, there were those who tried to protect him. In this country, however, we have struggled with as many civil servants, judges, law enforcement, justice, intelligence and bureaucracy as there are judges, prosecutors and bureaucrats involved in this country.
tbmm-2018-07-13sit03spe0026par0175	Who appointed them?
tbmm-2018-07-13sit03spe0024par0176	If we look at this case after December 17th and 25th, we present it to the conscience of our nation, of who, where, and how much we speak. Yes, the February 7th MIT crisis was the fight against the legal arrangement at the time.
tbmm-2018-07-13sit03spe0027par0178	Did you give him the second five minutes, Mr. President?
tbmm-2018-07-13sit03spe0024par0179	In the same way, the restructuring of detention and probationary times was the fight against the wrongful arrest made by ▪. After the December 17th-25th period, it was again under the roof of the National Assembly, and the removal of those special authorities in this country was a result of the same struggle.
tbmm-2018-07-13sit03spe0028par0180	Please wrap it up.
tbmm-2018-07-13sit03spe0024par0181	Ours, all the MPs... [[Microphone turned off by automatic device]] ... 600 MPs, all of us, with the fate of our nation, I hope that we will all carry this fate to the bright tomorrows, and I salute the High Assembly again with respect.
tbmm-2018-07-13sit03spe0028par0185	Thank you. About the proposal, on behalf of the National Movement Party Group, Group Deputy Director Erkan Akçay. Here you go.
tbmm-2018-07-13sit03spe0029par0189	Mr. President, dear lawmakers, I salute your honorable committee. First of all, may our 27th Legislature be blessed and I wish all my fellow lawmakers the best of luck. Mr. President, I wish you all the best success in your election to the Grand National Assembly of Turkey. Dear friends, for two years we've been reviewing July 15th, arguing, and still haven't recovered from the trauma of the July 15th traitorous coup attempt. This battle will continue long-term. However, I think the need for us to look at all matters with a great historical perspective, yesterday with perspective and with a history mind is particularly important in the politics of lawmakers and the intellectuals and the media of our country. What is this historical perspective? As of our recent history, as of the last hundred years, we've had two major disasters, and we've come back from the brink of the third disaster. The first disaster is that in the fourth year following the Second Legislature of 1908, we entered the Balkan War, and lost a great national geography in the face of a major beka threat. Millions of martyrs, millions of migrations -- migrations to Anadolu -- and the loss of a country that is almost to the present-day territory of Turkey. And then two years later, after the First Jahan Harýp. Four more years, millions of square miles of loss of homeland, millions of martyrs and migrations that we've experienced. However, through the Salvation War, the young republic, which we were able to carry out under the leadership of Gazi Mustafa Kemal Ataturk, has come to this day. Ataturk's 10th Year, we have done a lot of great things in Nutku, but we will not be able to tolerate what we've done. Of course, in our republical era, we are doing great things, but it is also a fact that we are experiencing certain weaknesses, crises, crises, chaos, and the July 15th coup attempt may also be the name of the day when we are rid of the third major disaster.
tbmm-2018-07-13sit03spe0030par0195	Please wrap it up, Mr. Akchay.
tbmm-2018-07-13sit03spe0029par0196	I am, Mr. President. On July 15th, the Turkish nation and its representatives, lawmakers of the Grand National Assembly of Turkey, and our beloved nation of Turkey, along with all the officials in the streets and all the areas of the state, were repelled by this treacherous coup attempt, and we should never forget the disasters that we suffered on the 15th of July and in the historical perspective. History teaches us that, of course, there are various reasons for these disasters, and we can also agree on them, but the first fact that we've discovered from 1908 is that one of the most important reasons we've ever experienced is political fights, political blind fights, and political disagreements between political actors in government.
tbmm-2018-07-13sit03spe0031par0200	Thank you, Mr. Erkan.
tbmm-2018-07-13sit03spe0029par0201	Thank you, Mr. President.
tbmm-2018-07-13sit03spe0031par0202	As such, negotiations have been completed on the Republican People's Party's proposal. Now, I propose to your votes that those who accept... those who refuse... the motion is not accepted. The Justice and Development Party Group has a proposal in accordance with Article 19 of the Civil Code. I'll have the proposal read and processed, and then I'll vote for you. Turkey to the chairman of the Grand National Assembly Since the Council of Counsellor 13/7/2018 (now) meeting on Friday (now) could not hold a vote among political party groups, I would like to submit the following proposal to the General Assembly under the 19th Amendment of the Civil Code. AK PARTY Group Vice President Meeting Monday (July 16th 2018) on Monday (July 2018) outside the weekly working days of the Grand National Assembly of the Grand National Assembly to discuss business on its agenda at 2 p.m. Turkey's Grand National Assembly Council is founded from 20 members except the President of the People's Council, and the distribution of positions is one deputy to the Justice and Development Party Group, six clerk members, three executive leaders; one deputy to the Republican People's Party Group; three clerks, one chief to the People's Democratic Party Group; one vice president to the People's Party Group; one vice president to the National Party Party Group; one vice president to the National Party Party's Party Group; one to the ruling group, one to the Good Party group; one to the Party group. 12 members of the Turkish National Assembly commission have been advised from 12 members, from 30 members of the Budget Commission, from 35 members under Article 3 of the Public Economic Initiative Commission 3346, under Article 2937, from 17 members under Article 2 of the Security and Intelligence Commission, and from 26 other commissions to political party groups. THE PRESIDENT'S DIVITY AND NEEDS COMMISSIONS On behalf of Justice and Development Party Group, İstanbul MP Mehmet Mush is the deputy leader of the Group. Here you go. [[AC PARTY APPLAUSE]] Your time has been five minutes, Mr. Mush.
tbmm-2018-07-13sit03spe0032par0221	Mr. President, dear lawmakers, I salute your grand delegation. Our group proposal concerns Monday's working hours of the Grand National Assembly of Turkey and the number of committees in parliament with members at the Presidential Court. There was just an argument here about the Presidential Court, there was a debate. I'd like to make a few points. Deputies consist of the President's Court, the President and other members. In the 20th term, 17 members were on the Presidential Court, except for the President. In the 21st term, 19 other members except the President, 14 other members except the President in the 22nd term, 16 other members except the President in the 23rd term, 17 other members except the President in the 24th term, 17 other members in the 25th term, 22 other members except the President in the 26th term. Thus, from 20 to 26 percent, they were constantly changed, sometimes diminished, sometimes increased. The number we're offering today is 20 plus the President of the Grand National Assembly of Turkey. So it's not a long distance from the presidential councils created in the past period, nor is it a number that's far below the numbers we've created recently. So when you get the average, you can actually get the number of Presidential Courts that we're offering today. So, in this sense, this will soon be presented to the General Assembly's appreciation by our Speaker. Another issue is the debate that the Parliament Speaker has been included in the total number of Presidential Courts in the calculations so far, and that this distribution has been made according to party groups. Dear friends, because of the practice that has been done so far, what will be done next, if, in fact, we know what is solid as law, why not pass it on? In the past, there have been these discussions at the Grand National Assembly of Turkey, which have been debated. The following is that the chairman of the Grand National Assembly of Turkey, the second joke of Article 94 of the Constitution, and the 9th Article of the Civil Charter are different from the other members of the Presidential Court when the 9th, 10th, 11th and 12th Articles are considered as one. All the party groups here will be compliant to themselves, the deputy president, the clerk, and the Speakers of Parliament will be elected in their own group, and we will inform the Grand National Assembly of Turkey. That's what all parties do. Only the Speaker is different here. The Parliament Speaker's election is held at the Grand National Assembly of Turkey's General Assembly. Parties, party groups don't propose, it happens with individual application. Now, imagine that a party group is represented by two or three members at the Grand National Assembly Council of Turkey, and this party group has been disbanded for certain reasons. The duties of members of the party group represented by those three members are coming to an end, but if the Parliament Speaker had been elected from the same party group, the House Speaker's term would not have ended, my friends. How long was it going on? Until you complete the term. Or an independent member of parliament was nominated for Parliament and elected by the General Assembly. Now that you're comparing, which party are you going to include this independent elected Speaker of the House? You can't get into any parties. So it's not right for the Speaker to be included in the number of seats in the Presidential Court, which will be held in the parties as well as in the process of being elected. So in this motion, we're holding out the Speaker, so we're offering 20 members, plus he's going to be President of the Grand National Assembly of Turkey. As the group's proposal has just been read, the commissions were made from 26 people last year, and we made the same offer. The OSCE Commission is 35 degrees according to its law; the Security and Intelligence Commission, again, is 17 degrees under its law. The number of these can neither be reduced nor increased. Regarding the Plan and Budget Commission, dear friends, the number of Plan-Budget Commissions was listed as 40 in the Constitution, and 25 of the number listed as 40 in that Constitution would be given to the ruling party or parties. [[Microphone turned off by automatic device]] Mr. President, I'm tidying up.
tbmm-2018-07-13sit03spe0033par0233	Pack it up, please.
tbmm-2018-07-13sit03spe0032par0234	With the constitutional amendment, the number of members of the 40 Plan and Budget Commission was now determined by the decision of the Presidential Court or by the group's proposal, and the distribution of any party there was envisioned, not at a certain rate, but at the number of seats. So we offered about 30 in this proposal because a member of the Plan and Budget Commission can't take part in another commission. 40 maybe more, 25 maybe less, 30... because I think all parties can do their deployment at this point because they can't take part in another commission. And I'm a friend of yours who's a member of the Plan and Budget Commission, and I know the practices there. We have proposed a number of 30 here, and in this sense, we ask the MPs for support in this group's proposal, and I would like to say that we're offering it to the General Assembly's discretion and we're expecting support. I salute the General Assembly.
tbmm-2018-07-13sit03spe0034par0238	Yes, thank you.
tbmm-2018-07-13sit03spe0035par0239	Mr. President...
tbmm-2018-07-13sit03spe0034par0240	Here you go.
tbmm-2018-07-13sit03spe0035par0241	I'd like to take a word with you for bullying. Mr. Speaker, who's been speaking to me, has said a few things. If you'll excuse me, I'd like to explain.
tbmm-2018-07-13sit03spe0034par0242	I didn't notice the bullying, but...
tbmm-2018-07-13sit03spe0035par0243	I had a situation to explain.
tbmm-2018-07-13sit03spe0034par0244	Yeah, let's just finish up with these other speakers. Proposal...
tbmm-2018-07-13sit03spe0035par0245	Sir, not after we've passed. If you make a promise right now because of the bullying, it's an app.
tbmm-2018-07-13sit03spe0036par0246	Sir, I didn't say your name. What did I say, Mr. President?
