ParlaMint-NO_2009-06-08.ana.ud2315e98	The representative Karin S. Woldseth, who has been licensed, has again taken the seat.
ParlaMint-NO_2009-06-08.ana.ud2315e218	Initially, I would also like to commend the rapporteur-in-Office, Hans Olav Syversen, for an orderly way of exercising the Rules of Procedure. I would say that we spend too little of our valuable speaking time giving praise when it's earned and someone should have praise. In very many areas it has been possible to find common notes, where both the government parties and all or part of the opposition are involved. Then it's true that there are areas where opposition parties with varying degrees of support have different proposals. It is also worth noting that in many important areas the Progress Party is alone on both comments and a number of proposals. So move on to the real content of the government message. I want to start by focusing on the ethical guidelines of the State pension fund – abroad. The evaluation process has been under way in 2008. What is now being presented on the basis of concrete proposals has been achieved on the basis of extensive work and not least a comprehensive background. The exposure has been large. For example, more than 50 national and foreign hearing bodies have made extensive recordings. I have the impression that unfortunately this work has drowned a little in other issues relating to the State pension fund, not least because 2008 has been a challenging year as a result of the financial crisis. The Ethical Guidelines were unanimously endorsed in the United Kingdom in 2004 and have since gained considerable recognition in the country and abroad. Many have shown what Norway is doing in this area, but we are not going to be too self-sufficient. I think, through good ethical practice, we can make others follow. Through the communication on the State pension fund, which we are now dealing with, the Government is putting up a broader and even more active focus on ethical management. It is suggested that the environment, social conditions and good corporate governance should be more integrated as important factors throughout the management of the Fund. So far, the two most important measures have been an active ownership exercise in the companies we are in, and exclusion of companies from the investment universe of the fund. And of course, we're going to keep doing that. I am happy and proud of the concrete measures that the red-green government is now putting up with. This applies not least to the exclusion of tobacco-producing companies from the portfolio, the establishment of an observation list as a new measure against companies in the border zone for the extraction and strengthening of concrete ownership, by formulating several expectations documents, both in the environmental field and in the corporate governance area. Procedures shall also be established for the re-entry into the portfolio of companies that have been excluded. Climate has been an extremely important area of work, both for the Government and for the hearing bodies. Both expectations documents on the climate strategy of companies and a broad investigation addressing the climate challenges in financial markets should be initiated and how investors should act on this basis. An environmental programme shall be established to target investments aimed at achieving a clear environmental benefit, such as climate-friendly energy, energy efficiency improvement, carbon capture/storage, water technology, etc. Then I record that the Progress Party will not have more stringent ethical guidelines, and that the Progress Party and the Right will not agree with the majority's remark to exclude shares from tobacco producers from the fund's investment universe. So over to two other areas, which I expect will be at the heart of today's debate. It is the development of the fund's portfolio as a result of the financial crisis and issues of active and passive management. There is no reason to suggest that 2008 was a bad year for the State pension fund and the worst year since the fund was established. Developments have clearly become ‘some smears’ as a result of the international financial crisis. It also says something when one in the international stock markets has not experienced a weaker return for a single year than one experienced last year. If we look at the fund's return measured in international currency, the foreign part's return was over 23 pst. i minus last year. It is also part of the picture that the value of the fund increased by NOK 256 billion in 2008. The increase is linked to a weaker price and, in particular, to the introduction of petroleum revenues, while the return, as is known, fell sharply. Then I would like to stress that the state is a long-term investor, and experience has paid long-term and patient investors well to take risks in times of major market turmoil. One important element is that we invest with our own money. We don't invest with borrowed money. Many investors are forced to sell when prices are low. It's not the Norwegian state. It's said that short-term owners have short-term thoughts, and that it's the opposite of the long-term owners. Yes, it is that the country has long-term thoughts about the State pension fund – abroad. In 2008, the SPU had a strong increase in ownership in international markets, at almost 0.8 p.p., compared with 2007. This growing ownership of enterprises worldwide could generate future profits from listed companies. The active administration has over time focused on and criticised both politically and mediatically. I think it's important that we bring with us the history when we go into that debate. Until 2007, there were nine years of positive returns compared to the return on the reference portfolio. Then there has been a smaller return in the active government, especially in 2008, where more people have been involved. Many critics, including in political circles, have argued that the negative return in 2008 is lost money, and that politicians have wasted much of Norway’s oil wealth. It is wrong to say that the money is lost. Most of it is unrealized losses. Only several years in advance will we be able to say whether the active administration has given a positive return. However, we should be humble in this situation, and both the Bank of Norway itself and the Ministry have taken several measures to improve risk management. The international financial crisis has revealed many areas in which legislation needs to be strengthened or made more robust. Things can change quickly. Not least, we look at it from the State pension fund – abroad. The fund had, as mentioned earlier, a minus return of more than 23 pst. in 2008, and the active administration generated a minus return of 3,4 p.p., measured in international currency. Also in the first quarter of this year, the fund had some negative figures, but when we look at the second quarter, the development has been significantly better, and one should not be any great genius or rocket scientist to see that a positive contribution from the active government can be expected in the second quarter. I don't want to dimension this more up than to say that this is a positive and joyful trend. The sharp criticism from some teams that we have lost over 600 billion kroner on the active administration seems – as far as I can see – to have stopped anything. At least it will be exciting to see if the trend continues beyond the year. The risk framework for active management of the State pension fund — abroad has been strongly focused in the public debate. Here, as is known, there is a quantitative framework for the active management of Norway’s Bank, with an upper limit of so-called expected relative volatility of 1.5 percentage points. This limit says something about how far from the expected average return on the market we will accept that the fund is. As the Governor briefed us at the hearing, and as we were informed by the Ministry, the risk measurement system showed that in some cases the risk associated with the active management in the fourth quarter of 2008 exceeded the relative volatility limit, which is set at 1.5 pst. In view of this, the Ministry of Finance has stepped up its reporting obligation and has asked for ongoing reporting of developments in this field. The explanation from Norway’s Bank is that the event must be seen in the context of events in the financial markets and large locked-in positions in the interest rate portfolio. It is also underlined that the exceedance was not triggered by certain individual actions by the bank. It is also stated that the expected relative volatility has now fallen below the limit again, and according to the quarterly report of Norway’s Bank, which came on 20 May of this year, we can read that this was 0.78 percentage points at the end of the first quarter. With regard to the situation, I feel that both the Norwegian Bank itself and not least the Department and the Council of State are taking important and necessary action with regard to weaknesses in the system. The Bank of Norway acknowledges, as mentioned above, that the financial crisis posed major challenges in terms of risk management and risk management, and sees weaknesses in the implementation of the investment strategy. A number of measures have been launched by the Bank of Norway to address the weaknesses, for example through a reinforced follow-up to capital management and also to the bond portfolio, where the problems have been greatest and the results are weakest. This has not been made as clear in the public debate. The Ministry takes important action both in the short and longer term in relation to active management. This is done through both more new and, not least, more stringent requirements. In the near future, the Ministry will issue a draft comprehensive legislation at the hearing. New legislation on the management of the Fund is provided for as from 1 January 2010. It is also announced that an external review will be carried out in which specific issues relating to active management will be subject to a comprehensive assessment. The results of this review will be presented in the spring of 2010. So it's taking hold in the short term, and it's taking hold of a slightly longer time horizon. In my opinion, it is necessary to put in place measures that can take place more quickly than until the time when we have an external review completed. It makes sense, in my view, to have a two-stage process in relation to this issue. We know that by sending a case out to the hearing, it can take many months for a person to get it back and the department can start working on the matter. With this, I recommend Stortinget to join the Committee's position.
ParlaMint-NO_2009-06-08.ana.ud2315e271	It's going to be line change.
ParlaMint-NO_2009-06-08.ana.ud2315e275	In 2007, the Government decided to increase the share of the State Pension Fund – Foreign from 40 to 60 p.m. The main reason for this was that the return over time would increase. At the same time, however, the rule of action remained unchanged. The action rule is set to 4 pst of the estimated return. My questions to the representative are: Why did the government not also increase the return and the rule of action – it remained at 4 pst. – when they thought that the return would increase when the share increased? Didn't believe the government on 4 pst. the return? Or is the rule of action irrelevant in this?
ParlaMint-NO_2009-06-08.ana.ud2315e282	Let me first say that when we decided to increase the share, we increased it to 60 pst. But at the turn of the year it was only up to 50 pst. Then I also see that the Progress Party has made a point that they want to invest in property. It has not been any lucrative either. Nor has anything been lucrative about the bond issue. This has been a troubled year. With regard to the rule of action and the rate of return, it is such that it stands firm. We use less in good times, and then we use more in bad times.
ParlaMint-NO_2009-06-08.ana.ud2315e291	The representative spent a good deal of his time on the active administration. He rejoiced that it had been a positive development in the last few months, and called it a positive trend. I have doubts as to whether a positive trend can be called, when we know that the active administration as a whole has not given a positive return for the fund since it was established in 1998. I am pleased that the Government has taken the initiative to review the active administration and asks the question whether we should continue with it. However, the parties to the Government have chosen not to address a proposal put forward by the opposition, namely that the active administration should be limited to what is necessary for strictly commercial reasons, until such time as the assessment is available. My question is, why have the government parties not supported this publishing house from the opposition?
ParlaMint-NO_2009-06-08.ana.ud2315e300	First, I want to just refer to what I said in my post. This is a two-way process. I think the most important thing we can do now is get a proper review of both the benefits and the disadvantages of active management, because there are both the benefits and the disadvantages of it. For example, we have had nine years in which there has been more return, and there were several who claimed that we were too little active in relation to the management of the fund. We then meet with an open mind. I also have my critical comments on part of the active management. But I think we're going to have a real round, and then the Storting will get it to spring next year, and then we're going to draw some conclusions in a very difficult area. We also have a system at the Bank of Norway. In my opinion, it would be unfavorable to reject it before we were absolutely sure of what we would conclude with.
ParlaMint-NO_2009-06-08.ana.ud2315e307	Alf E. Jakobsen spent a lot of time on the active versus passive management. I understand that there is no conclusion right now. I agree with that. But if Alf E. Jakobsen is looking at the question today, what would he say is the strongest appeal to active management?
ParlaMint-NO_2009-06-08.ana.ud2315e312	The representative of the Seven now wants me out deep water. But it is clear that I have asked questions about whether we have had sufficient protective systems to capture the risk management also in the active part. In the fourth quarter of last year, we saw that there were things that made it exceedances when we got into special situations. I don't want to draw any conclusion that we're going to do one or the other. My recommendation was that the representative Syversen would rather have to draw a too bastant conclusion. This swings. We've seen that in March-April-May this year. We're going to have to take the time to help. I don't think we ever get into zero percent and have a purely passive management. I think that's gonna be hard.
ParlaMint-NO_2009-06-08.ana.ud2315e319	The chord shift has been completed.
ParlaMint-NO_2009-06-08.ana.ud2315e322	First, I would also like to thank the rapporteur for the work he has done. I would like to stress that the Progress Party and the Christian People's Party actually agree on a number of points regarding the management message of the year – for the very first time, as far as I know. The fourth year’s management of the Staten Pensjonfond – abroad was disastrously poor. I'm a little surprised that there's only one journalist present in this room today, because these are sensational numbers. 633 billion kroner were lost. I call it lost. You can lose as much as you can lose less. Then I'd rather say like Øystein Stray Spätalen: I calculate what I have, and what I can sell it for. Today has a NOK 633 billion less than one had last year, per. 1 January. It's going to be 25 pst. of the management capital — it is gone. Although this is not entirely comparable, to put things in perspective, I would like to remind you that the total additional consumption of the Progress Party over its alternative state budgets on tax relief and investment in infrastructure, transport, defence equipment, police equipment and research equipment for universities, over the 12-year lifetime of the Oil Fund, has been around. DKK 210 billion. So for this sum, we would have a more modern infrastructure, a more competitive business and about. 150 billion more in private welfare. But the Progress Party also understands that 2008 was an exceptionally bad year for investment in financial markets, and we understand that the fund lost money. We can therefore also understand the frustration of the Governor when he said that there was no hiding anywhere. What we do not accept, however, is that the Minister of Finance is trying to minimize the financial loss that the Government has inflicted on the Norwegian people. It's itself a scandal. After she had presented such disastrous figures, the Progress Party had expected a far more humble finance minister than we have experienced. We had actually assumed that the Government would now listen to the Advance Party's repeated warnings against the fund's risk profile, but unfortunately we experience the opposite. Instead, the Minister of Finance takes on the role of the speculator and explains and defends each and every lost crown with the fund's long-term investment horizon. The slogan ‘when in trouble — double’ should not govern any administrators, and that is in any case not how we should manage our common wealth. The Bank of Norway has the possibility, by way of regulation, to operate so-called active management. It implies that the fund's managers are allowed to attempt to make investments that yield better returns than the average in the market. The assumption is that Norway’s Bank does not exceed a total risk limit — expected relative volatility — of 1.5 pst. The deviation framework applies to the overall framework of the Fund, allowing the Bank of Norway to choose active management of all or part of the Fund, as long as the overall risk framework of the Fund does not exceed 1,5 pst. However, the Norwegian Bank breached this risk limit in October 2008. This is mainly due to the fact that the SPU made very unfavourable investments in interest-bearing papers, and that the SPU was holding bonds that could not be traded in the market over time. The negative return on active management for 2008 was DKK 88 billion. That's $18,000 per. North. So this is not a loss due to the general decline in the market, but the money we have lost because the investments that were made were worse than the average in the market. This is the money we would not have lost if we had put the money in a banknote box. This is an incredible amount of money. Where have the media really been in this process? This implies that the average annual lower rate of return from the active administration has been 0,04 pst. However, this figure does not include the costs associated with such management, so the actual annual lower rate of return has been 0.13 pst. In figures, the loss associated with the active management over the lifetime of the fund amounts to DKK 64,5 billion over 12 years. This amount is equal to the values of the State's shares in Telenor, DnB NOR, Kongsberg Gruppe and Aker Solutions. Following the presentation of the annual results for the SPU, a number of professionals have expressed themselves with scepticism to SPU’s active management. These have claimed that active management over time will not yield better returns than index-based management. The available evidence confirms these claims. Some have argued that SPU has its own responsibility for active management because of its size. This is the Progress Party disagrees with, and underlines that there are funds with higher administrative capital than the SPU that have chosen index-based management. However, the Progress Party recognises that there can be arguments in favour of active management continuing, and we therefore support the Government's informed review of the benefits and disadvantages of such management. However, there is no reason for the Government to use a full year to elaborate on these arguments. An overall opposition therefore proposes that the Government speed up the review and present it as its own case for the autumn. An overall opposition also asks the Government to set a framework for the active administration which limits such management to what is strictly necessary for commercial reasons until this assessment has been carried out. Active management incurs much higher administrative costs than index-based management. The Progress Party is therefore surprised that Norway’s Bank chooses to report its results before costs. Such a practice would be totally unimaginable in any other industry. The Progress Party therefore promotes, together with the Right, a proposal that results in the SPU will be reported in the future according to costs under Global Investment Performance Standards – GIPS. The proposals promoted by the Progress Party through the management communication of the year have three main objectives: to reduce the risk the fund is exposed to in order to better facilitate Norwegian industry and business to make each individual manager more responsible for the risk to which he or she exposes the people's savings to These changes will more closely address the Fund’s objective of achieving the highest possible management at moderate risk. Over time, there has been a wide divergence between the Government's words and the Government's actions regarding the risk exposure in the management of the SPU. This is due, inter alia, to: the following conditions: Investments in emerging markets started in 2000. Investments in interest-bearing papers without a State guarantee started in 2002. In 2007, the equity exposure increased from 40 pst. to 60 pst. Investments in small limited liability companies started in 2007. Investments in unlisted shares started in 2007. Over the period 2001-2008, the ethical guidelines have become increasingly more comprehensive. All of this increases the risk. The government’s challenge and dilemma is that it tries to appear as a serious investor with a high return and moderate risk focus, while on autopilot it follows the investment councils that come from those environments that have a self-interest in expanding the investment universe. The Government insists that such changes in the management strategy can be characterised as risk spreading, but they are in reality increased risk exposure. This is due, inter alia, to: the location, size, volume of turnover and volatility of the investment objects. Yes, you obviously spread the risk if you choose to play horse, football and lotto at the same time. However, whether such a strategy reduces risk exposure is more doubtful. The Progress Party is saddened that in 2007 the Government got rid of all those who argued to increase its share from 40 p.m. to 60 pst. We believe it was an unwise and risky decision. Not only was the time completely wrong, but the modified strategy contributed to an unnecessary increase in the Fund's constant risk exposure. We are therefore re-promoting our 2007 proposal to change the SPU investment strategy. However, we assume that Norway’s Bank takes account of market developments before this is implemented – that is part of the proposal. The Party of Progress notes that the Government chooses to interpret the ethical guidelines more and more closely. So once again, we want to stress that ethics per. definition is a subjective assessment basis that allows for selective and inconsistent exclusion mechanisms. The party of progress does not share the Government’s vision of the practice of the ethical guidelines. Rigid application of the ethical guidelines reduces the fund's investment universes, contributes to increasing the fund's risk and reduces the fund's potential return. Not least, this Government's exclusion from the world's leading defence technology companies. The Progress Party also notes that the Government is increasingly complying with the demands and wishes of small stakeholder organisations aimed at limiting the investment potential of the Pension Fund, thus reducing the fund’s return potential. Despite the government's assurances of the opposite, we find that the government's excessive mix of ethics and shop is increasingly perceived as foreign policy signals. The Progress Party therefore supports the following proposals: ‘The Government asks the Government to review the enterprises currently excluded from the State pension fund – Foreign investment portfolio based on rigorous practices of the ethical guidelines.’ We are facing a situation where the Government first incorporates all the administrative councils that come from leading management environments, and then listen to advice from clever lobbyists who want to exclude more and more products, industries and businesses from SPU's investment universes. Overall, this fund increases its risk profile. This year, the Government chooses to exclude tobacco companies from the portfolio of investments. This is justified by the fact that tobacco used as intended leads to sickness and death. No good news from there, in other words. However, in his narrow quest to appear ethically correct, the Government forgets two important issues. Firstly, tobacco provides hundreds of millions of people with pleasure and well-being in everyday life — it is also an ethical choice — and secondly, tobacco cultivation gives millions of poor farmers a living. But such matters are obviously not included in the Government's ethical accounts. They kind of don't fit in. If this had not been the last administrative message this Government is sending out, we'd be able to expect the exclusion of industries that produce sweets – for what do you really want with that, you get holes in your teeth? And gambling services are creating sad family feuds. Alcohol causes liver damage, and there's no way that people can find out when they're drunk. Publishers that produce unnecessary literature – what about it, it just steals the time for people? Or what about companies that produce products that contribute to increased CO2 emissions – then we can let go of investments in car manufacturers and aircraft manufacturers? And what about businesses without 40 pst. representation of women in the board of directors, or enterprises that do not have any management minorities? Or what about climate changes like the oil and gas industry? No, by the way, it hadn't happened, because then we had no money to invest at all! The Progress Party promoted in its 2008 and 2009 Alternative State Budget proposals that Norway establish a fund in developing countries with the aim of contributing to the creation of sustainable business. We record that this idea has gradually been supported by other parties. A little later today, the Stortinget will debate St.meld. No 13, and then the Progress Party, the Christian People's Party and the Left will propose the creation of a fund of approximately DKK 10 billion for this purpose. At the same time, the Progress Party notes that the Government intends to establish an investment programme of DKK 20 billion linked to environmental investment opportunities – a programme proposed by the Government to be linked to ‘sustainable investments’ and to include unlisted companies and technologies in emerging markets. The Progress Party therefore chooses to interpret it in such a way that there is broad political consensus on such a fund initiative or programme. However, the Progress Party considers that there is a need for the Government to clarify the premises for any fund or investment programme. We therefore want to clarify whether the Government wants both an investment programme and a fund for sustainable business, and in that case what mandates and focus such a programme or fund should have. In this context, it should be clarified whether such a fund/investment programme should aim at achieving financial returns, reducing environmental and climate emissions, helping more generally, helping to strengthen local business, or being a doorway for Norwegian energy companies and Norwegian technology. Furthermore, it is appropriate to clarify whether such a bet should be made as part of the State pension fund – Foreign with the mandates granted to SPU, or whether such a fund should be separated by the SPU and, where appropriate, given other mandates. As the proposal for an investment programme now exists, the Progress Party will choose to go against the programme, not least because we are sceptical of the Minister of Finance's assurances that the programme will yield at least as good returns as other parts of the fund, as she stated in a debate with me in the News of the Day, Athens, because it would be thought that investors were in a position to invest in these programmes. The refusal of the Council of State to establish its own fund for the purpose also underpins our scepticism. The Party considers that a possible investment programme in developing countries should address a number of issues. Not least, such a programme should be able to promote the interests of Norway as an energy nation. The Progress Party is therefore promoting an alternative proposal. Financial management has always been a very lucrative industry to work in. For this reason, we find many of the country's best paid within just capital management. State pension fund – Foreigners have also established a similar remuneration system. The average basic salary is approx. One million. kr, while the bonus payments may be the multiple. Norway's Bank stated that even in a year when the fund lost NOK 633 billion, it was paid approx. 20 bonuses of over 2 million. kr. Norway’s Bank is by no means a payroll in the industry, but at the same time, SPU differs from other capital management precisely because the capital it manages is transferred automatically on the basis of Norway’s profits on oil and gas sales. In other words, an administrator in Norway’s Bank does not need to spend time or effort on the least attractive part of the job, namely to raise investment capital in the market. Thus, a job in Norway’s Bank Investment Management, NBIM, becomes in many ways the dream job of every medium-sized manager, with guaranteed minimum income and large bonus payments if investments do better than the reference index. The Progress Party considers such gold-plated wage and bonus payments to be unreasonable and believes that each administrator must be more financially liable for the risk he or she takes with the Norwegian people's savings. The Progress Party considers that there should be as far as possible a convergence of interests between the owners of the capital and the managers. Ideally, therefore, a bonus program should have both an upside and a downside. The Progress Party therefore supports the following proposals: ‘The Government asks the Government to instruct the Bank of Norway to enter into working arrangements with its administrators for the future, which also include downside bonuses. This shall also apply to external AIFMs with which NBIM agrees.’;» The Progress Party is concerned that Norway’s Bank’s management of the State pension fund — Foreign — has gradually become so extensive that it can go at the expense of the traditional tasks of Norway’s Bank. As an increasing proportion of the Bank's employees have tasks related to the management of the pension fund, there is a risk that the Bank will focus less on financial stability and analysis. The current arrangements may also result in an unfortunate link between the Ministry of Finance and the management of the Fund. The Progress Party agrees that there were good reasons why Norway’s Bank was given the task of managing the oil fund when it was established in 1996, since the central bank had some experience of debt securities and managed to keep an arm’s length distance from political detail management. Today, more and more questions arise as to whether Norway’s Bank has had sufficient capacity to follow up its investments, and many believe that the fund has grown too large for the bank. The management company of Norway’s Bank, NBIM, currently employs 217 permanent staff, of which an estimated 55 are employed by NBIM’s foreign offices in New York, London and Shanghai. 96 persons are linked to the investment activity, while the other 121 employees are linked to operational departments. Furthermore, the Bank of Norway estimates that a total of 400 external annual works are related to the management activities, and these relate exclusively to the active management. So that's where the bonuses are paid. This constitutes a significant activity, far from the core business of a central bank. This suggests that these activities should be assessed by the Bank of Norway. At the same time, it is not possible to change this structure overnight, and alternative management models and structures need to be explored and then put in place before changes can be made, if this is considered necessary. The Progress Party therefore wants an evaluation of the current management of the State pension fund — Foreign countries to identify better ways of doing this work, and we are promoting proposals to this effect. The Progress Party has argued over several years that the management of the SPU should be more effective in Norway. Just as most people take it as a matter of course that Norway manages its own natural resources, so we should also be able to manage the capital that this resource provides. Capital is now one of Norway's comparative advantage, and we should therefore be able to use our new resource to build a leading capital manager environment in Norway. The Progress Party therefore also supports proposals to this effect. The Progress Party also believes that the time is now ripe to assess whether SPU should be split into several smaller funds. Such smaller funds could have different mandates and different risk profiles. Such smaller funds could also lead to competition between the different parts of the fund. Not least, such fragmentation could reduce the risk in the fund. The Progress Party therefore proposes that the Government carry out such an investigation. As a natural extension of this mission, we also suggest that the Government investigate alternative investments for the SPU. For example, such a process could include investments in other commodities, such as gold. The main objective will be to reduce the risk to which the fund is exposed. The size is to a small extent given an independent report on whether the management of the SPU is in line with decisions and guidelines adopted by the Stortinget. Annual management messages cannot be said to be independent and therefore do not contribute to the proper performance of the control function of the Storting. The debate on last year’s management shows that a number of issues related to losses, bonuses, administrative costs and increased secrecy have been raised. In particular, there has been uncertainty as to how it has been possible for the Fund to go beyond the risk limit set by the Ministry of Finance. The Progress Party therefore supports, together with the Right and Left, the proposal that the Riksrevision carry out a study on whether the management of the SPU in 2008 has been in line with the guidelines and decisions adopted by the Stortinget. The Progress Party, together with the Left, also supports proposals to amend the Central Bank Act in order to allow the National Audit Office to carry out in practice an annual audit of the activities of the Bank of Norway in general and the management of the SPU by the Bank of Norway in particular and to report to the Stortinget in the light of this control. The Progress Party further refers to Section 9 of the National Audit Act that the Riksrevision is responsible for auditing the government accounts and all state funds. As most of the state’s capital is managed by the Bank of Norway, the Progress Party believes that an overall audit mechanism under the National Audit Office will contribute overall to the best understanding, understanding and reporting to the grantor. Furthermore, this would be best in accordance with the applicable National Audit Act and the Constitution. The Progress Party therefore promotes in the context of Ot.prp. No 58, to be discussed — probably not much debated — in Odelstinget later this week, proposals for the Riksrevision to take over the audit of the Bank of Norway. The Bank of Norway shall also have an internal audit report to the Governing Council. The internal audit shall assess the Bank's internal control, procedures and other matters relevant to the Bank's operations. President – I see it has become a new president since I started – I take this up with me the proposals that the Progress Party is promoting in the Innst. S. No 277, either alone or with other parties.
