ParlaMint-NO_2009-12-16.ana.ud811e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2009-12-16.ana.ud811e356	Siri A. Meling – for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e360	The right has repeatedly stated that we are not impressed by the government's results in generating more new renewable energy, which is initiated by this government and not by Bondevik II. To the right, if we are to meet the climate challenge, we need to see energy production and climate in the context. That is why we are very concerned about developing more renewable energy in Norway. We all have opportunities to do so – our environments of competence, our industrial environments, etc. has good opportunities. But then there's one prerequisite that has to lie down, I think, and that's that it's a market for all this new renewable energy. Today, there's a lot of energy produced, and we have problems with trapped force in periods. If we're going to get a bet on new renewable energy, I think we need to raise the capacity of the transmission links abroad. Does the Council of State share my view of this?
ParlaMint-NO_2009-12-16.ana.ud811e365	First of all, it's a fantastic claim that I also heard recently in Stortinget, when it comes to dividing up what's done on renewable energy in the last period, and what government it's initiated by. When I say it's amazing, it's because I've experienced pretty much getting shut up in this room for the projects that haven't been implemented. In that case, it must mean that the report was addressed to the wrong person as to who initiated the projects that it has not been of. As regards access to the market for power, I agree. But I think we're going to expand the answer something, because it's not like there's just a market question related to yes or no to cables, we also have a bad network in Norway. That means that if we're going to be able to realize many of these good power projects in the future, we have to be willing to build more networks, we have to be willing to compromise a little in relation to the consequences of building networks, and we have to make sure that we get better connections across and across Norway.
ParlaMint-NO_2009-12-16.ana.ud811e372	Let's go to the next main question.
ParlaMint-NO_2009-12-16.ana.ud811e375	My question goes to the Minister of Finance. Norway has one of the world’s highest car charges. For this reason, we also have one of Europe's oldest and most polluting car parks. I had hoped that the conversion of the fee that was made could lead to the people in Norway buying more environmentally correct cars, and replacing the old car park. When I read today's business outlook yesterday with statements from Torgeir Micaelsen, who is the Minister of Finance's partner and head of the Finance Committee, I see that the fee will make a strong jump to next year. In today's Business yesterday, Torgeir Mikalsen says: ‘We have to tighten up and the result is that the Standard Passenger will be more expensive. Cars larger than this will be subject to a luxury tax." The background for this is, of course, that you have a small income of 3.8 billion kroner from the car charges. But I dare remind you that we have a surplus on the state budget for next year of NOK 172.2 billion. There is little resemblance to predictability for both dealers, importers and – not least – those who are going to buy a car. I think it's amazing that you come with this right now, just after you've seen how the government has handled the biodiesel case. Such statements by the Chairman of the Financial Committee may lead to people hamstering cars at the end of this year and to sales going down to next year. Can the Minister of Finance clarify what can actually happen? Can he reassure the population that there will not be a tax increase on normal, environmentally friendly cars?
ParlaMint-NO_2009-12-16.ana.ud811e389	First, I would like to refer to a press release that the head of the Finance Committee sent out yesterday, where he says he is wrong about what was happening in today's business, and that it probably wasn't meant the way it was in the paper. During the last few years there has been a significant change in the one-off charge on the car, by reducing the charge on the cars that emit at least CO2, and then there has been some increase in the charge on the cars that emit a lot of CO2. There is a type of conversion that will continue just to achieve the goal set by the Government that in 2012 the CO2 emissions of new passenger cars will be reduced to 120 grams per. Kilometres. Over the last two years, this has been reduced from 177 to 151, and we're going down to 120. The charging policy will be used in this context. Just to give an example, a small Toyota has received over NOK 8 000 in a fee reduction, while a large Porsche has received a fee increase of almost NOK 39,000. There is a kind of environmental change that will continue. Otherwise, it's impossible for the Minister of Finance to say what's going on in future charging schemes, but I don't think I'm going to reveal any big secret when I say that the conversion towards green taxes to get to a desired environmental behavior is something that we're going to work on. Then I think that the scheme we have had for the one-off fee in the last few years is a good way to do it.
ParlaMint-NO_2009-12-16.ana.ud811e407	I'm glad it's been corrected, what the chairman of the finance committee has been out with. I agree that the tax policy should be changed in such a way that more cars with lower emissions are sold. But the problem when you sell more cars with lower emissions – the council even mentioned the sale of Porsche, it’s not the most common car you see when you’re out in town – is that of course this leads to that you don’t get any big revenues from selling these types of cars either. That means that the level of taxes, the income of the state on this, will go down in the future, as people buy more environmentally friendly cars. It also means that we are approaching a more and more common European level. My question then will be: is it a goal for the Government that by getting cars that pollute less and less, we will approach more and more a European average level of car prices?
ParlaMint-NO_2009-12-16.ana.ud811e416	First, a small comment on what appears to be a decrease in the fee for 2009. It is primarily linked to a decrease in car sales themselves and to a lesser extent to a change in the charge. Then it is that charges have more purpose: fees should try to promote a particular consumption or action. Fees may be designed to prevent people from taking things, such as: alcohol and tobacco. Then, of course, fees have a fiscal impact in order to contribute to the financing of the Community's good purposes in many other areas. It is difficult to say how far one will come, but we will continue the fee conversion that we have undertaken to stimulate the purchase of cars that emit little CO2. A little depending on what happens in the rest of the world, one can, to the extent that one will approach the foreign level, if one does not then reduce the charges equivalent in the rest of the world.
ParlaMint-NO_2009-12-16.ana.ud811e428	There will be follow-up questions – first Ulf Leirstein.
ParlaMint-NO_2009-12-16.ana.ud811e431	I understand that the Minister of Finance cannot say exactly which changes will have to come in the years to come. It's not safe for the government to hold on for so many years to come either. What I want to ask the Minister of Finance about is how he sees the process that might lead to changes, because it is in many ways announced that there will be constant changes in the car tax system. You often feel that there is a bit of a Christmas evening coming on a certain crumb. People were motivated to buy more diesel cars, so suddenly there will be a higher annual tax on diesel cars without a particulate filter afterwards, they added the diesel tax, etc. There are consequences, even if people do what the Government recommends to do. Will the Minister of Finance take responsibility for wide-ranging processes associated with possible future changes to the car tax system, so that organisations and others affected by such changes are able to influence before anything is presented in a government budget?
ParlaMint-NO_2009-12-16.ana.ud811e440	At least this government is going to sit on this period. Then there's going to be a election in 2013, and we're going to win that election too. But at least for this period, one can assume that we're sitting. So it's like one has to separate two things. One is the determination of the specific charges, i.e. the scheme itself. There are enough things that have to get into the state budget in the usual way. However, it is fully possible to have a discussion about more fundamental changes and more overarching action in terms of the charging system, without jeopardising the secrecy required before promoting a charging scheme for the Stortinget.
ParlaMint-NO_2009-12-16.ana.ud811e447	Gunnar Gundersen – for follow-up questions.
ParlaMint-NO_2009-12-16.ana.ud811e451	With the biodiesel thing in fresh memory, we can fear what can happen in the state budget, as the Council of State says. I think it should be recognised that green tax policy is extremely important, and it is very important to create a system that plays a role both in business and in consumers if we are to succeed in environmental policy. What has now happened during the fall, and the outplay of the Micah yesterday – whether he is mistaken or not – is very damaging to the credibility of the system itself. We're now in Copenhagen and we're going to save the world, and then we can't even make a credible system at home. Does the State Council agree with the characteristic that the harvest has been disastrous for the government's green tax and tax policy? What will he do to restore credibility?
