ParlaMint-NO_2009-02-25.ana.ud2362e22	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2009-02-25.ana.ud2362e244	The clear and brief answer to that is: Yes, of course. At all times, our educational institutions — and not just in Norway but around the world — have had an important role to play in enabling us, with knowledge and with good science, to take on the important debates where we are challenged either on culture, on religion or on various forms of conspiracy theories. If we suppressed this, we'd get a society that I don't think Bent Höie or I would appreciate it very much. We are concerned that it should be possible to express ourselves, but we are also concerned that the important project, let us call it the educational project, which is at our higher education institutions, should enable students, teachers and professors to meet this debate in a good and constructive way. We're not supposed to push it under the carpet, we're supposed to take it as an open debate with good arguments and with good knowledge at the bottom.
ParlaMint-NO_2009-02-25.ana.ud2362e249	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e252	I very much agree with what Bent Höie said, that it is not an objective to limit the opinion, but that one must meet the opinion with debate. What worries me about what has happened and the event that was the intent of this, is that we see that there will be no debate. Academia meets it with silence. And I'm worried if it turns out that we have such a level of education in the Norwegian community that you don't use the academy for debate, that you don't use the opportunity to also meet ideas with motives and thoughts of counterthinking. Today, we see that Abid Raja manages to have debates at the House of Literature, which are proper debates, where people are actually in a process where you meet and where you can break up with ideas, when you see that the Academy becomes silent when you get thoughts that you may not share – you don't dare to meet them. Is not the Minister of Research and Higher Education concerned that the Academy does not meet such ideas when they are presented in the academic space?
ParlaMint-NO_2009-02-25.ana.ud2362e257	All credit to Abid Raja and all the others who start important debates at the House of Literature and elsewhere, but I actually don't agree with Trine Skei Grande's description of the academic environment. I mean there's a debate there, although, of course, I think there might have been better debates before. I guess everyone who has been a student and was involved in the debates a generation ago will. Nevertheless, it is absolutely now, I think, very exciting approaches to – and not just approaches, but it is also arranged for – debates, for example. a debate that the representative Skei Grande knows very well, which is about the education project of universities and colleges. That education project is also about facilitating free speech to meet the integration challenges, to meet the cultural and religious challenges of just universities and higher education. So we just get to encourage, in common maybe, students and professors at our colleges to take even more part in this kind of debate, because we need that.
ParlaMint-NO_2009-02-25.ana.ud2362e263	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e266	Most debates become pleasant when they go on a general level, for freedom of expression, for education. What is alarming from the debate is that, according to the media reviews in the videos, there are no critical comments either from the chairman, from the room or from other counter-debateants. I could go further and recommend Professor Bernt Hagtvet's genocide lecture at the university. There's pressure on the debates. Here comes the claims about antisemitism, and what it might be, on the table. The comment is qualified. The Council of State and the undersigned, and the Left, are for formation, we are for generalisation, and we are for free expression. But I just want to stress and repeat Trine Skei Grande's question: Isn't it a matter of concern when it says that neither the chairman of the vocabulary, from the hall, nor from other counter-debateants came up against the opinion on 11 September?
ParlaMint-NO_2009-02-25.ana.ud2362e271	There are many arenas that should be better organized for debates and for critical counter- performances. And I must say to the Greatness that these spontaneous questions are a good example of that. But I've also learned that that's not all the media writes about debates that are 100 pst. That's right. I have actually been present in some debates where it is a bit difficult to recognize in the minutes. So I reserve the right to believe that this might have been some critical voices to what's referred to in the media. And then Dørum and I and others together are encouraged to dare to take the debates, dare to be critical, and hope that the generation that is growing up now, as students and as teachers, may be equally concerned with getting the critical perspective of a debate that was held in the 1960s and 1970s.
ParlaMint-NO_2009-02-25.ana.ud2362e276	Let's go to the next main question.
ParlaMint-NO_2009-02-25.ana.ud2362e279	I want to address my question to the Minister of Industry. In 2007, the country bought over 33 million axles in Aker Solutions. The purchase price was over SEK 4.8 billion, and the opposition was already very critical of the government's use of money and that one went into the company as a shareholder. Today, the loss is NOK 3.7 billion, yes, close to NOK 4 billion. We can also record that €2.5 billion of these have gone into Kjell Inge Smoke's pocket. Professor Thore Johnsen was also very skeptical, and he believed that the state paid an overprice. From Aker's side, this agreement was described as 'a very first-class agreement for Aker'. That's what Leif Arne Langøy said in 2007. There are several things the Christian People's Party asks questions about. There were no financial advisors used in this matter. It was found in the Storting setting. The second was that the state got far worse terms than other shareholders. I show you, among other things: to the Wallenberg Foundation, which was in and made the same purchase, but made sure that they did not take any risks. The Christian People's Party is concerned that this should not repeat itself. My question to the Council of State is therefore: Will it work to ensure that we have new guidelines that ensure 1) that professionals join when transactions of this size are involved – then I am thinking of financial expertise – and 2) that the state does not get much worse terms than other actors?
ParlaMint-NO_2009-02-25.ana.ud2362e292	First of all, let me say that I note that there is disagreement in opinions between the alternate Hareide and the Hareide who is now involved, namely Ingebrigt S. Sørfonn, who stated in connection with exactly what was happening in Aker Solutions, that one of the agreements ensures that: ‘closeness between the central owners and the enterprise’s operations and a guarantee that the enterprise is still leased from Norway. This is positive for both Aker Kværner and Norwegian supplier industry. It is also positive that the State forms an alliance with companies that have demonstrated peak competence before industrial development over many years.» Ingreigt S. Sørfonn said this to NyhetsBlikket.no on 22 June 2007. I agree with the statements made by Mr Sørfonn. So when it comes to the question of whether the representative Hareide here says is loss, it is that the values of the state's portfolio at Oslo Børs – as a result of the financial crisis we are now in, which has largely also hit Norway – have fallen by over NOK 360 billion. For Aker Solutions, we're talking about $4 billion. When we look at DNB NOR, we're talking about 25 billion kroner, Norwegian Hydro 34 billion dollars less than when they were at the highest -- to take a few examples. This is about being a long-term owner. As a long-term owner, you have to be on downhills – now we are inside an extreme downhill – but we also have to be on foot, and they are guaranteed to come back. I know it's not allowed to ask counter questions, but it's at least allowed to reflect on the following: Is it so that the representative Hareide believes that we should also do something about our ownership in Hydro, StatoilHydro, DnB NOR and other companies where it has become less valuable as a result of the financial crisis, much more than what we're talking about in Aker Solutions?
ParlaMint-NO_2009-02-25.ana.ud2362e308	What's important here is that we use professional advisors when we enter into transactions of this size. I note that the Council of State does not respond if she thinks we should use expertise in questions about transactions up to NOK 5 billion. That does not respond to the Council of States. So the Council of State also knows very well that the Christian People's Party, the Left and the Right went against this acquisition when this matter was being dealt with in the United Kingdom in 2007. I noticed that the State Secretary of State Sylvia Brustad said this had been a good purchase. Then I wonder, what is a bad purchase for the state, when it is a good purchase that we have lost NOK 3.7 billion?
ParlaMint-NO_2009-02-25.ana.ud2362e315	I record that the representative Hareide does not respond to the challenge related to the question that the values have fallen significantly more in other companies where the state is a major owner. Yes, we believe that this was right, because this is part of ensuring long-term and stable ownership. This helps to ensure that we can keep our head office in Norway for at least 10 years. This contributes to the continued leadership of Aker Solutions in some areas of international, but also national, energy, oil and gas supply. It's important. It is important for Norwegian jobs. Then I don't have any problem answering the questions about advisers. Legal advisors were used to buy Aker Solutions. When it was considered that there was no financial necessity two years ago, it was because the value of the company, that is, Aker Kværner, was well known in the market. It was so that this was known as a listed company, and it was a thoroughly analyzed company. This is the case, and the practice has also been under previous governments, that on a case-by-case basis, the number of external consultants a user and the external consultants a user.
ParlaMint-NO_2009-02-25.ana.ud2362e324	There will be follow-up questions – Hans Olav Syversen.
ParlaMint-NO_2009-02-25.ana.ud2362e327	Of course, it is tempting for a government council to make individual quotes based on what the government provided from information when the purchase was made. Then we know that when you had the opportunity to look a little bit closer to the conditions on which the state went into the company, there was every reason to call for warning. But I record that the Council of State doesn't think there's any reason to start with some blank papers in this kind of case, and I actually have to ask: When you look at the rearview mirror, this purchase, in the opinion of the Council of State, is an example of follow-up, or is it, as she herself has said, an excellent contribution to what is the Government's active industrial policy?
ParlaMint-NO_2009-02-25.ana.ud2362e332	We are not ashamed of this purchase at all. This is to ban active ownership policies. This is about having Norwegian control over an important company that is important for Norwegian jobs. On the question of whether to have guidelines that apply in all types of companies, I believe it will be wrong. Firstly, we have an investigation manual, which the representative is certainly well aware of, and it is clear that we need to go through different consequences before we present it. It can be done in different ways, and it'll also depend on which companies we're talking about here. Are there companies that are listed, well known, analyzed, or are there companies where you don't know well enough about those things? Then you have to use different types of advisors, as we see it. So I mean that guidelines that are going to be exactly the same in all companies, won't be appropriate or practical. But, of course, it is that in decisions as big as, for example, in the case of Aker Solutions, it is assessed in a thorough manner before proposing it. It was done then. It is kept up-to-date in future cases as well.
ParlaMint-NO_2009-02-25.ana.ud2362e340	Kåre Fostervold – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e343	I have still not fully understood, through the answers provided by the Council of State, whether she will consider new guidelines. It would have been very good to get an answer to that. It's hard to be on the owner's side when it comes to companies at Oslo Stock Exchange, especially in these times. And state participation can be positive for maintaining jobs, we recognize that. At the same time, I would just like to remind the House that the Progress Party took as a premise the time we dealt with the Aker case, that we had to sell ourselves into other companies, so that the state ownership of Oslo Stock Exchange was not too extensive. But there's another way to use state capital, and that's to make risk capital available to Norwegian businesses. Especially in these days, we can read about the extensive bankruptcies taking place in Norway. I would like to challenge the Council of State whether it will make even more capital available to small and medium-sized enterprises, which are not given any special help through the crisis package presented by the Government.
ParlaMint-NO_2009-02-25.ana.ud2362e352	We're concerned with a long-term ownership. That means we also have to have ice in our stomachs when there are demanding times that are now. Right now, the values have gone down in quite a few companies – it's known to the representative. For example, StatoilHydro, Hydro and DnB NOR have decreased significantly more than Aker Solutions. It's about thinking in the long term, and the fact that the state is such a big owner, has also been stabilising in the situation we're in, and in relation to the stock exchange in general. For that reason, too, it is important that the state owns a part, from our point of view. So that's how we're concerned about being able to deal with small and medium-sized enterprises, which I thought was the second part of the question. That is why we have now significantly increased those arrangements, for example: in Innovation Norway, which is a high-risk issue. This means that they can go into more enterprises, and they can go into higher amounts, and they can also take a little more risk in some contexts.
ParlaMint-NO_2009-02-25.ana.ud2362e359	Torbjørn Hansen – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e362	There is no doubt that the purchase in Aker Holding was surprising. It was very risky, it was complicated and undoubtedly amateur executed by the Government. It is unacceptable to spend DKK 5 billion on the purchase of shares in a non-listed holding company without having the economic impact determined, when there are in addition difficult, complex shareholder agreements affecting the values of the State. It was a red-green fault cut. But I want to ask the Council of State a fundamental question. In today's situation, there are many companies that can imagine state ownership. There is a lack of capital in the business community, many enterprises belonging to the so-called key industries, which have important employees and which have important competences in Norway. What are the principles of the Government’s possible future acquisitions in Norwegian business? Will the oil fund be opened up to new businesses in this kind of situation, or was this a one-off event that will not be repeated?
ParlaMint-NO_2009-02-25.ana.ud2362e369	I completely disagree with Mr Hansen's claim that this was «amatrically». This was done in a proper, proper way. I respect that the Right and Government with the then State Council disagreed whether this was right or not. It's a real debate. However, this government believes that having state ownership on a very large scale — and this is stated in the ownership message — is important for many reasons. Not least, it is about being able to maintain more jobs in Norway, have control by the Norwegian side and have head offices in Norway. I want to add, as I said before: it has also helped stabilise the situation now, in the demanding situation that we are in. In the future, something is reflected in the ownership message, and the representative Hansen is very well aware that this does not comment on me until situations arise where it should be relevant. But we think it's still important with great state ownership, and this is an example of it.
ParlaMint-NO_2009-02-25.ana.ud2362e376	Leif Helge Kongshaug – for follow-up questions.
ParlaMint-NO_2009-02-25.ana.ud2362e379	In Chapter 7.5 of the Ownership Message, the Government writes the following: «The objective of ownership of the commercial companies is to ensure that the invested capital of the State reaches the highest rate of return over time.» In addition, it says: «Unclear objectives may also lead to a belief by capital markets that the State has objectives other than those of the State, which may adversely affect the value of the State's shares.» In the news today, we could hear that the State Secretary of the Council of State Øyvind Slage expressed a startling arrogance over what the Government itself says in the announcement of ownership, and almost defecating the value of the investments – it is irrelevant as long as the jobs remain in Norway, i.e. a highly unclear target of the invested capital. The question then arises: with regard to the country's ownership and return objectives, is it established as formulated in the ownership notification, or are these principles set aside as soon as there are establishments that threaten to move out?
ParlaMint-NO_2009-02-25.ana.ud2362e394	My State Secretary is not arrogant, I will demand that. And that's absolutely right, what he also said on the radio this morning, that we have different goals for the different companies, as explained and explained in the ownership message. The financial crisis we're now in, which is extremely demanding for many companies and many individuals, also affects the value of the stock exchange. I won't call it loss, because it goes up, and it goes down. Right now, the values have gone down quite extremely – NOK 360 billion. We're thinking in the long term. This means that for us, it is important that we manage to control jobs in Norway, for example. as we did with Aker Solutions, that we maintain headquarters in Norway, and that we ensure that, for example. the company may continue to be a leading supplier within, for example: oil, gas and energy. I think it is unusually important to have ice cream in your stomach in the demanding time we are now in. We're also going to be there when the uphill comes back.
ParlaMint-NO_2009-02-25.ana.ud2362e405	Then we go to the next main question.
ParlaMint-NO_2009-02-25.ana.ud2362e408	I have a question for the minister of the church, so he won't be able to sit down completely. We have dealt with many things in Stortinget – many big things – that go on church policy and our relationship with Kirka. It's State Church Announcement, Church Democracy – which is now there – it's the Information Service Fund. It's all about our relationship with Kirka. We've done a lot of work to loosen the ties between the state and the church. Sick if the Council of State has the Church Minister as its title in its Governmental portfolio, however, I believe it may be right today to raise the question that we have very little debate and politics associated with other religious communities. We discuss little in this room where the boundaries between religion and community, the place of religion in public space, the relationship between individual and religion, what we should tolerate in public space, and what we should tolerate by interference with individuals. We have a party leader who has seats in this hall who believes we are exposed to a blizzard. Actually, the whole area of religion should be the responsibility of the Council of State. Should it not now perhaps be time to give an opportunity to lift up in this Chamber – in the Grand Duchy – a debate on religious policy and on what values and norms we as a state should base, what we should tolerate, what we should not tolerate, and what consequences it has for religious policy? My question is whether the Council of State wants to give Stortinget an opportunity for such a debate, which might have been tricked into the culture of debate in Norway.
