ParlaMint-NO_2009-11-18.ana.ud553e26	The representative, Hans Olav Syversen, will put forward a proposal for a representative.
ParlaMint-NO_2009-11-18.ana.ud553e118	The administrative reform leads us to shift responsibility for the roadside from one level – one responsible: the state – to 19 county municipalities. Does the Minister of Transport really think that by moving the roads further away from the state's money-rich box, the pace of expanding a modern road network will be greater than we've seen in recent years? That's my one question. The second question concerns road safety. When we move responsibility from the state level in parallel with funding to 19 responsible county municipalities, what measures are being taken to ensure road safety when responsibility is shared between 19 different bodies in relation to a total responsibility earlier – with the state?
ParlaMint-NO_2009-11-18.ana.ud553e125	322 billion over 10 years must be spent on roads, ports and fairways. So there's an increase of 100 billion dollars in relation to the existing plane. It's quite obvious that it means a stronger effort. Then there should still be close contact with the county councils. The State shall continue to be responsible for ensuring that the county authorities have the means to carry out their tasks. For road safety work, we have more than a double effort this year, and we are going to step up further. A total of DKK 6 billion shall be used for road safety measures over 10 years. When the county councils are now responsible for such a large part of the road network, it goes without saying that the cooperation with the county councils in this field, which we know they are busy with, needs to be strengthened.
ParlaMint-NO_2009-11-18.ana.ud553e132	Øyvind Halleraker – for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e136	I would like to continue a little bit with the government's four-field ambitions. It's true that there's 230 kilometers in the 10-year perspective, but it's actually as small as 12 kilometers each year for the first four years. So it's going to be 90 miles. My prognosis is that the government is not going to do this, and the government is going to be in deficit all the time. That's because costs are increasing, roads are falling due and traffic is increasing even more. The main problem is that the government does not take the steps that can ensure that we get an appropriate and modern road network developed much faster than today. On the right, many new solutions have been introduced in its alternative transport plan: narrow four-field solutions, OPS solutions, fund solutions. What is the reason why the Government does not support any of these proposals, which could give us a much better road network in Norway more quickly?
ParlaMint-NO_2009-11-18.ana.ud553e147	I'm very pleased with the commitment that Right now shows for commerce. If they had shown the same commitment six years ago, it wouldn't have been that much to repeat after them. Then to the funding. We share the ambition to get the most out of the money. Hence, the Government is trying out new solutions. This is why the State Road Service now looks at a model where one contractor is given responsibility for one route when it is in charge of development, maintenance and operation for up to 15 years. That's why we now have some projects that should be felt especially in our own posts. When it comes to some of the Right's proposals, there is no way to get past that there are costs in some projects, after some experience relating to, for example, (C) 2005-2008, (C) 2005-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C) 2006-2008, (C)
ParlaMint-NO_2009-11-18.ana.ud553e156	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e159	Traffic safety is about attitudes. That is why attitude-creating work is very important. In that case, children and young people in particular must receive the necessary training. I thought I had a long way to go. There are some parties that actually propose to drop the UP, and that shows that we have a long way to go. Safe Traffic plays an important role in the work on traffic security and is doing a very important job for road safety, especially among children and young people. Today, according to the application that Security Traffic has sent, they only get a third of what they ask to cover their important work. The Committee has been consulted on Safe Traffic, so we are deeply concerned about the work to be done because of the resources available. Will the Council of State give priority to Safer Traffic for years to come?
ParlaMint-NO_2009-11-18.ana.ud553e168	I quite clearly agree with the Transport Committee's leader that it is important to focus on road safety, and so does the Government. We'll double the effort and more than now in 2009. We should strengthen others, including: with different measures such as midpoints and rumbling fields, but also on the holding side – speed, rush, seat belt and youth. And so it's that Safety Traffic does a very important job, and it's that the red-green ones in the committee have also taken up the same thing that Hareide is now taking up, that Safer Traffic could do even more work on more means. I'm set to go for a round to see if we can get the Safe Traffic Committee and the Committee to meet with any new funds already in 2010.
ParlaMint-NO_2009-11-18.ana.ud553e175	Let's move on to the next main question.
ParlaMint-NO_2009-11-18.ana.ud553e178	My question goes to the Minister of Knowledge Kristin Halvorsen. This week was the result of the fourth supervisory review of the quality of the school. For the fourth time, the conclusion is that municipalities are failing one of their most important tasks: ensuring a high-quality school. To the Evening Post, the Minister of Knowledge says: ‘that the supervision has confirmed the concerns of the education authorities that the law is not being properly understood.’;» [[...]] For the Right, it is short and well incomprehensible that this concern has not been followed up by action. How is it possible to do 70 pst. by the municipalities, without immediate action being put on their agenda by the Council of State? I don't doubt Kristin Halvorsen's commitment to our kids, as she says, but why isn't the Council of State not as concerned with math as with food? It is fully possible to be for knowledge and against bullying at the same time. The attention of students means that the school councils have very little time. It must be embarrassing for the party leader that her two predecessors from SV have obviously slept in most hours since the first supervision in 2006. In fact, SV has run the Department of Knowledge for four years without taking any action. The case is a bad scratch in the SV paint. If SV is concerned with social mobility, a good school with appropriate training is a safe way to go. When school fails, it's the least resource-intensive students who have the most to lose. The Minister of Knowledge has now announced new supervision at all schools in 2010, but more supervision will not solve any problems unless the problems are addressed afterwards. I assume that the Minister of Knowledge shares the analysis by the Right that the quality control in school is not working. Where does the Council of State think that the previous two Swedish ministers of knowledge have failed?
ParlaMint-NO_2009-11-18.ana.ud553e194	First of all, I refuse to participate in a description of Norwegian school as if it were an eternal mess largely characterized by a lot of bad work. It's not like that. There is a lot of good work going on around Norwegian school, but we have some challenges. These challenges have been addressed, for example: in the report on quality at school, because we know we are too poor in some areas. It concerns the evaluation and feedback of students, it is precisely the supervision and supervisory report of the Education Directorate that the representative of Aspaker is involved in, but it is not a matter of concentration on improving the quality of education in the future. The challenges we are now facing from the Directorate of Education in the context of the 2009 reports they have for their supervision are, on the one hand, better to follow up, but, on the other hand, whether the Training Act and the Law are designed in such a way that what is meant is unclear. This is a significant challenge, because there has to be some judgement as to how to follow up what is in the Training Act. But we've now had some challenges in this oversight, and we're going to take them with us.
ParlaMint-NO_2009-11-18.ana.ud553e199	The problem in Norwegian school is not all that works. The problem in Norwegian school is all that doesn't work. From the Right, we will strongly warn against overexplaining and continuing neglect in quality control at school, as the consequence may be that we will develop A and B schools. The problem with the measures the Minister of Knowledge has taken to deal with his or her affairs is that many of them will take a very long time before they work, and that this is inadequate. Therefore, the Council of State must think again and have room for more thoughts in its head at the same time. The Council of State should also recognise the problem of the government taking care of important results in school, and that it takes us away much of the basis we need to intervene on behalf of students and follow up schools with quality problems. Does the Council of State see that the lack of transparency and transparency on school performance and development may pose a threat to the quality of school and to pupils in schools who are «forgotten» by their municipality?
ParlaMint-NO_2009-11-18.ana.ud553e206	The results of the national tests are not secret. The main emphasis of the Government is to publish the results of the national tests in such a way as not to invite them to rank. There we have great support from parents, teachers and students alike. It's one of the grips of our government, the red-green majority, has taken to increase the acceptance of the national samples and to make the best use of the national samples. The results are public for the school to which they apply. They are public to those who may want to see them. But I have to warn the Right against believing that the results of the national tests are kind of sesame-sensible. They can tell each school something about how it is based on a national average, and they can tell the municipalities how they are located. It gives school owners and school leaders the opportunity to follow up on each school. But they say little about the progress from one year to the next, and they say little about the results, because we know there are so many other factors that affect it.
ParlaMint-NO_2009-11-18.ana.ud553e211	Three follow-up questions are raised – first Svein Harberg.
ParlaMint-NO_2009-11-18.ana.ud553e215	The supervisory system that we have in relation to the municipalities is an important and good system. It is good to help municipalities guide the work they do. It's good at getting knowledge about how things work, and whether they work, and it gives you an opportunity to intervene. What is important then, when you carry out supervision, is, of course, what your focus is and how you follow it up. I record that the Council of State explains something about the lack of follow-up with unclear legislation. For me, it's not that unclear laws give a right to refrain from doing things, but that there may be challenges to implementation, we're in. Then we record that several state councils have done nothing, and my question is therefore: what immediate action will the state council take to get the 70 pst. that ignores the internal quality control in school, to take this task seriously?
ParlaMint-NO_2009-11-18.ana.ud553e224	First of all, it's not like two red-green knowledge ministers haven't done their job. On the contrary, this has been asked to be supervised, because there was concern that the follow-up is too poor locally. And then I don't think there's any "kick-fix" on this. There is only the recipe that is concerned with continuum concentration on quality over time. However, we have received some challenges from the Education Directorate in connection with this supervision, and one of the challenges is whether the expectations sent to the municipalities – i.e. through the Training Act – clearly govern the work of the municipalities under the Training Act. That's one of the challenges we're going to see more.
ParlaMint-NO_2009-11-18.ana.ud553e229	Bente Thorsen – for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e232	Follow-up to the Norwegian Training Act is not a clear reading after the fourth national supervision. We agree on that. According to an article in the Evening Post of 16 November, which takes into account the fourth national supervision, whether the school owners and private schools have a good enough system to organise the students in groups, it appears that almost 70 pst. by the municipalities that were checked had deviations in relation to the requirements of the law, while only 30 pst. of the private schools failed in relation to the group breakdown. Could it be that private individuals have taken the point and understood the points of the Training Act? The questions are then: can it be that private schools take knowledge, quality and learning more seriously than public schools? And does the public school have something to learn from the private school?
ParlaMint-NO_2009-11-18.ana.ud553e241	I would be very careful to generalise the characteristics of private schools up against public schools, because the proportion of private schools in Norway is very small, fortunately, and the variations between the public schools are very large, so there are a lot of public schools you have a lot to learn from. One thing that will address some of the issues raised by the 2009 supervision is what is on the government platform, namely that we need to develop a standard, change the training law to ensure better teacher resources for primary school. It will be one of the tools we can use to ensure better follow-up to precisely this which is about group size, division, etc. So we have further measures in addition to what we have previously introduced in this area.
ParlaMint-NO_2009-11-18.ana.ud553e248	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e251	Control and supervision are important in order to ensure quality in school. However, it is precisely for this reason that it is important to focus monitoring and supervision on the conditions that are the most important for quality. Following the supervision of the County of Meldal Municipality in the South Trøndelag in the last winter, it was found that the County Council, the Directorate and the Ministry of Knowledge did not agree on the requirements for the use of the so-called Inn on tunet solutions, where students who need alternative learning venues receive several hours a week on a local farm. The Ministry of Knowledge's signals on how this is to be done now mean that many schools have to close this important offer to students with a high level of practical skills. This is an example of how control and supervision have reduced the quality of training, as many teachers and students have experienced it. The question therefore arises: Will the Council of State look at how to facilitate the use of schools for tuna and other flexible training measures and ensure that control and supervision focus on what is really important for quality and strengthen the provision of students instead of weakening it?
ParlaMint-NO_2009-11-18.ana.ud553e260	As I'm familiar with the matter raised here by the representative of Håbreek, it's about how to ensure the quality of the education of the students participating in the Inn on the tune, because the Inn on the tune is an incredible opportunity for many students who have gone out of school and who want and need a closer contact between practical work and theory. But then we have to make sure that it works that way. What I understand is that there have been some questions about whether the training and combination requirements have been well enough followed up, so that these students have received good enough quality on the offer they have at Inn on the tune. But I'm going to take a closer look at that case and make sure that the idea behind the Inn on the tune, namely to offer more practical training to individual students who are particularly tired of school, can be realized by a better quality, and not by the disappearance of the offer.
ParlaMint-NO_2009-11-18.ana.ud553e267	Then we move on to the next main question.
ParlaMint-NO_2009-11-18.ana.ud553e270	I have a question for the Minister of Transport. Greenhouse gas emissions from road traffic increased by an average of 2 pst over the period 1990–2007. per 1 % years. In 2008, road traffic stood for nearly 20 pst. of the total emissions of greenhouse gases in Norway. The increased use of biofuels is one of the simplest and cheapest measures to reduce greenhouse gas emissions from road traffic in the short term. Until now, biodiesel has been exempt from the car diesel charge, to introduce biodiesel as an environmentally friendly alternative to fossil diesel and make it competitive in the market. The Christian People's Party, on the basis of the climate agreement, has supported the Government in the implementation of the biofuel market. However, in the State budget, the Government claims that the imposition of the turnover charge has made the exemption unnecessary. This is wrong. A number of large transport companies, such as Schenker, Posten and Ruter, have, on the basis of the tax exemption, invested heavily on high blending biofuels on their vehicles. The Transport and Communications Committee has now conducted consultations with more than 70 different hearing bodies, and a clear majority of these actors initiate or terminate their interventions by making themselves unintelligible for the Government to remove the exemption from biodiesel. My question is: does the Council of State believe that the Government's proposal for a charge will contribute positively or negatively to reducing road traffic emissions? What kind of climate action will the Council of State now take action in its area?
ParlaMint-NO_2009-11-18.ana.ud553e285	This is a matter that is currently being discussed a lot – for good reason. It's a matter for which I understand it has been a great commitment, from various hearing authorities. I just have to formally say that the matter itself belongs to the Minister of Finance, but I am not going to discharge my responsibility and commitment in order to reduce greenhouse gas emissions in the transport sector. With the basis mentioned by Hareide, the government has put forward a proposal to remove this exemption. There's a whole government behind it. It has our hearings in the Committee on Budgets, one of which has pointed out the various contradictions. My answer today must then be that this is a matter which is at this point in the Financial Committee in the Grand Duchy, because it is a matter for the 2010 budget. I would say that the most important thing that can happen in the transport sector in order to reduce greenhouse gases is the development that will now take place in the car industry – i.e. towards more environmentally friendly cars. Then we also have a strong commitment to ensuring better collective provision in the most populous areas – thus contributing to less use of cars and also less emissions. And then a little hint into this charge: the requirement for blending biodiesel is fixed.
ParlaMint-NO_2009-11-18.ana.ud553e297	Norway's only biodiesel producer, Uniol in Fredrikstad, now has separate permits. They have invested in a new facility of 350 million. kr. The investments were made under the condition that the tax exemption on biodiesel would be continued. We also experienced in this room that Per Olaf Lundtegen brought with him a bush, just to show his commitment to the possibilities that this has, and that, among other things. has a significant impact on the transport sector. Partisan Liv Signe Navarsete said to Stavanger Aftenblad on 4 September this year: "We will create thousands of new green jobs. We shall use the forest, our hydropower and wind both on land and at sea." Is the introduction of a biodiesel tax to be seen as a first step in the Centre's large-scale green workplace, green business and green transport?
ParlaMint-NO_2009-11-18.ana.ud553e309	State Councillor Meltveit Kleppa receives the floor for the follow-up to the transport policy section of the question.
ParlaMint-NO_2009-11-18.ana.ud553e312	I think I'm going to have to take the center part, and I'm going to confirm that the central government has stated quite clearly that they still want an exemption from this charge. That's the advice they've given to the big group in the Center Party. Then I have the opportunity to stress that the charging device is of course very important. Hareide addresses a very important question when he says that we need to focus more on greenhouse gas emissions in the transport sector. I'm glad that we have an offensive national transport plan, one with a total of NOK 322 billion, where the track becomes important, where other collective services become important, and where changing habits among people becomes most important.
ParlaMint-NO_2009-11-18.ana.ud553e319	There will be three follow-up questions – first Kjell Ingolf Roppstad.
ParlaMint-NO_2009-11-18.ana.ud553e322	Minister of Finance Sigbjørn Johnsen said this week that a collective government is behind the proposal for a car diesel tax, despite the fact that it becomes more difficult to reduce emissions in the road sector. On 27 October, the formerly mentioned Per Olaf Lundteigen, a financial spokesman in the Central Party, stated to NTB that his starting point is that the fee should be changed. He says: ‘If we want to increase the use of biodiesel, we must facilitate it, inter alia, by making the use of biodiesel more profitable than oil diesel.’ It is quite understandable, as Lundtegen used the occasion at Norwegian Forest Follum to present the Center Party's promise of support to environmental technology companies. So my question is, is the Council of State agreeing with its party trap Per Olaf Lundtägen and the government in this matter, or is the Council of State fully behind the Government's proposal?
ParlaMint-NO_2009-11-18.ana.ud553e334	It may then be up to the Council of State if she wishes to answer questions which are clearly outside the Ministry of State, but which are, to a large extent, related to the same theme, in border countries. So the state council gets to choose if she wants to answer the question.
ParlaMint-NO_2009-11-18.ana.ud553e337	Let me answer the question of unity or disagreement, by confirming what the Minister of Finance has said, namely that there is, of course, a collective government behind the budget that is being presented. So it's like this has happened a process in retrospect, right, here there's been some rounds of hearing about this, which has been the reason for the views that have emerged from the Central Party government. Then I will probably add that I stand firm by the fact that there are many other measures in addition to the facility of the charging system that have an impact on greenhouse gas emissions. I've been responsible for construction at 40 pst. Of the stationary emissions are from barley, and where we have turned on with regulations. We need to look at different ways of aligning policies so that the transport sector benefits more.
ParlaMint-NO_2009-11-18.ana.ud553e344	Siv Jensen – for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e347	I have a follow-up question to the Council of State Kristin Halvorsen, since she is also Minister of State in the Government. SV has been very good at double-communing its view on the biofuels issue. When Kristin Halvorsen was Minister of Finance, she also expressed herself that it was possible to imagine a change in this charge that the Government proposed. My question to the Deputy Minister of State is this: Is she comfortable sitting in government when she is not even able to influence such a small and concrete case – a matter where the entire opposition stands together and agrees with many of the SV's own deposit representatives? Is it true that the Workers' Party is going to trump its views when there is a rowdy majority who won't introduce that fee?
ParlaMint-NO_2009-11-18.ana.ud553e356	The President then makes it clear that the Storting has not been notified of the appointment of any Deputy Minister of State in the Government. But I understand that the State Council of Halvorsen still wants to answer the question in its power of being the leader of the party SV. So, please.
ParlaMint-NO_2009-11-18.ana.ud553e359	It is right to stress this and that the constitutional responsibility – as the State Council of Meltveit Kleppa was also involved – lies with the Minister of Finance, but I have no need not to answer the question raised by the representative of Siv Jensen either. Let me just say a little bit about the reason for the proposal to remove this tax exemption. It is that we have introduced a sales ban in the case of biodiesel, which is a blend into the normal diesel of 2,5 pst, and that is the large volume of biodiesel so far. So when we have that as a tool, we can get this market up without a tax pick-up. What has come, and on which there has become a great deal of focus since the budget was presented, is this high-level interference, and, as several speakers have now pointed out, the market for this high-level interference is threatened by the introduction of the levy. I think that is a reasonable debate, and a debate that deserves lighting in Stortinget after the budget has been presented. But then the budget you present is presented by a government as a whole. And it's only if the three parties agree on changes to that budget, that there are changes to that budget. I think that in terms of some of the arguments that are related to what may be of new jobs related to this, it is difficult to see that the tax change itself will be what threatens these jobs.
ParlaMint-NO_2009-11-18.ana.ud553e369	President! To a manifest misunderstanding.
ParlaMint-NO_2009-11-18.ana.ud553e374	It is that questions have now been asked relatively far out on the side of what was the main question. The President intends to address the next follow-up question, recalling that the main issue was climate action in the transport sector and is related to biodiesel as an element in its relation, and that follow-up questions should address the main issue raised. Borghild Tenden – for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e379	My question goes to the Minister for Transport. After all, the Minister of Transport is in the Stoltenberg government, and the Government’s new political platform Soria Moria II states that the Government will: ‘Set sustainability requirements for second generation biofuels and continue to contribute to the generation of such fuels in Norway’.» My question then is: What contribution to the continued production of such fuels in Norway does the Council believe that the Government has given by increasing the fees and thus reducing the profitability by as much as DKK 1.79 per year? - A gallon?
ParlaMint-NO_2009-11-18.ana.ud553e389	I really appreciate the reading from Soria Moria. Both edition I and the one currently in force, edition II, are very readable. Then, too, in the same Soria Moria, it is a moment that the Financial Committee takes into its final position. So it gets to me that I get to concentrate on what I can do in my field. There's Borghild Tenden an industrious reminder to me of strengthening collective service. There we're going to strengthen Transnova, where we're going to provide even more environmentally friendly cars, including following up with more electric and hybrid cars. I look forward to constructive cooperation in this area.
ParlaMint-NO_2009-11-18.ana.ud553e396	Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2009-11-18.ana.ud553e399	It could be tempting to say something about both jobs, like the Halvorsen Council, about food on the tank and about trees on the tank. Despite the fact that we have received more interesting reports, albeit in a somewhat different form, about what is going on in the inner circle, I would like to ask the Council of State what she thinks is that the Prime Minister is running through the biodiesel tax internally, but leaves to others to defend it externally.
ParlaMint-NO_2009-11-18.ana.ud553e404	... I don't know exactly where to start. [[Munterheit at the Council of State and in the Chamber]]
ParlaMint-NO_2009-11-18.ana.ud553e409	One possibility would be to start answering.
ParlaMint-NO_2009-11-18.ana.ud553e412	Let me first say that the focus that is on different workplaces is very good, same game it comes from. This also applies to the focus on using wood in several fields. So I guess I see that the single-country council that is responsible for the fee and that goes in the field here is the finance minister. It's a little unexpected for me that we here in turn and order all of us are going to focus on this fee today. The Minister of Finance has done well for his point of view.
ParlaMint-NO_2009-11-18.ana.ud553e417	Let's move on to the next main question.
ParlaMint-NO_2009-11-18.ana.ud553e420	My question goes to the State Council Halvorsen. I want to start by referring to a reader's letter written by 14-year-old Moiko in yesterday's Evening Post. Moiko writes, among other things:\t\t You can change the "All my life I have been lying in front of the others; all my life my school has been boring." Further: ‘The teacher will have a student who is right next to the average but who works hard.’ And on the other hand, ‘The result is a student who does not receive any challenges or help, who never has to work and who eventually stops following. This is how the system destroys students who could become future inventors, researchers, doctors or astronauts." And, not least, the worst: ‘No one cares. No politician has mentioned my problem." Moiko is not alone in Norwegian school. On Monday, the Central Statistical Office presented a compilation of the international comparative studies referred to in the Norwegian School. It goes down mainly in all areas, unfortunately, despite the record size of resource use. The PISA study may be worst. It indicates that in all the three disciplines measured, mathematics, reading and natural sciences, the trend is very negative. This is in addition to the fact that the media are full of opinions about teachers who are both bullying at school and who are barely coming to school. 29 pst. By the students in Oslo School, they say that the teacher usually comes in time to the hour. Then my question is: isn't it time to abandon socialist dogmatic management of the Norwegian school, to put aside the ambitions about more of what obviously doesn't work, and to put forward a new proposal for training law, which focuses on quality, learning, competence and a stronger focus on the evaluation of pupils and teachers in public school?
ParlaMint-NO_2009-11-18.ana.ud553e455	The issue that Moiko raised in a reading article in the evening post yesterday addresses one thing, and that is that although you adopt and keep focus on quality and custom training, students who are professionally ahead of the rest of the class should also have challenges adapted to their level. Even if you decide to do this, you're not sure that it's going to be real in every class room. My ambition for the future is not to bring about many new approaches for the school, but to ensure that we implement the grips of which there is a broad political consensus. Then I have to say that the representative Tord Lien is extremely poorly involved in what is Norwegian school debate. In 2008, a high-quality report was presented at school that addresses the results we have received in relation to international tests, which are results that go back ten years in time. There are many grips that we now need to work on to improve the quality of Norwegian school. It's e.g. broad agreement that too poor feedback is given to the students from the teachers, i.e. feedback that allows you to know what to work with to improve, and not just in general say ‘as good you have been’ or ‘no, this was not good enough’, but quite concrete. We've decided to introduce a principal's education because we know that the management of each school is very important. We also undertake a new teacher training where we will focus more on professional immersion – especially in high school – where we also address pedagogy and practice in a different way than before. Then we make sure that we have more resources in school through what we have said in the new government platform – create a resource standard that ensures that we have enough teachers to follow up each student so that everyone gets challenges based on their assumptions.
ParlaMint-NO_2009-11-18.ana.ud553e464	The representative, Lien, is a useful companion, and I am very happy that the government has got a schoolteacher training that was absolutely necessary. However, one of the things that is pointed out in the Statistical Central Bureau report is that the Council of State has not addressed. Of course, I'm not trying to blame the challenges we have in the Norwegian school, at the Council of State, which has barely gotten hot in the chair. But they point to, among other things, to school activities with no clear intention, they point to poor school learning pressures, and they point not least to weak culture for learning. Statistical central agency writes, among other things: based on a report made by Klette and others. in 2008: ‘Especially in childhood, the feedback given is not very precise and is to a small extent learning-supporting.’ Isn't it time to consider introducing grades at a lower level than you have today?
ParlaMint-NO_2009-11-18.ana.ud553e478	These issues are no surprise to us who have been working on quality in school for a long time. Just what is presented here in relation to assessments and unprecise feedback, which makes it not clear to the individual student what to work with to improve, is one of the things that is now strongly focused on. We have come up with a separate regulation on how to do this. A numerical character does not provide much information to the student. Providing clear information on what to do better, where to strive and what to do is what to do – that is, to give feedback on learning and not just an assessment of what is the result of previous learning. This is a very important topic. There is a lot of important work to do with this in school, but it is quite right that we need to be much more focused on the fact that what you spend your time at school should have goals and meaning, and that what you get from feedback should have goals and meaning in relation to giving the student an idea of what you have to work with.
ParlaMint-NO_2009-11-18.ana.ud553e483	Two follow-up questions will be raised – first Mette Hanekamhaug.
ParlaMint-NO_2009-11-18.ana.ud553e486	In its previous answers today, the Council of State has outlined that more teachers are the solution of a lot in relation to quality in school. Today, 13,000 children are bullied and harassed by their teacher. 29 pst. By the students in Oslo, they say that the teacher only occasionally or never comes exactly to the hour. Several students in the country point out that fighting and unrest interfere with education, while teachers either do not have the skills or want to address the problem. My question to the Council of State is therefore: why does she believe that the number of teachers is the most important solution to raise the quality? And: does the Council of State have proposals for concrete measures to address these challenges?
ParlaMint-NO_2009-11-18.ana.ud553e495	I think we have to have a lot of thoughts in our head at the same time. One relates to the quality of the teachers we have. Many of them are very good; many of them demand more continuing education. We've now increased our focus and focus on that. Then we're going to change the teacher's education. We're doing it now. One of the things to focus on is more practice and how to follow up in the classroom. In addition, we want a mentoring system after being a newly trained teacher. This means, in practice, that a fresh teacher can be followed up by a more proficient teacher in the classroom. So we're doing a lot of work to increase the quality of teachers and to encourage teachers to evolve further. It's also a big challenge that many teachers have too many students to follow up in their classes. This is why we want a change in the training law that will ensure a certain number of students per year. teacher. It will also give the individual good teacher the opportunity to follow up on each individual student.
ParlaMint-NO_2009-11-18.ana.ud553e504	Elisabeth Aspaker – for follow-up questions.
