ParlaMint-NO_2009-12-04.ana.ud2465e53	The representative, Nikolai Astrup, will put forward a proposal for a representative.
ParlaMint-NO_2009-12-04.ana.ud2465e439	I now get the feeling that it is actually Prime Minister Stoltenberg's words that come out here – and no longer SV's very harsh approach to climate policy. It's all right, but from a point of view of progress, I think Stoltenberg has a better principle approach to this than what SV has. When you hear the approximate statements, both in the post and not least in the replies, about cost efficiency, global utility and quota trading as a base wall – despite SV being the only party that voted against the trading principle when it was discussed in Kyoto – and that we should not be self-tapping, it is very good. What I would like to go over to is whether you can get the proud mountain expression on the climate quota law in the future, and go away from the self-absorbation we have driven in relation to new industries, that it should not get quotas similar in the EU, so that we can give a fundamental answer: yes, in the future, Norwegian industry should be treated in the same way as the EU's – not stricter, not lighter.
ParlaMint-NO_2009-12-04.ana.ud2465e448	I think there has to be a very intense effort to get a razor blade between the Prime Minister and me on the issue of climate quota law. This is the very basic plan of the international climate regime. That's the base, the base wall, or whatever we had to call it. An international tax system could be envisaged instead, but that debate is over because the EU and the United States choose this model. That doesn't mean that it solves all of the problems. Above all, the quota system does not solve the fundamental problem: getting enough ‘drive’ for all the new technology we need, which also Solvik-Olsen was involved, because technology is at the forefront of technological development — often expensive measures — while the quota system will contribute to the cheapest measures first. That is why we need to have both that and a number of measures to bring about more and faster technological development. We would like to call for cooperation with the Progress Party on this, but here the Prime Minister and I agree that it is possible to become.
ParlaMint-NO_2009-12-04.ana.ud2465e453	That was comforting. The cord shift is over.
ParlaMint-NO_2009-12-04.ana.ud2465e459	I would also like to begin my speech by thanking the Council of State for a good presentation and for the opportunity to have this important debate in Stortinget. The Barcelona meeting earlier this fall was actually a confirmation of what we all have known for a while: we do not get into port, we do not get a ratification legally binding agreement in Copenhagen. It is clear that it is a defeat for world leaders, but at the same time I would say that there is reason to be optimistic. The world is somewhere else now than it was just a few years ago. The United States is not going to get its climate law through the Senate before the Copenhagen climate summit, but they have a climate law on the way – they have learned from the Kyoto process. China has played a completely different role from what they have had in these negotiations so far – a responsible role – they recognise that there is a problem and they will help solve it. We have developing countries that are now presenting binding plans, they are willing to take on commitments as long as we pay. The fundamental distrust between countries and developing countries, which has been a major barrier in these negotiations for many years, now looks like it should be possible to overcome. Norway’s contribution, e.g. through the huge rainforest bet we make — early money on the table — has been important. The funding mechanism we have proposed has been important. It is clear that many of these discussions will focus on how we get money on the table – EUR 100 billion a year, the EU says that we need – in order for the developing countries to be able to adapt and do the cuts that are needed. But there's a debate as important as this that's about who's going to decide about this money. There's a lot of power in managing so much money. It is important that we are clear that this is not aid. We're going to solve our particular problem through what we're going to do in the years to come, and it's not going to be at the expense of normal, traditional assistance. The great deal of this discussion is that it does not have to be the traditional donor-receiver-country pattern on which it is based and which becomes the pattern of how it is to be done. Of course, we need to verify that there are actual measures that are being implemented and that we avoid problems such as corruption. However, the demands made by some countries to use institutions where there is equality of voice, which are fundamental democratic, and where there is no requirement for the kind of economic policy to be pursued in countries receiving money are very comprehensible. Success requires legitimacy from both sides, and the concern expressed by many countries that traditional institutions primarily promote the interests of Western countries must be taken seriously. This does not mean that traditional institutions can never be used, but that means that we need more alternatives, and that those countries that are going to receive a lot of money have an influence on the approach to which structures are to be used. Although Copenhagen is not going to be the end of the negotiations on a new protocol, there has been a huge global mobilization ahead of this meeting. It's a lot of pressure, and there's clear expectations about a further race. It is a real willingness to negotiate with the major parties. It is a concern of many that after the Copenhagen meeting we have to be able to keep the pressure up. We're going to have to avoid moving into an eternal dance like this. the so-called WTO round of developments took place, it took place for years. It's important now that we don't let the air go out of the balloon, that we don't push shadow boxing towards the meeting in Mexico next year, because it's too long, and we have a bad time. Norway takes and must continue to take a great deal of responsibility for driving this process forward and keeping up the pressure after the Copenhagen meeting. In the end, large parts of the Norwegian election campaign were about to get Prime Minister candidate Siv Jensen to clarify whether she was going to follow up the Norwegian positions that had been put in the Copenhagen meeting, if she became Prime Minister. Fortunately, it did not become a reality, but the Progress Party is the country's second largest party – they will be present in Copenhagen – and we are still not there to know where they stand. Arne Sortevik and his articles on hope of failure in Copenhagen have already been referred to. It was mildly alarming, also to come from that party, but I ask again, although this is beginning to approach the boring: does the Progress Party support the Norwegian positions that the Minister for the Environment has explained? The articles of Ketil Solvik-Olsen were much more nuanced than, for example, his colleague, Mr Sortevik, is in these questions, but it did not bring us any closer to a clear answer to that question.
ParlaMint-NO_2009-12-04.ana.ud2465e482	So far has this debate shown that there is a great deal of consensus around Norwegian positions. There is a great deal of agreement that there is a strong desire in broad political Norway that the Copenhagen meeting should produce results. I think it's important, even if we don't get a ratifiable agreement or all systems in place, that we get a timeline where the end station must be clear and visible, because when we get into port with an agreement that can be used, and that includes most countries in the world, with different goals, but with the same common goal: that we should be able to last the 2 degree goal. It's a formidable task. I record that the ambitions of the Council of State have been downgraded in what was said yesterday, and that I have also seen in the media. That, of course, is realistic. I just want to warn you that if you take your ambitions too far down, it also means that the pressure to find solutions can be too bad. When very many people have ambitions for the Copenhagen meeting, it can be a self-fulfilling prophecy. That's why it's important to have a little high ambition and some clear goals when such a meeting starts. So one thing is what institutions, systems, and obligations are dealing with. The second question is, are we able to have the means to reach the 2-degree target? I'm actually quite concerned that we haven't gotten far enough. No matter how many times I and many other politicians, not least from the Government, have talked about the economy as a tool and about technology optimization that is going to happen, it is nevertheless far ahead in many areas that we get available technology that can be implemented at a cost that enables us to achieve the 2 degree goal. This is one of the things that I think we also need to be clearer and clearer in the national debate. We're very good at goals, we're worse at measures. We're too bad to bring environmental technology forward. We are too little predictable in what policy we have. It is dangerous that for every single debate we now take on different instruments, there are always people who can bring forward an action that is better in theory, but which may not be close to being realized. In many of these debates, the best thing is to become the enemy of good. It is sometimes forgotten that it is not only economic efficiency that is important – governance efficiency is also important. In many models and discussions we have, it's so that there can always be another hope, another opportunity, but it's not realistic to get it into place. Therefore, it is important that we now go further into the depths of how we are going to find solutions in Norway in a predictable way. One of the challenges is that the carbon price is simply not high enough. The carbon price and trading systems are good on paper, but before the carbon price is higher, there is not enough new technology in the world. It is not breaking in Europe. Therefore, this will not produce results quickly enough. This, of course, has to do with the development of the entire system of carbon and emissions trading and the inward border in terms of pricing in Europe in the future. There is once again doubt that European solutions are the most important means of achieving this, and that several countries are involved. It is also the case that, in the follow-up to the climate agreement, we need to set some clear objectives and regulations in other areas, with a timeline that is visible, so that we also break forward with new technology. That's why the Right has, among other things, called for more money to be spent in the years ahead on research and development, but also on pilots and others in the field of environmental technology. We have to do that if we're going to break out completely new technologies. It's not just about energy and renewables, it's just as important to do it on all the other sides where we consume energy and generate emissions. That is why it is often that too much of this debate is just about energy and not about energy savings, and about how we get completely new material technologies, which means that we need to use less energy, without just energy use. These challenges are ahead of us. Although the Council of State does not want to answer the question of biodiesel – I did not intend to say one word about biodiesel in this debate – I would like to say that the worst thing about biodiesel was just that no one can believe in the tools we agree on anymore, because there is no predictability with this government. I've met so many people in business now who say they don't dare bet, until they know the framework conditions too much longer than one budgetary procedure at a time.
ParlaMint-NO_2009-12-04.ana.ud2465e497	The climate issue has created a lot of debate here in the last two to three years. It reflects a great commitment and concern for the great seriousness we're facing. Prior to the Copenhagen meeting, we need to focus our attention on the big picture: that climate problems are one hundred percent global. It would be unforgivable not to have a full focus on what can be the fastest and most effective to get the large emissions down no matter where on the globe they are happening. It is of little interest to hear the criticism of the biodiesel campaign by the Advance Party to the Government while the party still does not seem to recognise that climate change is man-made. The representatives of the Party send out highly contradictory signals on the expectations to be held at the Copenhagen Summit. The progress party claims that they are placed on the sideline. That's where they put themselves! The red-green government has always had a global approach to climate change: when, in 2007, Norway’s ambitious climate targets were launched, when, on the Norwegian side, it has been a driving force for the use of rainforest protection as a climate action, when it has been a driving force for energy development in Mongstad, and when, with the Prime Minister at the head, it has actively pursued diplomatic work, which can guarantee us an offensive agreement in Copenhagen, not least in terms of finding funding mechanisms to ensure that we can also get developing countries with it. Speaking of representatives of Solberg's posts, one of these is precisely the most central: climate cuts will cost. The combination of a global ceiling on global emissions and an allowance trading system will be crucial for efficient and rapid emission cuts, with strong incentives for technology development and cutting where the cuts can get the fastest. Cut now, as we know, is far more important than cut far into the future. Although with our government there has been a long-term investment in maritime transport, rail, Enova, energy saving, research, etc., there is no doubt that Norway's contribution to climate action in poorer countries will have the fastest and the most impact. Our contribution to the conservation of rainforests is important in this way. We are already well running in Brazil, and for approx. a month ago, the Minister for the Environment signed a Memorandum of Understanding with the President of Guyana on the protection of large rainforest areas there. We can also contribute in other ways, including: the Brazilian Government is very concerned about accessing Norwegian farming technology, because they want to convert the activity in Amazon into employment that does not involve the peak of rainforest. Here, too, we should set up. Of course, it is also necessary to mention the cooperation on carbon capture and storage established during the Prime Minister’s visit to South Africa last year. This is a cooperation focusing on the South African energy company Sasol's plant outside Johannesburg. It is an installation producing synthetic fuels. It's the largest in the world, and there's the CO2 emissions 60 million tons per year. It shows the potential we have for transferring technology to other countries in relation to this type of emission sources. Those who will meet in Copenhagen in a few days' time have a huge task ahead of them in setting up an offensive agreement that supports below the two-degree target and emissions cut as monks. It is important to reach an agreement to put in place good funding mechanisms for climate action in the world’s poor countries. Without this, we can forget to bring the major developing countries into commitments for the future. In this work, Norway is a constructive contributor and a strong driver, and I hope that we will join in our model of funding, where money for climate action in poor countries goes directly from the polluter and that it does not depend so much on appropriations from annually politically vulnerable budgetary processes in rich countries. I am pleased that, with the exception of the Progress Party, there is a broad consensus on the major lines of climate policy, including the positions ahead of Copenhagen. I also expect that we can get together to wish our negotiators good luck.
ParlaMint-NO_2009-12-04.ana.ud2465e521	Like other speakers here, I would like to thank the Council of State for a good briefing on good positions taken by Norway in Copenhagen. As a small country with CO2 emissions at the global peak measured per capita, we have every reason to work to ensure the success of the Copenhagen meeting and to have a binding international agreement on emission reductions. Our high emissions are linked to industrial activities that have an enormous impact on jobs and local environments throughout the country. Without an international regulatory framework at the bottom, we can see that Norwegian measures for emission reductions result in high-emission industries simply shifting their activities from Norway to countries without restrictions, so-called carbon leakage. The result can be higher emissions elsewhere on the globe, and as we all know, no matter where we get the emissions in the world – the effects are global. I come from a state where power-processing industries are of great importance for jobs and housing. The Norwegian power-processing industry has very low emissions compared to the corresponding industry elsewhere in the world. It is due to strict regulatory requirements and high energy prices, but companies are still competitive. If these companies move their production from Norway to other countries, emissions per tonnes of metal produced are most likely to be higher than today. In Hordaland we also have a large and important supplier industry for the oil and gas industry. We know that oil and gas activities are a major source of CO2 in Norway, and we know that we need to find solutions to deal with these emissions. Today, we are building installations for the capture and storage of CO2 in Mongstad, a facility that will ensure that Norway and Hordaland will lie in the world's technological development in this field. Measures for CO2 reductions in oil and gas development are costly, but an internationally binding carbon pricing system could generate profitability in technology development and the implementation of emission reduction solutions. When the leading spokesman of the Progress Party in Hordaland, Arne Sortevik, in press releases, says that he is going and hoping for failure in Copenhagen, he really hopes for a result that will endanger thousands of jobs in our common home country of Hordaland. A failure in Copenhagen will not mean that we can drop measures against CO2 emissions. This would mean that the sharing of costs and burdens would be random and distorted. This means that the temperature rises are going to be larger than the world tolerates, and that in the long term, the measures we have to take, with both emission reduction and climate adaptation, will be enormously larger. That is the ugly reality. The spokesman of the party in this Chamber today, Ketil Solvik-Olsen, has a different approach than his party trap Sortevik. It is obvious that there is a deep division in the Progress Party on these issues. Solvik-Olsen believes that we must be able to debate science. We need more knowledge on this issue," says the Progress Party. In the case of Lofoten, on the other hand, there is obviously no need for more knowledge – there we just have to go. It's a debate technique – according to my concepts – where you use arguments alternately about each other without any consistency. But I don't think it bothers the Progress Party that there is no consistency in their party's climate policy, because they want to ride two horses on this issue. They want to be the spokespersons of the climate scientists, while at the same time wanting to hold back – at least somewhat – with the broad political Norway on this issue, also because standing completely outside will not be considered a good thing for the party. On the other hand, I have very little to say about the concern and commitment to the climate. I hear proposals for climate change mitigation are being presented, but I wonder what is the driving force behind these proposals. Is it a real recognition that climate change is man-made, that the report of the Intergovernmental Panel on Climate Change is correct, and that action against global warming is absolutely necessary to ensure future life? Otherwise, I would like to commend the climate settlement partners for their constructive support for the government's negotiating line in Copenhagen. It gives our government strength in Copenhagen when we present our ambitious policy and our ambitious goals in terms of an agreement. Then we all look forward to fresh debates on how to follow up our obligations at home.
ParlaMint-NO_2009-12-04.ana.ud2465e555	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2009-12-04.ana.ud2465e558	It was a good, informative and sober, but at the same time offensive distribution the council gave yesterday. The debate in this Chamber shows that it is a cross-political, far-reaching, wide-ranging debate on the strategy chosen by the Government over the Copenhagen meeting. Now I don't know if it was in the manuscript of the Council of State, but at least he was in some historical natural disasters. He mentions, among others: survival in Noah’s ark. And to stick to the Bible, it stands there as a prophecy that God will “bring to ruin those ruining the earth.” Now we finally have hope that we haven't gotten there yet. But it goes without saying that if human destruction destroys the world, they also destroy themselves. I'm experiencing in the situation that we're in now, that there are two clear moves. The only thing is that the situation is, in fact, still more and more serious. It says the United Nations Climate Panel, says other researchers, cf. posting in the Evening Post today. In fact, it seems that it's increasingly harder to stay below the two-degree increase in temperature that's the target. The second trend — and it actually creates a little optimism — is that the recognition of exactly this is becoming more and more around the world and thus leads to a greater commitment and willingness to action. One also sees here in this Chamber today that the rhetoric of the Progress Party has changed until the degrees have changed, at least if one belongs to the representative Ketil Solvik-Olsen. So we're going to want to welcome the Progress Party, if anything, after. All of us are now some of us who need an international agreement, where the rich countries, in the countries, and the developing countries must jointly reach an agreement on cuts, and where in the countries – the rich countries – they must contribute financially to the developing countries. The discussion is about what kind of role Norway should have in this, what we're going to do. I have, at least until now, experienced a two-part opposition: the Progress Party, which in many ways has said that we want too much and are too ambitious, especially domestic, and the Christian People's Party, Left and Right, who may have claimed the opposite. That's essentially what we've heard from the opposition, that it's too small or too much, and they're well in many ways the destiny of a government to get criticism anyway. I almost get to say like Peer Gynt at Gålå – on a doom: «If I sleep el’ become sleigh, equally full I shall get dizzy. ‘... Norway is a small country. We are at the same time part of the rich world, so we must contribute financially both internationally and internally. I would like to say that I am satisfied with the strategy that has been drawn up, including specific areas in which Norway can be involved and make a difference.
ParlaMint-NO_2009-12-04.ana.ud2465e578	I want to start by being a little positive in terms of SV's policy, that they are now in favour of trading CO2 allowances, which they opposed a few years ago. I would then like to comment further on the comments of the representative Serrigstad Valen on the environmental policy of the Progress Party. If you do not believe that all that the Intergovernmental Panel on Climate Change comes out with is the absolute truth, then in the eyes of SV, you are an environmental host. That's actually what it takes to qualify the party to join a climate settlement – it's unheard of! We in the Progress Party are critical for the most part, including the United Nations Climate Panel. We know that there are many scientists asking the question of whether the United Nations Climate Panel has the only truth. The Progress Party has made many proposals for action against climate change. We know that between 3 and 5 pst. CO2 emissions are man-made, so we recognize that they can have an impact on the climate. But we have made proposals that have not been taken very seriously. Recently, an e-mail leak has been recorded at a university in the United Kingdom. It doesn't matter from time to time, but it's serious when the university itself enters and investigates whether this has had an impact on what has been said by scientists. We don't know, but it has to be legitimate to point that out. Norwegian oil and gas production by 2030 is good environmental policy. So does IEA. The government has many environmental objectives. It wants to do a lot. The intentions are clearly good, but the results up to this time are poor. There have been very many billions spent on gas capture and lunar landings without having landed there. The Progress Party is concerned that Norwegian industry should receive the same environmental quotas and charges as other countries, and in particular countries in the EU. It doesn't seem to have any special significance for SV. At least that has been the case until now.
ParlaMint-NO_2009-12-04.ana.ud2465e599	It is an important and interesting debate that we have here today as a heating before the meeting in Copenhagen. The biggest fight we're facing is the climate fight, and I think most people agree on it. But then the question is which way to go. Now it's time for everyone to sit down and agree to get from talk to action. I believe that we must succeed in acting together and in solidarity with each other. We need binding international agreements, and I believe that joint responsibility can be taken. There's only one thing that matters: you have to agree. If you don't agree, the road to failure isn't long. We must act in such a way that both we and our grandchildren can live safely in a sustainable interaction between people and nature. If we are to succeed, it requires major changes, new technologies, knowledge transfer and more efficient financing mechanisms. The radical changes must be based on solidarity and collective responsibility for the maintenance and strengthening of our most important common good: the very basis of global life. Climate change is increasingly marked on the body — in northern areas, along the rivers of Asia, etc. Global climate change will affect key societal and development issues, such as food security, water supply, clean energy access and, above all, poverty reduction. When 190 countries with very different assumptions about a very short period of time meet in Copenhagen to agree on a common objective and a fair distribution – and not least in terms of costs – this must be a non-discriminatory meeting in terms of complexity. I agree with the representative Per Rune Henriksen that we must also deal with the industrial companies that we have, so that they do not flag out. So it's important to find good and tidy agreements. Let's hope that at the meeting in Copenhagen, which will be historic, we can take some important steps forward, not least for the benefit of Mother Earth.
ParlaMint-NO_2009-12-04.ana.ud2465e618	I have some comments on some of the claims and statements that have come. SV says that it is not self-pipping that is the point of climate policy. I'm very happy to hear that. One should no longer go back to a debate in the NRC in May 2009, where the Council of State said that people do not have enough anxiety about the climate issue. When Helen Bjørnøy was the Minister of Environmental Protection, she said: Put on more, shower less, we're not going to make it possible for the industry to establish new emission points in Norway. On this very point, we have now heard the Workers' Party argue that we must secure the industry. So the government's policy has been the opposite; we're not going to have new emissions. That means the industry can't get in here. But you see an SV in motion. Quota trade is now a base wall, it wasn't ten years ago. Action must be taken where they make maximum use – when the Progress Party said that, we were irresponsible. I hope that criterion is taken into account. We're not going to have any strange restrictions on shipping – very good. Let me hope that it will also apply to industry, that it will be a global approach and not a national approach. And when one says that one would like to increase from 30 to 40 pst. is no longer a curious SV requirement for two-thirds to be done in Norway, one in which case it will be discussed. It's an SV in motion, and I'm glad. We also see that at the SV national meeting in 2007, there was a whole debate on Norwegian action — Norwegian action, two thirds in Norway — while the Labour Party approach was that one has to do the cuts where one gets the most global benefit from them. Everyone knows what Gro Harlem Brundtland said, she did not understand the Norwegian debate, which was so suspended in how much of this would be done in Norway, instead of looking at how much one can do globally. Now the Minister for the Environment – and I commend him for it – says that he and Stoltenberg are like peas in the instrument case. Then I think it's natural that, once he has signed up for a new post, he will respond to what we can expect with regard to the climate quota law in the future. Is there equal treatment in the EU, or should Norway continue to have special nordic restrictions which would impose higher costs on Norwegian business than in the EU? The working party and SV have also spent a lot of time on the Progress Party. This is going to be a challenge and a little heart attack from me, as one of the few from the last period that continued in the committee: there's little collective memory, when there's so many new ones going up and taking the same, old attacks, that's settled in the last period, and then we get them back. I recommend these representatives to read document No. 8:97 for 2006-2007. All the questions will be answered there. There is an overall policy behind what the Progress Party stands for. The Progress Party has put forward these proposals. This means that they have been approved by an overall group meeting of the Progress Party Group. So to Sortevik: Yes, the representative Sortevik wrote an article where he wanted a collapse. The background for this was fear of even more self-pipping in the transport sector. Based on the signals now coming, the Progress Party is in favour of what the Government is working on, because you've gone away from a lot of that self-pitching. Many of the signals received in the climate communication, in the climate quota law, etc., are no longer at stake, for now it is Stoltenberg’s national meeting speech that is valid again. And that's good. The working party has taken control. SV has been parked. Then I enjoy myself a little bit more.
ParlaMint-NO_2009-12-04.ana.ud2465e633	It is clear that the representative Ketil Solvik-Olsen needs to shoot more at parties other than he has to talk about the policy of the Progress Party, and the fact that the Progress Party wants to doubt that the Prime Minister and the Minister for the Environment agree on the climate issue is a symptom that Solvik-Olsen has far more problems in creating consensus in its own party. But leave it. There are many of us who have read the book "The Earth Around 80 Days" and followed Phileas Fogg and his butler Passepartout's attempt to reach the earth in 80 days. Today we can reach the earth in a couple of–three days on regular scheduled flights. The world has definitely become much smaller in just over 100 years. Therefore, it is also easy to engage in an international climate agreement, a matter that is very important to our entire planet. So last night they went on torches in Kristiansand to get together to get a good climate agreement in Copenhagen. Climate challenges are an example of the interrelationship between domestic and foreign policies, and sometimes, in fact, are also two aspects of the same issue. If the world is to succeed, it must be more focused on technology. It's the new technologies that are the answer. In Norway, we have smart heads and important high-tech environments. Many believe that being high-tech is typically Norwegian. We must ensure that we invest in this in the future. Through research, general framework conditions and targeted actions, we create profitable businesses and jobs for the future. I want to use the oil and gas industry, of all things, as an example of what new technology leads to. Increasingly tougher environmental requirements and more difficult access to oil and gas resources have enabled us to develop more energy-efficient technologies. At the same time, we also know that the person who generates an energy-efficient car engine that does not use oil as a source of energy will have a product that the whole world will demand. The climate agreement in Copenhagen must have its contents. Financial mechanisms that ensure money for climate action in the poor world may be the most important thing to put in place. Securing money based on the polluter-pays principles, but also without the money having to be granted year after year via the state budget, I believe that I am tricked. We've seen a lot of times before, not least in development and aid issues, that governments and state heads promise money that never comes. That is why I think it is very positive both the proposal that Norway has made that a share of the allowances be auctioned off internationally and go to climate action in poor countries, and that this could possibly be combined with Mexico's proposal on national fund payments. This is a very important issue in climate negotiations, because stable funding needs to be in place to succeed in the fight against climate problems.
ParlaMint-NO_2009-12-04.ana.ud2465e645	A little bit about the concept of self-pipping, which got a slightly more dominant place in the debate than what I had imagined. That means that the Progress Party has been managed a little bit of the premises for this discussion as well. I think that any measure that leads to conversion or some kind of change structurally, socially or technically in Norway will be referred to by the Progress Party as self-pipping. It is incredibly visionless by a party that mentions itself as the ‘Fremskrit party, the founders’ party, the innovation party’, and constantly from this pulpit the solution to the climate crisis and jobs presents as eternal contradictions. Once again, the Progress Party speaks with two tongues. They boast of all the suggestions they themselves have made, while they appeal to horror rhetoric. Adapting climate change and trying to prevent it in Norway is to whip ourselves unnecessarily, as if Norway is the only small country in the world that can continue our way of life completely unchanged in future, regardless of climate change. The progress party is free enough to remind SV of what SV meant twelve years ago etc. In this regard, I would like to quote the FrP himself, Carl I. Hagen, from his 2007 autobiography, under the heading ‘Gøyal climate change contest’ on page 273: ‘In the 1989 election campaign, the environment and climate became an important issue for the first time. SV ran a relatively one-sided horror propaganda on these two issues, and several other parties were torn in. [[...]] Doomsday prophets appeared everywhere and predicted a gloomy development. For us who had also read some reports and knew how uncertain all the climate claims were, this was not a big deal. [[...]] Having this position in relation to the environment and climate is becoming increasingly difficult in our country, with our one-sided and hysterical press." This is what the Progress Party meant twelve years ago, four years ago and, for all I know, today. The Party of Progress should settle itself before attacking other parties. Unfortunately, in 1989 it was the SV that was right, and the Progress Party that was wrong. So Ketil Solvik-Olsen would like to try to explain that there is still large-scale double communication on the part of the Progress Party, that this is a campaign against the party or something like that. On the contrary, it is very important that the realities of climate policy in Norway are fully reflected. That's why I think it's a little uncomfortable when the representative Solvik-Olsen without, as far as I know, being able to cover it, for example. claims that there is an alert in the Intergovernmental Panel on Climate Change that is behind the e-mail leaks mentioned by the representative in his statement. The party of progress continues to use, although they recognise the climate problems in this room too, every opportunity to sow doubt and uncertainty, and seeks new knowledge only when the knowledge that already exists does not fit them themselves.
ParlaMint-NO_2009-12-04.ana.ud2465e661	Torstein Rudihagen quoted Scripture, and one of the clearest things in Scripture is that Our Lord greatly delights in sinners who repent. It gives much greater joy than those who have had a constant course. That is why we must all rejoice over the steady approach of the Progress Party to new positions. Then we'd rather give forgiveness that it's only been a few years since it was thought that George Bush should get the peace prize, or that with climate something SV had invented to win votes. Let's just forget it and look at the current Progress Party and enjoy that Solvik-Olsen might be able to consolidate the party on a new and much better course for Norway. I want to get hold of Erna Solberg's posts, because there were important things that we should all think about further. She drew out the need for a timeline. It's becoming very important. Copenhagen must not only implement an important comprehensive agreement, but it must also contain obligations on how it will become a national legal entity in 2010, and Copenhagen should draw up how to proceed in order to achieve the 2 °C target, which is not feasible in Copenhagen as it stands. For example, it is added. up to a large “Rio-plus-20” conference in Brazil in 2012. There may be one point where the theme of the green economy will be a focus, but it may also be others. She also drew up the need to discuss how we can move on to environmental technologies. As I have said in Stortinget and many other times, environmental technologies are and become the very most basic answer to climate noise. We cannot cope with climate change without a technological revolution. I would like to invite dialogue with the Right on how we can better manage the market, for the reason that Solvik-Olsen is right in that, that Norway is a more low-carbon society in some areas than others, we have better technology, is that we have had better public governance with the market in Norway than we have had in other countries, and we should discuss how we get the right governance over time, so that we can get better environmental technology. We should also discuss how public and private can cooperate on pilot projects. It is not always easy to choose which technologies have future opportunities in them, but we need to find broad, comprehensive schemes, so that we can get the new technology moving faster. I think Erna Solberg's posts were constructive, so let's work on it. Finally, I would say that we all have a challenge given that a quarter of the people don't believe in climate change. This makes it a seventh and ultimately difficult to pursue a fast enough policy in this area in Norway. We have to do that by getting more clear to people that it's not the temperature in itself that's the problem, we would all, apart from ski enthusiasts, have rejoiced that there were four degrees warmer out in Oslo's streets today. But it is the significance of temperature changes for everything else that is dangerous: major health problems, several natural disasters, more extensive droughts. That's what we have to come up with.
ParlaMint-NO_2009-12-04.ana.ud2465e672	I'm glad we have this debate, and I'm very happy that we got the presentation the way we did. This debate has shown that there is a broad uprising about what is the Government's positions – from the Progress Party to the Christian People's Party and the Left. The Council of State has also explained why, on the part of the Norwegian Government, it seems desirable to have some slack, so that we have a starting point for negotiations. I don't think anyone is doubting that we're going to end up taking 40 pst. Finally, reductions, because there will be an agreement on climate change. It must do so at some point, at least if we are to be able to do something about the dangerous climate change. I think so, too. As Erik Solheim said, all the leading countries have decent leaders, and that means that at some point we have to get together to agree on what needs to be done. But let me grab a few moments that have been up in the debate, and as I think it is right to discuss it a little. One was that both the Right Party and the Advance Party talked about cutting climate emissions, that we should not move them out. But there I believe that the representative Snorre Serrigstad Valen had the right approach, namely, that moving out climate emissions is actually an important point, because today we consumers are releasing more than twice as much as it is necessary to reduce, while a country like India has much lower emissions. What's an important point, and that hasn't been up in the debate, because we take it for granted, is that historically, creating energy has been the prerequisite for growth and prosperity. Providing growth and prosperity in a good number of developing countries is, in fact, an important point, and in order to achieve that, they need to be able to use more energy. 80 pst. of the energy that comes today from fossil sources. We have to cut the fossil sources – we have to do that all over the world – and find other solutions. But until we are able to do so in large measure, we must ensure that developing countries have the opportunity to develop, and then they must have the opportunity to release more. So we have to move out climate emissions. But the point is of course: can we do this without shutting down the Norwegian industry? The answer is: Yes, of course! But then we have to do a bigger cut in other sectors. In that case, we need to make greater cuts in the oil and energy sector – the extraction of oil. We need to increase emissions reductions in the transport sector. The problem is that neither the Right nor the Advance Party policies take the big cuts in other sectors that make it possible to take care of industry in the way we want. It's just to look at Oslo, where you're going to build a heavy highway west to Asker and Bærum. In addition, I don't think we can just do the cheapest measures first. We have to do everything we can, for the time being, is so scarce, and the road is so long.
ParlaMint-NO_2009-12-04.ana.ud2465e690	Ketil Solvik-Olsen has had the word twice and thus gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2009-12-04.ana.ud2465e693	To Snorre Serrigstad Valen's reading from Carl I. Hagen's book: This is nothing new. The Council of State has been debating with those signed in News of the Day 18 – even several times this year – about hysteria or not hysteria. So it's not about denial or not denial, it's about the degree. How to Scare? Shall we try to give people anxiety, what the council thinks, and something that I didn't mean? This is no revolutionary. The undersigned also did not say that there was an alert from the Intergovernmental Panel on Climate Change that might have put it out, but that it would have been a warning from the university. There's a difference between that and that. Then we come to self-pitching. I believe it is wrong to have whips in the tool tool. That is what SV believes is right, and all credit to them for it! I believe that stimulation is the method we have to use to transform society, make it attractive to invest, make it attractive to use new technology – not through a ban line, not through a climate quota law, which the Council of State still does not want to respond to, which imposes such a high cost on Norwegian industry that it does not reinvest in Norway. That's the problem. Then you can only dream of technology development, because you destroy the clusters in Norway with such an approach.
