ParlaMint-NO_2009-04-02.ana.ud2081e78	The representative, Jørund Rytman, will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e232	The left proposes to move on to a five-year master in 2014. So this is five years after we make this decision and four years after the start of the new teacher training. We know that we need to increase the competence of our educational institutions. We need a lot more added. We need to strengthen our skills, we need to strengthen our professional skills, and we need to strengthen our research skills. It is also the case that in terms of the content of five-year teacher training, if you want it, the opposition is very fragile. Is it proper to make such a proposal? Is it not more appropriate to do what the Government does, precisely to set up a sample to review how and, where appropriate, when a five-year teacher training course is to be conducted?
ParlaMint-NO_2009-04-02.ana.ud2081e237	I'm deeply wondering about the Government's approach, not about strengthening the four-year course, which I've realized we agree on, but I'm deeply surprised that you have to express yourself about a five-year education in the following way: setting up a group to decide if and where appropriate. It is not possible to express itself more clearly in parliamentary Norwegian. The left has chosen the view that other parties also have, that we think it is necessary in a society where over half of the youth schools now have higher education as basic education, to give teachers a five-year master's degree, as outlined and presented in my post. We know that the educational organizations, the student organisations and the trade unions stand for it, and we know from committee consultation that the University and Higher Education Council says that it will do it over a five-year period, given that it is will and strength for it by those who rule. That means that if those who are now sitting had the will, they could have done it. I know, with my knowledge of government and state apparatus, that it is possible to carry out such a will and strengthen the teachers so that we can do it. There is the difference between SV and Left in this case.
ParlaMint-NO_2009-04-02.ana.ud2081e244	According to the current master's regulation, it may appear that the Left's master degree model will not meet the requirements for professional immersion and thus will not be approved by NOCUT. What kind of plan does the Left have to implement its master's degree model by 2014?
ParlaMint-NO_2009-04-02.ana.ud2081e249	We have based on the model we have outlined, but we have also said that it is necessary within a five-year period to take a closer look at it and have a wide consultation on it, so we have actually described it three-thirds in the committee position from our side. We have said that it is necessary to have a hearing on how the master degree is going to be the way it should be, and we have said that it is wise to take advantage of good elements in the four years put there. The master's degree task of 30 credits is in accordance with the master's degree task requirement, according to the rules we have on master's degrees. And then we've said that we want a series of systematic trials in the period – all the trials that we now know from the University of Bergen, the University/High School in Tromsø, etc. Through such a race and in close cooperation with the teachers, we would be able to complete it over a period of five years. That's how I described it, and we've been quite specific in the description. We're different from the government parties, which have no other concrete thoughts than saying that a group should be set up to decide if and when to do something. So there's once again a difference between the red and the left. The reds have too weak ambitions on behalf of the teachers.
ParlaMint-NO_2009-04-02.ana.ud2081e255	The cord shift is over.
ParlaMint-NO_2009-04-02.ana.ud2081e258	First, I would like to thank the case rapporteur for a well-worked job. Today, we are dealing with the education of one of the country's most important professions. Teacher training is in a special position because it has always been dealt with in depth and detail in this room. Also during my nearly four years in this house, the teacher and the teachers' education and position in society have been the subject of debate and representative proposals. And that is with great joy we are today dealing with St.meld. No 11, The teacher – the role and education, which adds to a new and more specialised teacher education for primary school, where professionalism is strengthened by the establishment of two different courses of study, a new and expanded pedagogical course of a year and clearer quality requirements both during the course and especially in practical training. In a child's life, the teacher is one of those children who spend most of their time with. We need professionally skilled educators, but also teachers who are able to provide care. What kind of learner you get, mold yourself as a human being, both professionally and personally. The school shall provide students with good opportunities to develop on their own assumptions and interests. When you think back on school, there's always one teacher pointing out, either because she was professionally qualified in a field, using untraditional learning methods, or because she was a good caregiver, or just because he was cool. So is I. I was so lucky to have the same «female» from 1st to 6th grade – it was actually called «female» when I went to school, as late as the 1990s. She was a little strict, and she set clear boundaries for what kind of behavior she accepted in her classroom. But at the same time she managed to follow us up professionally in almost all the subjects throughout the course. A mantra that has remained in the last few years is that ‘the time of the general teacher has passed’. With the message we are dealing with today, we can clearly see that both by adding up to more professional specialisation, especially at steps 5-10, and also because we impose competence requirements for teaching in Norwegian, math, English and Sami, go into a time when the general teacher is threatened with extinction. But we should not forget all those who are in school today, who have gone the different old races, and who are going to continue in school for many years. These must be offered further training. That is why the «Quality Competence» strategy is established, in cooperation with the teacher organisations, the KS and the National Council for Teacher Training. In 2009, we're going to spend 117 million. kr for this purpose. In addition, the local government sector is also expected to contribute. The right-hand side often paints the school. The country's main profession is often affected by the right-hand side. How are we going to get teachers working at school today to continue in school, and how are we going to get young people to want to be teachers, when there's often a look at how ineffective teachers are? The permanent attack by the right-hand side on the profession is a distrust of the teachers. Earlier this year, the large teaching campaign GNIST was launched, precisely because the recruitment of teachers is far too poor. 35,000 have been on the website since 18 March, and 31,000 have taken the test. The fact that this untimely test has been taken by so many shows that it engages, and that's exactly what we need – engaged teachers. The teacher's task is great and extensive, and that's what makes the profession so exciting. But anyway, the teacher's most important task is to ensure professional quality in teaching, and that the students have the ballast they need to cope with in society. The evaluation of teacher training shows that the requirements and expectations of the student need to be clarified. Management must work continuously to increase student learning outcomes and the relevance of the study. This is one of the reasons why the Workers’ Party does not support parts of the opposition’s proposal to introduce a five-year teacher training from 2014. There are improvements in the four-year training we have today, and we expect the management of the institutions to follow up the measures of the communication we are dealing with today. The Ministry announces in the Communication that a National Accompanying Group will be set up to assess developments both nationally and locally in the process, quality and performance of institutions offering primary school teachers training. The working party supports the processes in progress in a number of institutions. I myself have visited the teaching training at NTNU, which has highly qualified applicants for their five-year master's education, and they experience an explosion in the search for this subject. We need more of this kind of education. Teacher training institutions must attract the best and most motivated students. Ensuring good professionalism has been central to the discussion about the teacher’s message. That is why we are taking important steps to ensure the quality of four-year primary school teacher education. We need to ensure the competence of professionals and gradually build up master's offers within the needs of primary school. This new training course shall be of high quality and difficult to complete. The clear feedback and advice from professionals has been to differentiate teacher training, and therefore we have done a clear grip on this. The training is divided into a course for the steps 1 to 7, which specifically takes into account initial training and early deployment, and a course for the steps 5 to 10, without any mandatory subject, where the idea is more specialised professionals. The Communication proposes a new pedagogical subject. This subject will also enable teachers of the future to meet students in everyday school life, and they will be given insights into how they will be able to solve such problems jointly with non-school bodies. The pedagogical profession has been criticized by many teams for being academic and school-removal. The new subject of pedagogy and learning captures an important part, namely the teacher's meeting with the students. The Communication also discusses the Article II scheme. The aim of this project is to bring new occupational groups into school. The purpose of bringing another type of competence into the classroom is essentially to strengthen recruitment and increase students' motivation in the real world. Business employees will have the opportunity to disseminate their competences in the field of natural sciences, technology and mathematics at school. They are given the opportunity to teach part-time at school in areas for which the school specifically needs. In this way, rivers will see in practice what these disciplines can do in the workplace. Many trained teachers today are not equipped to meet everyday at school. For this reason, a number of guidance projects have been launched and expanded for newly educated teachers, including: The PIL project, Practice as an integral part of teacher training. The main objective here is to develop good practice training models in different types of teacher training. It shall contribute to the dissemination of experience between the various teacher training institutions and networking across institutions. Furthermore, quality assurance systems must be established for practical schools, practical teachers and the practical training itself. In this way, we will prevent the great practice of many newly educated teachers. In general, there is agreement on the main lines of the Storing Communication. And I'm very happy that there's a total accumulation that goes into dividing primary school teacher education into specialization by step. In this way, we will increase the status of the profession and improve recruitment. Teacher training is not served by political games in this room.
ParlaMint-NO_2009-04-02.ana.ud2081e290	It's going to be line change.
ParlaMint-NO_2009-04-02.ana.ud2081e293	The immigration policy and the lack of integration policies that the Workers' Party has faced have led us to see increasing trends in ethnic and religious conflicts and religious radicalisation. Boys with a minority background have a large drop-out from the education system, and only one in three complete high school in a normal time. Almost 25 pst. of the students are functional illiterates at the age of 16, and we are about to have a new subclass of immigrant boys lacking the skills needed to climb the social ladder. Adapted teaching is about the teacher seeing and understanding the individual student. How does the Workers' Party feel that teachers should be able to provide students with different religious, living and cultural backgrounds with adapted education, and to deal with the situation in school, not least in the relationship with home school, when they oppose making the RLE subject a compulsory subject, and thus refuse to give teachers the necessary knowledge and insight to address this challenge?
ParlaMint-NO_2009-04-02.ana.ud2081e300	We don't say no to teachers being prepared to accept students with different religions and backgrounds in classrooms. The RLE subject, or the dissemination of value in the RLE subject today, shall be a part of the pedagogical education and learning profession, and be an important part of it. It will be the case that the teaching candidates who want to deepen in RLE have the opportunity to do so today by taking a one-year study in this area. Then you'll get better teachers who teach in RLE.
ParlaMint-NO_2009-04-02.ana.ud2081e307	I think all the parties in the hall agree that the teacher is the most important input factor in the school, but it's also important to have good principals. Thus, by means of representative proposals promoted by the Right, together with other opposition parties, we have wanted to introduce compulsory schoolleader education in order to be able to work as principal and national coordination of principal education in Norway. This is simply because you see the need for good principals and the need for formal leadership training and leadership skills. This has been agreed by the Government in several instances, but nothing is happening. Our proposals on compulsory schoolleader education in order to be able to work as a principal and on national coordination of teacher education in Norway have been voted off over and over again, and they are also voted down in the Chamber here today. What's the reason for that?
ParlaMint-NO_2009-04-02.ana.ud2081e312	The management at school is very important – it's clear. But if compulsory schoolleader courses for all the principals are the right way to go, I'm a little bit more sceptical. It should clearly be called upon to have the new Vice-Chancellors in charge, and we should continue to do so. It is also important that the principals, when we now introduce skills requirements within a number of disciplines, set up a teacher's corps consisting of teachers within the different disciplines. They must be aware of this and also use it actively.
ParlaMint-NO_2009-04-02.ana.ud2081e319	I also had the lady, even though I went to school a decade before the representative Ljunggren. One of the things that's bothered me a little bit about the strong two-part division we're now doing in the teacher's education process is that you can still risk getting a very wrong gender balance, that there are a lot of women working at the early stages, and that men are going to focus more on the early stages. The Christian People's Party wants the first year to be more common, so you don't have to choose in advance, because then you might choose on the basis of myths and the illusion that it's the women who work for children and the men of youth. Will the representative Ljunggren and the Labour Party take the initiative to make the first year much more common, so that you do not get elections because of myths? Maybe we'll also get a greater gender balance in the teacher's staff.
ParlaMint-NO_2009-04-02.ana.ud2081e326	We believe that the division we're now doing is the right one. Before starting to learn, you have to choose the stage at which you want to teach. I clearly see the concern of the representative, Dagrun Eriksen, that this will be a different gender balance. But then it's important that we continue the recruitment campaign we have to get men to work at the kindergarten, and of course also as preschool teachers. I think that more specialization, especially in the youth, makes men see that here too they can use the technology interest they have in deepening it, and become a specialized math teacher at these stages.
ParlaMint-NO_2009-04-02.ana.ud2081e333	So the chord change is over.
ParlaMint-NO_2009-04-02.ana.ud2081e336	I will first of all be allowed to thank the President-in-Office, Odd Einar Dørum, for having done an excellent piece of work on this matter, both substantively and in a procedural way. There have been some demanding processes along the way, but the rapporteur has made constructive proposals for solutions. It's been good. And like the rapporteur, I would like to commend the committee for having had a very good cooperation tone throughout the proceedings. I also allow myself to point out – and I do so in the same way as the representative de Ruiter in a previous reply here – that all opposition parties agree with very comprehensive comments on this matter, and that it makes it clear that there would be a completely different and more ambitious policy in this area if one had had a government with a non-socialist foundation – which is hope for the harvest. So to the matter. The message we are now handling is too late. The party expected the government to take the teacher training seriously already when NOKUT more or less slaughtered the teacher training as it is today. Today's teacher training is out of date, lacking professional depression and not related to the expectations of students and students. The so-called practical gap is enormous! Several student coals have begun an education they knew was under pressure and change. Some uncertainty has been created in student populations about how this will turn out for them, even though some of the colleges, after the NOCUT evaluation, implemented a number of measures to improve teacher training. This is the reason why Stortinget is handling this message today. I would like to commend the Government for looking more at specialisation through professional immersion – even if it took time – and sharing the course of education in two different directions, while calling it the professional subject, referred to in the Communication as pedagogics and pupil knowledge, is strengthened. As far as the latter is concerned, the most important approach is to fundamentally change the subject and not to have so many features in common with today's pedagogy. That's good. The party promoting progress in the previous ageing period proposed to double the training and introduce it into the same structure as other bachelor and master degree courses. We hoped that one could start with such a scheme, and then – in the short term – ensure the master's degree for all those who are going to teach at school. That proposal did not receive a majority at the time, but there is a variant of this idea presented by the Government with the proposal for a two-way training. I especially want to mention the University of Westfold. It has been one of the drivers for introducing differentiated teacher training by stage and has helped to provide valuable insights into how this can be resolved. It is good that the University of Westfold has been innovative in this way and helped to provide the foundation for improved teacher education. But then the enthusiasm for the Government's message strongly slows down. In fact, there is a broad political consensus about some of the obvious features of the communication, but on several essential issues it is still a long way away. The party considers that there is a significant deficiency in the teacher’s notification that one does not see all types of teacher training as a whole – to show the context and opportunities in an overall assessment and treatment. It makes it necessary for an overall opposition to submit a proposal to do so. Furthermore, the use of parents or other guardians as a school resource is too small. We know that there are often challenges to contact between school and home, and that in some cases it is often due to insufficient competence to handle such conversations. For this reason, the Progress Party proposes that school-home cooperation be part of the new teacher training, so that all teachers can gain insight into how to better deal with parents or other people as a resource both for the student and for the school — and thereby also for the teacher. Furthermore, it is disappointing that the Government does not take seriously the knowledge challenge in Norwegian school. It is similarly disappointing that the Government does not take seriously the school recruitment challenge. The party of progress is so crunched in the criticism because an overall corps of those who were in open consultation in the UK on this matter was clear that teacher training had to become a five-year master's degree course, it was crucial for both quality and for attractiveness. I believe I have noticed that even the government suggests that a five-year-old master's education would be preferable, but they do not suggest it. Even during the committee’s proceedings, government parties have come to the conclusion that it is very difficult to suggest to future students that their education will eventually become a five - year master’s degree, but that in the meantime they will have to deal with what they have — a separate four - year study that falls between two chairs. Unfortunately, such a situation does not stimulate increased search, nor does it stimulate increased status of teacher training. These challenges appear to be faced by the Progress Party of Government Parties, and this is a challenge for future teacher training. There are actually only two parties in this room who take this challenge seriously. The Progress Party and the Left, together with the Right, promote proposals for teacher training to be ‘a five-year master-grading teacher’ by 2014. The right has tried to get along by creating a model for a five-year teacher education, but it does not meet the expectations of a master's degree. They are involved in the proposal to introduce master’s education by 2014, but at the same time have a proposal that kills the same master’s degree. If the Stortinge were to adopt such a proposal today, it is at the same time redefined what a master's degree is, and it will warn the Advance Party against. It costs to have ambitions about quality in education. One should be careful to accuse others of cheating. The right is otherwise so concerned that students and students should not cheat on exams and exams – here they do a little experiment on it themselves. But I'm interpreting it positively. I feel the hope that the Right will eventually come, with a proper master's degree also for teachers. They probably take one step at a time, and it often turns out to be a wise strategy. The layout and construction of the fifth year of the master degree is somewhat different. The progress team adds up to a master's degree task of 30 credits. Of course, this part is a condition that it should be a master degree problem at all. The Progress Party will then extend the subject of education and learning with a further 20 credits. In that part of the subject, particular attention shall be paid to cooperation between school and home, class management, student management, cooperation with other school professionals, practical pedagogy and extended practice. In particular, the Progress Party believes it is to focus more on class management. Norwegian schools are among those in the OECD area where there is the most noise, anxiety and trouble, and it is crucial that through teacher training we ensure that teachers are able to meet the new leadership challenges for teachers properly. The party also wants the subject to be modular, so that one is clear as to how much of the subject each part demands. The anti-module approach to the subject was partly reflected in the consultation and was based on an assumption that one could then lose the comprehensive perspective that should be the bearer of the entire subject. The Progress Party believes that it is well possible to maintain the type of overall perspectives in a subject that is so extensive, completely independent of whether it is modular or not. In addition, the Progress Party will have a new subject of ten study credits on the practical correction of the subject. It involves learning how to better teach theoretical subjects in a more practical way, so that they are better able to handle and motivate theories or theories-ridden students. This will be an important prevention measure against non-compliance with secondary education and may be an action that will also provide better room for adapted training. The Progress Party mainly supports the Government's proposal to have compulsory courses in teacher training. However, Norwegian and math have such a central place and such a central dimension in 1–7. class that it makes sense to have these subjects as compulsory. At this level, it is also important early to provide a basis for students to address ethical and religious questions. For this reason, the Progress Party supports the proposal to introduce a mandatory 20-point history and RLE course of study in this training course. It may be objected to such a mandatory arrangement that the professional freedom of immersion is reduced. That's right, of course, but on the other hand, this discipline is the one that would be the most central to the students who choose to take teacher training at the early stages, so the real restriction is not going to be so much. At the same time, the Progress Party is committed to minimum compulsory subjects for those who are trained to teach in the 5th to 10th class. This will also improve the freedom of choice of students. The teacher’s message is an important signal to those who are considering what to do in the future. Therefore, the recruitment perspective is also important. As it looks today, there will be a sub-coverage of teachers of approx. 13 600 annual works in 2020. There are several ways to solve this, both by increasing the status of teacher training, the possibilities of continuing training and, as the party believes, by revising the working time contract. Without opening up the whole debate today, I would like to point out that changes in the working time agreement, combined with individual wage fixing for teachers, will improve recruitment and the possibility of getting more educated teachers back to school. I would also like to point out another weakness in the message. It does not discuss the terms of the teachers, that is, the teachers who are to train our future teachers. If this training is to be optimal, the teachers of the future must be the most qualified and inspiring. Of course, as I pointed out earlier, pay is one of several factors that do something about people's choices about what they're going to do. A lecturer in primary or secondary school with 16 years of teaching experience earned last year – if my figures are correct – NOK 451,000. High school offers the same teacher 409,000 kroner in salary. I would like to challenge the Council of State on whom the Council of State thinks it's going to go down in pay to become a teacher's trainer, and how the Council of State will work to correct this strange construction that helps to make it difficult to recruit the best teachers to college. Finally, I will also mention just briefly Sámi College of Teachers. Today, it is obvious that recruitment is so weak and the level of implementation is so low that there is no basis for maintaining the offer the way it is today. The other parties close their eyes to this and propose several recruitment measures, but I am afraid that the train has gone quite a long time ago. In 2008, there were three out of 107 students who followed the general education programme at the Sámi School of Teachers. Then I will deal with the proposals of the Progress Party that are on their own or with others and that have not already been taken up. At the same time, I would also like to give room for an explanation of vote: the Progress Party and the Right will subsidly support the Left's proposal No. 18, on certification scheme for teachers, if proposal No 8, which the Right Party and the Advance Party have together, fall. We hope, of course, that gets a majority, but if it doesn't, then we support the Left's proposals subsidiaryly.
