ParlaMint-NO_2009-11-04.ana.ud60e26	The representative of Christian Tybring-Gjedde will put forward two proposals for representatives.
ParlaMint-NO_2009-11-04.ana.ud60e126	Then we agree that free trade is the way to go. Economic development is necessary not only for the development of well-being and prosperity but also for the establishment of democracy, human rights and stability in the countries concerned. The Heads of State of the African Union have clearly stated that trade for them is more important than assistance. According to the Center for Global Development, Norway’s trade policy is among the most evolutionary in the world. In a report in New Time on 23 October, Norway is ranked number 20 out of 22 of the world’s richest countries in terms of trade with the Third World. Only Switzerland and South Korea are behind us on that list. [[President clubs]] There is no reason to push ahead with EU membership or the EEA Agreement in this respect. [[The President clubs again.]] I would like to ask the Minister for Foreign Affairs what trade policy the Government will implement to make it easier for third-world countries to develop.
ParlaMint-NO_2009-11-04.ana.ud60e137	It is positive that the representative Myhre attaches weight to the African Union. He selectively chooses from what he wants to listen to, but that's his right. I do not buy the image that Norway has the most protectionist and anti-territorial trade policy. In the WTO negotiations, Norway has been a driver of an agreement that gives these countries access to world markets, support to improve their export capacity, etc. But then Norway, in line with all other countries, must also take care of its fundamental interests. It is of Norwegian fundamental interest to be able to maintain agricultural activities throughout the country. We have, as the Minister of Agriculture says, taken on a huge cut in such an agreement – if it comes. It's going to be in quantity and quality the biggest cuts almost any country is going to take on. It is an important contribution to the future of these agreements. Then it is to continue to have a development policy that sets the poorest countries, and other groups, able to actually act between themselves, but also towards markets far, far north, like ours.
ParlaMint-NO_2009-11-04.ana.ud60e146	Peter Skovholt Gitmark – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e150	It's a good quote from Robert Zoellick, who says that negotiating with the United States about free trade agreements is not something you have the right to, it's a privilege. I fully agree that trade is a privilege, and it is a privilege that Norway has to use to a much greater extent than today. Trade brings millions of people out of poverty. It's going to bring millions of people out of poverty, and it creates wealth. The question therefore arises: does the Minister of Foreign Affairs see that trade contributes to giving Norwegian consumers greater freedom of choice, cheaper goods, while also contributing to increased pressure, among others. in Norwegian agriculture and conversion into Norwegian agriculture? Does the Minister of Foreign Affairs, like the Right, see that there must be a price we are willing to pay?
ParlaMint-NO_2009-11-04.ana.ud60e159	It is a bit paradoxical to stand here and argue for the importance of trade for a country that has the world's most open economy in all sectors, except agriculture, where, through its geography, its history and its settlement, Norway has a different regime, but where reductions and reductions have also been made through the EEA Agreement. As I say, in the WTO negotiations Norway has undertaken to open up significant cuts. But what the representative here is doing, I believe, is a misassessment. He says that the opportunities of developing countries depend on imports into Norway. I agree that there is one dimension, but what is also important is the export from the large, rich countries, which pervert the world markets with large subsidies. Here Norway is not a sinner, and the small export we have with export subsidies, as the Minister of Agriculture says, we are therefore willing to liquidate. The major problems are the large, subsidised exports from Europe and the United States. So I believe that Norway is acting in a balanced way, starting with ours, and all countries are taking care of their national interests. We've done it, while we're willing to take significant cuts.
ParlaMint-NO_2009-11-04.ana.ud60e168	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e171	Since the Minister for Foreign Affairs is a little pessimistic about the possibilities for a new WTO agreement, I thought I would challenge the Government on what we as a nation can do to improve the import potential here to the country from the poorest countries, regardless of a WTO agreement. In the last period we worked long and intensely, and with a lot of resistance, just to get some imports of meat from Swaziland. So my question is whether the government has a plan for you, for example. I would like to thank the rapporteur for his excellent work on this subject.
ParlaMint-NO_2009-11-04.ana.ud60e178	The reality here is that the poorest countries do not have customs duties in Norway. In the WTO negotiations, Norway has been in favour of and implemented, in conjunction with other countries, including the United Kingdom. the Europeans that the commitments that countries have to make through a future WTO agreement will not apply to the poorest countries. They are protected as a group, as well as they will receive significant assistance to develop their own trading capacity. I believe that has been a correct Norwegian policy. Then, as the representative is probably also aware, these countries' exports to Norway are disappearing low. It says something about the challenge it is for a South African country to export all the way up to Norway, the bureaucratic complications it is dealing with. It underlines the importance of helping them with the capacity of that export. I think it is going to be Norway's line in the WTO negotiations, that is Aid For Trade, to support the possibility of trading and thus enable these countries to export, including to Norway.
ParlaMint-NO_2009-11-04.ana.ud60e187	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e190	I would like to ask the Minister for Agriculture a follow-up question. When the Left sat in government last, the leader of the Central Party said that the last position that government had in relation to WTO negotiations was one of the most dramatic greetings to District Norway from the Left and Christian People's Party. That was the quote from the leader of the Center Party. We share the view of the Minister for Foreign Affairs that it is important to reach an agreement. We also see that it is important to reach an agreement, and we look at the signals that the government is willing to reach out for such an agreement – also dramatically much longer than what we did when we were in the government position. So I wonder if the Minister of Agriculture now has a characteristic that fits the greetings of the Central Party in government and sends to District Norway, with the position that the Government has taken today.
ParlaMint-NO_2009-11-04.ana.ud60e199	I'm going to be the first to admit that the WTO negotiations are a complex landscape, even within the Central Party. I have also underlined that we in the government have been actively involved in the work to negotiate the best possible agreement for Norway. Because it is in the WTO that each country takes care of its own interests and must organise itself in groups. We do so both offensively in terms of fishing and defensively in relation to agriculture. With regard to relations with the developing countries, it is also the case that we have been the leading speaker for the interests of the developing countries, and when I was in India last year, India and Norway spoke the same language: we wanted to take care of our own sensitivitys, as Kamal Nath said in this context. I'm not choosing to use characteristics. I'm busy doing the job rather than running the kind of discussion that the representative Skei Grande here wants to start. But my responsibility is to do the best possible job to ensure agriculture throughout the country.
ParlaMint-NO_2009-11-04.ana.ud60e208	Then we go to the next main question.
ParlaMint-NO_2009-11-04.ana.ud60e211	My question goes to the Minister for Foreign Affairs. Václav Klaus signed yesterday the Treaty of Lisbon on behalf of the Czech Republic, and thus the last formal obstacle to ratification seems to be over. This means that the Treaty may enter into force from 1 December or 1 January of next year. The UD's own note on the Treaty of Lisbon makes it clear that the EU's decision-making process will now go much faster, and that of course it will have an impact on Norway's influence as a foreign country. Already today, Norway has some difficulties in following decision-making closely enough and entering early enough into the process of caring for Norwegian interests. We can refer here to the Banking Deposit Guarantee Directive and the Company case as examples of areas where Norway arrived late. My question to the Minister for Foreign Affairs is: What concrete measures will the Government and the Minister for Foreign Affairs now take to prevent Norway from falling behind in the decision-making process?
ParlaMint-NO_2009-11-04.ana.ud60e224	Yes, it is right that a long, thorny road now seems to be over, and the Treaty of Lisbon can enter into force quickly. While changes are not primarily likely to affect the substance of policy, the way policies are implemented, the way in which EU cooperation is managed, the decision-making process, the weighting of votes and parts of the population on how the EU is managed. There is no single concrete action from Norway, which is strongly involved, integrated with the EU, which responds to this overall picture. I think the answer is that we need to have continued increased vigilance from political Norway – and I mean then political Norway in a broad sense – because the challenge we are now facing is to work against the EU Member States. It is very traditional diplomacy, it is working towards the EU in Brussels, where we have the Council, the Commission and Parliament, as well as some other supervisory authorities and agencies, etc. established by the EU. We have to try to dispose of the cancers so that we get into the process early, as the representative says. We succeed in some contexts, and in other contexts, it's more demanding. Now, the processes are probably going to get faster, and it's necessary when they're now 27 countries, that at least it won't be the brake on. I believe, in particular, that the European Parliament is a challenge for us, and I would also like to recommend to the parties at Stortinget on the issues in which Norway gathers about common views – and that is a good deal of things in relation to Europe – that we clarify and work strategically against the groupings of the European Parliament. It is also the case that we need to be clear about prioritising issues where we can get in early and use the EEA Agreement’s opportunities for consultation, participation and expert participation. We have good evidence that where we succeed, we can actually have a lot of influence. But that is the vigilance, through our overall political attention here and with our delegation in Brussels and out in the Member States, which I think is the grip we can choose.
ParlaMint-NO_2009-11-04.ana.ud60e234	It is true that the Council of Ministers and the European Parliament are now becoming more important as a result of the Treaty of Lisbon, and the Foreign Minister himself mentions that the European Parliament in particular is going to be a challenge. Norway has one national expert linked to the European Parliament in the important Internal Market Committee. I note that the Minister of Foreign Affairs does not mention the one concrete measure actually mentioned in the budget proposal to the Ministry of Industry and Trade, namely that one national expert will no longer be financed by the Government. The question is how to address the need for close contact with the Minister for Foreign Affairs is quite right to do so when drawing out the only national expert you have, which is linked to the European Parliament.
ParlaMint-NO_2009-11-04.ana.ud60e241	If Norway's overall influence on the European Parliament rested on this one man in this committee, we would have been quite vulnerable. It could be a little different how we put on national experts, both in the European Commission, where we have dozens of them, and now in the European Parliament. We have an excellent nutrition council at the Brussels delegation that is also doing important work. So we're going to review how we prioritise those resources, but it's not one expert in the European Parliament who decides it. I think we need to have more systematic work. From the EU delegation, more resources are now being used to follow up what is happening in the European Parliament. We have to get in early, and we have to work more actively against those groups as governments and as big ones. We should also note that the Treaty of Lisbon increases the influence of national parliaments. How it's going to play in, is going to be important to observe. It also provides an opportunity, I think, for the Norwegian giant, in contact with other national parliaments, to intervene there. Otherwise, all Norwegian interests — industrial interests, regional interests, organisational interests — will have the European Parliament as an interesting venue to influence and influence. They too, we have to draw with us in this work.
ParlaMint-NO_2009-11-04.ana.ud60e250	Four follow-up questions are raised – first Ivar Kristiansen.
ParlaMint-NO_2009-11-04.ana.ud60e253	I'm not going to say that Norway is still on the platform while the political European train continues to race. But I assume that the Minister for Foreign Affairs has some thoughts when he sees our dear neighbour Sweden's significant influence over Europe's policy design, which has put Europe's climate policy in place and brought the Lisbon Agreement into place. It also reminds me that when Soria Moria I was established, there was a separate section on active European policies. In the successor, Soria Moria II, this active European policy is deflected with a few sentences. Is this an example and acknowledgment that Norwegian influence on political developments in Europe is increasingly being limited? The example given of the national expertise of the recalling European Parliament is a new one.
ParlaMint-NO_2009-11-04.ana.ud60e260	The answer to that is no. If the representative Kristiansen needs reading instructions in Soria Moria, I'm ready to give it after this session. Soria Moria I is still valid. That is why it is a clear line in an active European policy, with St.meld. No 23 from the previous period, its follow-up and the working methods there also during that period. It is clear and clear, and there is no doubt about it. Otherwise, I will be allowed from this pulpit to praise Sweden for the work our neighbours in the East have done this six months, with considerable intelligence, strategic ability and good use of resources, and now they are also getting caught up in the conclusion of the Treaty of Lisbon. It deserves Sweden after the work they've done, and that's how I think the demanding process is in the best hands. Do I think about it? Yes, I do. I have swallowed many times since 1994, and the representative knows where I stand in that case. But we are also in a Norwegian reality where we are going to make the best of what is Norway's close bond with Europe, and there is St.meld. No 23 for 2005-2006 continues to guide us.
ParlaMint-NO_2009-11-04.ana.ud60e269	Morten Højlund – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e272	The EEA Agreement was written more than 15 years ago. Then we see that in the European Union the Treaty basis is still being changed, now at the latest by the Lisbon Treaty. Now the Government has to thoroughly examine the EEA Agreement. It's going to take a few years, says the Secretary of State, and that's okay and understandable. But the Minister for Foreign Affairs' own office points to a number of shortcomings in the EEA Agreement today. The deficiencies in form are getting bigger and bigger. Will the Minister for Foreign Affairs take some action now and at least before the end of this two-year period, to put Norway in a better position at the institutional level in cooperation, addressing challenges related to our EEA cooperation, which is currently anchored to the EU?
ParlaMint-NO_2009-11-04.ana.ud60e277	This review is set out in Soria Moria II and is also a response to the call for an overall increase to the Government in the last six months. We had a very good seminar in the Ministry of Foreign Affairs yesterday with representatives from several parties and political Norway on the EEA Agreement after 15 years. The answer to the question is yes. We are constantly working to see how the EEA Agreement can be developed and be the hub it is in relation to the EU. The representative of Solberg used a good term in the U.D. yesterday when she said that this is an agreement made for the 1980s' challenges. That's absolutely right, because it's the answer to the internal market. At the same time, the EEA Agreement has been riveted in the way we have developed responses to a wide range of other challenges: Schengen, police cooperation, etc. From this point of view, the EEA Agreement has always been our starting point for finding institutional solutions to Norway’s formal cooperation with the EU. We will continue to focus on this when we face challenges in our close cooperation. But the EEA agreement has proved to be a fabulous survival institution, and I think it's going to surprise many people by being so in the future.
ParlaMint-NO_2009-11-04.ana.ud60e284	Dagfinn Højbråten – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e287	It would hardly surprise the Minister for Foreign Affairs that I fully endorse the tribute he has now given to the EEA Agreement. I think it will appear dynamic and robust, despite the fact that it was originally written for another time. My question is in the extension of what the Foreign Minister has now said about the increased importance of the European Parliament, about the importance of the influence of parliamentarians on Parliament and in the parliamentary context. Then is my challenge back to the Government: Is the Government prepared, in the light of this development, to involve the Storting stronger also in part of the controversial issues of Norway's relationship with Europe? We had major problems in getting a broad and early debate on the Services Directive here in the house, and there was great opposition from the Government to coming and giving an account of what could give the Storting such an opportunity. Now I see that the Government will sit on the Data Storage Directive one year before it comes to Stortinget. It does not contribute to the increased involvement of Parliament in these matters.
ParlaMint-NO_2009-11-04.ana.ud60e294	If I'm going to interpret a question out of this, I want to say first of all, yes, we want to work closely with the Stortinget. I have asked in a letter to the Presidency to meet all the parliamentarians, the representatives of the various agencies outside, because we see the importance of it for official Norway out there. It may provide a basis for coordination. With regard to the Data Storage Directive and the process, the Government aims to have a consultation proposal ready in a short time, well on this side of Christmas. When it comes to consultation, it will probably take about three months to follow good practice. Then we're somewhere out in March. So we're going to have to take some time to sum it up and get to Stortinget with a proposition, whether it's in advance or after the summer holidays. I think that's quite a normal progress. Then we're going to have a lot of debate in Norwegian society about that directive. We welcome that debate because it is an important directive. It can be argued in many directions, and the Government is concerned to listen to that debate. Otherwise, in Soria Mora, we've drawn up about how we're going to approach that case.
ParlaMint-NO_2009-11-04.ana.ud60e302	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e305	I want to follow up what the Højbråten said about contact with Parliament. The left has very close contacts with its sister parties in Parliament and very close exchanges with our political colleagues in the European Parliament. But this is resource-intensive work. This is also work that has not always been felt to be stressed heavily by those who believe that most of the influence is to be done through the Commission and through the old ways of thinking. So my question is whether the Minister for Foreign Affairs is concerned that we must now reverse the idea of influence, that perhaps the political parties in this House must have a greater role, because we can actually intervene directly against the party groups, and that the work must be concentrated and supported by the U.D. if we are to be able to care for the Norwegian interests.
ParlaMint-NO_2009-11-04.ana.ud60e312	I think I have given my support to the approach that the representative Skei Grande now mentions. I have said in several answers today that the European Parliament is becoming more important. At the same time, we have to respect some fundamental roles here. It is still the case that the Government is responsible for Norwegian foreign policy. It must be anchored in Stortinget. We believe that in those areas where Norway has a common approach, we are wise to have good coordination, so that we can use all our influence capabilities, including through the political parties. But the European Parliament is not divided into national seats. You sit there after party groupings. It puts leadership on how we work against that Parliament. But more information about what is happening in the European Parliament, raising our competences and sharing our efforts to raise our knowledge of how Parliament works are things that we are now looking at, and that we will come back to and involve, among other things. The size of — and also of — parts of public Norway, organisations that need to be able to inform themselves in this new and very important political landscape.
ParlaMint-NO_2009-11-04.ana.ud60e319	The size goes on to the next main question.
ParlaMint-NO_2009-11-04.ana.ud60e322	I have a question for the Tora Aasland Council. For the Christian People's Party, the knowledge that the students get is incredibly important to us as a nation. I've gone through the red-green game programmes, and found some quotes: ‘In order for all to be given equal opportunities, the extension of the number of months of study support is necessary. Only in this way do we guarantee equal rights to higher education, regardless of economic and social status»; we can read at the Workers' Party. At SV we can read: ‘In the coming ageing period’ — i.e. this – ‘shall give priority to extending study support to 11 months’.» From the website of the Centre Party: ‘The centre lot will introduce 11 months of study benefit.’ This was actively followed up in the election campaign. In countless debates in which representatives from the government were present, I heard this promise repeated. Yes, even the Minister of Foreign Affairs, Jonas Gahr Støre, said in a full hall at Chateau Neuf that this is something you are in favour of. But when the students stood outside the house and demonstrated, there were not so many representatives left. Then it was really only two of the youth parties of the Government that stood up and still wanted, together with the Christian People's Party, to work for this. I have been involved in some negotiations for several years in the policy. You sometimes lose things you're alone in, and you don't get any more of them. But how could the government negotiate eleven months of study funding in Soria Moria? There was one thing that everyone agreed on. It was one thing that everyone had said – and repeated – that they should give priority. It's a mystery to me. There were many students who were disappointed when Soria Moria II was presented.
ParlaMint-NO_2009-11-04.ana.ud60e351	I think it is an interesting description of the representative Dagrun Eriksen giving of the process in relation to increased student support. Of course, I am also quite clear that this is still an important matter for me and for my party – and I also believe too many other parties. What's important about the Soria Moria II process is just to admit that we didn't come up with that requirement in that process. I'll be honest with you and say it. But that doesn't mean we don't have to keep fighting for a better student support. I would like to stress that we have managed to put in place both new student housing, a price adjustment of the student support that is, and an important wording in Soria Moria II that we should have a better student support scheme for disabled students and students with children. What I'm also very clear about is that we're now launching a student life-cycle study. I have advertised this and made it clear to the students as well. It will give us an opportunity to get a good basis for how we will work on the matter of a better student support scheme. So I haven't put the matter aside in any way. I'm still working for it. I recognize that we lost it in the fight for good things in Soria Moria II. But we have a good start both in increasing student support for those students who may need it the most, and in creating a life-cycle study that gives us a good starting point for following up a discussion with the students' own organisations.
ParlaMint-NO_2009-11-04.ana.ud60e362	I do not fully understand who is the counterparty, when one has lost a case all agreed on – but I thank you for the answer. It's an essential thing that I think the Storting and the Government must take over. When Stortinget adopted the Quality Reform, we extended the semester to students. While many before were finished in May, there are many who are now not finished with the exam until far out in June. The additional study time has not been taken into account in the funding. My question is whether the Council of State sees you in a very difficult situation in June, when you get the last payment in May, while you don't get the first salary in the summer job until July. It's a challenge. Is it true that the students themselves will have to pay for the extended semester that Stortinget has imposed on them through the Quality Reform? Having economic concerns for the future in the middle of exam time may not be the best thing to do.
ParlaMint-NO_2009-11-04.ana.ud60e369	I am very aware of that situation and have also had many discussions and meetings with the student organisations about it. My answer is that in the living conditions survey we are going to have for the students, we will be told how much work the students actually do in June, i.e. in one of the months under the law you do not receive study support for today. It will also be a basis. This is different from the different studies. In a few studies they also have support in June, but by most people they do not. That's the basis I want to get a little bit better grip on, so in a good way to move on to a matter that I know very well is important for the students, namely getting an even better student support scheme. What I also want to underline, is that the study aid will go over eleven months, must mean that it has to be overall larger than today. It's no use keeping the frame of the day with one month more. I don't want to go into that kind of solution, but I want to go in for an increased student support.
ParlaMint-NO_2009-11-04.ana.ud60e376	Three follow-up questions are raised – first Hans Olav Syversen.
ParlaMint-NO_2009-11-04.ana.ud60e379	Another thing that also involved the parties in government, and that the students were also concerned about, which we may not see much again in the 2010 draft budget, is the basic appropriations. There is something that the student organisations have also included in all the consultations that have been held. In a wide-ranging interview in Stavanger Aftenblad, the Council of State says something about this. On a statement by those who pursue higher education, that they want ‘a more muscular Aasland’, the Council of State answers: ‘Muscles need training, and I’ll be on to continue the increase.’ The finance minister has said in the last three days that now we can't calculate anything more roughly in any sector. So my follow-up question is: what training course is the Minister looking forward to meeting the new Minister of Finance, who will keep the budgets in place?
ParlaMint-NO_2009-11-04.ana.ud60e391	State Council Aasland – if she feels that training is a relevant follow-up issue in relation to the main issue, which should be the follow-up question.
ParlaMint-NO_2009-11-04.ana.ud60e395	I think we are well into the budget debate. There will be plenty of opportunity to go further on both basic appropriations and student support, but since the representative has now been allowed to ask the question, I will of course answer it. There is no decline, but in fact an increase in the budgets of universities and higher education institutions also in the proposal for the 2010 budget. The fact that there is no increase in the free resources is a priority compared to the fact that we want to focus on new places of study, and we also want to focus on getting funds to stimulate important cooperation and coordination actions between our universities and universities. So here the government has prioritised some of the things that are most burning and important right now, namely receiving more students. So we've given money for that. We have up to 5,000 new study places in the 2010 budget.
ParlaMint-NO_2009-11-04.ana.ud60e402	Tord Lien – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e405	How SV manages to negotiate something that the Workers' Party and the Centre agree could be worth a research project. Whether the same applies to the possibility of living eleven months on what you can live for ten months, I am more in doubt about – whether we need to research and investigate it. This is also about study progress, which I have experienced that many governments have rightly been concerned about. The councils also experience a genuine commitment that we should use the brain power in Norway to solve the challenges we have today and in the future. And if we see this in context, I have to ask the question if the Council of State is simply concerned with the use of resources here. Isn't it a better resource use of just the brain power of Norwegian students that they spend their time in reading rooms and lecture halls than behind the 7-Eleven box, which many today have to do?
ParlaMint-NO_2009-11-04.ana.ud60e412	Of course, it is a goal both for me and for the students and the universities and the colleges that students should conduct their studies in the shortest possible time in relation to normal time – not too short, but normal time. They're going to get good knowledge. We propose that this be done in a number of ways, both through grants to universities and universities in general, which I was in, by establishing new places of study, which should not go beyond the quality of teaching, and through the support schemes, which have actually been priced every year under our government. So the students get a higher sum per. years of study support now every year because it is price adjusted. Then, as I said, we're working on both a living conditions survey and on how we can improve student support. However, I would like to stress that Norway is very well placed at international level in terms of our way of providing study support. If we compare ourselves with other countries, Norwegian students come out very well.
ParlaMint-NO_2009-11-04.ana.ud60e419	Ine M. Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2009-11-04.ana.ud60e422	On July 31, this year, I took part in a debate at Rome’s Folkehögskole together with others. then Minister of Knowledge, Vegar Solhjell. It was for a very interested audience, the National Association of Students had a summer conference. It was a full house, and the Council of State, Solhjell, said at the time that he was a personal guarantor of eleven months of study support. This was fixed on film, and that clip went its victory tour in the election campaign and secured, of course, a lot of votes. But the personal guarantee obviously didn't go into Soria Moria II. What is absolutely incredible is that almost all the parties on the Stortinget have programmed 11 months of study support, but the three parties that promised the most failed. The question to the Council of State is who has now taken over the personal guarantee from the former Council of State Solhell, or whether all the country's 220 000 students only have to realize that this is another broken promise from the Government.
ParlaMint-NO_2009-11-04.ana.ud60e429	Eleven months of study support is still an important matter, but, as I said, it is not within the existing framework of study support. This means that the study support framework needs to be increased. It's a topic in this case, and I would like to stress that that's what matters to me, is that we need to increase student support. So it can be done in many ways. The way that was most topical in the election campaign was to say that we're going to have another month of student support. But I again stress, as I've done to other representatives here, that I'm going to work to improve student support. I see that there are different ways to do it, and I still want to have a dialogue with the student organisations about this. I think we have a good start to get better student support through good formulations in Soria Moria II when it comes to starting with those who might need it the most: students who are disabled, and students with children. But the fact that there's nothing else doesn't mean we're not going to follow it up. For me, following up, along with the student organisations, will be an important matter for us to improve our students' financial lives.
ParlaMint-NO_2009-11-04.ana.ud60e434	Let's go to the next main question.
ParlaMint-NO_2009-11-04.ana.ud60e437	The Minister of Research can in and of course only stand still. What I would like to ask is the reaction to the submitted state budget for next year, which has been in agreement with all stakeholders. I want to quote a little bit: The University and Higher Education Council states that they see ‘no priority for research and higher education’ in the draft budget and considers that ‘the action space for universities and colleges will be further weakened’. [[...]] The Research Association asks the institutions to ‘assess whether it is appropriate to receive the new places of study’ when they are underfunded in the budget. And in the case of institutions, point out, for example, The University of Bergen has not seen ‘an equally tight budget since the cutting of rest in 2007’. University of Oslo writes that ‘When we experience a real reduction in the appropriations for education and research already in progress, this will threaten Norway’s status as a knowledge nation in the longer term’. NTNU is on its side clear and clear in its summary. It's short and cash. They say, 'This is not going to last!' The Council of State has pointed out, at the latest at a seminar yesterday when we both attended, that the draft budget is really good. So my question to the Council of State is really pretty simple: what is the Council of State looking like none of the research institutions see?
