ParlaMint-NO_2009-03-25.ana.ud1338e22	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2009-03-25.ana.ud1338e110	The money is not gone even if the prices of shares are fluctuating. All experience suggests that we are going to experience an increase in share price again. It's only if you were now forced to sell, that this would have been real loss. The last time we had a decline in shares, in 2002, the state bought. There were some of the most profitable investments we've made, and then the prices went up. But then I will insist that it would have been a great experiment and would have led to great uncertainty if we had done what the Progress Party has proposed, namely in good times to spend much more money. Then we had built up the industry, got higher interest rates and major problems. Just because we have kept money in good times, we can now spend a lot of money in bad times. Now we're using a lot of extra oil crowns, just because we've been careful in the good times. This means that we secure jobs, counteract the decline, but then we cannot follow the direction of the Progress Party. Then we have to have a good, responsible management of the money, as the government says.
ParlaMint-NO_2009-03-25.ana.ud1338e119	There will be four follow-up questions – first Jan Tore Sanner.
ParlaMint-NO_2009-03-25.ana.ud1338e122	I agree with the Prime Minister that we must look at the management of the oil fund in a long-term perspective. The right-hand side is behind the management's main lines and, among other things, behind it. The Committee on the Environment, Public Health and Consumer Protection adopted a resolution on the proposal from the Commission to the Council (COM(87) 547 final — Doc. I don't think that would make any sense in the situation we've now been in. At the same time, it is important that we have a nuanced and open debate on the oil fund. I understand that many people are now concerned, because this is about our pension money, and it is important that we, as politicians, respond to that concern with transparency and show the cards. It has, among other things, has been found to have been invested in mortgages in the United States, that these investments have been borrowed, that there has been a so-called ‘gearing’ of these investments. I think that we can say in retrospect has not been in line with the caution that the oil fund is going to show. I would therefore like to ask the Prime Minister to confirm that there is now a need for more transparency in both bonuses. [[The President cut off]]
ParlaMint-NO_2009-03-25.ana.ud1338e127	We have to make a very clear distinction between two things with regard to the State pension fund and the price development you have seen on those investments. One is where the market has been followed, followed the reference index. There's been a fall. That the Pension Fund feels that it follows, that is in and on its own as intended by the Storting when there is a major decline in international markets. But then there's another type of case, and that's what's called the active administration, where you haven't completely followed the market. That's what really bothers me the most, and that's why it's important that we now go through the experience with the active administration. Although that amount is much smaller, it is more serious, for it is something that should not have happened, based on the guidelines set by the Storting and followed up by the Government. That is why it is announced that we will have new rules for active management, and therefore also an important part of the message we are now presenting, just a presentation to the Stortinge on the experience and learning of the experience of active management.
ParlaMint-NO_2009-03-25.ana.ud1338e133	Lars Sponheim – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e136	I think the Norwegian people understand just as much the importance of investing this Norwegian wealth out and own businesses like Prime Minister Stoltenberg and I do. They understand that owning shares will fluctuate in value on paper, but over time there will be a higher return than any other way to keep savings. But if the Norwegian people are to understand this, they must know, and we must have so much confidence in our people that everything is put on the table. For people can quickly become suspicious of what happens, if they don't get to know. Therefore, it is necessary that these bonuses come on the table. Perhaps even worse, what has emerged in recent days, namely that Norway’s Bank has chosen to publish much less through the quarterly reports after the financial crisis came to an end. When they had bad news, they had less they would tell the Norwegian people about the bad news. This means that everyone should become skeptical of this policy. Will the Prime Minister now make sure that his people know what he knows?
ParlaMint-NO_2009-03-25.ana.ud1338e141	Yes, it is very important that there is transparency about the investments, about the activities of the State pension fund and of the Norwegian Bank. That is why, first of all, accounts and annual reports are provided, and we regularly provide a big deal for the Storting. In a short time, the Government will provide a big message about the activities of the State pension fund with comprehensive information, and the Stortinget will have the full opportunity to ask more in detail if it is considered that there is insufficient or comprehensive information. In the case of bonuses, there is transparency for senior executives at the Bank of Norway. In addition, Norway’s Bank has gone further by explaining in its annual report the number of performance-based salaries, the average fixed salary they have, the upper bonus frameworks for investment departments and operational departments, and the bonus payments given in 2008 as a percentage of wages and salaries. So you explain bonus payments, the remuneration of administrators in Norway's Bank, in addition to that resulting from the Accounting Act.
ParlaMint-NO_2009-03-25.ana.ud1338e148	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e151	I would like to return to this with active management. In today's Our Country, which has a picture that I expect the Prime Minister to recognize in which rainforests are being rescued, it appears that Norway has increased its investments. The pension fund has increased its investments in companies that are raging rainforest, so that the investments there are almost three times larger than what we are actually doing to counteract rainforest erosion. So my question is, when the Pension Fund is running an investment policy that is contrary to what the Government says it stands for, does the Prime Minister believe that that type of investment is long-term and forward-looking investment on the Norwegian side?
ParlaMint-NO_2009-03-25.ana.ud1338e156	First, what the government does, with broad support in the Storting, to save the rainforest, is very important. One of the most important things we can do to combat global warming is prevent deforestation, and there is a significant effort by Norway there. Secondly, there are ethical guidelines for the Pension Fund, also with broad support in the Storting, and we follow up those guidelines, withdrawing from companies like, among other things. do not follow up human rights and have activities in breach of international treaties to which Norway has acceded. There we take individual companies one by one, including those who have serious violations of e.g. environmental standards. So we'll follow that up. Therefore, it is not possible to decide on a single company or any individual company in a debate in Stortinget. It is in the case of a case before the Ethics Council, and an assessment of the extraction mechanisms we have. But what we have also announced is that we are going to create our own environmental programme in the State pension fund – this to further strengthen the environmental profile.
ParlaMint-NO_2009-03-25.ana.ud1338e161	Ulf Leirstein – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e164	I have to say I'm going to be surprised that the Prime Minister is taking so easily the loss of value that has been in the State pension fund – abroad. What we've heard about is NOK 633 billion, is the loss you have for 2008, while it's not very long until we get a quarterly report for the first quarter of 2009, where we're probably going to see even more blood red numbers. So it worries me that the Prime Minister is not more concerned about it. But to that with transparency: I record that in the annual report of the Staten pension fund – Foreign countries on page 42. ‘By the end of October 2008, an expected relative volatility of the Fund was measured that exceeded the framework established by the Ministry of Finance.’ This means that you can openly admit that you have actually broken the government's instructions on how to manage this. Is that why you choose to cap bonus payments in Norway's Bank Investment Management, and that you may have paid bonuses to people who have actually broken the rules laid down by the Government itself?
ParlaMint-NO_2009-03-25.ana.ud1338e176	First of all, because there has been greater risk than the size and the government has put up, it has been reinforced that the guidelines should be followed, second, that we should go through the model device we have to measure and manage risk, thirdly, we have notified new guidelines, and fourthly, we have notified a large-scale report that comes to the Stortingen in a short time, about all of these conditions, i.e. about the activities of the State pension fund. There is transparency about management remuneration at the Bank of Norway. All executives are fully transparent about this. In addition, several years ago, the Minister of Finance has taken the initiative of extra or more transparency, so that the annual report explains how many people have bonus payments, average bonus payments, bonus frameworks, fixed wages, etc. This is publicly available information which goes beyond what is provided by the Accounting Act, to which the Norwegian Bank is not subject, but which it has nevertheless chosen to follow.
ParlaMint-NO_2009-03-25.ana.ud1338e183	Let's go to the next main question.
ParlaMint-NO_2009-03-25.ana.ud1338e186	I will be allowed to challenge the Prime Minister to lift his eyes, to look a little into the future. We are facing a growing choice for the autumn that will not only respond to day-to-day policy in Norway, but will also respond to how we build our country to meet our challenges for the future. We know that in ten to fifteen years, the wave of older people will start to take real action on public expenditure in Norway. We have ten years to build our ability to carry a welfare society where we're going to have both more and better quality of what we give to the elderly, and on the hospital system we have. In 2001, we agreed quite broadly in Norway, from the Labour Party to the Right, that there was a good reason for us to spend more oil money into the Norwegian economy. So we were going to use 4 pst. to invest in growth capacity annually in the future. We had to invest in growth-enhancing tax incentives, we had to invest in infrastructure, and we had to invest in research and development. This government has lost track of those objectives. It's documented that only 20 pst. the funds during that period have been used for those purposes. Now when we look forward, we know that a return of 4 pst. gives us almost 500 billion dollars in aggregate over the next ten years to bet on just these conditions. My challenge to the Prime Minister is whether he is willing to go into this election campaign and say yes, the extra oil billions coming in the years to come will be used for what we agreed in 2001, we will commit ourselves to the mast, now we must lift the Norwegian growth capacity, so that we bear the welfare of the future.
ParlaMint-NO_2009-03-25.ana.ud1338e194	Firstly, I am pleased that the representative, Solberg, addresses some fundamental and important issues relating to the long lines of Norway and Norwegian policy. Secondly, I would like to say that I am always a little cautious about using the word ‘fire wave’, because in it there may be a notion that there is something negative. The fact that more people live longer is basically one of the most positive things that happen in our country. And we actually live a lot longer than before. Lifetime increases by something like two years every ten years based on the last numbers, and it's amazing, it's historic. In addition, we give birth to many children. So there's obviously a lot going well in this country. That being said, it is clear that there are some challenges, and they must be met. It is primarily about securing a lot of jobs. Low unemployment and high employment are important. That is why I am pleased that we halved unemployment from 2005 to 2008 and set a new record in the number of people working here in the country. Then I am pleased that a broad majority of the Stortinget have joined a pension reform that makes it more profitable to work, and that promotes the growth capacity of the Norwegian economy – perhaps the most important single measure that has been taken in many years to strengthen the growth capacity of the Norwegian economy. Third, there's a lot of investment in value creation here in the country. We've had record private investment. We have big public investment. The transport plan is an expression of that. We're doing more research than ever before. But I also mean a good health care system, a good school, municipal expenditure – these things – is helping to strengthen the growth capacity of the Norwegian economy. We both have to create and share. If we're good at one, we're good at the other, and that's the government's policy.
ParlaMint-NO_2009-03-25.ana.ud1338e205	I can only note that the Prime Minister will not commit himself to what he provided in 2001 for why we should phase in more oil money into the Norwegian economy. He does not want us to commit to using the extra space for action to increase growth through tax incentives for business, by providing more research and development and more infrastructure. So the 100 billion more on the infrastructure that's in the plan is just 20 pst. of the space of action that the Government itself estimates during the same period that the Norwegian economy is receiving because of extra oil money, and I must say that it is disappointing. It disappoints that you are so short-sighted that you are not willing to take the big debates and promise things in the future. So under this government, our competitiveness has become worse, and our growth capacity has become worse. We will not be strengthened out of this crisis if we do not lift our eyes and give some clear commitments, including: lifting research and development and providing better framework conditions for business. I hope the Prime Minister can give a clearer signal about yes to the use of oil money in this way.
ParlaMint-NO_2009-03-25.ana.ud1338e214	First of all, the most important thing we do to boost growth is to secure people's jobs. Nothing contributes more to growth than people working, and nothing contributes more to reducing growth than people going unemployed. That's point one. Point two: Yes, we're going to bet on research. That's why we've increased the research appropriations, and we've increased them more than the previous government. So both the level and the rate of growth are higher with this government in terms of investing in research. Yes, we need to invest in infrastructure. Let's get 2 billion dollars over the Bondevik II scheme per year. years from 2005 to 2009. We've overfilled it, and now we're going to go 100 billion kroner over it in the next decade with a fantastic effort to renovate Norwegian infrastructure. No, we're not going to reduce the overall tax rate. We made that clear in 2004, when we had the tax reform. Then we said we should continue the level we had when we made the tax reform. We have that promise, and you can trust the Workers' Party.
ParlaMint-NO_2009-03-25.ana.ud1338e221	There will be four follow-up questions – first Siv Jensen.
ParlaMint-NO_2009-03-25.ana.ud1338e224	The Prime Minister said that one of the most important things is to ensure that people have jobs. But I guess it's so important to make sure people don't lose their jobs. I want to remind the Prime Minister that one million people in Norway today work in small and medium-sized private companies. Almost no matter who of the business owners I talk to – or entrepreneurs, innovationists – they all point out that the government's response to the financial crisis has not benefited these companies, primarily because the government is terrified of using tax relief. Many of these enterprises will survive the crisis, assuming that they are able to manage their expenditure, and tax relief will be a very important instrument. Therefore, I would like to ask the Prime Minister whether he is willing to consider tax relief as an instrument to ensure that people keep their jobs, in the part of business that actually creates the values that politicians love to use.
ParlaMint-NO_2009-03-25.ana.ud1338e233	Small and medium-sized enterprises are very important. They're very good, and I'm very good to them, but we may disagree on how best to promote, strengthen, small and medium-sized enterprises. I also meet a lot of people who represent these companies, and they're busy with a lot of different things. The government adds that we're going to do a lot for them. The main measure is now lower interest rates. It is for the benefit of all small and medium-sized enterprises that have debts, and it is an advantage because people get more purchasing power and go and trade goods and services produced by small and medium-sized enterprises. Secondly, the things we are doing in the public sector — raising schools, maintaining roads — are also giving many jobs to small and medium-sized enterprises. Thirdly, we have given relief on the tax side, not least to small and medium-sized enterprises, through the tax relief we provided in the package of measures on 26 January. And fourthly, I believe that even small and medium-sized enterprises understand that we need money in the common fund, that fissure layer, which allows us to pay for health, for hospitals, for schools, for care over the tax bill, and therefore we do not generally promise lower taxes, but we promise a fairer tax system.
ParlaMint-NO_2009-03-25.ana.ud1338e240	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e243	I have to say I am stunned when I hear the Prime Minister talk about investing in higher education and research. The self-certificate of a formerly responsible minister was that you were inside a rest section, a rest section you're not actually out of yet, if you look at the realities behind the figures. Then, of course, it is certainly nice for both small and medium-sized enterprises that the government is happy with them as well as for them. But the question is, what do you actually do when the central bank manager can now say that the cost growth in Business Norway is so much higher than in other countries, and that where we have previously taken it back when productivity increases, it is now falling also in relation to countries we can compare with? So my question is simply: what will the government do to improve the framework conditions for the small and medium-sized enterprises that you are both happy about and for?
ParlaMint-NO_2009-03-25.ana.ud1338e250	I think that small and medium-sized enterprises are happy that we are happy with them – and the opposite would at least be a problem. But the second is that everything we do to secure value creation, the safe Norwegian economy, is about small and medium-sized enterprises, because what is the main emphasis of the Norwegian economy is the small and medium-sized enterprises. So when we succeed in pursuing a good economic policy in general, we also conduct a good economic policy for small and medium-sized enterprises. So, for example, the main means of meeting the setback in the international economy — lower interest rates — is for the benefit of small and medium-sized enterprises. Secondly, I also pointed out that we have set up a tax system now that targets specifically the small and medium-sized enterprises that are struggling, that have deficits, because they can carry that deficit and get paid money already this year, if they have suffered losses. Thirdly, I believe that small and medium-sized enterprises are also concerned that we have a good welfare society. We see that there is actually a lot of entrepreneurship, a lot of businesses, that are established in Norway, not least because we have a good welfare society.
ParlaMint-NO_2009-03-25.ana.ud1338e259	Lars Sponheim – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e262	The most important thing we can do in a recession that we're in now is to invest in growth. Now we have to see, so that something can grow when the growing season comes, and it's definitely coming. When Prime Minister Stoltenberg resigned as Prime Minister last time, in 2001, the Governor of the Central Bank used the beginning of his speech immediately afterwards to say that the Norwegian economy is in bad shape. Unemployment increased, and there was record low start-up of new businesses. Growth is about having enough large and small enterprises that are profitable. The most important thing that can now be done is to put the seed into new businesses. Now we have record low start-up of new businesses again. I don't think, because there can be anyone else who can do something fast with the economic cycle, that the country needs a government shift because we need to invest in growth capacity, small businesses, and understand that it's about trust in such businesses and not about the suspicion that oozes of red-green governance today.
ParlaMint-NO_2009-03-25.ana.ud1338e272	I am concerned not to suspect small and medium-sized enterprises. I am concerned to express a positive opinion about them, because they are therefore the backbone of the Norwegian economy and Norwegian employment. Once we have managed to halve unemployment, measured in the Labour Force Survey, from more than 100 000 in the autumn of 2005 to about half of 2008, this is due not least to growth in small and medium-sized enterprises. But now, unfortunately, the situation is more serious, because now unemployment is increasing. The main reason for this is that we are facing the strongest, the largest and the most serious setback in the international economy the world has seen since the 1930s. We're doing what we can through a lot of different tools to dampen and counteract it. But we're going to see increased leave, because some companies are going to have to cut down, quit people, and then our job is to create new businesses, new businesses, so that those who leave the job go as short as possible, and get a new job as soon as possible. The availability in Norway — new AKU numbers today — is above 3 pst. It's higher than what we're used to in Norway, but we're busy keeping it down.
ParlaMint-NO_2009-03-25.ana.ud1338e281	Jan Tore Sanner – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e284	I agree with the representative of Sponheim that we need a new government. Erna Solberg started this round by inviting the Prime Minister to raise his eyes, look forward to the future. We are in a crisis situation how many people lose their jobs, where businesses go bankrupt, and it is necessary to have a discussion about how to get out of the crisis, how to make sure that businesses are stronger, more profitable, and jobs safer when we get out of the crisis. Instead of answering that challenge, we get a discussion about who has granted the most money in the past. That is not what this debate is about. But the fact that by 2020 we will be able to dispose of about 500 billion kroner – that is, five health budgets – gives us a unique opportunity to invest in roads, rail, knowledge and research and provide better framework conditions for businesses, so that they become more profitable. Does the Prime Minister initially agree that this money should be used to invest for the future?
ParlaMint-NO_2009-03-25.ana.ud1338e295	The answer to that is yes. When I say yes, it is because of course I believe that this money should be invested for the future. But I don't promise tax havens. We can have a fairer tax system, we can re-distribute, but generally lower taxes make us get less money to invest in the future, whether it's school or roads or research. So I disagree with the Right opinion when they talk about investing for the future, because that means right tax havens. I'm not for that. I'm for more money. That's better. I notice that the Left and Right say they want a new government. It would have been more credible if you had agreed on what new government you wanted. I think you can first concentrate a little on that, and then you can come up with clear messages when you have given answers to that question. We will go to elections in autumn 2009 with a policy to invest in the future. We have shown for four years that we are able to do so, and we want to continue that policy after the 2009 elections.
ParlaMint-NO_2009-03-25.ana.ud1338e304	The President recalls that all speeches are addressed to the President and not to 'they'. Let's go to the next main question.
ParlaMint-NO_2009-03-25.ana.ud1338e309	One of the major debates in many elections has been how different schools should be treated here in our country. A new government has often led to a new war — ever new rules and changing assumptions for this school battle. In May 2007, the Christian People's Party and the government parties made a compromise with slightly different premises – we to save the schools and the government to stop the commercial ones. We got into port, and we agreed. The Prime Minister, for example, stated that: that we now have a broad majority behind the law, so that these schools get more stable and predictable framework conditions. The same pronounced SV State Council. All the newspapers that the conciliators tend to read the most, such as the nations, the class struggle, our country and the daily newspaper, praised the job and stressed that this would now bring peace, and that it was good that this would last over time. But now one of the negotiators has broken the terms. SV, who also has the Council of State, will now suddenly put the whole agreement into play and stop these schools. In these days, parents receive answers as to whether their children are accommodated in a school that has chosen a different way of running. Can we now trust that these have a school to go to? Can the government now say that they want to keep that agreement? Does the Prime Minister guarantee that this will take place over time, and that the Government will not restrict schools on religious or pedagogical grounds?
ParlaMint-NO_2009-03-25.ana.ud1338e318	Yeah, we're on the deal. We are not going to experience in Norway that private schools are being banned or that schools with alternative lifestyles or alternative pedagogics are being refused to establish themselves. It's important, because I think it's an important value, an important quality of Norwegian society that there's room for diversity. I think diversity is about accepting what you like. I, for example, have enjoyed going to Steinerschole and am happy in that school. But it's essentially about accepting what you don't like, and understanding that someone likes what you don't like. I'm e.g. trailer of gay marriage. I think it's important that gay people can get married. I think it is great that we have female priests, but I fully accept there are congregations in Norway that do not want it, and they must be allowed not to want it. There may be aspects of both schools and communities I don't like, but part of the diversity is that they too are allowed to exist. That is why I believe what SV has decided to ban schools with alternative life views, i.e. that you should no longer have private schools with alternative pedagogics, is wrong. The same applies to the removal of State aid to non-equality associations. That's not the majority in the Storting. It's not going to be a majority for the Storting. I feel that this matter is really very clear. So there's one additional dimension that's complicated, and that makes me think we're going to have a conversation about the topic. We now see a debate in Oslo on how to avoid using the privatisation of schools. I'm an opponent of commercial private schools. There, together with the Christian People's Party, we have tightened the law – very well. But there is another dimension that is difficult, and it is: how are we to prevent the establishment of religious schools from hindering integration work? I'm just warning you that there's a more complicated debate that we have in Oslo.
ParlaMint-NO_2009-03-25.ana.ud1338e327	I interpret the answer as a guarantee that the agreement is in place and that the intention that it should be overdue is in place. I'm happy for the solitude. I trust the Prime Minister, but I think he has to understand that this has caused considerable unrest in students and parents, and not least in the schools themselves. Because the Council of State is from SV, it was a very important premise when we agreed to tighten up who would be allowed to start, that those who were approved would receive a generous and liberal treatment. We have experienced that things have been squirming, that they have been difficult to get through with these types of schools that we should allow. Can the Prime Minister now guarantee that these alternative, non-commercial schools will not be treated with suspicion, as if they were commercial, and that they will now be given the opportunity to be the alternative they have been permitted by law to be?
ParlaMint-NO_2009-03-25.ana.ud1338e334	Yes, of course, we should follow the agreement, and of course the law should be practiced. It is about providing state aid to schools with alternative life views or educational options, and the answer to that is yes. But the law also makes some demands, i.e. that you must not undermine the existing school structure and the kind of things you want to do. This still applies, and that means that you have to deal with each individual application. We now have an application from a school in Oslo that raises some questions about integration. So I'm saying there are some balances that have to be made, but the equation is on the right track. This government is for montesorriskols, stone schools and also schools with alternative life views.
ParlaMint-NO_2009-03-25.ana.ud1338e341	There will be four follow-up questions – first Anders Anundsen.
ParlaMint-NO_2009-03-25.ana.ud1338e344	This may be a contentious matter within the Government, as far as I can see, there are no representatives from SV in the Chamber today. They might have guessed that this could be a topic. What the SV national meeting really does is, of course, criticise its own State Council for having too kind a private school policy. Today, approx. 2.3 pst. Among students in private schools — and Stoltenberg itself is an example of the fact that it can deliver quite eloquent results. The Party is committed to diversity in the school sector as well. Then we hear that the Prime Minister disagrees and that the Workers' Party disagrees with the decision of the Swedish National Assembly. But nevertheless, the Council of Knowledge has cut off the knives, and he is the one who is fronting the matter in the media, and sometimes it appears in a way that he is speaking on behalf of the Government. Does the Prime Minister think it is a problem that we have a knowledge minister who criticises the Government's knowledge policy?
ParlaMint-NO_2009-03-25.ana.ud1338e358	First of all, I would like to thank the representative for thinking that students from Steinerschole can do well. Then I want to say that everyone who follows the media image, I believe that at the SV national meeting, a decision was made that SV's management, including the minister of knowledge, was opposed and voted against. That decision is not a decision on behalf of the Government. It is a decision on behalf of a majority of the SV National Assembly, to which the Government disagrees. The government has a different policy and has made a settlement here in the Stortinget based on a different policy, but as the management of SV was opposed, voted against and expressed it. That is why I can say with such great confidence that when a massive majority here in the Grand Duchy disagrees with that policy, and the Government disagrees with that policy, there must be no misunderstandings. The SV National Meeting has not adopted what is the Government's policy, and the Government's policy is determined. We are on the verge of a Christian People's Party on private schools.
ParlaMint-NO_2009-03-25.ana.ud1338e365	Ine Marie Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e368	Most of what was adopted at the SV national meeting is, of course, contrary to the government's policy. I register that the Workers' Party has already been out and cancelled decisions both in relation to the health schools and in relation to withdrawing Norwegian soldiers from Afghanistan, and a few minutes ago the Prime Minister also cancelled the promise to withdraw the State aid from religious communities that do not do as SV says. We know that the government of Stoltenberg is part of – for over three and a half years – a policy that has nevertheless made it almost impossible to start and operate in this country. The question is: is there anything else in SV's program that the Prime Minister will cancel here and now, or does that mean that everything else in SV's program is negotiable in a new Soria Moria discussion?
ParlaMint-NO_2009-03-25.ana.ud1338e375	The starting point is that there is now national meeting time, and that all national meetings agree on what they call the party's whitewashed profile. We must respect that. I also think the bourgeois opposition parties are going to do that. Then you have to present alternatives based on that. What I think the three government parties have shown is that although there are three different parties and three different programs – that is why we are different parties – we are able to cooperate. And we're able to find solutions to the most fundamental issues of disagreement we've had, related to, for example. The EU, NATO and the EEA, but also the use of oil money and that kind of thing. We've put that in the bottom, and we agree on that. We were in 2005, and so are we in 2009. But then, of course, we're going to meet when we win the election and negotiate a new government platform. The difference between us and the opposition is that we agree on what kind of government we want, and which parties are going to sit in government. The opposition has not even agreed on that.
ParlaMint-NO_2009-03-25.ana.ud1338e382	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2009-03-25.ana.ud1338e385	I would recommend that the Prime Minister, who is also the prime minister of Oslo, visit the Oslo School. There the Prime Minister will meet a school system of 40 pst. language minorities – and who deal well with most of them. So before you begin to generalise that there may be a risk of integration, you should rather be concerned with what is good. If the Prime Minister is to take care of something, it is his closest collaborators who speak unpresidually and unpretentiously about religious concepts and other concepts. It is only necessary to say that the councilman Stoltenberg, who is Prime Minister, and who, together with me, represents this city, must have insight into the city and be happy about it. So to the question. How does the Prime Minister feel about having a government ally — and the Prime Minister has now commented and cancelled a country meeting decision — which, according to the evening post after their national meeting, has shown the ugly face of intolerance?
ParlaMint-NO_2009-03-25.ana.ud1338e392	I – and also all parties on Stortinget, with the exception of SV – disagree with the SV national meeting decision. It's me because I think it's a crazy way to organize a society not to allow diversity within religious communities, and not to allow to also use lifestyle schools and schools with alternative pedagogics to give a diverse society. That's what the majority of the Biggest has been saying for all these years. The Labour Party has meant it every year. We've had rock schools, montessori schools and Christian schools, even when the Workers' Party had a clean majority. So this isn't something we've been figuring out lately, it's something we've been thinking about for years. So that's the diversity I want. I want that tolerance. So the majority of SV's national meeting has a different assessment of where those boundaries and that balance go. We disagree, but I'm sure it won't be Norway's or the Government's policy.
ParlaMint-NO_2009-03-25.ana.ud1338e397	Dagfinn Højbråten – for follow-up questions.
