ParlaMint-NO_2009-12-09.ana.ud773e67	The representative Peter Skovholt Gitmark, who has been on leave, has again taken the seat.
ParlaMint-NO_2009-12-09.ana.ud773e227	This is the main debate in the budget harvest of the year. I just want to say right away that I experience it as a privilege to participate in this important debate. The importance of the debate is also illustrated by the fact that five state councils have reported their presence here today. I think the government should have honor for that. I have to admit that I thought I had left the climate debate after four years in the Energy and Environment Committee, but I did not. There we often discussed what to live on from the 10–15–20 next years. What we are discussing today is how to maintain the standard of living and welfare of a post-petroleum economy. The management of human capital, or brain power, which is a more popular concept, in Norwegian society is the topic of today's debate. The brainpower, as everyone knows, is the largest single factor in the Norwegian national wealth. I'm going to talk more about higher education and research, but first a little bit about basic education. About bullying: It's like a lot of kids get scared every day to go to school – thousands of kids do it every day. It is a pity that there had to be three Swedish State Councils before the government took this seriously. I am pleased that after Mette Hanekamhaug of the Progress Party and Trine Skei Grande of the Left challenged state council, the answer has actually been clear and clear: bullying is unacceptable whether the bully is adult or child, and the fight for a bully-free school is to be intensified. It is also the case that the strongest students are forgotten too often. Norwegian law gives all primary school students equal rights to adapted education regardless of whether they are more or less theoretically strong than the average. Unfortunately, the idea of similarity and socialist thinking makes this right constantly suppressed. Out in the real world, out in the Norwegian school, there are too few people who get organized to teach at a higher level than their classmates. This is sin and something paradoxical. There are not many football runners who would disagree that if you don't get to play football with the best possible coaches and players before you get 19, you can't inspire to become a footballer. Most football talents also debut at the junior team while they are still boys players, without this fact starting a major debate. I also remind you of 14-year-old Moiko, as State Councillor Halvorsen and I have discussed oral Question Time earlier, and who points out in the evening post on 17 November that the public school forced her to mediocrity. Not giving talented children and young people the opportunity to realise their full academic potential as early as possible has lost brain power. Socialistic thinking also means that resistance to private actors in the field of education is high. I do not belong to those who believe that private schools can or should dominate Norwegian basic education. However, national research and statistics show that private schools have a better culture for learning, better results and more satisfied pupils and parents. But then the same results also point out that the reasons for these findings are that the private are measured on results, compete on quality and have to put the user in the center. Measuring, competition and the user at the centre could also be achieved without opening up to private actors, if this was an objective in itself, but it requires free school choice. The practice in Norwegian municipalities is that the redder they are, the less free choice of school is. Then I'll be right in front of the Church. The church agreement shows that we've initiated a process where we're going to separate church and state. Eight out of ten Nordics are members of the Norwegian Church. We are now in the largest reform process the Church has ever faced. Then it would have been desirable if the Church could have used its resources to focus on the big change process that is going on, and not on fighting for the day-to-day operation. Unfortunately, it now looks as if the Church's last year as part of the state administration will be characterized by undisputed performances, trade fairs and decays for church buildings. So to higher education and research. There is often a lot of talk in the public room about the wave of old age, but unfortunately not so much about the wave of youth and the wave of students. A combination of larger youth schools and increased study propensity will increase the number of those who will at any time be in higher education, or at least be qualified for and wish for higher education, by between 20,000 and 100,000 in the next years. The real figure is likely to be between 50,000 and 80 000 by 2014. Some people make this almost as a problem. Of course it isn't. This is the gift package of the times for a Norwegian government. The central government alone needs an estimated 20,000 new high school graduates each year for the next few years. Municipalities need thousands of engineers and other training groups for municipal administration. If health reform is to have some kind of chance of success, municipalities need a massive number of qualified health professionals. Even before any legislation on teacher density in primary school, the school also needs far more teachers. And – a little daunting – one also takes into account the seemingly insatiable need for communication advisors in the departments, it is clear that the need for higher education labour in the public sector by 2025 only means that we have to hope that the projection of study propensity ends in the upper part of the estimate, between 80,000 and 100 000. This is a budget debate. I have noted that the government, with the Aasland State Council at its head, has claimed that this year's budget is a very good research budget. I can stretch to agree in part. Research is growing usefully over some budget chapters. Research on renewable energy deserves some credit. On two points, however, I would say that the Government is also failing in the field of research. The overall budget rhetoric has been that it is a budget for the provision of competitive industry. I have some challenges in general to see what point in the national budget at all this has been addressed. In the field of research, at least industry exposed to competition is not protected. The FUNN tax scheme will not be strengthened and more or less meaningless restrictions will be continued in 2010. Worse still, in what may be a crisis year for the competitive industry and the technical and industrial institutes, the User-led Innovation Arena, the BIA, will not have the means to launch a single new project. This is the first time since the scheme was established. The statement to the Council of State Giske, who is not going to be present today, has been that the Research Council within the budget of the BIA has so far spent too much money. As far as I understand, the Research Council's mission in the context of the financial crisis package was to maintain the activities of the projects under way. This has been largely achieved by the Research Council, for which they should be given the credit. But the government says that too much money has been spent in 2009. Then I want to challenge the government, one of the five councils, to tell me which projects were implemented in 2009, which should have been scrapped to release funds for new projects in the crisis year 2010. The second point where the government is failing the research is in the UH sector. The government assumes that it will be approx. 6 000 more students than in 2009. The student-based and results-based part of the appropriations is increasing in line with this. But that's how part of the basic appropriations for universities are also intended to go to education. But there can be no doubt that, in terms of total appropriations for higher education, no matter how much polemics you take into account the use of concepts around what is in a complex funding system, or how many samples you drop, the result of student growth and lack of funding is that universities need to give priority between maintaining the level of research or the quality of studies. Knowing that a large part of basic research takes place in the hands of universities, and that today's students are future researchers, this also helps to weaken the impression of the government's budget proposal as a good research budget. No matter what individual study sites choose to prioritise, research or study quality, this is a waste of brain power and human capital. The same applies to the question of student funding, which we have discussed many times in Stortinget. All parties promised 10 pst. increase in study funding. In the 2010 budget, there is no increase in purchasing power for the students. In practice, this means that no matter what standard is used, Norwegian students will have a purchasing power that places them in the category ‘poor’. Nevertheless, students with parents with good finances will be able to focus fully on education, while students with parents with a more general economy will have to be behind the 7-Eleven case when they should rather be at the reading hall, library or lecture. This too is wasted brain power and human capital, and it contributes to the impression that the Norwegian education system reinforces social differences in society. We agree on a lot. I look forward to the debate, and insofar as cooperation between the magnificence and government will also take place in the next four-year period. I take up the proposals of the Progress Party.
ParlaMint-NO_2009-12-09.ana.ud773e271	The representative Tord Lien has taken up the suggestions to which he referred. It's going to be line change.
ParlaMint-NO_2009-12-09.ana.ud773e276	The progress party is very concerned with private schools – I have understood that both by replication and by the article. My impression is that most in Norway want to go to good public schools in their own community, and that the establishment of private schools is usually the result of the closure of public schools in the rural or outlying population. What I really want to ask the representative is the Progress Party's view of student payments and dividends at all these private schools that they want to set up. Is it going to be private companies that can make a big profit and make money in primary school training? Are you opening for a large-scale student payment?
ParlaMint-NO_2009-12-09.ana.ud773e285	It's interesting that the representative Aasen challenges me at the closures of public schools. The red-green government is experts to contribute to it. It is quite correct that many of the private schools established in Norway today are being established to replace schools that have often been closed down by red-green local government, which, of course, is not necessarily a good development. With regard to the point of private schools, it is primarily to make sure to have a corrective approach to public schools. I think we could have met this to a great extent if we had been given full freedom of choice between the public schools. The student payment is not an entry for the Advance Party. But as I said, private schools are an important supplement, which, in addition to being a good offer on its own, I think, will strengthen the public school by getting them a competitor.
ParlaMint-NO_2009-12-09.ana.ud773e294	In principle, the Progress Party wants a whole new model for primary school, where the state is to assume the financial responsibility for schools through the provision of price finance. This will result in «the school no longer depending on the local economy or on the priorities of municipal politicians», writes the Progress Party in its note. In an article in the Nations newspaper, the representative Tord Lien writes that ‘there are good pedagogical arguments for bringing schools together, but for the kindergarten, such arguments should be very good for the merger to be correct’. I understand your point that the Progress Party is concerned that some children, among other things. can have a disproportionately long school route. Does the Progress Party believe that a state-run price financing of primary school students will lead to municipalities being better able to maintain a scattered school structure and a good pedagogical offer? Or does the Progress Party believe that a state-run price financing will lead to a desired centralisation of schools where one is not dependent on the priorities of municipal policy, as the Progress Party writes in its comment?
ParlaMint-NO_2009-12-09.ana.ud773e301	It is quite correct that the Progress Party wants the two most important things that we believe the municipalities are doing, namely, care for the elderly and school, to be financed by a single price. This is a principle position on which the Progress Party has been standing all these years, and which we are probably not going to give up on with the first. But, of course, it must be that this price must be differentiated, so that it is possible for the school owners – whether it is private or public – is not so important. However, it is of course necessary that this scheme be financed on a price basis. I also note that there seems to be some disagreement between the two red-green replicators. The previous replicator said that when you put down the public school, as the red-greens often do, it will be replaced with a private school. So private schools are today the main reason why there are, however, so few schools that are being closed down.
ParlaMint-NO_2009-12-09.ana.ud773e308	The representative was concerned about the Church's financial situation in his contribution, and the Progress Party and the Christian People's Party share the concern for it. I'm not going to go into the discussion about the proste reform and that the representative thinks it's predominantly positive, while the Christian People's Party probably has a different attitude about how the Church experiences this. But what may worry me a little bit is that in the economic situation, the Progress Party chooses to withdraw a grant to the Norwegian Christian Council, the Cooperation Council for Religious and Lifely Societies and the Islamic Council. I think that as a society we are served to have dialogue across religions, across cultures, and that we need more of it. For example, the Norwegian Christian Council wants to contribute to mutual respect and understanding across borders. They would have lost the state budget if the Progress Party had been given a decision — a post that just ensures that all church communities can participate, both small and large, and that they should not choose between the priests in need and being part of umbrella organisations. What's the reason for that?
ParlaMint-NO_2009-12-09.ana.ud773e315	I thank you for the question. We could have discussed the proste reform too, even though I guess the enthusiasm of the other parties around that discussion is a bit bleak. With regard to the allocation to all these Cooperation Councils, I note that the representative did not come forward with the Islamic Council. So we're just removing the allocation of all of these counsels because we're concerned with the equality of all religions. That's why we're in the church deal, together with the Christian People's Party. After all, the support that goes to religious communities must be based on how many members they have. Such apparatus that discriminates against religion is not desirable to use tax money directly but indirectly through religious communities.
ParlaMint-NO_2009-12-09.ana.ud773e322	The progress party wants to open up to more private schools. In Copenhagen, more and more people who can afford it buy themselves out of the common school. 40 pst. of all the kids who have academic parents go to private schools, and many of the kids of ethnic minorities go to religious schools. It means religious segregation, and that means social segregation. I wonder why the Progress Party wants to open up to such a reality in Norway. In addition, I can't see that the Progress Party responded satisfactorily to Aasen's questions about financial returns, so I repeat her question: Does the Progress Party believe that it should be free from financial returns in private schools?
ParlaMint-NO_2009-12-09.ana.ud773e330	I am not surprised that the representative Tajik is not satisfied with the answers given by the Progress Party on private schools. But when the representative Tajik asks questions about this with religious schools, I'm going to be in trouble. We want everyone, including those who have a common pedagogical approach, in line with public schools, to be allowed to run schools in Norway, while the red-green government assumes that religious schools should be given priority when it comes to it. I think that's weird. There is no target for the Progress Party to introduce parental pay or, for that matter, for schools to be able to make dividends. The aim of the Progress Party is to get a corrective to the public school. As I said, I think a lot of that need for correction for the public school could have been achieved by free choice of school. I expect the representative to know about Ullern high school, who in a situation with a few students has made his school one of the best schools in the country.
ParlaMint-NO_2009-12-09.ana.ud773e337	So the chord change is over.
ParlaMint-NO_2009-12-09.ana.ud773e340	This government will go into the history of the government that has wasted the chances of a forceful effort on education in the good years we have behind us! This government has excelled in wanting to tackle the knowledge challenges in school! This government has no offensive plan for how higher education and research will solve its recruitment challenge and meet an expected student tree in the coming years! Right wouldn't be right if we didn't challenge the government on what's society's greatest challenge: to process people – or human capital. Norway is facing a fundamental challenge throughout the education sector, from primary to higher education. We need a more offensive learning culture. We need an education system with higher expectations, whether it's at the first grade in primary school or for the student in higher education. To prepare for the future's work life cannot be to choose the least resistance path, not if we have ambitions to live on knowledge. If Norway is to be among the world’s leading knowledge society, a more challenging school and education system is required. We have to add the list higher from the first day and stop putting less emphasis on the learning and motivation of students and students. Nor are weak students worthy of holding them back. A recent SSB review of international Norwegian school surveys explains poor student outcomes with too low requirements and weak culture for assessment. Learning pressure needs to be increased in order for students to learn more and improve their performance. The OECD has previously distributed yellow cards to Norwegian education. Now the SSB is following up. This is when the time is running out and the time has come to put the school's knowledge assignments at the forefront. I am proud to belong to a party where action follows words. Says Right that we're going to bet on knowledge, we're going to bet on knowledge. That is why we have used all the last five budgets to continue investing in the quality we provided through the Knowledge Promise, the Quality Reform in Higher Education and the upgrading of Norwegian research through major research funds, several scholarship holders and increased equipment investment. When the Minister of Knowledge recently spoke to the National Meeting of the Federation of Education, one of her messages was: ‘It is not oil and gas, but people and their competence that is the largest part of national wealth.’ But the government's government budget does not respond to the government's own challenge. On the other hand, it does Right's alternative state budget, which invests $1 billion in knowledge to better equip the country for the future and to ensure the well-being of generations after us. The right is increasing the amount of further training for teachers by 400 million. NOK 50 million. kr to senior measures for real-time teachers, raising the basic appropriations for higher education by 250 million. NOK, propose an additional 384 million. kr for research, which will also provide about 100 new scholarship holders, and last but not least: the right forces the Research Fund by DKK 10 billion. From different quarters, there is a warning against government policy. A report by NIFU STEP warns against a weakening of the role of the Research Fund in overall research funding. From the University and Higher Education Council, there is a warning against the consequences of low basic appropriations. The students are calling for the filling of red-green election vows in eleven months of study support. In the north, there are few tracks after the government's so-called North Region bet. The mood in Hammerfest is labs after the government deflects EnergyCampus North with poor 1 million. kr in 2010. The new energy engineering study, which was supposed to be a signal project and build new skills on a field area needs, now hangs in a thin thread. There is little agreement between action and words in the north. The right hand story is also the story of the party as a guarantee for investing in knowledge and quality in the school. When the Right wants to double the rate of continuing training of teachers, it is because this is the measure that can give the greatest benefit to students in the short term. Now it's up to us to build on the teachers we have, and now it's up to us to think new. Seven out of ten teachers say they need professional replenishment. It must be taken seriously by the responsible school authorities. On the right, the Minister of Knowledge challenges new ways of implementing the continuing training of teachers. Just as the health sector does not have any nurses to care for, so the school does not have teachers. This means that we need to find new and more flexible solutions for empowerment, which, for the most part, must be based on the fact that teachers cannot leave their students and their classes. I agree with the Council of State that we need more teachers – many more teachers – if we are also to be able to compensate for departure for age. However, the right is completely in conflict with the priorities of the Council of State when more teachers are about to stand in the way of more continuing training in five to ten years' time. The consideration of all the school schools suggests that the government should invest far more to increase the skills of today's teachers. At the National Council of the Federation of Education on 3 November, the Minister of Knowledge was committed to ‘give teachers room to do what they should, namely teach. A separate sample will help us’ — the Ministry — ‘to identify ‘time thieves’ and red tape teachers’ jobs’, said the Council of State. If the Council of State actually believes this – and I think so – then how is it possible that the Directorate of Education comes up with directives that lead to the very opposite, as if by imposing a ban on plus and minus when figures are given? For the school, the provision has come as lightning from the clear sky. No one's asked for it. The ban means increased red tape and more work for teachers and, in fact, less precise grades and feedback to students. To the right, the new ban clearly works against its purpose and today proposes that the Stortinget ask the Government to withdraw the ban and to continue what is established practice with regard to characterisation in Norwegian school. One can slowly wonder about this urge to repair what actually works. Doesn't the Education Directorate have other things to do? The right is uncompromising in its priority of knowledge and math in front of food. Anyone who has followed SV before and after the party came into government will see that SV, strongly pressured by the Workers' Party, is on the waving front in relation to their own policies. When SV now talks less about games and more about learning and less about food and more about math, and the party leader takes the Ministry of Knowledge with a clear message that Norway is going up on the PISA ranking, it represents a political ham change for SV and an important step towards the knowledge school Right has fought for. But we still have the advantage of seeing an SV State Council in dismay over a school that has raised the results in mathematics. I don't know what Øystein Djupedal thought about when he proclaimed at SV's national meeting in 2005: "Think how happy we'll be when we get rid of the right-hand school!" Today, I think, how confused is the Swedish school policy really? Either the party doesn't know what it wants, or the party doesn't get it – in meeting with the big brother, the Labour Party in government. Tests and monitoring are instruments, not targets themselves. It's the follow-up that each student gets after the test, which is the important thing. These could have been my words, but the statement comes from the knowledge minister Kristin Halvorsen in meeting with the country's largest teacher organisation. If the Council of State thinks this, she has also put a line over her own and the party's previous position on testing only by a selection of students. If so, please welcome the new orientation of the Council of State on this point. The Council of State will also have the Right full back cover to put power behind it, so that all municipalities in the country will have to follow up the results of the national tests. National tests are one of the most important tools of the school for providing good, adapted training to each student, a right of students under the Training Act. It is in the interests of the Storting that the Government will ensure that the laws are complied with. After four supervision, there is still reason to ask: Where else in society can state councils sit for four years and watch that children’s rights are being seriously neglected? Education and research are not suitable for improvisation. Nevertheless, the impression remains after four years of red-green rule. Where has the long-termity of funding policy become to the many knowledge providers at all levels of the education system? Restful and very tight budgets have left the sector in a hopeless gap between forward-looking new initiatives and maintaining quality in existing activities. With the red-green government and SV management in the Ministry of Knowledge, the sector that is to build the foundation under new value creation and provide skilled labour for both the public and private sectors lacks predictability in its planning. It is with respect to not reporting to take education and research seriously. It is a great cross of thought when the committee leader here today uses his contribution to alert higher education, when we know that tens of thousands of new students are in line and are going into the sector in the next few years. I take up that proposal from the Right, which is distributed in the Chamber today.
