ParlaMint-NO_2009-03-23-lower.ana.ud2546e29	The representative, Mr Solvik-Olsen, will put forward a draft representative law.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e156	Government parties assume a perspective in which the maximum number of years of service seems to be reduced as the position is so much more important. Can the Council of State clarify why, following such a view, the equality Ombudsman must clearly be more important than the police director?
ParlaMint-NO_2009-03-23-lower.ana.ud2546e161	I am not sure whether we have assumed that the target should be shorter the more important the position. There are some different yardsticks. I have in my other position, as Minister of Culture, also people who have other types of goals. This must be assessed in relation to each position. The fact that you get a replacement for the same period as the first appointment is, at least, the general rule. It's very, very few exceptions to that particular system.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e169	I do not recognize that it was the father of an assumed subculture that led to having a year's measure of six plus three years, so I want to repeat what I said in my main post – the main account was not linked to such a thought. It was not attached to a specific, presumed inappropriate person either. It was linked to the democratic principle that when one sits in such a powerful position and manages the state's apparatus of power in peacetime, the police, for general democratic reasons, the aim should be limited to nine years. It was a principle view. Is that the way I'm going to see it, that this concern is no longer shared by the Council of State as acting Minister of Justice, that the Government has put away this general constitutional reflection, which is not linked to a person or suspected possible subcultures, but linked to the fact that power, for reasons of principle, is going to change into such strong and so tough positions as it is here?
ParlaMint-NO_2009-03-23-lower.ana.ud2546e174	Now I wasn't in the discussion some years ago when the Police Directorate was established, but I assume that the representative Dørum is not so far from reality when he describes the scepticism of the Police Directorate in general and also the concern for democratic control of the business. However, it is important to learn from the experience – that this has gone very well, that there are good procedures for contact between the department and the police directorate, and that you feel that democratic and political control is good enough. You can discuss the length of goals in total, nine years, twelve years, eight years, or what you have of periods, but to me it seems as though it's a little undisputed that there must be a breakdown where you first have a very long period and then a renewal – which I suppose, if it becomes the same person, is based on having good experience with that person – which is then very short. It would be better to look at other types of measures, where at least the length of the two periods was equal.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e181	I hear the reasoning of the Council of State. It is a pragmatic reasoning, which is set out as it is in the document – to adapt and normalise annual target periods in the country. I've heard that argument. That's not what I asked the council. I also didn't ask the Council of State about the fitness of Police Director Killengreen – I see it as significant – but I asked the question if the Council of State sees that being the head of the Police Directorate, the civil force of society, makes this directorate in a somewhat different situation than most other directorates to which you can compare it, when you know what position it represents in our society, what trust it should represent. That's the question I asked the Council of State Giske, and that's why I repeat it.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e186	It's supposed to say that twelve years is very long, but at the same time I don't understand the opposition's attitude, to hold on to six plus three. Then you should suggest four plus four as an alternative. Because if you have had a person in such a position for six years and then you see that this has worked extraordinarily well, so well that you even think about appointing the person for a new period, I don't see the need to limit the period to three years. I believe that this is right, as the proposal implies, with the same service time in the second period as in the first. So this is not in the proposition justified in a personnel case, an individual matter. I have to say that I am reacting a little specifically to the comments of the Advance Party, which goes on to a public official, that the Stortinget has the kind of subjective assessments. You have to look at the principle, and our view is that it's right with six plus six years.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e193	The cord shift is over. No more people have asked for the floor on case No. 1st@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2009-03-23-lower.ana.ud2546e203	Odelstinget then goes to voting.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e252	The Progress Party, Right, Christian People's Party and Left have warned that they will vote against the first paragraph of Section 19 and II.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e268	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e280	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2009-03-23-lower.ana.ud2546e311	Thus, today's map has been processed. Does anyone ask to speak in accordance with Rule 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting has been cancelled.
