Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-BQ8dtftkuwhpor9i8CsgBV	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4980750	Strandhäll, Annika	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-hcbjmRNG31BJQmD7aLnCa	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-CQ8N1tP1d8JCzofxc5dKp3	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18238692	Ericson, Janine Alm	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-KKFsy5w4LnDw6m21FCLkWz	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-KR9PPTuZbWssHk4zgUpFD3	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q63533075	Farmanbar, Khashayar	M	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-871MhvywESBFUs74SQfyGD	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-PQtbyM2C1hjP7iGvpowqbm	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q63533075	Farmanbar, Khashayar	M	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-Pzes1jqmkvpj7cejH76LgP	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-E3oNiUwRxv5MPHRSiwik9q	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q63533075	Farmanbar, Khashayar	M	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-MRAeSfoAcSUr1LfFxcntf7	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71132178	Johansson, Martina	F	-	
ParlaMint-SE-en_2022-05-13-prot-202122--113	i-911LSx33iZXn2REsnYV6Za	Swedish parliamentary corpus ParlaMint-SE-en, 2021/22 nr. 113	2022-05-13	Unicameralism	2021/22	-	-	2021/22--113	-	COVID,War	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q63533075	Farmanbar, Khashayar	M	-	
