Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u1	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u12	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u13	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	AriTorniainen	Torniainen, Ari	M	1956	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u14	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u15	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Regular	MP	notMinister	KESK	Centre Party	Coalition	Centre	JouniOvaska	Ovaska, Jouni	M	1986	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u16	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u17	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Regular	MP	notMinister	KOK	National Coalition Party	Opposition	Centre-right	PaulaRisikko	Risikko, Paula	F	1960	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u18	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u19	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Regular	MP	notMinister	SDP	Social Democratic Party of Finland	Coalition	Centre-left	SunaKymäläinen	Kymäläinen, Suna	F	1976	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u20	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Chairperson	MP	notMinister	KESK	Centre Party	Coalition	Centre	AnuVehviläinen	Vehviläinen, Anu	F	1963	
ParlaMint-FI-en_2021-02-12-ps-8	ParlaMint-FI_2021-02-12-ps-8.u21	Minutes of the Finnish Parliament's plenary session 8/2021, 2021-02-12	2021-02-12	Unicameralism	Vaalikausi 2019	Valtiopäivät 2021	Täysistunto 8	2021-02-12	-	COVID	English	Regular	MP	notMinister	PS	Finns Party	Opposition	Right to far-right	MauriPeltokangas	Peltokangas, Mauri	M	1966	
