ParlaMint-NO_2022-01-19.ana.ud1e28	The representative, Mr Grete Wold, will put forward a proposal for a representative.
ParlaMint-NO_2022-01-19.ana.ud1e266	To the main entrance to the question, which is the difficult situation Norwegian students have been in related to pandemic control, I am 100 pst. Agreed. There has been a very demanding situation both for students in our school and not least for students, who now in two years have barely had a normal everyday life. I think it's hard to imagine how difficult and heavy it can be, because it's all about what it's not supposed to be about, and it's also having consequences for solitude, social isolation and lack of interaction with both the place and others. We have addressed this with quite extensive crisis packages for the students and the relationships, and it is now under treatment in Stortinget. What I have to offer in my field are arrangements through the Loan Fund, so ask the representative about the daily allowance, it is with another State Council. So far, Stortinget has not been willing to open up a daily allowance for students.
ParlaMint-NO_2022-01-19.ana.ud1e273	Then we move on to the next main question.
ParlaMint-NO_2022-01-19.ana.ud1e279	My question goes to the Minister for Fisheries and the Sea. First of all, I would just like to say that I think it is very good that the new government has extended the work area to the Minister of Fisheries to sea too, that one simply sees fishing as part of the sea, that one sees it together. It's very positive. Yesterday, a press release from the government announced that 53 new extraction permits have been granted to the oil industry. As stated in the press release, this is a search round in the most mature areas of the Norwegian base. It will involve both seismic investigation, search drilling, extraction, etc. in these areas. In the press release, there is not a single word about fish. This is an area such as: Includes the Egg Border, close to the border of a well-known Norwegian fishing area, Tromsøflaket, contact with the ground of Mallang, which is a very important fishing area for large parts of Troms and Finnmark and parts of Nordland, and it is spawning ground for mackerel and sandeel. It goes right into what should be the point of a government council in this field, that one should fence around the areas that are decisive for Norwegian fishing, so that one does not do anything to ruin Norwegian fisheries. I haven't seen anything else from the fisheries authorities, from the trade unions, that they're opponents of the expansion of ever-new search areas. These are directorates and trade unions on the Council of State's territory. Does the Council of State see the problem in a fisheries and maritime policy perspective that oil is being supplied in these areas?
ParlaMint-NO_2022-01-19.ana.ud1e290	First, I would like to stress that the question of oil exploration, TFOs, which is the main entrance to the question from the representative of Fylkesnes, lies within the constitutional responsibility of the Minister of Oil and Energy. That being said, it is important for me to state that, for the Minister for Fisheries and the Sea, it is absolutely essential that fisheries interests are respected, regardless of the kind of other industries in the sea. The fact that you're taking a new TFO round is hardly surprising to this assembly. What has already been clarified is that there is not going to be a new concession round, but exploring further in mature areas is part of the government's policy that I believe has a wide opening up in this hall.
ParlaMint-NO_2022-01-19.ana.ud1e297	I hang myself very much in the grip of ‘mature area’, that the Council of State in the field of fisheries only adopts it. Mature for who? The Council of State is responsible for fisheries. This is a rich area for fishing. It's a fishing area. Several have also defined it as a fish field. This is the spawning area for mackerel and tobis. Tobis has already been challenging quite a lot in the North Sea, but now there are additional challenges for a key population of Norwegian fishing. The council says it's outside of his constitutional responsibility, but what I think is wrong. The Minister for Fisheries is responsible for fisheries. These are decisions directly applicable to fishing. You cannot point to any other government here that takes responsibility for your fishing. Then the question is, does the Council of State see this as problematic at all? Have any calculations been made by his department as to what consequences this will have for Norwegian fishing?
ParlaMint-NO_2022-01-19.ana.ud1e304	We have a long and good story where the biggest findings are about us being reasonably good at coexistence in our country. This is the basis for us being able to develop a world-leading petroleum industry while last year we set a new record in maritime food exports. We have a good administration that interacts well. My responsibility is to ensure that fisheries have the opportunities for development they need. Over the past 50 years, we have developed a marine industry that contributes heavily to lighting in the houses, to jobs in coastal communities and to two thirds of maritime food exports. Yes, it's important to be the leader where, it's important to be careful, but I think we've shown through a long history that industries can coexist in our marine areas.
ParlaMint-NO_2022-01-19.ana.ud1e309	There will be follow-up questions – first Torgeir Knag Fylkesnes.
ParlaMint-NO_2022-01-19.ana.ud1e314	I have to say I'm disappointed in the answer, so Norway is so insanely good at coexistence. Where did one of them come from? We know that it was devastating for the sandeel population last one opened up for search in the North Sea. It was in the middle of a very important spawning ground for the tobis population. We know how other types of activities at sea also affect, whether it's military activity outside Andy Island, or there's farming activity along the coast. We know that this affects. There's a lot of reports about it. That co-existence is not a problem for it would marine life in the sea, is wrong. We're not there in Norway that we can just put in all the possible activity, and then it gets no consequence. Finally, the question is whether the Council of State will carry out a survey in consultation with fisheries policy authorities, the authorities, on the implications for fisheries.
ParlaMint-NO_2022-01-19.ana.ud1e319	First, if the representative wants to quote me from what I said, I would ask him that I be represented on what I actually said. I have never suggested that we are insanely good at coexistence. I spoke quite differently. It's also like if we look back, we have many good examples of how we get coexistence to work well, but we also have examples that it doesn't work. We have to learn from that, but basically I want to say that we're good at it, and it's a competence, a knowledge and a culture that I want us to work on. Then there is probably a distance between SV and the government parties related to how to look at the future of Norwegian oil and gas industries. The government has determined that we want to develop – not liquidate – and build new industries on the shoulders of the oil and gas industries. It's probably like when we're making up the state budget, we don't just have to make sure that the expenditure goes to – we're also going to have enough industries to have a revenue page that goes along with this.
ParlaMint-NO_2022-01-19.ana.ud1e326	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e331	The main source of income for Norway historically has our fisheries, and there is clearly a large difference between the SV and the government party. We want to fence if they wanted to marine the species in the sea. Everything suggests that it will be much more important for Norway’s income in the foreseeable future if one manages to make a viable use of it. That's why we're so hard on it. So there's one thing that's very similar to this one, that's about using the ocean. This is a project that was set down by the former government council in the area, the Ingredient from the Right, where he later saw that there was a great conflict about the use of the sea on the coastline and the fjord lines. One with today's legislation may grant exemptions to large shrimp boats with 700 nets, so that they can enter e.g. Breivikfjorden, South Island, for fishing. As a result, the smallest boats are being pushed out and winter fishing destroyed for them. The public was interested in simply inserting a hard destination against it in connection with the regulation. Why has today's Council of State stopped that work?
ParlaMint-NO_2022-01-19.ana.ud1e338	To the representative of Knag Fylkesnes on the ambitions of the Norwegian fishing industry, I can only say that I fully share it. We can create more. Norwegian fisheries could contribute more to the community in the future. But I am also absolutely sure that we need to develop new industries in the sea. We all know that the oil age is at some point over, and then we have to be able to take advantage of the opportunities for other industries in the sea. We can provide more climate-friendly food for a growing world population, we can create more energy from the sea. The possibilities are great. I have been given a great responsibility to present and develop nutrient plans for the Norwegian sea areas. It's a work that we're going to do. I have a very clear position on the question of hailing, and that is that competition is okay even when you are in the field, but competition must be in the same weight class. So hailing and ensuring that the coastal fleet has access to the fjords alone when it pulls fish into the fjords, is important to me, and it's a work I'm also going to follow up on.
ParlaMint-NO_2022-01-19.ana.ud1e347	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e353	That's exactly what I want to get some more information about the Storting. It is this work that was started by Ingreichsen, where one saw that the coastal fleet was pushed by the large seagoing vessels because one had granted a derogation so that they could go into the fjords to fish with a completely different type of capacity, i.e. 700 nets. The size can only imagine the effect it has and the likely damage done to the coastal cod, which has had a significant impact on the export value of Norwegian fish. The same thing with the damage it does to coastal communities, which have a fleet that is much smaller, which depends on these areas, especially in winter, where they are increasingly forced to go further into the sea, with the security challenges it has, including for value creation. Finally, even a Right State Council was completely overconfident that this could not continue. Why in all the world does a derogation exist when such a type of vessel can so dive into the rocks? Now we should have clear rules and no exemptions. The government announced that it would come in connection with the allowance adjustment for 2022, but this council did not. This state council stops it. Why?
ParlaMint-NO_2022-01-19.ana.ud1e362	It's not like this Council of State is stopping it. We must have a system of bartering where the smallest fleet has the first right to fish in the areas most suitable for the smallest fleet. Some reason why we also have a large seagoing fleet is that it can also collect these resources when there are no fish available nearby, and to ensure that our industry can have access to raw materials throughout the year. So I'm concerned about what's going on here. I think that going as far as there can be no exemption is something we need to look at, because the goal is also that the whole quota should be fished out. I fully share Mr. Knag Fylkesnes's view that the smallest vessels must have a clear priority right and that it should only be when there are particular reasons for dispensing the larger fleet from entering the fjords.
ParlaMint-NO_2022-01-19.ana.ud1e371	Linda Hofstad Helleland – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e376	I'm following up where the representative of the County left off. Norway has very high ambitions for the sustainable marine economy, protection and use of the sea, not least following the initiative of former Prime Minister Erna Solberg. But we also have conflicting interests that stand up to each other. That is why I was happy when I saw that we were going to have our own sea minister. What is still a little unclear is how the Constitutional Responsibility of the Minister of the Sea actually is – and we hear that from the answers given to the representative of Fylkesnes. For concrete reasons, what role has the Minister of the Sea overarching to address challenges that will arise across different disciplines? And is that how to understand that the Minister of the Sea has the overall administrative responsibility for these clarifications?
ParlaMint-NO_2022-01-19.ana.ud1e381	Liability as Minister of the Sea can be expressed in several ways. Two of them are firstly that I am specifically responsible for coordinating the development of green shipping, and the second is that I have a responsibility to develop the nutrient plans for the North Sea, the Norwegian Sea and the Barents Sea. It does not lift sectoral responsibility, but it gives me a coordinating responsibility in those areas. The list is not inexhaustible. The two most important areas that I'm working on are just this. I think we're just going to take over, and we've probably done that a long time ago, that even though our marine areas are five to six times as large as the land areas, we shouldn't dream away and think that we're avoiding land conflicts and different industrial interests that run into each other in the marine areas. We have to live with that. We have to do that in a good way, and it's a responsibility that I know very well.
ParlaMint-NO_2022-01-19.ana.ud1e388	Alfred Jens Bjørlo – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e393	I want to continue where the main question starts, namely, that we have a sea minister who is said to have a more holistic responsibility for the sea, but who, in the opinion of the Left, is going to slip away as soon as there are concrete issues that we have to actually make these important deviations for the marine environment, for fish resources and for fishermen. I find that we are not getting a good response to the new extraction methods for oil. I want to challenge the Council of State on another matter. It is the question that Norway, as one of the few countries in the world, allows the dumping of mining waste into the sea. A comprehensive fishery and aquaculture industry is now strongly calling on the government not to grant the permits in the Fördefjord until the impact on fishing is significantly better mapped than today. They have asked the government for a meeting. The Council of State says that he will always stand up for fishing. Will the Council of State at least say yes to meeting a comprehensive fishery and aquaculture industry to elucidate the problems associated with the dumping of mining waste in the sea?
ParlaMint-NO_2022-01-19.ana.ud1e400	I have almost weekly meetings with stakeholders in the fisheries and aquaculture industry. There are good meetings, where we have an agenda that both the ministry, the state councils and the fisheries organisations are involved in influencing. So those meetings will continue in the usual way. It's not to slip away, which is the word usage suggests here, but I think we're going to fence that it's the constitutionally responsible state council that answers the Storting to concrete issues that are being raised. At least it's an approach that I'm not going to challenge.
ParlaMint-NO_2022-01-19.ana.ud1e407	Let's go to the next main question.
ParlaMint-NO_2022-01-19.ana.ud1e412	I'm going to take up the student situation. Before Christmas, I met the students' representatives in Bergen, Trondheim and Kristiansand to listen to their recordings, taking into account the very special situation in which we are all in, which students have also been in, and continue to stand in. The students describe in the meeting with me how living with great limitations has gone beyond study progress, social life and the ability to participate in a normal study period. What they say should worry more than me. With increased vaccination rates and a milder virus variant, the government has signalled that the corona measures are being facilitated. That's good, but at the same time we hear that the introduction of normal education and normal attendance for the students is waiting. The students have been hit hard under the pandemic. Many have been sitting alone on small shelves, and many have lost their jobs. Studies show that almost half of the students experience severe psychiatric symptoms, less professional benefits in digital education, and two out of three students have reduced the provision of education. It's a heavy and demanding situation for a lot of our students. So getting the students back on campus is very important, and it's urgent, because now both the students and all the employees in the education sector need a normal everyday life. Normality is not only reassuring, but it also provides better professional benefits and social conditions where friendship and close ties can develop. Throughout the pandemic, universities and colleges have shown that they are good at infectious diseases. While high school and adult education after considerable pressure are now finally back at green level and do not need to relate to 1 meter, it is strange that the government recommends continuing to keep a distance from universities and colleges. I would therefore like to ask the Council of State: in view of the long-standing, difficult situation for the students, has the Council of State intended to take active action to ensure that students return to campus as soon as possible? And in that case, what kind of grip is the Council of State going to take?
ParlaMint-NO_2022-01-19.ana.ud1e425	When it comes to understanding reality and describing it, I'm going to split up what Raja's representative is dealing with. There is no doubt that this has been a very demanding situation both professionally and socially for many of the country's students. That is why I was very pleased when we changed the legislation last Friday. Campus has never been closed in this round, but we then presented a clear expectation that the students will now return to campus. All students shall be offered physical attendance and physical training. As far as I know, universities and colleges are already doing this, from this week on, and my clear expectation as the responsible state council is that universities and colleges will follow up. My clear impression is to the extent that they do. I feel that there is great impatience in the sector, both from the teaching side and from the student side, in order to get started and get a daily life that is more normal than it has been. Then we're not quite back to normal yet. There are still some limitations. There are still recommendations to keep a distance, and of course there is a recommendation to pursue education within a responsible infectious disease prevention framework. I think that's natural at the time we're in the pandemic now. Hopefully, our health services will make recommendations in the future that will allow us to take back an even more normal everyday life. In that case, I am very pleased. I think both myself and the representative Raja and the rest of the room are crossing their fingers and everything else, so that in not too long, we all get a normal everyday life.
ParlaMint-NO_2022-01-19.ana.ud1e435	It is good to hear that the council shares the situation description, but my question was whether he had intended to take some active grip to make sure to bring them back to campus, and what kind of grip. I didn't get that, anyway. You can ask questions about whether it really makes sense that it is now easier for students to gather in pubs than in a colloquium or in a lecture hall. We in the Left support pub decoration, but it should be a paradox – also for the Council of State – that it is easier to drink beer together than to study together. And if you're going to take the real signs of the contagion people, the students of the groups that are least at risk when they gather, that is, 20-year-olds with a double vaccine. So to take another concrete question, when will the Council of State provide as much physical education as possible, even where it is impracticable to keep one meter away?
ParlaMint-NO_2022-01-19.ana.ud1e442	All of them first: now Raja is deep down in the infectious recommendations that the government has based its rounds on in the last round. Of course, the representative is free to do so, but I would also like to remind him that his own government largely built up the measures that were taken – measures that were not less invasive – on exactly the same infectious diseases professional advice that this government is using. What I was trying to figure out was that we've already taken steps to get students back on campus, precisely because we share the reality of the fact that it's hugely important. It was presented at the end of last week, and as far as I know, that job has already started. There is a clear expectation from the government that all students in Norway should have part of their study offer related to physical attendance and normal interaction between teachers and students. Finally, there are exceptions to the recommendations we have made to the sector, which allow for deviations from the 1 meter where necessary. It is handled by the sector itself.
ParlaMint-NO_2022-01-19.ana.ud1e451	Abid Raja – for follow-up questions.
ParlaMint-NO_2022-01-19.ana.ud1e456	If I were a state councillor, I think I'd be a little careful to compare with the previous situation, when no one in the world had any experience with the corona virus, when it hit a whole world in a very extreme way, and when we didn't have any vaccination, as we have now. The previous infection situation, the delta variant and the mutant virus that emerged, and the current situation, with omicron – as we know is much milder – and a vaccination rate in Norway that we know is extremely high, I do not think are entirely comparable situations. What I miss is a state council that actually fights for the students' cause and targets this. But I don't get any answers to any of the questions I've asked, whether the Council of State intends to take any active action, both to help them back on campus and to facilitate as much physical education as possible. Is it correctly understood that the Council of State has not itself intended to take any active action to ensure that what I have addressed in these questions is achieved?
