ParlaMint-NO_2022-03-02.ana.ud27e28	The representative, Tobias Drvland Lund, will make a proposal for a representative.
ParlaMint-NO_2022-03-02.ana.ud27e118	The Minister of Foreign Affairs is probably right that she will have many specific questions during the Question Time, and there comes one here: Two weeks ago, I asked the Prime Minister about a specific request that Ukraine made to Norway in December, which referred to donations of medical devices, mobile hospitals, ambulances, etc. It has to be delivered quickly. Ukrainian authorities have provided fairly specific lists of equipment they need. The Prime Minister did not take a position on this at the time, but it would be useful to hear whether the Minister for Foreign Affairs has an assessment of whether this might be relevant for Norway to contribute in the very short perspective.
ParlaMint-NO_2022-03-02.ana.ud27e123	I believe that we should now contribute what is necessary. But in such a situation, there are very many countries that have strong ties to the money they give. When I met all the humanitarian organizations in Norway, and when I met with the International Red Cross, I said that what we want to give is funds to the international community, so that the funds are as free as possible and we don't label them as special things. That is what is fundamental to the Norwegian position. Because, as the Danish Development Minister said, as I spoke to half an hour before this Question Time, we see that the big problem is to make logistics work and get help into Ukraine. We see that these are heavy cows in front of the gas stations. So that's the most acute problem right now. The basic thing for Norway is that yes, we do, but it is up to the humanitarian organizations to define what they need.
ParlaMint-NO_2022-03-02.ana.ud27e130	There will be follow-up questions – first Ingerd Schou.
ParlaMint-NO_2022-03-02.ana.ud27e135	It is very positive that the government increased Norway’s humanitarian contribution to Ukraine in the light of the current invasion and crisis. We both assume and support that the government is continuously assessing what contributions Norway can make, in consultation with our partners and allies. However, I am told that it is difficult to get in touch with international humanitarian organisations working in Ukraine, from Ukraine. It is absolutely essential that the help we provide comes out, and my question is whether the government is experiencing an overview of how Norwegian contributions are managed by the ground actors in Ukraine.
ParlaMint-NO_2022-03-02.ana.ud27e140	Some Norwegian organisations have long worked in Ukraine, and they say that it is difficult to come up with assistance, especially in the Russian controlled areas. It's hard to access. So that's probably the most precarious right now. But many organisations have personnel on the ground. They are now in increasing danger. Journalists are now being withdrawn. Then there are the auxiliary workers who are left, and they may be exposed, in this terrible war. Then there are very many who are now operating from the countries bordering Ukraine. We're going to support them all we can, in different ways, and I'm having regular dialogue with them to get information about the situation.
ParlaMint-NO_2022-03-02.ana.ud27e147	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e152	Russia's cruel attack on Ukraine has brought Europe to war, and we have seen how a country without membership in NATO has been exposed to the worst war acts in Europe after World War II. We have been reminded that we cannot take peace, freedom and democracy for granted. Given Russia's aggressive rhetoric and actions, it is now essential for Norwegian security that we are a member of NATO. The Progress Party believes that it is beyond doubt that the defence budgets in Norway need to increase in the future, so that we can take greater responsibility for our own security. The government has chosen to rely on the Socialist Left Party, which is against Norwegian NATO membership, and which has what I would call a naive approach to foreign and security policy. It is now known that SV does not support Norway sending weapons to Ukraine either. Does the Minister for Foreign Affairs think it is right for the government to continue to rely on SV, who wants to leave NATO, and who has a naive attitude in foreign and security policy?
ParlaMint-NO_2022-03-02.ana.ud27e160	What is important in terms of foreign and security policy is that, in order to use a foreign word, the government has a so-called prerogative or a right of preference. We seek to involve Storting all that we can. It's not always as easy when there's a crisis situation as it is now, but we're doing it as best we can. But it is not that we need decisions from a large majority in the various foreign policy assessments we are making. What will be fundamental to me is to seek broad dissension in the Great Britain about the foreign policy assessments we are making in this situation. So I disagree with SV and Red in the view of NATO, and I think there's going to be a big discussion about security policy. We also see that in our neighbouring country. But I think I should leave the polemics in this round and just notice that here we disagree, and we have actually been since SV was established.
ParlaMint-NO_2022-03-02.ana.ud27e167	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e172	It is the case that budgetary questions need a majority in favour of the Stortinget, and we are concerned that SV should have a hand on the steering wheel. We have today a situation that none of us would have thought would arise. A great act has attacked a sovereign country in Europe. Russia has shown that those who show great concern for weaker nations without alliances. In a debate on defence and security policy at the beginning of February of this year, the leader of the Communist Party Red in Norway, Bjørna Moxnes, stated that Norway acts as a carrier for the United States. «Is it our security that we become a platform for military fighting against Russia?» In an interview with the Nett newspaper a few days ago, Moxnes confirmed that Red is still against Norwegian membership in NATO, and that it does not serve us to be in the alliance. What does the Minister for Foreign Affairs think about this kind of attitude that is being expressed towards the United States and NATO, which are the foremost guarantors of Norway's peace and security?
ParlaMint-NO_2022-03-02.ana.ud27e181	Now a survey yesterday showed that there is an enormous majority for Norwegian NATO membership, and it is not threatened even if Red makes the polls. I disagree with Red in the view of NATO. I believe that what has been fundamental to Norway since we decided to become a member of NATO in 1949 is that we must both have a credible deterrence, and that we must be calm. I have written some readings against Red's defence and security policy in the past and have made clear the great distance between my party and Red. What may have been the basis for the establishment of Red was just protesting against the Workers' Party's security policy, so the disagreement is fundamental between the two parties.
ParlaMint-NO_2022-03-02.ana.ud27e186	Guri Melby – for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e191	There are dark days in Europe, and I am proud that Norway is now supporting Ukraine along many different axes. There is a great need to equip Ukrainians to continue their strong resistance to overpowering, not least, to accept large refugee flows. Yesterday I met the Ukrainian ambassador here in Norway. He also said that he was very pleased with the support that Norway now provides, and that it means a lot to both the authorities and the Ukrainian people. What I want to ask you is a little bit about what we're going to do, because he was also very clear that this is just the beginning, and that there will be a lot more to be needed. We have raised a proposal in the UK about financial support, so that Ukraine itself can also acquire more weapons, and we have proposed up to 1 billion. kr in the first place. Is there anything the government has assessed? So to my second question: we have now joined the EU in strong and strong sanctions, which is very important, but the EU also stands together for a separate fund within the European Peace Facility, which can also contribute to supporting Ukraine. Has the Minister for Foreign Affairs taken initiatives towards the EU to enable Norway to contribute to this fund?
ParlaMint-NO_2022-03-02.ana.ud27e200	I think it is wise now to say that we are assessing everything, and to the one who has followed the discussion about whether we should send weapons: it showed that there were many political parties that changed during Sunday and Monday on what has been a very long practice in the Norwegian view of delivering weapons to countries where war and conflict threaten. It was the ground situation that triggered a changed understanding of how to practice that legislation – there was no need for a change of rules. I almost have to say to the representative that we have all proposals for evaluation. What I do all the time is talk to my European colleagues, and then we have a list of proposals that we have up to date. The important thing for Norway is to appear together with the other European countries.
ParlaMint-NO_2022-03-02.ana.ud27e207	Let's move on to the next main question.
ParlaMint-NO_2022-03-02.ana.ud27e212	Then I am delighted to welcome the Minister of Oil and Energy to the Questionnaire. The Russian invasion of Ukraine shows the boundless brutality and cynicism that make up Putin's authoritarian regime. The financing of the Russian war machine is largely based on European dependence on Russian gas, which Putin has long used as part of his cynical power game. During the election campaign in the autumn, much of the political debate in Norway was about an increasing number of parties wanting to abolish the Norwegian oil and gas industry, for the sake of the climate. As the only party, the Progress Party consistently argued that such an energy policy would only mean that we weaken Norwegian energy power and other democratically dependent energy powers and similarly strengthen the power of brutal and authoritarian regimes, such as Putin's Russia. Norway is today a power of energy in Europe. We are the world's third largest gas exporter, and we supply the EU with about 25 pst each year. of their gas consumption. The second major act is Russia, which produces about 40 pst. of the EU's gas needs. When an aggregate increase now seems to agree to punish Russia’s invasion of Ukraine harshly with financial sanctions without any historical similarity, at the same time large parts of this will choose to ignore the fact that European gas dependence on Russia is a problem that can and should be resolved with increased Norwegian gas exports to the continent. The EU has specifically consulted the Norwegian authorities if we can deliver more gas. The government's answer is that we already export as much as we can. What can Norway do in the long term to increase its gas production and export capacity to a Europe that is now desperately trying to get out of Putin's energy mine?
ParlaMint-NO_2022-03-02.ana.ud27e223	The war in Ukraine is now entering its second week, and every day we see images that make a strong impression. We are constantly receiving new reports of a brutal war, and Ukrainian forces are fighting bravely and resisting. I understand that many people are also concerned about what is happening in Europe, and how this will affect everyday life here at home. We are now in a situation where energy, the energy sector, is part of the sanctions package. It is, as the representative Halleland describes, that much of Russian gas is exported in Europe. Norway is a country that exports a lot of gas. We export almost everything we produce from both oil and gas. We're a producer country, we're not a country that uses this for itself. As it works on a Norwegian base, we sell everything we produce, all the time, and we keep doing that. We have also taken some steps to see if we can get more out of what is. That is why we are now examining applications on an ongoing basis to look at gas injections, and we have authorised them, among other things. to Gina Krog, Oseberg and Troll that they may not inject gas, but rather export it. We will continue to deal with that kind of proposal. In the long term, we have just completed a TFO round that has given 53 new permits, and we are about to announce a new TFO round. Our main contribution is to be a stable contributor and to supply Europe with gas.
ParlaMint-NO_2022-03-02.ana.ud27e236	I thank you for the answer, but I'm a little unsure whether it came very new out of it. The first Workers' Party and the Center Party did when they came to government in the autumn was to give SV the power to dictate the future of Norwegian oil and gas industries, against which the Advance Party repeatedly warned in advance. Then, in the budget agreement between the three parties, there was an agreement to stop the search for oil and gas in immature parts of Norwegian Socket through the 26th-numbered concession round. In view of the fact that we have a Europe that now thirsts for Norwegian natural gas, and has specifically asked us to deliver more gas, and at the same time we have a despot in Russia that uses European dependence on Russian gas for everything it is worth in a cynical power game: does the Council of State think that a decision that will weaken Norwegian energy power and, in the worst case, will further strengthen Putin's energy mine over Europe is sensible energy policy?
ParlaMint-NO_2022-03-02.ana.ud27e244	Norway provides stable gas supplies to Europe and the United Kingdom. We're going to keep doing that. An important part of this is to keep looking, producing and extracting. The main support of Norwegian petroleum policy is the TFO rounds. I have noticed that the Progress Party in the dramatic crisis now faces Ukraine and Russia has used it to promote that the numbered rounds should have been completed. But I would like to point out that numbered rounds will not have an immediate effect on Norwegian gas production. So it's a track that's not important to follow on, given the situation we're in here and now. The TFO rounds are thus the support beam of Norwegian petroleum policy. It is also reasonable to use existing infrastructure and to produce closely or in conjunction with the existing infrastructure.
ParlaMint-NO_2022-03-02.ana.ud27e253	There will be follow-up questions – first Sylvi Listhaug.
ParlaMint-NO_2022-03-02.ana.ud27e258	After yesterday's UN interim report on the climate, the reactions did not leave any representatives in this room. The left thought this had to be the nail in the box for the search for more oil and gas. Lars Haltbrecken from the government's supporting party, SV, continued to blame for the oil and gas industry. On questions from the NRK whether it is a good idea to distribute several licenses on a Norwegian base, the Workers' Party's Espen Barth Eide also chose to doubt the whole future of Norway's main industry, in a vague response that the entire Norwegian economy, including the oil and gas industries, now needs to be tested against the 1.5 degree target. The government entered into a budgetary agreement whereby the SV, who will shut down the oil and gas industries, dictated that 26th concession rounds, which will give oil companies access to new exploration areas, were iced up. We realize that this won't give any effect in the short term, but in the long term. Can the Council of State guarantee that 26th concession rounds will be carried out? When will that happen? I hope for an answer now, which we did not get at the NRK earlier today.
ParlaMint-NO_2022-03-02.ana.ud27e265	There is no drama in the fact that the 26th concession round was not completed in 2022. The 25th round ended last year, and there were new allocations. We have just completed a TFO round this year and allocated 53 new areas in the Norwegian Sea, the North Sea and the Barents Sea, and we are now notifying that we will be making a new TFO call, which will be held at the hearing. Numbered rounds will be part of the government's policy for the future, and I think we're going to issue a numbered round, but that's not going to happen during 2022. That is because TFO is what is the bearer of the petroleum policy. That's where we can now unleash the greatest potential, and that's what government policy is – that we want a stable and predictable petroleum policy, where the poles are solid.
ParlaMint-NO_2022-03-02.ana.ud27e272	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e277	My follow-up question is to the Minister of Foreign Affairs. Europe, with Germany at its head, has long pursued irresponsible climate and energy policies that are phased out in a way that can be regulated. It has led to increased dependence on Russian gas and given more power to the despot Putin and Russia. The Germans, together with Russia, have built the North Stream 2 pipeline. Fortunately, it seems that this isn't now being opened. The Americans have been strong against it all along, precisely because they feared that Europe would become more dependent on Russian gas. When the Committee on Foreign Affairs and Defence was in the United States, several people were concerned about Norway's role in this, that we should seek more, find more, produce more and make Europe less dependent on Putin. If there are now invitations and requests for Norway to speed up the search for new oil and gas resources to make Europe and the world less dependent on Russian oil and gas in the short and long term, how will the government deal with such enquiries?
ParlaMint-NO_2022-03-02.ana.ud27e286	It's too early to say. It's not my constitutional responsibility either, but I can say something in general. We have been talking to various European countries for a long time about Norwegian energy policy. I myself was in the EU for a while, and there were many there who wanted to stop all oil and gas production in the Arctic. I have explained carefully that there is a need for gas during a transitional period, and many of those who then asked us to stop producing gas, now ask us to pump up faster. It has been important for me to communicate what is Norwegian energy policy, to aim for a renewable future, but in the future we need gas for a transitional period, and to use the knowledge we have as an energy nation to build a renewable society.
ParlaMint-NO_2022-03-02.ana.ud27e291	Ove Trellevik – for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e296	It goes to the oil and energy minister, after the round that was with the Progress Party in place. The European Commission has pointed out that natural gas is an important source of energy transition in Europe in the future. There is a lot of talk from the government about the TFO rounds, but forecasts show that both oil and gas exports will be greatly reduced in a few years’ time. In connection with the presentation of the 2021 Socket Year, which was on January 13th this year, the forecasts from the Oil Directorate showed that a total of 56 pst. of the undiscovered resources exist in the areas that Size has already opened. This means that there is still a significant potential in areas that are already open, including outside TFO areas. [[President clubs]] Oil companies have nominate blocks in these areas What is the government's strategy when it comes to future unopened areas?
ParlaMint-NO_2022-03-02.ana.ud27e303	The President has been kind until now, but it is important that people relate to the speaking time they have received.
ParlaMint-NO_2022-03-02.ana.ud27e308	I may have misunderstood the question, but I just announced that we are going to have a TFO call in 2022 and that it is now going to the hearing. So I can then demand that it not happen. In the case of Norwegian oil and gas production, it is important – and I fully agree with what the Minister for Foreign Affairs has said – that we should be a stable producer of Norwegian gas and oil, which enables us to deliver to world markets. Overall, the fields on the Norwegian base stand for 2-3 pst. of the world's supply of oil and gas, and we are prepared to continue to be a reliable supplier. Nearly all Norwegian oil and gas go to the EU and the United Kingdom. We cover up to a quarter of the gas consumption in the EU and the United Kingdom, mainly delivered through our gas network.
ParlaMint-NO_2022-03-02.ana.ud27e316	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e321	The representatives from the Right and the Advance Party are asking the wrong questions. It is absolutely right that we have to increase the production of gas and oil at most now, for a short period, in existing fields and in some new fields. But the transition period for gas, which the Foreign Minister spoke about, is shorter, both because the IPCC report, the climate report, says it needs to be shorter, and because Europe takes it and its dependence on Russia seriously. So they'll end up with gas much faster. Therefore, the question we now need to ask is: How will Norway help Europe to become less gas addicted? Then we need to have a positive picture of transfer cables, sea winds, hybrid cables and all the cooperation we need in Europe. Will the government reconsider its position on these, and will the Council of State give a mandate to the Energy Commission to look at our energy policy in the light of the security policy and the new situation in Europe?
ParlaMint-NO_2022-03-02.ana.ud27e330	I share the idea that it is important to have two thoughts in my head at once. We are to be a stable supplier of gas to Europe in the transition phase we are in, while helping us to achieve both our climate objectives and our up and down renewable energy. In the dialogue we have with our European partners, the achievement of renewable energy forms is an important part. That's what we're dealing with both nationally and internationally. All the other EU countries do the same. Our marine wind effort is an important part of getting more energy into the field. I want to clarify that we have given the NVE a mission to look at just the development of the web at sea, and how it should be further developed. What we've warned you, to get started quickly, is that the first 1,500 MW from Southern North Sea II will go straight to Norway.
ParlaMint-NO_2022-03-02.ana.ud27e337	Let's move on to the next main question.
ParlaMint-NO_2022-03-02.ana.ud27e342	My question goes to the Minister for Foreign Affairs. I'm going to talk about Ukraine, not about the Progress Party, although it's a little tempting to remind you that there's only one party that from the profiled team came out with games about Luhansk and Donetsk a short time ago that might not be as good today. We are all gathered around supporting Ukraine's struggle for freedom. Putin's war is illegal, and it's immoral. There is a conflict between democracy and dictatorship. There's a conflict between a small state and a great power that's going to settle and bring us back to a Europe we thought we had left, where a great power believes to be able to violate the limits of others to get what they require. In that situation, I think it is important that we agree on what we agree on, that we do not have a bid fight about who can bring the fastest and freshest measures or score the fastest party political points. I think there have been some examples of the bourgeois opposition doing so, even in a way that I think can give the impression that the government is behind, in a situation where it is important to take time, where it is important to make thorough assessments, and where there is a need to stand together. That's why I want the Foreign Minister to take my questions into account now. They're not required, they're input. It's about two things in particular. It's the oligarchs, the Russian economic elite, that keep society up. That's also why Putin's system is up. It's also why effective sanctions that just bite at them are so important. One of the characteristics of the Russian elite is that they have far greater wealth in tax havens than in Western countries. Will the government look at the possibility of an offensive against tax havens now, because they undermine the sanctions?
ParlaMint-NO_2022-03-02.ana.ud27e353	This is a lot of attention, because it's the oligarchs that have given Putin financial contributions and been part of his power base, you might say. We see that these sanctions hit them the hardest, and that's also been the purpose. I believe that there may be increased understanding among very many other countries to look at tax havens in this context. Norway has been more offensive than other countries, precisely because tax havens undermine the tax system in countries where there is an even greater need than in Norway to build well-being. I am more optimistic about cooperation with other countries about this now. Just look at what was the reaction of, among other things, Great Britain -- they went very, very hard on the oligarchs. In countries where they've had people who've put their money there, there's a lot of focus on this. I'm actually more optimistic about establishing arrangements, because we all depend on hitting an economic elite that undermines people's rights and contributes to a war.
ParlaMint-NO_2022-03-02.ana.ud27e360	I am also optimistic that it is now possible to bring countries that have opposed to more effective action against tax havens. It is necessary for the sanctions to be effective enough when we see how much Russian wealth has been swept down in these countries. Another part of going after the Russian elite is looking at the oil and gas companies, their power, and what Norway and Europe can do there. One last call to the Minister of Foreign Affairs, which I would like her to say a few words about, is that I think we are all deeply impressed by the courage of the Russians who dare, despite hard reprisals, to show their resistance to the war. One concern now is that there are very many arrested. We don't know much about what's happening to them. Free media is being turned on. We support the closure of airspace, but one consequence we still need to be aware of is that it is difficult for people with a different view to get out of Russia. Is the government following the situation of demonstrators and dissidents, and is there anything Norway can do?
ParlaMint-NO_2022-03-02.ana.ud27e369	The answer to that is yes. We've seen a lot of protests, and there's reason to think these will increase. As they increase, even tougher measures are likely to be put in place by the authorities and the space for freedom of expression is further restricted. This has been a long-term development in Russia. That's why we've been busy not wanting to hit the people-to-people cooperation. This is a good goal, but it is clear that it is more difficult in practice than before. We have seen that some of the voluntary organisations that have had partners on the Norwegian side have increasingly been controlled from Moscow. What we've been busy about now is not jeopardizing the lives of these activists, but we're very well aware of what message they're sending out. I know there are a lot of people who also talk to Russian friends now and get a lot of information. We have to do what we can to strengthen the voice of civil society in Russia.
ParlaMint-NO_2022-03-02.ana.ud27e376	There will be follow-up questions – first Lars Haltbrecken.
ParlaMint-NO_2022-03-02.ana.ud27e381	My follow-up question goes to the Minister of Oil and Energy. Renewable energy is freedom energy. It noted Germany's finance minister Christian Lindner when the German government on Sunday carried out a historic shift in its policy. It is now also evident when we see the dependence on a Russian aggressive state gas pipeline, on which Europe depends. Replacing all gases with renewable energy will take time, but reducing consumption can go faster. A fast way to reduce dependence is to contribute to a massive effort to improve the energy efficiency of buildings in Europe. Glava, heat pumps and solar cells are much more efficient and faster available than gas bets here on the base. Does the government have any plans to support Europe to become less dependent on gas and to increase its commitment to energy efficiency in the future?
ParlaMint-NO_2022-03-02.ana.ud27e388	I have had this conversation with my European colleagues in the last few days and weeks – including with the European Commission – about the fact that Europe now needs a strong supply of gas, but not least to provide renewable energy development, and energy efficiency is an important part of it. For some parts of Europe, it is also a matter of changing entire systems from gas to electrical pipelines into houses in order to make use of such energy. I think this is a very good idea of how we can work together with Europe to get to a Europe. We also plan to present a plan here in Norway – as we have adopted in the budget together with SV – for energy efficiency in Norwegian construction, and think that this can be included in international cooperation.
ParlaMint-NO_2022-03-02.ana.ud27e396	Lars Haltbrecken – for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e401	I thank you for your answer. This winter has also shown us that it is very expensive to rely on gas when the supply fails, as it has now done. It has given sky-high prices to everyone. At the same time, we have seen that in winter, the Norwegian government has spent a lot of time lobbying for the EU to be more focused on gas in the future, among others. by working to see gas as an environmentally friendly energy source in the EU. My question is whether the government, in the light of the crisis in Ukraine and Europe's vulnerability when they are so dependent on gas, will change its policy for Europe, and instead of praising increased dependence on gas, will now work to put more emphasis on renewable energy and energy efficiency?
ParlaMint-NO_2022-03-02.ana.ud27e408	I think it's a little bit important that we have two thoughts in our head at once, simply because the way I evaluate it, gas is also an important part of the energy transformation that's going to happen in Europe. Today it replaces a good part of much more polluting coal power. The last thing I want is that we see a bloom where you start up again the coal-fired power plants. I believe that we have to be able to do both, and with CO 2 capture and storage and with reductions in emissions on the base, Norway today supplies low-emission gas – and we will continue to do so. And I think it's absolutely right – and I think it was good input that I take with me – that energy efficiency should also be part of this, and we work closely with our European partners to build up new renewable energy. That's what's important here, replacing the demand for fossil energy with renewable energy.
ParlaMint-NO_2022-03-02.ana.ud27e418	Lars Haltbrecken – for follow-up questions.
ParlaMint-NO_2022-03-02.ana.ud27e423	Here at home we have seen that on the Norwegian base there are several Russian interests in the different companies operating there. These are companies that are either wholly or partly owned by, among others. the Russian elite and Russian oligarchs. My question is whether the government will now look at opportunities to throw these companies out of Norwegian soil.
ParlaMint-NO_2022-03-02.ana.ud27e428	There are currently no Russian companies active in extraction permits on Norwegian base. All authorisations for which Russian companies – as RN Nordic and LUKoil – have held shares have been decided upon by the rightholders and have not been offered to companies for the granting of new extraction permits in connection with TFO 2021. The Ministry has no requests for area from companies for treatment. Such a situation is now, with the Russian invasion of Ukraine, it is impractical to allow Russian companies to become rightholders on Norwegian pedestal. The Norwegian company Wintershall Dea Norway is a wholly-owned subsidiary of the German Wintershall Dea group, and in this German company one of the Russian oligarchs affected by EU-wide sanctions packages has a minority shareholding. We are now working on implementing the necessary follow-up steps to implement the actions that Norway has joined with the EU. We're working on this.
ParlaMint-NO_2022-03-02.ana.ud27e435	Then we move on to the next main question.
ParlaMint-NO_2022-03-02.ana.ud27e440	Russia's invasion of Ukraine is a gross violation of international law that we all stand together to condemn. Red wants strong sanctions against Putin and the oligarchs around him and believes that Norway must also go ahead to put Putin in charge of the attack on Ukraine. The UN Charter against War of Attack is crystal clear – what has been missing is the will to enforce the ban. However, in 2018, an addition to the Rome Statutes was activated that gives the International Criminal Court jurisdiction to judge the heads of state for international law-enforcement attacks. Several Eastern European countries that fear Russian aggression have ratified it. Today, Red has again proposed that Norway ratify the Appendix to the Rome Statutes and have a similar provision incorporated into the Norwegian Penal Code. If we do that, Norway will be able to issue an international arrest warrant against Putin in order to get him convicted of the international invading invasion of Ukraine – if the law enters into force while the Russian attack or occupation continues. Of course, investigation and legal proceedings must be independent, but there is no secret that many – also Red – want to see Putin behind the lock and fight for the attack on Ukraine. My question is: Will the government now support the proposal for ratification and legislative change, as recommended by the International Legal Commission, so that Norway can give an arrest warrant against Putin while strengthening Norway's national and international legal protection against attacks by foreign powers?
ParlaMint-NO_2022-03-02.ana.ud27e449	As the representative said, this was the proposal that Red delivered at the beginning of the meeting. When I get that kind of proposal from the Storting, the representative's party always gets a long answer that is a more thorough review of the different aspects of such a proposal. It has never been such that a proposal has been submitted in the morning, and that a minister stands ten minutes later and says yes or no, and that is not the case this time either. So we're going to have to wait for a discussion about this.
ParlaMint-NO_2022-03-02.ana.ud27e454	Then I have a good news. We also proposed this in 2020. It was for careful consideration in Stortinget, and the Labour Party took a position on the proposal, which is therefore identical to our proposal in 2022. The interesting thing is that Denmark was very clear at the time as to why they would not ratify the agreement as proposed. It was because they wanted to have the opportunity to go to war without a UN mandate. That is also why the major acts of Russia and the United States are opposed to ratifying the agreement. If the government were to say no to strengthen Norway's legal protection against attacks, and is also in favour of blocking Norwegian contributions to the investigation and conviction of Putin for an attack war, is it because the Norwegian government wants to have the same space of action as the Danish government, which explicitly said they would have the opportunity to go to war of attack without a UN mandate in the future?
ParlaMint-NO_2022-03-02.ana.ud27e461	There were very many and comprehensive questions at once. Firstly, it has been important for Norway to have a basis for international law for the military operations in which we have participated, and in these issues there has often been a fundamental disagreement between the Workers' Party and Red. Take, for example: the question of the Kurds' fight against ISIL, which Red has characterized as yes, they support the Kurds' struggle, but they would not join in and support the participation of Norwegian soldiers in this struggle. This is one of several differences in security policy between the Red Party and the Workers' Party. Nor do I share the relative approach that Moxnes has as a basic premise in the security policy, that there are two major powers that are closest to each other, the United States and Russia, and then Norway is going to take a different stance from these. So here we're essentially dividing.
ParlaMint-NO_2022-03-02.ana.ud27e467	There will be follow-up questions – first the Bears of the Moxnes.
