ParlaMint-NO_2022-02-16.ana.ud409e28	The representative, Sivert Bjørnstad, will present a proposal for a representative.
ParlaMint-NO_2022-02-16.ana.ud409e124	I hear the Prime Minister says it's an ongoing assessment. I don't think that's that much speed in that race, because this is the third question-trap where we're asking the government if we're going to increase aid to Ukraine in this situation. It is a country that now almost does not receive international investment, which has major challenges with a people who have fled, and more refugees from the areas in question, and who need humanitarian assistance. So the UN asked for an increase before Christmas, and Norway has not increased. In this little bit of a pace of government humanitarian aid, the question is, when do you conclude with that? When I think these are our neighbourhoods, it's actually not that far to Ukraine from Norway. It's an infectious effect, it's a possible wave of escape that can come, and it's important that we help. It helps destabilize all of our neighbouring countries. It is not without reason that e.g. neighbouring countries, such as Sweden and Finland, have had a much higher political discussion and have been more forward-looking with assistance these days, because they feel that what Russia is now doing is trying to establish a principle that will also affect them.
ParlaMint-NO_2022-02-16.ana.ud409e131	I repeat that we are going to evaluate the situation. Whether or not this is at a rate that the representative of Solberg can agree to, we have a dialogue. I feel that we agree here in this Chamber that we should support Ukraine politically. We have also supported them with a wide range of capacity-building measures. And we're going to do that in the future. Then it is important to focus on one more thing when it comes to neighbourhoods and Norway's responsibilities. The situation is that other countries can travel to Ukraine, they can contribute with military material. We cannot, in accordance with our export rules, and I think that is absolutely right that we cannot, but Norway's important contribution to stability and security in Europe today is being made by being Norway and having a responsibility in the north. We're NATO's eyes and ears in the north, we're following developments there. It is of great importance to understand what is happening in Europe — how troops can move, how exercises can develop. It is my clear impression after having had talks with France, Germany, the United States and the leaders there, that that role they now expect Norway to play – plus that we are a credible supplier of gas to a Europe that is now hit by a gas crisis, among other things. because of the situation in Ukraine.
ParlaMint-NO_2022-02-16.ana.ud409e138	Erna Solberg – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e144	I do not disagree that Norway's role is to be NATO's eyes in the north. But our role is also to provide assistance to countries that are in fact under pressure in relation to the fundamental responsibilities of international law and the rights that you have, namely the right to self-determination. When a country is in crisis, Norway has had a long tradition of assisting with more humanitarian aid. I record that it has not yet been planned by the government, despite a UN appeal before Christmas. We lifted the aid when we were in government, and we've had a high level over these years, precisely because we've felt that in our neighbourhoods we have a special responsibility to contribute. One of the areas of capacity on which cooperation becomes even more important is the issue of the detection of those cyberattacks. Then my question about the government and the various services is now contributing to international work so that we work much more together to identify those responsible for cyberattacks.
ParlaMint-NO_2022-02-16.ana.ud409e151	Now we're working on a new strategy for NATO, a strategic concept, and there's this with cyber inside too much. It wasn't ten years ago when we made the last strategic concept. So the capacity of NATO – and therefore the Member States – is built up in this area. It's important, and it's part of our defense. These hybrid threats, which are not as clear as any physically crossing a boundary and triggering self-defense, can happen through cyberattacks, etc. –we must be able to defend ourselves against. It is also important to take up our national debate in this Chamber. Nordics, whether they're private on their networks on different platforms or businesses, have to think through this and protect themselves. The Stortinget itself has experienced this, and we must also experience that in Norway. This is a threat that is significantly more at the head now than it was a few years ago, and that we probably have to live with in the future. So being able to understand and defend itself against digital threats in cyber is important for Norway, it is important for NATO, and Norway should, of course, make a full contribution to it.
ParlaMint-NO_2022-02-16.ana.ud409e156	Ine Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e161	We can hope that what we have heard in the morning hours today about apparent withdrawal, actually votes, but I think both the Prime Minister and I can agree that it does not mean that the pressure against Ukraine necessarily decreases. One of the challenges now facing Ukraine is the resilience of the economy. Yesterday the EU adopted a new support package for Ukraine of 1.2 billion. EUR, nearly 12 billion. kr. Both the United States and Canada have announced large loans and credit guarantees, which are important in this context. As far as I understand, as early as December, Ukraine asked Norway for increased support to strengthen the resilience of its economy. They also asked for support for, among other things, mobile hospitals, ambulances, medical devices, etc. My question to the Prime Minister is what assessments the government is now making of these requests from Ukraine for more financial support and support for medical devices.
ParlaMint-NO_2022-02-16.ana.ud409e168	I think the most important thing now is that Norway and other countries are contributing to a reduction in military tension. That's the way to make Ukraine's economy work again. It is clear that parts of what has been the message in the last days from the Western team about a imminent invasion are not exactly favourable to the investment climate and the economy of Ukraine. So that's important contributions we're going to make when we're in contact with our allies and in the discussions around this. The fact that Russia is withdrawing strengths from an exercise is a positive sign -- well, I'm open to it, but it can't be that you build a huge pressure through exercises, you take down a little bit, and then it's positive. There is still an unacceptable situation and an unacceptable pressure on Ukraine. I'm going to visit the European Commission next week, and then this is one of the issues we're going to talk about; how Europe is now cooperating, not just with Ukraine, but with the countries in the neighbourhood. Norway will then also assess whether there is a basis for making changes to our approach, but today it is the military and security policy situation that has our priority, and also with our allies in NATO.
ParlaMint-NO_2022-02-16.ana.ud409e177	Ine Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e182	As I was in it, the military pressure Russia is exerting against Ukraine is totally unacceptable. Although a temporary reduction of military forces is still a significant build-up. In reality, Russia still surrounds Ukraine, and it is a reality that is not about Western rhetoric but about an unprovoked military aggression from Russia. I also fully agree with the government's line of consulting closely with allies in view of reactions to Russia, whether in terms of economic restrictive measures or other issues. My question to the Prime Minister is a little further than that: how does the Prime Minister see that any new Russian invasion of Ukraine will affect the bilateral relationship between Norway and Russia?
ParlaMint-NO_2022-02-16.ana.ud409e189	I don't want to speculate in a Russian invasion of Ukraine. I think we should say that this is completely unacceptable. If that happens, we are in a new era in Europe. It will be such a massive and huge infringement, and also a change in the principles that apply in Europe, that we have to make it very clear. It goes without saying that such a development will have an impact on Russia's relationship with all countries, including its neighbouring countries. After the invasion of Crimea and eastern Ukraine, it affected the co-operation climate in the north. I believe that neighbors need to have contact, talk together and solve things that arise between them. It must be done in good days and bad days. Often it is that cold winds that blow in the north do not occur in the north, but they come from situations like this. in Ukraine. But now I believe that we need to put all our energy into finding a different path from that of the military, starting political talks and doing it in a way that respects the fundamental principles of Europe. It cannot be the result of political pressure that violates the basic principles.
ParlaMint-NO_2022-02-16.ana.ud409e194	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e199	This is an extremely difficult situation with the threat from Russia to Ukraine. In the Russian rhetoric, NATO is not a threat to Russia. It is rather that it is democratic development in Ukraine, and also other old Soviet republics, such as Moldova and Georgia, that are perceived to be a threat to Putin's rule in Russia. It is not just in Ukraine that there are now Russian forces. It's in Transnistria in Moldova, it's in South Ossetia, and it's in Abkhazia, and then it's the Crimean occupation and also east of Ukraine. My question to the Prime Minister will be: Will Norway increase its support for Ukraine, Moldova and Georgia in the years to come, in support of democratic development? This year’s budget included: Ukraine cut by 128 million. kr.
ParlaMint-NO_2022-02-16.ana.ud409e204	We support democratic development in some cases bilaterally and in others through what is happening in the Council of Europe, in the OSCE, in the international processes. Many of the areas mentioned by the representative are referred to as frozen conflicts. That is, there is a conflict that has no sign of a solution, where it is blocked in the OSCE, often by Russia itself, and which blocks the possibility of then finding solutions to it. The political trail has always been worked out by Norway to help, that there will be negotiations to resolve it. So we're going to evaluate whether we have assumptions to give help to one and the other area. These are in some cases areas where who has sovereignty and state power can vary. But we deserve these frozen conflicts to find solutions – again – in line with the important principles of the OSCE and the Council of Europe, and the fundamental principles of security and stability in Europe.
ParlaMint-NO_2022-02-16.ana.ud409e210	Let's move on to the next main question.
ParlaMint-NO_2022-02-16.ana.ud409e215	The Progress Party believes that Norway is on the wrong track, and we are concerned about the development. As the state becomes richer and richer, people and businesses become poorer. The Big Government is withdrawing unfathomable amounts. There is an oil price of more than $90 barrel, record high gas prices, $10 billion extra on electricity, and on top of this, the biggest tax increase from one year to another has been carried out over the last 20 years. This is the fait accompli of Minister of Finance Trygve Slagsvold Vedum and Prime Minister Jonas Gahr Støre. At the same time as the state serves for itself, the common people's turn is to be skinned. Everyone gets worse advice under this government, and those who have the least are, of course, hit hardest. Power bills have more than doubled for households. Businesses are even tougher, because they don't get any compensation, and we hear about companies that get five and six times their bills. So all the surplus – and a little more – is going to cover the electricity bill. Fuel prices have passed 20 kroner a gallon, which hit people as well as companies that depend on the car. Food prices are rising, and they may increase sharply in the future. We see that fertiliser prices go up, and we see that many of the inputs also go up. The Minister of Agriculture will end the price war at the top and will obviously want people to pay more for food. The Progress Party has proposed to reduce fuel taxes, to have a maximum electricity price, to remove taxes, to remove VAT – but the government has voted against all of this. Why does the government do so little to help people most and businesses when the state earns rich, while ordinary people are being skinned? Was this government thinking that it was the turn of ordinary people?
ParlaMint-NO_2022-02-16.ana.ud409e226	After eight years of increasing disparities in Norway, and where they were most likely to enter the queue when the important issues were to be determined and the large amount of money allocated, there is a new thinking and practice from this government. Now they get tax cuts with middle and lower incomes. They get more reasonable kindergartens, more reasonable SFOs, they get help in a wide range of areas that allow them to live a decent life, and have access to a welfare state that was being privatised and broken up – in line with the thinking of the Progress Party. There's a clear change in course. Workers are now given increased rights to work, more security in their jobs, less temporaryity and more dignified conditions, in line with Norwegian traditions. So I fundamentally disagree with the description of reality from the representative, Listhaug. Then our part of the world is hit by a power crisis that affects all countries, including Norway. It creates an extremely difficult situation for many families who have to pay more for the flow – not just a little more, but a lot more. After 2020 had very low prices, 2021 had very, very high prices. It has been taken by the government and the Storting to do something about it. The electricity charge has been reduced, after it was carefully set up with the Progress Party in the government. There has been an increase in housing support, an increase in social assistance, and we have developed a whole new tool in the drawer of the welfare state in order to be able to rescue households at high power prices. None of it was clear after the Progress Party had been in majority for eight years. Then prices on some inputs will go up and down in our world, and it's interesting to hear that the Progress Party's view then is that in terms of all these prices, the state should enter and be the regulator and smooth it out. There is an interesting practice from the Progress Party, which it will be exciting to follow in the future as well. We're preparing and evening out differences. We're putting up with people with large amounts of money – through the pandemic – and now also through this power crisis. It's very difficult for people, and we follow it very closely, and we give people that security. If these high prices persist, people will still have a state to set them up.
ParlaMint-NO_2022-02-16.ana.ud409e237	I don't think you'll find anyone who is familiar with the description that you've got a better economy. This year's wage settlement is approaching, and most people are less likely to travel because of the price range that is within very many commodity groups. LO and the Joint Association, at Jørn-Henning Eggum, are ready that the claim has now been reinforced in purchasing power. It is requirement No one. Many companies have suffered major losses because of the corona, but also because of exceptional electricity costs, where zero compensation is obtained. The Progress Party believes that it is the state's turn to contribute to ensuring a wage settlement that ensures jobs, but most importantly ensures the purchasing power of our citizens. You can do that by cutting taxes and taxes, by not taking in as much sums as this government unfortunately does. Extra income exists to do so. Will the Prime Minister take the initiative that the state contributes to increasing purchasing power for people, that we secure jobs by reducing taxes and taxes, so that people get better out of this year's paycheck, without breaking our businesses?
ParlaMint-NO_2022-02-16.ana.ud409e244	What's happy at the beginning of 2022, when we're on our way out of the pandemic measures, is that the Norwegian economy is going very well. It's growth, unemployment falls, and we have signs that companies are investing and saving to bet as well. So both businesses and people are hit by a power crisis, and it requires something from some and from each of us. We go into a large and comprehensive wage settlement, and in a demanding time, and in such a settlement, the government is clear: the parties are responsible. The parties are responsible for settling down and negotiating on the basis of the situation in the economy, based on requirements and offers. I had a meeting with the contact committee, which is all the social partners, on Monday, and the very clear message to them is that they take that responsibility. They take that responsibility, and the government takes its responsibility, and that's to keep track of the situation, but respect that the parties are responsible. The order of the Progress Party is to interfere in wage negotiations. It doesn't want the parties, and it doesn't want the government.
ParlaMint-NO_2022-02-16.ana.ud409e249	There will be follow-up questions – first Sylvi Listhaug.
ParlaMint-NO_2022-02-16.ana.ud409e254	Our job is to secure people's purchasing power. The Norwegian economy is going well, but it is the state that is going extremely well, and then there are very many common people who are now struggling. In an interview in the VG in December, the Minister of Finance, Slagsvold Vedum, looked at the glass sphere. He promised the Norwegians more to leave in 2022 as well as in 2023. Status so far is that people are concerned about the economy and have gotten far less to walk with after the government change. Many wonder where this price will end, and the power prices are predicted to be sky high, potentially for many years to come. How is the government going to keep the promise that most people will get more to go with this year and next year, without contributing with tax cuts, when we now see how the prices of almost absolute everything is increasing, making huge cuts in the ordinary people's wallet?
ParlaMint-NO_2022-02-16.ana.ud409e263	Now, for the first time, the government has helped people with normal incomes to pay less in taxes. There is also a different approach to taxes, and there are a number of important welfare services in people's lives that are now becoming available and fairer. The wage settlement will then determine what wage developments will be for workers, based on negotiations and the requirements set out in the negotiations – demands and offers. That's the way to do this. It may not be the responsibility of the government and the State to be ahead of a wage settlement and to calculate what is needed to achieve the objectives which the Contracting Party must set itself for purchasing power. The Minister of Finance was absolutely right when we look into the future what we can contribute to the fact that it is a good year in the Norwegian economy. But there is an extremely demanding situation, among other things. connected to the current. That's why this government has done something that the representative Listhaug never had in the eight years she put in government, namely to support families and households at high electricity prices with a scheme that we haven't had before, which is there now, and which, of course, we have to follow closely if these prices persist beyond.
ParlaMint-NO_2022-02-16.ana.ud409e270	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e275	No, you didn't, because the electricity prices were extremely much lower in the eight years, and with the biggest tax and tax scarfs you've now implemented from this government, you've contributed crumbs, so I don't think anyone's impressed. But Norway has had 30 years of amazing prosperity. While the government is donating money, analyses now show that the necessary cost of living will increase sharply towards 2025. Some evidence suggests that prosperity development in Norway is halting. The weak economy is, of course, the hardest hit, but even families with the usual economy are going to notice this. It is in particular the boute fees that are increasing, interest expenses, insurance and energy costs, but also property taxes and municipal taxes, which we see that red-green politicians are eager to take in. Politicians in the state and municipality are involved in making it more expensive to live and live, and weakening the purchasing power of ordinary people. Does the Prime Minister think it is reasonable that the state should become richer and richer, while political decisions now lead to people becoming poorer, and that more people will have problems getting to grips with the ends?
ParlaMint-NO_2022-02-16.ana.ud409e284	I disagree with this description. I believe that the Norwegian welfare state is able to be actively present and ensure people's safety for health, education and basic well-being. We want to make it stronger, wider and accessible to more people. We want to stop the development of privatisation in key health, education and welfare areas, so that this is accessible to people regardless of income. It's an ideal in our welfare state. It should also apply throughout the country. Then we have to have a policy for what over time helps us to have equal relationships, and then people can live their lives with different assumptions within that framework. The fact that we have a state that has a good economy compared to other countries makes it possible for us to choose that way. But we also go into a water that is narrower, where we have to think through how we prioritise, and cutting dramatically the state's revenues, which the Progress Party will do, will not contribute to achieving the objectives of justice and equal living conditions in Norway.
ParlaMint-NO_2022-02-16.ana.ud409e290	Bård Hoksrud – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e295	Not only do people suffer from high record electricity prices, record high petrol and diesel prices and a sharp rise in food prices, which are at full speed up. At the top of this, this government, which went to the elections to make everyday life better for ordinary people, has made it much worse to be sick by the fact that the excess is increased by nearly 500 kroner. And not enough: we have a government that wants to extend the hospital queues. People who have been exposed to their operations for a very difficult time, with pandemics, have to wait even longer to get help because the government is allergic to private actors. What will the Prime Minister say to all those suffering from a health queue because the government is not willing to use all available capacity, both public and private?
ParlaMint-NO_2022-02-16.ana.ud409e300	I would like to say to them: this government prioritises, as its main concern, access to well-being on an equal footing in Norway, and health care should be the best available and possible. Then we have to bet on the community hospital. Then we don't have to break up and privatize the services so that the wallet decides who gets, that we use those who are trained to work in health care, in the wrong way, in order to reach the most possible, and that there will be health insurance that determines whether you get ahead of the queue – all that the Progress Party stands for. It favors a few. It's not an offer for the many. That is why we want to strengthen the economy of hospitals. We will strengthen their ability to invest in medical devices and new treatments and ensure that we can now start to re-establish the backlog that has come through the pandemic. It's beginning to happen now in some hospitals, which can then begin to prioritise and treat people in line with the needs they have, where the pandemic now does not dominate as it did before.
ParlaMint-NO_2022-02-16.ana.ud409e305	Bård Hoksrud – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e310	I'm not very impressed with the answer to the Prime Minister, and it might be tempting to ask if the Prime Minister could answer how he thinks this went. At least it is quite clear that the Prime Minister makes the concern for ideology heavier than helping ordinary people who can't afford to buy out of the health cows. The Prime Minister knows that he has good experience in using private health services, but most people do not have as good advice as him and cannot pay for the health services of their own pocket. It is therefore incredible that in a situation where more than 200,000 are in health cows that are growing longer, the government's message is that they want to restrict the offer to patients by removing the free choice of treatment. How many meters long do health cows have to be – or is it perhaps more correct to say how many kilometers long do health cows have to be – before the Prime Minister will put away the socialist ideological skyscrapers and actually use all the available private capacity that is there to bring down the health cows and avoid them being as long as when the Prime Minister was Minister for Health, or perhaps even longer?
ParlaMint-NO_2022-02-16.ana.ud409e315	The representative asked how I thought my answer went. I think it went quite well. Thank you for asking. I think that if I had answered in a way that impressed the representative Hoksrud, I would be worried. Because if it was like my answer was to say that we are going to meet this challenge of taking money out of hospitals, putting them out and saying that here, private professionals can get out of hospitals and avoid priorities about who needs the most help, and who needs help first – then we have a completely different healthcare system. There are countries in the world that have it like this. They treat fewer, they have lower public health, shorter life expectancy and shorter survival after serious situations. Through our organisation of hospitals, we have been able to deliver some of the best services that are, to many, and that is the government's ambition to continue. It's going to be demanding because many hospital services are becoming more expensive. That's why we have to think about public health, and we have to think about health accessible to the many through a long life course. And in all of these areas, I think the representative and I are not going to impress each other with the answers, but I'm very sure that the answers we have are the ones we're going to follow.
ParlaMint-NO_2022-02-16.ana.ud409e322	Tina Bru – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e327	Many Norwegian families now experience a challenging situation with high electricity bills and rising prices. My concern is that this should go beyond the legitimacy of the green shift and put pressure on the payroll and thus the sustainability of the Norwegian industry. In order to compensate for the green shift, the government gave Solberg tax credits to people with normal incomes. When this government joined, it proposed, on the other hand, to increase the taxes on persons with incomes up to NOK 400000, compared to our proposal. We also see that SV is a strong driver of increased taxes, among other things. with tax increases already required in RNB. The Prime Minister himself has stressed that the green shift must be fair. I agree, but how will the government take care of this, when many now experience pressure on their private economy and taxes rising at the same time? Does the Prime Minister share my concern about the legitimacy of climate policy in this picture?
ParlaMint-NO_2022-02-16.ana.ud409e332	I share the concerns about the legitimacy of climate policy, but I think it is about a wide range of issues other than what the representative was about now. I believe that our tax and tax arrangements and the way in which we make welfare services more reasonable and accessible to people have provided people with moderate and lower income relief – more in the wallet. It goes from commuter deductions to trade union deductions to cheaper ferries and a wide range of measures that take people in everyday life. The important thing about the green shift is that we're able to make the right choices to get the emissions down, without jeopardizing the security of people's lives. The government believes that we can do this by cutting emissions and creating jobs, investing in the new green industries – bet more strongly than you did before. Everything from batteries to sea wind, capture and storage and hydrogen are enormous opportunities for work in Norway. Then the loads resulting from the green shift must be distributed fairly, so that no individual groups or parts of the country are particularly affected. We can do that with a policy that takes those considerations into account.
ParlaMint-NO_2022-02-16.ana.ud409e337	Let's move on to the next main question.
ParlaMint-NO_2022-02-16.ana.ud409e342	It is expensive for many people in Norway, with high electricity prices, notices of rising interest rates and now also strongly increasing daily food prices for a number of goods. And it's, as it always is, so that it goes hardest on the workers with modest incomes and people with small social security and pensions. Unlike some others, they cannot move to Switzerland when they are dissatisfied with the level of costs in Norway. In terms of the price increases in food, the media have gone through this part lately. The price increase is up to 70 pst. on some goods, and there is strikingly equal pricing in the large chains. I don't know if the Prime Minister is planning to buy Superchips for the weekend, for example, but in that case it has turned into 50 pst. more expensive, without the farmers who grow Norwegian potatoes being paid more for their product. It is well known that surveys show that Norway has some of the highest food prices in Europe, the worst samples and the most dissatisfied customers. For a long time, the theory of the desktop has been that it is due to Norwegian agricultural policy – high customs walls, state fees – but in 2020 a group of professors at the School of Commerce concluded that the explanation is quite different, namely the strong concentration of power among both suppliers and chains. The owners of the big chains are among the richest people in Norway. Three of the ten richest come from the food industry. In its time in government, the right-hand side received a food supply – a series of advice on how one could do something about power concentration, and do something about the bias in power between those who own the big chains on the one hand, and farmers, consumers and the workers in the shops on the other. They didn't do anything. Will this government do anything?
ParlaMint-NO_2022-02-16.ana.ud409e354	Without going into the preferences for chips – I stick to Sørlandschips for my part, but there are enough potatoes that have become more expensive – I can promise, joke aside, that I see this challenge in a wide range of areas and a wide range of markets. The claim that this is due to Norwegian agriculture is incorrect, as the representative quite rightly says. We have a productive agriculture. We have high productivity, higher than in many other parts of the economy, and what goes out of the Norwegian wallet for food has not increased over the years. On the contrary, it has been kept quite stable. I share the representative's concerns about what's going on in the market, and it's related to concentration, a few leading actors who can decide over large parts of the market. That's what we're working on, but we're busy looking at how it works against the organisation of the grocery market, what principles apply, and how the different parts of this value chain, from production to trade in the store, distribute income. This is the government's concern. I don't think there are simple grips that turn from one day to the other on power conditions, but here too, too, too much concentration of power is unfortunate. And then we're going to say that the situation we're experiencing now in terms of food prices, once again, is related to an international situation that has similarities to what we see on the energy side. There is a reference to, inter alia: Ukraine, which not only sells gas but also sells very important inputs to food, whether it's oil, food oil or grain. So at international level, rising food prices, which hit Norway but also hit developing countries, are at great risk of destabilising and creating difficult situations in terms of security policy. This is also part of the larger picture.
ParlaMint-NO_2022-02-16.ana.ud409e363	It is quite right that there are a number of reasons for rising prices. What's the political challenge is to make sure that we don't end up in that situation with the big chains increasing their profits at the expense of everyone else. It has been, as I was in the past, a series of food meddlings in the last few years, and there are many concrete proposals. The three big chains now only control 97 pst. of the food market. We also see that there is a concentration of both wholesale, distribution and retail links, which are owned by the same few actors, so that one sits on all sides of the table. The aim here must be to provide less profit for super-rich owners, fairer pricing for consumers, and for farmers and workers to be left with more. In line with this, SV has proposed both to limit the share of the market that some can control, and to limit the possibility of producing cheese, transporting cheese and selling cheese. Is there anything the government will consider?
ParlaMint-NO_2022-02-16.ana.ud409e370	It's very special to learn that food prices are now increasing, because they fell by 2 pst. last year. So it's once again saying how things can shift. But all the suggestions that the representative Lighthouse here is making, I think it's interesting to assess, and I think there's also something we can have good conversations about between the government and SV. Now we're going into an agricultural settlement, which is, of course, characterized by the fact that the farmer has experienced a sharp increase in some of his inputs covered by the agricultural agreement. The government has set up the farmer in this situation, and so will we when we sit down with the agricultural organizations. But the discussion about the market power and the organisation of the daily food industry, I think it is right that we follow all the way. Power concentration not good. It goes beyond the consumer's offer, even in terms of price.
ParlaMint-NO_2022-02-16.ana.ud409e379	There will be follow-up questions – first the Audun Light Bin.
ParlaMint-NO_2022-02-16.ana.ud409e384	I think these are positive signals. Let me then go a little bit further to the concrete and what we can do. Because when it comes to power concentration, we see, for example. that the largest chain, the Norway Group, controls almost half of the groceries market. At the same time they own and control the dominant distributor. Without having to go into single examples now, the question of different forms of ownership constraints, that is, grip one can take political to split up an industry where very much power is collected on few hands, has been lifted several times. Is this, then, to consider fragmentation and ownership constraints, something the government is willing to look at?
ParlaMint-NO_2022-02-16.ana.ud409e391	I don't want to go into concrete measures – like that. There are some things we need to have when we're discussing this question. One is that we are careful not to take action that violates deliveries, security of supply and access to goods throughout the country. It's important to have with us. It is also important that we have dialogue with stakeholders so that political decisions are not taken that can have unintended consequences. These are issues that I think it is important that we follow along, and especially in a situation where food prices are increasing, as they are doing now. So we're open to looking at it, and have attention on that matter.
ParlaMint-NO_2022-02-16.ana.ud409e396	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2022-02-16.ana.ud409e401	One of the reasons why we have to rely on media comparisons and reports is that we really do not really have any insight into how prices in the food industry are going to be. This is because Coop, REMA and the Norway Group have received notice of huge overall fees for what the Competition Authority has considered to have been illegal price coordination. A prerequisite for doing something about this is to ensure full transparency in pricing, in addition to this with possible limitations that I was in place. Is the government willing to do the previous government not to take action to ensure real transparency?
