ParlaMint-NO_2022-01-18.ana.ud386e80	The representative Siv Mossleth, who has been on leave, has once again taken his seat.
ParlaMint-NO_2022-01-18.ana.ud386e204	We are now discussing a representative proposal from Red to preserve Ullevål Hospital, to preserve Gaustad Hospital as a psychiatric hospital and to extend Aker Hospital as a local hospital for the whole of Groruddalen. That proposal for a representative makes five proposals, and in the vote there are seven proposals. The Committee has carried out written consultations on the matter and 41 hearings have been received from different organisations, actions and individuals. This is not the first time the Stortinget deals with a matter that deals with several of the issues that the representatives address in their proposal for a representative. In five previous representatives’ proposals from 2018 until today, Stortinget has examined a number of proposals related to the development of hospitals in Oslo. Population growth in Oslo has been high in the last 20 years, and forecasts continue to show growth. The number of people over 80 will double over the next 20 years. Today's hospital services in the catchment area of Oslo University Hospital are designed for a much smaller and far healthier population. In addition, parts of the building mass in the OUS are out of date, and the OUS is also responsible for national functions and provides specialised health services to the whole country. It is therefore an overall committee which indicates that large and important investments will have to be made in new hospital buildings in Oslo and that it is necessary to ensure large enough areas and capacity in the specialist healthcare service. The parties will explain their different views and suggestions in this matter, so I'm going to briefly comment on the Right's position. We believe it is important not to wait for the construction of new hospitals in Oslo. The loan framework for new Aker and the new Rikshospitalet was approved by Stortinget in 2020. The Oslo hospitalisation process is of great importance for the overall hospital provision of patients in Oslo and for patients in the metropolitan regions. We are therefore pleased that the Labour Party and the Center Party in government clearly signal that they will implement the changes in the hospital structure in Oslo according to agreed plans. We also believe that it is important to organise the supply of mental health protection with new buildings that meet the requirements of modern treatment and a good working environment for employees. In today's Medisin on 10 January we could read a statement from the head of department Marte Lauvsnes in Hospital Building that describes that very many psychiatry buildings are too old and not well suited for their use. It is important to do something about it, both for the employees in the service and not least for the patients. There is a thorough process underpinning the ill-sickness plan in Oslo. A prerequisite for building a new large emergency hospital on Aker is to gather the specialized functions and move them to Gaustad. Good use of resources by personnel in Oslo is important because it also gives some of the rest of the country better access to health professionals, and the Right believes we have to stand by these plans.
ParlaMint-NO_2022-01-18.ana.ud386e219	Health bet, our common health service, is priority number one for this government. Then we must have good hospitals all over the country. There is a great need to invest in public hospitals and to facilitate new constructions and functions – in Oslo and throughout the country. The country’s hospital is therefore top priority for this government. The population of Oslo also needs modern hospitals, with increased capacity for a growing population, as already mentioned. Bad building mass is neither good for employees nor for patients. There are challenges here in Oslo, especially in Ullevål and the Rikshospitalet. I'm glad that Oslo's population will have access to an even better hospital offer. It is important to look ahead and make good progress and implement the changes in the hospital structure in Oslo according to the plans adopted. It's also on the government platform. We're on it. The plans are in the process of being realised. At the Rikshospitalet, the expansion is under way, and Aker is now building a major urban hospital guard under the direction of the Municipality of Oslo. The development of Aker and Gaustad is now under way, for the entire population of Groruddalen will receive local hospital services at Nye Aker Hospital as soon as possible. It's also on the government platform. The new plans also strengthen the preparedness for crisis, and it is important to emphasise, for the disaster response currently on Ullevål related to the preparedness for major events involving patient mass influxes, to be gathered in the Rikshospital. It will provide a wider range of access to medical competence and improved facilities. Two complete emergency receptions are a good response and can also relieve each other in the event of a possible crisis. The new plans provide room for increased capacity and are necessary. The OUS today has 1,550 somatic beds, and it is planned to increase to 1,900 beds when phase 1 is completed in 2030. In the area of mental health and drug treatment, bed count should be increased from today, where there are 359, to 426 beds. As I have said, good access to health care is to be provided throughout the country. Having a good hospital for our common health service is priority number one for this government.
ParlaMint-NO_2022-01-18.ana.ud386e236	The representative proposal that we are debating today has great complexity and has been part of a number of issues and debates in this Chamber before. Major changes in structures are required for a healthcare service that is undersized and poorly protected for today’s composite course of treatment. The new government is systematically working on these challenges and the aftermath. Norway needs a specialist healthcare service that is dimensioned in order to help people across the country, where one has a wide and decentralised supply before emergency medicine and food supply, while several hospitals are specialised in related treatments. Today's government is clear on the priorities of hospital operations and structures for the next four years through the Hurdal Platform. The centre party has for a number of years pointed to challenges before several of these strategies without being heard in plenary. It is urgent to establish and start the construction process with a new local hospital at Aker Hospital, for example. to cover the entire population of the Grorud Valley. The Central Party and the Workers’ Party’s members of the Health and Welfare Committee express in their comments that this is crucial as the process stands. This milestone has great significance for the others in the hospital structure in Oslo. Another milestone, which is also on this proposal for a representative, concerns the regulation and expansion of the new Rikshospitale. New detailed regulation and regulatory planning processes need to be adopted. The ongoing pre-project must have been completed and finally approved before proceeding with the government's strategy and conversions prior to hospitalisation. This is clearly demonstrated by the Minister of Health and Welfare’s response to the Committee in relation to these matters. We all know the great commitment locally in Oslo, but also nationally, as the planned changes have great effects beyond the capital's borders. There are many professional arguments and experiences that do not match. There is no doubt that this work must have a high priority in the Ministry of Health and Health up to the health agency, and if necessary, the Storing must be involved in its own way if the many milestones are not reached.
ParlaMint-NO_2022-01-18.ana.ud386e253	For the Progress Party, it's important that we make policies for people where they are, not policies that just look good on paper, which may seem like several of the parties here are concerned. But in the case of Ullevål Hospital, unfortunately, we do not see any policy that is consistent with what people in Oslo want, or policies that look good on paper. With the exception of – as far as I have been given – there has been a broad consensus in Oslo City Council that you do not want to support what the government is now proposing. The trade unions do not agree – not the trade unions, not the people and not the politicians – across different levels of governance. It's simply not good enough, especially when we're talking about a hospital organization that not only affects hundreds of thousands of people directly, but is an important part of the health service throughout Norway. So we need more facts on the table. That is why, in the Progress Party, we believe that we need to go in for a new investigation into the hospital situation in Oslo, where we are also investigating the possibility of preserving Ullevål. Therefore, the closure of Ullevål Hospital should be postponed until we know more. Today, the Progress Party presents a number of proposals – and its own proposals. They are about that we want a new investigation to be launched and a review of the hospital options for the Oslo region, including the preservation of Ullevål hospitals, that Aker hospitals must be planned and built on the basis that Aker hospitals should become local hospitals for the whole of Groruddalen, and that Gaustad hospitals should be preserved as psychiatric hospitals. Unfortunately, the number in daily places in psychiatry is raging. From 2000 to 2020, the number of places nearly halved. We need more daily places, not fewer, and we believe that Gaustad is and should remain an important contribution in the field of mental health protection. We fear the consequences of laying down several daily places and will reverse this dramatic development. I would like to raise the proposal of the Progress Party in the matter, and I would also like to say that we are going to support proposal No. 5, which is quite identical to the proposal of the Committee on the Rules of Procedure, the Verification of Credentials, the Verification of Credentials and Immunities, No. 7th@item: inlistbox It was a bit interesting to hear the previous speeches from the Center Party, because it has to hurt far, far into the soul when we know that Jan Bøhler went from the Workers' Party to the Center Party, where this with the Oslo Hospital was a very important matter – and then the representative from the Center Party is standing here and explaining that it is now the Workers' Party and the Right who govern this policy, and that the Center Party has played a fall in government. It's sad for all those who thought the Center Party was going to be involved and help save Ullevål hospitals. And just before we went into the hall, we met several demonstrators who were concerned about how our health service should be in the future, where Ullevål Hospital is an important part of it. Something else I think is good to bring with me: I heard on the radio on Saturday about this with a pandemic hospital, and that the new definitely isn't that, and you can be quite skeptical about it. But we'll probably come back. I expect that several of my colleagues will speak warmly in this matter.
ParlaMint-NO_2022-01-18.ana.ud386e268	The representative, Mr. Bård Hoksrud, then addressed the proposals he referred to.
ParlaMint-NO_2022-01-18.ana.ud386e273	Fighting can be wise, especially in important matters, which means something to people – which means something to their health, and which means something to their jobs. After conversations with trusted, relatives and patients in Oslo, I know that taking a rematch for Ullevål Hospital, taking a rematch to preserve Gaustad and taking the fight for a full-fledged offer for the people of Groruddalen is an important thing. The story of the coup d'état testifies to the fact that the government parties share my vision. The Hurdal platform says: ‘The time limit for overrun of community is over.’ The Oslo hospitals are primarily for the Oslo population, but also have some national functions. The municipality of Oslo has a significant point of reference on what its residents need for hospital services. Interaction between municipal health services and specialist health services is particularly important. So when a clear majority of Oslo City Council says they want to preserve Ullevål Hospital, I think that local democracy must also be heard by today's government. I am particularly disappointed that the government parties do not choose to listen to their elected party colleagues in Oslo. Democracy is a sloppy plant, and it's undermining when biging and government is totally unjealantly considering overrun Oslo City Council with state regulation. We have to learn lessons from the coronary apathy, which the previous speaker was inside. Espen Rostrup Nakstad said in spring 2020: «Perhaps we must have systems with hospitals with more space, not build heavy towers.» That's exactly what you're planning with the new hospital. You haven't considered infectious diseases, you haven't thought about the functions first, but you've thought of a building mass and a property before the functions. Everyone who has been involved in those processes tells us that in the plans that exist, there is not enough room for all the functions that a modern hospital must have. Many people feel that the investigations and plans for development in Oslo are based on having started at the wrong end, or as the Oslo Medical Association states: ‘The design of the hospitals appears to be adjusted according to what can be placed on the plots and not according to what they should accommodate.’ History shows that rematches are not uncommon at all, and the most important thing is to turn in time, there is no shame in turning around. With that, I address the proposal from SV, Red and Patient Focus.
ParlaMint-NO_2022-01-18.ana.ud386e297	Then the representative Marian Hussein mentioned the proposal she referred to.
ParlaMint-NO_2022-01-18.ana.ud386e302	It is quite right, as has been said, that we have made more proposals to save our hospitals. And let's be clear: we're not going to stop fighting for our hospitals. Because really the case of Ullevål Hospital is a mystery. We know that we need hospital capacity in Oslo, and that it is going to increase in the time to come. We have a hospital that stands on a large, flat site, with good expansion possibilities, where there is actually a good place to build both further and develop in the future. And then we have a smaller area, where there is already a hospital that is defined as a cultural memory, surrounded by population and valuable forest areas. Overpaid directors, with the government's blessing, will move the hospital from the large, open plot to the small one, and then they will sell the large hospital plot to private speculators. Yeah, it's a mystery. I've tried to understand that. I've read all the arguments that exist and that are promoted. The problem is only that there are solved claims and target images without any basis in real calculations and assessments. It's an air lock. We know that the trade unions representing hospital employees – all as one – are opposed to the performance projects. An overall psychiatry community believes that the Aker area is not suitable for mental health treatment, located in the middle of the Sinsen Cross. The Groruddalen is by no means guaranteed to have Aker as a local hospital for all parts of the valley. It is not clear when or if at all Aker Hospital can become a local hospital for the whole of Groruddalen, including the districts Stovner and Grorud. It is said to be transferred in stage two, but it is not even planned. An empty promise cannot be given weight to projects in the billion class with heavy societal significance. An overall professional environment at Ullevål Hospital warns against the plans. The acute environment is concerned that patient safety should be compromised when split into two. The midwives are concerned about leaving the profession as a result of the plans. The gold in health care is the people who work there. Putting billions on the table to raise an airy target picture that the entire professional community believes is unrealistic and inappropriate, is not just bold, it's incomprehensible. It is a mystery that this proposal has the support of politicians. Many of those sitting here in the hall today are likely to vote against their own convictions in this matter. They vote against all common sense, against the trade unions and against those who have voted in favour of them. But we can stop the closure of Ullevål Hospital before it's too late. I encourage the representatives of big business to listen to the local and professional communities in this matter.
ParlaMint-NO_2022-01-18.ana.ud386e317	This is not a rematch – this is a fight. I think the government parties should also take that with them. This is a fight that is going to continue, even after the discussion of the matter today. The problem with the huge project at Gaustad is the nature values that are destroyed –the gaustad basin and the heights that are there. It should be remembered that there are no other builders who would be allowed to build with the dimensions that the state is now planning on at Gaustad. There is no reason for the state to have its own rights in Oslo, which others will not be given the opportunity to do because the City Council is opposed. The project runs across the peaceful buildings at Gaustad. The problem is that the project itself is too large in relation to the land available. This is not new knowledge – it seems that this has been a long time since these plans were presented. At the same time, the future needs of hospitals in Oslo are likely to be too low – especially if you now intend to continue selling Ullevål. You can then ask: Where should future enlargements take place? As it was said here, Oslo is against it. The city council has voted against – several times. The broad trade unions are opposed to the solutions that exist, and there is no doubt that the urban antiquities, i.e. the representative of the Riksantikvar in Oslo, could have major problems in seeing how such a large scale of development can be adapted without going across state and national protection values. In the Hurdal platform, it is said – and the Prime Minister repeated this when he presented the Hurdal platform: «The time for overrun of local communities is over.» I heard the representative of the Central Party here, and I have followed the Central Party election campaign in Oslo – against Gaustad. It is clear that there has never been an empty sentence from any government in the past – a sentence that is completely uncontented, because you do not take into account the local authorities and run on it. So this is definitely a fight, and it will continue.
ParlaMint-NO_2022-01-18.ana.ud386e333	The hospital offer and not least the capacity are important for everyone, including the inhabitants of Oslo and its surroundings. I think it is good that the Council of State has clarified that it will continue to work according to these plans that are now available. An important part of these plans is that the supply of mental health protection is organised with new buildings on Aker which ensure that the requirements for modern treatment and a good working environment for employees are met. Several parts of Oslo today go to Aarhus, which is the hospital where we expect the highest population growth in the recording area. In order to ensure a better capacity for all, it is important that the plans in Oslo are implemented, so that the Oslo districts are transferred back to Oslo. The aim of the reorganization of hospital services in Oslo is a collection of specialised, regional and – I repeat and – national functions. Good and proper use of health professionals in Oslo is important for Oslo, but it is also important for our entire country. It is important that this work now gets under way properly. That is why we do not support the proposals contained in this proposal for a representative.
ParlaMint-NO_2022-01-18.ana.ud386e340	If we are to have real democracy in Norway, people's opinions and local democracy must mean something in matters as important as hospitals. In Alta, the people have said clearly what is right for the patients: hospitals near where people live. That's why the patient focus is represented here on the Stortinget. Ordinary people have not been heard. But Alta is not alone. Hospital struggles are also found elsewhere, like here in our capital, Oslo. In Oslo, employees, citizens, professionals and the majority of Oslo City Council have said that they do not want the new hospital planned. That a city or municipality says no to large government investments is not common, especially in hospital cases. It is also not common for employees to say no to new, beautiful barley. People need to be heard. The Central Party and the Workers' Party have said on various occasions that they will not override local democracy. The model of health enterprises, introduced 20 years ago, has a major democratic deficit. Yes, it may seem that health politicians and the government in some cases have actually abdicated and given health businesses all the power. It was therefore nice that the health minister in his hospital address said that the health company model had to be adjusted, because it is strange when local government and county councils, like here in Oslo, did not receive hospital investments on their table other than as a regulatory matter. The conversion of the hospital structure in Oslo, with the closure and sale of Norway’s largest and most important emergency hospital, was adopted by former Minister of Health Bent Höie. It happened at a business meeting in 2016, after a suspension by the Director of Health South-East. The case was adopted in 2016, without being investigated and against the will of the employees’ representatives in the OYS and without deterring any warnings in the statutory external quality assurance report, which stated that decisions on location were premature and recommended that they consider further alternatives. The plan was also not sent to the hearing and was not adequately addressed either in Oslo City Council or at Stortinget. That's why the protests in Oslo have been going on for six years, and if the plans had been sent to the hearing, the case would most likely have a different outcome. Both professionals, employee representatives and patients believe that splitting Ullevål into two and dividing up important and recognised acute and trauma environments is a bad plan. It is important that Stortinget listens to the planning and building kit in Oslo, which has carried out a thorough process. It's never too late and never wrong to listen to people.
ParlaMint-NO_2022-01-18.ana.ud386e353	Oslo needs new hospital buildings. The buildings on Ullevål and Radium Hospital are old and slightly adapted to the requirements of modern treatment and a good working environment. Oslo's population is increasing, and we have to increase capacity. In particular, there is a need to pool the specialised services. It has been more than five years since the adoption of the framework for the further development of new structures in Oslo hospitals. Plans are starting to come true in the Radium Hospital. The Stortinge adopted the loan framework for the New OUS project at Aker and Gaustad in December 2019, and the Municipality of Oslo has started to develop a new bodyguard at Aker. The hospital structure in Oslo has been frequently debated, and there are few projects that have been investigated to the same extent as New Oslo University Hospital. Additional investigations have also been carried out to support the agreed hospital structure. I understand that many have expectations and desires when new hospital buildings are planned. Health South-East is responsible for planning a good specialist health service offer with enough capacity. At the same time, the regional health enterprise is also responsible for ensuring that the best possible use is made of society’s resources. In particular, professionals can become scarce resources and may set limits in the future. Experience from the ongoing pandemic has confirmed that health professionals, especially highly specialised personnel, are a critical and scarce factor in healthcare. It is important to establish a new structure at Oslo University Hospital with a structure that does not involve a disproportionate amount of professionals in the capital. In that case, this would be at the expense of the personnel situation in the rest of the country. The collection of specialised services at Gaustad is therefore important for the development of a sustainable specialist healthcare service. Oslo University Hospital has the worst hospitals in the country, and there is a need for increased capacity in the capital area. The government wants the population of Groruddalen to have the local hospital at Nye Aker Hospital as soon as possible, and we want to implement changes in the hospital structure in Oslo according to agreed plans.
ParlaMint-NO_2022-01-18.ana.ud386e368	It's going to be line change.
ParlaMint-NO_2022-01-18.ana.ud386e373	The councils actually concluded with some of the things I wanted to ask or focus on, and that's the situation at Aarhus – Akershu University Hospital. Three of the metropolitan districts in Oslo go to Aarhus, while we know that Aarhus's area of exposure is probably what has the highest expected population growth in the years to come. This poses challenges for Ahus, but of course it presents challenges for us as a parish priest for Ahus that our hospital takes on a large, demanding and important task on behalf of Oslo. The timetable for the transfer is that all three urban areas – Alna, Grorud and Stovner – will have been transferred by 2030-2031. I know that a government council cannot guarantee, but can the council say that she is working actively and hard to keep this timetable?
ParlaMint-NO_2022-01-18.ana.ud386e378	I can assure the representative that we are doing that, and therefore it is also important that this project does not have new releases. I share the representative's concern for Ahus. The relocation of all three parts of the Groruddalen at the same time from Aarhus will result in the capacity of Aarhus being not fully exploited. Therefore, the transfer from Aarhus must take place gradually, in line with population growth in the area of uptake, so that resources and money are constantly spent on patient treatment. We're very concerned about that. The whole Grorud valley is going back to Aker. That's what the Hurdal platform says, and we want it to happen as soon as possible. Psychiatric health protection will be concentrated on Aker for all the districts of Groruddalen in 2031, along with the Somatics of Alna Town, and that is the goal.
ParlaMint-NO_2022-01-18.ana.ud386e383	I thank you for your answer. Oslo is lucky who also has two great ideal hospitals, Lovisenberg and the Diakon home. They are part of the total capacity and total preparedness in Oslo. Right now, they have major challenges because they've taken a load and offloaded both OYS and Ahus with patients in the coronary apathy. But the most important thing for me to ask, since we are now talking about the future, is: will the Council of State ensure that these ideal hospitals are also part of the plans for the New OUS, that they are taken seriously, that they are included, and that their ability to be able to live on more capacity in the years to come for Oslo to be valued?
ParlaMint-NO_2022-01-18.ana.ud386e388	It is quite right, as the representative Troeen points out, that the ideal hospitals in Oslo are part of the hospital structure. I believe that having the New OUS plans implemented will also facilitate interaction with the ideal actors. They've been all along part of the development plan and targeted for the New OUS. They have the potential to develop their local hospital functions better as we move on with the New OUS. There are today quite a number of hospital buildings in the capital area. It's the two ideals that Troeen mentions, and in addition to the geographic distribution of the OUS today, it provides little appropriate patient pathways, and patients don't get what they deserve. We're very concerned with the continuation that the Diakon home and Lovisenberg are going to have good development opportunities.
ParlaMint-NO_2022-01-18.ana.ud386e393	I have two questions for the Council of State. The first concerns something that is very highlighted in the pandemic issue, namely listening to the professionals – that it is the professional authorities that have to be listened to. They were partly pushed ahead of the government's overall assessments. Is not the Council of State concerned when an overall trade union environment at the hospitals in Oslo is against the gigantic plans of Gaustad and would like to preserve Ullevål, where it is land-reserving and lower buildings? That's my first question. Why do you completely disregard an overall professional environment, both nurses, health professionals and doctors, in this matter? The second question that Ola Elvestuen and several others raised is: Do you feel comfortable in the government overstepping most of the authorities in Oslo, and thus not listening to local democracy?
ParlaMint-NO_2022-01-18.ana.ud386e402	I have been following the debate on the New OUS for many years. There has been great debate and professional disagreement. But I don't share the description that an overall trade union environment is against the plans for the New OUS. Through the various milestones, it has at some point been agreed that it was time to pull the brake and make further investigations. It brought together the professional organisations representing employees and the different professional environments of the various boards, both in the OYS and in Health South-East. But I also feel that there have been different approaches to this in different disciplines. In fact, the question of overruning local authorities is that Oslo City Council joined the target image and plans for the New OUS both in 2016 and 2018. So it's not a description that I share with the representative either.
ParlaMint-NO_2022-01-18.ana.ud386e409	The feedback from the participation group, according to the consultation input from the Oslo Medical Association, is largely concerned with the lack of space for the necessary functions in the new plans for the OUS. There is too little space for operating rooms, intensive, x-rays, laboratories, research and offices, and they say in their hearing that the plot selections require the construction of the buildings according to the nature of the plots, and not according to the most appropriate location of the establishments in the buildings. So my question to the Council of State is: when we now talk about the model of trust and that trust elected persons should be listened to, and that they should be involved in the design of their work, wouldn't it be the first priority to listen to the trustees in such matters, which will be crucial for their job?
ParlaMint-NO_2022-01-18.ana.ud386e417	A project of the size and complexity of the New OUS will of course have many different votes, and there has been a conflict about this project for ten years. I always respect professional disunity, but we must also carry out the will of Storting. The loan guarantee and the marshalling land for this project were granted in December 2019, and it is a government task to implement it. That also says the government statement we're going to rule on. With regard to capacity, I would just like to stress that New Oslo University Hospital will have more capacity in 2030, with the plans available, than the hospital has today, also more capacity to deal with serious incidents, and that is something we are concerned about considering the preparedness function and the responsibilities of the OYS for national events.
ParlaMint-NO_2022-01-18.ana.ud386e424	The trade unions are against, the majority of the people of Oslo are against, and the elected members of the city are against. That's the facts. There is both economic and health risk associated with the plans to shut down Ullevål Hospital. Not least, there is something essential that is missing, namely the regulatory plan. In the past, it was rejected. The Riksantikvar has raised objections to the plans. Now Health South-East has sent a revised proposal. It can also be quickly rejected. In such a situation, the plan can only be forced through by state regulation. This is an important question for the health provision of the population. Therefore, I hope that the Minister of Health will be able to give a clear and clear answer – yes or no – to the question I am going to ask: Is the government going to overrun the professional authorities and local democracy with a state regulatory plan or not?
ParlaMint-NO_2022-01-18.ana.ud386e429	We're going to realize the plans for the New OUS with the progress that has been adopted. Now the matter lies with the planning and building kit in Oslo, and we follow that process and make ongoing assessments. But the Hurdal platform is ready, and Storting's will is also very clear. The majority have dealt with this matter many times, and the majority have not changed once. It's a marshall for a minority government, nothing less, and in addition, this is also plans we want to implement in our own government platform. I just want to remind you that the City Council in Oslo joined these plans, both in 2016 and 2018. A project as comprehensive as the Nye Oslo University Hospital, one can have a continuous involvement, but at some point one must also realize the plans.
ParlaMint-NO_2022-01-18.ana.ud386e436	It's in the extension of the last, because the Hurdal platform also says that the time for local communities is over. The question then arises: Will the government have respect for the role of Oslo and Oslo City Council as regulatory authorities and follow the processes normally carried out by a regulatory plan?
ParlaMint-NO_2022-01-18.ana.ud386e441	As of today, the case lies with the action holder, who is Health South-East, at the planning and building site in Oslo. We will follow it continuously, but our goal is to realize the plans that the Storting has adopted. The loan application for New Oslo University Hospital, with the buildings to travel on Gaustad and Aker, was blessed in December 2019, with the votes of the Left. This is a train that left the station with Left as a conductor. Left blew in the flute and waved with the green flag. It's part of the reality that I hope we can agree on, even though we obviously disagree on the matter.
ParlaMint-NO_2022-01-18.ana.ud386e448	The cord shift is over. The following speakers shall also have a speaking time of up to 3 minutes.
ParlaMint-NO_2022-01-18.ana.ud386e455	It is important to have broad consensus between the people, the trade unions and the policy in order to carry out extensive reorganisations and expansions with a strong impact on people's lives. In the case of expanding a new hospital in Gaustad, there has been anything but broad agreement. The trade unions disagree, people go to the torch, and large groups have shown resistance to the new hospital project. It is clear that new and better investigations are needed to find solutions that will embrace them widely. More and more in Oslo's local policy are calling for the expansion and modernisation of today's Ullevål Hospital to strengthen capacity and professional environments. The majority of Oslo city councillors are opposed to plans to build a new major hospital in Gaustad. The Advance Party believes that we need to listen to the citizens and rather go in for a new investigation of the hospital situation in Oslo, where one among other things. investigates the possibility of maintaining Ullevål hospitals. A natural consequence of this is to stop the closure of Ullevål before the Stortinget has been submitted to a new investigation of the hospital situation. It is important that Aker Hospital should act as a local hospital for the Groruddalen. For the inhabitants of the Groruddalen, a robust and good local hospital is important. Therefore, Aker Hospital must also be built on the basis that it will be a local hospital for the whole of Groruddalen. The daily places in psychiatry are disappearing. Those in need of mental health protection are seriously affected. We need more daily places in psychiatry – not fewer. Gaustad Hospital is an important contribution to mental health protection, and we can't afford to put the places there. The Advancement Party is clear that we want to preserve Gaustad Hospital as a psychiatric hospital. Laying additional places in psychiatry could have major consequences both for patients and for society as a whole. The Sykehu plans for Oslo are controversial, both in the trade unions, among the city's inhabitants, among the parties on the Stortinget and in Oslo City Council. On such major issues, it would be beneficial for a broad political majority to support the solutions chosen. Now we see that the resistance to a new hospital in Gaustad is increasing. The arguments for expanding and modernising Ullevål hospitals are growing. Aker Hospital needs to become a new local hospital for the whole of Groruddalen, and Gaustad Hospital needs to be preserved as a psychiatric hospital.
ParlaMint-NO_2022-01-18.ana.ud386e470	The largest and most important investment issue for hospitals in Health South-East is Oslo University Hospital, OUS. What is urgent is to develop Aker Hospital in order to provide a good and safe somatic hospital offer to all parts of the city in Groruddalen. This is also apparent from the Hurdal platform. This case came out quite crooked when the previous health minister, Höie, in 2016 already decided what the result would look like, through his opinions on the so-called target picture of the new hospital – an abstract word of novelty that meant that the Council of State broke its own early-stage supervisor for hospital building, specifying the procedure for how the authorities should proceed in order to get a good plan result. For me, who was the case rapporteur on the matter of building a new hospital in More and Romesdal, where the same thing happened, it is very serious to learn that such a breach is happening again. Now, nearly six years later, a new plan for the development of the OYS has come from Health South-East. I have great confidence that the country’s largest planning authority, the Municipality of Oslo, will deal with this matter well and thoroughly. We should also remember that state investment in new hospital buildings is generally positive to municipal authorities. It's my experience with all the hospital debates here for the last four downtimes. The matter must therefore be in the best hands of the Municipality of Oslo. The Oslo City Council therefore adopted Decision No. 8 December 2021 as follows: On a principle basis, the City Council believes that regulation plans in Oslo should be decided by Oslo City Council. Therefore, the City Council asks the City Council to work against the government to make sure that the government does not oversee the Municipality of Oslo by applying state regulation regarding the expansion of Oslo University Hospital HF at Gaustad, the New Rikshospitalet, and the Aker district. The proposers were the Centre Party, the Workers' Party, the Green Party, SV, Red, Left, the People's Action No to more tolls, the Advance Party and the Christian People's Party. The proposal was adopted against 3 votes – only 3 votes – from the right. So there is an overall local policy strong opinion about the further process of dealing with the case. Now the regulatory process is to be completed in the organs of the municipalities of Oslo, and we must respect that. The planning department of Oslo Municipality is Norway's largest and should be the most sovereignly qualified to see all aspects of the regulatory plan case. After the professional planning authority has made its assessment, Oslo City Council will normally decide on the regulatory plan. I would therefore challenge the other health policy spokespersons in this Chamber to express their opinion, whether they agree with such a normal local democratic treatment of the regulation plan, the matter of the construction of new hospitals for Oslo University Hospitals, i.e. to go against a state regulatory plan.
