ParlaMint-NO_2015-11-18.ana.ud1624e26	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2015-11-18.ana.ud1624e106	Kjell Ingolf Roppstad – for the next question.
ParlaMint-NO_2015-11-18.ana.ud1624e109	I would like to thank the Council of State for the answer. I am pleased with the feedback coming from Europe, because I believe that in the difficult situation we are in, it is absolutely necessary that cooperation in Europe works well, that one jointly takes care of the large number of refugees coming, and that it is not that some countries have to take all the burden alone. That is what I expect the Council of State to work on in its meetings around Europe. To follow up the main question: I am pleased that the Council of State underlines that the government has full control, but then it is also tempting to ask if the Council of State believes that one now has the tools you need, when the Stortinget adopted on Monday all the proposals that the government has promoted in the urgent proposition that came Friday.
ParlaMint-NO_2015-11-18.ana.ud1624e119	I would like to say that it is good that there is a broad understanding of the need for joint European action here. One of the messages from our side – among others. in Brussels yesterday – it was necessary for the solidarity needed in Europe here not only to be communicated at the meeting tables but to be implemented in practice. There are several European countries that need to set up in this effort. Norway is doing a lot, other countries are doing a lot, but too many countries are not doing enough. It is an important message from the government of European cooperation. This is a situation that evolves. We are pleased that there has been agreement in Stortinget on new ways of dealing with this situation. What will lie ahead in time, in a situation that evolves so quickly, is not possible to say anything clearly about it at that time.
ParlaMint-NO_2015-11-18.ana.ud1624e128	Jenny Klinge – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e131	At the EU Summit 15-16. October was effective return weighted as decisive. It was concluded that the implementation of the Return Directive will be explored by EU countries and that during the year a special return office will be set up within the framework of Frontex. It was also a desire to extend the mandate of Frontex in the case of return, by enabling the Agency to facilitate joint return operations on its own initiative and to have a strengthened role in obtaining travel documents on return. Can the Council of State tell what is the government's attitude to extending the mandate to Frontex?
ParlaMint-NO_2015-11-18.ana.ud1624e138	What is now being discussed in the EU is a number of aspects of the management of the migration and refugee crisis. We are among those countries that have good and effective return arrangements. In European discussions we refer to our handling, and we refer to the importance of good return arrangements. We also have cooperation with Frontex in this area – certain returns take place in cooperation with Frontex. We have been willing in the debate on strengthening Frontex to look at it, willing to contribute to the strengthening of Frontex. But the individual elements are under discussion, and it is too early to say what will be the conclusions of these discussions.
ParlaMint-NO_2015-11-18.ana.ud1624e147	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e150	We now have a rapid treatment of the Foreign Affairs Act to remedy the situation in Storskog, so that we get a faster rejection of obvious groundless asylum seekers, while at the same time ensuring that those who need protection and need asylum can get it. But this is a problem that applies not only to Storskog; this concerns the entire external border of Schengen. My question will then be: how are the decisions now being taken by the Grand Duchy coordinated with the rest of the Schengen countries, and how does the Council of States see the need to ensure the external border of Schengen better, while at the same time being able to protect those who need asylum, while at the same time being able to maintain the visa-free, open travel option within Schengen?
ParlaMint-NO_2015-11-18.ana.ud1624e157	Firstly, external border control is a prerequisite for maintaining free movement within the Schengen area. That's the whole starting point. It is then that external border control – as the Schengen countries have decided to be the individual countries with the external border responsibility to enforce, with the assistance of Frontex where necessary – is a model that is not problematic in terms of asylum law. Border control is necessary, and when border control is – and must be – more effective, it is not in order to undermine the right to asylum. This is – in the case of Hungary, for example. – nothing illegal by setting up a fence. You can ask the question whether that is politically wise. It is crucial whether it undermines the right of asylum. From the Norwegian side, we are responsible for the border in the north on behalf of the Schengen area, and we are dealing with this, without the assistance of Frontex.
ParlaMint-NO_2015-11-18.ana.ud1624e162	Karin Andersen – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e165	In particular, there are two reasons why the handling of the increased arrivals of asylum has become so difficult. One is that there is a lack of European cooperation in practice, including: on stamping passports, so that there are now very many asylum seekers in the Schengen area that we do not know who is or where. The second is the government's lack of will and ability to see what would happen, and rigging preparedness at the right time to receive many more asylum seekers. Was it then that the European Minister did not notice earlier that the number of refugees entering Europe across the Mediterranean increased dramatically over the spring, where we also sent ships to rescue them? And if he saw it: what was the reason why the government didn't do like the Red Cross, who put down crisis losses in August and rigged an apparatus that was able to accept these earlier?
ParlaMint-NO_2015-11-18.ana.ud1624e172	The increased influx into Europe this year is based on last year's experience, as there was also an increased influx. This has increased over a few years, so it has not come as a surprise that there has been an increase. But then there has been communication from European governments, there has been a critical underfunding of the activities of UN and humanitarian organisations in the neighbourhoods – several things have contributed to the increase being greater than anyone could have predicted. It has been on the government's map before the summer that this was a challenge, but the extent of the challenge nobody could see. And in the proceedings we have based ourselves on what the professional authorities have put up with predictions. So evolution has gone far beyond that.
ParlaMint-NO_2015-11-18.ana.ud1624e177	Let's move on to the next main question.
ParlaMint-NO_2015-11-18.ana.ud1624e181	My question goes to the Minister for Children, Gender Equality and Inclusion, Solveig Horne. As the responsible State Council for what became a record high settlement of refugees in the municipalities in 2014, the Council of State has stressed that settlement is a priority area for this government, and in particular for housing children. In his statement to the Stortinget on 13 October on the refugee situation around the Mediterranean and in Europe, Prime Minister Erna Solberg called for an effort in which the people also set up foster parents for lone minors who come to the country. Among other things, she said:\t\t You ‘If there’s one thing I want, it’s that the spirit of hard work in the population will also lead to more people volunteering for child protection. If we can get more minor asylum seekers in foster homes and fewer in institutions, it will be better for integration and give children a better and safer start to their new lives. Here people really have an opportunity to make an important difference." This was a call to which the Christian People's Party of course joined completely, and our party leader Knut Arild Hareide also praised this initiative. But at the same time, we know that foster homes are long. As of 31 August 2015, a total of 406 children were waiting to be accommodated in foster homes, 282 of which had been waiting for over six weeks. So my questions to the Council of State are: What does the Council of State think it is wise to use immediately to secure a home for all these children who need a home? And: how will she initiate this effort that has been initiated, and take care of the popular commitment to help get ahead of work to secure a safe home for all these children?
ParlaMint-NO_2015-11-18.ana.ud1624e197	It is an important theme that the representative addresses here, and it is important that the lonely minors move to a municipality and start their lives there. Lone minor refugees residing in a municipality are placed in foster homes, in housing communities or on shelters with follow-up. And the assessment of the actions to be taken by individual children needs to be considered in relation to the needs of individual children. Today, 37 municipalities have agreed to settle for single minors under 15 years of age, while there may be foster homes for lone minors in all the municipalities of the country. We are now actively working on a campaign, and the effort the representative is asking for, it's there. I'm very happy that we now see a great commitment from families that sign up to become foster families. There are now 30,000 people who have visited the Bufeta website for foster homes.no, about 10,000 in a normal week. There are record numbers coming to Bufetat's meetings, and they want to be foster homes. We have also started intensive training — with a slightly shorter duration for those foster homes who want to do so — because it is also important that foster homes are approved and trained for this important measure. So it's up to the individual municipality to decide if they want to settle single minors. We have probably seen some municipalities say no, although there are families in the municipality who want to be foster homes. Therefore, Bufetat and IMDi have encouraged the municipalities to accept lone minors, and we also want several municipalities to be able to give prior consent and say yes to the families who are ready to become a home for the lone minors who need a home to live in.
ParlaMint-NO_2015-11-18.ana.ud1624e206	It is true that 37 municipalities have said yes, for the time being, to settle single minor asylum seekers, but 37 out of over 400 municipalities are very small. And there are now concerns and information that single minor asylum seekers – from 0 to 15 years of age and also from 15 to 18 years of age – remain in reception for too long because the municipalities refuse, and the reason for their refusal is the economic consequences that they see coming. These are also concerns that we get from the guards to these children. So one thing is what the IMFI is doing, but what does the government itself think to do? As I started with, there was a record high settlement in 2014, for which the Council of State has taken the initiative, but what will the initiative of the Council of State now be towards the municipalities that point to the financial burdens?
ParlaMint-NO_2015-11-18.ana.ud1624e215	I am very pleased that the government in the additional number that we have promoted has added a further NOK 100 000 to the municipalities that live in lone minors. I fully agree with the representative that the most important thing we can do now is to get the lonely minors living in a municipality. There's a lot of costs of having them at a care center, and it's not there at the care centers they're going to start their lives; it's out in a municipality. That is why the government, with the Prime Minister at the head, has also encouraged several families to take the initiative to be foster homes, to open their homes to the young people and the children who need it. And I am very happy that we are now – with the campaign that Bufetat has launched, and with the fact that there are several people who have joined us – looking forward to having more people live. Then I'm familiar with the local authorities' efforts because of the economic situation. The municipalities today have 80 pst covered. the costs of lone minors in the area of child protection. In addition, the government has increased the special grant, and we have added a further $100,000 to the special grant for next year.
ParlaMint-NO_2015-11-18.ana.ud1624e224	It opens for follow-up questions – first Marie Liones Breek.
ParlaMint-NO_2015-11-18.ana.ud1624e227	It's a huge public commitment to the serious situation we're in. In Stavanger, over the past week, there have been several meetings where hundreds of people have met, both non-governmental organisations and individuals who want to contribute to the situation we are now in. Only at the meeting that concerned those who wanted to become foster parents did 200 people meet. Kjetil Aas, an adviser in foster care, says that he has never seen such an encounter before at a similar meeting. He goes on to say that there are children under the age of 15, most of whom are 14 years old, but there are also children under the age of 10 without their parents. My question to the Council of State is therefore: how can we ensure that the engagement is kept, that these are quickly assessed as foster parents, so that children do not wait unnecessarily long for a family?
ParlaMint-NO_2015-11-18.ana.ud1624e236	Yeah, it's a popular commitment, which is amazing. Buffetat reports a record attendance across the country at the information meetings we have, and there are record numbers who report their interest in becoming foster homes. That is why we have also started intensive training on these, because it is important that foster families receive training and are approved as foster families. So we know that the recruitment process takes some time, but at the same time there are now several families that are approved and ready to become foster homes. Then it is important to stress that Bufetat is responsible for housing single minors, but we cannot therefore oblige the municipalities to accept single minors. All we can do is encourage the municipalities to take advantage of the popular commitment that is out there and let the families that are now willing to become foster parents get that chance, so that we can create more homes for the children who quickly need a home.
ParlaMint-NO_2015-11-18.ana.ud1624e243	Heidi Greni - to the next follow-up question.
ParlaMint-NO_2015-11-18.ana.ud1624e246	The Council of State calls for stronger municipal efforts to respond to lonely minors. This applies to those under the age of 15 for whom child protection is the responsibility and to those between the age of 15 and 18 for whom the UDI is responsible in reception. I think the municipalities are set to make an effort, but it assumes that the conditions are right for it. It is not useful to appeal to the municipalities to receive lone minors and at the same time to send the bill for the task they will do for national authorities. Unfortunately, it is far too much today. Governments call for foster home placement. Is the Council of State doing a good enough job from Buffetat recruiting foster parents? Are there good enough conditions for people who dare to take on this responsible task and give good enough conditions to the municipalities that say yes to these foster homes?
ParlaMint-NO_2015-11-18.ana.ud1624e253	The size granted 5 million. kr extra for a campaign for the recruitment of foster homes. After that campaign, we have received record numbers of dedicated families who want to be foster homes. It's an important job. I would like to stress that the municipalities have today refunded 80 pst. the costs incurred by them for the protection of children. This applies to those under the age of 15 and those over the age of 15. As a resident, I have given priority to single minors when we are going to live, so that we can settle them quickly. In addition to the 80 pst. the government increased the special grant for the current year and for the following year by 25 million. kr. In the additional number, we suggest an extra NOK 100 000 per person if they settle beyond that limit. So it's economic for the municipalities. The conditions for foster parents follow the usual rates for other foster homes.
ParlaMint-NO_2015-11-18.ana.ud1624e262	André N. Skkelstad – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e266	It has to be opened up to think alternately about settlement. Several actors who are very active have shown an offensive attitude in this regard. It is also linked to, for example: the recruitment of foster homes. There is a great will among people to be part of and contribute. In the alternative way of thinking, the Left wants one to establish SOS children's cities for single minors, as we see in several European countries. It might have been interesting to hear whether the Council of State agrees and is open to such an assessment as the Left stands in this matter.
ParlaMint-NO_2015-11-18.ana.ud1624e271	I am familiar with the model that SOS children's cities have, and I myself have visited SOS children's cities outside Bergen. They have one foster home location in Norway, but this is about opening up to more people. It's a very good model, and it's something that we're in good contact with SOS children's cities about to see if there can be a model for foster home placement in the municipalities. As we have also said in the supplementary number, we are going to investigate other housing models for the lone minors, and it is up to the municipalities whether they will settle for single minors. But using the model for SOS children's cities, which is clearly a good example, we have to see if we can do more of this.
ParlaMint-NO_2015-11-18.ana.ud1624e276	Sonja Mangt – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e279	Recruitment of foster homes and SOS children’s cities are important measures, but also the municipality’s economy. The municipalities today receive a refund of 80 p.m. There is one of the things that makes many municipalities stop living, we have received feedback on. Has the Council of State considered increasing the amount or other measures that make municipalities more home?
ParlaMint-NO_2015-11-18.ana.ud1624e284	I record that in the budget of the Stoltenberg II government there was 10 pst. reduction in the previously 100 pst refund scheme. The government decided in 2014 to decrease to 80 pst. reimbursement to municipalities with child-restraint costs. But in addition, the Storting increased the special grant by approx. 10 pst., so the municipalities indirectly cover 90 pst. the cost of child protection for the lone minors. In addition, the government has increased the special grant to single minors, both for the current year and for the next year, in addition to the 100 000 extras that municipalities now receive if they settle several single minors.
ParlaMint-NO_2015-11-18.ana.ud1624e291	Let's move on to the next main question.
ParlaMint-NO_2015-11-18.ana.ud1624e294	On Monday, there was a letter from the government, together with the KS, asking all the municipalities of the country to settle 18,000 refugees in 2016. The letter states that the UDI lights up 30,000 new reception points to meet the need. Municipalities are now increasingly encouraged to establish their own reception. It is said in the letter, which has been sent with the management of the KS, that there is great will from the municipalities and civil society to stand up for the refugees, and that the government is grateful for it. I agree with the Prime Minister that the municipalities are doing a good job of settling and integrating refugees. At the same time, the need increases, and it is important that all municipalities – small and large – participate in the work. This costs. Local government expenditure on housing and integration shall be covered by direct government grants and not by the framework transfers, as is covered by the other services provided to municipalities. It is a fact that municipalities have more expenditure than they are covered for. This applies both to the host municipality grant for asylum recipients, for which the Ministry of Justice is responsible, and to the integration grant for which the Ministry of Children, Gender Equality and Inclusion is responsible. Independent calculations show that the integration grant covers approx. 90 pst. of the average costs of the municipalities. The Council of State shares the conclusions of the Calculation Committee, which shows that the municipalities only have 90 pst covered. the costs of integration? And if that is the case, why is there not a proposal for better funding now that we have such an extraordinary need to increase the municipal settlement of refugees?
ParlaMint-NO_2015-11-18.ana.ud1624e303	I want to give praise to the municipalities, because they have done a historic settlement effort in the last two years. So this year we've been able to settle for 34 pst. more than what we did in 2014 and 2014 was a good year. The situation we're facing now requires municipalities to live more than they've been doing this year, and it's going to be a challenge for them. There is now a letter from IMDi requesting that the municipalities have to settle more people. About 18,000 people need to live next year, so in the 18,000 there's about 18,000 people. 4 400 single minors, in addition to the 3,000 Syrian quota refugees that the Stortinget has decided to settle. Today the municipalities are covered by 90 pst. of their costs. But this isn't just about housing, it's about the integration work that individual municipalities also do. The municipalities that are good at integration, which are able to get them out quickly in education or work after the two years of introductory programmes, are also allowed to keep that money. There are several municipalities now doing plus integration because they're good at this work. There is an effort that we need to intensify in order to make more municipalities more successful in integrating work, so that each refugee can participate and contribute, use his resources and become a resource outside the municipality and not a cost in other budgets. The 90 pst is a computational sample. The government’s efforts in recent years have increased the integration grant by more than 300 million. kr, the coverage has not been so high since 2009. In addition, we know that the municipalities report that the challenge is housing, and that is why I am very pleased that in several areas the government has also increased the grant of the House Bank so that it is easier to receive grants for rental housing.
ParlaMint-NO_2015-11-18.ana.ud1624e312	In the government's supplementary number to the State budget, proposals were made to raise the rates of the host municipality grant for residents in reception by 20 p.m. The Prime Minister, in his letter to the municipalities, points out that increased settlement is essential to ease the pressure on the reception apparatus and to give the individual refugee a good start. I am pleased that the Ministry of Children, Gender Equality and Inclusion proposes to increase the integration grant for lone minor asylum seekers living in 2016 by NOK 100 000, but there is a great need beyond that. The government has announced that it will present a major communication on integration policy in the spring of 2016. Will the Council of State ensure a broad review of cooperation with the municipalities on the conditions of residence, including the rates of the integration grant? There is also reason to wonder whether the increase in the integration grant for single minors is going to be a one-off measure that will only apply in 2016?
ParlaMint-NO_2015-11-18.ana.ud1624e319	Increase in the integration grant is something we need to get back to in the ordinary budgetary process. I'm glad we've started to increase the integration grant now for two consecutive years. It's historically loud. The municipalities will have 90 pst covered. Of the expenses they have and the municipalities that are good, they also keep this money. Then I fully agree with the representative that it would have been best to have settled more quickly. We had also been released in both receptions and care centres. That is why I am pleased that we have also increased the grant to the lonely minors. We hope that the municipalities now show willingness to be able to accommodate more people, so that they can start their lives in a municipality and not be allowed to live in a care centre, which is an expensive model for the children concerned.
ParlaMint-NO_2015-11-18.ana.ud1624e326	It opens for follow-up questions – first Gunnar Kaus.
ParlaMint-NO_2015-11-18.ana.ud1624e330	In its budget, the Council of State states that: ‘The government will assess whether there is a need to return to the Storting with proposals for changes in the promise linked to the alien area in an additional issue of the 2016 draft budget’. In the additional number we have now received, which is for treatment, the allocation of municipal child protection measures for lone minors has been cut because it is estimated that the 2016 estimate was set too high – that is to say, the opposite of what one could expect from the referenced quotation. One acknowledges the problem that municipalities accept fewer because of cuts in reimbursement rates, but does not do enough to address the problem through increased rates. Now the Council of State has already answered a number of questions, but I want a clearer answer: will something be done to correct the large budget cuts in child protection measures for lone minors? The central party is going up there in its alternative budget, but the question is, what is the government going to do?
ParlaMint-NO_2015-11-18.ana.ud1624e342	I am not quite sure if I understand the question, but it is Bufetat who is responsible for lone minors under the age of 15, so we have also increased the grant to the care centres in the revised national budget, and we have increased it for the current year and for the next year by 1.2 billion. Dr because more care centres need to be set up. Then it's not in the care centers the lone minors are going to live, it's out in the municipalities, and most of the municipalities that live in single minors give them a child protection offer, and there the government covers 80 pst. of the expenditure incurred by municipalities. In addition, we have increased the special grant to lone minors that municipalities can use, and we have increased it further for next year. So I believe that we have strengthened the work of child protection against those children who need child protection measures.
ParlaMint-NO_2015-11-18.ana.ud1624e349	It has been such that it can be called the first- and second-line service, has received a great deal of focus from the government – UDI, the police, etc. – in the case of asylum seekers. Two days ago, the Prime Minister, together with KS, sent out a letter stating the first line: ‘The situation in the Norwegian asylum system can now be described as a crisis.’ The increase in relation to this is formidable, and the government is now given the time to see the crisis come and move out to the third stage, out to the municipalities. The council itself was concerned that many people should be settled. So the question is, does the Council of State really think that the municipalities now have the toolbox they need to do the job the government asks them to do in 2016 and 2017?
ParlaMint-NO_2015-11-18.ana.ud1624e359	We are facing a very demanding situation. There are unusually many who come to this country and who are seeking asylum, and a good part of them are allowed to stay and are also to be settled in a municipality. What is the situation now is that municipalities have to live more than they did before, unless the individual is allowed to stay in reception. What the situation now says is that it is also demanding for the municipalities, and therefore I am very happy that the government has a close and good cooperation with the KS in this work. We have seen that the Health Directorate has today called for the opening of a health pool for health professionals who can be involved and contribute. All three directorates, child protection, education and health, have sent letters to the municipalities to look at their responsibilities towards all children living in a municipality, and how important it is that the children receive follow-up. But it's demanding, and we also have to get back to the costs of this demanding work.
ParlaMint-NO_2015-11-18.ana.ud1624e366	Geir Jørgen Bekkevold – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e369	It is quite right that the next year will be a demanding situation when up to 18 000 people are to be settled in the municipalities. We need even more municipalities to take on that challenge and get on with the skill that this will entail, but then we may also have to look at different ways of living. One of the things that it's pointed to is this self-dwelling. Is there something the Council of State will work more on, and not least a self-settlement where you do not lose the right to, for example, Norwegian training?
ParlaMint-NO_2015-11-18.ana.ud1624e374	Self-settlement within today's system is very good and makes the refugees faster get out of reception. I have also commissioned the IMDI to work actively with the municipalities to make use of the self-settlement scheme within the current system that is possible. So it is that the individual, if you find a dwelling, finds a job and can be self-sustaining, has the opportunity today to move out and find the municipality you want, and you do not lose the right to Norwegian training. This right to Norwegian training follows you, and the municipalities also receive the subsidy. But that's the way you have to be self-sustaining, and if you're not self-sustaining when you've chosen to live yourself, you can risk having to go back to reception where you're covered with food and lodging, but there's no refugee who settles today, who loses the right to Norwegian training.
ParlaMint-NO_2015-11-18.ana.ud1624e381	André N. Skkelstad – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e384	Governments are right that a greater degree of activation will make it easier to get into work after reception. It will also make it easier for many municipalities to accept refugees if they are already well-informed in language training and in many ways have a clear competence — perhaps even some work experience. Despite increasing unemployment in many municipalities, many municipalities are also struggling to attract the necessary labour. Can the settlement work be easier if the integration is well started in the reception, so that there are more people who can go straight to work when they are settled? That's a fundamental question. This could result in much more people being out of activity and not being passive. Isn't that what's a bit of a goal?
ParlaMint-NO_2015-11-18.ana.ud1624e393	I have met many rapporteurs and refugee consultants working on integration work in the municipalities, and one of the things they point to is that they would wish the refugees had been better prepared in Norwegian and had work training before coming out to the municipalities. That is why we need to look at the Norwegian training that is taking place in the municipalities of reception, and the Norwegian training that is taking place in the municipalities of residence. The government has committed next year to get extra money for a better monitoring of the individual. We also have to look at getting more momentum into integration, because some people need a little longer time, while others need shorter time. It's important now that people may be longer at reception, that we start the integration work much earlier in reception for those who have been accommodated, so that they are better prepared when they get into the municipalities. It is best for the municipality, and not least it is best for the individual, who can quickly get into work or education and help contribute to society.
ParlaMint-NO_2015-11-18.ana.ud1624e400	Karin Andersen – for follow-up questions.
ParlaMint-NO_2015-11-18.ana.ud1624e404	Now the Council of State says Norwegian training is important, and at the same time she is cutting Norwegian training. In the budget, she says that the faster a refugee gets to live in a municipality, the faster he can participate and contribute his resources in working life and society. This is the SV fully in agreement. What we're doing now, it's going to take years. It's expensive, we pay for years for people on reception. It's passivating, and it's an unemployment and a lunaticization of the refugees. The best thing to do is to settle quickly. We need a new system, as proposed by SV, and as we investigated when we were in government. Every municipality settles, and the state pays. This is absolutely necessary, because it is the country that makes stays in Norway. In addition, we need a different maritime settlement system — at least to have it figured out — with the exception of some press areas that are used as counter-arguments each time. I want to ask the Council of State: is not the most important thing now that we succeed in good integration, or is the municipal veto that is the most important?
ParlaMint-NO_2015-11-18.ana.ud1624e415	The most important thing now is to put in place tightening and quick returns, and then we have to work to integrate those who have been legally accommodated. It is absolutely true, as the representative Andersen says, that SV in the government was investigating different housing models, but I also record that the previous government that SV was part of, did not propose this. The government presents the voluntary settlement system we have today, but we need to be more effective in the integration work, so that the municipalities feel that those who are staying and who are to be integrated into the municipality quickly join and contribute, get used to their resources and become a resource in the municipality. It's a work that I've intensified, and that we're going to work extra on now, because it's important throughout this integration work that you get to use your resources. We expect to have covered quite a large amount of costs that the municipalities have in this area. The integration work to be done now also comes back in a big message that we are promoting in the spring.
ParlaMint-NO_2015-11-18.ana.ud1624e426	Let's move on to the next main question.
ParlaMint-NO_2015-11-18.ana.ud1624e429	My question goes to the State Council Helgesen. In spring, it became clear that Norway has the ambition to join the EU Climate Framework, which will ensure 40 pst. cut in greenhouse gas emissions up to 2030. That's good. It is also the objective Norway has notified to the UN prior to the Paris climate summit, which will be implemented despite the terrorist attack last Friday. However, in order for the EU to achieve its ambitions by 2030, it is likely that a number of existing directives that Norway has not yet implemented, such as: the 2012 Energy Efficiency Directive and the revised Building Energy Directive of 2010. The directives are in line with already stated policies in this area and Norway will have room for adaptation. The Directives will also be seen as a tool for achieving important energy efficiency improvement targets in Norway and the EU. For example, State Council Tord Lien has stated that a national numerical energy efficiency improvement target will be presented in the Energy Communication expected in spring 2016. A national energy efficiency improvement target is also outlined in the Energy Efficiency Directive of 2012 but also goes further by presenting the accompanying Energy Efficiency Improvement Action Plan and a long-term strategy to mobilise investments in the rehabilitation of housing, industrial buildings and public buildings. The Directive implies that state buildings such as government buildings, colleges, town halls, etc. be rehabilitated to high energy standards. It's important that the state becomes a leading actor here. Another example of the contribution of directives to the objectives of Norway is through the revised Building Energy Directive of 2010. According to the climate agreement, building should be at almost zero energy level from 2020. By including the directive and having a parallel process in our own climate agreement with new energy requirements for construction, we would be able to ensure both predictability and a level playing field for the Norwegian construction sector. My question to the Minister of Energy is therefore: Will the government ensure that Norway joins the entire EU energy framework, not just the climate framework, and implement the building and energy efficiency directives?
