ParlaMint-NO_2015-12-02.ana.ud524e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2015-12-02.ana.ud524e98	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e101	Much of the unemployment we see is a result of the fall in the oil industry. The Christian People's Party seems to have done a lot of good work in different areas to meet this situation, both in the budget and in the action package. But yesterday and today, we could read, especially in Stavanger Aftenblad, that it is not only the oil industry and the supplier industry that are being hit, but also the five largest contractors who are notifying about their permits. It's almost like a house that's getting rich on the ground wall. Is the government assessing further short-term and medium-term measures within the next months and next year to meet the situation, especially for very many people in the South-West?
ParlaMint-NO_2015-12-02.ana.ud524e109	Then the government added a package of 4 billion. In the budget, it was precisely because of the situation that is primarily concerned not only with oil producers but also with the supply and service industries in the area. That is why we have also said that we should concentrate some of the instruments where unemployment is growing most, and that is in the South-West. And that's why we've added up to activities related to, among other things. construction in these areas in order to have more activity to offer and to ensure that we can help people maintain both knowledge and competence, but also turn to other types of jobs. We know that for a long time we have lacked engineering skills. We know that many companies have not had enough skilled workers. Now it's about getting that workforce in other areas and getting used to it, so people don't go out on the road. Some leave will be in the job change situation, but it is important to make sure that it does not get stuck and stay long. But job number one has to be getting the new jobs. We also have to have a lot of concentration on that.
ParlaMint-NO_2015-12-02.ana.ud524e116	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e119	Last year, the Stortinget decided to add 10 billion to Statkraft. crowns in order to implement the investment plan. This plan includes, inter alia: the development of wind power in central Norway. This would be one of the largest construction projects in mainland Norway ever. Norway needs it now. Quickly and unexpectedly, the majority of the parties take half of the money back. This is happening at a time of increasing unemployment and, among other things, of increasing unemployment. financing projects by bathing in kindergartens. Even for Statkraft, it's noticed when someone raps 5 billion. krones. Projects that are not realised do not provide jobs for the future. What we need now, is action, not good talk. So my question is, does the Prime Minister think this is a wise decision at a time when employment needs are high? And can the Prime Minister promise that she will ensure that the Fosen wind power plant is built in line with the expectations you had when the case was dealt with in Stortinget last year?
ParlaMint-NO_2015-12-02.ana.ud524e126	There have been over time different signals from the State on whether they will participate in carrying out the investments on the Fosen, and to what extent they will implement it and contribute. I respect the fact that the parties have adopted and said that they want to take a greater profit from State power, because, among other things, they want to take a greater profit from State power. has seen a different investment structure from that originally underpinned by Statkraft. But I think we're going to respect that and take that profit. We have new challenges today. There is a lot in the budget we have put forward that contributes to more investment and contributes to long-term investment. Then there is a responsibility for State Power and the other partners finally to decide whether they can realize the wind power project on Fosen.
ParlaMint-NO_2015-12-02.ana.ud524e131	Terje Breivik on follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e134	Although Gahr Støre has not understood it, the Prime Minister is well aware that measures that will strengthen employment, value creation and green growth have been one of the main priorities of the Left in the recent budgetary negotiations. The additional billion that the government had contributed to various business and innovation measures has been double, a new state green investment fund will be established, and a green tax shift of a certain format is in place, where work and employment and value creation are being premiered. The question is whether this is enough, not least because it is urgent, both for a business that has to compete in a world market where green values for the longest are heavy drivers, and for strengthening climate reconciliation – and whether the Prime Minister sees additional measures, reinforcements, all in revised 2016?
ParlaMint-NO_2015-12-02.ana.ud524e143	I hope we can get the state budget adopted for 2016 before we discuss how to revise it. It is good that we are getting started and seeing the effects of a budget which is both expansive and offensive, and which has not least become even more offensive in some areas through the budget agreement we have reached in Stortinget. For this government, creating a competitive Norway and taking Norway safely through a transformation that means that we have a broader basis for our economic base, a main task. In every budget round we've had on Stortinget, we've strengthened the measures related to this, and we're going to show flexibility as demand increases for different types of action to achieve it. We have to do something both in the short and long term. The most important thing about what we do in the short term is that it contributes to activity, but it doesn't go the wrong way with what we're going to achieve in the long term, which is being more innovative and greener, but also having more jobs, which can pay taxes in the future.
ParlaMint-NO_2015-12-02.ana.ud524e150	Snorre the Serigstad Option - to the next follow-up question.
ParlaMint-NO_2015-12-02.ana.ud524e153	In a state budget with record oil spending, was it really necessary to cut half a billion in employment measures in municipalities and increase the tax on unemployment in order to pay for refugee expenditure?
ParlaMint-NO_2015-12-02.ana.ud524e158	The government put forward a package of $4 billion. kr for increased employment, more conversion and more work. There is no doubt that with the establishment of more asylum recipients, with much of the activity taking place, there will also be activity and employment related to it around Norway. There are also limits to how much money you should spend. The government created a budget impulse of 0.7 pst. for our ordinary budget, which received good support from professionals, that this was a proper economic policy at the moment, and that it was where we should be in this year's budget, not spend more oil money. That is why we have chosen to make some changes to the device on some of the package, but also in other areas of the budget, which are not our primary wish, but which help us to get into port within responsible budgets, with a budget that contributes to work and employment. Then there are some parts that get slightly changed, and that's natural. It's really a good thing to fit into 9.2 billion. in a finished budget.
ParlaMint-NO_2015-12-02.ana.ud524e167	Let's move on to the next main question.
ParlaMint-NO_2015-12-02.ana.ud524e171	There are not many weeks since the Prime Minister was in Stortinget last, but much has happened in the security policy area. The cruel war that is raging in Syria and parts of Iraq causes many to ask whether this will increase uncertainty even beyond the Middle East. The Paris terror showed that violence can infect Europe. Turkey's shooting down a Russian fighter plane created an unwanted tipping of the conflict; and since Turkey is a NATO country, the shooting down could sharpen the relationship between NATO and Russia seriously. That is why I am pleased that NATO's Secretary-General now insists that what we need is a slowdown in the level of tension, active diplomacy and political discussions on the way forward. The same blasphemy had the UN special broadcast to Syria when he visited Norway on Monday. It is clear to everyone that increasing bombing and using weapons is not a solution, because there is a lack of a common political roadmap. The main actors involved in the fight against the terrorist group IS have to step down, not use the forces to fight each other. A truce between them and a political process about Syria's future is now needed. People need to know what's coming instead of IS's terror fields. Only then can there be a basis for cooperation that can sweep IS off the track. How does my Prime Minister think Norway can help to promote the political process and the cooperation that is needed to give us a quick hope of stopping military struggles between the many parties that share the desire to fight down, create a road map for peace in Syria and reduce the threat of terrorism?
ParlaMint-NO_2015-12-02.ana.ud524e182	I fully agree that we have a bigger and more challenging security policy situation than what we have had in the past. This concerns both what happened in Ukraine and Crimea last year, and the increased warfare in Iraq and Syria, although this is a conflict that has been going on for quite a long time – soon within its fifth year. One of the major challenges is that many of the conflicts of interest — yes, almost all of the conflicts of interest — in the Middle East are also gathering in the conflict in Syria and Iraq. The different countries have different interests, and therefore there has been no collective intervention to reverse ISIL in Syria, at least not up to now, because one has been more concerned about fighting for the interests of its own stakeholders in the area. What may seem to be a greater ‘momentum’ now is to reverse ISIL and put a little away these spheres of interest that neighbouring countries have, as Russia has had, and that have made it difficult to reach the political solutions. We believe that there is positive progress in the conversations, but we also have to do something on the ground in terms of weakening ISIL militarily, I think, in order to get final solutions. But if the cancers now work on this, we'll see more results in that area. That's how Norway contributes. We experience a lot of good feedback on the contributions we make. One of our most important contributions is the initiative we have taken at a donor country conference, where we have now received both Germany, the United Kingdom and Kuwait as partners, to help help with the refugee situation. Clearly, for the nearest neighbouring countries, it is incredibly important that we find solutions to the refugee situation and the framework conditions around it, because the local population in the same areas also bears a burden.
ParlaMint-NO_2015-12-02.ana.ud524e193	I thank you for your answer. The Prime Minister says that there is no collective grip; I agree. However, there are also some positive moves now – the fact that Russia and the United States are at the same table, the fact that countries like Saudi Arabia and Iran sit together for seven hours and discuss how they can resolve the conflict. We wouldn't have believed that only four weeks ago could have happened now. Staffan de Mistura, who is a special broadcast for Syria, was asked when he visited Norway, and he said, "Someone bombs them, but to win requires a political solution in Syria." If you know what the political solution is, he was asked about it. Then he replied: inclusion, including those who feel excluded, especially sunnar, so they don't feel that they have to tolerate IS, in the hope that one day they will be included. My question is, what ambition is Norway and the Prime Minister have in order for us to have a political solution, and within what time perspective?
ParlaMint-NO_2015-12-02.ana.ud524e202	Norway has every time this has been addressed, said that we do not solve this militarily; we solve it politically. There must be a government in Syria that is inclusive, which has a transition to a democratic or another government in the future, where all groups are included. This also applies in particular to what has been a very important political point for this government in relation to Iraq, for our commitment to Iraq, that the Iraqi Government must also be able to be inclusive, secure representation both from the Sun and from the Kurds, in a way that makes them agree with the fight against IS in their own country. We need both to fight it in Iraq, where we also participate with military assistance in the form of training, and to fight it in Syria. The time perspective is hard to say about. This is about the will of the countries with the greatest interest in this area, and now it is a ‘moment’ of the terrorist acts in Paris. I hope we can see it in months, but there are a lot of interests that need to be settled to get it done.
ParlaMint-NO_2015-12-02.ana.ud524e209	It opens for follow-up questions – first Kjell Ingolf Roppstad.
ParlaMint-NO_2015-12-02.ana.ud524e212	First of all, I would like to thank you for your answers. My party leader referred to the UN Special Mission to Syria, and he pointed specifically to at least three factors that had changed, which made the situation look more positive. He pointed out first that the refugee conflict affects everyone in Europe, and thus there are several people who have an involvement in the matter. The second is that ISIL has progressed, and the third is that there has been a change in conditions since Russia intervened in Syria. He referred to the negotiations in Vienna and the conversations there, and despite the shooting that Turkey made of the Russian fighter plane, he thought it was a very positive progress. But he stressed that it needed political action to, quickly, and his goal was that the processes started well already in January 2016 – not in 2017, not in 2018. And when we see the sufferings and the conflict that rage, it's urgent. What does Norway want to do to really speed up the processes? How can we contribute?
ParlaMint-NO_2015-12-02.ana.ud524e219	Firstly, I agree that it is important to get solutions quickly, and I agree that there is a ‘momentum’ at the moment. Now both France and Russia are taking terrorist actions that are likely to originate from forces in or around or inspired by ISIL. It also helps to increase the motivation they have, and the military activity has increased. Then we also hope that it comes to the political table. We contribute by highlighting the need for the political solutions with all of those we talk about, but it's clear that we're not the ones in the first row to solve this. But we're dealing with conflict resolution expertise, we're facilitating groups and work. After all, we have worked for several years with individual groups in Syria to work with local peacekeeping, local conflict resolution. So, as I said, it's also this with someone taking on leadership responsibility by making sure that there's money coming in to help in the most critical areas. Norway has taken a lead in this.
ParlaMint-NO_2015-12-02.ana.ud524e228	Anniken Huitfeldt – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e231	I would like to thank Mr Hareide for an important question and the Prime Minister for giving good answers. We are a small country and totally dependent on international law and that not large states are able to accommodate small ones. That is why we condemn Russia's actions in Ukraine and support the sanctions. «From dialogue to action» was the Prime Minister's slogan when she presented the government's Northern Territory bet a year ago. But isn't the time we're in now, a time when there's just a need for more dialogue? We disagree with Russia in many ways, but in today's situation we have a fundamental common interest in combating terrorism. Will the Prime Minister increase the dialogue with Russia?
ParlaMint-NO_2015-12-02.ana.ud524e236	I think those who come on TV see that we have extensive dialogue at the moment, with some common problems at the north border. We have conversations with Russia in different areas. But I've been very concerned that the situation that has followed Ukraine and Crimean annexation should not lead to Norway taking a kind of bilateral role that is different from our allies in this context. We're going to continue the good cooperation we have in the north, we're still going to be completely predictable in what we're doing, we're going to underline that work. But I still believe that the basis of our bilateral cooperation should be the relationship between Norway and Russia, and then we should agree on the major solutions with our allies and others. It is still important, also for the sake of one million people who are internally displaced by the war acts that go up and down in Ukraine, that we remember that if international law is our first defense, international law is also for the first time in recent years broken on Europe’s land – just by Russia.
ParlaMint-NO_2015-12-02.ana.ud524e243	Live Signe Navarsete – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e247	It needs political solutions to resolve the situation in Syria and in the region, but TV 2 could report yesterday that the United States will now send special soldiers to Syria and Iraq to carry out missions. TV 2 also reports that Germany will probably offer military support in the form of reconnaissance planes, frigates and up to 1200 soldiers, and the UK Parliament discusses whether to also launch air strikes against IS in Syria. In other words, it seems that the war will be escalated. Norway has no tradition of making military contributions without mandate from the UN or as part of a NATO operation. The Central Party has expressed concern about whether Norwegian forces can thereby end up in a potentially long-term war with uncertain results. We also fear that a Norwegian military contribution in Iraq will seize resources that could benefit from training and operations in Norway. How does the Prime Minister assess this situation? What does it think is Norway's role in this escalation of military intervention that is now taking place in Iraq and possibly Syria?
ParlaMint-NO_2015-12-02.ana.ud524e256	It is true that France has been hit by a terrorist attack on its own land with a background in this area. They have not asked for help from NATO nor have they asked for help directly from Norway. But it is clear that they have experienced an attack on their territory with the background of this. It is always difficult to make the international legal assessments of the situation; it will always change over time. That's why I think having absolutes is not right. As of today's date, we have not received any request for military support beyond what we are giving today. Our starting point is that in Iraq, the local and neighbouring forces should be mobilised most locally and built up the Iraqi army as an inclusive army and as an army capable of reversing. There we see that our role in the future is primarily training. I would say that in a situation that is dynamic with these changes, we will make assessments if we get requests, and then we will also make the international judgements. To philosophize so much back and forth around it before we see concrete situations, I don't think will be very useful.
ParlaMint-NO_2015-12-02.ana.ud524e261	Ola Elvesuen for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e264	There is little doubt that the IS must be combated militarily, and Norway also contributes with the forces we have in Erbil and in Baghdad. The situation in Syria is terribly complicated, and it's relatively easy to define who you're against; it's harder who you are for. It could be the Kurdish areas in the north where you have a stability, where you live four and a half million people, and where you can also contribute to the reconstruction needed in the area. But then it gets more complicated. Russia is primarily involved in Syria to assist the Assad regime more than it is a dedicated fight against IS. The question is: what is the Prime Minister's view of the possibility of finding a solution for Syria while at the same time being able to make a transition where the Assad regime is also gone? After all, it is all the regime that is responsible for the greatest deaths in Syria. [[The President clubs.]]
ParlaMint-NO_2015-12-02.ana.ud524e271	In our opinion, a political solution must continue to include that the Assad regime is changing, that there is going to be another common government. And so it is that a political solution must be chosen by the people who are actually to be governed by the political leaders. The rest of us can have a lot of strong leadership about who should be there or not, but it is the country and the population themselves that must gradually gain control. A political solution with Assad at the top over a long period of time, in my opinion, is not a sustainable solution, and that will not allow people to come up with. I believe that the starting point must be the requirements that have been set before, and then you have to find transitional arrangements to solve this. But it is, as I said, a solution that must be owned by Syria's own population and its own groups, and not necessarily just dictated from outside how it should be.
ParlaMint-NO_2015-12-02.ana.ud524e276	Audun Lighthouse for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e279	Finding a solution to the crisis in Syria is not about placing only the actors in the conflict itself, but also those outside Syria who have contributed in various ways to a very complex picture of war, where conflict lines cross and cross. Then the West must also dry to look critically at our own allies, at the role of Turkey, and not least at the one Islamic religious dictatorship that the West actually supports, the one in Saudi Arabia, which plays a role in the conflict in Syria, has played a role in the conflict in Yemen, which whips oppositionists, who are known for a very brutal policy towards both their own people and others. Therefore, my question to the Prime Minister is: Norwegian exports of military equipment to Saudi Arabia doubled last year. Will the Prime Minister now consider stopping such an export?
ParlaMint-NO_2015-12-02.ana.ud524e284	I just want to start by saying that I agree that you have to look critically at all the actors, including those who are allies, and the interests they have. We must put them in charge of whether they support, whether they follow the sanctions, whether they provide the financial basis, for example. for ISIL, who has obtained a lot of money. They're obviously also dealing with their oil. Then it is important that we follow up and take responsibility for the trade routes and other things that are in order to get that material out. There is no doubt that there are forces both in Turkey and Saudi Arabia and others in the game between many countries that have the smaller countries in the region as a sphere of interest for their groups and that are ethnically different and religiously different. It's a big game. We are concerned that our relationship with Saudi Arabia should be based on the export rules we have today. We have currently no plans to amend the export rules to Saudi Arabia.
ParlaMint-NO_2015-12-02.ana.ud524e293	Let's move on to the next main question.
ParlaMint-NO_2015-12-02.ana.ud524e296	It's a long-distance country we live in, and it's activity and value creation from Finnmark in the north to Agder in the south. In this country with fjords and mountains and great distances, there is not railway everywhere. The president's home state and my home state are the two states where we're flying the least. But you go north, in Finnmark, that's what you fly most. There's no railway, and there's no fighting distances. If we go all the way to North Norway and also the West, the small airports, the short-haul network, the connecting link that connects the parts of the country, and that connects the country. Many of those routes are marginally profitable. Aviation has reacted more or less with disbelief that there is now a charge that makes the routes that are today marginally profitable become unprofitable tomorrow. And they are clear that very many district routes will disappear. The forest Lund, NHO, has said that thousands of jobs can disappear. NHO Aviation called the charge on nationwide radio — I regret the use of language, but it is the words of the NHO — ‘galitatias’, ‘symbol’ and ‘molbopolitik’. Last year the bag fee came – a late nightly hour no one wanted a fee. Fortunately, it was blown off in the last hour. This year, it's this plane seat fee that's coming in late at night. My question is: Can we hope that the same thing happens with this tax that happened with the bag tax last year?
ParlaMint-NO_2015-12-02.ana.ud524e305	I have little faith in that. Climate taxes are among the things a broad majority of the Stortinget has said should be important instruments in the future. We're going to increase the green tax rate and reduce the red tax rate, i.e. the tax rate on work and businesses. It's important for employment, it's important for the future of work, it's important to create jobs. So we're going to have to value it to contaminate. Air travel pollutes. Then there is a climate tax on air travel, which the four parties have agreed on, in line with the basic assumptions – and the basic majority we have had on the Stortinget – that we should actually turn that way. I think this is a fee you have to charge yourself for coming. It will be consulted on how to implement it technically. It is important to remember that if the 'polluter pays' principle is to be implemented, there are some changes in our society that we need to be involved in. We'll take them, among other things. that air travel becomes a little more expensive. Then I would like to say that due to the policy of the previous civil government, which contributed to significantly stimulating competition in Norwegian aviation, air travel in the last 10-15 years has been significantly less expensive than it was in the 1990s and until more competition was provided in Norwegian aviation. So we've got lower prices. It costs less to fly than it has been for many years. But it is that the polluter has to pay, and then it becomes payment through a fee.
ParlaMint-NO_2015-12-02.ana.ud524e319	In the revised national budget last year, there was a targeted tax relief for foreign aviation with larger tax-free allowances. The increase in charges contained in the year’s draft budget is a targeted increase in charges on domestic aviation, especially on many of the marginal routes. I understand that the Prime Minister thinks it is entirely right that many small places can now be in danger of losing their collective offer. To me, it's completely incomprehensible. It is also quite incomprehensible that the Prime Minister, who is responsible for the national budget, pushes the climate argument so clearly in front of him, because if you read the national budget, as the Prime Minister stands behind it, it says: ‘Extra measures in Norway for ETS will not contribute to the reduction of the total emissions of aviation in the EEA territory.’;» It's in the Prime Minister's national budget. Is it no longer valid? What has happened that makes what you presented a month ago, that it wouldn't have any effect, now all of a sudden it has an effect?
ParlaMint-NO_2015-12-02.ana.ud524e333	Fees have an effect, but that does not mean that it is the sum of allowances – but today there are so many allowances out there that it is likely to have an effect. In a tighter allowance market, what we're doing wouldn't have had such a big effect. But there's a discussion whether we're going to do enough at home, or whether we're going to do everything out. In the area by area, we can argue that we have less emissions in Norway, and therefore we should do more of this in Norway. For example, I'm registering. that today’s edition of the United Nations says that we should have more cows in Norway, because importing meat is more expensive or emits more emissions than others. We can argue for everything we do here, but it gives greater national emissions. If we are to take the emission reductions in the national climate of what is not in the quota areas, only transport and agriculture are left with some specific emissions. It would also be a challenge if we were to achieve the 40 pst target, because the two sectors don't even have 40 pst. of emissions in Norway.
ParlaMint-NO_2015-12-02.ana.ud524e340	It opens up for follow-up questions – first Janne Sjelmo Nordås.
ParlaMint-NO_2015-12-02.ana.ud524e343	The Prime Minister has traveled a great deal, including: in North Norway. I have recorded that the Prime Minister has said that North Norway is the growth region of the future, which will carry the country's well-being in the future. It seems to me to be a paradox now when the prospects of business are a competitive disadvantage, with increased costs and poorer collective services, because in practice the air services for North Norway and for some other regions are the only collective services available at longer distances. My question to the Prime Minister is: is not the Prime Minister at least a little concerned about the consequences of the new charge for business around the country?
ParlaMint-NO_2015-12-02.ana.ud524e350	An increased charge will increase the costs for those who pay it. At the same time, this government significantly lowers the tax burden. Company tax goes down by 2 percentage points in the budget. It gives tax relief to business. We're switching from red taxes to green taxes through this. That means we're doing what everyone in their party speeches says we're going to do: tax emissions more and tax labour and capital less to help create more jobs. I don't think District Norway has so much to worry about when it comes to this. I think you'll be able to find good solutions. If you use a couple of fewer flights, for example: using modern communication, you have earned back the money that this will normally cost. Then you have also done a very good climate adjustment.
ParlaMint-NO_2015-12-02.ana.ud524e359	Eirik Sivertsen – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e362	This is not just a fee. This is also about the fact that the sector exemption in order to have differentiated the employer’s fee has been dropped. We get an increase in the VAT on passenger transport. And now we also get a plane seat fee. I live in North Norway, and trains as an alternative are limited to half of my home country. North of Bodø, it's not a real alternative, and there's few other real alternatives when you're going over a certain distance. I record that the Prime Minister is not concerned about the consequences of this. I am. If I do not remember correctly, the bag charge was also presented as an air-conditioning charge. It was placed in the drawer – this is not to be done with it. But what is the climate effect of this? This occurred as a charge in the last rounds of negotiations, so what is the climate effect of the proposed fee? Why shouldn't you wait for the Green Tax Commission for this floating tax if it's part of a green conversion?
ParlaMint-NO_2015-12-02.ana.ud524e371	I want to draw attention to the fact that this is not an air fare – it is an air passenger charge. That means that it's for the passengers you have to pay the fee, not the aircraft seats. The fare was what the Workers' Party was for in the old days. It was introduced in 2001 at all major airports, including the two large ones in North Norway. At the time they were hot trailers to do this. It had to be a civil government to remove it that time, but now I realize that the Workers' Party is more for red taxes than they are for a tax change. In fact, the national assembly of the Workers' Party decided to charge air passenger charges, so I assume that it was not foreign to them, and that they also thought that they would tax air passengers.
ParlaMint-NO_2015-12-02.ana.ud524e378	Terje Breivik – for follow-up questions.
ParlaMint-NO_2015-12-02.ana.ud524e381	It's almost unlikely to listen to Battle Violence Vedum and the so-called Green Center Party stand blazing over a green tax shift that way. It's the most powerful and most important tool we have to solve the climate crisis. I thought the Center Party was also busy not sending the bill to future generations, nor the climate bill. In this way I give tribute to the Prime Minister for very good answers. The airline tax is a prime example of a green tax change: it charges up emissions and reduces taxes and taxes on what we want more – in this context it applies to the climate-friendly aircraft. It's going to be 25 pst. reduction in the landing charge and aerodrome charges for aeroplanes using biofuels. We also use parts of the additional income to lower the income tax further, i.e. less taxes on work. So my question to the Prime Minister is, what is the prime minister's idea of setting up to get the maximum climate effect and the minimum negative effect on those parts of Norway that don't have alternative travel modes?
ParlaMint-NO_2015-12-02.ana.ud524e390	We believe that this must be a charge that we impose on air passengers, i.e. not necessarily on aircraft seats. We believe that this is a charge that means that in the areas where we have the purchase of airport services, we will have to compensate for some of that in those agreements, because there we have agreed on what to set the price of a ticket in total. This is an example of the dilemmas we face, including: when the report of the Green Tax Commission comes. Do we have to take seriously the fact that we are going to have a shift from red taxes to green taxes? Do we dare say that that means that someone gets a greater burden, simply because their activity pollutes more, or do we not dare? It's not going to be easy at a single point. There's going to be a lot of resistance, but if we're going to do the green shift, we're going to be able to get to a low-carbon society, and if we're going to take the commitments in Norway, we're going to have to do these grips.
ParlaMint-NO_2015-12-02.ana.ud524e400	Heikki Eidsvoll Holmås – for follow-up questions.
