ParlaMint-NO_2015-10-01.ana.ud1252e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2015-10-01.ana.ud1252e253	I have the pleasure of proposing Kenneth Svendsen.
ParlaMint-NO_2015-10-01.ana.ud1252e261	Kenneth Svendsen has been proposed to the second vice president of Stortinget. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e269	The President then asks for proposals from the Third Vice-President of the United Kingdom.
ParlaMint-NO_2015-10-01.ana.ud1252e274	I have the honour of proposing Svein Roald Hansen.
ParlaMint-NO_2015-10-01.ana.ud1252e282	Mr. Svein Roald Hansen has been proposed to the Third Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e290	The President then asks for proposals from the Fourth Vice-President of the United Kingdom.
ParlaMint-NO_2015-10-01.ana.ud1252e295	I suggest Ingjerd Schou.
ParlaMint-NO_2015-10-01.ana.ud1252e300	The Ingerd Schou has been proposed to the Fourth Vice-President of the Storting. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e309	The President then asks for proposals from the Fifth Vice-President of Stortinget.
ParlaMint-NO_2015-10-01.ana.ud1252e315	I am delighted to propose Line Henriette Heimdal.
ParlaMint-NO_2015-10-01.ana.ud1252e323	Line Henriette Hemdal has been proposed to the Fifth Vice President of the Storting. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e331	The Secretary and the Secretary of State of the Grand Duchy shall then be chosen. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2015-10-01.ana.ud1252e337	I have the honour to propose Jette F. Christensen.
ParlaMint-NO_2015-10-01.ana.ud1252e342	Jette F. Christensen has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e351	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2015-10-01.ana.ud1252e357	I have the honour and pleasure to propose Sylvi Graham.
ParlaMint-NO_2015-10-01.ana.ud1252e362	Sylvi Graham has been proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2015-10-01.ana.ud1252e370	The 160th aggregate of Norway is hereby declared legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the government, so that he may obtain the King's decree on the time of the opening of the Great. – It shall be deemed to have been adopted. The time will be published at a later date. The President requests that, after the Grand Duchy has been declared to be open, and after the census and the report of the state of the kingdom has been delivered, give the customary wish to the King and the country of origin – and consider this authority to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting – and also considers this mandate to be granted. As a deputation, representatives are appointed Bård Vegar Solhjell, leader, Martin Kolberg, Trond Helleland, Jørund Rytman, Anders B. Werp, Torgeir Mikalsen and Morten Wold. On the occasion of the solemn opening of the Stortinge, Oslo Bishop has invited Stortinget’s representatives to worship in Oslo Cathedral today, Thursday 1 October at 9.30 p.m. 5:00. Does anyone want a word before the meeting is cancelled? - The meeting's been cancelled.
