ParlaMint-NO_2015-04-30.ana.ud2311e57	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2015-04-30.ana.ud2311e335	I would also like to begin by thanking the Prime Minister for a proper and good review of a very serious topic, a serious challenge facing the world as a whole. I am pleased with all the signals that lie in increasing Norwegian contributions to solve the challenges we are facing. I am very grateful that the Prime Minister also opens up that we can sit down together to find a broader consensus on this. This is one of the many things I think it's easier to do with a minority government – you can manage to make good, big agreements also in important areas that not only include those that have an agreement between you. The situation in the world right now is quite extreme. We see the worst refugee disaster since the time Norway learned what the word ‘refuge’ actually meant, the first time we Norwegians also got Norwegian refugees – so far back we need to find something similar to this. We see that there is not only war and conflict, but also other types of hopelessness that make people flee. The left has clearly said that we believe that the efforts we should take part in should also include taking greater responsibility for the refugees. We are very pleased that we have actually managed to double the number of quota refugees with the government in the past, but my national meeting has assessed that we can accept 10,000 on Norwegian soil as well. It takes a municipal effort. It also requires that hard work not only means that the state pays for the hard work, but that you actually have a real hard work. This government, together with us, has increased the support that you get when you settle. This must be a virtue we participate in together, with an commitment that is not just about increasing government money. Then I'll come up with some challenges to the Prime Minister on possible topics that we can discuss when we're going to agree. I am very pleased that the Prime Minister has contacted the EU and perceives that the government is in close dialogue with the EU system. I also wish we had contacted the Nordic Prime Ministers to see if we could make a joint effort, a joint initiative, for the responsibility we have to accept, but also for what we can do in the vicinity. Some of the most proud moments last Left were in government, when we made the promise we made for Bosnia and Kosovo. The Prime Minister points out that when we received 8 000 from Kosovo, it was easy to give them temporary status because the war was about to elapse. We also received 13,000 from Bosnia, which was in a completely different situation when they arrived in Norway. I believe that we need to learn from what we did at the time when we actually succeeded in accepting twice what we are talking about now, when we had a war situation in Europe. I also think it is important that we help with the borders, this is also our outer limit, we are members of Schengen. But then we must not only carry on border control, then we must also have the elements that Mare Nostrum had: research on the boat in terms of human smuggling, but also help people first and foremost, not only rule a limit. Then I'm glad of what the Prime Minister said about looking at our health care system. When it comes to looking at the possibility of creating a treatment bridge, especially in relation to Syria, which has so many war and trauma injuries, I think we had a lot to contribute to Norway, yes, it might also have helped to strengthen our health care system that we had participated in such a good thing. Then I think we have to look at legal solutions for those who are driven by hopelessness and not just war. Finally, we went into Libya and took part in that bombing. We chose not to go into Syria or take any military action against that country. We often discuss in this room what we are against, and we can participate in wars to fight what we are against. But we're too bad to discuss what we're for. What is the alternative? What are we actually contributing to as an alternative set of governance? But most importantly, here we – the parties – can sit down together and see if we can reach a broad consensus on an important challenge that we should not make a political game, but a political effort.
ParlaMint-NO_2015-04-30.ana.ud2311e358	I would also like to thank the Prime Minister for the presentation and for several positive actions, while using the opportunity to underline a very strong impatience after doing more. I have a greeting to the Prime Minister from our hometown. At Olsvik School, the students were recently to file applications against their dream fund and tell them what they dream of. Kajsa Matthäus of the 9th grade asked to speak to a politician, because she wanted a rustier Norwegian refugee policy. She was shaken by the treatment of asylum-seekers, Syrian refugees and drowning deaths in the Mediterranean. So I went to Olsvik yesterday and promised Kajsa to bring her message to you, and that's that we don't have time to wait. I think what Kajsa did was a little symbol of the great will and the great wish among many in Norway that we should do more right now. Europe's propriety, compassion and our capacity for solidarity have been put to the test. It is positive that Norway is contributing by ship and that it is now happening faster than what was first advertised. On behalf of the SV, I would like to stress the importance that Norway is now putting our forces behind and getting as broad a mandate as possible for these ships. It is true that it is possible, through a rule of exception in Triton, to pursue search and rescue. But it should be search and rescue that was the main rule. By providing ships, Norway can have an opportunity to exercise influence, which we strongly encourage the government to use. We need a massive search and rescue operation in the Mediterranean. New humanitarian appropriations are also good. It underlines the need we have seen for a long time to do more, and is the reason why SV in our state budget proposes 1 billion. to humanitarian aid. The Prime Minister has pointed out many reasons for the refugee disaster, but it was one she did not mention, and that is the lack of legal pathways into Europe for people on the run. That is why I would like to challenge the Prime Minister. Will the Prime Minister say that Europe's border and asylum policy is part of what we are now seeing? If we are serious, we must also have a debate on what the alternative to today's closed borders is. We accept the invitation to dialogue in Stortinget. We are pleased that the government now sees that it is possible for Norway to accept more refugees with major medical needs. But I must also say that I think it is disappointing that the Prime Minister does not give a clearer signal of the willingness to accept more in the situation we are now in. I would like to warn against a discussion where we put the need for assistance in the neighbourhoods up against the possibility of receiving refugees in Norway. Capacity has been detonated in neighbouring countries. It is not possible to resolve this situation without Europe taking greater responsibility. Therefore, SV has put forward proposals in Stortinget to receive 10,000 more refugees from Syria. In previous debates in Stortinget – on the refugees from Kosovo, for example. – has been among the parties that have been very clear that there should be no contradiction between helping in the neighbourhoods and accepting refugees, and has drawn a clear line towards the Progress Party, which is the only party that has claimed such a principle. I wish the Prime Minister would do the same today. We accept the invitation to a process in Stortinget. At the same time, I would warn against the fact that the will for action that is now taking place in the Grand Duchy by decisions in a number of parties to receive 10,000 refugees is bubbling away in political games. We must now show the people that we are able to carry out what so many of us say is important to us. That is why I would ask the government to take into account what is now happening as a clear mood in the Stortinget, if not to allow the Progress Party, which is an extreme in these questions, to dictate Norwegian policy on such an important issue. The government must take account of the majority that is about to be established. We must take the view that the war in Syria is not a problem for Norway. The war in Syria is a problem for the Syrians. That means we have to be able to make an extraordinary effort, even if it's difficult, even if it costs us something. We have to take the small part of the responsibility that we can take.
ParlaMint-NO_2015-04-30.ana.ud2311e377	Today it's 40 years since the United States had to withdraw from Vietnam. Then maybe hundreds of thousands of South Vietnamese went to sea, and Norway immediately sent ships and people to pick up those who had gone to sea. We brought at least 6,000 Vietnamese home. Today, there are some 20,000 Vietnamese-based people living in Norway. They're well integrated. In 1993, in a rapid operation, we received 12,000 refugees from Bosnia. It was a national virtue. Today, very many of these people are well integrated into Norway. The refugees in the Mediterranean are no less desperate than those outside Vietnam 40 years ago. The refugees from Syria come from even worse conditions than the refugees from Bosnia and Kosovo. So we don't have to put ourselves in a situation where it can start to look like acting power and heart space since that time we've decreased as we've become even richer. I would therefore like to thank the Prime Minister not only for a good review, but also for opening up a process in which the Stortinget together can find a solution to the efforts Norway has to make in the Mediterranean, Syria and at home. I recognise, on behalf of the Green Party, that the government is increasing its support for Syria and will increase it in the future, and is sending ships to the Mediterranean. At the same time, it is of course important to commend those organisations, ships, shipowners and crews who are already making an effort both in the Mediterranean and in Syria. The disasters we now see in Syria, North Africa, and unfortunately very many other places that go under the radar to the media, cannot be judged by how we tend to do it in normal situations. On the contrary, we have to reconsider and think about what Norway has to do based on the situations we are actually facing now. We have to think again about money and measures, and it is good that both the Workers' Party and the Left are talking about that kind of new thinking. We cannot set up support for areas around Syria against the need to receive more people in Norway. Already in June 2014, the Green Party called for 10 000 Syrian refugees to be accepted, and we are, of course, pleased that many parties are now at this position. These were a number of people we were able to receive in the 1970s and 1990s, and of course we can do it now. Otherwise, the number 10,000 might be a number that we're not supposed to be stuck in. That's a lot of possible we need to accept many more. Such an effort requires a hard work in the municipalities. As Jonas Gahr Larger has already been inside, Tromsø has stood up to signal his will to receive. Trondheim has done the same and several municipalities come after. Here are the possibilities. The Greens are fully aware that the state must help to cover its costs. In our alternative state budget for this year, we already put off 1.1 billion. to cover such expenses in municipalities. We have the provisions of the Foreign Affairs Act on collective temporary protection as a tool to address this situation. I will therefore cease to agree with Trine Skei Grande from the Left. We don't just need a virtue in the municipalities. We need a good deal here in the Great Britain and from the Green Party, we have great expectations that we are now willing to think again and do what we have to do based on the situation we are actually facing.
ParlaMint-NO_2015-04-30.ana.ud2311e397	I'll be allowed to thank you for the speeches and comments from the parties. I believe that there is a basis for a good conversation about these questions in the future, also in the light of the comments given. We are facing a world of many crises. It's true that we now have four Category 3 crises. In addition, the World Food Programme now categorizes the situation in Nepal as a Category 3 crisis, although not the entire United Nations system has yet done so. So we've got a new, big crisis, which requires a lot of focus and help. It means, of course, that it is important to discuss the balance between what we give money to within the state budget. That is why this government has increased the humanitarian part in the last two years, because the crises have been bigger and there has been a need for it. At the same time, I would like to say that there has been a reason why it has increased on the other side since the last few years, that is, what has been used for assistance and long-term assistance. There is money that has helped to achieve the poverty targets of the United Nations. The money we give to GAVI, to the vaccine program for children to survive, is the money we give to prevent migration waves by creating development, jobs and opportunities for young people. It is important to remember that in order to prevent new, major disasters or post-work after disasters, you need that kind of work and that kind of money. In particular, the wave over the Mediterranean I think there are other measures than disaster and emergency aid that can primarily help to remedy over time. One of the reasons why the government is increasing the aid budget, not just the redeployment of the aid budget in the revised national budget to Syria, is that there are so many crises going on at once that we are now proposing a total increase. When it comes to the issue of the Triton operating area and the boat we send, we have to go into the EU operation that is taking place within Triton. As I said in my presentation, we believe that with a significant increase in capacity, which not only contributes to Norway, but several countries contribute, it will now be possible to expand Triton's mandate and scope of operation to save life in the Mediterranean, and it will be Norway's position towards the EU to do so. It's right and important that we do it. It is also important to be aware that sending down people who are trained in this kind of thing has an important side effect. Some of the reports we hear are that during the civil rescue work just in the transfer between wreck and new boat, there are many who die, because you are not used to that kind of disaster job – you get a lot of movement in the boat, and the boat is tipping. By having qualified personnel — that is why we have military and police — we ensure that evacuation from the wreck to the boat, rescue, can be done in a better way than is often possible in a disaster situation and a crisis situation when you are not trained to do just that. Let me say two words about the question of what kind of permission. I think it is nice that we discuss what kind of permit possibly more quota refugees or others should have when they come here. But I would like to remind you that the experience of the 1990s led to some important steps in Norwegian integration policy. During the period between 2001 and 2005, which I happen to know quite well in this area, we carried out a complete turnaround in integration work in Norway, with systematics from day one, with the introduction system, the right and duty to Norwegian training, you should get social assistance and not social assistance, we should motivate, precisely because the 1990s' experience was that we got too much work done. So it's important if we now bring more here, to know what kind of rights and what kind of obligations they're going to have, and what programs they're going to come under. Of the Bosnians, the main emphasis came first as asylum seekers, and more came on temporary authorisation. They were allowed to stay because the crisis lasted so long. The cosovers were to be sent back. But I want to say that we were going on for five years and trying to get them back to Kosovo. I myself have been sitting in Kosovo as a minister for this to explain why we have to return people when they are on temporary agreement, because you did not understand with the High Commissioner and representatives there why we could not just take everyone. Therefore, looking back to the 1990s gives many good experiences. But we also have to remember that it led to some understanding: that temporaryity may not be the best way for those who come, or that it is so easy to implement temporary permits when we really come to the moment of truth and are going to return them. I am pleased that we have a broad consensus that this is important, and I hope we will get a good process around the RNB and that association to find out good measures and communities around the three points that I mentioned in my final statement.
ParlaMint-NO_2015-04-30.ana.ud2311e425	The debate on the Prime Minister's presentation is thus closed. The President will propose that the statement by the Prime Minister on the situation in the Mediterranean and on the humanitarian crisis in Syria and Iraq be annexed to the Protocol. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-04-30.ana.ud2311e441	No one has asked for the floor.
ParlaMint-NO_2015-04-30.ana.ud2311e455	At the request of the Family and Culture Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to the government. The President will also propose that five lines of reply be given after comments by members of the Government within the allocated speaking time, and that those who have to sign on the list of speakers in addition to the allocated speaking time be given a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-04-30.ana.ud2311e462	First of all, I would like to thank the Committee on Good Cooperation. In this case, we stand together on comments and conclusions. The legal certainty of children and young people is important. Historically, we have linked family rights only to adults, the children have been subordinate to the adults in the family. This is about to change, and I am very pleased that the Left has promoted the issue of attaching rights to the Child Protection Act in order to emphasise the legal certainty of children in this way. Children are independent individuals with their own legal rights. My daughter of three and a half years reminds me of it all the time as she tramples on the floor, looks at me and says, "Mom, it's me who decides." I must, of course, remind her that it is not quite like that, because children also have the right to safe and good adults, who listen and lead with a loving hand. It is when the family is no longer safe, when the adults are not loving, but have enough with themselves or are bad with their children, that children need high-quality child protection. The Child Protection Act appears to be fragmented. The law and regulations have been amended a number of times – for good reasons and with good results, but we have not looked at the whole. A legislative committee has now been set up to review the Child Protection Act and the aim is to make a linguistic, technical and structural simplification of the entire law. It shall be adapted to the general developments in society and knowledge that have taken place since the entry into force of the Act in 1992. The Board of Regulators shall also investigate whether the Law on the Protection of Children shall become a Law on the Rights and, where appropriate, how such retention of rights may be governed by the Law. This issue has not been assessed by legislative committees in the past. In view of this, the Committee has considered that such an important issue as rights fixing deserves an overall review and that the committee's investigation will provide an even better starting point for a decision. The Committee was of the opinion that it was important to stress that the proposal for a representative, as it stands, provides a good review of the issues raised in the context of rights fixing, and on my own behalf I would like to add that I expect the legislative committee to follow this matter and take advantage of the work put into the case by the Left. With this I can only say that I am looking forward to the law commission being done with his work and we can start working on adopting a completely new and forward-looking child protection law.
ParlaMint-NO_2015-04-30.ana.ud2311e483	The working party is committed to ensuring the legal security of children and young people. We need to create secure frames around growth. Then the children who are not well at home must get the help and support of child protection. Child protection therefore has a large and important job, and employees provide security for many children every day, as our wishes are for the service. When proposers from the Left propose to make the Child Protection Act a law on rights, we in the Labour Party – like the rest of the Committee – agree that this should be looked at in a wider context. Councillor Horne has announced a review of the law and regulations. We therefore believe that any right-holding should be part of that review. It is important to have a good foundation before we make this decision. It will, if possible, have consequences that we do not know about today, and it is necessary to find out how this might be designed and enforced, before going further. Will a right-holding capture what may be the problem, or will it create an even greater barrier and more paperwork, so that the service in the first line may be impaired? We need a code that can be understood by everyone involved. Well, it's as important as considering the right to uphold the Child Protection Act is having enough staff with good competence. The red-green government launched the so-called child-restraint lift and ear-marked child-restraint positions in the first line. It has produced results, and more — almost 1000 more — are employed in the field of child protection. This does not mean that everything is good, or that we are in goal, far from it, but it is right. It is therefore good that the government now continues to earmark funds for this in the current year, although we could have wanted the post office to be increased. We hope – and expect – that this will be followed up in the 2016 budget, and that it will increase if necessary.
ParlaMint-NO_2015-04-30.ana.ud2311e500	First of all, I would like to thank the representatives from the Left for their commitment and suggestions, even though they are not on the Family and Culture Committee, to improve the situation for children who, for various reasons, need assistance from child protection. The aim of the Child Protection Act is to ensure that children and young people living under conditions that could harm their health and development receive appropriate and timely assistance and care. The law gives the authorities an obligation to have professionally sound child protection. It does not necessarily give the child an independent right to have the necessary child protection measures. Proposalers believe that both the actual and formal legal certainty of children will be strengthened by making child protection a law of rights. There are good arguments for and against right-wing fastening. I think most of us agree with the intention here: that children's formal and real legal certainty should be strengthened. The question is whether authentication of rights is the instrument that will lead to this. The argument against authentication of permissions acts, inter alia: that it is unclear what this means, what situations you are talking about, and exactly what services are to be covered. Childcare is about both helping at home and taking the child out of the home. What measures, if any, should be legitimised? It is also a major challenge today that auxiliaries are not properly coordinated, so that the need for mental health protection, drug care, family therapy, health station services, Nav and child protection is not coordinated. Many families get help from the wrong instance. We need to see this complex field more in an overall perspective. Many believe that the retention of rights to child protection services is not the way to go, but that it will weaken the overall focus. I have no doubt that more interaction, strengthening the local economy, earmarked funds for positions and increased focus on skills are targeted actions that are the most important to improve child protection provision and ensure the legal certainty of children. In the past, the Christian People's Party has proposed a stepping-up plan to ensure full child protection. This implies sufficient treatment capacity in municipal child protection, sufficient foster homes and institutional facilities to provide all children with an offer tailored to their needs, sufficient capacity in the counties to ensure rapid treatment, sufficient number of supervisors, the right to follow-up until 23 years of age for young people on child protection measures. The Christian People's Party believes that there is a need for obliging economic escalation and earmarking of funds, and we need to consider the introduction of a standard of living in municipal child protection. There are major gaps and challenges in child protection, both public and municipal. In order for children to receive qualified and rapid assistance, the field of child protection needs a resource lift. Without that, I don't think we're reaching the goal of legal certainty for the children who need help. It is a huge challenge that there is a great shortage of foster homes throughout the country. In the past, the Christian People's Party has made proposals calling for an obligatory plan to secure a home for all children, an action plan for full foster home coverage. Another major challenge facing child protection is the large number of child-restraint movements. Many children under the care of child protection are not offered stability and association. The Christian People's Party has proposed a stability reform in child protection with better follow-up of foster homes to prevent fractures, more use of institutions for children with the most demanding needs, closer cooperation between institutions and foster homes, increased use of family councils and the child's relatives and large families as foster homes, among others. There are major challenges in child protection. It's about organization and laws, but it's also about resources. The Christian People's Party has proposed and worked for increased funding for child protection in the budgets, and we are going to continue with it. Today, the Christian People's Party is going to vote for the proposal to attach rights to the Minutes. We are also looking forward to the work done by the Minister for Children and Family Affairs in this area, and we are looking forward with excitement to what the result will be.
ParlaMint-NO_2015-04-30.ana.ud2311e530	Everyone in the room will probably agree that there is a need to strengthen the legal security of children, that much is good, and that we are far ahead compared to many other countries. The Children’s Convention is incorporated into Norwegian law, and Grundlova has now strengthened the position of the children. The left believes that the time has come for the longest to make child protection a law, for this is well done. Several public representations have suggested exactly that – the Befring selection, the Flatø selection, the Children's Protection Panel, the Raundalen selection – by 2012 at the latest. The size has more than enough knowledge to make the principle decisions on legal certainty today. Then it could reduce the law selection as a task to come up with suggestions on how this can best be done. The strongest argument for this position was concluded by Professor Søvig in 2009 in the resolution on the challenges facing Norwegian law and the Convention on the Rights of the Child, commissioned by the Ministry of Children and Gender Equality: ‘However, on the basis of the clear Convention commitment to give priority to children, it is difficult to maintain the current non-legislative nature of children’s rights to child protection services, as long as there are legal provisions for a wide range of other welfare benefits.’ Well, that's also the main point on the left. There are many areas of justice and justice: patient law, training laws, other welfare laws – to name a pinch. Then it's a big crutch that it's the most exposed kids and young people, the ones who have the worst intentions to meet their own needs and basic rights, which are soon the only group in the welfare community who don't have an explicit legal right to the necessary help. There are, unfortunately, more care failures than we might quite be willing to take over. We should not talk to many children with child protection secrets to see that there are too many people who are getting help too late, who are getting too little help, or not help at all, and that many of the children have experienced that today's law in practice rather means parental protection rather than child protection. Parents have e.g. transparency in the file, which may pose major challenges for young people to tell their story. Of course, making child protection laws a law will not solve all the challenges of child protection. Providing children with a self-rightful right to help and not just to be the most generous duty of child protection will, however, undoubtedly put children in a better position than they do today. The danger is that, in practice, too often, there is parental protection rather than child protection, and it is unnecessary. Making child protection laws a law here and now would really have been the legacy of Johan Castberg – it's exactly 100 years since the Stortinget passed the groundbreaking Castberg Children's Elves. Unfortunately, this does not happen. However, I read and hear the comments from the majority in the committee so that they are in principle consistent with the Left in question, but that they want to see it in conjunction with the review of the laws. The Minister said the same in the clear text of the letter to the Committee. Since all of this indicates that there are actually a number of rights attaching to children's lives, and that the law selection is now given this as a mandate, I also ask, and expect them to subsidize – if they should nevertheless conclude that they do not recommend the legalisation of the law – discuss and propose in concrete terms how this can be legally resolved, so that the Storting next time does not waste unnecessary time on another occasion in the department.
ParlaMint-NO_2015-04-30.ana.ud2311e557	It is necessary to continue efforts to strengthen child protection. It is necessary to continue the work of ensuring that there are enough safe, professionally competent adults who have both time and patience to stand in the everyday lives of vulnerable children and do something with them. But it is not enough to strengthen child protection and action; we also need to strengthen children's rights. That is why I would like to thank the proposers for promoting the proposal, and I also understand that there is a movement in the field. And that's very pleasing because it's needed, it's necessary. Both the Raundalen Committee, the Plate Committee, the Befring Committee, the United Nations Children's Committee, the Children's Ombudsman and a wide range of hearing bodies recommend making child protection a law of rights, and these are heavy child-disciplinary bodies that are absolutely worth listening to. If we really want all the kids to get the help they need, yeah, it's not possible as long as parents can resist letting the child get help. Then children will be able to live in unsustainable situations and actually not get the help they need and have the right. Entitlement will help to clarify and strengthen the child’s position, both legally and non-legally. There will be a strong signal that the child should be taken seriously and that the subject in his or her own life should be seen and heard. In its latest report to Norway, the UN Children’s Committee recommends that children be given the right to apply to child protection regardless of parental consent. The Committee is concerned that children are dependent on the consent of their parents before they can help a child in need of child protection services. Unfortunately, today many young people who could clearly benefit from child protection help have to wait until their difficulties become so great that care transfer, or moving out of their homes, is an alternative. Legislation on the right to child protection services will be a step towards giving children the right to relief, even in cases where parents oppose it. It will be a crucial part of prevention work, and it will also contribute to a reduction in the number of care takeovers in the long term. Children who need it must have the right to help when they need it. The proposed changes to the Child Protection Act are good and will strengthen children’s and young people’s rights, but they are not taking a full step. SV works to ensure that the Child Protection Act becomes a law on rights, so that the child’s right to protection becomes the basic principle of the law. That's why the movement in the field is joyous.
ParlaMint-NO_2015-04-30.ana.ud2311e568	Like previous speakers, I would also like to thank the proposers for their great commitment to an important area of how we can provide better help and protection for those children who need child protection assistance. It is important that we have an open and constructive dialogue on which instruments can best be used to ensure that we provide the best possible care for children. The Child Protection Act already contains both municipal child protection obligations and procedural rights for children and parents. We have statutory deadlines for the assessment and implementation of notifications, studies and actions, and the child protection service is obliged to follow up and evaluate those actions. I would also like to mention the right of children to participate, the right of families to complain if they are denied an application for assistance, the rules on rights of residence in a child protection institution and that all parties have the right to free legal assistance in forced actions. Children and parents who consider that the Child Welfare Service does not fulfil their obligations may complain to the County. I would also like to remind you that the law obliges municipalities to provide the appropriations necessary to provide services and measures resulting from the Child Protection Act. I am also very pleased that in 2014 there were changes to the law that further strengthened the legal security of children in child protection. An important requirement is that all measures and services offered by the protection of children should be sound and that the rights of participation of children should be strengthened. It is now clarified in the law that the right of participation applies in all matters relating to the child and that it should be facilitated for conversations with the child. The child protection service must also document how the child’s right to participation has been respected and a trust person regime has also been established. I also want to mention the proposition on extended access to impose relief measures that are now being treated in Stortinget. I believe that the law that is there also helps to strengthen children's rights. As you know, the government has recently set up a child protection committee, a sample that has been asked to carry out a linguistic, technical and structural simplification of the entire child protection law, adapted to the general developments that have taken place in society. Another essential objective is to make the law easier to understand, because good accessibility is a good way to strengthen the legal certainty of children and families. The Children’s Protection Act Committee has been asked to assess and see whether the protection of children is an appropriate area for the retention of rights, and this has also been assessed by other selections, as many have been involved. Changes in the laws will include, inter alia: allow the protection of children to be placed in the home until the situation has become so serious that adoption of care is necessary. The legislative committee now set up shall present its investigation in mid-August 2016. I look forward to receiving the evaluations and proposals made by the legislative committee in this area, because the investigation will be an important starting point both in our assessment and in the public debate. I believe it is too early to conclude on the issue of rights fixing. However, the Committee on the Protection of Children’s Rights will make a new and important contribution to the discussion, and I intend to return to the Stortinget with any proposals for changes when the legislative committee has submitted its assessment. Although there have been several samples that have looked at this and made a recommendation to make the Child Protection Act a right law, it is the first time that a sample is set up to look at how this can work in the law. This is important to have with us, because the most important thing here is that children who need help get the help they need at all times, and as it is now, we all too often see that the rights they have today are not always fulfilled. If it's the right way to go to legislate the law and how we can get it into the law so that it helps the children, it's important that the Children's Law Committee looks at.
ParlaMint-NO_2015-04-30.ana.ud2311e598	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2015-04-30.ana.ud2311e601	Thanks to the Minister for a good review and for what I perceive is a fundamental heavy commitment to the field. What I had hoped the minister would give a little response to was my conclusion in the main post on the selection subsidized – regardless of what they had to conclude on the main question of legal fastening or not – coming up with a discussion and concrete suggestions on how to legally solve it under the child protection law for legal fastening.
ParlaMint-NO_2015-04-30.ana.ud2311e608	Sometimes when you have too much paper with you up on the pulpit, it gets a little bit sour. Of course, it is important for me to respond to the challenge of the representative of Breivik. I take it almost as a matter of course that the Children's Protection Act Committee comes with the feedback that the representative is asking for. The committee has been asked to assess whether child protection is an appropriate area for rights-holding and to discuss the extent to which rights-holding could actually provide better services. The Committee shall further explore options to demonstrate how such right-holders may be regulated by the Child Protection Act, including the situations that should trigger rights and what they should consist of, while respecting the professional judgement of the Child Protection Service. I look forward to the Children's Act Committee actually taking this issue seriously and looking at how it can be placed in the law, and that it also comes up with proposals that it becomes important that the Storting should take up the discussion when we have handed it over.
ParlaMint-NO_2015-04-30.ana.ud2311e614	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2015-04-30.ana.ud2311e630	For many children, a break between parents means a heavy load. Since so many families experience divorce and family changes each year, it is important to identify good mediation arrangements. There are many families in such processes, and it is so important to do what we can to ensure that the situation of children before, during and after the breakup is optimal and with the lowest level of conflict between parents. I think it's important that we ask the question: what can we do to make children and families as difficult as possible in these situations? We know that conflict is harmful to the children, and that everything that seems anti-conflict is good. At the family office in Skien, Grenland Family Office, they ask everyone who's going for mediation, if they want to take the children with them, and they think that the method they use, Children in mediation, seems conflict-relieving and solves a lot for the children and the family as a whole. The children are then invited to get together with their parents for the first hour, the mercenaries first talk to their children and their parents together, information about the mediation process is given, the mercenaries talk to the children alone, or possibly the siblings together. The themes of the conversation with the children are how the children feel, how the children experience the parents ’ breakage, the wishes of the children. The children are not asked where they want to live after the breakup, the mercenaries agree with the children on what to pass on to their parents, and whether the children will be present. The mediation continues with the parents, and they get information about the child conversation. Parents continue to work with community agreements with mercenaries. Finally, the children are picked up and presented for what the parents have agreed on, and sometimes there is a need for more mediation hours. All families involved in the mediation project are offered evaluation after six months. Children in mediation are a project they run in Harstad, Tromsø and Sandefjord in addition to Skien. The University of Tromsø runs an evaluation to be completed in spring 2015, i.e. in a short time. Children in mediation are about the children being told their opinion, the children being heard, the children being told that someone is seeing their situation and helping them. In the context of Stortinget’s treatment of the State budget in 2015, the majority of the population took decision No. 218: ‘The government asks the government to consider proposing to the Storting that all children be offered their own conversation time with family protection when their parents are involved in mediation after a break in life’.» The background to the decision is inter alia: The experience of family protection with the Children in mediation project and that actors such as the Children’s Ombudsman and UNICEF Norway have also been drivers for all children to be directly involved in parental responsibility and association. So my question to the Council of State today is: Will the Council of State follow up the decision of the Grand Council by introducing requirements for own childcare by mediation by disseminating the practice of the Children's Mediation project to all family protection offices and brokers, or in another way?
