ParlaMint-NO_2015-02-18.ana.ud2278e26	The called alternate of Hedmark County, Hege Jensen, has taken the seat.
ParlaMint-NO_2015-02-18.ana.ud2278e108	Let me first thank you for the question. I fully agree with the representative that it is incredibly important when major reforms are being made, that they are well planned and implemented, and that those affected by the reforms are getting good and correct information as early as possible, in order to know the consequences of the reforms that the Storting had to adopt. You could have done this before, at my discretion. Looking at the consequences of the tax conversion, it was already called for in 2011, to which the then government said no, as the Storting said no, and as suggested in the Stortinget. This reform was adopted in 2011. The same decision also states that it should be implemented from 1 January 2015 – a decision taken by Stortinget. The unintended effects we've seen so far are well known, and I haven't seen any new ones as of today, other than those that are already known, namely those that have to do with the tax conversion that has been done.
ParlaMint-NO_2015-02-18.ana.ud2278e121	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e124	New disability benefits are dealt with in many cases here in Stortinget. There has been a broad consensus. The red-green government presented proposals that were adopted and the current government submitted proposals for a transitional period of three years. The Labour and Social Committee shall address this in depth. So the Storting has done a solid job here. Nevertheless, figures from the Tax Directorate, based on the best available tax returns and information, now show that 94 000 people receive an increase in net income of over NOK 6000, that 176 000 people receive plus/minus NOK 6000 per year, and that over 14 000 are estimated to have a decrease of over NOK 6000. My question to the Council of State is: Can the Council of State provide a breakdown of the 14 000 who receive more than NOK 6000 over income ranges as a loser, and what is the main reason for a loss? This would be informative for further consideration of the matter.
ParlaMint-NO_2015-02-18.ana.ud2278e133	Thank you for the question. I might need a longer time than 1 minute to go through this thoroughly. I can always give written feedback to help the committee as best I can. One of the reasons why the 14,000 loses is that there are a lot of people who have a public service pension, who don't have a paycheck out of the population, so they have little disability coverage, they work a lot, and they're married or they're cohabiting with a high income. This means taxing the disability coverage of the occupational pension, which has not been taken into account in the malpractice reform, which is mainly about a popular-reform reform. You won't get the same tax deductions you've had in the past by subtracting 150 pst. of the interest costs. So a family could subtract 150 pst. of the interest costs, now it's 100 pst. They'll come out worse and lose weight on it, while they're in high debt. This is one of the explanations why many of the 14,000 get worse.
ParlaMint-NO_2015-02-18.ana.ud2278e140	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e143	The left supports the under-reform and I think it is important that it be easy to combine work and social security, and important for the resilience of the system. For the individual Nav user and the individual disability benefit, this is not about what one or the other government has done and said, it's about the relationship with Nav, which is a great deal of distance to which many people experience. Just before Christmas, I received a letter that a misappropriation had been sent from Nav, who informed about the changes in the system. She said she didn't understand that letter – she wondered if I understood it. After reading it a couple of times, I had to admit that I didn't either. The government has talked a lot about it wanting – as it is called – to renew, simplify and improve the public sector. Could a place to start be renewing, simplifying and improving Nav's language? [[Laughter]]
ParlaMint-NO_2015-02-18.ana.ud2278e154	The answer is yes. We have started this work through the Expert Committee, with new letter templates, that what is being put out on the new web pages, follows the guidelines for clear language. I fully agree with the representative that it is a concern and a problem when you receive a letter from a public office – whether it is Nav or other public offices – and you do not understand the content of it. One of the things that the Expert Committee has also pointed out is that too poor language leads to Nav getting more users than you strictly need, because you have to go back to the Nav office to get guidance on what is really in the letters. This is something we have undertaken and are trying to clean up, namely by dealing with the guidelines for clear language. There is a lot of work to be done, but the work is well done. Mistakes are one of the groups we've started with -- through better, online, information.
ParlaMint-NO_2015-02-18.ana.ud2278e163	Kirsti Bergstø – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e166	The speech of the numbers is clear when people now get the disability benefit into the account. Very many loses. We see that there may be as many as two out of ten who have lost on the conversion, although there is great uncertainty about the numbers and about what has happened. On the basis of the misreform, it was unanimous that people should not lose but get about the same money as before. We must therefore say that there are some unintended consequences, and it is the responsibility of the Council of State to clean up. That is why I wonder if the Council of State will come to the Stortinget with changes that will prevent the miscarriage from losing.
ParlaMint-NO_2015-02-18.ana.ud2278e173	First of all, in my head when you talk about unintended effects, it's about information that hasn't been known at all. In this respect, two out of ten are likely to be worse off with the new pre-accession reform, it is well communicated in the Stortinget on several occasions, both in budgetary documents and in the revised national budget. So there's an information that's been well known. It is also well known through the Occurrence Committee, which in its time pointed out that ‘approximately similar’ would mean that someone came out better, some coming out worse. The implementation reform, as it is today, is not austerity reform. The total proceeds is that you spend more on disability benefits now than you did in the past. So it's not a savings reform, but a better reform to combine work and disability. I think that's important that we take over. Yes, someone has come out worse. Therefore, the transitional regime is important. So it's important that we now go through all the sides of the disability benefit. I think that's good. It is important to be able to see if better measures can be taken to prevent people from becoming dramatically worse off.
ParlaMint-NO_2015-02-18.ana.ud2278e184	Let's go to the next main question.
ParlaMint-NO_2015-02-18.ana.ud2278e188	My question is to the Minister of Culture. The government has said she will introduce Sunday-open shops. That is why the Christian People's Party has asked about the consequences of government policy in this area. We have asked the Minister for the Environment what the consequences are for climate and the environment, and the answer is that ‘it is difficult to estimate the overall impact of the proposed deregulation’. Then we have asked the Minister of Labour what the consequences are for the workers, and the answer we have received is that it is difficult to accurately estimate the consequences of the proposal. Then we've asked the Minister of Culture what the consequences are for Sunday as a different day for the community. The answer is also here that it is ‘difficult to say something safe about now’. So the conclusion is that the government says it's hard to say anything about the consequences of the proposal that a person now wants to send on the phone. Then the Minister for Culture also says in his reply: «Both traders and consumers will have greater freedom of choice, but this freedom does not need to change the individual's priorities and time-use.» This means that there is no need to change the timing and priorities of each individual. Will it also apply to the 370,000 who work in the retail trade? Would it also apply to the families of the 370,000 who work in the retail trade, that one does not need to make any changes? Per Arne Dahl has said: «The government has promised to introduce Sunday open shops [[...]] My question is, Has the government done that?
ParlaMint-NO_2015-02-18.ana.ud2278e218	There is nothing to hide that this is a political view of the government. We have had it included in our declaration of accession, that we want to facilitate the conditions for getting more open on Sundays, so that it is not the discrimination that is there today. I have registered that there are very many people who are engaged in this debate, and who are particularly concerned with impact assessments and of what lack of impact assessments might be available. We do not see that there is any basis for carrying out any impact studies – for the following reasons: firstly, the shops will not be required to have them open. It's going to be a freedom of choice for all the shops to make independent assessments. It is also such that there will be freedom of choice for those of us who have to choose as consumers to act on Sundays. I might think that if you were to make some impact assessments, you would have to take care of the shops that are open today, and look at the consequences for the environment, whether it has gone beyond the time you've had to rest, or other arguments that have been used. A prerequisite for making the necessary assessments almost had to be that you had gone back and had not been open. I think it's pretty hard to imagine that you have any chance of doing that kind of assessments. I repeat: this is an optional offer. It is not a requirement, but an optional option – an opportunity to keep open to the shops that want to, and also to those who choose to act.
ParlaMint-NO_2015-02-18.ana.ud2278e229	I thank you for the answer, but I also record that the government says very clearly that they do not understand the consequences of the proposal they are making. They don't want to figure out the consequences. As the Council of State itself says – this is a political argument, one does not want to receive professional evidence, either for individuals, for the environment, for employees or for the districts in this matter. I thought that was very serious. We're going to have ideological debates, but I think it's important that we know what it will lead to. The council says we need sleep days, but ask if it's the way we need to have the same day all together. I think it's important that a family have a common day where they get time for each other, and that one doesn't split it up. Thinking that what other people do, it doesn't matter, I think I'm naive.
ParlaMint-NO_2015-02-18.ana.ud2278e236	When we send this proposal to the hearing, it is because we want feedback from both industries and institutions and those who want to be heard. The feedback that had to be received will, for example: perhaps give important answers about different consequences, and then the government will take it into consideration before we may promote this matter for the Storting, or before we conclude. We also have to think about our starting point is that we want to get equal treatment. There is a great deal of discrimination today. For example, there are tourist places where shops have actually opened also on Sundays, Christmas Day, Pentecost 1st and all these special holidays, while 20 minutes further into the village is closed. There are also many good examples here in town that some shops have the opportunity to be open, while others don't get it.
ParlaMint-NO_2015-02-18.ana.ud2278e243	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e246	The government has many in its political position in the case of Sunday-open shops. Customers are against, shoppers are against, shop managers are against, employees are against, employers are against – yes, the majority of people are against. Removing Sunday as a different day is a significant shift in social structure. So the government is talking about volunteering. But the government's voluntary reform is, in reality, a forced reform, because that's how the market works, that if one store stays open on Sunday, then probably the neighboring store must also be open on Sunday, when it has the opportunity. My question to the Council of State is whether the Council of State believes that the government's coercive reform, with extensive changes in the social structure across the will of the people and the majority of the population – with enormous consequences, as we have heard – is in line with the value-conservative approach on which the government is building its policy.
ParlaMint-NO_2015-02-18.ana.ud2278e255	First of all, it's not up to me to admit that a majority of the Storting is necessarily against it. It remains to be seen when we come to Stortinget with the matter, how it will be expressed. I am very concerned that we should have equal treatment in our society, and today there is discrimination. That is why the government has addressed this issue and wants to open up to a moderate reform development in this area. In the proposal that we intend to send to the hearing, we will still keep some of the special holidays screened. I believe that this is a good basis for opening up to get rid of the discrimination that is there. I register that many people take advantage of these possibilities. I can't believe that it's square meters size or being a tourist resort that's supposed to be the basis for keeping the rest day sacred.
ParlaMint-NO_2015-02-18.ana.ud2278e262	Arild Grande – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e265	It is obvious that the government in the case of Sunday-open shops has confused the term ‘trafficking’ with ‘trafficking’, because although the government refuses to follow the effects of Sunday-opening, we know a lot about how this will affect the lives of people. We hear it from employees at the shops, who fear that they will be forced to work. We hear it from shopkeepers, who fear closures because they feel compelled to keep open. And we hear it from the volunteer, who fears the activity. The last is that even single parents want to get involved in this, because as a companion recently said, what's the point for me to have time off on Wednesday when my kids are free on Sunday? Many weeks have passed since the government announced that they would send this matter to the hearing, but since then we have neither seen nor heard anything. Does that mean that the matter is so delayed that the government realizes that right-wing policy does not tolerate the meeting with everyday life of people?
ParlaMint-NO_2015-02-18.ana.ud2278e274	The government is working on this proposal, and it will be sent to the hearing in the near future. It's not like it's going to be a 'trafficking'. That's putting things all on your head. I just said that we're opening up so shopkeepers and those of us who want to shop on a Sunday get freedom of choice. There is no requirement that you keep the shops open, or that you have to shop. It is also the case today that a substantial part of the shops have actually been open on Sundays, as I have already mentioned, if one looks at the tourist sites. And then you like some tourist places, for example. in the mountains. I spend part of my time at Beitostølen, and there can be a shop on the first day of Pentecost, one can shop every Sunday, and one can shop at both shops that sell sports equipment and shops that sell food. But driving one down into the village, 20 minutes down to the Payernes, everything is closed. I record that the policy of the previous government has been that one should limit this opportunity to act. Then there is one to contribute to discrimination, which we want to clean up.
ParlaMint-NO_2015-02-18.ana.ud2278e285	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e289	This is more and more evidence of a rather remarkable reform. It's a reform where it's hard to say something about the consequences, but where you don't want to figure out the consequences either. It is a reform that almost nobody wants – not the 370,000 employees, not the trading community, not the voluntary organisations, not the Church. What we're left with then is really pure ideology, as far as I can understand. Now there are some reflections about the market ideology of the government as well. The Minister of Education of the Council of State warned in an article that ‘liberalism is to colonize all spheres of life’, saying that ‘conservatives have neglected the cultural critique’ and that it ‘has paved the way for commercialisation and market thinking in areas where it does not belong’. [[...]] There are also interesting considerations in relation to the issue of Sunday open shops. When this now seems like a pure ideology, how does the Council of State view the kind of thinking that her colleague expresses, in relation to the question of open shops on Sundays?
ParlaMint-NO_2015-02-18.ana.ud2278e298	First of all, I said in a previous post that it is possible that it is those who believe that this will have major consequences. That's what's meant when you send something out to the hearing, to get feedback on what actually had to be negative. Then the government will assess it when we will conclude on this matter. Moreover, the Minister for Foreign Affairs and the undersigned agree with most of the assessments on how far to go in order to liberalise the society in which we live. We're behind this point in the Sundvolden statement, and we're prepared to help do this. I repeat, there is no force for the shops to keep Sunday open, that is an opportunity. There is also an opportunity for each of us to make the necessary choices, and to be able to act on Sunday if we need anything. For me, it is a great paradox that today there is a great discrimination between those who have the opportunity to have the open, especially shops that sell goods, the different places that sell flowers, etc., and those who may live by it, but have no reason for it. [[President clubs]]
ParlaMint-NO_2015-02-18.ana.ud2278e307	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e310	There are a number of shops that have Sunday soup today, depending on the square meter size, the range of products and the number of tourists in the municipality. But it is clear that having a more general opening would obviously have an impact on important issues such as employment, shop structure, working life, etc. So I understand that a lot of representatives here are asking for knowledge. But then I'm going to argue that the best way to get knowledge is hardly to start the Minister of Culture writing a long story. It's actually having experience. I think that many people in this room could – and should – settle down on what is, of course, the best way to solve this, simply to let the municipalities decide and have that debate in the different municipal authorities in this country and not in this room. Then some will keep open, and others will keep closed. And then we can have actual experiences out there. Does the Minister for Culture agree with that assessment?
ParlaMint-NO_2015-02-18.ana.ud2278e315	Of course, the government has also assessed that possibility, but we have now promoted our proposal because we want through the law to open up opportunities for more to be open on Sundays. But we have made certain exceptions. I have registered that the Left's proposal is to let the municipalities decide this. Then it has to be up to Stortinget when the government has had this out at the hearing and takes into account and evaluates the hearing opinions that are coming. Before the government concludes in the matter, we will consider what we might send to Stortinget.
ParlaMint-NO_2015-02-18.ana.ud2278e320	We move on to the next main question, which is from Per Olaf Lunstieg. While Lundtigen is on his way up to the pulpit, the president will stress the importance of sticking to the time of speech. We have a rather tight form, and if speaking time is not kept, we're going to have to run a bit tougher on how many follow-up questions we don't have, and none of us want to.
ParlaMint-NO_2015-02-18.ana.ud2278e325	It's a question to the Council of State Eriksson. Permanent and temporary employment are the two types of employment regulated by the Working Environment Act. The number of manning enterprises, companies that hire workers for work in the service of others, is increasing. An increasing number of people are getting employment contracts with such recruitment agencies. Manning enterprises are governed by the Working Environment Act § 14-12, in particular paragraph 1, and ‘Rental from activities for the purpose of renting’. [[employee]] My simple question and the purpose of the whole question is: Will the Council of State decide whether this should be the case in Norwegian working life: permanent employment without pay between assignments?
ParlaMint-NO_2015-02-18.ana.ud2278e336	What the queryer is addressing is correct. It is well regulated in the Working Environment Act. Manning enterprises and staff rentals are defined by law. Then it's up to the parties to settle the payroll and determine the formation of wages. I think it would be wrong for a government council to go in and decide how to determine the pay conditions in the industry today, as long as one relates to the regulations that are. I believe that today's regulations are satisfactory and work well. Then I also record that the manning industry is quite complex. Many manning companies are serious, good manning companies. Most people have tidy and good relationships, and many also have fixed-paid employment. Some also have a fixed salary between assignments. This varies greatly between companies, and I believe that individual companies should still have freedom within a safe regulatory framework in the law to define the employment contracts.
ParlaMint-NO_2015-02-18.ana.ud2278e345	It is correct that it is regulated in the law, so it is in the Working Environment Act § 14-12, in particular paragraph 1, where it says: ‘The hiring of workers from activities for the purpose of renting is permitted to the extent that temporary employment can be agreed under the first paragraph of Section 14-9.’ It's regulated, but it creates a number of conflicts and ambiguities. So far, it has been unnecessary to clarify what is fixed-term employment, but it will now be necessary. With permanent employment, people understand most specific hours, rights and obligations to carry out a particular job with a corresponding job size and salary. Here we have employment contracts that neither determine the working time, the size of the job nor the right and obligation to carry out a particular job. Can the Council of State consider such contracts to be fixed employment?
ParlaMint-NO_2015-02-18.ana.ud2278e357	Yes, I mean they are, because in the manning industry – if you have a serious crew company – working hours may vary. The law makes demands on how much you can work, but you can be hired out to company A, such as: may have a different working time from that of enterprise B. It may vary according to the nature of the work, the tasks of the work and what needs to be done, including: renting in to get away from peaks. I also know that there are many manning companies that have separate departments with plumbers, carpenters and masons – for various tasks. It is well regulated, and I see no need today to change the legislation we have in the Working Environment Act in that area.
ParlaMint-NO_2015-02-18.ana.ud2278e364	There will be follow-up questions – first Liv Signe Navarsete.
ParlaMint-NO_2015-02-18.ana.ud2278e368	The Council of State has confirmed, through the previous reply to the representative of Lundteigen, previous responses to the Storting that the Council of State does not wish to give a content to the topic of permanent inclusion in the Working Environment Act. We should notice that. Parts of Norwegian working life are undergoing dramatic change as a result of weak pay and working conditions under the EEA Agreement. We import legislation prepared by bureaucrats and lobbyists in Brussels, and it undermines the Norwegian People's Government. The free flow of an almost complete supply of cheap labour pushes Norwegian workers out of work. Too get into this house wanting to get that fact out. The scope of the preferred recruitment form for the manning industry, fixed addition without pay between assignments – developed and defended publicly by the NHO Service – is at a time when the supply of cheap labour is so great. Will the Council of State defend the ability of staffing agencies to attract our young people to such unemployment contracts – without a fixed salary and without pay between jobs?
ParlaMint-NO_2015-02-18.ana.ud2278e377	Firstly, I register that the representative Navarsete also put in a government that implemented EEA legislation. Secondly, as far as the manning industry is concerned, I believe it is wrong – with the constitutional system we have, and how power conditions in Norway are set up – that a government council should go into the law and define what is permanent employment or not to interpret and judge the law. What I have said in the past – I stand firm and believe it is right – is that it is the courts that have to decide on these kinds of questions, it is the task of the courts to determine what is involved and how the law should be understood.
ParlaMint-NO_2015-02-18.ana.ud2278e386	Fredric Holen Bjørdal – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e389	The Council of State does not take this seriously. So-called fixed addition without a guaranteed salary is a mishap in Norwegian working life. It's spreading more and more, and we're getting what looks like the layman industry. This is nothing but the camouflage of repeated temporary additions, and in reality, no such worker is stronger than a ringwager. There is a need for tightening up, and here there is a need for clarification. This practice challenges the purpose paragraph of the Work Environment Act on safe conditions of insertion, and I think it is somewhat irresponsible to leave this to the courts. How does the Council of State feel that a newly-exploited 20-year-old in a low-level staffing industry, where the government is still going to eliminate collective redress, is going to be able to dare or afford to sue an employer to find out if this is contrary to the law?
ParlaMint-NO_2015-02-18.ana.ud2278e394	To the questioner: This government practises the same law as the previous government did. If it was like this that this is a layman's society, which is used as rhetoric, my question goes in return: why didn't the last government change that law? Why was it permitted to have the legislation and practice, which is actually in force today, which also applied in 2013, 2012, 2011, 2010, 2009 and beyond in time? It's a rhetorical way of acquiring this. I expect that the representative does not believe that a State Council should go around and review the courts regarding how the law and law should be interpreted. I actually think we're going to stand firm and relate to the principle of power distribution. If the social partners – we have tripartite cooperation – believe that there are uncertainties in the law in this area, then it is also the responsibility of the parties to try it out. I am concerned that we are going to have a clean and orderly relationship, and we have that in today's law.
ParlaMint-NO_2015-02-18.ana.ud2278e401	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e404	One can always believe that regular employment in a normal job is the best, but every day there are thousands of employees who work in the agency, who step in at very short notice to ensure that there are some health workers present, who take the jobs that unfortunately there are no others to take. Then they solve a very important societal mission. One should balance all the time, but what I feel is that the main questioner is that these are people who are permanently employed, and who have days when they don't get paid. When the Temporary Agency Directive was introduced, it was an opening to grant a non-discrimination exemption, that you, as a tenant, should have equal pay to the other employees of the company. If you are a permanent employee, you can get a guarantee payment and get a salary even if you do not have a job, but then it must also be accepted that the salary is slightly lower than for those who work in the company. Is there a system that the Council of State wants to look at?
ParlaMint-NO_2015-02-18.ana.ud2278e409	The Council of State has already looked at that mechanism, and it is quite right that the representative, Mr Ropstad, points out in relation to the derogation provided for in the Temporary Agency Directive. Those who are on the job under the main provisions of the Temporary Agency Directive must comply with the pay and working conditions of the enterprise in which they are on the job. So they have to deal with the tariffs and the pay terms that are there. I think it's important to look at the exception. I think it's important to do that, and the government has already started working on it. We have already notified it in the cases submitted to the Stortinget on 5 and 12 December respectively. We have said that we aim to apply the derogation in a correct and good way, and that we should implement it at the same time as the other changes in the Working Environment Act.
ParlaMint-NO_2015-02-18.ana.ud2278e416	Kirsti Bergstø – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e419	The very situation in the manning industry was the starting point for the introduction of collective redress as one of several means of combating social dumping. The government is now proposing to remove it on the grounds that it is worrying that trade unions can raise a case without necessarily wanting to do so by the individual employee who is exposed. I wonder if the Council of State believes it is more important to protect vulnerable workers from collective agreements and arrangements than against unprofessional employers.
ParlaMint-NO_2015-02-18.ana.ud2278e424	I believe it is important to ensure health, environmental and safety for Norwegian workers. I believe it is important to have a good, safe framework around Norwegian working life, and that Norwegian workers should feel safe at work. At the same time, I am in principle opposed to privatising the Labour Inspectorate's way of running a job through collective redress. I'm basically against it. I believe that in principle it is objectionable, and there were also strong legal objections to collective redress. Collective legal proceedings have also not been used since it was introduced, only once in a case that was rejected in court because it was not allowed to be used in that type of case. I believe it is important to strengthen the Labour Inspectorate. Their main task is to ensure that health, environment and safety are maintained for Norwegian workers in Norwegian workplaces. They have the law to deal with, which is given by the Stortinget, and I believe that there is a better way to follow it up than by collective redress. That is why we have withdrawn the matter, which we also announced before the elections.
ParlaMint-NO_2015-02-18.ana.ud2278e432	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2015-02-18.ana.ud2278e435	I do not think anyone in this Chamber is against the manning industry or does not understand the need for labour hire, at least of all the red-green parties that introduced the EU agency directive in Norway. The manpower industry is important, but it is clear that he should play an additional role in the labour market and offer flexibility. The government has now proposed changes to the Work Environment Act. One of the changes is about the general aspect of temporary additions. In the hearings we have carried out here at Stortinget, among others. The crew industry expressed their dissatisfaction with some of this, and they want to be treated in a non-discriminatory way. Then a reflector can reflect on what it's an expression for. But my question to the Council of State is: does he believe that giving a general access to temporary additions could reduce the need for labour input for some enterprises?
ParlaMint-NO_2015-02-18.ana.ud2278e442	It's a very difficult question to answer. General temporary access in Norwegian working life has not been tried. There is no experience of this, and it is difficult to draw a bastant conclusion as to what it will be like before you have experienced it in practice. I think there will still be a need for a lot of rent in connection with large projects, large companies that have long-term projects. The general access to which we have opened up in the Working Environment Act is mainly about creating an arena, a springboard for all those who are outside the labour force, to try within a limited period of time. That proposal will not help the major contractors involved in a four-year project and will take off major peaks. Then, with a four-year rule, the temporary employment legislation, which we already have today, will be what will benefit the companies most, so that they have enough labour to take away the tasks they face.
ParlaMint-NO_2015-02-18.ana.ud2278e449	Let's move on to the next main question.
ParlaMint-NO_2015-02-18.ana.ud2278e452	I think it is reasonable that we also ask the Minister for Foreign Affairs about something. I also think it is reasonable that we take up the events that have happened quite close to us in the last few days, because this weekend Denmark was hit by terror. The Minister of Foreign Affairs was present at the Memorial. I expect that his job there, under that marking, was to represent us all, and I felt that he did it. On 16 February, the Grand President also sent a letter to the President of the People's Party expressing the importance of standing together, of lifting democracy and freedom of expression, and showing that we express our compassion. I also felt that the Grandfather represented us all in his letter. It's important to stick together when we meet extremism. Norway has felt the same way in the past. Helle Thorning-Schmidt said in his speech, when the Minister for Foreign Affairs was present: ‘It is not a fight with Muslims and non-Muslims. It is a struggle between values based on freedom for the individual and a dark ideology." What values does the Minister of Foreign Affairs think we should use when discussing what has happened in Denmark?
