ParlaMint-NO_2015-04-29.ana.ud2589e26	The representative Per Olaf Lundteg will present a proposal for a representative.
ParlaMint-NO_2015-04-29.ana.ud2589e291	I can well confirm that the entire government – and to the very most extent the oil and energy minister – is behind the government's climate policy. I am pleased that we have jointly – not only internally in the government, but also together with our partners here in Stortinget, the new majority – established an offensive climate policy. This is an offensive climate policy that has been widely supported by the trade movement, Norwegian Industry, Energy Norway, NHO, Bellona and a wide range of actors, which I have also understood has received broad support here in Stortinget, among others. the link of Norwegian climate policy to European climate policy. This is a policy that the whole government is in the clear behind it.
ParlaMint-NO_2015-04-29.ana.ud2589e296	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e299	I will not go into what the Minister of Finance thinks and does not mean. Science is very clear. I also record that the revised National Budget for 2014 is written by the Minister of Finance that climate change is very likely to be man-made. It's in box 5.1 on page 96. But I'm going to move on to what's the responsibility of the Council of State. Together, the Left Party, the Christian People's Party, and the government have arranged for a lot of renewable energy to be built in Norway, and we are about to have a surplus of renewable energy. The questioner from the Christian People's Party was also concerned that we agree that we should have an electrification of the Utsira height. But we need to use the extra, renewable energy, and if we're going to get it done, we need to use more on the Norwegian base. Then the question is asked: is the Council willing to take a single decision in order to get more electrification on a Norwegian base, or is it just the CO2 tax that is crucial?
ParlaMint-NO_2015-04-29.ana.ud2589e309	Then we got the question.
ParlaMint-NO_2015-04-29.ana.ud2589e312	Of course, it is right that the representative of Elvesuen points out: offensive policies for increasing renewable power generation in Norway, Sweden and the countries around us allow us to see that we can achieve a surplus of power. Yesterday, the news came that Swedish nuclear power operators are working specifically to shut down nuclear power plants earlier than they had planned in Sweden. It will correct this image somewhat. It is quite right that there is already a very offensive climate policy on Norwegian soil – and I believe we should all be proud of that, because it is shaped in this house – which naturally has the full support of the entire government. It contributes to both carbon capture and storage on a Norwegian base — the only two carbon capture plants in Western Europe — and to facilitating electrification. I thought that the majority in the UK agreed now to give priority to instruments against the non-quota sector, for example. transport.
ParlaMint-NO_2015-04-29.ana.ud2589e321	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e324	The councils are a fool. I heard what he answered the question from Kjell Ingolf Ropstad. He said that CO2 contributes to climate change. Yes, one should be quite ‘breathed in the head’ not to realize that CO2 contributes to climate change, but the key question, which I will therefore ask the Minister of Oil and Energy, is the following: Is the Council of State convinced that the climate change we see today is essentially man - made?
ParlaMint-NO_2015-04-29.ana.ud2589e337	The President is uncertain as to whether 'luring' is a parliamentary expression. The representative Heikki Eidsvoll Holmås can reason on that, and while he does, the Council of State Lien can answer.
ParlaMint-NO_2015-04-29.ana.ud2589e340	I really thought I would begin by saying thank you, but it is possible that it will not be right for the Council of State to thank for an unparliamentary expression. Let me say it like this: I feel like I was clearly also in place. Man-made activity causes climate change. That's the government's position, and I don't feel that's a very big need to explain more.
ParlaMint-NO_2015-04-29.ana.ud2589e348	Then we go to the next main question.
ParlaMint-NO_2015-04-29.ana.ud2589e351	My question goes to the Minister for Fisheries. At the seafood fair in Brussels last week, Norway marketed Norwegian seafood with large images of small fishing boats and live fishing weather. Although there have been and are challenges in the fishing industry and the fishing industry, Norwegian fisheries policy has been largely a success story. We have control of our own fishing resources, we have a fishing fleet owned by the fishermen, and we have effective markets for the marketing of fish. Important supports are participating law and fish sales laws. A selection led by Professor Tveterås is now proposing to reverse most of the fisheries policy. The Council of State has from the sideline and with the government declaration in hand announced that all stones should be turned. The signal of state councils, or lack of such a signal, creates uncertainty in the fishing industry and along the coast. Now the State Council's own technical directorate, the Fisheries Directorate, has slaughtered the report of the Tveterås Committee: ‘The significant liberalisation of structural policies recommended by the sample must be expected to have a very significant impact on the economic structure both at sea and at land in the relatively short term. It is a significant weakness that such consequences have been identified and assessed to a small extent’. In addition, there is a risk that major changes to the legislation may challenge ensuring that the fishing resource remains in Norwegian hands. In the light of the advice given and the political signals given, can the Council confirm that the Act of Participation will be in place and that the Government will not allow the fishing industry to own fishing quotas?
ParlaMint-NO_2015-04-29.ana.ud2589e371	The representative, Geir Pollestad, addresses a matter that is out for consultation. The Tweterås committee was set up by the previous government, received its mandate from the previous government, completed its work and delivered its position to me on 16 December last year. So it's quite right, as the representative Pollestad says, that the sample has done a lot of work. They have literally turned all the stones. They have looked at all parts of the entire value chain in the Norwegian fishing industry, and they have made many, many recommendations. Tomorrow the consultation deadline expires, and it is quite right that many opinions have been delivered. One of them has come from the Fisheries Directorate, which has gone through all the proposals made by the Tveterås Committee. It is reassuring for me as a specialist council that my trades union director has done just that. On two points, I've been very clear that we won't make any changes. We're not going to make any changes to the nationality requirement, we're going to risk — I was going to say — the control of fish resources. Secondly – the government has not announced revolution in the fisheries policy, but we have clear wording in the government statement that we should modernise the law, and we must go through and ensure that we have a legislative and regulatory framework for this so important industry, which will enable the industry to be competitive in the future. Everyone – each of the small businesses we have along the coast – is actually in direct competition with the rest of the world, and we can no longer settle for the fact that we are not able to generate large enough profits to make a transition to attract skilled labour. I want this industry to survive in the future, and therefore it is so important that we now make some changes, and I will present the proposals in a big deal before Christmas.
ParlaMint-NO_2015-04-29.ana.ud2589e380	The Council of State must be the only one working on fisheries policy, which does not have an opinion on these issues. This is not surprising, because until the E24 on 28 January of this year the Council of State said: ‘For the moment, I mean nothing.’ One of the big questions here is whether to open up the fishing industry to own fish quotas. It must be that the government has a thought about it, all the time you have ordered a legal investigation in order to respond to the EEA legal aspects of such a change. One may risk opening the way for foreigners to own fishing vessels in Norway. While the legal point concluded correctly that the nationality requirement is not compromised, there is no guarantee that the ESA and the European Court of Justice will assess the matter in the same way. My question is, can the government guarantee the Stortinget, with 100 pst. security, that an opening to allow industry to have its own allowances will not open up for foreigners to own fishing vessels in Norway?
ParlaMint-NO_2015-04-29.ana.ud2589e392	What I can guarantee the Storting and Mr. Pollestad, is that in working on the big message that we're going to present before Christmas, we're going to go through thoroughly and also evaluate the impact of the suggestions we're going to make there. It is quite right that a good and insightful assessment has been made of the legal situation and the scope of action we have in relation to the legislation in force today, and how ownership can be within the fishing fleet. I have many opinions on fisheries policy, but it would be totally wrong for me to start drawing conclusions in the middle of the hearing, before the hearing ends. I don't know about any other state councils that do that, when you have big, important investigations out at the hearing.
ParlaMint-NO_2015-04-29.ana.ud2589e397	It opens for follow-up questions – first Per Olaf Lundtigen.
ParlaMint-NO_2015-04-29.ana.ud2589e400	I note that the Minister for Fisheries cannot guarantee that national ownership will exist on the majority proposal of the Tveterås Committee on the introduction of freely tradable quotas in fisheries without binding on fishing vessels. I have to say, it is rather naive to believe that such a nationality requirement can exist. I would like to say that the grip proposed by the Tveterås Committee here is to privatize fishing. This is totally contrary to today's legal order. About today's legal order, which is fixed in Stortinget several times, it is called among other things. in Section 2 of the Marine Resource Act ‘The wild marine resources are in the community in Norway’. It has been repeated in a number of unanimous committee settings that it is in the community in Norway. My question is then: does the Council agree that if the majority view of the Tveterås Committee on freely tradable fishing quotas is to be introduced, inter alia, Section 2 of the Marine Resource Act is deleted?
ParlaMint-NO_2015-04-29.ana.ud2589e407	There is no doubt that fishing resources are owned by the community in Norway. No one in this room has to believe anything but that it means the government today. Of course, this is also a fundamental principle in the work that we are going to do. Then we're going to consider all the input that had to come into the consultation round, all the questions that have now been raised in relation to the investigation that has also been made. But I think we have relied on what is the foremost legal environment in Norway for understanding how the EEA Agreement stands and what kind of action space we have. That's what we have as a starting point when we go on working on the gross domestic product.
ParlaMint-NO_2015-04-29.ana.ud2589e414	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2015-04-29.ana.ud2589e417	It is a powerful consultation call for the Directorate of Fisheries v/the Director of Fisheries has joined the Tveterås Committee. I am pleased with the guarantee given by the Council of State to the representative Pollestad that the consequences of any changes that the government will make to the Storting before Christmas will have been thoroughly assessed. Then there will also be a natural conclusion for me to draw that when the Fisheries Director says that there have not been good enough assessments of the impact of the proposals put on the table by the Tveterås Committee, the Council of State must also share it, since she gave a guarantee to look better at the consequences.
ParlaMint-NO_2015-04-29.ana.ud2589e424	The Fisheries Directorate has provided a very thorough consultation response to the Tveterås Committee. I very much appreciate that, because it is important that my colleges are honest and open in their feedback at the hearing that has been held. When such objections are raised to the proposals that have come from the Tveterås Committee, I, of course, take this very seriously. It is clear that we need to go even further into the depth of this before we consider what kind of proposals it will be relevant for us to promote.
ParlaMint-NO_2015-04-29.ana.ud2589e432	Let's move on to the next main question.
ParlaMint-NO_2015-04-29.ana.ud2589e435	My question goes to the Minister of Oil and Energy. Councillor Lien has just been up north and looked at the oil platform Goliath. When the development plan was approved in 2009, it was expected that the platform expansion would cost 31,3 billion. kr. Last fall, the price was adjusted to 46.7 billion. kr – an exceedance of almost 50 pst. – and production has been delayed for two years. There has been relatively little attention around this. This is probably due to the fact that it is the Norwegian State that takes a large part of the extra bill. Eni, Statoil and the state will hardly make money on the expansion. The analysis company Rystad Energy calculated that in order for Goliath to balance the financial balance when the project was adopted at Stortinget in 2009, an oil price of $67 was necessary. Later, there were exceedances. Now Rystad Energy believes that there is a need for an oil price of $95 barrel to balance the economy. It's worth noting that yesterday the oil price was $63 barrel. We know that today’s tax system — through the so-called free income — makes some business-unprofitable fields profitable. The result is a high risk to the country and the community. This may have been a sensible tax system some years ago, but hardly for the future, as there are expectations that it will be a lower oil price. In view of the history of Goliath, is the Council of State comfortable with how today's tax regime makes the community take such a great risk, and also losses, when we see what projects lie ahead of us, especially in the Barents Sea and the Barents Sea south-east?
ParlaMint-NO_2015-04-29.ana.ud2589e450	First, let me say that as far as the development of Goliath is concerned, Norwegian suppliers – even though the platform is assembled in Asia – have already made large deliveries to the platform. It has created jobs and not least technology development along the entire Norwegian coast. The fact that our northernmost region during this year does not have one, but two operating environments for activity on the pedestal has a strong ringing effect in Finnmark. Goliath must produce for at least 15 years. Depending on the resources around it, it can be even longer. The profitability of expansion is also determined by future oil price developments. The State has no financial involvement in Goliath, since the EEA is not represented in the field. As regards the Norwegian Financial Framework, it is the responsibility of the Minister of Finance. But I want to say that this is a system that – as I understood the representative Elvesuen agreed – has worked very well. It is a system that balances the socio-economic considerations of the economy with regard to the business economy and is designed to bring it into line with what is socio-economically profitable and what is business-economically profitable — and that all profitable resources on the Norwegian base are developed at the end of the day.
ParlaMint-NO_2015-04-29.ana.ud2589e461	It is not surprising that the Minister of Oil and Energy is satisfied with ring effects and the activities within his own department, but it is also true that we are in a new situation, but one must expect a low oil price. I also believe the Minister agrees that a basic premise for new development must be that it is both socio-economic and business-economic profitable. And now, in addition to what is done with Goliath, the government has a desire to subsidize the Castberg field. It is both fiscal and climate policy a wrong track, and we are shifting even more risk from oil companies to the community, which has to take the bill to expand oil fields that will not be profitable in the future. Even though I think that ESA sees this as contrary to all reason, will I ask the Council of State whether he does not see the same risk as all of us do, when he now goes into the same gallie also for the Johan Castberg field?
