ParlaMint-NO_2015-10-06.ana.ud1650e15	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2015-10-06.ana.ud1650e139	First of all, I think it is absolutely right that we should have a broad and good dialogue at Stortinget. We need to discuss how we get to both integration and settlement in a better way. The largest conversion of the integration approach in Norway took place between 2002 and 2005. Then I was responsible for it. Then we made a systematic integration scheme, which we hadn't had before, we made the right and duty to Norwegian training, we provided an introduction scheme. It's a rather demanding scheme, but it's delivered better results than it had before. But it could be that we're going to discuss some of those pillars and see if there are areas where people with high skills can get out of work faster, if there are multiple ways we have to go to actually use the resources. Then I think it's an important thing that many municipalities do very well at integration. Both the municipality of Molde and the municipality of Fjell have reported that they have made a profit from the integration grants, and they have used it to strengthen the care of the elderly. Why did they do that? Because they're good at integration. So one of the things we might want to do is learn from the best municipalities, the ones that really get it.
ParlaMint-NO_2015-10-06.ana.ud1650e148	I fully agree with that, and I think, in particular, that people get started quickly with language and quickly being able to use their qualifications, are important measures. But I have to ask the question: if this is a good thing as we know it, that everyone is in that job, the Labour Party will put it up and support it under good measures. But I believe that now, when we are gathered in this room – I took it up in my post – we deserve an answer from the Minister of Finance and the Prime Minister. The last thing we heard from the government's no. 2 was in the election campaign, where she not only had an opinion about refugee and integration policy – it is an honest matter – but she had a call for action, namely that the municipalities should not accept more refugees, they should say no, and one effect of it may be that we can stop the Syria agreement. It wasn't just a meaning, but it was a call for action. Now the Storting is together, and now a lot has happened to those numbers, so the finance minister may have changed his mind. But if the Prime Minister sees that for the municipalities who are going to be part of this task, it is a problem when the government speaks with two tongues and that reaches the government's no. 2 Do municipalities encourage them to say no to this major housing challenge, is it a challenge?
ParlaMint-NO_2015-10-06.ana.ud1650e156	The government does not speak with two tongues in the government, and the Minister of Finance has also been quite clear that the government has one platform, and that is that we should implement the Syria agreement and that we should ensure better settlement. That is why the Minister of the Progress Party, who is also responsible for housing, has made a very courageous effort, made a record in the settlement, personally involved and worked hard on this. And then it's like in a municipal election fight there's a discussion going on party politics and party politics dividing lines. I think that discussion must be allowed in the name of democracy, but the government's view is quite clear: we encourage the municipalities to settle. We're going to work hard to get to this, and we need to find new ways to work in the municipalities to ensure good integration that goes faster.
ParlaMint-NO_2015-10-06.ana.ud1650e161	I think the Prime Minister is spending too much time in government. I don't think she sees how this looks from the outside, how it sounds. I hear the Prime Minister talk and trust what she says. That is why we trust the Syria agreement – because the Right is in it. We could live with that. But there's a difference when the government number. 2, she who controls the money for this, says – and when seven councillors like this follow her party leader, she hears: the municipalities should say no. Now 50 new asylum recipients are to be set up, and the figures are increasing weekly. Are these people going to live on asylum receptions, or are the municipalities going to think they're going to get good integration, accept more? What was a huge challenge in accepting 8 000 over three years in June was the 5,000 who received it. It's still a huge challenge, and the municipalities have to be encouraged to take us with them. But it's not too late. The Prime Minister can once again confirm that what the Minister of Finance said here is not the government's policy. She can say those words, and the finance minister can use this day to somehow say that what she meant in August, she has a slightly different view of now. It'll be completely legitimate when we look at the increased numbers. The non-residence of municipalities is not a policy of good integration.
ParlaMint-NO_2015-10-06.ana.ud1650e168	I can probably repeat for something such as the 25th time that the government's policy is to settle. This applies to all the seven government councils of the Progress Party that are now in government. They fully understand that it's government policy, and that's what we're working for. There's no doubt about that – we've answered that 25 times before. Now I think it's important to focus on what's crucial: how we're going to deal with the flow of refugees that's coming. Yesterday we talked here in the hall that we were going to stop sending people out. That, I would say, is a very bad strategy related to the refugee situation we now have. Returning people who do not have the right to stay is one of the most important ways to ensure that the institution of asylum is preserved as the institution of asylum. If we stop doing that, we encourage more people to come to the country without any grounds for asylum. Giving back signals of being returned is important for maintaining the institution of asylum we have. That's the challenges I see we have to work hard on, and that's what this government is going to do, along with housing more.
ParlaMint-NO_2015-10-06.ana.ud1650e177	I want to thank the Prime Minister for a very good contribution. Here the Prime Minister invites you to a broad tax settlement and follows a good tradition from the governments of Harlem Brundtland, Bondevik and Stoltenberg, and I am pleased about that. I still want to focus on the extraordinary situation, and the Prime Minister himself says that there is a completely different picture we see now, than when the government put the last hand on the government budget. In the last few days, we have a total of 25 000. With the figures the Prime Minister presents today, there is reason to believe that this figure may be even higher. My question is: is it that the government is now doing what it can to equip the entire reception system – registration, construction, health care, housing – so that one can ensure that one now at all levels is best prepared for the great challenge we face?
ParlaMint-NO_2015-10-06.ana.ud1650e186	I would like to say that we are working on a bomb with reception capacity. I have registered that someone believes that you are working too slowly. In fact, I believe that those who work in the PU – who now have two shifts, 78 new employees – who work around the clock to get this to, really deserve praise and no more criticism. We're actually setting up a whole new pre-transit reception in consultation – probably next week it's time to go. This has been done in record time: in four weeks you set up a new reception centre. There's a good reason to say that this is actually working on blasts, and it's doing a good job. With that reception centre, with today's situation, we would be able to handle the registration in a completely different way, but it's clear that it needs to be expanded even more if there's even more. And that could be, and that's why you also have the readiness to expand your capacity further. Then we will return with an additional number to the budget, about the consequences for next year, and there will also be a description of many of the new measures and what needs to be done to maintain capacity.
ParlaMint-NO_2015-10-06.ana.ud1650e193	I'm recording that the government is doing what it can. The reception system we have is not dimensioned to the challenge we're facing right now, and it's therefore important that the Storting too be involved in that work as early as possible, because a lot of it has to be done this fall. One of the challenges we're going to see is that the first year's refugee expenses are going to increase dramatically. Several governments have, among other things: because it is ODA-approved means of assistance are included and taken from the aid budget. There will be a paradox if there are the poor in the world to take that bill. We now see the effects of a country that is destabilised, such as Syria, and its consequences. Is the Prime Minister aware that it is not just the long-term assistance that must now be lost in the work we are facing this fall? That's my question.
ParlaMint-NO_2015-10-06.ana.ud1650e202	I have made it clear several times that I believe we must be careful that we do not believe that we can only provide short-term assistance, because much of the conflict prevention takes place through long-term assistance. Knowing that the population of Africa can rise from one billion to three billion over the course of this century, it's actually a huge challenge if we don't manage to create better economic development than what we have. Fortunately, more countries in Africa are going better, with economic development, but we also know that there are wars, conflicts, and there are several countries that have collapsed. It is therefore important from my point of view that we also have long-term assistance, which contributes to economic development. My commitment to education – and not least to the education of girls – is precisely because it is a long-term, important part of conflict prevention, and also in order to ensure economic development in many countries. That's why we have to do both. Prevention is always the most important thing, it gives the best results. It is more expensive to deal with situations when they have arisen, but we also have to deal with those situations. We will also experience pressure on foreign investment from many countries.
ParlaMint-NO_2015-10-06.ana.ud1650e209	Prime Minister Erna Solberg conducts a policy that centralises Norway. Yesterday we saw the beginning of a massive centralization of the police. After the election, it was announced that tracts around the country would be built down. A strong centralisation of emergency services at the country's hospital has been announced. These are just a few examples. The government centralizes Norway, and we are in the Center Party against that. The biggest centralisation reform, the municipal reform, met massive popular resistance in the local election campaign. It was only in one of the fourteen municipalities that had a referendum, that it became a yes to aggregation. The people want services close to where they live. But government surveys and polls showed that the peoples of the same municipalities were positive – in the government-initiated polls they got the positive answers, but when people were actually asked for advice, they said no. What does the Prime Minister think should be given the most weight – polls or referendums?
ParlaMint-NO_2015-10-06.ana.ud1650e216	The government has invited a neighboring call between municipalities to look at the municipal structure. The individual municipality then decides how to consult its citizens on the road. In that consultation, there are some municipalities that have opted for a referendum, and this is linked to the advice given to local politicians on the road they are going to go further. As the representative, Mr. Schlagsvold Vedum, knows, the government has taken a voluntary line in that neighbouring talk, although it does not always sound like it has been brought with it, and then it is the municipal politicians who are going to assess these issues. Then there was a tone in the question of polling institutions that makes inquiries because the government has asked about it, that it means – in a way – that there is no credibility in those polls. I'm actually going to reject that. It may be that the political debate in the municipalities has eaten up against a referendum leads to a different result than one originally had, but I don't think we should discredit the polling institutions in advance.
ParlaMint-NO_2015-10-06.ana.ud1650e223	The community merger is a permanent change that we know creates strong feelings, and as we know, the recipe is centralization. The municipal mergers that have been successful have taken place on a voluntary basis and have had broad popular support. So the government has tried to get a little bit around it using polls. Now we've seen that the polls systematically misjudged the people's will. Where there has been referendum and polling, we have seen that the people in a proper election say no, while in the government-initiated measurements, so-called population surveys, the government gets the answer they want – that it becomes yes. It's completely systematic. The Prime Minister should say, I believe, that, of course, the government should respect the referendums, that it is totally inappropriate to override the local people's will, and when you see that the measurements and the population surveys are so systematically wrong, referendums should be taken into account. Does the Prime Minister think referendums are a better tool than polls?
ParlaMint-NO_2015-10-06.ana.ud1650e230	I believe that when we have submitted to the next-door chat, when we have made legislation that a majority on the Stortinget has supported, it is each municipality that decides how they consult. I experience that when you have had a good process of good involvement in Sandefjord, Andebu and Stokke, where there have actually been many large public meetings related to what will happen in a municipal merger, and you have been in favour of a municipal merger, you have consulted your population in a thorough and good way through several rounds of participation, and it has also been a good way to go into the depths of what a municipal structure change can mean for their municipalities. I don't intend to give you one example of how the municipalities will choose to consult and talk to their people about community mergers. Once we've put ourselves on a voluntary line, once we've had faith in the municipalities, we should probably also respect the fact that municipal politicians are able to do that consultation with their citizens in a good way.
ParlaMint-NO_2015-10-06.ana.ud1650e238	I too would like to thank the Prime Minister for a good speech, which she pointed to all the major challenges we face. Some of them are very serious about themselves. The refugee situation we are now seeing is a result of poor policy solutions. Refugee flows are always evidence that politicians have not been able to face challenges facing countries. What can really lead to large refugee flows in the world is that we don't solve the climate issue, that we can't solve the huge challenge it is. What the Prime Minister said in his speech, that business structures need to be climate friendly, means that we are to create jobs that go far into the future, including with a new climate policy. Does not the Prime Minister's mention of Sverdrup and the other oil fields move in the wrong direction?
ParlaMint-NO_2015-10-06.ana.ud1650e247	First, I would like to say that poor political solutions – poor political craftsmanship, I think the representative said – may be a mild description of dictators and power-holders who are not willing to democracy, such as us. has seen in Syria. It is a challenge, quite simply, that there is a lack of international capacity to follow the principles on which the entire UN Charter is based and to implement them. Whether continuing to operate oil is a mistake in terms of a green shift: Norwegian oil business will be of less importance in the Norwegian economy in the years to come. It's still going to be of great importance, but less importance. I don't see any reason to accelerate the downward trend that is, because we're going to need both the income and the activity. And still, in the medium term, gas is part of the European energy demand.
ParlaMint-NO_2015-10-06.ana.ud1650e256	The second major part of the challenge facing us in Norway is to prepare the population for the big green shift. It's about competence, and it's about knowledge. In his speech and in his speech, the Prime Minister addressed the research and development of an important research effort, supported by the Left. She also included the impact of the Left in the budget, for example. making kindergartens cheaper for those growing up in families with poor advice. But our challenge in the future is both to expand the arrangements that make kids who don't have the same good start in life as everyone else, get the same start in life in terms of knowledge and training, and that we have a school that lifts all children. Then five-year-old teacher training, continuing the teacher's vow, is very important. It was not mentioned in the keynote address of the Prime Minister, but is the Prime Minister still willing to join the race that the Left is running, to lift all children in to face the knowledge challenges facing Norway?
ParlaMint-NO_2015-10-06.ana.ud1650e265	The government has chosen to create languages of the throne that are not a list of all the policies we have, but concentrate on some broad lines about perhaps the most important challenges. I have heard several articles asking for a few pieces. We haven't canceled any parts of the policy we've been talking about for many years, but we don't have to repeat it in every single debate on the throne. We are still in the process of implementing the teaching promise we have told us to implement. A five-year teacher training is part of that. The teacher strategy that we put forward last year, we are following and working actively. We are strengthening the school – we are going to see it again when the budget comes tomorrow – in important areas, primarily to ensure that we meet the needs of teachers, for example. in real science and other subjects. It's a real science strategy. It is a reading strategy, which is not least about the youngest children, to ensure that everyone gets a good enough response. However, there are also childcare facilities, which will ensure that kindergartens become the pedagogical measure before starting school.
ParlaMint-NO_2015-10-06.ana.ud1650e272	The Prime Minister began his speech by talking about the green shift. That's good, but the green shift in Norway is in blue. The government of Erna Solberg is doing very little to make Norway less oil dependent. The UN report on the new climate economy identifies fossil subsidies as one of the main challenges that prevent us from achieving the 2 degree target. The government of Norway and Erna Solberg had a total of 20.8 billion. kr in the tax expenditure of the petroleum industry. We subsidize exploration, while industry on land does not receive such compensation for start-up risk. We have far more favourable offshore depreciation rules than we have on land. The government gives large, targeted research appropriations to petroleum. Can the Prime Minister talk about green change when she continues to hold on to grey subsidies?
ParlaMint-NO_2015-10-06.ana.ud1650e281	There are a lot of companies that show that the green shift in Norway is going on, when we look at Karmøy, when we look at Tizir, when we look at a number of companies that have started up, which have received money and support to make their production considerably greener, among other things. because of the investment we have in the Climate Technology Fund. We are increasing the environmental technology system. We have increased investment in a number of areas that contribute to innovation and innovation related to just green shifts. These are not least maritime strategies. The fact that we have given clear and clear long-term notice that the NOx fund is being maintained also makes the emissions of the maritime sector greener. There will be capital and the ability to take part in the technological developments, which must be done for that industry. But it is not that we believe that we should then build up the oil sector faster. It will continue to be the root cause of future funding for well-being. I do not need to see more unemployed people, as SV obviously has, when they have voted against the Sverdrup field.
ParlaMint-NO_2015-10-06.ana.ud1650e293	The Prime Minister is more explicit than ever that the transition from oil to a climate-friendly industry must now take place. Yesterday, the parliamentary leader of the Progress Party made a longer contribution on both climate and green shifts. Of course, the Greens welcome this positive development in our direction in the debate. However, greenhouse gas emissions in Norway do not decrease. The biggest investment is in the oil sector. Our biggest industrial project is Sverdrup. We spend more money on motorways than on railways, etc. When can we expect a comprehensive plan from the government based on Norwegian greenhouse gas emissions and Norwegian climate responsibility, which is at the heart of the problem and which shows how Norway as a whole will implement the green shift in practice, to which no figures can yet demonstrate that we are on the way?
ParlaMint-NO_2015-10-06.ana.ud1650e300	Even in a world where values are produced greener, Norway will need good infrastructure. We're going to need roads, we're going to need railways. But in many parts of District Norway, it's the way that's the answer, not the railway, because it doesn't exist – and I don't think either of us are going to find out that it's going to be profitable to build it out in these areas. But there's a lot of value production in the same places. Climate considerations are going to be very important in the way we handle the whole transport sector. Next year, we will enter into an agreement with the EU on how to implement the 40 pst cuts that we have committed ourselves to in the joint implementation bit. We know that the part of Norwegian emissions that is not part of the quota system is largely in the transport sector and in agriculture. This means that there will be a plan – as a follow-up to that agreement – on how to launch the main instruments.
ParlaMint-NO_2015-10-06.ana.ud1650e307	So the line change is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2015-10-06.ana.ud1650e312	The economic situation in Norway is challenging. Reduced activity in oil-related activities gives us great challenges, but also great opportunities. Inland is being developed as an area of the country where employment and the economy seem to have more positive features than other parts of the country. Don't let it turn into a rest cushion. In fact, significant domestic challenges are ahead of us. It will require more than a political line of nutrition and geography neutrality, as the government has so far foreshadowed. Unfortunately, the speech of the throne gave few signals about another growth-creating course. It is now appropriate to invest, including in an active domestic industrial and employment policy. A green shift in Norway would have to base much of its activity on renewable resources such as soil and forest. It's actually a win-win situation. Investing in primary industries could bring us great climate gains, increased employment and, not least, a stronger settlement across the country, and in such a situation I feel the need to raise the forest industry. The answer for the forest industry is not deregulation and state absence. There are now strong incentives such as significantly increased research efforts, better access to capital and the creation of strong clusters should be given priority. The time has not come to make the agricultural situation more difficult. The objective of reducing agricultural holdings should be significantly abandoned. It is appropriate to invest, both small and large players, in order to increase Norwegian food production. Such an image is also a recipe for reduced growth in government liberalisation. Removing concession law and price regulation is a bad recipe to ensure that we have people who dare to invest in small and large properties throughout the country. The debate has so far pointed to the distribution effect of the government's tax policy. The ones with a lot, get more. Those with less, actually get less. To finance constant tax cuts for those who have the most, including, inter alia: to cut into important budget lines for regions and districts, such as: regional development funds create a different distribution of bias. The districts are losing. Significant tax cuts, e.g. in the taxes on wealth, urban proximity benefits very much. Removing taxes on wealth in Norway, some urban areas in Oslo receive ten times more tax relief than, for example, Uppland and Hedmark combined. It's not a good foundation for creating nourishment and activity across the country and industries we're actually going to live off in the future.
