ParlaMint-NO_2015-06-19.ana.ud1781e49	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2015-06-19.ana.ud1781e166	There are a number of settings that are being addressed at the same time here today, and first I want to spend some time on what is usually the case in the last meeting before the summer, namely the revised national budget. The economic situation, both around us and in Norway, is more demanding than in the past. In other countries, we can talk about a persistent – partly – crisis, and we are all excited about how the situation between the EU and Greece will develop. It can get a climax at the end of this month. In the last year, developments have also reversed slightly in the Norwegian economy. Growth continues in the Norwegian economy, but there are also demanding challenges for industries and thus for individuals. I want to say that it's very easy to get involved in macro numbers and the large numbers, but for the individual, for example, will. losing a job means a lot both financially and in other ways. We can never lose sight of that. However, in Norway the situation is also more complex. We have an oil-related industry that obviously wears out as a result of a fall in oil prices over time that is significant, almost a halve. It will have consequences, and it will necessarily be noticed. This is an industry that has also had a record level before the fall came. This makes the short-term effect extra noticeable. But I still want to say that in a longer-term perspective, there is still considerable activity and investment in the oil and gas industry. I also think it is right to say that the industry has had high costs, and that the situation we are now in contributes to a more efficient use of the resources in the industry, with significant cost savings in many companies, which may in the long term be important also for the companies concerned. We also see that part of the export industry is going well. It does, of course, as a result of a significantly lower price of crowns, but we also see that in domestic food in many places it also goes quite well. So it's a composite picture, and the forecasts we were presented yesterday, and what we've got in the revised national budget, indicate that it's especially 2015 and 2016 that will be more demanding. In the big picture – now you have to be careful with metaphors, but Trygve Bratteli said when it was an oil crisis early in the 1970s, that the Norwegian situation is a ripple on the sea of wealth compared to many countries around, and after all I think it is a comparison that can stand up. However, taking into account the individual being affected, it is serious. We, the four parties behind the suspension today, have addressed this in the revised budget and also with long-term measures – I will come back to that. Yesterday the interest rate was lowered. It will also have a positive effect on Norwegian business. But there is no doubt that even for households it presents a challenge, at least for the slightly more crowded residential areas in this country. That is why I am also pleased that the government has tightened up its capital requirements. I think that is necessary and, in line with that, at least my party also recommended earlier. Then yesterday we were presented with the report of the Thøgersen Committee, analysing how oil revenues should be phased into the Norwegian economy and how budgetary policy should be affected by it. We'll probably get back to that. Then the previous governor recommended that you look at 3 pst. The return and use of oil money into the budgets, the Christian People's Party was the only party that was positive to such an assessment. I think that assessment is going to stand even in the future, given what we now see of the framework. I'm going to let it lie right now and maybe come back to it in the line change, but I have to admit that I'm very excited – very excited – about the government's response to what the Thøgersen Committee has presented. The revised national budget is an audit. What is important to meet the challenges of the Norwegian economy is primarily what we do in the long term. There I am very happy that the four parties stand together, and have done so since it became a government change, with a better course for the country to make sure that we are ready to meet new times in this country. We have jointly invested in education, research and development to a completely different extent than before. Among other things, we have a new higher education structural message was recently agreed. It's not just about money – you can always ask for more money – it's also about how to spend the money. We have also seen that the four parties have agreed on important infrastructure tasks. The four parties have agreed on a road reform and a rail reform – very important for future value creation in our country. Then we have a reform we should work together on the future, and it's on the tax side. Now, I guess this is the Scheel Committee renamed to the Tax Committee, for understandable reasons. But I hope and believe that this hall will be able to agree on important principles for our future tax system. We have that power before, we should do it again – at least agree on important principles. Then I'm absolutely sure we can discuss tax rates. On the part of the Christian People's Party, we will at least work hard to achieve such an agreement, which will aim to ensure the basis of the welfare society we have and a good development for Norwegian business and Norwegian jobs. It was more the long-term. We're also following that up through the short term, in the light of the economic situation we're in right now. Therefore, the four batches have agreed to amend the permitting legislation. We're strengthening the apprentice's grant. We're increasing the number of places to study. We're increasing the number of action sites. We are committed to industry through the allocation of funds for pre-seed crops and to environmental technologies via Innovation Norway. And we have an agreement on the car charge side that I think is important for predictability and as a contribution to a green switch in our car park. In addition, we – the four parties – have agreed on a comprehensive package against child poverty, and I am pleased with the consensus that came just before the revised budget. In addition, from May 1st this year we have reduced the rate for children in kindergarten for those who have the worst advice. It is also a contribution to the important policy area in which we stand in common. Then, in this pre-negotiating agreement between the four parties, there is also a focus on further action against drug addicts. We have strengthened the local economy, and it will also have an employment effect. Finally, I would like to thank the Committee for its good cooperation on this issue as well, and then nothing better than the fact that the whole of the Great Britain, including the Greens, is united in a joint proposal relating to country-to-country reporting, which aims to ensure that capital remains more fully where values are created, and that is not least necessary in developing countries. I recommend the setting.
ParlaMint-NO_2015-06-19.ana.ud1781e204	It's going to be line change.
ParlaMint-NO_2015-06-19.ana.ud1781e207	Until recently, there have been tough negotiations, I have understood. I am pleased that the Left and Christian People's Party has put in place an increase of 0.1 billion. kr to the local government sector. I just want to remind you that in ordinary budgetary proceedings, it would have been possible, together with the Workers' Party, to raise 3.4 billion. kr more to the municipalities. They had got 500 more places of action together with us, the apprentice grant had increased somewhat, and we could get a lot more. We could get a lot together. My question is whether the representative of the Seven Seasons sometimes comes up with reflections on how much easier life on the Stortinget could actually be?
ParlaMint-NO_2015-06-19.ana.ud1781e214	Had the Christian People's Party had a clean majority in the hall, it would have been a easier life, I'm sure, at least for the KrFs. For others, it might be a slightly different dance. What I think is a little interesting – to take something that is important, the apprentice grant – how can it be that the Workers' Party can now propose a level of the apprenticeship grant that is up to NOK 10,000 higher than when they themselves were in government? There have been major changes in the Workers' Party, as we have noticed, after leaving the government offices. What we're concerned about is not just seeing what we can agree on on the plus side, we also have to see the whole of a budget. I believe that the majority constellation that is now behind this position has also shown that we are committed to long-term: infrastructure, research, education, industry – what is important for value creation and a welfare society in the future.
ParlaMint-NO_2015-06-19.ana.ud1781e221	In the debate on the legislative part of the revised national budget, we discussed the transfer of municipal tax collection to government tax collection. It became clear in the debate that there is a majority against transferring the task from municipality to state. It's a little interesting when we look at today's budget, because today's budget shows that that reform is estimated to cost 240 million. NOK and 120 million. kr shall be granted further today. Then my question to the chairman of the Syversen is, why are we going to grant the 120 million? kr to implement a reform that we decided earlier this week not to have?
ParlaMint-NO_2015-06-19.ana.ud1781e228	It is a matter which has been much at stake in the context of the revised budget, to which the representative, Mr Vedum, refers. Now it is that part of the money allocated to that reform also affects part of another reform, namely the increase in borders and the transfer of tasks from customs to tax. I am absolutely sure that the Minister of Finance will not spend a penny on anything that has not been decided on in this big deal. And – to put it that way – the Norwegian economy will certainly tolerate having a dollar or two in reserve at the end of this year.
ParlaMint-NO_2015-06-19.ana.ud1781e233	When you see how small movements it's done otherwise in the budget agreement, it's, I think, a little strange that you don't take advantage of that opportunity when it's 120 million. kr released. If you look at the budget paper as a whole, most of it is 120 million. kr related to the transfer of the tax collection function, while the total sum was 240 million. kr. You could re-dispose 120 million. kr internally. Then my final question is: the notes in the bill were actually designed as a postponement more than as a final stop. Is it such to understand that the Christian People's Party is opposed to such a transfer, or are they only cautious against now and then perhaps for the next round?
ParlaMint-NO_2015-06-19.ana.ud1781e240	I'm not quite surprised at the question. We have, as we voted on Monday relating to the proposal for a transfer from 1 January, said no to that. Then, as the representative, Mr. Schlagsvold Vedum refers to, there are some comments on why: we want to see the issue in the context of an ongoing community reform, and there have also been questions about this in reality will involve a business transfer. For the Christian People's Party, there is also a question of a transfer from municipality to state will also mean that the professional resources that must nevertheless be in the municipalities become very vulnerable. So much for the moment. We have the position that we're not going for such a transfer. And then we'll see if there's going to be very heavy arguments for anyway, but it's still going to have to be seen in case.
ParlaMint-NO_2015-06-19.ana.ud1781e245	We have a slightly special budget spring behind us in the sense that the two government parties separate layers in the actual revision of the budget. After all, it must be a challenge for the co-operation parties of the government, which enter into an obligatory agreement and which, in exchange for it, honors it by not, for example, the agreement. to form a majority of other proposals in this Chamber. Does the representative of the Syversen and the Christian People's Party believe that it is a challenge to cooperate with the government when the government parties themselves are unable to agree on budgetary matters?
ParlaMint-NO_2015-06-19.ana.ud1781e251	It is quite right, as the representative Serigstad Valen says, that the agreement we have, the four parties between us, when it comes to revision, means that we should agree on proposals and on the decisions to be taken. What my personal feelings are related to one of the government parties, and how they act on a matter that is also on the agenda today – how interesting it is, I don't know, but let me say it this way: I would experience it as a challenge if I had been in the same situation as the other government party.
ParlaMint-NO_2015-06-19.ana.ud1781e256	The cord shift is over.
ParlaMint-NO_2015-06-19.ana.ud1781e259	The budgetary priorities of the different batches shall be made visible primarily through the treatment of the State budget each harvest. The revised budget shall be exactly that – a revision of the budget adopted but taking into account up-to-date estimates and may adjust for unforeseen events arising from the adoption of the budget. With this government, however, we see that despite the record high level of oil money consumption, what does not fit into the state budget is also taken into account in the revised budget for spring or in the context of the new aging process before Christmas. This may indicate that the government lacks the ability to prioritise. Nevertheless, it is absolutely necessary to make changes when we see how badly the adopted budget from last autumn is adapted to the situation we see in the Norwegian economy now. Today, when we are debating the revised national budget in the United Kingdom, it is at a time when too many businesses and too many workers are in a difficult time. For the first time in ten years, the unemployment rate in the country is over 4 p.m. When the Prime Minister opened the government’s budgetary conference for the year’s budget, she estimated that the unemployment rate could increase to 3.75 p.m. in 2015. Half a year into the budget year, we see it's over 4 pst. According to the AKU figure of the SSB, expressed in the VG last month, about 112,000 people are unemployed. That's the highest number of 22 years. In the same newspaper we could read that Norwegian Industry fears that we can get an unemployment rate of up to 200,000. In that case, it will indicate the highest unemployment since World War II. I can't go well with these numbers, but maybe it might be an idea to listen to those who know where the shoe is pressing, at least when the government in its estimation still seems to underestimate the unemployment rate. The government is talking a lot about conversion. I guess that's good. But you can be tempted to think that this is a new word, that conversion is not something that is happening in Norwegian business all the time, but something that has arisen as a result of the government change. Of course it isn't. One of the really great strengths of the Norwegian model, which makes us one of the most productive in the world, is our ability to change. Small differences between people, tripartite cooperation, tidy working conditions, competent staff – all these contribute to increased adaptability. Then it is strange that this government chooses to attack central parts of the model. More temporary work, increased differences through tax cuts to them with the most already – in combination with cuts in benefits to those with little – are hardly a recipe for success in order to increase the ability to convert. The government's most sovereign bet last fall was tax cut, mainly to the most prosperous. Nearly half of the government's tax cuts went to the richest 5 psts in the country. On the other hand, a weak municipal budget, a hospital budget of 1 billion, was presented. under the promises of the election campaign, a flat educational budget, very little for working life and cut into the welfare of a number of vulnerable groups. The revised budget is an attempt to mitigate the shortcomings and adverse effects of the government's own government budget, because we can certainly see that today's situation is somewhat different from that of the last time we dealt with a red-green revised budget, in June two years ago. Then, over an eight-year period, 370,000 new jobs had been created, the growth in the economy was good, and we had come through the greatest international setback since the 1930s. It was never about leaning back. We proposed new measures to help keep the activity up and unemployment down and to counteract what was then an increasing concern: the trend towards a two-way sharing of the Norwegian economy. A strong growth package for the mainland industry was presented, and the Scheel Committee was set up to prepare the basis for a tax reform aimed at making it more profitable to invest and create jobs in Norway. This was to take responsibility for the development of the Norwegian economy. The government's most tangible measures in the revised budget of the year are to reverse its own actions from last year on the rules of leave and action. It's all right, but we're seeing a government that's in deficit all the time. With a free time of about 3 pst. The Labour Party was always concerned with an active policy to get more people to work, to keep unemployment down. This government chooses to wait and see or follow the situation carefully, as they themselves say – with a vacancy of 4.2 pst. At the same time, we see a prime minister who, over the past few weeks, has consistently neglected to talk about government policy, about solutions to meet downtime, but instead tries to blame the previous government. She just used Dagens Nueringsliv to attack her predecessor for a lack of contracts to Norwegian shipyards. I have to respectfully say that I think the Business of the Day put the closet in place in a manager the next day, where they referred to it as a ‘Minister of State.’ After almost two years in government, it may be time to put away cheap slogans and meet the challenges we face, with action – not with passivity and disclaimers. Then I also think it is worrying if the Prime Minister and the Minister of Finance believe that a decline that occurs primarily in the petroleum-related sector must be met with increased use of oil money. For many export companies, today's situation, at a low cost, is very fragile. It's these businesses we now need to borrow. They hardly need a fiscal policy that puts this into play. Yesterday, the Thögersen Committee delivered its report – it was also the committee's chairman. One of the points highlighted by Mr Thøgersen, as well as pointing out that oil money use is too high, was that fiscal policy should be adapted to the contexts but that it is not the answer when the challenge is to strengthen competitive industries. That's where we are now. The availability among young people is ten times as high as for them over the age of 54, and was measured at 9.4 pst. first quarter of 2015 of AKU. The big difference between the decline now and the one we saw in the financial crisis has been lag behind in terms of skills, especially among the youngest. Unfortunately, the government seems to be meeting this development with a shoulder move. It is the tax cuts that seem to provide the necessary transformation and growth in the economy, despite the fact that the government has not been able to demonstrate that these have any effect. The working party has other instruments. In our budget option, we are proposing a ten-point plan against increasing unemployment. These are labour market measures, we propose nearly 2,000 more places. We propose that the youngest be given priority in Nav. We propose to implement a youth promise in Nav, make sure that young people meet with a tailor-made scheme around them, get their own coordinators who follow them up in their challenging situation. We propose – as we were in the line change – a strong increase in the apprentice grant. That means we're proposing a principle where the apprenticeship grant is going up to the same level as what we're paying today on average for a high school place. This will, of course, contribute to more enterprises taking in apprentices, to more people getting through an apprenticeship, and to remedy the situation of increasing youth unemployment. We're proposing more places to study. We do this, collectively, because we know that when the younger ones get out of work, the way back often gets terribly long. Getting a big hole in the CV at the beginning of a professional career can make you never come back in. The creep that we've seen in many countries around us is that when the times turn, when the economic cycle goes up, when things go better, there's a tendency that the young unemployed, those who have ended up outside, don't join this procession. Therefore, increasing youth unemployment is among the most dangerous a country can experience, and it must meet with countermeasures before it reaches high levels. That is why we are concerned about the inaction we now see from the current government – no proposals for action, no offensiveness and really no concern to trace. Instead, we get the answer that we have to wait and see. In addition to this, we are repeating some of the proposals in our alternative budget from last autumn in a package for food development and conversion. In it lies, among other things, Action as early-stage capital targeted at business start-ups – here we saw something in the government's budget and in the agreement in Stortinget, but this is a more powerful initiative – action aimed at growth enterprises and strengthening the environmental technology system. These were proposals that were voted down last year, but which we invite Stortinget to take a new decision, in the light of the difficult economic situation we are facing. Finally, I would also like to mention the proposal for extended country-by-country reporting, which is now a unanimous proposal by the Committee. I have to say that I am very pleased that the Storting uses the treatment of the revised budget to take new steps towards greater financial transparency and fair taxation. I take this up with me the proposals that the Labour Party has on its own or with others.
ParlaMint-NO_2015-06-19.ana.ud1781e299	The representative of Marianne Marthinsen has then taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2015-06-19.ana.ud1781e304	I am recording that the representative Marthinsen believes that the government has bombed in its financial arrangement. But isn't it the Workers' Party that has bombed heavily on the state budget, where last year they would spend less money than the government provided, in a situation where we need to strengthen the effort? And is it not that the need for competitiveness and investment in mainland Norway is now necessary to create more jobs, and that in this situation, the Workers' Party is proposing strong tax incentives in relation to what was and is the government's starting point? This is the wrong medicine at the wrong time. Does the Labour Party agree that the most important thing we can do in this situation is to facilitate the creation of new profitable jobs in the country?
ParlaMint-NO_2015-06-19.ana.ud1781e311	There is nothing more important than providing new profitable jobs. But I think it's a little strange that the representative Meling here makes it a contradiction to keep the use of oil in order and to provide for a situation in which the export-oriented industry will get better conditions, and that she believes that increasing the use of oil money is obviously the right answer. The main priority of the government in the harvest was to reduce taxes and charges for those who initially have the most. Our main criticism was that you gave too much to too few. It has not been demonstrated that this has a growth-enhancing effect on business. Despite the fact that we have proposed 2 billion. Nevertheless, we have found room for targeted, concrete measures to contribute to increasing employment and to counteract increasing unemployment, particularly among young people.
ParlaMint-NO_2015-06-19.ana.ud1781e320	The working party claims that they're going to give 3 billion. kr more to the municipalities. But they don't put money into this in the revised budget for 2015. Instead, the Workers' Party proposes that this be done in the new aging period until the autumn, and the cuts in the revised municipalities' framework grant of 41.7 million. Compared with the proposals made by the parties to the agreement. The fact that this is done just before a municipal election is partly alarming. What do the Workers' Party and the representative Marthinsen say to those who point out that it is little serious to propose 3 billion. kr to the municipalities that they cannot use in 2015 without it being covered, while the Workers' Party cuts the municipal framework for 2015?
ParlaMint-NO_2015-06-19.ana.ud1781e325	Thank you for the question. I think it is rather incredible that there are representatives from a government party on this side of the financial committee and demonstrate a lack of understanding of the budgetary system in the Stortinget. In the 2015 budget – current year – we proposed 3.4 billion. kr more to the municipalities in addition to the government's proposals, and we proposed to compensate for the tax failure of the new age. And then we're going to stand here and hear a representative from the government parties say that we're going to grant less to the municipalities because we say no to 40 million. In the case of increased child care bureaucracies. Forty million. kr in kindergarten bureaucracy is not the only thing we vote against. We're voting against over 200 million. kr in additional red tape costs that this government wants to impose on the country, which they obviously did not have an overview of when they presented their budget before Christmas. It is a little fun that the Progress Party has turned into the pediatric bureaucrat’s tabloid – I didn’t see it coming – but I note developments.
ParlaMint-NO_2015-06-19.ana.ud1781e334	After the agreement on RNB became known, the reaction of Marianne Marthinsen was: ‘The main impression is that this is small and that the cooperation parties move only on smaller sums.’ In a budget of over 1,200 billion. kr it is easy to be along with Marthinsen. These are not the large amounts that have been moved. So honest we have to be. When the largest opposition party thinks it's moving at 400 million. kr is small, and they claim that they stand for a completely different and powerful direction, cf. Now, it also makes sense that the Worker's Party has an RNB scheme that actually takes a different direction and shows a monthly difference in both direction and size. The fasitator is that the working party is moving a little over 500 million. kr more. Most of the changes made to the Left and Christian People's Party are supported. So the largest opposition party is saying that it's moving about. 0.5 B.C.E. kr on a budget of more than 1200 billion. kr is the big difference in Norwegian policy, and the difference between small and large.
ParlaMint-NO_2015-06-19.ana.ud1781e346	The great difference in direction in this budget is, of course, the willingness to take seriously the developments we are now seeing in the labour market. The big difference between our alternative arrangement and what the government parties and the cooperation parties have agreed on is among other things. The powerful effort we put in to counteract the trend that we see in increasing youth unemployment. I would like to give the Left Honor so that one could negotiate in place a few more places of study, some increase in apprenticeship grants and a few more places of action. But in our alternative approach, there will be a whole range of measures that, in fact, would have helped fewer young people stay out of the labour market and risked staying there for a longer time. We also repeat a number of proposals that focus on targeted measures to strengthen Norwegian business, and in particular the part of Norwegian business that we need to borrow from in the future: entrepreneurs. I am absolutely sure that Terje Breivik would want him to vote in favour of a number of those proposals.
ParlaMint-NO_2015-06-19.ana.ud1781e353	I thought I'd ask a little bit about the longer-term challenges, because what I think is a significant distinction between this government constellation and the cooperating parties and the previous government with a majority, is that you look at what's going on in the long term to ensure that we build a welfare society further. This applies to higher education, to research, to infrastructure, road, rail – very important reforms that have also been demanded for a long time. My question is: do the Labour Party and the representative Marthinsen disagree that this is essential in the long term – in order to provide a continued good basis for Norwegian business, Norwegian jobs and therefore also the welfare society we have?
ParlaMint-NO_2015-06-19.ana.ud1781e361	Yes, I believe that the representative Syversen and I fully agree that research, education, and funding for infrastructure are fundamental to ensuring future growth capacity in the Norwegian economy. For this reason, during the last budgetary procedure, Stortingen has also been relatively united on precisely these priorities. But then I believe that this government project differs from the previous government project in some significant respects in terms of ensuring growth capacity and adaptability in the Norwegian economy. In particular, we need to ensure that some of the mechanisms that have contributed to the high level of adaptability that Norway has experienced so far have been taken care of. It's still about ensuring small differences between people. It is about taking care of the mechanisms of tripartite cooperation, which is one of the most fundamental to ensuring that our ability to adapt is intact over time. And it's about ensuring a decent level of basic welfare services, which are also important to people's sense of security and ability to be productive in a society.
ParlaMint-NO_2015-06-19.ana.ud1781e368	The cord shift is over.
ParlaMint-NO_2015-06-19.ana.ud1781e371	The 2015 budget, for which we are in charge, was a budget for conversion and not least for increasing competitiveness for Norwegian business. The revised budget follows up these lines and priorities, and I am very pleased that the bourgeois majority was firmly behind the 2015 budget and is still firmly behind the changes that have been made and that are moving in the same direction. It is not the case, although we have a decline in the petroleum industry, that Norway does not have good opportunities. We have very good assumptions. We have technology, competence, capital and not least highly skilled labour, which, through conversion and improved competitiveness, can take us out of the decline we are now seeing. I hear the head of the Workers' Party say you have to listen to those who know where the shoe is pressing. Yes, the government does, and they are the ones who are going to create the jobs that are going to replace those that are going to be gone. If you ask this business, including what's in the petroleum industry, business there says that we have to look first at our own opportunities and our own cost level. How can we become competitive? Secondly, they do not demand less of what the government has proposed – they demand more. They demand increased competitiveness through, for example: more investment and better organisation of road, rail and other key infrastructures to improve competitiveness. We've spent more money on this – 10 billion. kr more in 2015 than in 2013. It ensures new jobs, and it also ensures the existing ones. Innovation and technology is another area. There we use a lot more, up to 1.5 billion. kr more for innovation in business, through the Swedish Research Council, the Swedish Tax Agency and Innovation Norway. I also mention the Climate Technology Fund, with great fill. Among other things, Norwegian Hydro has received large allocations from there. Knowledge, research and education are one of the most important ways of strengthening long-term adaptability. Training of teachers has been given priority, clusters of nutrition, the long-term research and higher education plan, also referred to by its chair. In the revised budget, we have also increased the number of study places, and we are increasing the apprenticeship grants. The third bone on which a shift and an increase in competitiveness are based is the taxes on both business and those who are at work. There is no doubt that we need to have the same conditions for Norwegian business in order to invest in Norwegian jobs as for example. Foreigners have come here to the country. It's always wanted. It's not creating bigger differences between people. It's creating less differences, because if you can invest and use your money for new jobs, it will create less differences. The greatest difference is between those in the world of work and those out of work. Whatever the tax level and whatever the position you're in, not having a job will be the worst. During the time we are in, we have also followed up on what affects the individual: changes in the rules of leave, places of action and, above all, changes in the law on working conditions, which make it easier to get people to work. And I'm very happy that we have a civil majority that ends up on this. I have heard over the last few days that the Labour Party believes that the government does not understand Norway. We understand Norway, we understand the value creators in Norway, we understand how to create jobs in Norway and how to stimulate this. That's the central point of a conversion time. A lot of other things are also important, but this is the most important thing. We have to get people to work, and we have to get them into new jobs.
ParlaMint-NO_2015-06-19.ana.ud1781e386	It's going to be line change.
ParlaMint-NO_2015-06-19.ana.ud1781e389	This is, of course, a government that, at all intersections, has increased the use of oil money, primarily to give tax gifts to the wealthiest in the country. Erna Solberg – and also the Fleet here now – argues that this should speed up the Norwegian economy. Yesterday we saw that the report of the Thøgersen Committee came, and the Thögersen also writes in a chronicle in DN: «Financial policy shall take account of economic developments but is not the answer when the challenge is to strengthen the competitive sector.» And then he goes on to write: ‘If we go a long way in increasing the use of oil revenues now, the transitions can become more demanding when, in a few years’ time, fiscal policy needs to be tightened up while oil activity is expected to continue to fall.’ The question to the agent The fleet is: Tar Thøgersen wrong?
ParlaMint-NO_2015-06-19.ana.ud1781e406	No, Thøgersen is rarely wrong, but Wickholm is wrong when he doesn't read everything Thögersen writes. Thögersen talks about gradual phase-in; he talks about the political discretion that must lie behind the assessment of the economic cycle at all times. I do not read Thögersen so that he criticises the government for the oil money usage that has been – or criticises the previous governments, which also increased the use of oil money considerably. I think that, for example, the current budget is very well adapted to the use of oil money. I do not hear much criticism in this Chamber either. I think Wickholm should read Thøgersen a lot more nuanced. He has lifted his eyes and looked far ahead how we shall get a sustainability in the fund and in the use of oil money, and there is no such sudden cold shower, or hot shower.
ParlaMint-NO_2015-06-19.ana.ud1781e413	Before Christmas, we saw that the municipalities had a tax deficit of 2.7 billion. kr. Then it was a principle for the Right and the Advance Party that one should not compensate for the tax failure, and therefore many municipalities have also introduced increased property taxes, and we have also seen cuts in the care of the elderly. Now we see again a tax failure. In the government's estimate, it was $1.6 billion. kr, and you compensate for 1.2 billion. Now we've got numbers from the SSB, and it looks like this year too, there could be a tax failure of 2.8 billion. kr. Will the Right have the same principle this year as last year, that one will not compensate, when the government's own figures may prove to be wrong?
ParlaMint-NO_2015-06-19.ana.ud1781e420	It has been a principle that you have not compensated. There has been an exception this year for this. I can't say anything about what you want to do in the future. So let's see what these numbers actually are. But then I hear that Battle violence Vedum is very concerned that the municipalities introduce property taxes to compensate for this. I think that the picture is a lot more nuanced than the Battle Violence Vedum is trying to pull up. There is a great difference between local authorities on how to prioritize the means they have. You can go into relatively poor municipalities – in quotes – that are doing well at a hard priority of the key core tasks, and vice versa you will see municipalities like, I'm not going to say they're wasting, but they might have a slightly more convenient way of dealing with priorities. There are differences, and we, as well as certainly the Battle of Vedum, want it to be. Municipal self-government has to decide this.
ParlaMint-NO_2015-06-19.ana.ud1781e427	To the right, Bergen runs along with the Promskrittspartiet. At the beginning of the period of government I was part of, the property tax for housing was removed in Bergen. This year it will be reintroduced at a much higher level than in 2005. It's budgeted with almost 750 million. kr in increased property tax income in the budget of the municipality of Bergen. Does the representative Fleet think that the Right in Bergen is doing it with joy and because there is such an incredibly good municipal framework from the state? Or does the representative Fleet think that they do it because they feel that they have to, because the frames of the state are too bad and therefore they feel that they have to impose property taxes – if not the big cut in care? Isn't it a paradox that the largest Right-steered city outside Oslo introduces property taxes when it's the Right who has power also nationally?
ParlaMint-NO_2015-06-19.ana.ud1781e432	I have seen that the politicians in Bergen want to introduce property taxes because they feel that it is necessary. I have not heard the exact reason. I expect that it is their own local economy that is the reason, but I have not heard that the reason is that there are too little transfers from the state, because our transfers have in general been in line with the red-green government's transfers. It's just to follow the curve all the way and compare, you can see that it was a peak in 2006 – that you had quite right, and that probably the Senter party got through in government, then the transfers were high – and that otherwise this has been at a relatively flat level, and we still have about the same level. The results from the municipalities, also in general, are not particularly worse now than they were under the red-green government, but there are differences. And the differences will always be there in a country with a lot of municipalities, maybe too many.
ParlaMint-NO_2015-06-19.ana.ud1781e437	I'm just going to confirm one of the things the agent Fleet said in his post, namely that cut in the property tax makes less difference in Norway. I wonder if the representative fleet could repeat that claim, so it is quite clear what he is actually saying. Is it true that the representative believes that cuts in the wealth tax in Norway give less economic differences between people in Norway?
