ParlaMint-NO_2015-11-25.ana.ud453e26	The called alternate for Oslo, Peter N. Myhre, has taken the seat.
ParlaMint-NO_2015-11-25.ana.ud453e123	First of all, I would say that the Christian People's Party is pleased that the budgetary agreement with the Government Party provides a significantly greener budget. Prime Minister Erna Solberg said yesterday to NTB that we are too late to take action to achieve agreed climate targets by 2020. Furthermore, the Prime Minister points out that the development of the railways takes too long, and that we are therefore not allowed to move transport from road to road as early as desired. Does the Prime Minister, Tine Sundtoft, share his pessimism with regard to climate objectives adopted in this Chamber?
ParlaMint-NO_2015-11-25.ana.ud453e131	I think Prime Minister Erna Solberg had good reflections about this, where we feel that this matter stands. Firstly, it is very good that we land a budgetary agreement with the Left and Christian People's Party. There is no doubt that it is on this side of the political centre line that most offensive climate and environmental policies are provided. We have said several times that we did not come to the table when we took over in government just over two years ago. We were the ones who ordered the gap report and saw how we were going to achieve the 2020 targets. We've reduced the gap, and it's never been as low as it is now – 6.5 million tons. This is because we've strengthened our ambitions through the 2030s. What we're concerned about is doing the right actions, where railway operations may be one of the most important things. But the Prime Minister is quite right that if we reduce emissions in 2019 or 2021 due to our railway effort, then we are subordinate to the shift we are going to have towards a low-carbon society.
ParlaMint-NO_2015-11-25.ana.ud453e138	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e141	There will be a little more about what Norway is saying, and what Norway is doing. Last year, the Councils of State said: «A total of $45 billion of energy is to be invested by 2030. If we are to be able to cut emissions and achieve climate targets, this money must be invested correctly. We are now contributing to increased investment in renewable energy sources.’ This was said by the Council of State in connection with the presentation by the government of an increase in the capital of State power by 10 billion. kr. In the budget agreement, which the representatives just stood here and praised, the government has taken 5 of the 10 billion away from Statkraft. So it was 5 billion less to invest in renewable energy sources. Does the Council of State think that it will lead to more — or less — renewable energy deployment and does the Council of State think that there is a good signal of Norwegian climate follow-up?
ParlaMint-NO_2015-11-25.ana.ud453e153	This government, together with the Left and Christian People's Party, has proposed and endorsed our 2030 targets, where we have five areas of action, and where renewable energy is one of the five areas of action. This is one area where Norway can both cut emissions in Norway and also contribute beyond Norway’s borders. That is why this government has invested a lot in renewable energy, and we have improved the framework conditions. We have proposed new depreciation rules for wind power, we have made adjustments to the electricity certification system, we have given concession to two foreign tables, and we have provided good opportunities for network connectivity on Fosen and in the Snillfjord area. We've given Statkraft an equity deposit of 5 billion. kr, and we have now also started to look at a new investment fund such as: shall invest in renewable energy. We want that fund to have a long-term management capital of 20 billion. kr. So we do a lot in renewable energy.
ParlaMint-NO_2015-11-25.ana.ud453e160	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e163	I want to go back to Paris and the Norwegian international forest and rain forest activity, because it is clear that it is important that we keep pressure on it, including from 2020 onwards, and that we have extended cooperation with other countries. It's not just about the means you use, it's about the results you can achieve in terms of reducing deforestation. I am also interested in whether we can look at any additions to the processes that we have, because in the budgetary agreement that the Left Party, the Christian People's Party and the Government have now concluded, we also have our own comment on increased investment in mangrove forests. Then it's not just about caring, but it's also about re-establishing a lot. Then my question is, how does the Council of State view such a development, with an extension of the bet, including mangrove forests?
ParlaMint-NO_2015-11-25.ana.ud453e172	When we have also proposed a global objective of climate neutrality, we are totally dependent on our being able to take care of our rainforests as well as getting more rainforests. Therefore, we are very pleased that both the United Kingdom and Germany are now participating in Norway’s efforts in international climate and forest cooperation. The fact that we are now speeding up the results-based agreements – that countries understand that we are paying for results, and that we are getting with the private sector in that cooperation – is noticing, and that makes it more interesting for other countries to be involved in this. There I believe that this government has got a further revolution in a very important work. We know that mangrove forests are very important to some countries, but the countries themselves decide what kind of forest they want to bet on. If any of our possible new future partners are interested in betting on mangrove forests, it is natural to follow it up, but we are not the ones from this hall to define which kind of forest gives the most effect.
ParlaMint-NO_2015-11-25.ana.ud453e179	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e182	The two-degree goal is possible, but perhaps not entirely realistic, stated Prime Minister Erna Solberg on Monday this week, and she added that the two-degree goal will not be achieved unless the world at the same time ensures poor countries access to energy. There is still a billion people living in extreme poverty around the world, pointed out Solberg. On the day the Prime Minister says that the two-degree target is barely reached, the Left and Christian People's Party agree to cut support for renewable energy in poor countries by 620 million. kr. If the Prime Minister had got what she wanted, it would have been even bigger. This leads to a breach of concluded agreements between Norway and developing countries. Postponing or scrapping of electrification in earthquake-capped Nepal, postponement or scrapping of village electrification in Tanzania, launching or cutting Mount Coffee in Liberia – is this what is long-term? And is it that the government cuts in support of poor countries' commitment to renewable energy because the Prime Minister has given up the two-degree target?
ParlaMint-NO_2015-11-25.ana.ud453e191	This government has not given up its 2D target. That's why we work so hard to get a good deal in Paris. That is why we say that we must have three demands in the negotiations. We need a global emissions target for a climate-neutral world. We're talking about it in 2050, but I think maybe the majority is going to be in this century. That's why we say we need to adjust the emission targets at regular intervals, preferably every five years, and we need to have a binding and robust reporting system under the new agreement. As of now, 170 countries have delivered their emission targets. We see that through what's delivered there, we've reduced the theory of a 3.6 degree heating down to 2.7 degrees. But this is not enough. That is why we want to enter into the agreement that all countries have to do more over time. We are committed to helping those countries that are asking for international climate finance to achieve their objectives. That is why we are the country in the world that provides the most international climate finance.
ParlaMint-NO_2015-11-25.ana.ud453e198	Let's go to the next main question.
ParlaMint-NO_2015-11-25.ana.ud453e202	I would like to continue with questions to the climate minister, but she will have a little breath, so my question goes to the Minister of Justice. I might have challenged him at difficult times with asylum policy and stricter border controls, but today I have chosen to spend time on something that I think is incredibly important, namely how we can combat violence against children. Too many children are affected by violence. The National Knowledge Centre on Violence and Traumatic Stress estimates that perhaps as many as 5 pst. be subjected to violence. One knows that in 2006, 81 reports were related to violence in close relationships. This year, it's estimated to be over 2,500. There is a huge increase in reviews and in issues that emerge. It could be, as we've looked at the news, a 30-year-old kindergarten worker who seems to admit assault on 17 children in Tromsø, or the case that we're reading about in Fredriksstad Blad today, where a man is suspected of assaulting his two children. That is why I am pleased with the measures taken by the Council of State to combat violence against children, and I am also pleased and proud of the measures we got into the conciliation, which includes: enhanced prevention, family protection, Alternatives to Violence, multiple health sisters. We strengthened the investigation, and the children's houses get approx. Forty million. kr. In the case from Fredrikstad, the police say that there is no time to investigate the infringement and ask for a children's home. Perhaps the funds could result in a new children’s home in Eastfold or in the new East police district. We also strengthened post-protection, that it can be provided by means of a dedicated centre for children exposed to violence. However, it is perhaps so important that a unanimous growth has said that we should have a stepping-up plan – a clear goal and a stepping-up – in order to get more money into it. We adopted it in the spring, and we have said that it will come by the spring of 2016. What is the ambition of the Council of State? What is it he wants to put into that escalation plan in his area of responsibility to combat violence against children?
ParlaMint-NO_2015-11-25.ana.ud453e213	I would first like to thank you for a very important and good question. Violence and child abuse are still a taboo area, although it is now different from what it has been in the past. There are still many children who are subjected to violence and abuse, and who too much do not get the help they need. It is an advantage — or a positive development — that more people now report. It's been a situation of enormous darkness over a very long time. The fact that one is now researching this, that we are talking about it as politicians, that we have a different focus on it in the auxiliaries – from the municipality to the police side, to the prosecution side – helps enough that more people dare to take the step completely out. Then I think it is important when we are now working on this escalation plan, that we see the whole thing. For this is not something that can only be solved on the police track – and that’s also the big picture – this is something that needs to be solved as a social problem, in cooperation between all levels of government and all those working with children. It's e.g. Very worrying when we look at the dark figures that we still have, and we know that there are so many who still live under violence and abuse, that despite that knowledge, it is difficult to get others to report – i.e. people who are either in the community or in the school environment, teachers and child protection. The threshold for addressing this issue with the police is too high. Unfortunately, it also means a lot to what kind of help measures can be put in place and to get these children out. In the plan of action we are now working on, the main perspective is to contribute to a holistic focus, how we, as a society, can contribute to this. So I can't now tell you what we're going to bring to spring, but it's very important to us that this is a document that provides a good basis for the decisions the Stortinge is going to make.
ParlaMint-NO_2015-11-25.ana.ud453e222	I want to thank the Council of State for the answer, and I'm very pleased with the approach, because I think that investing in prevention is the second most important thing we can do. Now the Council of State is responsible for the field of justice, so I can continue to ask in the field for which he is responsible. One sees that the waiting time from one case is being revealed until a child is interrogated is still too long. The Stortinget has now adopted new rules, on the basis of a good proposal from the Council of State, which says that within seven days the first hearing should have taken place in the most serious cases. Nevertheless, you see that the deadline is broken for a very long time. 50 pst of the first questioning seems to be taken only after one month. And there's a big difference between the police districts. When I look at the numbers, I've seen that Sogn and Fjordane, Troms and Finnmark are good examples. They're up to 80 pst. within 30 days. Follo and Rome are only able to handle 20-30 pst. So there are extreme differences. The law says that a hearing should be taken within seven days. Can the councils accept that the law is being broken so often, and can he accept so many differences, so bad police districts?
ParlaMint-NO_2015-11-25.ana.ud453e229	The simple answer to that question is no, I can't accept that. That is why I am following this up in my monthly meetings with the police director quite concretely and down at the police district level to look at developments and challenge the police director to concrete follow-up actions in the unsuccessful police districts. It is not acceptable for children to wait beyond the requirements of the law and it is not acceptable that there is such a difference between police districts. There is no doubt that more police districts have significant potential for improvement. Those who succeed succeed because they focus on this from top to bottom, because they set aside the necessary resources to ensure that children are interrogated within the time they are going to. It's also about specializing. I myself have been involved in the opening of project November, where one specialises in competence on violence and assault to ensure that one should have a necessary professional focus as well. There is no doubt that there are more police districts that have much to learn from others who succeed in this. Now, one of the important steps is to strengthen this environment through the near-police reform, to ensure that there is equal treatment, to ensure that there is the necessary resources to ensure that the weakest of the weak get the follow-up they need. It's not acceptable to have what we have today. As the representative is aware, this has been an important focus area for me over a very long time.
ParlaMint-NO_2015-11-25.ana.ud453e238	Follow-up questions will be raised – first Olaug Bollestad.
ParlaMint-NO_2015-11-25.ana.ud453e241	An important part of the escalation plan for violence against children is to put in place doctors who have a specialisation in this particular case with violence against children, in all child wards in Norway. The Christian People's Party is very happy that we got 45 million in place. This is indicated in the budget agreement, because this is important. These doctors need to cooperate closely with the children's homes if we're to make it work. As the Children’s Ombudsman has quite rightly pointed out, not all children who have been subjected to violence are currently undergoing medical examination in the context of questioning at the state’s children’s home. My question to the Council of State is: What will the Council of State do to ensure that all children in children's homes receive medical examination, so that they are well cared for, but also that we can ensure proper and good results?
ParlaMint-NO_2015-11-25.ana.ud453e250	I fully agree with the approach of the representative of Bollestad. The question of the health professional competence of children’s homes lies below the Minister of Health, so it is the Minister of Health who is constitutionally responsible for it. But I know, because there is close dialogue between the Minister of Health and me, that the Minister of Health has focused heavily on this, including in the letters of allocation and the follow-up of the health regions, in order to facilitate adequate pediatric competence to enable a person to carry out the studies in the children's home that are needed. So there's pressure on the competence, but there's also pressure on the capacity of the children's homes. Therefore, it is also important now that we provide children’s homes together with a resource-based capacity to carry out both interrogations and the studies to be carried out in children’s homes. The whole point of the children’s homes is to collect all this in one place in order to minimise the burden on the child, and it is absolutely essential that the tests are carried out in such a way that it is as gentle as possible for the child. And then we have to have competence, and we have to have the capacity available.
ParlaMint-NO_2015-11-25.ana.ud453e255	Lene Vågslid – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e258	I want to follow up on Ropstad's question about waiting times, because even last October the Minister of Justice thought it was unacceptable that the waiting times were too long for children. Now the government has finally put in place a new derogation regulation, which is very good. We have agreed on the compulsory use of children's houses for all children under 16, and agreed on new deadlines for matters, etc. This means that the pressure on the children's houses is now greater than ever. These include: the reason why the Workers' Party wishes to earmark means to children's homes as well as to increase them by at least 40 pst. I also liked that Ropstad signaled that he wanted to support proposals for a new children's house in police districts east, which the Labour Party has a staff member. What I'm asking is: What is the level of justice the Minister of Justice has to make sure that vulnerable children who are subjected to election or abuse do not have to wait unnecessarily long? What concrete plan does the Minister of Justice have?
ParlaMint-NO_2015-11-25.ana.ud453e265	Let me first just say a little bit about what has been happening since 2013. There has been a positive trend in the number of children’s homes and interviews, as the number of reports is much higher. There has been a very strong cross-political focus on – how are we going to increase the level of review? And it's probably increased considerably more and faster than you could predict. It has pushed capacity, and it has also led to a rise in waiting times, which we had a very positive development in a good period of time. What is planned is, first of all, to make all police officers responsible for the capacity required in the children's homes. It is the responsibility of the police officers, it is a framework-funded system, and it is a clear political and police priority that one must provide the necessary capacity – the necessary training capacity and that each police district has the necessary number of interrogators. There has also been an increase in the capacity of the Police College, so that you should have better access to that competence. It's relocating people who have that competence, but who have other police jobs today, so that we can bring the waiting times down to an acceptable level. And it's through the near-police reform to ensure strong enough professional environments that one can keep this focus over time.
ParlaMint-NO_2015-11-25.ana.ud453e272	Jenny Klinge – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e276	This theme is important, and it is good to ask questions about it. Former Minister of Justice Knut Storberget, under the Red-Green Government, had a special commitment to the children and to violence and assault on children. I allowed myself to be a little particularly happy in the Great Mountain just because of it, because it was when the children's houses began to roll out around the country, and the children's houses are many good reasons to strengthen further. We are forced to have competence and to adapt locally to this, and this has led to good cooperation between relevant actors – in some cases a major step forward for the children. My question is: Will the Minister of Justice consider children's homes more places? Of course, I am aware that one cannot have too many – it is important with competence – but we have a country where there are so many distances that I still want to ask the Minister of Justice the question: Will he evaluate it more places?
ParlaMint-NO_2015-11-25.ana.ud453e283	As we see evolution now, it may be relevant to consider. We have ten children's houses today. They have had up to recently relatively good capacity. What we now see is that the capacity of many children's homes is under a very strong pressure. It could mean that we need more children's homes. It's part of the assessment that we have to do in the future. But it also depends on how much we can increase the capacity of the existing children's homes, so that one does not establish children's homes for the sake of the children's home, but that one establishes children's homes where there is actually the greatest need for it, and where it has the greatest effect for the children like that. have a shorter travel period. But it is also necessary to look at this based on where the case is based. I think it's a very positive commitment that both Knut Storberget had as Minister of Justice, and that I continue with, and that the Klinge and very many other justice politicians in Stortinget have to make sure that we have the necessary focus on the weakest of the weakest, and that's the children. We have to make arrangements for them to be interrogated in a way that is best suited to them.
ParlaMint-NO_2015-11-25.ana.ud453e290	Kirsti Bergstø – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e293	Today is the International Day for the Elimination of Violence against Women, and this afternoon many of us are going to show that we want and demand a stronger effort in the fight against violence against women. At the same time, this week we have a budgetary agreement between the government parties, the Christian People's Party and the Left that does not reverse the cut of 10 million. kr for compensation for victims of violence in Vardø. The employees of the office who say that they are already understaffed and that the cut will offer a worse offer to victims of violence. Does the Minister of Justice feel that it is right to cut off offers to those who are subjected to violence?
ParlaMint-NO_2015-11-25.ana.ud453e298	The Office for the Compensation of Victims has been reduced in accordance with the proposal of the government of which SV was a member. There was a temporary strengthening of the allocation to the Office in connection with the terrorist attacks on 22 July. It was then underlined that it was a temporary allocation. That's what this government has been following up on. Then I agree with the representative Bergstø that it is absolutely essential that we now have a strong focus on how we can ensure that the offer of victims of violence is not reduced. The government has launched a comprehensive review of the entire offer of victims of violence, in order to ensure that a person receives a better offer throughout the country and see these offers in the context. But in the case of the Victim Compensation Office, it's just a follow-up to what was the premise of the previous government, and that's what the government has been doing. Then, of course, the government will continuously assess whether there is a need for a general strengthening of the appropriations in the future.
ParlaMint-NO_2015-11-25.ana.ud453e307	Let's move on to the next main question.
ParlaMint-NO_2015-11-25.ana.ud453e310	My question goes to the Minister of Justice. The Minister of Justice and Security has, in his time, been one of the foremost champions of various reforms. Police reforms, reorganisation of emergency units and changes in court structures are some examples. The centre party wanted a different police reform than the majority of the Stortinget decided, because we believe that large-scale centralization is not the solution, but we are aligning ourselves with what was agreed, and are concerned that the result should be as good as possible under the regulations that are in place. It is crucial for a good result of change processes that the parties to which it is assigned become involved and at least experience that they are being listened to. When it comes to police reform, the municipalities have been invited to a joint high-level meeting at the Police College, but they are denied a single meeting with the Police Directorate to present the case. Many municipalities have reacted strongly to this. The fact that many municipalities report that they have not achieved good dialogue with the Police Directorate about the changes in the police districts and the location of the main seat of the police officers is, in the opinion of the Centre Party, a bad sign. When you want to merge larger units, there will always be losers in the function locating battle. However, the goal must be good processes where the most reliable of what is happening is reliable and can accept the conclusions. Does the Council of State think the process has been good enough when spokesmen and other listening parties find that they have not been able to engage in dialogue with the Directorate of Police?
ParlaMint-NO_2015-11-25.ana.ud453e323	First, let me say that I very much appreciate the constructive approach of the Central Party to the near-police reform, when they say that even if they were against it – which is not a large-scale centralisation reform, but actually a close police reform to get more policemen out to the people most – they will still help to make it the best possible. That, I think, is a very positive approach, and it is a good citizen for the cooperation that one must have in any case on the near-police reform in the future. Now I think it's important to distinguish between some of the recordings that the representative made, because there was a mix of different relationships that the mouth got into one question. Let me focus on the question related to main seats. On the issue of main seats, there has been a wide consultation. The hearing period expired on 17 November, and there have been a number of hearings – I do not want to be arrested on the number, but I think there have been over 150 hearings on this process. It means that there has been an open, democratic process, where all those who have been involved, and who have wanted to make recordings, have done so in the consultation process. Now the Police Directorate sits and evaluates these hearings and looks at the impact it will have on their professional assessment of where the main seats should be. Then it's up to the Police Directorate to choose the method for this that's most appropriate. Having things at public hearings and getting written feedback ensures notority, it ensures that everyone can make recordings, no matter how long they travel to Oslo. I don't think there's any bad way to get input into an important process. It may well be that some rapporteurs might also intend to have specific, own meetings with the Police Directorate at this level. I understand that it is difficult for the Police Directorate to hold several dozen meetings in addition to a big meeting and in addition to an ordinary hearing, so I think this is a process that is well in line with the ordinary process of major reorganisations and issues where one depends on getting input from others, and there is an open and good occasion for it. As regards the local process, it will not be affected by the process related to main seats. I don't get time to say more about that now – but maybe in the next answer.
ParlaMint-NO_2015-11-25.ana.ud453e338	It's definitely for the Council of State to get it. Only a short comment first. More police to most people would like to mean more police to those who live in central districts. We need the police all over the country. It is obvious that the Council of State does not take fully into account what the spokespersons have reacted to. At the top of it all, there is every reason to say that the government violates its own guidelines for the location of state jobs when they leave to the very Police Directorate to decide which police officer is to be placed in the individual police districts. The government's own guidelines state that, in the event of major structural changes, the department and government will decide on the location of government jobs, not the budgets. After all, a reduction from 27 to 12 police districts needs to be a major structural change. Does not the Council agree that reducing the number of police districts from 27 to 12 is a major structural change, and what is the reason why the government chose not to follow its own guidelines on the location of state jobs in this specific case?
ParlaMint-NO_2015-11-25.ana.ud453e347	Let me first say that releasing power from administration to police work will lead to more police in the whole country, not just in the most central strata. Since the government joined, we have proposed 1,054 more police posts. There's a dramatic increase in the number of police posts. We continue to build it, and during 2020 we will have two police officers and women per 1,000 inhabitants. So there's a huge effort on the police all over the country, not just in central lines. On the issue of own guidelines: firstly, this has been discussed with the Stortinget, and the Stortinget has supported the government’s view on how this should be done. I am very pleased about that – I think it is an appropriate and correct way to solve a professional question. I have answered questions in Stortinget previously related to guidelines for the location of state jobs, and I believe it is obvious that they are not broken. They shall be taken into account by the Directorate of Police and several of the parameters underlying the locational elections to be finalised by the Directorate of Police take account of those guidelines.
ParlaMint-NO_2015-11-25.ana.ud453e354	There will be follow-up questions – first Marit Arnstad.
ParlaMint-NO_2015-11-25.ana.ud453e358	It's usually a little funny that the Council of State is so pleased with the process when all those to be heard, it seems that this has been a very closed and little open process. Not much imagination is needed to predict that the grand centralisation of police reform will culminate before Christmas with twelve police officers in the twelve largest cities – a large majority of men, who have already been in the post for a long time and have been appointed by the Police Directorate without any influence from political authorities – corruption and government. Then, too, the government has a new structural reform in progress in the area of justice, when the courts are now planned to be centralised. That process is currently taking place as a footnote in the budget, but now to my delight I have seen that Right-wing representatives in Fosen and in Namdalen say that it has been cancelled for the District Courts there. Then I was very happy, so I would like to have it confirmed by the Council of State and ask if it means that the whole termination of all District Courts is now being stopped?
ParlaMint-NO_2015-11-25.ana.ud453e365	It is too tempting just to comment briefly on this large-scale centralization claim, because it is not a large-scale centralization when we move the chief of police and centralize the small part plus the centre of operations. That's what frees the police force that we can put around. That means that we can get lenght offices that have the ability to do the job you want lenghtsmen's offices to do. That means we're getting a stronger local police force, a stronger local police force. I think it's a bit of a shame that the Central Party still maintains the vision that where the police chief is, there all the police are going to be gathered, because that's not the case, that's not the purpose of this reform at all. In the case of the courts and the proceedings there, they go in two races. One is what we've notified the Storting in the proposition. Of course, we're waiting to see if the Storting has special views about it, but that's what you can call relatively simple aggregations. The question of what is the big process the Court administration is working on is much more complex. The government has not taken a decision on whether or not to continue, but we believe it is right that the court administration may be allowed to make its proposals, and then the government will have to consider the proposals that the court administration makes.
ParlaMint-NO_2015-11-25.ana.ud453e374	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e377	Yeah, we'll see what the Justice Committee agrees on when it comes to the courts. I would like to challenge the Minister of Justice for what, like the main question here, I also feel as a concern about police reform. It is natural that when reforms take place, different locations of e.g.: main seats or bilge offices are disturbed. And in the near-police reform, both the government parties and, not least, the majority here in the Stortingen in the agreement we got, gave a very clear indication that the local places should both have good processes to ensure the best possible police out there where people are, and not least to be fast on the ground. However, we were also clear that in terms of bundling districts, it can be demonstrated that skills jobs can be located in several places within the police district. What does the Minister of Justice do to ensure that that part of the conciliation is followed up in the mergers now taking place from 1 January?
ParlaMint-NO_2015-11-25.ana.ud453e386	It is important, as Ropstad also does, to separate the location of the main seats and the location of the police chief and the operating centre from what is to be done locally. The local processes are not yet in operation at district level. First, someone has to put in place the police officers and the location. We're now working to get that in place as quickly as possible, and then the local processes will start from the turn of the year. There it is absolutely vital that you have a very inclusive discussion with the municipalities. After all, it is a question of providing the best possible police services in a broad field, and then one is totally dependent on having a good and close cooperation with the individual municipality, both in terms of delivery and police services, and in order to achieve a synergy of the efforts of the municipalities, for example. in prevention. So the fact that you're capable of getting that dialogue from the start is absolutely crucial. There is a clear indication in the proposition, in the agreement between the Government Parties and the Left and in the setting of local follow-up. A separate framework for the implementation of these local processes was established to ensure its satisfactory follow-up.
ParlaMint-NO_2015-11-25.ana.ud453e395	Iselin Nybø – for follow-up questions.
ParlaMint-NO_2015-11-25.ana.ud453e398	The reason why police reform was absolutely necessary is that we need to enable the police to meet the challenges we face in our society, whether in terrorist acts, natural disasters or other types of crime. But it is also important that we use the other resources we have in our society, and that we coordinate, so that we can meet the challenges we face at all times in the best possible way. That is why we have a point in the agreement on police reform that an overview of the available response resources available at non-governmental organisations, HRS, fire and rescue facilities should be ensured at all times. So I'd like to challenge the Minister of Justice a little bit about how we're prepared, and how we're coordinated with all the agencies and volunteer organizations that have to contribute if anything happens.
