ParlaMint-FI_2018-06-12-ps-64.u1	As previously announced, Mr Paavo Väyrynen has returned to the House today. Welcome!
ParlaMint-FI_2018-06-12-ps-64.u33	Mr President! This afternoon's debate has been excellently comforting and wonderful to hear. There is, you may say, a very united attitude and thinking, a great appreciation of multilateral cooperation and respect for the agreements that have been concluded. This is also a strong support for the government and the President when they make foreign policy in practice. That's very good. Then the big thing is that when everyone agrees that multilateral cooperation is a challenge, what can be done? Of all the things that have been said here, I think that every time we come across the fact that this is our real tool here is the European Union. The European Union should play a bigger role than what has been hoped for here, and Finland should be building this cooperation for its part. Without a strong player, there are no tables where the great leaders of this world are from the United States to China and Russia. The European Union is the only chance, and it is a big thing for us to realise this and invest in it. German Chancellor Merkel said that Europe must learn to stand on its own feet. That was a wise thing to say. It is not going against anyone; the Europe that Merkel in Germany is building, which we must build, is also a Europe of cooperation on the outside. Finally, I should like to express my thanks and congratulations on the agreement with Korea. That is the most important positive thing in recent years. Although it may have been the wrong people in many people's minds,
ParlaMint-FI_2018-06-12-ps-64.u34	Madam President! The international rule-based system and institutions are really being shaken from a wide range of angles. Just as has been said in previous speeches, it is now important to find those factors and the right means to support this system and Finland must work strongly within the EU. And a strong EU is a very important player in this. There is room for action at the moment and also for more power to support these institutions. The UN may have been criticised on this issue, and it certainly needs reform. But what the UN has achieved in recent years is often forgotten, for example, the Agenda 2030 Sustainable Development Goals and the Paris Climate Agreement, which the United States has subsequently resigned from. They are important actions, global actions, for the benefit of this world and, more specifically, for the poorest and the most disadvantaged in the world. These issues must also be strongly promoted by Europe and Finland. The Minister for Foreign Trade mentioned the difficulties of the World Trade Organisation, which have been known for a long time, and now, of course, the difficulties have become even stronger when the US's criticism of this particular organisation has been very strong. Now it would be interesting to know how Europe and the EU are going to support the strengthening of the WTO, because although we are actively engaged in bilateral trade agreements around the world, which are truly worthy and fine for a small Finland, we still need global trade rules to ensure fair trade and respect for human rights throughout the world. Is there any indication of how the WTO could be strengthened and with whom?
ParlaMint-FI_2018-06-12-ps-64.u35	Mr President! At the time of the presidential elections, a debate began on feminist foreign policy. I would like to continue to do so, even if it is because there are often men in this Chamber in the voice of foreign policy. Looking through feminist glasses shows the sexual orientation of security policy. The aim of Feminist foreign policy is to correct this imbalance. A sustainable society is built when everyone is involved. In resolving conflicts, it is essential to ensure that women are involved as actors. Similarly, the implementation of human rights and the improvement of the social status of women must be taken into account in the reconstruction process. A key element of feminist foreign policy is the abolition of violence against women. Sexual violence is used as a means of warfare. Ensuring every physical security is a prerequisite for lasting peace. This can be ensured by supporting the bringing of criminals to justice, by helping victims of crime, by integrating former soldiers into society, and by highlighting the link between the uncontrolled proliferation of weapons and violence against women. Development policy must improve the position of girls and women, as well as sexual and reproductive rights. Ensuring the political and economic rights of women improves the functioning and stability of democracy. There must also be requirements for the assessment of the gender impact of trade negotiations. Mr President! Finland has increased the role of women and girls in its foreign policy. We are now also occasionally implementing a feminist foreign policy, but in the future we must be able to do so systematically in both bilateral and multilateral cooperation. The debate on women's and girls' rights will remain a political rhetoric unless their implementation and the development of funding is followed by clear indicators.
ParlaMint-FI_2018-06-12-ps-64.u36	I have to say, as President, that I believe that women have been given the same speaking time here. There is nothing the President can do about it if the group speakers are men for the most part.
ParlaMint-FI_2018-06-12-ps-64.u37	Mr President! Development cooperation is indeed one way of supporting human development and the stable development of the world in the future. It would now be particularly important to ensure the basic funding of UN development actors, which has been plagued by the US withdrawal from financial responsibility. There are now more than 200 million women in the world who lack the modern prevention services they need, and the figure is on the rise due to the development finance cuts decided by Trump. This leads to unwanted pregnancies, unsafe abortions and maternal deaths. The lack of sexual and reproductive health rights and services is also an important source of rapid population growth and instability. Finland and the EU should increasingly channel development funding towards sexual and reproductive health services, in particular the UN Population Fund (UNFPA), which now suffers from a significant lack of basic funding, which leads to women not receiving the services they need from developing countries, and this will also have an impact on the population growth that has been mentioned here in the past. Mr President! As far as international trade is concerned, the best thing would be for the rules of international trade to be defined multilaterally within the WTO and not just through bilateral agreements. The removal of unnecessary barriers to trade is justified, but labour rights, environmental regulation, public services and health standards must not and cannot be seen as an obstacle to trade. The rules of the game must also be binding on large global companies, for example with regard to the payment of taxes and the implementation of human rights. But, Mr President, I would also like to ask the Minister: how do you see the situation in the WTO, and is there any way out of this stalemate when it comes to WTO failure?
ParlaMint-FI_2018-06-12-ps-64.u38	Mr President! The Prime Minister rightly said that we must understand the change in the international environment. Unfortunately, the Government's review and the debate here show that it is not sufficiently understood. After all, the crisis of multilateral cooperation is essentially due to the fact that Europe and the world are entering a new era: the era of uncontrolled globalisation and supranational integration is coming to an end. Globalisation must be brought under control. This, of course, requires strong multilateral cooperation. This requires effective implementation of the UN Sustainable Development Goals. On the other hand, it must be understood that a change of direction is necessary. Both multilateral cooperation and European integration have gone too far in a supranational direction, and people are now protesting against this. When it comes to multilateral cooperation, there are two options: either it is implemented in a transnational, intergovernmental way, or it is going in a supranational direction. Here, for example, Mr Vanhanen continued to talk about the need to transfer sovereignty to supranational decision-making. It is the supranational integration and cooperation that is now being protested against. We must now realistically look to the future and try to find ways forward in the development of multilateral cooperation based more on nation states and more on intergovernmental cooperation. The time for supranational integration and uncontrolled globalisation is over.
ParlaMint-FI_2018-06-12-ps-64.u39	Mr President! It is, of course, good that Mr Väyryne, as the man of the future, has come to tell us how things are and, of course, I welcome him here. Referring to Mr Heinäluoma's speech, perhaps this is where the blue-red axis of some kind begins to form in the sense that, yes, Europe must be able to stand on its own feet, although with the addition that the line of this government and the line of the President of the Republic that forms of cooperation in the direction of the West have been quite right. If President Trump has been right somewhere, then Europe must be able to increase its funding for its own defence, and that is something that there is obviously a consensus in Europe. It was pointed out that there was some sort of new normal birth. I myself would ask whether we really want such a new normal to be born. Of course, it is true that back in the times of the great leaders it seems to have gone, but if we look back at the situation in Finland before World War II, is it really in the interests of a country such as Finland to go into such a new normal situation, which causes us a very abnormal situation and is contrary to our national interests and security? This is what I would like to ask those who are talking about a new normal situation in the middle of nowhere. I would also like to point out that, in reference to Mr Arhinmäki's speech, this is not a message from the Lords, it is a message from Mr Elon, that it is indeed worrying, although I am perhaps more understanding of Brexit than many Members of this House, that it has just come to light that the Russians have had much closer contact with the Leave campaign than has been said in the past. This is the worrying situation that Europe is facing in practice when it comes to trying to break us apart from the outside. [PaavoArhinmäki’s interlude]
ParlaMint-FI_2018-06-12-ps-64.u40	We are still having a debate here for about 10 minutes, and then both ministers will make short speeches.
ParlaMint-FI_2018-06-12-ps-64.u41	Madam President! The oldest human rights and cooperation organisation in Europe, the Council of Europe, will be 70 years old next year, and it is indeed an honour for Finland to hold the presidency of the Council of Europe as of November this year. The Finnish Presidency is subject to high expectations because of these very many challenges and problems that our international environment is facing at the moment, but at the same time the Finnish Presidency also offers many opportunities for both Finland and the Council of Europe. Unfortunately, the activities of the Council of Europe seem to be rather little known here in Finland, even though we have been a member of the Council of Europe for a very long time. It is hoped that during the Finnish Presidency of the Council of Europe, among other things, the Foreign Minister will attend the meetings of the General Assembly, as well as the President of the Republic. I really hope this will happen. In fact, I would like to ask Minister Soin whether he intends to attend the General Assembly of the Council of Europe in January and April next year. I would also ask the ministers, including the Minister from Estonia, who has been a member of the Council of Europe delegation: how do you see this Finnish Presidency, and what opportunities could it offer? There has been talk, among other things, of strengthening the whole system of agreements and of emphasising the role of the Council of Europe.
ParlaMint-FI_2018-06-12-ps-64.u42	Mr President! Since the Second World War, countries have relied heavily on multilateral cooperation. However, it must not be completely blind to think that supranational decision-making is in some way the only way to create peace or promote prosperity, and this is precisely what was seen in the Korean Peninsula through bilateral negotiations when Trump and Kim Jong Un met. On the other hand, it must also be remembered that in the Korean war, the United States sacrificed 35,000 soldiers to defend the freedom and well-being of the Koreans. Here, in some ways between the lines, the idea often comes as if countries were not acting selfishly. After all, denying it is a very great intellectual poverty, for the nation itself has the advantage of a functioning nation state that negotiates and promotes the national interest of its nation state with the various actors. For example, recent European Union trade negotiations with Canada and the United States have been examples of the fact that centralised negotiations through such a large organisation do not always lead to the best outcome for a small country. This is also the case with trade relations and other relations. If Finland were not a mere cuckold of the EU, our role could also be a model of non-commitment and mediation on a global scale.
ParlaMint-FI_2018-06-12-ps-64.u43	Mr President! First of all, I would like to thank Mrs Paloniemi for this speech on development cooperation funds. We strongly believe in Christian Democrats that Finland could afford to increase development funds, but we also need voluntary donations from the Finns of Peru. Mr President! No prolonged international political conflict is so simple that a single player can be pointed at with a finger. In the Middle East, for example, crises seem to continue, and finding a peaceful solution to the Israeli-Palestinian conflict has proved far from simple. This conflict has been triggered by decades of different attempts to create a mutually acceptable solution. But it is good to remember that in this conflict there is not only a poor and oppressed group of Palestinian refugees and one of the most powerful armies in the world, that is, the Israeli army, but also a small Israel and a Jewish nation against the Islamic powers of the world and a large number of their supporters around the world. The greatest violation of Palestinian human rights is their own administration. The Gaza Strip is dominated by a terrorist organisation, Hamas, which violates the human rights of its people by arbitrary arrests, torture, violations of freedom of opinion and religion and the trampling of women. These injustices, which Palestinians are subjected to by their own leaders, are such that they should be tackled by the whole world. Unfortunately, the Palestinian Authority, the terrorist organisation Hamas, is often protected by many international actors.
ParlaMint-FI_2018-06-12-ps-64.u44	Mr President! The change from the world of the multilateral system to the Great Powers has been rapid, but it is evident that we are living in the age of strong authoritarian leaders, and the underlying factor is, of course, the withdrawal of the United States from the liberal world order and hence from this multilateral cooperation. When a superpower withdraws, it gives way to new regional powers, and we are now witnessing Russia's efforts to maintain its influence, we are witnessing Iran's efforts to increase its influence and we are witnessing rising China. This world of great powers is a vulnerable world for a small country such as Finland, and it is in our interest to seek and support the multilateral cooperation that remains. Mr Soini, where the EU, there is a solution. It is now in Finland's interest to strengthen the EU's ability to act in every way. The EU is now the adult in a room that brings the light of reason to this darkening world and guarantees the rule of law, human rights and democracy. German Chancellor Angela Merkel recently, in her extensive interview with Frankfurter Allgemeine Zeitung, strongly and in every word translation, stressed the need for the EU to be operational in this world, and this message should be supported and supported by Finland. In this interview, Mr Merkel also raised the need to reserve a seat for the EU in the UN Security Council in a changing Member State. Europe has two seats there, one of which could belong permanently to the European Union, and this would also strengthen the EU's ability to contribute to the resolution of global crises. Is it, Minister for Foreign Affairs Timo Soini, that Finland could support this Merkel proposal that the EU should have a seat in the UN Security Council?
ParlaMint-FI_2018-06-12-ps-64.u45	Mr President! It is easy to go on from this when Mrs Tuppurainen spoke about the UN Security Council. I said in my speech that the chain is as strong as its weakest link, and this also applies to the UN and its Security Council. As we know, there has often been a right of veto in the case, which, at the time of the solution, has made the UN Security Council a sort of toothless paper tiger. This is very regrettable when things could be different there. A few years ago, England and France tried a little to shape the ground for such a reform of the UN specifically in relation to the Security Council, as the idea of relaxing the veto in an appropriate way. But, of course, the superpowers are opposed to this kind of development, because the Security Council is their place of play, precisely by the rules and the structure that it currently has. But, Mr Foreign Minister, do you see the slightest chance that this debate could be carried forward on some schedule with the aim that the Security Council would become such a place of play, that, with the EU’s help at its own place of title, such a general new structure would get these toothless paper tigers out of there and replace their teeth?
ParlaMint-FI_2018-06-12-ps-64.u46	Let us take three more brief speeches, followed by the answer of the ministers. Then we will move on to another subject. These three people are Haavisto, Judgments and Vanhanen.
ParlaMint-FI_2018-06-12-ps-64.u47	Mr President! The debate has been interesting and I will raise two points. I'll take a closer look at them. The second is what the European Union can do in Africa. I agree with all those who have said that we should have a more and deeper African policy, Mr Elo, Mr Rinne and others, and that population growth should be affected by this. My own experience is that we easily come with great enthusiasm from the European side to Africa, we start hussing, that this should be done, and here is the money and we order. What does this wake up in Africa? It awakens the memory of colonialism, it awakens the memory of a Europe that has tried to put Africa in order in the past, as if without hearing Africans. I believe that this is a major challenge: how do we work together equally with the Africans today and in this time? As institutions, for example, cooperation between the European Union and the African Union will then be good. All the experience that we Finns have to look at people with a beak appreciates them as all people are appreciated, is very important in the world. Unfortunately, we have European partners who may have little of that colonial mindset in the back of the head, and I can tell you that this thinking does not work. Another idea that I would like to share is that often when we talk about Finnish companies and internationalisation — and this is also related to the ideas of the Minister for Foreign Trade — we think about our exports and how our exports are going and how our companies are doing well abroad, but perhaps we should also think of companies as the ones who solve matters. When we talk about Agenda 2030, we need new innovations, Finnish know-how and entrepreneurship, but also the kind of interaction that our companies can see what problems are in the world. In fact, the lifeblood of companies is that they become international, not just that they export and catch up with exports, but that they learn from the world what problems need to be solved and what things are important in the future. We should pay attention to these. Companies will also be involved in this Agenda 2030 work!
ParlaMint-FI_2018-06-12-ps-64.u48	Mr President! Every international agreement, whether bilateral or multilateral or international, restricts our sovereignty. And we have chosen it ourselves because either we share the values on which these agreements are based or we see and understand that in this way we are also promoting our own interests. I also emphasise values, because issues such as human rights, the way people are treated, are no longer internal affairs of any country in today's world. Each of us in Finland is also responsible to international human rights organisations and the Court of Human Rights for their compliance. And that's how it's supposed to be in this world. But the benefits of international cooperation are also evident. The world is past the time when it was possible to pursue its own national interest at the expense of others by enslavement to other nations, by taking over their natural resources or territories. No one gains a lasting advantage in this way anymore. This is the basis on which this multilateral system has emerged, through which it has become stronger and through which it must be safeguarded, because there are also short-sighted players who believe that by promoting the interests of their own country, at the expense of others, one can claim to be of benefit to themselves. In the present world of interdependence, where these global challenges cannot be solved except by the widest possible international cooperation, such thinking will lead to ruin.
ParlaMint-FI_2018-06-12-ps-64.u49	And the chairman of the Committee on Foreign Affairs, Mr Vanhanen.
ParlaMint-FI_2018-06-12-ps-64.u50	Mr President! I would also have replied in the direction of Mr Tavio that of course the nation state is the basic unit of our action, but, just as Mr Tavio said, the nation states often negotiate very patiently and prudently international agreements that create new standards, international rules, international law. They will then be supranational rules. But they have been done with our own discretion, they will be ratified here in Parliament, and it is our job to try to create credibility that these types of agreements also hold that there will be no such practice that, in the next or next parliamentary term, they will be made redundant in different countries. Here quite a few representatives, Huovinen and Pelkonen among others, asked the Minister From Soin, I saw the bridge of our future presidencies in each other's direction, and they are opportunities in which Finland itself can do much to strengthen this international system. The Presidency of the Arctic Council, at its best, may be an opportunity for the present regimes of Russia and the United States to finally meet. It is certainly not up to us, but we can bring and create conditions for such a meeting. The Presidency of the European Union may become a very challenging one. A little depends on how this spirit develops around Brexit and how unity within the EU develops. If, in the EU, this dispersal trend, which is going on, continues and happens in Brexit, I fear and a sort of horror scenario is that if the EU is not operational, then Europe will return to a Europe of great powers where Paris, Berlin, London, Russia and Rome are the centres of power that are then trying to settle between them — because there will never be a vacuum here. That is why, of course, it is in the interests of small countries to stick to the unity of the EU, and hopefully the Finnish Presidency will make this a strong priority.
ParlaMint-FI_2018-06-12-ps-64.u51	And the answers of the ministers. Minister Soini, no more than 3 minutes — if that's enough.
ParlaMint-FI_2018-06-12-ps-64.u52	Madam President! Thank you for a good conversation. I believe that this has been extremely necessary. When you look at how little foreign and security policy has been addressed in this Parliament, this is an excellent and good debate. Much to myself to learn and to show. I'll start with that Africa. It is exactly as Mr Haavisto said that this old colonial tradition is printed there, but there is a great opportunity for the Nordic countries in particular. Last week I was in Denmark, where we were five Nordic foreign ministers and African foreign ministers. There was a big chance. The Nordic brand is good. We don't have a colonial past. We have the same level of cooperation. There was an opportunity to be at the banquet with Angola, with Algeria, Botswana, Benin, Mozambique, many of these countries, which are practically not easy to meet, and this is the big thing we can do — and through honest trade. There's a chance. I am planning a possible trip to South Africa, Mozambique, Angola next autumn, and I will then try to involve NGOs and business opportunities. It must be done, not that we meet once and sign a statement, but that we have to go there, that we have to come here. This is how it works. Then, as far as the Council of Europe is concerned: It is a good thing that the matter has been raised. I have been to this Presidency both in Strasbourg and in Helsingør, Denmark, where we had a meeting of foreign ministers on the Council of Europe's affairs. Surprisingly, there was a meeting of foreign ministers, where I think there were three or four foreign ministers, and this is true of the lack of commitment and the problems. There are a couple of bigger ones there: one is, in a way, Turkey's activity, and then, of course, Russia is not paying its fees at the moment and is not taking part in this. And that is our headache, of course, right next autumn, and that is it anyway, but then we will be in the chair. We are being followed by France, and the French Minister for European Affairs will be here next Friday, and I believe that this will also arise. The Presidency of the European Union and these are both important issues. The presidency of the European Union comes to quite a seam: it starts in July when the next government to this good government takes care of it. [EeroHeinäluoto]
ParlaMint-FI_2018-06-12-ps-64.u53	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2018-06-12-ps-64.u54	Then Minister Virolainen. Would two minutes be enough?
ParlaMint-FI_2018-06-12-ps-64.u55	Madam President! I will start with Mr Toivaka and Mr Sarkkinen's questions on what to do to resolve the problems in the WTO. There are actually three lines of action at the moment: a smaller group has already begun to discuss e-commerce and investment facilitation, for example, and here we are now using the term plurilateralism. The second is that we are actively seeking a solution to how the problem of this appeal body can be eliminated — whether it is a type of arbitration or what, it is still on the table. And thirdly, in order to put an end to the confrontation between industrialised countries and developing countries, dialogue has been intensified. With African countries. Several representatives then raised an important question here: the role of girls and women and sexual and reproductive health and rights. Let me remind you that girls are a priority in our development policy. In particular, Mr Sarkkinen expressed his concern about the financing of UNFPA. We are the eighth largest financier, and tomorrow, when the President-in-Office arrives in Parliament, we will probably be able to discuss our future cooperation. Many representatives then expressed their concern about the adequacy of development cooperation funds. I am in the same line with you, and for that we need a common vision of how we build the path to the 0.7 on which we are all committed. Then, Mr Räsänen, you asked about the hate speech in the schoolbooks of the Palestinian Authority. In May, I visited the region, Ramallah, and met the Minister for Education. I told you this was our concern. We had a frank discussion, and he promised that they would undertake to give us an international external evaluation of what this curriculum contains. Let me remind you that it is all open on the Internet that we can check it out. Then I would remind you of the effectiveness of development policy that a debate will take place in this Chamber in the autumn when we get the performance report here — then the few doubting importing countries may also change their perception. Thank you all for maintaining our common values. Human rights, the rule of law and democracy, we must all have them in mind every day.
ParlaMint-FI_2018-06-12-ps-64.u56	For the referral debate, item 5 of the order of business will be presented. The Council of Presidents proposes that the matter be referred to the Committee on Foreign Affairs, to which the Committee on Defence must deliver an opinion. After the presentation by the Government, the debate will take place at a rapid pace with regard to the speeches requested in advance. Group speeches and other pre-arranged speeches shall not exceed 5 minutes. The Council of Presidents recommends that speeches after a rapid debate take up to a maximum of 5 minutes. Furthermore, in the order I am considering, I will give you 1 or 2 minutes of reply. First of all, the presentations, Minister Soini and Minister Niinistö, both five minutes.
ParlaMint-FI_2018-06-12-ps-64.u57	Madam President! The report to the Parliament provides an overview of the situation in Afghanistan and Finland’s support for Afghanistan. The report also consults Parliament in accordance with the Military Crisis Management Act on Finland's participation in the Resolute Support crisis management operation. The development and stability of Afghanistan call for a sustainable solution to the conflict and the country's government's ability to assume responsibility for the security and functioning of its citizens. It is clear that further support from the international community is needed to achieve this objective. Finland should continue to be involved in supporting Afghanistan. We have been involved in the stabilisation and reconstruction of Afghanistan since 2002. Afghanistan is one of the priorities of Finland's foreign and security policy. Afghanistan is Finland's largest bilateral partner in development cooperation, which we have committed to supporting with approximately EUR 28 million per year between 2017 and 2020. We have also supported Afghanistan through crisis management. Finland participated in the ISAF mission that ended in 2015. Since then, we have been involved in a smaller NATO Resolute Support mission aimed at supporting capacity building and the capacity of Afghan security authorities to be responsible for the security of the country. Finland’s approach is comprehensive. Our support also covers humanitarian aid and, as a topical theme, cooperation on migration and return. Afghanistan is still a fragile country. The security situation has not developed as desired in recent years. Creating development is slow and risky. I must admit this. However, it must be borne in mind that support from Finland and the rest of the international community has also produced important results. The report shows that there have been positive developments in relation to the situation in Afghanistan in 2002. After the Taliban, the country was in ruins. Improvements have occurred in the education and health sectors. Life expectancy has risen and is approaching 61 years. Some 40 per cent of children starting school are girls, while girls could not attend school at all at the beginning of the 21st century. Madam President! In the human rights situation, progress has been made on freedom of assembly and media and freedom of expression. Tax recovery has improved and there are signs of stimulation in the economy. There is a prospect that Afghanistan could move from aid addiction to greater self-sufficiency. Despite difficult circumstances, more elections have been held in Afghanistan and the country is currently preparing for the October parliamentary elections. It must also be borne in mind that security responsibilities were transferred to the Afghan security authorities in 2015 at the time of the termination of the ISAF mission. This will continue to be the starting point. However, the security situation is weak, and this is one of the main obstacles to development. There is also a need for a regional approach — A constructive contribution from neighbouring countries is also needed to stabilise Afghanistan. There are more than 20 international terrorist groups operating in and around the country. A further deterioration in the security situation would leave room for the strengthening of terrorism and extremism. The action of these extremists does not look at the borders of the states. Increasing instability in Afghanistan could also lead to uncontrolled migration. The cooperation between the Finnish and Afghan authorities on return issues is working well at the moment, but since the conflict in Afghanistan continues to be challenging and the general lack of visibility of citizens is high, a new activation of migration cannot be ruled out. Madam President! A few words on Resolute Support: It is a key tool for the international community to support the stabilisation of Afghanistan's security. Its main starting point is that Afghanistan's security responsibility lies with its own security forces. The mission will focus on training and advisory activities. The independence of the Afghan security authorities has improved with Operation RS, but is not at an adequate level. Continued international support is essential. As the security situation continues to be difficult, the initial plans for Resolute Support could not be advanced. The number of troops is to be increased from around 13,000 to around 16,000, and this strengthening of the mission will also emerge in the context of the NATO Summit in July. Finland is currently participating in the operation with 30 soldiers, and the national participation mandate has been around 40. The present report states that: Finland would strengthen its participation by raising its participation to approximately 60 soldiers as of 1 January 2019. Participation would be concentrated in the northern command area led by Germany. Madam President! Finally, increasing Finland's strength would be in line with Finland's active participation in military crisis management and Finland's position as an advanced partner of NATO. It would also be an important part of Finland's overall commitment to stability and development in Afghanistan.
ParlaMint-FI_2018-06-12-ps-64.u58	Next up, Minister Niinistö, five minutes.
ParlaMint-FI_2018-06-12-ps-64.u59	Madam President! As we are well aware, Finland has been involved in crisis management in Afghanistan for a long time, in fact since 2002, and there is still no end. Most of the country, in the previous ISAF operation, served 195 Finnish soldiers. As Minister Soini said earlier, the objective of the current Operation Resolute Support (RS) is to bring the security forces and structures in Afghanistan to such a level that they will ultimately be able to maintain the country’s security stability independently. There's still a long way to go. That is why we need strategic patience. Therefore, in their assessment of the situation, the forces involved in Operation RS have concluded that the operation must be extended beyond the initial plan and strengthened. There are no troops in the operation and there is now an attempt to increase them. In a debate held last week at the NATO Ministerial meeting, 23 countries announced an increase in the number of their soldiers, including Finland. I was there. All in all, there are 39 troops-setting countries in Operation RS. The situation in Afghanistan will next be discussed at the NATO Summit in July. Madam President! In the context of Finland’s crisis management participation, it is also justified to regularly assess the size of our crisis management participation in the plenary debates of Parliament, which operations we participate in and what performances we have. Participation in Operation RS is part of Finland’s foreign and security policy. From the point of view of the Defence Administration, it is important that participation also supports the development of national defence and increases the competence of our main personnel and reserve staff. There is always a risk of crisis management participation, and I would therefore like to reiterate what has been recorded in the report in this regard: ‘The safety situation in the capital Kabul continues to be weak. Terrorists are targeted at government and security forces, including ministries, courts and police stations, as well as targets of the international community, such as RS bases and embassies. The rebel range of means includes explosive attacks, car bombs, suicide attacks, direct fire, indirect fire, mini-airplane and chopper operations and multi-purpose attacks combining different elements.’ The focus of Finland’s participation is at present on advisory activities, which also includes self-protection personnel working as advisors in Kabul. In addition, Finland's participation includes participation in the mission's headquarters tasks and the necessary national support. The advisory work is now mainly carried out in the northern region of Mazar-i-Sharf. In the Kabul region, Finland's participation includes staff officers, advisers and the self-protection team of such advisors. Finland will strengthen its participation by increasing the number of troops to 60 from the beginning of next year. At the same time, Finland’s participation will be centred on the northern command area Mazar-i-Sharf, led by Germany. In the future, the mission will include a team of jägers, advisers, trainers and staff. The provision of a Jääkäri team for Operation RS provides a natural continuation for the use of trained personnel and ready-trained reserve personnel in the UNIFIL mission in Lebanon under demanding conditions. This will also provide experience in, for example, crisis management requiring operations and in demanding advisory tasks. In Mazar-i-Sharif, Finland has ready-made national maintenance support systems, contracts and base structures. At the same time, Finland’s participation in Operation RS constitutes a clear regional and operational priority. Raising the mass force to 60 soldiers will enable the formation of appropriate groups, as well as the management, maintenance, administration and national support of the Finnish troops in accordance with the circumstances. Madam President! Finally, I would like to say that the cornerstone of participation in military crisis management is national defence. The basic military expertise required for crisis management operations shall be created in the tasks of national defence. Quality and quantitatively sufficient domestic training and training activities together with international training activities are a basic prerequisite for service security, effective and effective crisis management participation.
ParlaMint-FI_2018-06-12-ps-64.u60	After that, we go by parliamentary group.
ParlaMint-FI_2018-06-12-ps-64.u61	Madam President! A lasting political solution is needed to stabilise Afghanistan. The international community has been involved in the stabilisation of Afghanistan for many years. Finland has also assumed its international responsibility and has been involved in the stabilisation and reconstruction of the country since 2002. Over the past 15 years, respect for human rights and the role of women have improved in some respects, but there are still serious problems in terms of equality and access to education. Afghanistan is a fragile country whose security situation has deteriorated since the end of the ISAF mission. The political situation is uncertain. There are more than 20 terrorist groups in and around the country. Drug production is a major problem and the economy is based on foreign aid. The problems are a breeding ground for terrorism and extremism. The increase in instability would also lead to increasing uncontrolled migration. Therefore, the NATO Resolute Support mission must be continued in order to put the country on a more sustainable path to peace. The key to the stabilisation of Afghanistan lies in a sustainable political solution, free elections and strengthening the country's own carrying capacity to assume responsibility for security and its future. The international community, at the forefront of the UN, must be able to create a clear road map and an action plan towards a sustainable political solution to support the peace process in Afghanistan. Mr President! Since 2015, Finland has participated in military crisis management in the Resolute Support operation. The United States and the EU have made a significant contribution to this operation and its continuation has been based on a need-tested approach. Two Finnish soldiers have perished in Afghanistan while performing service duties. The burden has been heavy. Participation in military crisis management is a valuable, demanding and dangerous task. All necessary support must be given to those who leave, repatriate and repatriate operations. Finland's participation in operations cannot be permanent. Participation must take into account, on a case-by-case basis, the needs of international cooperation, the risks of the operation, the tasks we would be required to perform and the benefits for national defence. Mr President! My own experience of UN missions dates back to 89-90 in Namibia. At that time, Finland was a great Peacekeeper state, both in terms of the number of soldiers and influence. 88 Finns were awarded the Nobel Peace Prize. In Africa Namibia was the first major Finnish operation. There were over 2,000 Finns down there. Of them, 950 carried out their mission in Namibia. But the lesson of that operation was that it began in March-April 89 and ended in April-May 90. That's where we went, the mission was carried out and we came home, which means that it was a peace-keeping operation in the hands of the Finns, which was completed. Martti Ahtisaari is a good example of this in Finland, probably the most distinguished person. Mr President! In view of the fragile situation in Afghanistan, the parliamentary group in the centre considers it justified to strengthen Finland’s participation in some 60 soldiers from the beginning of next year. Through our participation, we gain experience in demanding crisis management tasks and advisory tasks. Participation also strengthens Finland’s position as an advanced partner of NATO. Finland has an honorable history in peace-keeping and crisis management. We are a peace-building country whose soldiers are appreciated by both local and cooperative countries. On this basis, we will continue to promote peace, stability and security within our own resources.
