Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e526	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2251	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2280	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2345	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2373	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08242	Kogler, Werner	M	1961	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2542	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2557	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08242	Kogler, Werner	M	1961	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2584	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2606	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_83122	Meinl-Reisinger, Beate	F	1978	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2669	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2711	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2737	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2019-12-11-027-XXVII-NRSITZ-00007	ParlaMint-AT_2019-12-11-027-XXVII-NRSITZ-00007_d7e2768	Sitting Number 7, Legislative period XXVII, Wednesday, 11. December 2019	2019-12-11	Lower house	Legislative period XXVII	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
