ParlaMint-RS_1997-12-29-0.u44	Injury of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u78	Mr. Dragisic, you've read well, but Mr. Nikolic should have asked to vote. We won't formally.
ParlaMint-RS_1997-12-29-0.u79	Mr. Nikolic said he was injured by the Rules of Procedure. You're required to put it to a vote.
ParlaMint-RS_1997-12-29-0.u80	Mr. Dragisic, are you now representing Mr. Nikolic?
ParlaMint-RS_1997-12-29-0.u81	No, I'm advertising another breach of the Rules of Procedure now. (Tomislav Nikolic from the post: Mr. President, I have proposed a decision, not a law. )
ParlaMint-RS_1997-12-29-0.u82	Mr. Tomo, Igor Mirovic has proposed a agenda. (Tomislav Nikolic from the post: Mr. President, I asked that the agenda be extended by making a decision on the direct transfer of the session. It's not the law, it's just one decision. I told you. We discussed Igor Mirovic's proposal, not your proposal. You've advertised a breach of the Rules of Procedure for that. (Tomislav Nikolic from the post: How am I supposed to advertise the violation of the Rules of Procedure over Igor Mirovic's demands? ( b) On what grounds have you raklammed? (Tomislav Nikolic from the post: On the occasion of the request I signed, President. So where is this request of yours? (Tomislav Nikolic from the scene: to ask ourselves that question. I have eight such demands. It's okay. And you filed a request, right. Do you insist on making a statement to the Rules of Procedure's Hurt Assembly or do you want to vote on the introduction of a direct television broadcast? You have to explain it to me to the end. What's to vote on? (Tomislav Nikolic from the post: To vote on my proposal to make a decision on the introduction of a TV broadcast. ) It means that television broadcasts are being introduced. Okay. There's a word from MP Milan Mikovic.
ParlaMint-RS_1997-12-29-0.u83	Mr. President, ladies and gentlemen, I've been mentioned here, so for these reasons, I already have the right to reply, and it is clear that we still need to clear this up today. Please, it's true that the transfers were lifted based on the fact that one SPS MP came out and said they were being removed. It was a vote and the transmissions were shut down. Whether that's the conclusion, whether it's a decision, whether it's something else, it doesn't matter. At this point, regardless of the written proposals, which have been sent to you, given what we've been talking about, given everything that's happened, I, on behalf of the parliamentary group, suggest that a conclusion be made that direct television broadcasts be introduced immediately. Whether or not I support someone, it's irrelevant. The point is important. That's what we're talking about, that's what we're talking about, that's what we've all decided that's how it's supposed to be, and I think that's what we need to say here. There's no reason why she couldn't look at the public, what we do or how we do, no matter if someone makes us look at each other at some point, and the other moment, they hit us. We must, as MPs, act like one. And just one more thing to explain, however, - we voted against the urgent procedure of passing a radio-television law, but we are not against the adoption of a radio-television law and the implementation of important changes in that law and ensuring the freedom of the media in Serbia. So we just said -- not this urgent, not this fast, but effective. So we stand at the point where at the first session of this National Assembly, that question is on the agenda, and that we, as we get everything else in time, look at it, get to know everything in the text and then decide. Third thing, you put in a motion for a decision on the education of the committee of inquiry. So I don't show up here again - nothing's so sacred that there's no doubt. For these reasons, we support, in principle, the proposal to educate the committee of inquiry, in the formulation that is given here. There are things that are too tight, there are things that are not acceptable as they are set up. They are not acceptable, as polling committees are also proposed to be attended by MPs from some parliamentary groups, and they are not intended for MPs from other parliamentary groups to participate. I don't think that's right and it's only about one question, and that's a question -- were there any irregularities in the work of the Republic Election Commission in conducting a second round of re-elections? It is a far broader topic, far more should there be questions that need to be cleared, in the interest of all of us, in the interests of the country, to determine what is true, what is not true, but not in one circle, in one place and in one organ, such as the Republic Election Commission. That's why we had this attitude right now, with which we appeared in the congregation.
ParlaMint-RS_1997-12-29-0.u84	Thank you. He has the word Gorica Gajevic, head of the Socialist Party of Serbia's parliamentary group.
ParlaMint-RS_1997-12-29-0.u85	Dear fellow Members and fellow Members of the Parliament, the public of the work of the Assembly is not disputed, it is a disputed proposal, or form - is it in accordance with the Rules of Procedure that the Assembly should plead? As for the polling committee, the Socialist Party of Serbia, or its parliamentary club, believes there are neither constitutional, nor legal, nor business conditions, that this is on the agenda. The electoral process, the participants, the authorities, their jurisdiction, all phases, are precisely and clearly regulated by law. That's why there's no room for a polling committee.
ParlaMint-RS_1997-12-29-0.u86	There's a word from MP Nenad Canak, head of a newly formed parliamentary group.
ParlaMint-RS_1997-12-29-0.u87	Dear gentlemen, ladies, I'd have to draw your attention to a little thing - when it comes to television, if once it's decided from this pay phone, it could be lifted, then the proposal can be returned from this pay phone. For that reason, those who have introduced this rule here must now bear these conjunctivities. If one proposal could be abolished, one proposal can return. That's the first thing. I propose that we now vote on the immediate establishment of direct television broadcasts of assembly sessions. That's the first thing. (Glass from the O.R.: TV is not ready). TV's always ready, only when it's waved, it'll come. Another thing, about this committee of inquiry. First of all, I think it's necessary to stop stealing and robbing by election. Here are the people who fought theft and robbery in the 1996 elections, and this time there was again an obvious indication that there was a theft and robbery, so the polling committee has to be made. Because if we don't fight theft and robbery, no matter who's been stolen and robbed, we're not fighting for principle but for winning one or the other, and that's so unprincipled, we'll never get this country into any order. That's why I suggest that the parliamentary club of democratic parties, whose boss I am, be the bearer of this project, because we hate you equally, so we'll be objective. Thank you very much.
ParlaMint-RS_1997-12-29-0.u88	Mr. President, ladies and gentlemen, the Yugoslav Left MPs' club advocates that an agreement on the direct transfer of the session of the Assembly is also being reached. We're not giving up that request, even if it's not formally legal, we can make it a decision.
ParlaMint-RS_1997-12-29-0.u89	Since we have a proposal from the Serbian Radical Party and MP Igor Mirovic's parliamentary club and since it is a proposal for a decision, and it is not an act. I think that's a way to rephrase, Mr. Nikolic. I am putting to the vote the proposal of Serbian Radical Party MP and MP Igor Mirovic to introduce direct television transmissions of the session of the National Assembly of the Republic of Serbia to the RTS programme. Who's gonna raise a hand for that? (178, who's against it? (No one), who's restrained? Nobody. ) I find that the National Assembly decided by majority to introduce direct television broadcasts of the National Assembly session on the RTS programme. (Glasses: Pause. ) Please, the TV of Serbia will, as soon as it gets this decision, introduce a direct television transmission.
ParlaMint-RS_1997-12-29-0.u90	I now propose that we make a decision to apply this decision immediately and be published in the Official Messenger when the conditions are met.
ParlaMint-RS_1997-12-29-0.u91	Mr. Nikolic, it's not coming out.
ParlaMint-RS_1997-12-29-0.u92	Mr. President, you just said it was coming out.
ParlaMint-RS_1997-12-29-0.u93	I said - only if it's brought in in the form of an act.
ParlaMint-RS_1997-12-29-0.u94	One more thing, Mr. President. If the CK could be transmitted directly all night, when you were there celebrating, looking forward and opening champagne, then there can be a direct television broadcast here right now, and we'll take a little break, wait for you to turn on the cameras.
ParlaMint-RS_1997-12-29-0.u95	I'm taking a 15-minute break. [[Pause.]] [[After a break.]] I suggest we continue our work, and the Serbian Radio Television has informed me that it will introduce television transparency around 8:30 a.m.
ParlaMint-RS_1997-12-29-0.u97	Ladies and gentlemen, Members of the Parliament, anything can be done in the Assembly, but most of it. We voted for a transfer. The president can't continue the session with his decision unless there's a majority in this room. I ask you, Mr. President, to put your proposal, just like mine, just like any MP in this room, to vote.
ParlaMint-RS_1997-12-29-0.u98	Of course, Mr. Nikolic, that's what I wanted. Do you agree to continue your work? Who's in? (110) Who's against it? (76 ) Who's restrained? Nobody. ) I find that the proposal has been accepted. Please, 110+76=186. I would like to inform you that I have received one number of proposals from the MPs to extend the agenda of this session by considering irregularities in the conduct of the second round of re-election for the President of the Republic of Serbia and by deciding on the education of the polling committee whose task it would be to determine whether there were irregularities in the work of the Republic Election Commission in the conduct of the second round of re-election for the President of the Republic of Serbia, held on 21 December 1997. In accordance with Article 133(2), Rules of Procedure of the National Assembly, I would like to inform you that none of these proposals for the extension of the agenda have been prepared in accordance with Article 132. The Rules of Procedure, i.e. it is not submitted in the form of an act the National Assembly may decide on, so it cannot be included in the agenda of this session. The MP advertises a breach of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u99	Brothers of Serbs, Serbian sisters and others of faith, I am one of the proposers of supplementing the agenda and it is not true that I have proposed by Article 138 or who has already quoted Mr. President, I have proposed the addition of the agenda according to the Rules of Procedure provided for in Article 88, on time and in writing, as the Rules of Procedure alone states. I see no reason to disqualify such a situation. For respecting each decision and attitude of the Assembly, it is up to the Assembly to open a debate on both the smallest social problems and people's issues and to make the Assembly known. If necessary, I will show the Rules of Procedure and read Article 88, and that is what you can do, Mr. President, right now. Gentlemen, you can do the same. However, if this is a situation such as electoral irregularities, the massity of the phenomenon that has become so limited to criminal acts, it has annulled the country's electoral law, criminal law, the country's constitution. I really don't see the possibility that until these questions are discussed, or I'm going to lie to these claims, that we can do anything and anything else to discuss. The fact is that when it comes to electoral irregularities, my six-page written proposal refers predominantly to criminal acts committed by the state electoral commission, called the Republic Election Commission, and by the police as state authorities. That is why, since the state itself is involved, basic structures of government have been buried. As a citizen of this country, as a Serb of this country, as a man, as a representative of the people of this place, I want to believe that our examples of electoral thefts were presented to the public, were presented to the new president of Serbia himself, perhaps and I want to believe that he himself would refuse and say, "I don't want to be president of the stolen results."
ParlaMint-RS_1997-12-29-0.u100	Time, please.
ParlaMint-RS_1997-12-29-0.u101	Thank you.
ParlaMint-RS_1997-12-29-0.u102	Are you insisting on hurting the Messenger's vote or not?
ParlaMint-RS_1997-12-29-0.u103	I insist that according to the Rules of Procedure, the agenda point is placed, you have taken as a summary point, I have only recognised my proposal and so responded. Please be precise, which all the suggestions exist, to read their content, to recognize in this section my proposal, and then according to the Rules of Procedure, by Article 89, to come out and explain the proposal to supplement the agenda.
ParlaMint-RS_1997-12-29-0.u104	You advertised the breach of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u105	We're not gonna hide behind a formality. This is where we're expected to open up fundamental debates...
ParlaMint-RS_1997-12-29-0.u106	Please, we can't open a fundamental debate without the agenda. You suggest we get into the agenda. I told you why he couldn't. You're advertising a breach of the Rules of Procedure. Do you insist on making it known to the Assembly.
ParlaMint-RS_1997-12-29-0.u107	Absolutely.
ParlaMint-RS_1997-12-29-0.u108	Be kind and sit down and let the congregation plead.
ParlaMint-RS_1997-12-29-0.u109	Thank you very much. I reserve the right...
ParlaMint-RS_1997-12-29-0.u110	The Assembly's decision is metric. If he finds out it's a breach of the Rules of Procedure, then it's a violation of the Rules of Procedure. If it's not a breach of the Rules of Procedure, it's not a breach of the Rules of Procedure. You can't argue with the Assembly.
ParlaMint-RS_1997-12-29-0.u111	Mr. President, I'm not in the middle with the Parliament, I'm in the middle of the business with you.
ParlaMint-RS_1997-12-29-0.u112	You've already timed out. You have the right to speak for three minutes, and you've been talking for five minutes.
ParlaMint-RS_1997-12-29-0.u113	Thank you very much for your patience. Thank you very much to the entire Assembly for your patience, but I hope, Mr. President, that some strict formalism and especially a violation of the Rules of Procedure on Labour will not put MPs in a position to accept on their conscience what is called - the undermining of the foundation of this country.
ParlaMint-RS_1997-12-29-0.u114	Thank you. The MP insists that on the matter in which most of your proposals are covered, (can't be individually) more proposals are rejected, if this proposal is declared by the Assembly that the injured Rules of Procedure are then we will vote on it. If it doesn't come out that it's a violation of the Rules of Procedure, then we won't plead it out. It's a procedure. Does the congregation agree that a breach of the Rules of Procedure has been committed on this matter?
ParlaMint-RS_1997-12-29-0.u115	Mr. President, if you'll excuse me for half a minute of patience.
ParlaMint-RS_1997-12-29-0.u116	Please be nice, sit down. We understand what this is about.
ParlaMint-RS_1997-12-29-0.u117	I'd just beg for your explanation why you can't get into the agenda.
ParlaMint-RS_1997-12-29-0.u118	I read it to you. The assembly has to decide that.
ParlaMint-RS_1997-12-29-0.u119	Be kind, bring in an explanation with the Rules of Procedure through a specific member of the Rules of Procedure, that at least we know which member has been broken.
ParlaMint-RS_1997-12-29-0.u120	Whoever agrees with the violation of the Rules of Procedure in this case, raise your hand, in all these cases that have been given, please raise your hand. [[Employees raise their hands.]] Who's against it? (106), has anyone abstained from voting? Nobody. ) Therefore, the proposal was rejected.
ParlaMint-RS_1997-12-29-0.u121	This is terror. I have to say it.
ParlaMint-RS_1997-12-29-0.u122	Maybe I'm wrong. That's what the Parliament decides.
ParlaMint-RS_1997-12-29-0.u123	You know there's a terror of minorities and terror of the majority.
ParlaMint-RS_1997-12-29-0.u124	This isn't about terror at all. A hundred six MPs are against it. The proposal was rejected. So there's no breach of the Rules of Procedure. Mr. Nikolic, what do you want to talk about? Fifty percent of the cases are covered by this text.
ParlaMint-RS_1997-12-29-0.u125	That's what I'm gonna tell you here. First, Mr. President, before the break, I was behind this pay phone and made two proposals to expand the agenda. You made a statement about one thing, so you played it. You didn't even ask the Assembly to come forward. The second proposal was the formation of a survey board. Now you've allowed the other MP to come out. Of course, he has the right to come out and explain his proposal to expand the agenda. But we haven't solved my proposal to expand the agenda. Furthermore, you say some requests for an extension of the agenda have been rejected. Based on what, Mr. President? You say they don't comply with Article 132. I say they're fully in line with Article 88. The member asks for nothing more than to submit a proposal to expand the agenda in writing by the beginning of the session. The assembly should decide whether it will enter the agenda or not. You can't, professional service can't be a judge of what's going to be on the agenda. Only this congregation can decide. In order for the congregation to decide, he must get a chance to do so. Mr. President, you are not giving the Assembly the opportunity to plead on proposals to expand the agenda. The proposals are based on the Rules of Procedure. Pursuant to Article 88, each authorised legislator shall have the right to request an extension of the agenda, to remove some items of the agenda from the agenda, to replace the order of each item on the agenda. It's the procedure by which this assembly works. According to Article 89, the proposer for the extension of the agenda or the revision of the agenda has the right to explain what he wanted and why he wants to change the agenda, and it can take five minutes. According to Article 90, each proposal is specifically discussed. No compressions of the proposal, no assembling of the proposal. They're not the same suggestions. Each applies to another polling post or to another constituency. Let me remind you, Mr. President, you are denying us a fundamental right based on the Constitution of the Republic of Serbia. Article 73 of point 11 says the National Assembly is in control of the work of the Government and other bodies and officials responsible for the National Assembly in accordance with the Constitution and law. You do not allow us here to exercise control over the work of the Republic Election Commission, you do not allow us here to control the work of the authorities involved in the election process in Kosovo and Metohija, in the work of the judicial authorities. Almost all members of the Republic Election Commission, appointed by this assembly, were judges. Also, you won't let us exercise control of police work. You know very well that under the Law on the Selection of People's MPs and accordingly applied to the election of the President of the Republic, the police have nothing to look for in the polling post. Only if there is a breach of order and peace at the polling station is it called upon the police to intervene. At 7 o'clock, however, we are on our way to polling stations, and armed troops are waiting for us everywhere. You know what it was about. MPs were immediately taken to the police station and released at 20.00 hours. You know we have two seriously injured election controllers. You know we've been stopped by reason of an attack by a terrorist organization in the village. What terrorist organisation when 40% of Kosovo and Metohija vote for the SPS?- I'm sorry. What kind of terrorist organization develops when 40% of people are for the SPS? Then my Kragujevac should burn everything when it's only 20% for the SPS! We were told that floods were in the village and that no member of the Serbian Radical Party could pass up to 8 hours. When we get to the polling station, the boxes are full, the Shipari are surrounded. They told us they came in at night to vote, that the other Shiplars didn't see them voting for the SPS. And now you want to stop it from being discussed here. You have the President of the Republic. No one can change him anymore. He's been incorrigible for five years. Only if he doesn't realize what kind of banditism he came to power, so, man, he can't resign. There's no other way. The two-thirds majority in this assembly, which would call a referendum on recalling the President of the Republic, does not exist. That referendum wouldn't work either. There are no more 50% of Serbian citizens who would define themselves for one thing. You are now preventing us here in the Assembly from doing what our business is. You care about adopting a budget, having a debate on all eight points at once, being four amendments, television not to come and split up, Mr. President, and tonight an extraordinary session begins, and no one else without the government can schedule it. We want to discuss it because we're not people who would fight you in the streets. If we wanted to fight, Serbia would be in a fire, Milan Milutinovic would not be president. Well, we don't like power enough to cause a fire in Serbia to keep you from stealing. I am only warning the messengers and the judges who are involved in this - one day the power will change, the new, the upright, the people will come, who will determine how much someone has stolen. And then, you know how nice it is to do it. Whoever steals an egg at the market and takes it to a hungry kid, you put him in jail for 60 days. Let's see who it is that steals the human sanctity, one vote in the elections, whether it can go unpunished, see the fellows of the Socialist Party of Serbia from Kosovo and Metohija, when the power changes, when it turns out there are no more gods in Serbia, that there are no more people who can call the police to beat people at their moment, to see how the situation will then be in Serbia. In order to get to something worth it in Serbia, we need to determine whether the elections have been made in accordance with the law or not. Why are you running away from the congregation to determine whether the elections have been made in accordance with the law? Why are you running away from the Assembly to determine whether the president of Serbia is elected or not? Mr. President, I ask that votes be voted on on my proposal and the agenda be extended to the point: the formation of the polling committee. I agree with the proposal that I have heard, that these two parliamentary groups that were not scheduled to give one member of the committee of inquiry. We don't need that at all.
ParlaMint-RS_1997-12-29-0.u126	Please, just let me ask you a question. You have a proposal to form a survey board. You have a proposal (58) to examine irregularities. Does the proposal to form a survey committee replace all these 58 demands? Explain that, for practical reasons.
ParlaMint-RS_1997-12-29-0.u127	Here, Mr. President, it's very easy and simple. I'm looking for the formation of a survey board based on the data I have. You can say no. Then another MP will come out who will seek the formation of a survey board based on the data he has. Maybe you'll say no to that, too. Then there will be a third, then a fourth, all of our MPs who have information that there has been an election theft. They'll seek the formation of a survey board. If you decide to form a polling committee right now, then, of course, there will be groundless other discussions of our MPs, because they fit into the decision to form a survey board.
ParlaMint-RS_1997-12-29-0.u128	You heard the explanation. Under the Constitution, the only competent authority for the determination and procedure and election results is the Republic Election Commission. There's a Supreme Court next to her. There are no constitutionally foreseen committees, or any other commission. Please, it depends on what it is about (repeated to one of the MPs). It is true that there is an institution of the committee of inquiry. Please, Mr. Todorovic, let's not have a dialogue. I was informed by the electoral commission in a second procedure that she made the final decision. Therefore, you can ask to expand the agenda, since almost identical content is found. We have suggested that we discuss it or not to consider it. Here you go, Mr. Nikolic.
ParlaMint-RS_1997-12-29-0.u129	Please, Mr. President, don't confuse the MPs of the National Assembly. I didn't ask the Bureau to determine the results of the election. However, the electoral commission has not yet determined the final results of the election. There is a complaint before Serbia's Supreme Court. There is a complaint before the Supreme Court of the Federal Republic of Yugoslavia. You forget that in the election procedure in Montenegro for the election of the President of the Republic, the Supreme Court of the Federal Republic of Yugoslavia announced as competent. The election procedure is not complete. Now you cut it off by a single decision by the assembly majority that Milan Milutinovic, a candidate for Serbia's president, took an oath as president of Serbia. This on your honor and your cheek, and that your children remember who attended this session when the man who was not elected president took an oath to be president of Serbia. I'm not asking the survey board to determine who won the election because he can't do it. But -- it can determine whether there were irregularities in the work of the state authorities. It is the function of this assembly - to control government and state authorities and especially bodies that correspond to the National Assembly for their work. It's the election commission because it's been elected to the National Assembly. Mr. President, it's all clear. Nothing here is blurry and nothing is unclear. It's only important to vote. We'll vote for the committee of inquiry. The others will vote against it. Any more, that decision will be made. Do not reconsider the Parliament's decision.
ParlaMint-RS_1997-12-29-0.u130	Here you go, Mr. Todorovic. He's advocating a breach of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u131	Mr. President, ladies and gentlemen, the MPs would first and foremost use the SPS. The president's been elected and that thing is over. But you have to take it off or clear that you robbed this election and that chance is very simple. That this poll committee is formed and that it examines all the allegations that we rightly suspect -- all the polling stations, all the abuses, that in these elections, a huge theft was committed. First of all, it's your interest to get to the truth. You need to wash off that scar. This way, you will remain your accomplices, or confirm this robbery that was committed in the polling stations. And the robbery that was committed in the polling stations was not enough, but had to be done additionally in the republican electoral commissions because it was not possible with the robbery to cross the 50% censorship. Gentlemen, there is inconclusive evidence. You can declare, as Radovan Bozovic said, and that the country is fourth, and it is not controversial, but you must take responsibility for being an accomplice. That you chose a president today who cited in his campaign as one of the main points - the fight against crime. He'd have to go first...
ParlaMint-RS_1997-12-29-0.u132	Mr. Todorovic, you've advertised a breach of the Rules of Procedure, don't give us a speech.
ParlaMint-RS_1997-12-29-0.u133	That is why you should allow the survey committee to be formed. Believe me, you have so much inconclusive evidence. One small shot, on this tape, on the table, would be enough to convince you that our data is authentic. Here, your MP, Mr. Vlahovic, is on that tape. It is on video from December 7th and December 21st. The video also includes MP Miroslav Dramlic, who discovered the big robbery, filmed it all with a video camera. Can you go through such evidence? Is tomorrow you should go to your homes, that the children, the locals, ask you how it is possible for thieves to be allowed to rule them out? It's something that's anti-civilization. I know there are a number of honest people among you. It's undeniable. Do you have to put up with the terror of those who stole from this election? Do you have to put up with it, if the judicial authorities are involved, isn't it the President of the Assembly that you were arrested about 11 MPs on December 21st, that they were released after 8 o'clock...
ParlaMint-RS_1997-12-29-0.u134	Mr. Todorovic, time's up, be kind...
ParlaMint-RS_1997-12-29-0.u135	Mr. President, let me just point you to irregularities...
ParlaMint-RS_1997-12-29-0.u136	Don't argue. You've suggested an addition to the agenda, so let's get this straight.
ParlaMint-RS_1997-12-29-0.u137	When we put all this aside, there's something Mr. President that you're directly responsible for. You are violating the Rules of Procedure by not doing the thing that you should do after the break, or here before the two parliamentary groups paused, as far as I know, and about direct TV transmissions -- that they don't mind, that one such polling committee is formed because someone is in the interest of finally getting to the truth in this country. There's no harder theft than an election theft.
ParlaMint-RS_1997-12-29-0.u138	Mr. Todorovic, would you be so kind as to speak for five minutes?
ParlaMint-RS_1997-12-29-0.u139	Here, Mr. President, I hope that you will first declare my proposal, Mr. Tomislav Nikolic, before the break that you will respect the statements of the two presidents of the parliamentary groups and that we will vote on this proposal and that you will allow all those who have submitted the request to the Rules of Procedure to allow them to make that request and explain it.
ParlaMint-RS_1997-12-29-0.u140	Mr. Todorovic, I will only allow the vote to be made on Mr. Nikolic's request, and this has already been declared by the Assembly and said there is no breach of the Rules of Procedure in this case. Therefore, please, we know this, it is an existing practice (receives to an MP who advertises a breach of the Rules of Procedure). Please, Mr Tomislav Nikolic has suggested that the polling committee be formed, i.e. to extend the agenda point. agenda of the agenda session - Decision on the education of the survey board. Please, I'm putting the motion to the vote. Who's in, let him raise his hand? (113) Who is against it? (104) Who is abstentioned? One. ) I find that the National Assembly has made a decision to set up a survey committee.
ParlaMint-RS_1997-12-29-0.u141	The National Assembly has decided to put itself on the agenda, not to form a survey committee.
ParlaMint-RS_1997-12-29-0.u142	I'm sorry to put myself on the agenda of the decision to form a committee of inquiry. We're moving on to the motions to merge the debate. People's MP Life Cvetkovic suggested that the National Assembly conduct a joint principle search on all the draft laws proposed by the Serbian government to discuss in this session by an urgent procedure. Does the MP of Life Cvetkovic want a word? He wants to. )
ParlaMint-RS_1997-12-29-0.u143	Dear People's MPs, I propose that, with a joint principled review of all the draft laws submitted by the Government, and in order to be effective in the work of our Parliament, we limit the debate to five minutes. I expect this proposal will come upon your full support. Thank you.
ParlaMint-RS_1997-12-29-0.u144	Thank you. I would like to put to the vote the motion of Parliamentarian Lives of Cvetkovic to conduct a joint review of all the proposals proposed by the Government of the Republic of Serbia for an urgent procedure at this session. Who's up for this proposal? (19), is anyone against it? (75), is anyone holding back? Nobody. ) I find that the National Assembly has accepted this proposal by majority vote. We move to the agenda of the session in general. In accordance with the provisions of the Rules of Procedure of the National Assembly, all the points adopted shall be included in the agenda of the sitting in accordance with the order of their proposal, i.e. acceptance. The proposals for adopted acts, the committees responsible, or the Government of the Republic of Serbia, will submit their reports, i.e. opinions during the session. Since we have come to the conclusion of all the proposals for the adoption of acts by emergency procedure, i.e. for amendments and additions to the proposed agenda, I would like to ask the Members of Parliament to make a statement on the agenda of the session in general. I'm putting on a vote on a draft agenda in general. Who's up for this proposal? (141) Is anyone against it? Four. Is someone holding back? Nobody. ) I find that the National Assembly established by majority votes the agenda of the First Session of the Second Regular Meeting of the National Assembly of the Republic of Serbia in 1997 as a whole. I ask the National Assembly's service to prepare the consolidated text of the session's agenda and hand it over to the MPs. We move to the 1st item of the agenda: – Proposal for a Law on the Budget of the Republic of Serbia for 1998. Before considering the draft law on the budget of the Republic of Serbia for 1998, I open a joint principle search (in 18.35 hours) on the following acts: - Proposal for a law on the budget of the Republic of Serbia for 1998, - Proposal for a law on the use of the funds of the agricultural budget, - Proposal for a law on the participation of municipalities and cities in sales tax in 1998, - Proposal for a law amending the Law on Excises and Tax on Transport, - Proposal for a Law amending the Law on Tax on Income of Citizens, - Proposal for a Law amending the Law on a Special Republical Taxi to Tobacco Processing and Alcoholic Drinks, and - Proposal for a Law amending the Law on Social Security Contributions. Pursuant to Article 92(1), Rules of Procedure, MP of Life Cvetkovic suggested that the duration of exposure be limited to five minutes. Any other suggestions? Yeah. ) The word has the People's MP Dragoljub Stamenkovic.
ParlaMint-RS_1997-12-29-0.u145	Since it's already 18 hours and 35 minutes, and it's a number of important laws, I suggest that the exposure time be at least 10 minutes. I'm not exaggerating, and I'm not asking too much, but there could be more than 10 minutes, and the budget should be spoken of for maybe half an hour, but the total should be at least 10 minutes. In five minutes, you can't even read the bill.
ParlaMint-RS_1997-12-29-0.u146	Thank you. We have two suggestions. Any other suggestions? No, I don't. ) I put the first motion on the vote tabled by MP of the People's Republic of Life Cvetkovic to limit the debate to five minutes. Who's up for this proposal? (126) Does anyone object? (77) Is anyone abstaining? Nobody. ) I find that the first proposal has been accepted. I find that the National Assembly has accepted most votes to accept the proposal of Cvetkovic's Lives - the discussion is limited to five minutes. I give my word to the Prime Minister of the Republic of Serbia, Mirko Marjanovic.
