ParlaMint-NL_2022-03-15-tweedekamer-35.u1	I give the floor to Mr Koerhuis. He will speak on behalf of the VVD.
ParlaMint-NL_2022-03-15-tweedekamer-35.u12	Thank you. I call Mr Graus. He will speak on behalf of the PVV.
ParlaMint-NL_2022-03-15-tweedekamer-35.u13	Thank you, Mr. Chairman. I have two motions. One motion, about Groningen Airport Eelde, was no longer necessary, because my colleague Koerhuis was so collegial to have me signed in. Thank you for that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government, in cooperation with airlines, to allow a register accessible to them, following the example of the Credit Registration Office, to prevent aggressive misbehaving passengers and to protect cabin crew from increasing aggression, as well as to promote flight safety,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus.]] [[She's getting No. kst-31936-926]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u14	Mr. Chairman. I have to say that the Minister said during the debate that he might have had ears for it, but he does not know if he can do it through this way. I would like to have a stick behind the door, because the experience of the past 15 years has shown that a minister or a secretary of state says it is sympathetic, but that it then remains. Now I always have that motion as a stick behind the door. I'll keep it on if I have to, but I'll find out. Then the final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure the importance of Maastricht Aachen Airport and Schiphol, both of national importance, for air cargo, including in terms of future resilience, sufficient capacity, competitiveness, slot scarcity, locational environment, employment and export opportunities,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus, Mr Koerhuis and Mr Van der Molen.]] [[She's getting No. kst-31936-927]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u15	Thank you, Mr. Chairman.
ParlaMint-NL_2022-03-15-tweedekamer-35.u16	Mr Eppink has the floor. He will speak on behalf of JA21.
ParlaMint-NL_2022-03-15-tweedekamer-35.u17	Thank you, Mr. Chairman. I only have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Qatar Airways competes unfairly with European airlines with the Qatar EU Aviation Convention;]] [[whereas the government in the coalition agreement on aviation calls for "a level playing field within the EU and the EU vis-à-vis third countries";]] [[Whereas KLM's trade unions expressed their views by letter on the unfair competition caused by this Convention;]] [[calls on the Cabinet to ensure strict compliance and enforcement of Article 7 with respect to infringements of unfair competition and to investigate whether Qatar Airways is subsidised by the State of Qatar,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Eppink.]] [[She's getting No. kst-31936-928]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u18	Thank you.
ParlaMint-NL_2022-03-15-tweedekamer-35.u19	Thank you. President. - The next item is the joint debate on the following motions for resolutions: He will speak on behalf of D66.
ParlaMint-NL_2022-03-15-tweedekamer-35.u20	Thank you, Mr. Chairman. Flying connects, but flying also pollutes. That's what I said in the committee debate that we had with the minister. On that last point, pollution, my group is very critical. It's two to twelve for climate and nature. Aviation must play its part. I welcome the constructive attitude of this Minister to bring more peace to the aviation debate. I would like to thank him and his hard-working officials for that. I look forward to working with him on a reliable policy, because that's what people expect. That is also what I mentioned in the debate. We need to get to a new balance in aviation. But we must also dare to make sharp choices. For that reason, I shall table one motion on the deletion of the parallel Kaagbaan. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the climate crisis, the lack of a natural permit and the noise problems surrounding Schiphol make further physical growth of the airport inappropriate;]] [[Whereas the space reservation for a new runway at Schiphol (Parallel Kaagbaan) has been in existence for years and that the construction of a new runway exacerbates the above-mentioned problems rather than improves them;]] [[noting that the quality of life in the municipality of Haarlemmermeer is seriously under pressure as a result of this reservation;]] [[calls on the Government to cancel the space reservation for a new runway at Schiphol Airport (the so-called parallel Kaagbaan) at the shortest possible time,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Boucke.]] [[She's getting No. kst-31936-929]]
ParlaMint-NL_2022-03-15-tweedekamer-35.u21	We discussed this in the debate. I am surprised that this is the case in a motion, because I think there was still some understanding at D66, perhaps not for the growth of Schiphol, for which that second Kaagbaan might be needed, but for flight safety. Half the time or more than half the time I don't know what it was anymore.The wind blows from the southwest in the Netherlands. Well, then it would be nice if you had a second job aimed at the southwest, but still this motion. What about D66? What about flight safety?
ParlaMint-NL_2022-03-15-tweedekamer-35.u22	We've been watching this. The Ministry reports indicate that safety is guaranteed in different job configurations. I can also send those documents to Mr Koerhuis, but safety is fine, also with the deletion of the reservation for the parallel Kaagbaan, according to the Ministry of Infrastructure.
ParlaMint-NL_2022-03-15-tweedekamer-35.u23	Thank you. Fifteen motions have been tabled. The Minister has taken ten minutes to prepare, so we will continue this two-minute debate at 6.20 p.m.
ParlaMint-NL_2022-03-15-tweedekamer-35.u24	I give the floor to the Minister for his opinion on the 15 motions tabled.
ParlaMint-NL_2022-03-15-tweedekamer-35.u25	Thank you, Mr President. I shall begin with Mr Van der Molen's question about Lelystad Airport. He asked how much delay Lelystad Airport has now been delayed. That's not to say, because Lelystad Airport is the initiator of another application. It is up to them, as initiator and as a company, to take the time they need. It is therefore not possible to say how much delay this will entail. Mr. Chairman. I'm trying to get through 15 motions fast. Here and there, I will refer back to the extensive debate we had two weeks ago. The motion in part No. 915 is about Groningen Airport Eelde. In the debate, I said that cooperation between airports is primarily at the airports themselves, also a decision on the possible participation of Schiphol. However, I would like to go round the table with the airports and the Schiphol Group to explore the possibilities for cooperation and also the role the Empire can play in it. I will therefore leave the judgment to the Chamber and inform you about it for the Regional Aviation debate. The motion in part No. 916 on Turkish Airlines: also judgment Chamber. During the debate, I already promised to talk to other Member States and the European Commission to explore the possibilities and to send a letter on border effects. I can do that for the committee debate, so if I can explain the investigation in this way and not have a whole report behind it, then I will give it to the committee debate and it is Parliament's opinion.
ParlaMint-NL_2022-03-15-tweedekamer-35.u26	I see Mr Koerhuis nodding in agreement.
ParlaMint-NL_2022-03-15-tweedekamer-35.u27	The motion in part No. 917 deals with fares for the various airports. The airport charges are fixed at the airports. I can ask the airports about that. I will. That is why I leave the judgment to the Chamber. The motion in part No. 918 concerns a revised Aviation Note. Mrs Kröger also asked for a reflection on that. We also discussed this in the debate. The airline note was adopted by the Cabinet. The room let me know what she thought. There were several sounds from the Chamber. I myself do not intend to make a revised Aviation Note. However, I have undertaken to review the implementation agenda underneath, later this year, on the basis of decisions to be taken, for example, on Schiphol and aviation in the Netherlands. With referral back to the debate, I would advise against this motion. Then the motion to part No. 919: No irreversible steps. There are still no formal conversations between Schiphol and Maastricht Aachen Airport, but informal. These informal talks are mainly focused on cooperation. I have already explained before that it is not for me to determine the content of those talks, but it is not expected that an irreversible decision will be taken on this before the Province of Limburg has given its opinion. The province is also 100% shareholder. With that explanation, I leave the judgment to the Chamber. Mr. Van Raan wanted to jump up before he heard the verdict.
ParlaMint-NL_2022-03-15-tweedekamer-35.u28	We're not gonna provoke. To the motion in part No. 920.
ParlaMint-NL_2022-03-15-tweedekamer-35.u29	As the news report pointed out to which this motion refers, this is a side effect of the huge shrinkage due to corona, while the ETS system is now a legally valid system. The cabinet's commitment is not so much aimed at the end of these allowances and the withdrawal of the extra space. We have Fit for 55. A number of good intentions have been included for aviation as well. We focus on the rapid implementation and implementation of the Fit for 55 plans. That's our anchor. That is why I advise against the motion in part No. 920.
ParlaMint-NL_2022-03-15-tweedekamer-35.u30	A quick question. If you focus on Fit for 55, then it also follows that you are trying to prevent this type of practice, unintended effects, from being maintained. Especially in the spirit and atmosphere of Fit for 55 we should try to put an end to this. So the motion is basically policy support. So the Minister might as well judge Chamber.
ParlaMint-NL_2022-03-15-tweedekamer-35.u31	That may also be a form of entrapment. I would remind you of the situation in 2020 following the outbreak of COOVID-19. It was exceptional. To develop a system for all these exceptional situations... I simply insist that in Fit for 55 the good intentions for aviation, including pan-European ones, are really included. I'll bet on that. If you make that discussion difficult for the other 26 Member States by including all the what-as-situations in it, it really is not my choice.
ParlaMint-NL_2022-03-15-tweedekamer-35.u32	The motion in part No. 920 continues to dissuade.
ParlaMint-NL_2022-03-15-tweedekamer-35.u33	Then the motion to part No. 921. This has already been discussed in the previous debate with the Minister for Nature and Nitrogen. A specific reduction target for the aviation sector is not my preference. That's why I don't recommend the motion. Steps must now be taken to obtain proper permits for nature. There is currently no sector with a certain reduction target. If that were ever to happen, that is really the responsibility of the Minister for Nature and Nitrogen, then aviation will also have to contribute, but I think this is more part of the overall nitrogen approach. Partly for that reason, I advise against the motion in part No. 921.
ParlaMint-NL_2022-03-15-tweedekamer-35.u34	I would like to give the Minister the opportunity and opportunity not to go against his own agreements in the coalition agreement. It states that all sectors should contribute proportionally to the reduction of nitrogen. That is actually what this motion is asking for. The previous minister said from the Dutch aviation sector that it is also a normal sector. In fact, we are asking for government policy to be implemented. Either the Minister goes against his own agreements in the coalition agreement or he can simply judge Chamber on the motion here, because it is support for cabinet policy.
ParlaMint-NL_2022-03-15-tweedekamer-35.u35	No, I'm not going against it, but one sector is being highlighted here. There will be a broad nitrogen approach in the near future. In this approach of the colleague for Nature and Nitrogen, proportionality will be filled in for all sectors. In that discussion, this belongs. It is not my preference to take out one sector now, the aviation sector.
ParlaMint-NL_2022-03-15-tweedekamer-35.u36	Mr. Van Raan, you may ask one more question now, but you will not be allowed to do so at the next motion.
ParlaMint-NL_2022-03-15-tweedekamer-35.u37	I object to this, however, because every sector has to make a proportionate contribution. So we don't separate anything from this. I don't think so. We are saying here: the aviation sector, as a normal sector, must also be involved. So we're not gonna light anything out. We say equal monks, equal hoods, also for the aviation sector. That is what the motion is about. That's what the Cabinet is trying to do. That is what nitrogen policy is about.
ParlaMint-NL_2022-03-15-tweedekamer-35.u38	Yes, within the broad framework of the nitrogen approach, which will include all sectors related to nitrogen. That is the approach that the colleague for Nature and Nitrogen is currently working on. That's where the discussion belongs. Then we look at it in the big picture of all sectors. For example, I cannot fill in the proportionality for the aviation sector if that is the only sector for which we are now setting a target, whereas that would not apply to other sectors.
ParlaMint-NL_2022-03-15-tweedekamer-35.u39	Then the motion to part No. 922.
ParlaMint-NL_2022-03-15-tweedekamer-35.u40	The motion in part No. 922. For the sake of clarity, because we have debated it extensively in a number of rounds. I have explained why we cannot and will not do this, also because it is an ongoing procedure. For that reason, I advise against the motion in part No. 922. The same goes for the same debate about the motion in part No. 923. The motion in part No. 924 is also aimed at...
ParlaMint-NL_2022-03-15-tweedekamer-35.u41	Mrs Kröger has a question on the motion for a resolution on item No. 923.
ParlaMint-NL_2022-03-15-tweedekamer-35.u42	I have one brief question: does the Minister agree that choosing the method of determining allowances is up to ministers?
ParlaMint-NL_2022-03-15-tweedekamer-35.u43	In the end, we are giving directives, but it is up to the licence applicants to fill that out and finally to come up with an application. In the end, it is up to the authority to take a decision. This will probably still be subject to legal review and will have to be maintained. As I pointed out in the committee debate: at the time when the licence is issued, all the information underlying it is, of course, given with retroactive effect.
ParlaMint-NL_2022-03-15-tweedekamer-35.u44	Very briefly, Mrs Kröger.
ParlaMint-NL_2022-03-15-tweedekamer-35.u45	The Commission...................................................................................................... says: Choose one method that you use at all airports. Does the Minister agree with me that it is up to the Minister to choose that method?
ParlaMint-NL_2022-03-15-tweedekamer-35.u46	In the end, you give directions for this, but it is also up to the authority or company that applies for the permit. It will have to motivate and underpin this in all aspects. We have had a wide-ranging debate on this. I have also indicated in the committee debate why we are not going to do so in the case of a licensing procedure that is not being carried out in any company, and we are not going to go into the details of the application. Our aim is to grant a permit at the end of the journey, which we believe should be legally sustainable. For those who doubt it, that will undoubtedly be a matter for the judge to consider.
ParlaMint-NL_2022-03-15-tweedekamer-35.u47	We'll continue with the motion in part no. 924.
ParlaMint-NL_2022-03-15-tweedekamer-35.u48	The motion in part No. 924 is about shrinkage, which we have also discussed extensively. I indicated in the debate that at the moment I am not focused on a number of flight movements but on bringing together what you have to mitigate environmental pollution, including from past agreements. That must be properly and legally well established. In addition, we look at the possibilities for Schiphol. That's what we're doing. Later in the year, I come forward with proposed decisions on this subject. This motion is ahead of us. That's why I'm dissuading the motion. The motion in part No. 925 by Mr Van der Molen, on the Social Council of Schiphol, receives a ruling Chamber. I think it is important that the environment is taken into account in good time and is informed about the follow-up. Of course, the Schiphol Environment Council or the Schiphol Social Council will also be involved in the further process around the LVB. Judgment Room. Then the motion to part No. 926 by Mr Graus. I think I need to gain Mr Graus' confidence in this period. I made a commitment in the debate that I would like to address the issue of misbehaving passengers. I have also made a commitment to continue to report to the Court on this. This is a specific method of which I do not know whether it can be legal, whether it can be in terms of privacy and whether it has the desired effect. I would ask Mr Graus to hold the motion. I will return to my commitments later in the year. That could be the moment when Mr Graus can see whether we have found something working with the airline or whether he still thinks that this motion or any other idea should be opposed.
ParlaMint-NL_2022-03-15-tweedekamer-35.u49	Thank you, Minister. I'll hold the motion. It doesn't really have to do with winning trust. It's just my 15-year experience in The Hague. Very often, something is promised that is not being complied with. I do have to give you a chance to do that.
ParlaMint-NL_2022-03-15-tweedekamer-35.u50	I take this commitment very seriously. You're only gonna be on a plane where this is going on. This is a very important issue, both for the sake of passengers and for the sake of aviation safety.
ParlaMint-NL_2022-03-15-tweedekamer-35.u51	At the request of Mr Graus, I propose his motion (31936), No. 926). That is what is decided.
ParlaMint-NL_2022-03-15-tweedekamer-35.u52	The motion in part No. 927 is about Maastricht Aachen Airport. I mentioned it before: Schiphol Group is talking to Maastricht Aachen Airport. I'll be well informed. I will also facilitate these discussions, precisely in view of these aspects. That's why you're judging Chamber. The motion in part No. 928 is about Qatar Airways. It is important in this respect that combating unfair competition is precisely the starting point for concluding an EU-wide aviation agreement with Qatar. It has made firm, enforceable agreements on fair conditions of competition and financial transparency. Sustainability and working conditions have also been agreed. If there are strong signs of unfair competition, I will bring it to the attention of the European Commission. For he is the keeper of this treaty. Partly for this reason, I cannot give this motion a ruling Chamber and my verdict is: dissuade. It requires something from the cabinet that we cannot do ourselves as a cabinet. But if this is the case, I will, of course, draw the attention of the European Commission to it. Finally, the motion on the parallel Kaagbaan, the motion in part No. 929. I also indicated in the debate that I would like to involve the decision-making process on the reservation in the broad decision-making process on Schiphol and Lelystad, so that I can fully assess this. In accordance with the coalition agreement, I want to make that decision this year. In fact, I would like to invite Mr Boucke to hold the motion until the moment when we have the big picture. Because then we can also see what spatial consequences that has. If not, I should discourage the motion today, now, here, March 15th.
ParlaMint-NL_2022-03-15-tweedekamer-35.u53	I have a question for the Minister. Because the region, even more specifically the municipality of Haarlemmermeer, clearly indicates that it wants to get rid of the reservation. There's a complete stand still in the area. So it is not just about not making progress, it is about going backwards. Because there is no other development possible. What does the Minister say to the people who live in that area? Because I do not think there is anything that prevents the Minister from taking the decision now to delete the reservation for the construction of that job.
ParlaMint-NL_2022-03-15-tweedekamer-35.u54	In itself, there is no obstacle, except that I take another piece of puzzles out of the puzzle, while I want to assess all aspects of Schiphol in conjunction this year and on that basis I want to come to a single decision. I understand the region. I've been there myself. The reservation has been there for many years. For many years they have run into it. But given the fact that I want to come up with some sort of overall vision at Schiphol Airport this year and the corresponding decisions, I would like to invite them to bite their teeth before we get the whole picture around Schiphol. In that light, I can also make a number of decisions on aspects that go with it, such as the parallel Kaagbaan, but also many others.
ParlaMint-NL_2022-03-15-tweedekamer-35.u55	Are you holding your motion? Or do you consider that, Mr. Boucke?
ParlaMint-NL_2022-03-15-tweedekamer-35.u56	No, I'm not gonna keep these on. I'll file these. I'd like to respond to what the Minister said.
ParlaMint-NL_2022-03-15-tweedekamer-35.u57	Yes, very briefly.
ParlaMint-NL_2022-03-15-tweedekamer-35.u58	The minister's talking about a puzzle. But this is a piece that doesn't belong to that big puzzle. This is a piece that we can decide on right now. That's why I'm not keeping these, but I'm filing these.
ParlaMint-NL_2022-03-15-tweedekamer-35.u59	That's clear.
ParlaMint-NL_2022-03-15-tweedekamer-35.u60	Then my opinion is that I am deceiving it, because I then highlight one element of it, while what we are about to get on the table is environmental space and noise space, but also flight safety and what that means for the Schiphol runway system. In any case, I would not want to block any possibilities at this stage, so that we can actually look at everything in conjunction with each other. So also by appealing to the integrality of decision-making, I advise against this motion.
ParlaMint-NL_2022-03-15-tweedekamer-35.u61	I would like to thank the Minister for his appreciation of the 15 motions tabled.
ParlaMint-NL_2022-03-15-tweedekamer-35.u62	The votes are scheduled for next Tuesday. I believe the Secretary of State is being flown in. We'll wait for that for a short time. Then we will continue the two-minute debate Main lines debate Infrastructure and Water State.
