ParlaMint-NL_2022-04-06-tweedekamer-9.u1	We are going through the debate on the Modernisation of Electronic Administrative Traffic Act.
ParlaMint-NL_2022-04-06-tweedekamer-9.u12	I always appreciate the way Mrs Leijten does legal work. Like many other MPs, she really looks at the different aspects of the law and how it works. But Mrs Leijten and I differ on this point. I just see that we are taking some really good steps here. The request to the Council of State is often made only when there are really serious objections. My question is also where Mrs Leijten's concern lies. On the contrary, we are ensuring that a number of responsibilities become more public and that the citizen has better guarantees than he currently has. That is a question I would like to put back to Mrs Leijten.
ParlaMint-NL_2022-04-06-tweedekamer-9.u13	I was wondering if, if there is still a need in the Chamber for a look from the Council of State, the Minister would be able to estimate how many months of delay that would result. Of course, we have to get on with this law, which has been there for a long time. I share that sentiment. But how much delay would we actually delay? If that's not the objection, maybe it's the walk of shame? You just said it only happens if there are serious objections. Then it's like you're not sure about your own law if you ask me again. In this case, perhaps we should step over that for a while and just consider that as care, rather than that it means that you are not sure that you are in the right place.
ParlaMint-NL_2022-04-06-tweedekamer-9.u14	If there had been no letter of amendment, I would have told Mrs Van Weerdenburg that we should have done so. But I have just seen that we have properly addressed the concerns of the Council of State in the letter of amendment on a number of points. If it hadn't been for it, I might have sent a letter to the Chamber earlier to ask if she still wanted to give me time to do some more business. The Council of State has issued nine months on the previous opinion. Then the opinion of the Council of State comes out. Then, as a cabinet, we must, of course, send a proper response to it. Then there is often a written round in the Chamber. Then there will be another plenary session. At least we'll be further along in time. Mr. Chairman. A number of other questions have been asked. Mrs Rajkowski asked whether the security for receiving and sending digital messages was ensured. The legislative proposal provides for a number of obligations for administrative bodies to ensure security in the digital transmission and reception of messages. When a message is sent, someone always receives an acknowledgement of receipt. It's now being recorded in black and white. When someone receives a message, they always receive a notification. That notification text contains, in legal terms, nature, legal effect and time-limit. Now you get a notification message with: thank you very much for the piece you received. But you also want to know: what did I receive it for, when can I expect a reaction and what is the follow-up step? These are: nature, legal effect and term. That's what we're going to document now. So you don't just get a cat bell anymore, but there's really a good message coming. If it turns out that this notification has not arrived, the administrative body, the government, should do something about it. It may send another message, but if it doesn't arrive, it will eventually have to contact you, or via the post "Of course," or in some cases by telephone. That's a choice that can be made. That's what this bill says. The same applies to registered mail. You will now receive an acknowledgement of receipt which the government, the governing body, is obliged to send. If the government sees that it's not coming, then she has to do something with it and she can't leave it. I would like to stress once again that it was about the purple crocodile, which we do not want to have together in this Chamber, that the General Administrative Law really clearly states that the electronic road is not mandatory. Each administrative body must therefore continue to offer a paper trail. So everyone can also continue to offer by mail. If we want to make an exception to this and do so by electronic means, we must do so by law in a formal sense. Then it is up to this Chamber itself to hold the debate whether it is desirable or not. Mr. Chairman. Then there's the issue of wild growth.
ParlaMint-NL_2022-04-06-tweedekamer-9.u15	They're reassuring words. That is indeed nice, especially if it goes through the law in a formal sense. We are simply on the buttons. That's very nice. I try to translate the nature et cetera into ordinary jip-and-janneketal. Do I understand correctly that if you get such a notification of a message that you really don't want to miss, it also says in the notification in your e-mailbox that the message is from the IRS and that you have to respond within two weeks? Then people know, like, "I'm on vacation now. I see I have a message from My Government. I'm gonna have to take a look now before I get back."
ParlaMint-NL_2022-04-06-tweedekamer-9.u16	Yes, that's nature, legal effect and term, but that's basically normal human translation. It's about understandable language in legislation; thank you for doing the translation for us. Mr. Chairman. Then prevent proliferation of inboxes. That is also a question from Mrs Rajkowski. The bill does indeed offer people the guarantee to be notified with every new message, no matter what message box the message is in, such as MyGovernment or the surroundings of an administrative body. As a result, they also have their own overview. At the moment 450 government organizations are already affiliated with MyGovernment and the Message Box. So that's going the right way. At present, government organizations and Logius are working on the development of the Federation Messages System. This is a structural solution for preventing double storage. The purpose of this is to have a single overview of all his messages and to have them recorded in a uniform and unambiguous manner. The messages are self-accessible from the warehouses of the participating parties or in the warehouse of MyGovernment and the Message Box. This prevents double storage. More government organisations are expected to join the Federal Messages System. The Secretary of State is working hard on that.
ParlaMint-NL_2022-04-06-tweedekamer-9.u17	We are now at 450 organisations, but of course that is going to be much and much more. Do I understand correctly that as a resident of the Netherlands, you only have to keep an eye on the Federation Messages System when you have indicated that you want to communicate digitally with the government?
ParlaMint-NL_2022-04-06-tweedekamer-9.u18	Mrs Rajkowski pointed it out. We are now working hard to take steps in this direction, so that there is more clarity. But we're not there yet.
ParlaMint-NL_2022-04-06-tweedekamer-9.u19	When will there be more clarity? Can we say, for example, that at the end of the year 1,000 organisations are connected?
ParlaMint-NL_2022-04-06-tweedekamer-9.u20	I will come back to that, but that is, of course, also a path of the Secretary of State. I'll make sure that in the second term I know exactly what the planning is for. I'll get back to you on that.
ParlaMint-NL_2022-04-06-tweedekamer-9.u21	Do I hear a bit of a change of heart in this? In response to the first opinion of the Council of State, there is, in fact, a very comprehensive paragraph with a plea, a kind of counter-argument, against compulsory standardisation, such as the right to the individuality of government organisations and the need for customization. It can also lead to high costs if existing automated systems need to be replaced. So that was actually very much like: no, we shouldn't do that. The story I'm hearing from the Minister sounds very different.
ParlaMint-NL_2022-04-06-tweedekamer-9.u22	You can see that the Secretary of State for Digitisation is of course very busy making sure that when the digital road is used, people can also deal with it. This means that, as with the signage on the roads, you want there to be a certain familiarity in it. You can organize that in different ways. That's what the Secretary of State is doing. In the second term, I shall come back to exactly what it is going to go through with regard to the Federal Messages System. Mr. Chairman. Mrs Leijten also asked: how does it work if a message is not properly delivered? Then how are we going to get back in touch? I still think it is important to go into that in detail, because those are the moments, like the wrong letter that is worried, where you sometimes end up in a difficult situation with the government, which you do not want. The legislative proposal is primarily aimed at restoring this electronic contact if it appears that notifications cannot be delivered repeatedly. The occasional failure to deliver a notification does not need to indicate a broken contact. It may be a temporary disturbance or a user who is in the process of switching to a new email address or other notification mode. So as a government you have to try several times to make sure that the message arrives anyway. The moment you get it back, there is a duty under the General Administrative Law to contact you in a different way as a government. So you'll have to see if you can reach people by mail or, for example, by phone. That was planted here. It can't be that you leave it at the moment you get the message back several times. You have a duty to take one step further and to make sure you reach another in another way. But Mrs Leijten mentioned another situation. That's the situation when you have a temporary malfunction, because that's the other situation we all know about. At one time a year when you think to yourself "and now I'm going to work to fill out those forms," it says: the website is out of use. Article 2:21 states very clearly that an administrative body may extend in the event of a malfunction. That's a jurisdiction. Mrs Leijten says: yes, but at some point this disturbance may take so long that there is an overrun of the deadline within which the person should have sent that message. If you look at the third member, you can see that you can't say to the person who wanted to send that message: we had an overrun because of a disturbance. No, then you'll have to remove that disturbance. So even if the administrative board does not explicitly extend the deadline, the person sending the message will still be protected. This is dealt with in 2:21, third paragraph. When it comes to crime and fraud, there is, of course, a broader duty for governments. When that kind of thing happens, you have to make sure that you also inform the users of the system about what is in circulation. You can also provide support through the helpdesk of, for example, implementation organisations at the time of such events, so that you can provide further information. Mr. Chairman. Mrs Dekker also asked a question about people who can't come well. They can't be locked out. Exactly. The law includes a duty of care for the support of people. That is why I also welcome the fact that the third letter of amendment now provides us with a legal basis for financing the digital information point, which the Secretary of State is also working very hard on. You can do that with libraries. It's supposed to stay in such places, but in some cases a library is also quite a threshold for people to step in. There are people who have never been to the library in their lives. So, in some neighbourhoods, you'd better have a neighborhood office. Mrs Leijten's question was: is 20.95 million sufficient? At least it is a big extra investment, because last year it was 3.5 million. We're really moving forward. We're investing very heavily. We currently have 450 information points spread across the Netherlands. From the Secretary of State for Kingdom Relations and Digitisation I understand that this year she will also conduct an exploitation and policy evaluation study on the operating costs of the information points. The fact that this money will become available is more money than there was, so it does not mean that we stop thinking about whether this is enough or that other things are needed. The Secretary of State is going to see if this is good and sufficient, and also whether the establishment is good. Mrs Van Weerdenburg spoke about the visually impaired. That is a very valid point. Therefore, it is important that the paper mode remains accessible, but that there is also appropriate support, so that you can also have a contact that can help you fill out the forms. It is indeed sometimes extremely difficult for people with visual impairment to communicate with the government.
ParlaMint-NL_2022-04-06-tweedekamer-9.u23	I was not talking so much about visual limitations, although that is also an important category, but about people who are more visual. Then you are digitally skilled and you could do it all digitally, but it just works better and you prefer it. Those are people who can, but still prefer the other route.
ParlaMint-NL_2022-04-06-tweedekamer-9.u24	I do recognize the cell phone with the yellow post-it. I gotta tell you, I do that sometimes. But for that, when the papers are open, people can use them. But these are the people for whom the appropriate support is often less needed, because they can also find the paper trail well.
ParlaMint-NL_2022-04-06-tweedekamer-9.u25	How far has the Minister responded?
ParlaMint-NL_2022-04-06-tweedekamer-9.u26	I come to Mrs Leijten's amendment.
ParlaMint-NL_2022-04-06-tweedekamer-9.u27	And are you done?
ParlaMint-NL_2022-04-06-tweedekamer-9.u28	I think so, Mr President, but it is up to Members to decide whether I have answered the questions correctly.
ParlaMint-NL_2022-04-06-tweedekamer-9.u29	Go ahead.
ParlaMint-NL_2022-04-06-tweedekamer-9.u30	Mr. Chairman. Mrs Leijten's amendment. I ask Mrs Leijten if she can support me if I do not explain it quite correctly. As I understand it, Mrs Leijten wants to regulate in the amendment that at least companies can continue to use paper when necessary, but maintains her amendment that the digital road can still be prescribed for companies. My question is whether this is the intention of the amendment.
ParlaMint-NL_2022-04-06-tweedekamer-9.u31	No, that is not the intention of this amendment. We do not want any distinction to be made between natural persons, entrepreneurs and other legal entities in relation to contact with the government. Otherwise you can end up in all discussions of: "Yes, I did this as a natural person," "no, you did that as an entrepreneur" or "no, you did that as a zzp'er." We don't think that's good for the character of the law and what you want to settle. The intention is that we should settle just as well with our legal support.... that we no longer make that distinction, so that contact with the government is the same for everyone in the Netherlands. No distinction, no border discussions, no possible legal swamp you can end up in. That's the point.
ParlaMint-NL_2022-04-06-tweedekamer-9.u32	Thank you for this clarification. Then Mrs Leijten actually says that we are talking about Article 2:7 of the law on natural persons always keeping the paperwork open. Mrs Leijten said that this should also apply to companies or legal persons. In fact, the situation cannot arise that only the digital road is there. Yes. This is now dealt with in Article 2:7, third paragraph. By doing so, the cabinet regulates in this law that, exceptionally, by law in a formal sense, you can sometimes choose the digital way for companies and legal entities. There's still one point to that. This amendment does not, technically, exactly regulate Mrs Leijten's intention. In this law, we have chosen to be able to deviate by law in a formal sense from an exclusively digital way. It is also a deliberate consideration for the Chamber to do so. I would like to keep that in mind because I see the importance of asking companies to do certain processes digitally because it is faster and gives clarity. At the same time, you also need to ensure that there is support for those who cannot follow that, for example a zzp'er who is working as an entrepreneur, to help on that digital road. That is just what happens in practice. So I would like to keep in mind the structure of this law that is now in it, namely that by law you can deviate in a formal sense in order to do the electronic way for companies and legal entities. I think it's a good thing that the Chamber is about that. I would point out that this does not mean that people cannot ask for help in using that digital way through a company or company. If Mrs Leijten says that paper should always be possible for companies, then I would advise against the amendment, because I can imagine that, as is already happening in some areas of policy, there is only a digital road. But if you don't get out of it, then of course there should be support for using that digital road. I do not have the final text, but on the basis of the intention I say to Mrs Leijten: I do not share it entirely, and I therefore advise against the amendment. You have to give the Chamber room to make that decision. At the moment, a number of processes are completely digital. I would like to point out that if people have difficulty in making use of it, then there must be good support to help them do so. Thank you, Mr. Chairman.
ParlaMint-NL_2022-04-06-tweedekamer-9.u33	Fine. A question from Mrs Rajkowski.
ParlaMint-NL_2022-04-06-tweedekamer-9.u34	I was able to chew on the registered mail. I would like to ask another question on this before we enter the second deadline. I was pleased with the answer that is contained in such a notification much more information. That's, I think, very nice. I'm not a lawyer; I didn't go to law school. Is this really the same, but in the digital version, sending registered mail? Shouldn't we arrange something like that people with a DigiD can put up some kind of digital signature there's a lot of other programs for.... just like you have to sign if you receive registered mail? My problem lies in the question of whether it will all be legally correct.
ParlaMint-NL_2022-04-06-tweedekamer-9.u35	That's a nice legal question. I will come back to that in the second term. It's been a long time since I've sent registered mail. But I do remember: you're standing at a post office or somewhere else and you sign your agreement with shipping underneath. You often give such an agreement with digital forms: you agree to send. So you could compare that with each other being the same. And when the mail is received, you'll get a message that it is. That's what happens with a notification. Is putting the classic signature when filling out the web form you're dealing with, or the Message Box or an inbox, the same authorization as the registered post? I think that is a very nice, technical, legal question, which is also important in terms of content. I shall come back to that in the second term. But I think it's about the same. But it's good to spend a few more minutes on that. I'll get back to you on that.
ParlaMint-NL_2022-04-06-tweedekamer-9.u36	Very good. I'm suspending... oh, Mrs. Dekker.
ParlaMint-NL_2022-04-06-tweedekamer-9.u37	Before we enter the second term. I think I missed one more question. I asked: can we also make the phone number available and communicate actively? I also asked whether the Minister agrees with me that this is desirable and whether she can check whether it can be done at all and how much it will cost.
ParlaMint-NL_2022-04-06-tweedekamer-9.u38	I don't have that insight right now. We do know that a lot of organizations do have a phone number. The question is, how can you find out? We also didn't get a quick look at how to do that exactly. We do see that municipalities are often still on the phone, and other organisations are often on the phone. I can see that I did not report this. I'll come back to that as well.
ParlaMint-NL_2022-04-06-tweedekamer-9.u39	All that comes in the second term. I'll suspend for a few minutes and then we'll go to the second term.
ParlaMint-NL_2022-04-06-tweedekamer-9.u40	The next item is the second term. I call Mrs Rajkowski.
ParlaMint-NL_2022-04-06-tweedekamer-9.u41	Mr President, thank you. Thank you, too, to the Minister for the reply and the fine debate, I should like to say 'conversation' which we have had. It's also nice that we can do it this way in this room. Communicating as you please. So we heard: paper stays, desk stays; and if it goes to digital, someone can turn it in themselves. If there are any desires to make that compulsory, it always goes through the Lower House and we can always lie down for it. So that's nice. Two more things. The Minister stated in her first reply that she would return to us in the Chamber on the timeline of that Federation Messages System. I have every confidence that she will. Only, I do not have a third term, so I am going to ask for a commitment to inform the Court of Justice about this. And the second point I have is actually that way. I have a motion on registered mail. I'm gonna file that, too. If this is no longer necessary after the second deadline has been answered, or should it need to be adjusted, I will simply do so. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that registered mail provides security that the recipient has received important information by post;]] [[Whereas digital means of communication are becoming a possibility of communicating with the public authorities;]] [[invites the Cabinet to carry out further investigations into the possibilities of sending registered mail also digitally, including a receipt, and before this is legally properly arranged, to hold the usual routes such as letter post for everyone for sending registered mail, and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Rajkowski.]] [[She's getting No. kst-35261-12]]
ParlaMint-NL_2022-04-06-tweedekamer-9.u42	Thank you, Mr. Chairman.
ParlaMint-NL_2022-04-06-tweedekamer-9.u43	Then Mrs Leijten from the SP Group.
ParlaMint-NL_2022-04-06-tweedekamer-9.u44	The opinion contains a number of fundamental comments on the legislative proposal. The group of citizens who are less self-reliant will grow if the papers are cut off. The government has a duty to support such citizens, but this duty of care is weakly formulated. Each administrative body shall determine how electronic messages may be transmitted to it. The proposal offers hardly any standardisation and structure, which can lead to differences that the citizens have not established. In addition, there is no certainty that wrongly transmitted messages will be handled. The risks associated with electronic traffic are placed on a one-sided basis with the citizen. The wordings are abstract and therefore, although the proposal is technologically independent, it is de facto strongly based on existing techniques. As a result, there is uncertainty as to whether it is sufficiently sustainable in the long term, but it does not provide concrete guarantees focused on specific techniques. The proposal has implications for a large part of the Awb, but is not integrated into the system of chapters of titles in this law, which can lead to interpretation problems. In Chapter 6, the Section makes and does 'because you already understood it, Mr President, I read the opinion of the Council of State; or at least the introduction of it, because it would not be appropriate at all; some comments and recommendations, which are in short: rule on general safeguards in technology-independent form; rule on concrete safeguards, where possible, focusing on existing techniques; allow for temporary derogation from the law, aimed at accommodating technical innovations. It's a big deal when that's how it's judged on a bill. And then the minister says, "I solved it all." But at the same time she doesn't say: no, that contact, that paper contact with that government that's about to change, that's coming closer to people who are going to speak understandable language, that you can call, we don't do for companies. So we don't do that forzzp'ers. That's the same government that doesn't have fakes enough in the picture, let alone fights. I am really sorry that the Minister has allowed a motion to be tabled, but I am going to table it anyway. After all the lessons we have had, I hope that the Chamber will decide to go to the Council of State for careful legislation. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Council of State has warned against not sending to the Chamber the Bill on Modernisation of Electronic Administrative Movement and makes six urgent recommendations in the interim opinion on digitisation in legislation and administrative justice;]] [[noting that contact with the government should be possible with a low-threshold, simple and with a human dimension and that millions of people in the Netherlands are not digitally skilled;]] [[noting that much has changed between filing the bill to the Chamber and handling it, including in thinking about the contact between government and people;]] [[calls on the Government to offer the legislative proposal to the Council of State for further advice and to review it in the light of the recommendations contained in the report Digitalisation in Law and Administrative Law,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten.]] [[She's getting No. kst-35261-14]]
ParlaMint-NL_2022-04-06-tweedekamer-9.u45	Mr. Chairman. I am still working on an amendment which deals with the fact that if there is a malfunction and one cannot do digital business, the deadlines laid down in the law will automatically be extended by the duration of that malfunction. Hopefully the Minister will be able to give some reflection on it. In addition, I would like to ask the Minister when she thinks someone is actively indicating that he wants digital. What's that moment? Is that a tick? Do we have to accept conditions in the context of these digital worlds and, if so, who reads them? Do people know they're dealing with this? I am going to amend the amendment along the system as it is intended. I am truly sorry that the Minister rejects this. I think that where it comes to the government's dealings with the inhabitants and with the entrepreneurs in the country, there should be no difference of opinion, which remains with the dissuaded.
ParlaMint-NL_2022-04-06-tweedekamer-9.u46	Thank you. Then Mrs Dekker from the D66 Group.
